@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,4-5,9,11'

@attribute Height numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute Blackand numeric
@attribute Class {1,2,3,4,5}

@data
7,1,0.327,49,1
5,1.6,0.55,38,1
5,1.8,0.333,45,1
7,3.714,0.374,154,1
6,2.333,0.298,52,1
6,5.5,0.303,173,1
6,11.333,0.257,274,1
7,1.286,0.302,53,1
7,3.571,0.331,156,1
8,1,0.234,61,1
7,1.857,0.286,79,1
9,4.556,0.201,241,1
9,22.444,0.087,462,1
6,2.833,0.294,88,1
7,1.571,0.221,71,1
7,3.286,0.298,141,1
5,0.6,0.6,14,1
7,1.857,0.275,75,1
7,2.714,0.263,88,1
1,65,0.646,65,2
8,1.125,0.361,57,1
22,1,0.107,229,5
8,0.125,0.875,8,4
29,1.655,0.116,373,5
9,3,0.333,223,1
8,1.5,0.417,90,1
7,2.286,0.446,106,1
21,0.19,0.31,54,5
19,2.474,0.078,100,5
11,1.364,0.358,124,1
8,1.125,0.403,52,1
8,1.125,0.319,48,1
9,12.889,0.339,919,1
8,1.5,0.448,85,1
10,3.6,0.367,304,1
6,1.333,0.646,44,1
1,17,1,17,2
8,0.875,0.411,56,1
8,3.625,0.453,231,1
9,4,0.395,218,1
6,0.667,0.625,19,1
8,1.25,0.425,73,1
8,6.125,0.441,391,1
7,1.714,0.464,84,1
9,3,0.358,208,1
8,6.25,0.428,296,1
8,0.75,0.396,39,1
7,5.429,0.414,225,1
5,0.8,0.7,16,1
8,1.5,0.479,90,1
11,24.727,0.281,2036,1
8,1.75,0.446,112,1
11,2.182,0.307,210,1
8,2,0.438,114,1
10,3,0.307,282,1
8,2,0.43,110,1
10,5,0.268,382,1
6,6,0.495,215,1
8,2.75,0.403,176,1
10,4.1,0.312,301,1
10,0.7,0.329,69,1
8,1.5,0.417,93,1
11,11.455,0.273,900,1
9,4.556,0.374,325,1
7,5,0.408,185,1
8,0.5,0.438,21,1
10,2.6,0.3,248,1
8,1.125,0.361,52,1
8,4.625,0.392,223,1
8,3.25,0.409,194,1
10,5.2,0.306,358,1
6,6.5,0.393,217,1
11,13.273,0.238,932,1
8,5.25,0.375,302,1
7,2.143,0.4,79,1
9,12.667,0.272,760,1
10,6.1,0.29,401,1
7,15.571,0.283,414,1
67,0.448,0.169,924,5
5,2.4,0.6,54,1
10,5.5,0.295,416,1
10,14.4,0.256,900,1
11,4.909,0.273,464,1
8,5.375,0.387,262,1
10,6.2,0.265,407,1
34,0.735,0.256,454,5
8,4.125,0.375,259,1
6,1.333,0.604,43,1
9,3.667,0.357,187,1
9,2.778,0.329,113,1
8,4.375,0.425,236,1
10,3.6,0.367,284,1
10,7.9,0.244,586,1
8,2.375,0.395,107,1
8,4.875,0.423,298,1
10,2.3,0.287,142,1
10,1.9,0.326,146,1
8,3,0.26,129,1
8,1.5,0.396,95,1
8,1.5,0.479,96,1
8,3.875,0.375,179,1
10,2.6,0.354,200,1
8,2.875,0.375,162,1
8,4.875,0.369,309,1
8,1.5,0.427,87,1
5,1.6,0.675,39,1
6,0.667,0.583,19,1
8,1.125,0.375,71,1
9,6.222,0.343,356,1
8,1.625,0.452,101,1
8,1.625,0.423,96,1
5,1.4,0.686,35,1
8,0.625,0.475,40,1
11,8.818,0.266,678,1
9,4.444,0.275,315,1
8,2.625,0.417,161,1
9,3.667,0.36,243,1
8,1.75,0.42,88,1
10,2.3,0.37,191,1
7,1.286,0.429,42,1
8,3.125,0.3,118,1
7,3.571,0.349,129,1
7,0.857,0.357,42,1
5,4.6,0.452,105,1
8,1.5,0.427,72,1
8,2.25,0.354,109,1
9,13.667,0.346,819,1
9,18.333,0.337,1059,1
3,3,0.296,18,1
9,33.778,0.202,2049,1
6,13.667,0.274,455,1
9,59.111,0.154,3073,1
6,2.167,0.256,76,1
4,3,0.25,38,1
5,19.6,0.341,313,1
24,11.667,0.456,6134,1
8,9.125,0.433,511,1
7,30.571,0.461,1296,1
9,34,0.192,2069,1
8,21.75,0.161,1002,1
9,29.667,0.131,1242,1
7,36.571,0.135,1081,1
1,249,0.173,249,1
9,59.333,0.163,3043,1
1,200,0.13,200,1
13,2.846,0.322,477,1
9,20.222,0.378,1292,1
9,12,0.329,672,1
6,4.833,0.42,163,1
10,53.5,0.166,3646,1
7,30.714,0.548,1500,1
9,9.222,0.376,513,1
9,11.333,0.183,738,1
8,7.625,0.207,392,1
7,31.286,0.182,1224,1
8,24.75,0.215,1318,1
13,17.538,0.24,2765,1
13,2.846,0.306,449,1
24,7.417,0.483,3987,1
1,186,0.828,186,2
9,23,0.177,1178,1
9,11.444,0.164,715,1
8,42.875,0.129,1661,1
1,62,0.984,62,2
25,7.12,0.49,3988,1
24,3.5,0.474,1758,1
8,26.875,0.416,1389,1
9,21.222,0.328,1284,1
6,5.333,0.365,184,1
9,56.667,0.075,1323,1
11,46.455,0.17,3023,1
2,268.5,0.538,596,2
9,19.444,0.177,983,1
3,179,0.353,587,2
14,16.214,0.237,2667,1
9,12.333,0.218,809,1
2,268.5,0.621,802,2
9,59.556,0.126,2377,1
2,139.5,0.075,304,1
8,19.75,0.102,437,1
25,7.12,0.475,3885,1
9,12.444,0.213,842,1
9,13.778,0.367,787,1
9,20.667,0.425,1315,1
6,5.333,0.286,146,1
9,11,0.189,664,1
7,2,0.347,93,1
9,56.667,0.171,3190,1
6,13.5,0.282,414,1
7,10.143,0.193,334,1
9,56.667,0.149,2717,1
13,17.462,0.226,2470,1
9,11.333,0.357,796,1
1,74,0.189,74,1
9,59.444,0.157,2861,1
10,50.4,0.139,3352,1
7,53.571,0.092,1124,1
153,1.033,0.587,15491,3
83,3.337,0.18,8387,5
83,1.795,0.388,5838,3
39,0.026,1,39,4
1,180,0.983,180,2
13,6.154,0.434,557,1
11,3.727,0.337,286,1
10,3.1,0.645,240,1
42,0.024,1,42,4
13,0.692,0.402,80,1
7,1,0.918,47,1
11,16.273,0.33,1444,1
4,2.25,0.611,22,2
12,5.917,0.631,770,1
14,28.714,0.399,3554,1
14,27.5,0.369,3022,1
10,0.9,0.644,62,1
3,1,0.889,8,1
1,34,0.353,34,2
11,16.727,0.455,1539,1
11,31.273,0.446,2694,1
9,2,0.623,140,1
28,6.107,0.258,4369,1
10,15.5,0.329,931,1
9,9.556,0.394,546,1
8,20.25,0.435,1213,1
12,23.75,0.411,2421,1
3,1,0.889,8,1
9,1.778,0.556,138,1
9,17.889,0.432,1347,1
14,14.5,0.362,1904,1
14,27.857,0.358,3224,1
8,11.875,0.466,687,1
9,2.222,0.628,154,1
11,13.818,0.365,1278,1
10,1,0.52,53,1
9,16.889,0.379,1047,1
14,18.143,0.377,2022,1
23,5.739,0.95,3036,1
13,16.385,0.359,1821,1
13,10.231,0.36,1247,1
13,0.077,1,13,4
6,12,0.604,428,1
1,7,1,7,1
9,17.111,0.406,1008,1
12,34.083,0.302,2966,1
1,28,0.464,28,2
16,25.938,0.389,4480,1
24,7.083,0.924,4068,1
16,21.313,0.378,3949,1
10,5.9,0.403,467,1
12,1.833,0.621,208,1
17,23.412,0.32,4117,1
16,14.188,0.41,2654,1
11,1.818,0.577,194,1
12,23.667,0.325,2471,1
16,26.5,0.371,4879,1
12,6,0.638,793,1
16,26.063,0.381,4349,1
14,0.143,0.536,15,4
11,2,0.624,213,1
9,0.111,1,9,4
9,31.222,0.272,2164,1
9,39.778,0.385,2782,1
7,2.714,0.662,123,1
10,26.9,0.306,1335,1
9,18,0.254,769,1
9,18.111,0.263,805,1
7,0.714,0.829,29,1
87,1.333,0.406,4194,1
11,2.727,0.467,272,1
17,1.235,0.373,219,1
17,1.353,0.419,316,1
9,18.444,0.274,905,1
7,33,0.26,1035,1
17,1.412,0.426,323,1
7,32.429,0.217,809,1
3,1.667,0.533,12,1
7,13.857,0.196,313,1
7,30.429,0.235,1112,1
7,14,0.254,417,1
79,2.013,0.319,4623,1
13,24.846,0.256,2340,1
6,15.667,0.184,527,1
6,16.167,0.232,496,1
6,16,0.309,533,1
6,16,0.335,405,1
6,16,0.319,405,1
5,16.4,0.361,329,1
9,36.778,0.222,2056,1
10,28.2,0.191,1977,1
6,16,0.198,385,1
6,16,0.217,459,1
9,1,0.321,32,1
7,17,0.285,726,1
1,41,0.39,41,1
1,42,0.405,42,1
7,8.429,0.462,413,1
7,17.857,0.29,643,1
8,16.125,0.232,849,1
7,10.857,0.301,457,1
6,8.333,0.24,189,1
1,47,0.426,47,1
7,4.286,0.271,183,1
9,29,0.183,1686,1
23,4,0.145,1126,1
7,3,0.286,125,1
6,9.833,0.237,312,1
6,7.5,0.422,238,1
5,5.4,0.267,84,1
8,8.625,0.216,355,1
5,4.8,0.342,97,1
7,4,0.27,147,1
5,1.4,0.314,30,1
38,5.974,0.304,5593,1
19,0.632,0.303,100,1
10,2.2,0.323,179,1
10,2.3,0.261,181,1
12,25.917,0.195,2914,1
13,29,0.178,3655,1
10,2,0.29,159,1
14,24.857,0.169,3293,1
8,9.875,0.316,616,1
8,7.375,0.186,317,1
8,37.75,0.211,1763,1
6,17.667,0.129,531,1
7,49.429,0.173,1733,1
7,19.286,0.114,499,1
8,42.75,0.163,1702,1
1,8,1,8,2
1,95,1,95,2
10,8.2,0.3,682,1
11,1,0.537,106,1
10,3.1,0.281,188,1
8,0.125,1,8,4
10,1.2,0.55,105,1
38,1.368,0.452,1801,1
14,13.357,0.265,1248,1
11,1,0.455,99,1
10,17,0.261,1206,1
10,11.5,0.24,872,1
7,5.857,0.213,230,1
