@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1-2,10-11'

@attribute Height numeric
@attribute Lenght numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
10,25,39,1
11,272,431,1
8,7,11,1
11,245,365,1
8,7,11,1
10,32,59,1
5,7,6,1
10,64,57,1
11,15,28,1
9,26,34,1
9,12,22,1
10,54,94,1
8,39,44,1
8,15,19,1
10,25,40,1
8,28,44,1
10,12,21,1
8,13,22,1
12,261,358,1
8,8,10,1
10,16,28,1
10,19,34,1
10,7,12,1
5,7,11,1
8,76,102,1
10,32,58,1
7,8,12,1
7,7,12,1
7,2,1,1
10,72,116,1
10,150,183,1
9,14,17,1
10,23,31,1
4,10,6,1
7,20,24,1
10,145,213,1
6,9,10,1
9,42,60,1
8,32,47,1
9,40,60,1
11,109,146,1
8,40,62,1
10,57,94,1
7,20,26,1
5,2,1,1
6,26,36,1
8,9,15,1
8,45,57,1
10,16,32,1
10,74,103,1
8,30,34,1
10,20,30,1
10,35,58,1
11,64,88,1
10,33,68,1
7,5,4,1
5,14,14,1
6,12,14,1
5,20,23,1
8,6,10,1
8,12,21,1
7,20,29,1
6,10,14,1
7,41,55,1
8,18,23,1
8,13,21,1
9,4,2,1
11,261,361,1
11,175,205,1
8,50,89,1
7,18,21,1
8,33,61,1
9,42,72,1
8,5,7,1
8,15,26,1
8,7,11,1
11,261,354,1
8,24,41,1
8,38,59,1
10,20,33,1
6,4,2,1
7,31,41,1
10,45,65,1
10,78,113,1
11,112,154,1
10,25,44,1
8,24,36,1
7,36,56,1
8,43,62,1
86,67,399,5
27,106,137,1
24,280,389,1
9,73,94,1
10,184,232,1
7,13,16,1
8,150,154,1
2,19,5,1
8,109,76,1
13,226,243,1
7,100,118,1
7,63,79,1
6,4,2,1
9,107,141,1
6,81,102,1
8,196,159,1
1,277,1,2
32,350,401,5
9,535,534,1
8,69,84,1
10,535,447,1
8,233,207,1
6,75,109,1
31,105,136,5
7,101,111,1
8,215,239,1
9,250,314,1
9,535,422,1
5,75,83,1
7,141,135,1
13,138,108,1
25,294,448,1
8,86,129,1
8,101,137,1
9,84,120,1
10,511,532,1
8,15,19,1
28,61,149,5
7,100,120,1
8,124,163,1
9,148,198,1
9,535,654,1
7,218,171,1
9,180,186,1
13,38,42,1
8,100,124,1
2,538,19,2
9,492,697,1
9,284,249,1
7,143,82,1
7,14,17,1
9,488,254,1
6,13,15,1
6,13,15,1
9,186,213,1
14,58,46,1
13,38,45,1
24,280,399,1
25,292,454,1
3,500,29,2
6,31,34,1
7,140,100,1
9,264,349,1
9,310,375,1
9,102,137,1
7,112,106,1
2,536,29,2
10,17,14,1
1,22,4,2
1,10,2,2
53,1,1,4
14,5,5,1
10,48,46,1
37,1,1,2
31,1,1,4
1,11,1,2
1,29,2,2
83,314,888,5
1,18,3,2
10,259,362,1
24,125,129,1
14,371,407,1
10,19,13,1
13,322,340,1
26,170,542,1
8,155,202,1
11,1,1,4
25,169,579,2
10,17,11,1
13,201,235,1
1,28,5,2
178,140,664,3
20,1,1,4
9,17,13,1
12,332,356,1
31,1,1,4
10,151,165,1
13,433,438,1
11,62,75,1
11,165,190,1
14,284,285,1
9,160,197,1
7,153,182,1
9,140,177,1
166,472,1641,3
9,19,15,1
11,24,14,1
16,344,408,1
11,20,14,1
16,205,245,1
7,80,79,1
3,4,1,1
11,161,217,1
10,256,322,1
11,22,17,1
12,22,16,1
11,302,448,1
187,141,2333,3
23,125,132,1
16,376,401,1
12,10,7,1
8,104,129,1
8,157,220,1
4,17,7,1
77,257,127,1
17,19,2,1
9,168,214,1
4,18,2,1
18,22,10,1
9,161,164,1
9,92,123,1
8,152,164,1
17,11,6,1
5,118,63,1
7,110,107,1
8,208,196,1
5,92,96,1
8,242,262,1
197,198,227,5
7,67,71,1
9,58,80,1
10,330,425,1
4,93,70,1
13,284,405,1
10,288,365,1
5,96,77,1
5,96,70,1
5,97,82,1
6,39,39,1
7,31,45,1
9,111,133,1
1,40,15,1
8,22,32,1
5,20,11,1
1,91,31,1
6,31,20,1
7,26,29,1
5,6,5,1
105,2,1,4
7,18,17,1
8,24,23,1
71,34,119,1
5,15,5,1
8,39,47,1
5,6,8,1
5,13,13,1
5,39,49,1
14,412,651,1
1,85,6,2
11,357,546,1
7,57,87,1
9,128,175,1
8,183,190,1
7,9,10,1
7,42,43,1
6,263,177,1
7,346,329,1
7,343,352,1
7,346,355,1
28,82,70,1
17,341,149,2
14,155,238,1
1,126,1,2
6,13,16,1
12,33,38,1
11,11,13,1
11,11,13,1
9,1,1,4
10,165,258,1
11,168,279,1
11,119,204,1
2,62,5,2
1,20,2,2
1,87,5,2
1,279,7,2
