@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4,10-11'

@attribute Eccen numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
1.889,7,5
27.2,319,1
0.933,12,5
27.1,369,1
2,7,5
34,288,1
27.1,375,1
27.1,342,1
9.75,113,1
2,20,1
27.1,351,1
18.286,137,1
3,18,1
6,43,1
2.75,12,1
15,82,1
1.778,14,1
2.167,16,1
6.4,47,1
2.833,22,1
2.6,12,1
22,6,2
3,6,1
11.889,138,1
2.111,34,1
3.2,25,1
6.111,87,1
3.667,33,1
2,23,1
1.857,16,1
3,34,1
3.286,33,1
2.143,21,1
3.375,39,1
0.5,5,1
5.429,43,1
5.5,38,1
1.857,19,1
3.714,40,1
1,7,1
5.333,83,1
3.556,46,1
1.167,8,1
2.625,30,1
2.714,22,1
1,8,1
3.5,33,1
2.667,8,1
2.429,17,1
3.6,22,1
4.286,44,1
1.571,14,1
2.286,14,1
2.222,35,1
0.571,4,1
6.143,66,1
1,11,1
3.111,43,1
3.167,22,1
1.571,20,1
4.778,63,1
2.167,19,1
4.9,60,1
1.833,17,1
2,17,1
25.1,327,1
3.429,28,1
1.571,17,1
2.8,16,1
8,86,1
1.833,14,1
0.556,6,1
2.444,26,1
1.571,21,1
1,8,1
1.6,12,1
1.8,8,1
3.714,41,1
2.333,14,1
5.5,41,1
11.333,91,1
1.286,11,1
3.571,41,1
1,6,1
1.857,19,1
4.556,57,1
22.444,122,1
2.833,26,1
1.571,14,1
3.286,33,1
0.6,3,1
1.857,19,1
2.714,26,1
65,14,2
1.125,17,1
1,29,5
0.125,1,4
1.655,32,5
3,48,1
1.5,20,1
2.286,25,1
0.19,7,5
2.474,18,5
1.364,27,1
1.125,15,1
1.125,10,1
12.889,190,1
1.5,22,1
3.6,59,1
1.333,10,1
17,1,2
0.875,12,1
3.625,50,1
4,54,1
0.667,3,1
1.25,17,1
6.125,91,1
1.714,18,1
3,47,1
6.25,74,1
0.75,12,1
5.429,45,1
0.8,2,1
1.5,20,1
24.727,420,1
1.75,23,1
2.182,39,1
2,21,1
3,47,1
2,25,1
5,69,1
6,56,1
2.75,35,1
4.1,66,1
0.7,13,1
1.5,19,1
11.455,180,1
4.556,61,1
5,42,1
0.5,3,1
2.6,49,1
1.125,14,1
4.625,60,1
3.25,39,1
5.2,81,1
6.5,52,1
13.273,209,1
5.25,61,1
2.143,23,1
12.667,150,1
6.1,82,1
15.571,112,1
0.448,150,5
2.4,12,1
5.5,82,1
14.4,205,1
4.909,74,1
5.375,69,1
6.2,75,1
0.735,106,5
4.125,62,1
1.333,9,1
3.667,43,1
2.778,29,1
4.375,57,1
3.6,58,1
7.9,108,1
2.375,31,1
4.875,72,1
2.3,30,1
1.9,39,1
3,27,1
1.5,20,1
1.5,21,1
3.875,46,1
2.6,44,1
2.875,33,1
4.875,56,1
1.5,19,1
1.6,9,1
0.667,4,1
1.125,13,1
6.222,88,1
1.625,24,1
1.625,25,1
1.4,8,1
0.625,8,1
8.818,139,1
4.444,62,1
2.625,36,1
3.667,53,1
1.75,25,1
2.3,37,1
1.286,9,1
3.125,27,1
3.571,27,1
0.857,9,1
4.6,29,1
1.5,20,1
2.25,31,1
13.667,173,1
18.333,197,1
3,4,1
33.778,419,1
13.667,97,1
59.111,572,1
2.167,13,1
3,4,1
19.6,78,1
11.667,400,1
9.125,92,1
30.571,234,1
34,378,1
21.75,172,1
29.667,234,1
36.571,178,1
249,42,1
59.333,585,1
200,25,1
2.846,44,1
20.222,210,1
12,141,1
4.833,38,1
53.5,671,1
30.714,246,1
9.222,113,1
11.333,132,1
7.625,77,1
31.286,222,1
24.75,260,1
17.538,235,1
2.846,41,1
7.417,258,1
186,17,2
23,255,1
11.444,125,1
42.875,294,1
62,1,2
7.12,276,1
3.5,110,1
26.875,243,1
21.222,264,1
5.333,42,1
56.667,241,1
46.455,671,1
268.5,7,2
19.444,222,1
179,8,2
16.214,226,1
12.333,128,1
268.5,40,2
59.556,456,1
139.5,40,1
19.75,97,1
7.12,266,1
12.444,135,1
13.778,144,1
20.667,220,1
5.333,39,1
11,120,1
2,19,1
56.667,618,1
13.5,109,1
10.143,67,1
56.667,533,1
17.462,215,1
11.333,135,1
74,13,1
59.444,617,1
50.4,590,1
53.571,200,1
1.033,302,3
3.337,603,5
1.795,167,3
0.026,1,4
180,2,2
6.154,81,1
3.727,52,1
3.1,30,1
0.024,1,4
0.692,14,1
1,2,1
16.273,226,1
2.25,1,2
5.917,81,1
28.714,473,1
27.5,412,1
0.9,1,1
1,1,1
34,7,2
16.727,195,1
31.273,358,1
2,13,1
6.107,621,1
15.5,177,1
9.556,107,1
20.25,188,1
23.75,324,1
1,1,1
1.778,12,1
17.889,218,1
14.5,236,1
27.857,441,1
11.875,120,1
2.222,14,1
13.818,212,1
1,1,1
16.889,187,1
18.143,284,1
5.739,139,1
16.385,214,1
10.231,127,1
0.077,1,4
12,64,1
7,1,1
17.111,192,1
34.083,515,1
28,6,2
25.938,499,1
7.083,237,1
21.313,394,1
5.9,80,1
1.833,17,1
23.412,408,1
14.188,300,1
1.818,15,1
23.667,386,1
26.5,488,1
6,90,1
26.063,481,1
0.143,1,4
2,16,1
0.111,1,4
31.222,398,1
39.778,525,1
2.714,18,1
26.9,160,1
18,138,1
18.111,137,1
0.714,1,1
1.333,39,1
2.727,37,1
1.235,8,1
1.353,25,1
18.444,217,1
33,246,1
1.412,39,1
32.429,215,1
1.667,2,1
13.857,79,1
30.429,234,1
14,114,1
2.013,78,1
24.846,449,1
15.667,79,1
16.167,87,1
16,103,1
16,79,1
16,80,1
16.4,70,1
36.778,421,1
28.2,378,1
16,71,1
16,86,1
1,2,1
17,158,1
41,15,1
42,16,1
8.429,82,1
17.857,160,1
16.125,164,1
10.857,116,1
8.333,41,1
47,19,1
4.286,43,1
29,302,1
4,212,1
3,31,1
9.833,61,1
7.5,66,1
5.4,21,1
8.625,83,1
4.8,31,1
4,39,1
1.4,6,1
5.974,370,1
0.632,9,1
2.2,34,1
2.3,34,1
25.917,443,1
29,548,1
2,23,1
24.857,526,1
9.875,111,1
7.375,59,1
37.75,356,1
17.667,72,1
49.429,341,1
19.286,99,1
42.75,317,1
8,1,2
95,1,2
8.2,120,1
1,13,1
3.1,44,1
0.125,1,4
1.2,14,1
1.368,256,1
13.357,300,1
1,10,1
17,268,1
11.5,187,1
5.857,45,1
