@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R4-5,11'

@attribute Eccen numeric
@attribute P_black numeric
@attribute Class {1,2,3,4,5}

@data
1.571,0.364,1
1.667,0.317,1
5.5,0.284,1
5.714,0.311,1
1.571,0.377,1
1.833,0.333,1
6.571,0.354,1
2.286,0.259,1
1.571,0.299,1
2.714,0.338,1
4.556,0.263,1
2.889,0.291,1
5.6,0.321,1
6.286,0.169,1
3.167,0.289,1
5.286,0.282,1
5.333,0.257,1
9.556,0.211,1
4,0.207,1
2.778,0.249,1
1.429,0.314,1
6.111,0.255,1
4.667,0.198,1
4.667,0.235,1
3.286,0.447,1
4.429,0.304,1
1.25,0.288,1
1,0.306,1
2.375,0.382,1
1.167,0.524,1
1.5,0.406,1
1.25,0.45,1
1.333,0.542,1
3.125,0.385,1
4.375,0.443,1
4.5,0.458,1
1.1,0.473,1
1.625,0.529,1
2.375,0.401,1
2.667,0.49,1
1.7,0.382,1
0.529,0.209,5
2.375,0.368,1
2.875,0.337,1
0.906,0.157,5
0.125,1,4
1,0.528,1
1,0.388,1
0.9,0.344,1
3.5,0.411,1
3,0.537,1
27.1,0.239,1
2.625,0.435,1
2.778,0.32,1
1.5,0.427,1
3.125,0.515,1
1.778,0.382,1
13.636,0.186,1
0.5,0.469,1
3.375,0.435,1
2.5,0.392,1
24.727,0.283,1
0.875,0.411,1
22.273,0.252,1
0.875,0.429,1
3.2,0.338,1
1.4,0.6,1
6.4,0.189,1
1.364,0.352,1
2.889,0.342,1
1.333,0.491,1
5.4,0.319,1
4.875,0.282,1
1.875,0.433,1
2.5,0.328,1
3.5,0.406,1
1.2,0.4,1
1.625,0.413,1
21.75,0.207,1
1,0.391,1
1.6,0.375,1
1.9,0.3,1
0.7,0.357,1
1.4,0.457,1
9.5,0.314,1
3.2,0.306,1
1.143,0.482,1
1,0.592,1
0.286,0.714,1
7.2,0.292,1
15,0.252,1
1.556,0.278,1
2.3,0.27,1
2.5,0.6,1
2.857,0.421,1
14.5,0.268,1
1.5,0.37,1
4.667,0.312,1
4,0.375,1
4.444,0.344,1
9.909,0.234,1
5,0.35,1
5.7,0.326,1
2.857,0.457,1
0.4,0.7,1
4.333,0.519,1
1.125,0.361,1
5.625,0.297,1
1.6,0.444,1
7.4,0.303,1
3.75,0.296,1
2,0.32,1
3.5,0.311,1
5.818,0.25,1
3.3,0.342,1
0.714,0.486,1
2.8,0.557,1
2,0.375,1
4,0.54,1
0.75,0.375,1
1.5,0.396,1
2.857,0.464,1
1.667,0.483,1
5.857,0.355,1
2.25,0.438,1
1.625,0.356,1
0.444,0.444,1
23.727,0.251,1
15.909,0.21,1
6.25,0.378,1
2.571,0.468,1
4.125,0.436,1
4.667,0.325,1
0.625,0.525,1
1.875,0.425,1
0.875,0.518,1
23.727,0.231,1
3,0.385,1
4.75,0.339,1
2,0.375,1
0.667,0.5,1
4.429,0.396,1
4.5,0.296,1
7.8,0.255,1
10.182,0.217,1
2.5,0.332,1
3,0.328,1
5.143,0.409,1
5.375,0.326,1
0.779,0.164,5
3.926,0.261,1
11.667,0.449,1
8.111,0.376,1
18.4,0.325,1
1.857,0.286,1
18.75,0.158,1
9.5,0.184,1
13.625,0.109,1
17.385,0.258,1
14.286,0.283,1
9,0.288,1
0.667,0.417,1
11.889,0.357,1
13.5,0.282,1
24.5,0.142,1
277,1,2
10.938,0.142,5
59.444,0.146,1
8.625,0.234,1
53.5,0.113,1
29.125,0.151,1
12.5,0.356,1
3.387,0.224,5
14.429,0.501,1
26.875,0.404,1
27.778,0.305,1
59.444,0.106,1
15,0.269,1
20.143,0.16,1
10.615,0.232,1
11.76,0.471,1
10.75,0.494,1
12.625,0.29,1
9.333,0.329,1
51.1,0.141,1
1.875,0.292,1
2.179,0.172,5
14.286,0.279,1
15.5,0.427,1
16.444,0.198,1
59.444,0.192,1
31.143,0.142,1
20,0.16,1
2.923,0.334,1
12.5,0.245,1
269,0.518,2
54.667,0.209,1
31.556,0.137,1
20.429,0.105,1
2,0.327,1
54.222,0.074,1
2.167,0.359,1
2.167,0.295,1
20.667,0.16,1
4.143,0.683,1
2.923,0.312,1
11.667,0.452,1
11.68,0.45,1
166.67,0.373,2
5.167,0.301,1
20,0.131,1
29.333,0.197,1
34.444,0.17,1
11.333,0.18,1
16,0.168,1
268,0.586,2
1.7,0.318,1
22,0.818,2
10,0.8,2
0.019,1,4
0.357,0.443,1
4.8,0.579,1
0.027,1,2
0.032,1,4
11,0.909,2
29,0.931,2
3.783,0.298,5
18,0.5,2
25.9,0.351,1
5.208,0.915,1
26.5,0.38,1
1.9,0.605,1
24.769,0.375,1
6.538,0.188,1
19.375,0.452,1
0.091,1,4
6.76,0.215,2
1.7,0.506,1
15.462,0.4,1
28,0.536,2
0.787,0.574,3
0.05,1,4
1.889,0.608,1
27.667,0.402,1
0.032,1,4
15.1,0.381,1
33.308,0.375,1
5.636,0.353,1
15,0.354,1
20.286,0.365,1
17.778,0.36,1
21.857,0.467,1
15.556,0.38,1
2.843,0.359,3
2.111,0.667,1
2.182,0.53,1
21.5,0.385,1
1.818,0.564,1
12.813,0.401,1
11.429,0.5,1
1.333,0.917,1
14.636,0.333,1
25.6,0.371,1
2,0.603,1
1.833,0.542,1
27.455,0.379,1
0.754,0.415,3
5.435,0.953,1
23.5,0.371,1
0.833,0.675,1
13,0.575,1
19.625,0.446,1
4.25,0.191,1
3.338,0.465,1
1.118,0.362,1
18.667,0.268,1
4.5,0.181,1
1.222,0.366,1
17.889,0.273,1
10.222,0.287,1
19,0.27,1
0.647,0.326,1
23.6,0.154,1
15.714,0.174,1
26,0.194,1
18.4,0.287,1
30.25,0.232,1
1.005,0.273,5
9.571,0.258,1
6.444,0.351,1
33,0.207,1
23.25,0.312,1
21.846,0.205,1
28.8,0.191,1
19.2,0.342,1
19.2,0.404,1
19.4,0.334,1
6.5,0.342,1
4.429,0.382,1
12.333,0.209,1
40,0.4,1
2.75,0.438,1
4,0.17,1
91,0.352,1
5.167,0.199,1
3.714,0.302,1
1.2,0.233,1
0.019,0.529,4
2.571,0.262,1
3,0.203,1
0.479,0.094,1
3,0.093,1
4.875,0.205,1
1.2,0.433,1
2.6,0.292,1
7.8,0.338,1
29.429,0.179,1
85,0.882,2
32.455,0.215,1
8.143,0.321,1
14.222,0.219,1
22.875,0.185,1
1.286,0.349,1
6,0.262,1
43.833,0.124,1
49.429,0.159,1
49,0.213,1
49.429,0.185,1
2.929,0.271,1
20.059,0.935,2
11.071,0.303,1
126,0.992,2
2.167,0.538,1
2.75,0.391,1
1,0.455,1
1,0.438,1
0.111,1,4
16.5,0.258,1
15.273,0.234,1
10.818,0.268,1
31,0.452,2
20,0.85,2
87,0.92,2
279,0.964,2
