@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,8,11'

@attribute Height numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
6,71,1
4,51,1
7,31,1
7,101,1
5,17,1
7,236,1
5,9,1
7,34,1
7,26,1
7,8,1
9,423,1
7,24,1
7,20,1
8,76,1
8,129,1
9,106,1
7,49,1
7,19,1
6,16,1
8,30,1
9,43,1
7,66,1
10,93,1
7,69,1
7,31,1
7,36,1
6,13,1
7,115,1
7,27,1
8,54,1
5,42,1
7,20,1
7,32,1
7,27,1
7,28,1
7,13,1
9,47,1
7,35,1
9,46,1
7,46,1
9,22,1
7,23,1
10,61,1
7,14,1
5,29,1
5,35,1
8,14,1
8,15,1
7,28,1
7,37,1
7,24,1
9,105,1
8,100,1
5,62,1
10,22,1
7,32,1
7,80,1
6,26,1
7,88,1
7,30,1
9,62,1
8,85,1
9,77,1
7,28,1
9,199,1
7,23,1
10,484,1
7,28,1
7,32,1
7,108,1
9,25,1
7,111,1
7,36,1
6,53,1
9,82,1
6,11,1
5,52,1
7,37,1
6,31,1
6,70,1
5,71,1
8,887,1
8,60,1
8,125,1
8,131,1
8,33,1
10,80,1
36,247,5
8,70,1
9,51,1
10,129,1
9,67,1
8,31,1
8,66,1
6,77,1
6,11,5
10,70,1
4,7,5
9,85,1
9,9,4
6,57,2
10,83,1
6,93,1
8,49,1
8,13,1
8,505,1
12,812,1
8,47,1
9,118,1
8,45,1
6,103,1
8,60,1
8,69,1
8,57,1
6,30,1
8,33,1
10,64,1
9,116,1
8,84,1
8,128,1
9,76,1
9,178,1
8,26,1
8,26,1
11,90,1
12,715,1
10,54,1
7,72,1
7,24,1
9,223,1
10,42,1
8,103,1
11,145,1
7,40,1
7,46,1
8,42,1
10,47,1
8,44,1
5,88,1
10,48,1
10,245,1
8,145,1
8,30,1
10,178,1
5,82,1
6,48,1
9,95,1
8,52,1
9,33,1
10,155,1
8,57,1
6,13,1
7,46,1
8,17,1
8,67,1
6,52,1
8,24,1
10,153,1
8,60,1
10,133,1
9,102,1
9,80,1
8,37,1
7,121,1
10,215,1
5,45,1
8,38,1
8,99,1
10,79,1
7,25,1
9,108,1
10,73,1
7,23,1
10,689,1
10,267,1
7,29,1
7,11,1
10,144,1
8,49,1
15,294,1
9,188,1
7,93,1
2,603,2
9,347,1
7,213,1
28,427,3
4,8,1
7,242,1
9,644,1
9,884,1
3,549,2
8,326,1
9,737,1
6,64,1
8,246,1
6,153,1
7,187,1
6,87,1
10,731,1
6,161,1
9,566,1
9,743,1
3,556,2
13,783,1
5,58,1
8,398,1
7,147,1
8,329,1
26,3464,1
7,184,1
7,279,1
9,583,1
9,235,1
1,20,1
1,8,1
1,13,2
24,2178,1
8,30,1
8,28,1
8,137,1
14,592,1
9,356,1
9,371,1
10,758,1
1,13,1
14,472,1
25,3448,1
9,440,1
9,313,1
6,14,1
8,129,1
8,388,1
8,258,1
9,622,1
9,502,1
7,25,1
9,178,1
9,393,1
1,14,1
8,230,1
6,70,1
9,587,1
6,56,1
2,11,1
6,45,2
12,366,2
1,51,2
10,111,1
10,170,1
1,7,2
10,130,1
54,54,4
11,649,1
14,72,1
11,60,1
34,34,4
22,22,4
1,11,2
1,74,2
8,178,1
9,84,1
10,46,1
10,1508,1
23,2684,1
14,1902,1
9,99,1
14,1424,1
1,50,2
10,62,1
14,1317,1
1,14,2
9,94,1
8,8,4
10,564,1
128,17721,3
10,114,1
23,8027,1
10,99,1
13,1906,1
7,482,1
25,7358,1
10,97,1
13,1375,1
16,2053,1
25,4304,1
16,2258,1
24,2670,1
163,13725,3
9,511,1
15,2167,1
12,153,1
11,148,1
16,2145,1
15,2127,1
7,188,1
1,9,1
1,8,2
12,1617,1
15,1661,1
10,232,1
16,2150,1
11,146,1
9,1122,1
9,964,1
10,477,1
7,162,1
7,237,1
7,336,1
8,318,1
9,320,1
17,146,1
17,71,1
9,419,1
9,135,1
9,101,1
6,119,1
10,606,1
13,742,1
5,116,1
6,178,1
5,155,1
6,184,1
11,93,1
9,64,1
11,255,2
10,9,4
9,126,1
6,14,1
6,11,1
1,9,1
8,188,1
7,134,1
8,211,1
9,136,1
6,38,1
7,130,1
7,65,1
8,286,1
9,163,1
6,19,1
4,131,1
7,60,1
8,59,1
9,95,1
7,40,1
7,222,1
7,20,1
16,546,1
14,75,1
11,179,1
14,907,1
1,49,2
3,559,2
13,1034,1
3,532,2
13,460,1
8,57,1
1,204,2
10,4409,2
3,746,2
9,531,1
10,537,1
8,169,1
7,46,1
1,11,2
1,122,2
6,21,1
7,42,1
19,313,1
8,177,1
17,5328,2
10,195,1
10,128,1
7,7,4
11,57,1
7,7,4
8,1611,2
10,488,1
11,416,1
6,171,1
