@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R1,3,8,11'

@attribute Height numeric
@attribute Area numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
9,495,128,1
7,98,33,1
6,24,11,1
7,98,37,1
6,102,33,1
9,198,45,1
7,112,34,1
9,441,98,1
7,301,75,1
5,30,9,1
7,119,42,1
10,90,20,1
8,48,15,1
7,189,15,1
7,308,67,1
7,105,24,1
7,126,46,1
9,423,118,1
9,270,73,1
5,95,42,1
7,224,60,1
7,91,26,1
7,77,22,1
7,98,21,1
7,161,55,1
7,49,16,1
6,168,62,1
5,35,19,1
7,189,54,1
7,168,41,1
10,330,60,1
7,77,28,1
6,60,19,1
8,352,100,1
7,280,87,1
7,77,29,1
6,66,22,1
7,322,114,1
7,112,29,1
7,77,23,1
7,133,45,1
9,369,97,1
9,234,68,1
5,140,45,1
7,308,52,1
6,114,33,1
7,259,73,1
9,432,111,1
9,774,163,1
8,256,53,1
9,225,56,1
7,70,22,1
9,495,126,1
9,378,75,1
9,378,89,1
7,161,72,1
7,217,66,1
8,80,23,1
7,49,15,1
8,152,58,1
6,42,22,1
8,96,39,1
8,80,36,1
6,48,26,1
8,200,77,1
8,280,124,1
8,288,132,1
10,110,52,1
8,104,55,1
8,152,61,1
6,96,47,1
10,170,65,1
17,153,32,5
8,152,56,1
8,184,62,1
53,2544,400,5
8,8,8,4
6,36,19,1
11,121,47,1
10,90,31,1
8,224,92,1
6,108,58,1
10,2710,647,1
8,168,73,1
9,225,72,1
8,96,41,1
8,200,103,1
9,144,55,1
11,1650,307,1
8,32,15,1
8,216,94,1
10,250,98,1
11,2992,847,1
8,56,23,1
11,2695,678,1
8,56,24,1
10,320,108,1
5,35,21,1
10,640,121,1
11,165,58,1
9,234,80,1
9,108,53,1
10,540,172,1
8,312,88,1
8,120,52,1
10,250,82,1
8,224,91,1
10,120,48,1
8,104,43,1
12,3132,649,1
8,64,25,1
10,160,60,1
10,190,57,1
10,70,25,1
5,35,16,1
8,608,191,1
10,320,98,1
7,56,27,1
7,49,29,1
7,14,10,1
10,720,210,1
10,1500,378,1
9,126,35,1
10,230,62,1
4,40,24,1
7,140,59,1
10,1450,389,1
6,54,20,1
9,378,118,1
8,256,96,1
9,360,124,1
11,1199,281,1
8,320,112,1
10,570,186,1
7,140,64,1
5,10,7,1
6,156,81,1
8,72,26,1
8,360,107,1
10,160,71,1
10,740,224,1
8,240,71,1
10,200,64,1
10,350,109,1
11,704,176,1
10,330,113,1
7,35,17,1
5,70,39,1
6,72,27,1
5,100,54,1
8,48,18,1
8,96,38,1
7,140,65,1
6,60,29,1
7,287,102,1
8,144,63,1
8,104,37,1
9,36,16,1
11,2871,722,1
11,1925,405,1
8,400,151,1
7,126,59,1
8,264,115,1
9,378,123,1
8,40,21,1
8,120,51,1
8,56,29,1
11,2871,662,1
8,192,74,1
8,304,103,1
10,200,75,1
6,24,12,1
7,217,86,1
10,450,133,1
10,780,199,1
11,1232,267,1
10,250,83,1
8,192,63,1
7,252,103,1
8,344,112,1
86,5762,947,5
27,2862,747,1
24,6720,3018,1
9,657,247,1
10,1840,598,1
7,91,26,1
8,1200,189,1
2,38,7,1
8,872,95,1
13,2938,759,1
7,700,198,1
7,441,127,1
6,24,10,1
9,963,344,1
6,486,137,1
8,1568,222,1
1,277,277,2
32,11200,1588,5
9,4815,704,1
8,552,129,1
10,5350,606,1
8,1864,282,1
6,450,160,1
31,3255,728,5
7,707,354,1
8,1720,695,1
9,2250,686,1
9,4815,510,1
5,375,101,1
7,987,158,1
13,1794,417,1
25,7350,3459,1
8,688,340,1
8,808,234,1
9,756,249,1
10,5110,721,1
8,120,35,1
28,1708,294,5
7,700,195,1
8,992,424,1
9,1332,264,1
9,4815,926,1
7,1526,216,1
9,1620,259,1
13,494,165,1
8,800,196,1
2,1076,557,2
9,4428,924,1
9,2556,350,1
7,1001,105,1
7,98,32,1
9,4392,326,1
6,78,28,1
6,78,23,1
9,1674,268,1
14,812,555,1
13,494,154,1
24,6720,3040,1
25,7300,3283,1
3,1500,559,2
6,186,56,1
7,980,128,1
9,2376,468,1
9,2790,475,1
9,918,165,1
7,784,132,1
2,1072,628,2
10,170,54,1
1,22,18,2
1,10,8,2
53,53,53,4
14,70,31,1
10,480,278,1
37,37,37,2
31,31,31,4
1,11,10,2
1,29,27,2
83,26062,7772,5
1,18,9,2
10,2590,908,1
24,3000,2746,1
14,5194,1975,1
10,190,115,1
13,4186,1571,1
26,4420,833,1
8,1240,561,1
11,11,11,4
25,4225,907,2
10,170,86,1
13,2613,1046,1
1,28,15,2
178,24920,14292,3
20,20,20,4
9,153,93,1
12,3984,1602,1
31,31,31,4
10,1510,575,1
13,5629,2109,1
11,682,241,1
11,1815,643,1
14,3976,1453,1
9,1440,518,1
7,1071,500,1
9,1260,479,1
166,78352,28093,3
9,171,114,1
11,264,140,1
16,5504,2121,1
11,220,124,1
16,3280,1314,1
7,560,280,1
3,12,11,1
11,1771,589,1
10,2560,951,1
11,242,146,1
12,264,143,1
11,3322,1260,1
187,26367,10947,3
23,2875,2739,1
16,6016,2232,1
12,120,81,1
8,832,478,1
8,1256,560,1
4,68,13,1
77,19789,9204,1
17,323,117,1
9,1512,405,1
4,72,13,1
18,396,145,1
9,1449,396,1
9,828,238,1
8,1216,328,1
17,187,61,1
5,590,91,1
7,770,134,1
8,1664,323,1
5,460,132,1
8,1936,450,1
197,39006,10654,5
7,469,121,1
9,522,183,1
10,3300,684,1
4,372,116,1
13,3692,758,1
10,2880,549,1
5,480,164,1
5,480,194,1
5,485,162,1
6,234,80,1
7,217,83,1
9,999,209,1
1,40,16,1
8,176,77,1
5,100,17,1
1,91,32,1
6,186,37,1
7,182,55,1
5,30,7,1
105,210,111,4
7,126,33,1
8,192,39,1
71,2414,227,1
5,75,7,1
8,312,64,1
5,30,13,1
5,65,19,1
5,195,66,1
14,5768,1032,1
1,85,75,2
11,3927,845,1
7,399,128,1
9,1152,252,1
8,1464,271,1
7,63,22,1
7,294,77,1
6,1578,196,1
7,2422,386,1
7,2401,512,1
7,2422,448,1
28,2296,623,1
17,5797,5420,2
14,2170,658,1
1,126,125,2
6,78,42,1
12,396,155,1
11,121,55,1
11,121,53,1
9,9,9,4
10,1650,426,1
11,1848,432,1
11,1309,351,1
2,124,56,2
1,20,17,2
1,87,80,2
1,279,269,2
