@relation page-blocks

@attribute Height numeric
@attribute Area numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
1,99,19,1
9,108,40,1
5,15,8,1
8,168,39,1
7,56,15,1
6,60,26,1
5,65,10,1
10,2510,705,1
15,4020,1661,1
10,100,46,1
7,280,64,1
10,1190,467,1
8,112,44,1
10,120,27,1
7,84,19,1
14,2604,799,1
10,1250,570,1
8,312,95,1
8,904,190,1
7,105,21,1
20,320,160,1
5,230,64,1
9,927,152,1
10,300,92,1
5,15,9,1
9,2934,501,1
6,258,87,1
8,128,42,1
9,99,25,1
10,220,61,1
11,77,46,1
11,825,223,1
11,2079,361,1
8,112,36,1
1,95,36,1
9,2475,500,1
7,665,178,1
9,441,261,1
9,828,242,1
9,261,83,1
14,5208,1971,1
9,396,184,1
9,135,51,1
9,171,46,1
9,1107,383,1
11,473,133,1
24,4248,2182,1
12,864,549,1
13,1001,298,1
9,891,278,1
8,296,99,1
7,203,62,1
8,112,52,1
10,240,64,1
10,410,139,1
6,240,71,1
7,287,53,1
12,4908,1482,1
8,376,128,1
8,360,132,1
8,128,55,1
7,826,319,1
6,180,81,1
11,616,238,1
7,91,71,1
10,80,46,1
7,77,24,1
8,344,133,1
11,1617,518,1
8,120,50,1
17,3451,3192,1
11,627,185,1
5,220,53,1
10,70,30,1
15,5340,2127,1
8,240,92,1
16,6528,2546,1
7,42,23,1
12,864,197,1
8,144,31,1
7,147,41,1
25,3825,977,1
13,4199,1076,1
11,990,381,1
6,102,35,1
7,210,57,1
7,42,16,1
8,400,101,1
9,90,31,1
6,162,39,1
6,132,43,1
10,1260,516,1
5,410,148,1
16,5392,1992,1
5,1015,243,1
9,747,218,1
8,2768,398,1
10,780,297,1
8,296,111,1
8,120,45,1
5,25,11,1
8,312,118,1
8,112,57,1
10,530,182,1
8,664,268,1
7,931,196,1
8,80,28,1
7,140,46,1
8,64,14,1
6,72,26,1
7,609,141,1
8,4280,731,1
7,140,43,1
10,350,32,1
8,360,56,1
6,576,114,1
8,520,157,1
8,504,129,1
6,576,183,1
7,413,100,1
8,272,101,1
7,245,99,1
10,1830,488,1
12,4968,1554,1
6,294,94,1
7,98,29,1
7,266,110,1
7,119,32,1
11,2024,920,1
2,90,7,1
9,747,281,1
7,672,211,1
10,2610,689,1
7,112,38,1
26,7644,3464,1
9,567,169,1
11,99,48,1
8,136,62,1
12,1404,281,1
7,56,26,1
5,575,240,1
4,32,11,1
8,136,31,1
10,520,140,1
9,180,66,1
8,96,45,1
8,272,114,1
9,270,67,1
10,160,99,1
10,790,256,1
10,290,88,1
9,945,223,1
8,56,15,1
18,1422,365,1
9,306,112,1
9,261,81,1
8,104,61,1
8,72,33,1
7,322,96,1
13,572,98,1
9,1332,195,1
7,63,19,1
5,445,75,1
11,242,67,1
8,552,202,1
8,256,101,1
7,98,32,1
5,10,8,1
10,1570,366,1
10,170,82,1
7,70,21,1
9,378,143,1
10,180,105,1
9,234,41,1
7,686,142,1
12,132,86,1
9,153,96,1
8,200,76,1
9,1548,265,1
8,72,31,1
17,408,174,1
14,4872,822,1
8,544,294,1
8,312,113,1
19,2337,207,1
67,19832,1748,1
11,583,131,1
11,1078,297,1
7,49,14,1
8,392,162,1
9,369,157,1
13,4381,811,1
6,84,43,1
9,414,100,1
4,24,10,1
7,1197,192,1
10,340,121,1
14,6160,975,1
6,576,171,1
6,570,129,1
8,256,103,1
10,1730,155,1
8,176,52,1
7,63,23,1
23,3036,2885,1
7,91,31,1
14,154,81,1
9,1611,550,1
12,444,182,1
9,144,30,1
11,242,71,1
9,819,169,1
8,152,47,1
7,203,74,1
10,190,103,1
10,2050,781,1
8,256,103,1
7,287,65,1
9,162,50,1
10,2710,476,1
9,180,53,1
11,3168,787,1
9,216,116,1
8,168,92,1
9,45,17,1
10,410,190,1
12,264,142,1
9,729,283,1
8,472,219,1
1,50,10,1
9,324,164,1
13,1911,684,1
10,990,439,1
5,60,29,1
10,400,133,1
8,344,153,1
7,217,68,1
7,154,38,1
11,4763,2137,1
7,427,137,1
10,440,173,1
8,104,66,1
7,812,213,1
24,4752,4329,1
5,20,9,1
9,4815,786,1
10,530,114,1
9,1359,349,1
13,1508,421,1
12,1068,458,1
9,4410,297,1
9,243,87,1
7,63,18,1
10,120,40,1
9,378,162,1
7,28,11,1
7,98,37,1
9,2160,559,1
8,1112,178,1
7,119,27,1
12,1464,381,1
24,8064,7238,1
12,1020,486,1
10,400,111,1
6,288,91,1
18,2844,563,1
10,2560,928,1
7,42,14,1
10,1260,575,1
11,2871,668,1
8,64,30,1
8,800,388,1
6,498,164,1
7,217,73,1
10,2710,522,1
7,210,68,1
10,660,180,1
24,5016,4645,1
7,42,17,1
8,328,76,1
9,153,60,1
8,424,146,1
10,490,255,1
10,1220,333,1
6,576,184,1
7,105,42,1
8,280,100,1
6,582,135,1
5,470,86,1
6,96,34,1
9,576,199,1
10,370,121,1
8,872,236,1
10,590,238,1
10,2620,754,1
8,168,81,1
8,288,123,1
8,176,70,1
2,22,9,1
5,490,167,1
5,35,21,1
12,804,281,1
8,152,59,1
9,162,39,1
9,4806,811,1
11,2992,835,1
79,12561,4009,1
4,396,199,1
7,133,37,1
10,230,60,1
9,2745,525,1
9,216,46,1
7,91,28,1
9,108,44,1
28,896,449,1
5,175,35,1
6,426,56,1
8,568,231,1
9,324,198,1
8,96,41,1
7,483,91,1
11,2013,937,1
14,5180,907,1
11,209,64,1
8,40,18,1
9,2502,645,1
8,72,20,1
7,1351,278,1
9,441,117,1
12,312,86,1
8,368,131,1
8,2416,510,1
8,976,222,1
8,72,26,1
3,9,7,1
9,4806,784,1
5,65,36,1
9,324,164,1
6,174,53,1
10,340,145,1
8,208,52,1
10,110,45,1
9,3177,594,1
9,234,70,1
10,140,52,1
8,1232,522,1
7,1344,183,1
7,1498,672,1
8,344,118,1
17,408,166,1
8,168,70,1
13,2964,710,1
6,42,15,1
9,261,80,1
7,98,36,1
10,2710,724,1
7,112,29,1
10,250,80,1
9,1521,522,1
8,56,24,1
6,18,10,1
9,2412,441,1
8,112,42,1
8,120,57,1
7,322,134,1
10,380,117,1
10,420,149,1
8,144,58,1
6,780,197,1
7,91,25,1
11,374,121,1
10,3090,618,1
5,195,77,1
7,2625,241,1
7,560,57,1
10,5110,684,1
10,530,162,1
8,104,51,1
10,2280,592,1
8,1344,430,1
9,135,24,1
6,102,30,1
7,140,53,1
11,275,92,1
10,670,201,1
8,112,45,1
8,640,222,1
8,136,47,1
10,110,30,1
8,536,204,1
5,60,36,1
8,960,240,1
8,72,23,1
6,582,164,1
7,3633,265,1
13,325,76,1
9,4590,681,1
8,160,73,1
6,264,70,1
4,28,8,1
16,1696,325,1
9,603,282,1
10,190,107,1
7,945,147,1
8,56,24,1
4,16,7,1
10,600,134,1
6,564,106,1
9,4788,736,1
8,104,65,1
9,738,181,1
10,150,45,1
3,12,11,1
14,1750,505,1
7,217,62,1
11,99,54,1
9,180,65,1
9,1143,199,1
11,1012,365,1
9,1170,600,1
9,324,179,1
5,60,23,1
7,217,58,1
5,75,41,1
8,80,31,1
9,855,244,1
10,220,70,1
5,90,62,1
6,24,14,1
9,162,53,1
7,357,74,1
9,3384,760,1
9,207,46,1
9,369,187,1
7,532,160,1
10,1510,291,1
14,3556,1341,1
9,927,370,1
10,2620,719,1
6,138,52,1
9,405,124,1
7,56,22,1
5,80,20,1
9,378,130,1
7,413,191,1
13,6331,1564,1
10,300,110,1
6,534,159,1
8,96,42,1
7,28,8,1
10,980,454,1
9,918,328,1
9,2160,386,1
8,96,36,1
7,2723,455,1
9,2358,210,1
25,4650,2253,1
8,192,80,1
8,168,60,1
7,161,53,1
11,1309,341,1
9,2997,711,1
7,273,80,1
10,200,121,1
7,126,21,1
12,528,138,1
9,324,136,1
5,30,13,1
7,91,29,1
7,49,19,1
6,48,31,1
22,1584,823,1
7,847,234,1
7,455,98,1
10,2420,630,1
9,2376,619,1
8,360,132,1
10,90,60,1
8,936,188,1
6,90,24,1
7,1498,691,1
8,112,49,1
11,99,46,1
10,510,157,1
8,496,177,1
10,360,132,1
1,41,16,1
8,376,83,1
6,426,140,1
7,133,53,1
7,287,73,1
10,820,297,1
9,2979,374,1
8,208,49,1
7,259,78,1
10,840,234,1
9,324,114,1
8,224,98,1
8,152,28,1
8,4080,586,1
8,128,61,1
6,42,19,1
11,2255,837,1
6,84,27,1
11,1452,274,1
9,963,201,1
8,304,76,1
8,184,44,1
10,2710,508,1
10,2710,524,1
7,49,17,1
8,184,67,1
6,534,215,1
9,873,277,1
12,3732,727,1
7,1036,191,1
8,248,92,1
9,153,82,1
14,6090,2164,1
7,203,58,1
8,72,27,1
5,65,17,1
8,296,111,1
9,1953,329,1
8,152,69,1
12,96,76,1
5,50,28,1
10,1310,575,1
12,516,184,1
7,84,19,1
9,144,40,1
6,78,23,1
9,648,165,1
9,423,116,1
10,980,294,1
7,119,43,1
8,208,77,1
10,2710,540,1
9,108,44,1
7,315,75,1
8,424,143,1
9,1476,279,1
13,1508,441,1
10,370,219,1
5,100,49,1
8,4088,343,1
7,315,80,1
7,525,347,1
9,2439,692,1
15,2070,893,1
13,3458,1375,1
14,4214,1084,1
24,6744,3155,1
7,357,101,1
8,2184,469,1
10,2600,732,1
3,9,8,1
12,516,160,1
9,1494,585,1
13,494,160,1
11,473,158,1
8,32,12,1
9,351,90,1
9,54,27,1
7,203,57,1
9,621,213,1
12,4848,1617,1
9,396,95,1
7,91,30,1
8,384,116,1
9,684,260,1
7,196,56,1
7,77,32,1
8,112,54,1
6,138,39,1
8,552,229,1
7,364,97,1
8,368,144,1
10,2630,537,1
33,5280,1154,1
8,184,51,1
9,414,140,1
9,630,273,1
9,369,138,1
5,495,176,1
8,72,28,1
9,108,70,1
7,392,89,1
8,136,63,1
7,280,52,1
5,65,20,1
9,1899,416,1
11,88,51,1
9,774,232,1
5,20,10,1
8,384,119,1
7,49,17,1
28,896,411,1
8,208,61,1
15,2310,976,1
7,945,191,1
9,306,116,1
8,200,71,1
12,3264,812,1
9,288,119,1
9,4113,712,1
9,288,86,1
14,532,130,1
8,640,126,1
10,1470,247,1
9,270,77,1
8,488,167,1
9,2412,1122,1
6,24,14,1
6,24,15,1
8,120,60,1
8,224,89,1
8,488,154,1
6,102,32,1
6,564,184,1
8,72,28,1
20,380,188,1
7,84,39,1
8,248,103,1
9,4590,740,1
9,297,101,1
10,1520,452,1
9,288,84,1
8,472,152,1
11,396,112,1
10,310,98,1
10,360,95,1
5,115,26,1
11,2882,747,1
5,35,14,1
23,5727,4409,1
2,208,13,1
8,2384,329,1
12,864,544,1
6,78,29,1
10,1050,246,1
16,4944,1890,1
10,3170,392,1
9,4824,913,1
7,77,23,1
9,981,215,1
12,1008,433,1
25,4650,2221,1
6,486,137,1
10,260,78,1
11,1067,317,1
7,56,20,1
5,35,16,1
9,108,46,1
3,168,11,1
13,2964,783,1
9,1674,712,1
8,96,40,1
8,296,99,1
4,380,118,1
10,650,289,1
8,1008,473,1
7,98,35,1
7,126,50,1
14,2562,998,1
4,16,8,1
13,1040,451,1
7,147,46,1
5,135,40,1
8,4280,704,1
6,372,87,1
8,176,69,1
7,42,19,1
9,414,120,1
9,423,131,1
10,160,46,1
6,576,137,1
8,160,63,1
7,672,182,1
5,30,13,1
8,80,34,1
10,580,174,1
11,1144,431,1
6,276,87,1
10,180,52,1
9,1350,384,1
8,40,19,1
7,1701,372,1
7,84,40,1
1,9,9,1
14,5390,1990,1
9,1566,235,1
9,189,100,1
10,1790,358,1
5,145,40,1
7,315,80,1
8,312,121,1
6,1032,303,1
9,1296,160,1
8,72,33,1
7,287,75,1
13,2951,668,1
7,91,24,1
16,6384,2357,1
9,1350,320,1
7,2422,418,1
8,568,77,1
10,200,87,1
9,4806,884,1
7,1680,362,1
12,5964,1773,1
5,20,12,1
9,315,114,1
7,350,75,1
7,147,50,1
16,6224,2268,1
9,1026,279,1
7,735,188,1
9,675,131,1
9,1773,485,1
6,78,26,1
7,245,121,1
36,180,118,1
13,1690,663,1
9,4815,655,1
9,1089,388,1
9,729,239,1
7,63,24,1
8,312,70,1
11,88,61,1
13,4524,1395,1
16,192,101,1
12,504,179,1
14,4760,1232,1
11,880,433,1
10,3270,1239,1
8,648,143,1
5,145,78,1
10,1620,735,1
8,200,67,1
7,63,22,1
8,120,32,1
12,1416,495,1
9,927,342,1
7,161,72,1
14,252,40,1
11,935,234,1
8,512,172,1
6,114,38,1
9,738,249,1
12,96,59,1
8,112,47,1
10,350,118,1
8,352,146,1
11,484,149,1
9,189,55,1
7,322,114,1
9,918,354,1
10,880,218,1
9,621,130,1
8,64,15,1
9,1629,570,1
11,506,143,1
8,152,54,1
7,126,34,1
7,175,53,1
6,66,24,1
7,679,133,1
8,96,37,1
8,72,26,1
10,970,412,1
7,182,49,1
6,72,20,1
11,1111,281,1
9,261,49,1
10,180,94,1
5,90,36,1
8,560,217,1
7,434,118,1
6,48,15,1
8,336,142,1
24,11232,5296,1
8,280,106,1
10,2930,606,1
5,30,10,1
7,203,57,1
7,875,254,1
7,287,61,1
24,3768,3411,1
5,535,132,1
9,1125,236,1
5,55,24,1
24,3192,2894,1
9,1512,476,1
9,540,223,1
4,48,12,1
11,1056,350,1
6,126,44,1
7,154,15,1
3,27,8,1
11,275,90,1
5,35,23,1
8,128,52,1
7,238,68,1
9,423,121,1
10,4300,1508,1
10,340,132,1
7,280,70,1
1,14,8,1
10,820,246,1
10,3980,1361,1
8,672,154,1
9,324,183,1
7,301,88,1
1,77,25,1
9,909,192,1
10,190,116,1
5,265,59,1
10,230,79,1
8,200,57,1
10,980,368,1
9,2448,659,1
10,380,71,1
13,4524,881,1
10,420,133,1
5,180,38,1
8,152,56,1
11,935,251,1
7,378,96,1
7,140,56,1
5,190,60,1
8,1520,495,1
7,413,94,1
10,1430,508,1
14,5838,2094,1
7,847,258,1
7,35,15,1
8,184,66,1
7,441,149,1
11,242,153,1
8,24,10,1
8,48,28,1
8,1584,341,1
7,140,60,1
9,378,131,1
6,84,23,1
8,192,78,1
1,7,7,1
9,837,270,1
3,27,8,1
10,970,410,1
9,2349,430,1
8,1080,142,1
6,570,156,1
9,720,243,1
7,112,28,1
7,98,18,1
14,2688,628,1
8,64,25,1
8,592,336,1
7,84,31,1
11,99,51,1
5,130,64,1
9,783,348,1
9,3321,1094,1
8,112,46,1
9,324,172,1
13,4875,751,1
12,2484,496,1
13,2886,1087,1
12,480,130,1
7,518,83,1
8,640,118,1
11,363,101,1
5,35,14,1
10,350,118,1
10,520,153,1
10,480,173,1
10,1210,486,1
11,88,64,1
9,387,106,1
7,637,213,1
8,72,27,1
7,595,114,1
10,170,91,1
11,1617,416,1
9,1620,606,1
16,5392,1956,1
8,64,33,1
8,264,99,1
7,91,30,1
10,1160,317,1
9,189,81,1
7,336,111,1
6,606,249,1
8,760,354,1
23,3151,2695,1
7,847,230,1
7,245,118,1
7,1330,390,1
1,27,16,1
10,370,57,1
8,792,167,1
14,4396,1664,1
1,45,16,1
24,2376,2168,1
17,408,147,1
6,144,42,1
9,747,266,1
7,175,65,1
5,75,30,1
6,576,193,1
7,77,35,1
10,100,50,1
9,324,184,1
7,91,34,1
9,432,118,1
11,352,93,1
4,384,184,1
7,98,49,1
11,154,68,1
8,72,38,1
9,2655,531,1
5,130,68,1
9,2754,530,1
5,50,25,1
7,861,120,1
8,1592,183,1
9,1170,524,1
11,484,152,1
8,520,140,1
11,242,101,1
23,2714,795,1
7,1225,228,1
9,1665,643,1
7,77,28,1
1,65,13,1
11,3212,1096,1
11,5621,956,1
11,1122,324,1
10,510,112,1
9,2070,826,1
4,188,56,1
6,576,151,1
10,1970,482,1
6,486,137,1
5,120,45,1
15,4500,1136,1
9,63,22,1
12,5964,1657,1
7,385,144,1
8,96,49,1
5,10,8,1
9,315,83,1
8,96,45,1
8,264,99,1
1,74,14,1
10,260,91,1
7,756,274,1
5,65,17,1
9,486,190,1
11,583,145,1
12,2112,637,1
10,190,63,1
9,2448,659,1
7,1617,420,1
9,81,51,1
12,1176,314,1
9,1539,186,1
25,4675,2207,1
9,729,209,1
12,4920,1595,1
7,133,53,1
5,215,71,1
6,78,24,1
11,803,217,1
7,77,28,1
7,427,137,1
4,16,9,1
5,195,85,1
9,4680,378,1
9,180,47,1
7,700,288,1
11,319,95,1
9,1107,397,1
8,984,396,1
7,147,38,1
5,885,200,1
9,918,196,1
9,819,247,1
6,24,10,1
10,2480,883,1
10,550,373,1
8,80,32,1
9,387,182,1
10,40,14,1
8,72,26,1
10,270,99,1
7,91,18,1
8,256,86,1
8,128,59,1
1,12,7,1
6,300,64,1
9,189,60,1
8,1304,500,1
11,539,185,1
10,2720,573,1
9,189,67,1
9,369,111,1
38,15580,4341,1
10,70,23,1
9,36,17,1
8,64,15,1
7,329,85,1
9,720,240,1
8,152,66,1
9,162,107,1
10,3300,744,1
7,168,46,1
10,2150,287,1
10,210,73,1
4,112,51,1
8,144,61,1
10,330,121,1
6,1104,300,1
5,40,22,1
10,330,93,1
6,576,174,1
7,1134,109,1
9,108,44,1
10,150,54,1
10,880,226,1
13,2769,995,1
13,845,255,1
38,4826,2238,1
8,264,86,1
9,2466,390,1
9,171,112,1
8,64,15,1
7,140,65,1
16,6560,2497,1
11,1078,342,1
23,8533,8027,1
9,117,28,1
7,392,56,1
9,504,171,1
7,315,152,1
12,1224,357,1
5,145,46,1
13,390,139,1
11,2695,952,1
11,704,278,1
5,80,45,1
9,315,186,1
7,490,262,1
7,1246,301,1
8,136,48,1
6,78,23,1
9,180,42,1
6,78,18,1
9,909,233,1
10,850,283,1
8,88,22,1
9,2088,573,1
11,935,240,1
9,765,236,1
12,3192,1079,1
7,455,184,1
6,60,27,1
7,980,248,1
7,56,21,1
7,119,37,1
8,104,44,1
5,85,33,1
24,4272,2099,1
8,104,71,1
11,330,125,1
9,900,417,1
7,343,109,1
7,126,35,1
9,1683,707,1
14,532,121,1
7,721,213,1
12,1236,436,1
8,856,311,1
7,252,92,1
12,468,132,1
7,133,54,1
8,240,85,1
8,256,94,1
9,576,102,1
11,88,53,1
7,56,18,1
6,78,26,1
7,119,38,1
5,15,9,1
10,150,47,1
9,414,100,1
11,715,279,1
9,333,151,1
23,6233,786,1
10,2620,499,1
13,494,163,1
8,568,176,1
13,4602,1749,1
9,9,9,1
9,369,90,1
10,440,138,1
8,224,88,1
20,360,176,1
11,2035,724,1
9,2448,336,1
7,273,69,1
13,4537,1724,1
6,108,53,1
8,2384,576,1
8,344,120,1
7,70,20,1
7,777,197,1
5,55,17,1
8,664,237,1
5,35,14,1
9,873,407,1
7,56,19,1
9,4815,566,1
10,520,166,1
