@relation page-blocks

@attribute Height numeric
@attribute Lenght numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
9,23,41,1
7,11,18,1
25,198,270,1
13,390,593,1
9,19,13,1
22,69,74,1
8,6,6,1
24,186,304,1
8,141,227,1
6,25,34,1
10,18,27,1
16,405,467,1
5,36,54,1
6,3,4,1
11,42,69,1
8,9,11,1
4,96,73,1
8,18,27,1
9,278,345,1
8,17,22,1
11,19,16,1
7,10,13,1
8,83,123,1
10,271,386,1
8,37,60,1
9,465,532,1
9,21,32,1
12,84,142,1
6,135,124,1
13,311,537,1
9,36,61,1
28,171,621,1
7,13,15,1
9,181,211,1
10,26,40,1
9,331,452,1
9,46,74,1
10,30,42,1
5,23,24,1
10,36,58,1
8,21,36,1
10,29,18,1
7,245,175,1
11,60,105,1
4,44,26,1
7,158,146,1
8,24,40,1
11,261,381,1
9,80,122,1
8,110,122,1
8,69,90,1
12,23,21,1
7,135,134,1
8,46,78,1
7,29,39,1
7,86,105,1
8,70,112,1
9,20,35,1
10,38,59,1
12,72,89,1
10,39,62,1
8,46,65,1
13,104,82,1
10,49,60,1
7,57,61,1
8,25,41,1
11,22,25,1
8,6,12,1
38,96,478,1
15,67,82,1
5,32,49,1
25,115,333,1
10,130,199,1
12,72,90,1
10,100,147,1
7,4,4,1
7,17,26,1
14,265,294,1
6,29,42,1
8,41,55,1
36,5,15,1
7,11,16,1
7,56,71,1
7,11,19,1
9,271,374,1
8,20,30,1
9,49,86,1
7,23,41,1
16,212,222,1
9,20,30,1
9,185,238,1
6,29,37,1
7,19,29,1
9,36,61,1
8,29,48,1
8,40,54,1
5,28,33,1
9,261,302,1
10,511,534,1
7,98,100,1
7,198,62,1
11,100,156,1
8,233,309,1
8,17,24,1
5,8,1,1
9,93,122,1
9,154,192,1
9,34,53,1
11,86,140,1
7,13,7,1
8,13,13,1
11,134,179,1
9,532,572,1
11,64,83,1
10,155,195,1
8,85,111,1
25,178,266,1
7,10,13,1
24,280,400,1
13,441,463,1
8,70,93,1
7,49,49,1
10,51,86,1
6,9,12,1
6,19,22,1
8,17,27,1
9,321,339,1
3,27,22,1
10,186,267,1
9,34,59,1
7,7,9,1
5,14,9,1
8,57,68,1
8,30,49,1
12,28,29,1
10,22,27,1
10,155,208,1
7,31,47,1
5,12,12,1
9,93,140,1
7,33,56,1
9,194,215,1
13,414,623,1
8,12,21,1
10,24,31,1
9,53,91,1
8,40,69,1
8,12,22,1
5,6,8,1
13,386,657,1
8,22,30,1
10,262,390,1
10,19,12,1
17,23,14,1
9,311,340,1
6,17,18,1
11,9,6,1
5,4,2,1
17,11,8,1
7,10,6,1
7,145,140,1
24,336,455,1
7,28,31,1
9,271,382,1
7,13,15,1
9,82,99,1
9,295,354,1
17,21,8,1
6,20,25,1
10,79,108,1
5,25,33,1
8,20,31,1
9,280,336,1
9,118,164,1
23,198,282,1
11,96,81,1
25,495,784,1
7,13,17,1
7,27,39,1
6,131,60,1
18,158,229,1
7,40,47,1
8,9,7,1
10,506,564,1
9,285,358,1
7,59,56,1
5,58,41,1
8,31,49,1
10,22,34,1
8,82,105,1
8,53,86,1
8,43,81,1
5,23,16,1
7,13,27,1
6,8,7,1
8,108,144,1
9,82,120,1
9,510,506,1
11,115,188,1
8,12,25,1
8,19,19,1
4,7,1,1
8,32,46,1
9,34,42,1
5,4,4,1
9,36,68,1
7,5,2,1
8,79,111,1
1,27,4,1
8,10,17,1
9,457,555,1
8,21,29,1
11,82,108,1
9,9,8,1
7,34,42,1
7,45,33,1
11,35,60,1
10,511,575,1
8,81,111,1
10,28,45,1
8,16,30,1
7,34,47,1
13,45,38,1
9,33,46,1
11,118,80,1
7,19,26,1
10,238,295,1
5,2,1,1
25,291,462,1
8,4,1,1
7,152,179,1
38,342,275,1
12,8,10,1
6,184,179,1
8,12,22,1
9,32,46,1
7,51,75,1
8,27,45,1
7,23,30,1
9,22,40,1
10,25,42,1
11,118,167,1
10,10,1,1
7,173,187,1
16,337,377,1
8,18,36,1
3,16,8,1
9,75,90,1
10,57,61,1
9,102,96,1
9,129,139,1
8,12,12,1
5,11,14,1
6,16,23,1
8,215,220,1
12,176,244,1
11,161,191,1
9,121,181,1
8,131,177,1
7,62,64,1
8,126,146,1
9,106,150,1
9,534,607,1
11,12,13,1
10,65,112,1
7,30,39,1
8,10,9,1
7,8,13,1
16,341,394,1
6,97,87,1
10,27,41,1
6,95,104,1
10,122,164,1
10,53,79,1
8,132,163,1
9,271,358,1
10,19,34,1
38,52,256,1
9,47,76,1
8,36,55,1
8,193,246,1
10,31,52,1
8,61,86,1
10,31,49,1
5,13,12,1
7,38,50,1
6,14,14,1
7,5,1,1
7,18,26,1
11,8,9,1
6,17,26,1
6,96,100,1
9,25,40,1
20,30,19,1
7,21,32,1
9,16,27,1
12,91,125,1
6,17,24,1
9,82,118,1
6,221,183,1
5,15,12,1
7,9,10,1
7,31,48,1
9,68,88,1
8,48,63,1
7,13,21,1
6,93,78,1
7,41,58,1
13,9,14,1
9,12,7,1
7,36,56,1
13,6,1,1
7,25,42,1
10,59,88,1
9,101,136,1
10,249,315,1
7,70,81,1
11,185,220,1
9,162,138,1
2,31,6,1
9,256,167,1
9,84,119,1
8,12,15,1
10,18,16,1
12,43,68,1
8,13,20,1
5,5,6,1
10,147,191,1
11,71,77,1
11,5,3,1
9,17,34,1
14,385,412,1
11,87,128,1
9,490,212,1
9,47,48,1
8,135,116,1
6,26,28,1
10,197,228,1
7,4,5,1
9,32,42,1
8,80,111,1
10,22,34,1
11,195,256,1
10,10,18,1
10,19,13,1
9,49,72,1
14,359,405,1
5,69,57,1
7,63,77,1
11,42,70,1
10,176,263,1
10,19,39,1
8,13,25,1
10,234,319,1
13,25,19,1
7,183,181,1
7,11,19,1
8,192,203,1
5,34,29,1
11,22,35,1
11,185,246,1
7,11,16,1
6,95,82,1
7,41,70,1
9,37,46,1
8,23,30,1
9,535,555,1
5,32,42,1
9,16,19,1
9,83,113,1
7,26,36,1
5,98,85,1
7,35,55,1
7,92,122,1
9,87,147,1
7,20,21,1
7,17,27,1
6,96,102,1
16,112,201,1
12,498,752,1
12,271,433,1
9,268,341,1
13,225,226,1
10,64,109,1
8,32,61,1
12,118,181,1
7,25,40,1
5,27,35,1
7,24,32,1
6,14,21,1
7,34,44,1
9,101,140,1
7,50,61,1
9,363,326,1
7,6,9,1
9,508,614,1
6,40,52,1
14,91,98,1
10,52,81,1
14,399,425,1
9,75,79,1
6,5,6,1
6,189,227,1
5,29,33,1
6,49,32,1
7,41,57,1
9,46,63,1
5,4,1,1
8,42,54,1
7,22,32,1
8,83,123,1
5,7,6,1
5,8,9,1
7,38,48,1
9,274,298,1
8,94,119,1
12,40,29,1
17,350,414,1
25,84,110,1
10,115,187,1
7,34,40,1
8,82,126,1
9,132,146,1
10,124,171,1
9,36,65,1
6,19,26,1
12,20,16,1
11,35,24,1
7,14,20,1
11,37,75,1
9,49,69,1
4,18,7,1
8,10,16,1
10,83,130,1
6,14,22,1
8,29,39,1
11,65,77,1
11,29,43,1
8,16,19,1
11,303,123,1
6,26,40,1
8,26,30,1
11,8,5,1
8,183,202,1
6,7,12,1
10,59,80,1
9,250,316,1
8,21,27,1
8,6,3,1
11,45,66,1
17,171,250,1
5,99,117,1
10,179,254,1
77,271,885,1
8,71,112,1
10,151,197,1
7,45,54,1
7,48,60,1
8,16,23,1
9,535,573,1
9,148,189,1
11,91,123,1
8,83,120,1
7,31,41,1
8,12,19,1
8,36,65,1
9,80,108,1
8,16,21,1
10,30,47,1
12,272,404,1
11,125,196,1
9,181,201,1
8,20,24,1
10,34,56,1
9,42,56,1
7,4,4,1
11,19,41,1
8,69,83,1
11,97,139,1
9,218,203,1
9,376,569,1
9,33,54,1
10,26,35,1
6,31,35,1
8,24,31,1
9,99,164,1
13,375,521,1
11,156,253,1
7,19,31,1
16,415,499,1
6,7,8,1
24,468,689,1
4,17,6,1
9,64,87,1
7,16,25,1
8,84,110,1
7,79,88,1
11,54,91,1
11,251,334,1
5,93,98,1
10,10,1,1
8,14,18,1
10,155,231,1
1,42,16,1
9,220,316,1
8,47,64,1
9,83,122,1
9,9,1,1
8,8,6,1
9,105,117,1
7,14,15,1
1,60,12,1
10,49,86,1
8,8,9,1
5,63,58,1
7,61,77,1
9,341,165,1
8,80,113,1
7,13,17,1
8,22,37,1
12,43,69,1
9,18,29,1
9,44,64,1
9,44,66,1
6,96,76,1
10,50,69,1
4,19,18,1
10,9,18,1
11,7,8,1
10,38,50,1
9,63,83,1
24,170,223,1
7,18,23,1
9,37,57,1
8,42,50,1
8,108,182,1
5,4,3,1
6,3,1,1
7,4,3,1
10,18,11,1
11,54,77,1
8,12,14,1
10,185,237,1
11,9,9,1
16,439,530,1
11,32,63,1
9,18,11,1
8,21,30,1
8,38,21,1
7,35,42,1
9,249,344,1
10,79,103,1
7,9,1,1
9,85,121,1
9,37,60,1
5,17,26,1
14,326,377,1
8,22,37,1
8,3,4,1
9,28,43,1
9,48,83,1
8,9,16,1
9,108,170,1
10,30,48,1
12,7,5,1
9,29,49,1
9,133,150,1
11,104,164,1
7,164,202,1
8,12,20,1
16,24,32,1
9,23,41,1
7,163,185,1
17,23,25,1
7,14,10,1
8,535,520,1
6,43,30,1
10,46,66,1
6,7,4,1
7,46,78,1
25,494,776,1
8,1,1,1
16,427,492,1
3,31,10,1
10,100,146,1
7,190,218,1
18,24,34,1
9,184,251,1
7,35,42,1
2,104,12,1
10,100,159,1
7,13,19,1
7,14,19,1
9,80,115,1
9,534,585,1
8,63,85,1
7,26,23,1
5,3,1,1
10,131,199,1
6,50,49,1
7,240,221,1
8,215,243,1
8,242,195,1
7,141,139,1
11,15,27,1
8,7,11,1
8,20,30,1
8,150,187,1
6,15,13,1
10,63,83,1
8,23,36,1
6,32,41,1
16,393,418,1
8,344,486,1
13,38,42,1
7,33,53,1
16,337,387,1
13,423,632,1
6,18,26,1
8,39,65,1
11,90,101,1
11,94,143,1
8,38,75,1
7,11,17,1
7,35,56,1
15,419,482,1
7,15,22,1
6,7,10,1
9,186,255,1
7,128,140,1
6,35,42,1
9,34,68,1
8,17,18,1
8,129,164,1
9,92,129,1
7,15,27,1
7,49,71,1
8,23,25,1
9,18,23,1
11,8,8,1
3,56,8,1
6,94,66,1
6,7,1,1
11,22,30,1
9,83,89,1
9,20,28,1
67,296,1134,1
9,47,86,1
1,60,11,1
6,50,50,1
8,8,14,1
7,56,78,1
13,440,669,1
10,17,16,1
9,181,216,1
8,32,48,1
10,67,86,1
11,122,177,1
9,40,57,1
11,9,8,1
5,4,3,1
6,82,97,1
7,6,9,1
7,14,17,1
10,271,318,1
10,126,200,1
7,7,4,1
10,67,94,1
9,44,53,1
5,16,10,1
10,105,145,1
9,349,306,1
10,303,410,1
10,55,82,1
9,24,36,1
9,36,59,1
8,31,46,1
11,193,325,1
8,40,68,1
13,152,220,1
1,9,1,1
10,42,60,1
7,98,114,1
8,12,28,1
5,5,7,1
10,219,270,1
5,9,8,1
11,8,8,1
14,34,43,1
8,155,276,1
9,41,58,1
6,26,35,1
10,126,202,1
9,275,359,1
11,303,67,1
10,262,344,1
1,45,15,1
8,21,31,1
11,17,14,1
14,410,576,1
7,19,17,1
12,118,189,1
7,87,116,1
11,63,83,1
12,20,14,1
9,99,120,1
5,6,6,1
10,131,217,1
14,27,25,1
7,33,14,1
8,43,53,1
10,18,31,1
5,17,11,1
8,31,50,1
6,96,86,1
5,18,22,1
5,6,1,1
8,52,77,1
7,150,138,1
10,271,380,1
7,96,118,1
10,154,207,1
9,110,148,1
9,259,336,1
8,24,42,1
4,9,9,1
8,48,67,1
9,34,47,1
8,62,81,1
7,38,53,1
10,44,80,1
11,21,15,1
11,52,84,1
5,13,7,1
10,145,212,1
8,16,23,1
7,8,5,1
10,22,29,1
8,65,100,1
8,50,70,1
8,12,21,1
8,35,59,1
8,27,45,1
8,8,10,1
8,14,20,1
7,33,54,1
11,272,352,1
5,39,31,1
7,14,16,1
1,18,2,1
10,46,79,1
11,30,41,1
9,56,77,1
7,32,44,1
12,8,10,1
8,23,39,1
9,35,56,1
9,97,168,1
11,8,8,1
8,12,20,1
7,20,27,1
9,174,163,1
8,72,91,1
8,82,107,1
7,25,29,1
7,151,61,1
6,7,4,1
1,77,24,1
6,11,13,1
12,67,88,1
7,80,124,1
9,22,29,1
10,38,52,1
11,27,37,1
10,125,195,1
9,29,46,1
9,100,143,1
8,19,31,1
8,12,23,1
11,8,11,1
7,23,31,1
17,77,140,1
15,356,410,1
10,8,6,1
12,71,81,1
5,39,38,1
8,5,6,1
8,7,9,1
9,20,20,1
11,61,89,1
5,7,12,1
27,115,388,1
9,65,102,1
10,25,45,1
8,6,8,1
13,337,514,1
11,8,15,1
8,54,69,1
12,90,103,1
10,316,422,1
9,157,198,1
10,499,575,1
6,13,21,1
8,24,28,1
6,7,8,1
11,116,194,1
10,13,23,1
10,4,1,1
9,155,201,1
11,67,67,1
8,62,59,1
7,42,52,1
26,412,1142,1
12,414,675,1
8,53,87,1
17,110,224,1
9,232,326,1
9,92,118,1
10,262,421,1
12,285,324,1
3,3,1,1
8,16,22,1
9,5,6,1
6,16,24,1
9,47,57,1
5,15,18,1
8,99,113,1
11,13,24,1
9,82,87,1
9,34,45,1
10,79,128,1
9,270,213,1
8,9,12,1
7,47,66,1
9,222,266,1
10,504,590,1
5,12,21,1
8,46,56,1
10,16,12,1
6,20,33,1
11,80,87,1
2,45,6,1
10,128,202,1
9,29,47,1
8,33,60,1
7,11,18,1
1,118,21,1
12,26,43,1
18,79,115,1
7,63,74,1
10,19,14,1
10,48,60,1
10,37,41,1
6,27,11,1
7,51,65,1
7,43,52,1
12,103,171,1
10,37,65,1
11,213,317,1
8,47,68,1
9,281,398,1
9,166,190,1
5,31,34,1
9,35,52,1
9,183,252,1
9,180,212,1
10,126,196,1
8,80,85,1
5,7,8,1
9,48,69,1
8,43,57,1
8,46,65,1
7,11,17,1
10,40,53,1
14,57,49,1
8,102,138,1
10,61,95,1
6,90,97,1
11,77,120,1
8,298,278,1
8,24,40,1
11,184,195,1
9,18,14,1
12,83,151,1
6,7,7,1
7,11,7,1
7,46,64,1
1,31,6,1
9,4,3,1
10,318,344,1
7,21,27,1
14,340,360,1
9,96,124,1
8,27,42,1
8,231,236,1
8,145,146,1
7,243,227,1
9,535,470,1
7,13,19,1
9,170,218,1
10,75,141,1
7,38,63,1
7,31,27,1
8,36,63,1
8,28,5,1
8,36,53,1
9,45,52,1
8,162,188,1
14,253,302,1
8,12,20,1
6,94,65,1
6,9,8,1
8,7,9,1
6,46,41,1
9,64,104,1
6,49,61,1
10,19,9,1
7,35,50,1
8,13,22,1
4,89,74,1
7,23,38,1
13,213,214,1
9,9,13,1
8,35,56,1
11,75,107,1
10,252,330,1
9,181,213,1
8,92,151,1
25,292,459,1
13,135,157,1
8,9,13,1
9,14,22,1
8,41,67,1
5,107,92,1
5,17,20,1
7,15,14,1
11,71,65,1
9,76,114,1
5,29,25,1
12,261,364,1
8,40,59,1
14,269,276,1
8,309,325,1
6,26,32,1
8,106,133,1
5,32,51,1
5,12,12,1
7,14,22,1
10,30,46,1
9,27,45,1
17,98,104,1
7,37,43,1
12,13,25,1
9,39,50,1
9,304,419,1
11,12,16,1
11,32,56,1
8,272,311,1
10,80,56,1
9,180,225,1
9,83,84,1
7,215,253,1
11,90,158,1
1,13,2,1
10,63,87,1
8,14,18,1
6,19,30,1
11,25,47,1
7,9,12,1
1,249,42,1
7,19,22,1
7,21,34,1
27,267,599,1
34,114,157,1
9,82,119,1
2,17,4,1
8,10,13,1
17,403,440,1
10,17,12,1
9,534,479,1
9,20,14,1
8,26,39,1
14,29,35,1
8,109,129,1
9,536,547,1
9,177,227,1
6,7,6,1
10,52,89,1
6,24,26,1
7,231,246,1
8,21,36,1
7,9,11,1
9,533,612,1
8,34,48,1
10,76,123,1
10,27,39,1
9,93,131,1
5,6,4,1
14,300,462,1
8,31,44,1
22,26,84,1
16,121,137,1
9,100,130,1
9,45,62,1
7,41,62,1
5,2,1,1
11,119,177,1
25,291,455,1
8,108,150,1
10,11,28,1
7,9,13,1
10,227,311,1
9,244,327,1
10,21,20,1
10,508,578,1
11,243,223,1
9,111,128,1
10,21,23,1
9,39,57,1
5,31,18,1
9,82,93,1
9,32,51,1
7,30,44,1
9,34,66,1
6,62,64,1
10,212,274,1
11,19,26,1
11,36,54,1
8,37,42,1
7,16,19,1
11,53,75,1
10,25,40,1
10,45,69,1
17,203,225,1
8,90,97,1
7,48,64,1
7,21,35,1
5,81,97,1
9,55,71,1
7,47,61,1
6,11,17,1
5,70,45,1
7,17,11,1
16,227,300,1
7,23,38,1
5,5,4,1
9,138,144,1
8,59,79,1
8,70,110,1
9,29,45,1
9,268,178,1
5,39,32,1
9,535,469,1
9,69,122,1
8,75,84,1
5,14,21,1
5,116,100,1
8,48,81,1
9,17,13,1
8,8,9,1
9,108,137,1
7,11,16,1
16,344,358,1
12,22,17,1
10,18,13,1
11,20,15,1
9,23,34,1
6,38,57,1
10,19,13,1
8,44,46,1
7,110,117,1
10,93,130,1
8,202,276,1
33,160,182,1
7,8,10,1
9,510,513,1
7,6,10,1
7,59,45,1
10,64,84,1
9,33,43,1
14,422,624,1
8,5,2,1
8,12,20,1
9,19,32,1
7,27,33,1
10,23,34,1
8,80,84,1
4,253,93,1
8,186,234,1
7,11,20,1
8,12,20,1
7,33,40,1
7,38,43,1
9,99,125,1
12,10,10,1
8,9,15,1
8,107,136,1
22,71,75,1
8,18,25,1
7,123,95,1
13,106,178,1
14,192,275,1
1,41,15,1
5,14,16,1
8,22,27,1
12,129,187,1
9,32,69,1
12,69,98,1
7,123,138,1
6,12,16,1
9,41,58,1
25,491,773,1
9,127,154,1
8,103,129,1
7,111,131,1
7,66,93,1
13,409,556,1
8,25,44,1
8,34,52,1
7,47,54,1
8,25,36,1
6,71,43,1
7,64,76,1
38,69,292,1
8,24,39,1
6,184,195,1
8,31,44,1
12,331,431,1
8,3,4,1
8,59,65,1
33,180,835,1
8,26,35,1
7,13,19,1
14,18,15,1
9,174,193,1
7,59,76,1
5,8,11,1
7,128,137,1
24,186,305,1
5,7,3,1
9,123,154,1
5,19,22,1
7,19,23,1
9,5,2,1
9,19,33,1
6,20,14,1
6,97,80,1
11,43,61,1
15,121,145,1
6,106,72,1
9,23,33,1
22,71,72,1
6,4,7,1
9,358,525,1
11,34,49,1
8,52,65,1
8,19,31,1
9,82,123,1
7,7,7,1
10,39,71,1
10,43,55,1
8,45,42,1
8,16,21,1
9,127,155,1
11,49,43,1
5,96,74,1
7,54,91,1
11,11,10,1
3,5,2,1
12,41,69,1
9,39,55,1
7,40,66,1
4,12,4,1
5,29,36,1
7,9,13,1
6,37,48,1
7,12,8,1
6,7,9,1
9,272,252,1
9,41,57,1
9,510,241,1
11,84,143,1
8,215,243,1
14,44,98,1
6,2,1,1
6,11,18,1
9,18,14,1
16,309,351,1
8,12,15,1
13,136,160,1
3,4,1,1
9,100,121,1
5,19,15,1
3,3,1,1
9,28,41,1
5,36,25,1
13,10,6,1
13,130,139,1
8,40,55,1
7,14,23,1
6,30,26,1
7,7,9,1
3,14,5,1
7,17,10,1
14,284,419,1
10,430,559,1
10,30,56,1
7,2,1,1
8,62,69,1
8,532,636,1
9,17,21,1
12,71,87,1
12,118,175,1
14,419,485,1
8,12,18,1
8,35,61,1
9,126,194,1
9,36,54,1
3,3,1,1
10,23,31,1
9,153,203,1
7,17,27,1
6,14,15,1
8,53,76,1
11,43,64,1
9,40,49,1
9,505,654,1
8,82,95,1
8,93,125,1
13,33,27,1
10,41,71,1
9,57,105,1
7,31,40,1
6,46,30,1
10,42,70,1
8,42,67,1
9,161,218,1
8,17,9,1
7,21,27,1
8,38,61,1
6,33,41,1
13,30,43,1
10,44,72,1
8,32,3,1
7,12,19,1
7,21,31,1
8,40,68,1
8,71,102,1
10,7,13,1
6,97,85,1
8,25,42,1
8,168,245,1
7,7,8,1
9,49,74,1
10,48,67,1
8,69,82,1
7,16,11,1
9,20,27,1
8,62,85,1
8,69,103,1
8,65,90,1
14,201,217,1
10,262,399,1
11,167,238,1
6,95,79,1
7,61,70,1
10,79,117,1
9,39,61,1
7,35,44,1
10,22,29,1
11,301,458,1
6,45,75,1
8,70,95,1
9,42,61,1
14,98,174,1
11,25,40,1
9,510,618,1
10,20,15,1
9,126,186,1
9,11,17,1
7,13,20,1
9,97,157,1
5,5,2,1
8,13,10,1
19,201,439,1
8,13,8,1
8,26,32,1
9,171,138,1
8,127,161,1
5,7,6,1
8,17,25,1
5,33,41,1
8,37,53,1
6,16,11,1
6,4,3,1
9,81,117,1
8,14,26,1
