@relation 'page-blocks-weka.filters.unsupervised.attribute.Remove-V-R2,4,11'

@attribute Lenght numeric
@attribute Eccen numeric
@attribute Class {1,2,3,4,5}

@data
8,1.333,1
15,1.875,1
26,3.25,1
52,5.2,1
36,3.6,1
56,6.222,1
7,1.167,1
40,4,1
7,0.875,1
168,21,1
6,0.75,1
59,5.9,1
20,2.857,1
35,5,1
8,1.143,1
20,2.857,1
23,3.286,1
69,5.75,1
177,7.375,1
63,9,1
106,13.25,1
536,268,2
233,29.125,1
51,7.286,1
88,88,1
13,1.857,1
40,40,1
13,1.857,1
510,56.667,1
453,50.333,1
66,9.429,1
102,12.75,1
31,6.2,1
520,57.778,1
148,18.5,1
101,12.625,1
491,19.64,1
61,8.714,1
32,1.143,3
180,20,1
64,32,2
533,59.222,1
147,21,1
31,1.069,3
537,268.5,2
152,21.714,1
228,32.571,1
533,59.222,1
96,12,1
107,13.375,1
536,59.556,1
99,49.5,2
537,268.5,2
151,18.875,1
219,21.9,1
148,148,2
251,25.1,1
141,20.143,1
60,60,1
69,8.625,1
187,187,2
187,7.48,1
538,269,2
511,51.1,1
38,4.75,1
129,14.333,1
508,50.8,1
41,5.857,1
173,24.714,1
352,39.111,1
256,28.444,1
205,29.286,1
194,21.556,1
167,18.556,1
62,7.75,1
216,27,1
259,28.778,1
13,2.167,1
223,31.857,1
535,267.5,2
509,56.556,1
148,16.444,1
117,16.714,1
38,4.222,1
84,7,1
11,0.786,1
71,5.917,1
85,7.083,1
228,20.727,1
89,8.9,1
36,36,2
43,5.375,1
337,14.042,1
314,22.429,1
159,15.9,1
18,1.8,1
154,19.25,1
82,9.111,1
72,6,1
18,1.8,1
3,1,1
27,27,2
4,1.333,1
18,2,1
54,6.75,1
72,6,1
8,0.889,1
222,17.077,1
252,25.2,1
19,1.9,1
184,16.727,1
1,0.111,4
72,6,1
261,10.44,1
281,10.036,1
19,1.9,1
369,41,1
72,6,1
416,29.714,1
16,1.6,1
184,16.727,1
249,27.667,1
267,9.889,1
121,8.067,1
205,18.636,1
11,0.917,1
391,24.438,1
353,9.051,1
20,1.667,1
203,8.12,1
222,14.8,1
69,5.75,1
382,23.875,1
334,13.917,1
82,9.111,1
94,8.545,1
248,24.8,1
13,1.625,1
238,23.8,1
279,27.9,1
80,8.889,1
184,23,1
84,1.424,1
184,30.667,1
76,9.5,1
113,14.125,1
47,7.833,1
25,6.25,1
162,23.143,1
22,1.294,1
189,18.9,1
231,28.875,1
17,3.4,1
223,31.857,1
100,11.111,1
44,11,1
107,21.4,1
183,2.473,1
192,13.714,1
284,20.286,1
61,8.714,1
94,18.8,1
95,15.833,1
94,18.8,1
19,2.714,1
93,15.5,1
24,1.5,1
91,7.583,1
96,16,1
285,3.132,5
50,0.769,3
1,0.125,4
48,6,1
2,0.4,1
47,23.5,1
22,22,1
82,13.667,1
2,0.286,4
296,4.418,1
18,3,1
106,6.625,1
28,4,1
65,9.286,1
85,14.167,1
28,5.6,1
22,3.143,1
40,5.714,1
40,6.667,1
8,1.333,1
34,4.857,1
12,12,2
94,9.4,1
277,277,2
41,5.857,1
100,50,2
1,0.111,4
134,14.889,1
71,71,2
346,43.25,1
135,22.5,1
135,19.286,1
91,13,1
63,12.6,1
10,2.5,1
10,10,2
22,2.75,1
4,0.667,1
121,12.1,1
21,10.5,2
90,8.182,1
104,9.455,1
84,6,1
41,4.1,1
5,0.139,1
12,1.091,1
70,70,2
47,4.7,1
