@relation page-blocks

@attribute Height numeric
@attribute Lenght numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
9,12,1.85,48,1
8,242,1.45,331,1
8,82,2.41,258,1
4,93,1.66,116,1
8,70,1.76,167,1
10,85,2.28,283,1
9,16,2.29,55,1
7,7,1.71,12,1
6,39,1.66,53,1
8,210,1.44,299,1
9,81,2.21,254,1
10,288,1.5,549,1
8,109,1.39,174,1
7,191,1.66,411,1
8,10,1.71,36,1
9,34,1.71,116,1
8,31,2.02,93,1
13,80,5.57,451,1
4,4,4.5,9,1
13,440,2.18,1459,1
6,17,1.18,26,1
9,333,1.57,711,1
5,75,1.18,97,1
10,155,2.88,510,1
8,73,2.75,253,1
9,43,1.68,106,1
7,46,1.46,114,1
11,195,3,768,1
10,430,2.7,1508,1
11,11,5,65,1
9,13,2.69,43,1
8,64,2.12,172,1
11,79,2.11,279,1
7,125,1.4,236,1
9,11,1.92,25,1
9,259,1.31,441,1
5,6,1.4,7,1
7,11,1.33,24,1
7,5,1.86,13,1
24,340,2.67,1718,1
7,24,1.38,47,1
8,25,1.68,67,1
8,65,1.4,140,1
13,188,1.67,460,1
7,16,1.56,28,1
9,108,2.27,320,1
8,18,1.65,51,1
7,16,1.75,35,1
8,20,1.86,65,1
7,21,1.71,48,1
7,19,1.71,53,1
9,264,1.99,619,1
10,55,1.98,162,1
8,27,1.76,74,1
2,19,1.8,9,1
9,154,2.93,563,1
6,23,2.36,52,1
13,38,3.88,163,1
10,23,2.4,72,1
9,97,2.28,397,1
1,77,1.04,25,1
6,20,1.21,40,1
9,43,3.58,197,1
9,37,3.22,177,1
10,11,2.48,52,1
8,135,1.54,83,1
12,116,2.62,461,1
9,24,1.28,46,1
9,42,1.71,123,1
11,32,1.86,117,1
16,24,5.28,169,1
9,163,2.98,387,1
7,16,1.88,32,1
6,97,1.55,135,1
6,3,10,10,1
7,10,2.22,20,1
7,27,2.5,15,1
7,18,2.14,15,1
11,25,1.9,76,1
9,510,1.28,684,1
8,184,1.64,349,1
8,44,3.2,160,1
8,22,1.78,66,1
8,12,2.18,37,1
7,12,1.55,31,1
11,7,3.6,36,1
6,11,1.57,22,1
14,419,4.51,2188,1
3,90,2.34,138,1
9,278,1.62,645,1
1,88,1,17,1
9,535,1.49,887,1
8,7,1.92,23,1
8,42,2.37,142,1
9,231,1.49,407,1
9,310,1.27,475,1
8,22,1.94,70,1
8,32,1.8,90,1
8,25,2.75,77,1
7,98,1.53,174,1
7,14,1.94,31,1
7,35,1.32,66,1
9,4,8,16,1
5,10,1.29,18,1
9,63,2.01,169,1
11,183,4.53,937,1
10,261,1.81,701,1
26,170,1.54,833,1
7,52,1.21,97,1
9,103,2.98,370,1
7,168,1.14,95,1
7,31,1.78,48,1
6,33,2.24,103,1
9,15,1.6,24,1
11,213,1.95,619,1
7,25,2.26,61,1
14,372,4.99,1971,1
11,141,2.85,567,1
12,8,4.3,43,1
11,272,2,840,1
8,6,1.78,16,1
14,407,4.54,2010,1
7,39,1.33,69,1
6,22,2.89,26,1
8,32,2.04,96,1
9,49,1.6,117,1
8,299,1.32,446,1
8,21,1.88,64,1
7,114,1.77,202,1
9,155,2.44,483,1
8,10,1.64,23,1
9,16,1.33,32,1
24,280,7.76,3018,1
9,55,1.92,136,1
10,31,6.67,200,1
5,9,1.88,15,1
10,17,6.47,97,1
9,535,1.31,566,1
10,25,1.89,85,1
9,101,1.22,178,1
5,23,1.32,37,1
6,11,1.53,23,1
7,12,2.86,40,1
9,21,2.68,67,1
9,250,2.56,810,1
2,14,3.67,11,1
9,12,1.69,49,1
13,297,4.97,1579,1
6,97,1.71,137,1
9,41,1.3,74,1
8,15,2.74,52,1
8,16,2.09,48,1
10,22,2.74,74,1
5,8,1,14,1
10,31,1.3,61,1
10,34,1.83,121,1
8,31,2,92,1
13,408,2.58,1492,1
10,7,30,30,1
10,51,2.12,172,1
7,32,1.28,60,1
10,52,1.96,159,1
11,91,2.33,286,1
11,243,1.41,314,1
7,31,1.51,68,1
9,130,2.86,600,1
8,20,2.06,66,1
6,45,1.64,123,1
10,31,1.98,87,1
6,9,2.14,30,1
8,4,5,15,1
8,20,2,42,1
14,298,3.49,862,1
9,169,2.61,522,1
13,85,2.76,361,1
13,337,1.58,811,1
9,32,3.08,120,1
11,89,2.72,166,1
8,38,1.65,124,1
11,62,3.21,241,1
11,24,2.08,81,1
8,46,2.11,131,1
1,95,1.03,36,1
9,126,2.84,528,1
12,37,3.87,182,1
3,3,7,7,1
17,34,17.75,71,1
7,35,1.93,83,1
6,24,1.35,42,1
8,36,2.05,123,1
12,272,2.74,1075,1
7,158,1.33,264,1
9,49,3.12,259,1
8,13,2.1,42,1
11,378,2.95,1371,1
9,79,2.19,230,1
7,96,1.77,211,1
9,42,1.37,89,1
6,7,30,30,1
10,7,2.08,25,1
9,54,1.49,131,1
3,9,2,8,1
9,163,1.28,217,1
6,17,2,28,1
8,68,3.03,294,1
25,203,15.22,4246,1
11,70,3.53,293,1
13,348,2.57,1395,1
7,58,2.34,82,1
8,27,2.14,47,1
8,16,2.44,61,1
10,45,2.05,133,1
7,35,1.9,99,1
7,119,1.5,237,1
8,23,2.08,83,1
11,272,1.97,835,1
9,536,1.34,609,1
3,3,8,8,1
5,8,3,27,1
8,98,1.42,173,1
9,198,1.88,515,1
10,108,1.84,321,1
7,64,2.93,223,1
7,17,2.71,46,1
11,261,1.87,662,1
8,12,2.59,44,1
9,134,1.65,260,1
6,50,1.31,64,1
10,126,3.16,584,1
7,66,1.49,79,1
14,12,6.55,72,1
13,369,4.79,1906,1
10,22,2.15,73,1
9,510,1.31,740,1
1,91,1.03,32,1
11,90,2.41,381,1
8,126,1.45,211,1
17,266,12.82,4167,1
1,42,1.06,17,1
9,91,1.95,263,1
9,13,3.88,66,1
7,40,1.28,64,1
9,36,1.82,113,1
14,359,4.56,1848,1
5,4,9,9,1
8,83,2.42,261,1
10,130,2.78,589,1
7,85,1.3,114,1
9,77,1.87,174,1
7,375,1.21,241,1
9,457,1.28,712,1
7,182,1.27,259,1
11,35,6.13,147,1
12,8,42,42,1
9,39,1.53,84,1
9,26,1.85,74,1
9,233,1.26,345,1
6,30,1.22,56,1
7,19,1.67,45,1
7,23,1.95,72,1
10,23,2.19,57,1
9,103,1.22,152,1
10,40,1.9,135,1
8,35,2.14,124,1
5,43,1.35,50,1
4,96,2.56,184,1
10,9,2.5,30,1
10,262,1.89,736,1
9,34,2.38,112,1
7,6,2.33,21,1
8,47,2.18,122,1
17,382,5.46,2355,1
9,37,3.18,175,1
8,41,1.61,124,1
6,13,1.57,22,1
5,31,1.49,55,1
8,99,1.66,278,1
8,185,1.97,392,1
8,23,1.89,85,1
9,24,1.38,47,1
7,31,1.97,65,1
8,76,1.87,191,1
23,249,16.33,4409,1
10,43,1.8,110,1
8,24,1.43,57,1
12,167,1.93,451,1
11,31,2.08,110,1
12,410,2.69,1636,1
6,13,1.54,20,1
6,10,1.83,11,1
13,390,1.56,924,1
18,48,4.3,228,1
9,108,2.15,354,1
8,12,2.14,45,1
9,49,1.61,111,1
8,101,1.71,234,1
8,23,2.14,47,1
10,506,1.34,758,1
9,41,2.71,157,1
7,9,1.73,19,1
7,11,1.52,32,1
10,66,2.25,214,1
5,50,1.58,90,1
22,20,5.35,123,1
7,16,1.36,34,1
11,154,2.96,609,1
1,65,1.08,13,1
17,98,14.88,1548,1
9,9,5.1,51,1
10,61,1.98,186,1
7,23,1.89,72,1
8,83,2.15,264,1
14,253,4.36,1317,1
8,23,1.65,66,1
9,71,2.44,249,1
7,32,1.3,52,1
15,222,5.34,1378,1
10,272,1.98,631,1
21,13,2.3,46,1
10,271,1.88,679,1
9,124,2.85,410,1
10,49,3.11,289,1
8,25,2.64,103,1
11,261,2.01,738,1
6,95,1.97,156,1
8,40,2.53,129,1
7,17,1.73,19,1
9,510,1.33,681,1
7,60,1.5,120,1
7,9,2.2,22,1
5,14,1.69,27,1
7,11,1.33,28,1
7,110,1.38,162,1
9,7,2,18,1
8,152,2,328,1
10,33,2.07,116,1
8,54,3.36,232,1
11,261,2,722,1
27,267,4.36,2610,1
10,79,2.19,256,1
6,96,3,183,1
4,11,1.36,19,1
10,21,2.56,69,1
11,126,2.11,379,1
1,22,2.6,13,1
10,157,1.65,366,1
26,294,7.6,3464,1
9,80,2.02,240,1
25,471,7.8,5290,1
12,89,3.5,458,1
8,70,1.66,186,1
9,42,2.65,143,1
10,64,2.84,329,1
5,17,2.35,40,1
7,19,2.73,60,1
25,292,7.23,3283,1
8,40,1.63,111,1
28,281,4.72,2502,1
8,132,1.84,327,1
9,29,2.13,81,1
25,261,17.75,5785,1
7,80,3.54,280,1
7,41,1.42,94,1
12,122,2.3,381,1
7,26,1.66,68,1
7,11,1.47,25,1
10,271,1.47,469,1
7,51,1.35,101,1
9,32,1.53,84,1
11,271,1.39,525,1
9,363,1.28,417,1
26,378,3.46,2252,1
10,19,2,64,1
9,32,2.07,87,1
10,262,1.79,754,1
9,50,2.69,223,1
9,107,2.59,357,1
8,27,2.14,94,1
10,34,2.02,109,1
6,94,1.32,104,1
11,288,2.04,787,1
8,112,1.27,152,1
8,39,2.2,121,1
8,28,1.92,92,1
7,23,1.66,53,1
11,23,2.09,67,1
9,268,1.29,441,1
7,215,3.35,824,1
9,5,2.83,17,1
11,61,5.04,242,1
11,49,4.3,185,1
10,23,2.22,80,1
9,68,2.33,205,1
13,228,3.29,783,1
9,91,2.2,262,1
7,156,2.37,517,1
9,64,2.18,183,1
8,12,1.9,38,1
10,159,3.13,600,1
10,227,1.64,510,1
14,84,2.31,307,1
7,7,2.22,20,1
9,18,2.63,50,1
7,110,1.25,134,1
10,20,2.27,75,1
1,200,1.04,26,1
10,60,1.47,134,1
7,43,1.29,75,1
8,100,3.43,388,1
7,30,1.43,63,1
8,274,1.35,329,1
16,344,5.73,2053,1
24,209,17.27,4645,1
9,19,1.52,47,1
11,86,2.2,314,1
9,77,2.63,337,1
10,19,2.12,72,1
2,21,1.4,7,1
8,26,1.93,83,1
7,231,1.71,420,1
14,155,2.76,658,1
5,46,2.21,64,1
8,80,1.72,194,1
8,30,2.29,87,1
15,11,10.38,83,1
9,49,1.82,135,1
17,23,10.43,146,1
9,138,1.34,193,1
9,181,1.66,354,1
8,96,1.77,212,1
9,6,2.5,20,1
7,22,1.36,15,1
6,12,1.62,21,1
10,249,3.53,1151,1
8,59,3.13,97,1
10,325,1.51,700,1
9,207,1.29,330,1
7,46,4.17,50,1
13,349,4.36,1724,1
7,12,2.17,39,1
8,44,1.43,100,1
11,20,2.58,49,1
7,18,2.14,45,1
9,64,1.98,174,1
4,6,10,10,1
9,343,1.24,499,1
7,86,1.55,169,1
7,243,1.48,336,1
9,29,1.48,49,1
6,31,1.65,56,1
22,69,10.59,784,1
11,35,4.78,129,1
8,20,2.27,68,1
10,35,1.88,109,1
8,12,2.11,40,1
7,40,1.59,70,1
8,43,1.83,117,1
7,75,1.52,138,1
10,27,6.07,170,1
7,11,1.77,23,1
11,251,2.93,979,1
9,19,2.63,50,1
9,518,1.25,449,1
7,97,1.68,133,1
6,18,4.43,31,1
7,14,1.18,26,1
8,88,1.49,137,1
77,245,32.67,8396,1
6,59,1.38,84,1
7,152,1.27,228,1
14,183,4.87,998,1
7,8,1.78,16,1
9,262,1.19,210,1
16,309,5.38,1890,1
5,3,4.5,9,1
24,280,7.66,3064,1
7,37,1.34,63,1
11,185,2.94,724,1
6,7,3.6,18,1
5,31,2.06,37,1
8,26,2.44,88,1
5,93,1.66,163,1
1,60,1.09,12,1
3,4,8,8,1
9,47,2.01,153,1
8,99,1.48,167,1
6,13,1.67,10,1
10,87,2.23,326,1
9,43,3.31,182,1
12,498,2.44,1833,1
12,12,1.69,44,1
11,11,4.23,55,1
9,36,6.42,212,1
7,19,1.35,35,1
4,12,1.4,14,1
9,78,2.1,231,1
22,26,1.93,162,1
7,50,1.23,75,1
9,114,1.86,279,1
7,100,1.68,198,1
7,8,2.3,23,1
9,103,1.42,225,1
9,34,1.91,126,1
10,174,2.02,483,1
5,35,4.38,35,1
10,94,1.78,269,1
8,12,2.1,44,1
7,123,1.66,228,1
9,103,2.55,342,1
12,11,1.63,49,1
12,98,2.23,288,1
5,5,10,10,1
10,98,2.74,439,1
7,41,1.33,61,1
6,96,2.44,178,1
24,471,7.9,5363,1
4,17,3.5,21,1
7,13,1.85,24,1
8,46,2.09,117,1
12,8,2.9,29,1
11,9,3.8,38,1
9,12,4.79,67,1
8,7,2.63,21,1
8,309,1.41,459,1
9,79,2.2,244,1
5,12,1.38,29,1
10,43,3.58,197,1
25,292,7.58,3496,1
7,45,1.91,63,1
8,26,1.79,77,1
6,96,2.43,202,1
8,8,3.44,31,1
9,55,1.38,126,1
6,101,1.93,249,1
7,15,1.77,39,1
7,41,1.73,121,1
10,51,3.12,209,1
11,53,1.93,145,1
11,104,2.57,431,1
13,498,2.28,1820,1
8,3,3,12,1
8,28,2.07,91,1
7,80,1.39,57,1
9,46,1.43,100,1
9,157,1.58,313,1
9,32,1.68,96,1
9,47,2.03,130,1
10,59,1.7,148,1
5,43,1.61,87,1
14,284,5.1,1453,1
11,8,5.89,53,1
6,90,1.55,161,1
10,17,3.86,54,1
9,43,2.98,176,1
15,54,2.45,262,1
16,391,5.26,2508,1
9,81,2.38,283,1
8,24,1.8,74,1
9,17,6.31,82,1
7,13,1.79,34,1
12,45,6.63,252,1
7,13,7.63,61,1
9,19,1.35,46,1
8,206,1.64,389,1
13,6,34,34,1
9,36,3.21,180,1
8,154,2.75,522,1
7,14,1.75,35,1
16,24,4.51,158,1
10,285,1.58,499,1
8,108,1.69,253,1
7,14,1.3,30,1
8,23,2,64,1
7,18,1.94,33,1
7,34,1.31,71,1
7,56,1.25,89,1
6,5,2.75,11,1
6,18,1.76,37,1
10,37,8.11,219,1
9,18,1.83,53,1
12,311,1.64,727,1
7,13,1.7,34,1
8,19,1.75,56,1
6,14,2.4,48,1
9,12,1.59,46,1
11,37,2.01,151,1
3,4,11,11,1
5,14,1.52,32,1
9,180,2.86,606,1
7,8,2.22,20,1
9,9,2.23,29,1
7,11,1.58,30,1
12,142,3.04,575,1
7,193,1.37,278,1
8,5,2.38,19,1
7,26,1.9,55,1
10,38,2.89,165,1
14,57,11.88,570,1
9,18,2.26,52,1
7,207,1.29,361,1
11,90,2.82,358,1
7,141,1.17,158,1
8,6,2.22,20,1
9,510,1.24,629,1
6,24,1.42,37,1
9,73,2.55,196,1
11,46,1.81,143,1
71,34,1.91,227,1
8,4,1.5,12,1
7,54,1.53,89,1
8,19,2.19,59,1
11,9,9,54,1
9,306,1.4,530,1
10,4,1.75,14,1
17,350,5.22,2162,1
8,50,3.01,211,1
25,118,2.02,791,1
10,98,2.49,384,1
13,30,3.23,139,1
10,162,2.71,477,1
7,14,1.95,37,1
6,7,4.25,17,1
8,79,2.12,237,1
10,131,2.94,638,1
8,22,2.06,70,1
8,123,2.71,396,1
7,37,1.35,73,1
5,2,8,8,1
9,22,1.61,45,1
7,67,1.7,121,1
6,21,1.33,44,1
5,38,1.42,81,1
7,16,2.04,49,1
9,56,1.97,173,1
8,272,2.7,781,1
10,35,2.02,133,1
10,154,2.53,485,1
7,9,1.85,24,1
8,17,1.48,31,1
6,19,1.8,36,1
7,33,1.44,69,1
7,40,1.44,95,1
6,89,1.82,162,1
14,364,4.71,1865,1
11,15,2.07,58,1
10,19,8.92,116,1
13,322,4.62,1571,1
10,88,2.16,218,1
9,82,2.47,247,1
7,7,1.27,14,1
7,36,2.51,143,1
8,33,1.89,115,1
7,13,1.63,26,1
7,14,1.45,32,1
6,33,1.39,53,1
8,152,1.27,242,1
5,89,1.14,75,1
8,14,2.04,47,1
9,80,1.54,166,1
9,22,2.11,59,1
7,38,1.4,67,1
24,334,14.3,7164,1
15,294,5.28,1743,1
7,13,1.37,26,1
8,107,2.24,311,1
16,410,5.55,2497,1
7,29,1.46,57,1
9,220,1.44,456,1
6,7,7.5,15,1
11,44,2.01,149,1
9,93,1.66,233,1
6,27,2.33,77,1
16,227,4.97,1490,1
10,52,1.87,166,1
7,103,1.76,213,1
7,38,2.44,110,1
8,12,2.73,41,1
10,80,5.08,442,1
8,71,1.85,176,1
6,28,1.71,24,1
9,102,1.58,152,1
11,272,1.43,504,1
8,186,2.53,593,1
6,28,1.47,25,1
10,176,1.36,319,1
9,30,1.46,67,1
10,74,2.17,224,1
5,7,1.45,16,1
9,35,3.88,186,1
6,39,1.77,92,1
12,72,5.97,549,1
8,70,2.36,260,1
9,42,2.13,130,1
8,50,1.93,162,1
6,16,1.48,34,1
7,9,1.64,23,1
6,94,2.45,162,1
10,18,7.5,105,1
9,43,2.73,150,1
9,52,1.84,134,1
7,135,1.43,191,1
13,423,1.64,1034,1
9,44,3.35,184,1
8,46,1.78,116,1
25,178,7.95,2115,1
8,14,1.73,38,1
11,8,4.08,53,1
10,236,1.31,432,1
8,9,1.73,26,1
7,21,1.68,47,1
7,51,1.49,115,1
9,108,1.69,240,1
7,14,1.87,28,1
10,47,2.3,159,1
9,464,1.3,658,1
10,33,2.33,105,1
10,19,9.5,114,1
5,20,1.55,17,1
6,8,2,26,1
7,128,1.69,237,1
5,11,1.67,25,1
9,195,1.53,221,1
8,29,2.15,103,1
9,276,2.58,964,1
8,123,1.71,251,1
8,71,1.47,135,1
6,71,1.57,140,1
10,17,7.82,86,1
14,284,2.24,938,1
9,92,1.93,237,1
6,221,1.95,356,1
11,45,2,132,1
5,4,2.4,12,1
8,57,1.81,141,1
9,72,2.01,165,1
9,85,1.95,236,1
8,17,2.48,52,1
25,291,7.29,3315,1
9,17,1.67,35,1
67,296,1.54,1748,1
9,99,2.16,278,1
9,32,1.5,69,1
11,30,3.05,125,1
11,301,2.22,1019,1
11,43,2.47,158,1
6,96,1.53,150,1
10,27,2.38,93,1
7,18,2.81,59,1
10,37,2,122,1
7,32,1.25,69,1
1,25,25,25,1
6,51,1.48,90,1
8,24,1.85,50,1
8,30,2.02,85,1
10,97,2.71,412,1
11,20,8.86,124,1
10,54,3.14,204,1
7,59,1.24,94,1
8,9,2.15,28,1
9,5,1.83,11,1
9,180,2.47,555,1
7,20,2.71,65,1
7,133,1.75,196,1
7,20,1.82,69,1
8,7,2.18,24,1
25,340,16.57,7358,1
8,33,1.6,99,1
14,385,4.83,1990,1
9,19,2.2,66,1
5,27,1.41,41,1
13,38,3.42,154,1
7,49,1.91,109,1
9,222,1.52,403,1
10,52,2.09,155,1
9,37,2.22,111,1
25,71,2.22,416,1
11,32,3.1,93,1
5,7,1.36,15,1
12,271,1.86,805,1
7,20,2,60,1
10,19,1.68,57,1
7,61,1.47,103,1
9,43,1.78,116,1
10,60,2.35,219,1
13,147,3.6,684,1
7,28,1.36,53,1
7,8,1.42,17,1
7,5,4.25,17,1
8,13,1.96,47,1
7,14,2,34,1
9,83,2.05,250,1
6,184,1.99,357,1
6,45,1.73,114,1
6,40,1.37,71,1
12,11,12.29,86,1
14,187,2.31,693,1
7,101,3.19,354,1
5,29,1.6,40,1
5,16,2.65,45,1
6,2,8,8,1
8,523,1.2,250,1
8,32,2.46,86,1
8,70,1.66,191,1
24,166,17.08,3604,1
10,93,1.78,249,1
9,47,2.42,208,1
9,83,1.91,212,1
9,37,2.03,130,1
7,95,1.64,197,1
10,27,1.98,81,1
8,32,1.62,99,1
11,357,1.55,845,1
11,101,1.61,265,1
14,12,9.25,111,1
10,154,2.55,527,1
1,177,1.03,36,1
11,13,2.22,60,1
9,56,2.22,171,1
9,123,2.3,366,1
8,81,1.29,143,1
5,4,2.33,7,1
9,12,1.63,44,1
9,21,3.62,94,1
8,65,1.74,157,1
7,71,1.37,115,1
6,26,2.25,81,1
11,96,4.32,350,1
6,96,2.2,174,1
7,4,2.2,11,1
11,205,3.01,837,1
9,7,1.77,23,1
28,32,5.96,411,1
9,76,2.19,245,1
11,123,1.95,338,1
7,31,1.35,69,1
77,257,72.47,9204,1
10,159,3.07,564,1
7,6,1.75,14,1
8,17,2.38,62,1
10,31,2.08,102,1
8,155,1.64,454,1
1,49,7,14,1
9,37,1.54,71,1
8,50,2.31,171,1
59,84,148.36,3264,1
8,9,3.17,38,1
7,13,1.94,33,1
4,98,2.14,205,1
13,225,3.27,740,1
11,86,1.98,273,1
11,98,3.04,408,1
13,239,2.16,742,1
7,17,1.56,42,1
5,20,2.35,47,1
8,43,2.26,120,1
10,20,2.9,87,1
9,109,1.58,238,1
15,419,4.5,2170,1
13,226,3.12,759,1
8,14,2.67,32,1
7,40,2.26,52,1
8,42,1.85,124,1
7,47,1.4,94,1
6,13,2.63,42,1
24,64,3.38,348,1
9,52,1.38,95,1
9,49,2.97,261,1
10,13,2.33,14,1
10,86,1.85,280,1
10,66,1.94,180,1
7,147,1.28,221,1
8,11,2,42,1
10,279,2.7,1052,1
1,7,7,7,1
8,39,1.74,113,1
12,118,1.95,358,1
9,169,2.3,507,1
8,62,2.12,180,1
8,26,1.45,55,1
12,207,1.7,496,1
8,16,1.68,52,1
8,16,2.9,58,1
5,9,1.71,12,1
7,21,1.52,41,1
13,152,2.8,617,1
7,30,1.77,62,1
8,48,1.37,85,1
12,72,6.73,538,1
9,82,2.3,276,1
6,4,2.5,10,1
9,259,1.38,512,1
8,12,1.91,42,1
8,16,2.57,59,1
7,163,1.31,242,1
10,98,1.72,294,1
12,284,2.87,1109,1
7,17,2.58,49,1
9,122,2.54,366,1
8,25,2.06,74,1
6,19,1.24,21,1
7,262,1.28,279,1
9,536,1.38,913,1
15,136,2.81,489,1
10,34,1.81,103,1
5,40,1.4,88,1
7,11,1.77,23,1
9,29,1.95,80,1
7,46,1.46,114,1
5,24,1.45,45,1
11,272,1.97,847,1
7,62,1.87,170,1
7,5,29,29,1
4,6,5.5,11,1
28,333,4.55,3270,1
9,55,1.47,128,1
7,19,1.42,44,1
8,19,1.74,59,1
8,78,1.35,152,1
10,38,3.12,162,1
11,245,1.86,678,1
7,23,1.71,60,1
8,12,2.11,38,1
6,326,1.29,416,1
6,11,1.67,25,1
8,12,2,40,1
7,63,1.99,147,1
9,20,1.51,53,1
9,83,3.3,277,1
7,115,1.72,220,1
12,62,1.58,174,1
10,23,2.3,85,1
11,262,1.85,722,1
6,17,2.29,32,1
4,2,7,7,1
6,51,2.44,139,1
7,25,1.63,65,1
12,117,1.6,281,1
10,63,1.4,116,1
12,302,1.68,721,1
13,377,1.59,872,1
7,42,1.27,42,1
14,269,4.61,1271,1
11,22,1.86,67,1
9,40,1.6,99,1
7,100,1.63,195,1
10,261,1.49,477,1
7,121,1.79,234,1
11,9,3.4,34,1
7,6,9,9,1
7,45,1.4,80,1
9,169,1.82,396,1
9,53,1.24,104,1
5,3,9,9,1
4,15,4,16,1
