@relation page-blocks

@attribute Eccen numeric
@attribute P_black numeric
@attribute Mean_tr numeric
@attribute Blackpix numeric
@attribute Class {1,2,3,4,5}

@data
0.818,0.515,8.5,51,1
26,0.144,2.5,15,1
34.167,0.333,2.69,1636,1
16.214,0.237,3.34,754,1
13,0.769,5,10,1
5,0.339,1.93,83,1
28.714,0.399,4.75,2248,1
1.333,0.491,2.41,53,1
3,0.286,1.35,42,1
13.714,0.314,1.77,211,1
2.909,0.301,1.89,106,1
30.889,0.176,1.28,440,1
19,0.121,1.35,186,1
0.727,0.602,5.89,53,1
3.111,0.25,1.47,63,1
7.75,0.218,1.57,108,1
19,0.4,2.87,615,1
26.063,0.381,5.29,2543,1
0.875,0.429,2.18,24,1
4,0.54,2.87,175,1
3.182,0.382,6.13,147,1
1.571,0.39,1.76,30,1
27.1,0.249,1.89,675,1
4.556,0.201,1.3,74,1
43,0.351,2.7,1508,1
12.375,0.351,1.66,278,1
1,0.918,22.5,45,1
15.375,0.255,1.71,251,1
3.857,0.259,1.44,49,1
66.875,0.164,1.35,704,1
5.917,0.628,6.77,535,1
4.714,0.342,1.49,79,1
7.875,0.435,2.41,219,1
1,0.327,2.29,16,1
2.2,0.309,1.7,17,1
1.571,0.364,1.75,28,1
8,0.329,1.65,129,1
0.375,0.5,3,12,1
2.333,0.317,2.61,60,1
1.571,0.364,1.47,28,1
33.875,0.314,1.82,681,1
500,0.5,2.25,9,1
2.375,0.382,1.93,58,1
10.375,0.393,2.42,261,1
0.875,0.429,2.67,24,1
12.286,0.244,1.27,147,1
15.182,0.371,2.86,681,1
1.818,0.564,8.27,124,1
31.286,0.195,1.44,299,1
0.6,0.433,2.6,26,1
1.571,0.403,1.55,31,1
3,0.346,1.87,84,1
9.75,0.251,1.86,353,1
2.375,0.368,2.33,56,1
30,0.182,1.56,924,1
5.5,0.295,1.98,162,1
5,0.363,1.68,116,1
9.091,0.473,3.29,520,1
1.6,0.444,2.22,71,1
4.75,0.421,1.78,32,1
1,0.516,2.36,33,1
1.2,0.3,1.8,9,1
5.444,0.265,1.6,117,1
11,0.38,1.92,339,1
8.625,0.366,1.94,202,1
1.2,0.233,1.4,7,1
9.111,0.245,1.48,181,1
0.479,0.094,1.91,227,1
6.111,0.275,1.92,136,1
4.667,0.381,3.2,16,1
1.75,0.482,3.38,54,1
0.857,0.548,2.56,23,1
5.455,0.32,2.01,211,1
27.1,0.168,1.29,454,1
2.429,0.261,1.82,31,1
2.25,0.479,2.16,69,1
7.875,0.256,1.52,129,1
2.571,0.27,1.36,34,1
17.222,0.346,2.44,483,1
12.5,0.456,2.92,570,1
8.125,0.269,1.4,140,1
2.111,0.251,1.34,43,1
2.857,0.4,1.87,56,1
10.6,0.223,1.28,59,1
26.1,0.259,1.74,676,1
4,0.278,2.09,111,1
0.875,0.482,2.7,27,1
2,0.543,8.8,88,1
3.375,0.282,1.36,61,1
7.727,0.25,1.73,234,1
9.222,0.356,2.77,266,1
9.375,0.228,1.37,137,1
6,0.341,1.96,131,1
0.9,0.489,19.56,176,1
3.857,0.344,1.97,65,1
5.333,0.365,1.67,70,1
1.571,0.299,1.21,23,1
1.9,0.553,7.5,105,1
6,0.27,1.49,131,1
27.2,0.187,1.38,508,1
0.75,0.333,1.78,16,1
3.167,0.333,1.27,38,1
12.333,0.218,1.7,218,1
3.125,0.385,2.75,77,1
30.167,0.298,1.69,324,1
5.857,0.209,1.36,60,1
4.833,0.293,1.5,51,1
18.111,0.148,1.28,217,1
1.083,0.391,2.35,61,1
5.167,0.5,1.94,93,1
3.8,0.424,2.78,161,1
7,0.393,3.67,11,1
0.4,0.7,7,7,1
0.875,0.339,1.36,19,1
2,0.453,2.9,58,1
1.444,0.368,2.69,43,1
1.9,0.6,9.5,114,1
37.75,0.211,1.43,510,1
47.4,0.187,1.51,886,1
0.75,0.313,1.88,15,1
4.667,0.198,1.15,75,1
26,0.194,1.65,323,1
24,0.081,1.14,95,1
5.1,0.308,1.89,157,1
11.444,0.399,2.98,370,1
2.923,0.285,3.62,141,1
51.1,0.141,1.36,721,1
29.125,0.151,1.36,282,1
2.73,0.282,2.44,1053,1
16.778,0.139,1.17,189,1
0.571,0.357,5,10,1
2.222,0.461,2.59,83,1
11.333,0.386,2.77,354,1
0.7,0.314,1.83,22,1
3.857,0.101,3.8,19,1
4.556,0.374,2.06,138,1
8.6,0.372,1.45,80,1
3.222,0.188,1.48,49,1
2.714,0.244,2.95,130,1
11.64,0.456,7.29,3315,1
1.5,0.438,2.1,42,1
1.923,0.351,6,114,1
2.667,0.49,1.96,47,1
3,0.323,2.21,62,1
3.875,0.415,1.87,103,1
27.545,0.151,7.49,502,1
6.833,0.232,1.3,57,1
5.111,0.316,1.72,131,1
1.286,0.302,1.46,19,1
4.889,0.24,1.42,95,1
1,0.889,8,8,1
11.182,0.48,5.74,649,1
2.3,0.27,2,62,1
3.385,0.171,1.61,98,1
40,0.2,1.14,8,1
5.857,0.422,1.73,121,1
30.25,0.171,1.45,331,1
7.75,0.419,1.58,52,1
14.286,0.279,1.63,195,1
4.889,0.449,2.97,178,1
7.667,0.343,1.75,213,1
33.846,0.255,2.18,1459,1
4.25,0.371,2.1,101,1
4.571,0.277,1.41,62,1
1.4,0.657,3.83,23,1
8.444,0.363,2.18,248,1
2.8,0.414,1.38,29,1
7.286,0.356,2.96,509,1
4.444,0.275,1.6,99,1
2.222,0.261,2.35,47,1
10,0.26,2.18,211,1
8.444,0.352,2.27,241,1
2,0.327,1.83,53,1
3.571,0.371,1.63,65,1
10.286,0.236,1.7,119,1
2.25,0.403,1.61,58,1
1.875,0.458,2.5,55,1
0.95,0.46,3.91,1574,1
3.167,0.316,1.8,36,1
9,0.388,2.38,283,1
34.25,0.173,3.28,95,1
2.143,0.229,1.41,24,1
2.143,0.229,1.6,24,1
3.273,0.283,2.07,112,1
6.2,0.239,2.06,37,1
3.333,0.175,1.5,21,1
6.462,0.35,3.16,382,1
34.25,0.15,1.35,329,1
3.4,0.303,1.81,103,1
16.769,0.216,1.78,612,1
3.25,0.264,1.45,55,1
6,0.293,2.61,86,1
21.429,0.178,1.36,187,1
0.333,0.583,7,7,1
33.889,0.191,1.4,525,1
5.5,0.486,2.95,171,1
2.429,0.336,1.74,40,1
37.25,0.138,1.18,329,1
2.111,0.275,1.52,47,1
45,0.356,1.07,16,1
20.556,0.417,3.13,694,1
5.4,0.407,2.12,55,1
29.429,0.179,1.59,1032,1
5.857,0.341,1.58,98,1
1.667,0.244,1.57,33,1
4.714,0.143,2.36,33,1
5.857,0.328,1.42,94,1
0.714,0.829,29,29,1
14,0.466,2.84,528,1
1.412,0.407,4.88,166,1
2.125,0.36,1.96,49,1
3.889,0.263,2.86,83,1
19.111,0.167,1.28,258,1
1.125,0.361,1.86,26,1
53.5,0.166,1.32,889,1
2.714,0.361,1.5,48,1
1.75,0.384,1.72,43,1
1.1,0.427,1.52,47,1
1.5,0.458,2.1,44,1
1.167,0.429,3.6,18,1
41.3,0.315,2.47,1302,1
2,0.383,2.33,49,1
2.375,0.395,1.94,60,1
4.333,0.293,2.06,103,1
8.125,0.302,1.74,157,1
4.667,0.378,2.65,143,1
0.714,0.371,1.86,13,1
9.222,0.284,1.91,212,1
3.556,0.302,2.07,87,1
1.5,0.583,2.8,56,1
0.8,0.35,2.33,7,1
3,0.34,1.35,50,1
47,0.34,1.14,16,1
1.571,0.234,2.57,18,1
0.833,0.442,5.3,53,1
8.857,0.392,1.87,170,1
1.833,0.333,1.57,22,1
3.2,0.563,2.65,45,1
1.286,0.365,1.64,23,1
2.84,0.234,2.22,416,1
14.833,0.403,2.03,215,1
49,0.213,1.45,512,1
1.571,0.364,1.75,28,1
2.667,0.352,2.17,76,1
4.286,0.271,1.33,57,1
2.111,0.655,8.62,112,1
0.556,0.378,2.83,17,1
16,0.198,1.61,114,1
24.727,0.168,1.43,504,1
2,0.605,7,98,1
2.571,0.278,1.35,35,1
13.5,0.282,1.34,137,1
8.909,0.317,2.8,342,1
23,0.417,2.03,240,1
5.222,0.336,1.78,142,1
2.833,0.324,1.32,33,1
3,0.295,1.98,107,1
10.375,0.404,2.58,268,1
9.778,0.263,1.59,208,1
30.929,0.355,4.44,2152,1
10.889,0.185,1.58,163,1
2,0.316,1.94,31,1
2.429,0.429,1.89,51,1
10.5,0.234,1.7,246,1
22.938,0.385,5.29,2258,1
1.143,0.357,2.22,20,1
3.5,0.434,2.34,152,1
3.583,0.293,2.29,151,1
6.5,0.389,5.05,495,1
18.667,0.065,1.38,11,1
1,0.5,8,8,1
3.125,0.38,1.81,76,1
11.222,0.256,1.71,233,1
6.4,0.35,1.33,56,1
4.857,0.298,1.31,71,1
8.909,0.276,2.15,297,1
20.333,0.327,2.25,538,1
16.2,0.294,2.71,477,1
14.7,0.168,1.29,247,1
2.857,0.429,2,60,1
14.286,0.294,1.67,206,1
1.5,0.417,2,40,1
3.25,0.282,4,132,1
10,0.41,2.81,410,1
0.571,0.393,2.2,11,1
8.929,0.289,2.21,505,1
13.778,0.348,2.57,388,1
0.667,0.792,15.2,76,1
31.556,0.141,1.26,361,1
5.444,0.272,1.38,120,1
5.7,0.407,2.94,232,1
1.857,0.275,1.32,25,1
10.778,0.317,1.76,277,1
4,0.42,2,136,1
3.909,0.336,2.74,159,1
1.5,0.396,1.9,38,1
1.571,0.325,1.47,25,1
1.286,0.298,5,75,1
3.833,0.283,1.11,39,1
10.75,0.494,2.64,340,1
1.5,0.438,1.5,42,1
5.727,0.332,2.77,230,1
19.889,0.341,2.4,550,1
7.333,0.447,2.11,118,1
6.714,0.322,1.74,106,1
34.5,0.087,1.2,12,1
4.429,0.304,1.32,66,1
8.4,0.279,1.65,234,1
21.417,0.283,3,872,1
7.8,0.328,2.06,64,1
13.625,0.2,1.39,174,1
11.852,0.321,4.53,2774,1
1.286,0.302,1.73,19,1
11.313,0.4,5.1,1157,1
1.556,0.587,6.17,74,1
8.909,0.378,3.04,408,1
10.727,0.348,2.71,452,1
2.75,0.398,1.94,70,1
2.375,0.184,1.47,28,1
1,0.5,2.91,32,1
6.625,0.38,1.87,161,1
3.778,0.366,2.38,112,1
99,0.192,1.06,19,1
1.917,0.576,7.57,159,1
1,0.563,4.5,9,1
3.5,0.474,8.69,956,1
4.5,0.427,1.98,123,1
23.25,0.399,2.53,593,1
1.571,0.325,1.39,25,1
2.167,0.221,1.6,69,1
4.625,0.334,1.29,99,1
13.5,0.282,1.34,137,1
3.714,0.374,1.66,68,1
0.667,0.292,3.11,28,1
2.857,0.493,1.82,69,1
5.125,0.21,1.44,69,1
12.25,0.221,1.42,173,1
4.667,0.384,2.38,145,1
18.667,0.268,1.89,405,1
5.375,0.398,2.4,137,1
8,0.314,2.06,251,1
1.125,0.375,1.69,27,1
3.75,0.296,2.09,71,1
0.444,0.444,8,16,1
2.909,0.256,2,90,1
1.2,0.4,2.29,48,1
30.111,0.292,1.9,712,1
25,0.337,1.87,413,1
0.455,0.655,12,36,1
1.273,0.442,2.43,68,1
46.455,0.17,1.42,956,1
1.7,0.318,3.86,54,1
3.75,0.342,2,82,1
0.5,0.438,4.67,14,1
1.333,0.917,11,11,1
8,0.143,1.56,56,1
5,0.45,3.12,81,1
1,0.306,1.67,15,1
19.333,0.316,2.34,879,1
2.25,0.215,2.38,31,1
2,0.385,2.14,77,1
2,0.211,1.42,27,1
1,0.429,1.91,21,1
5.286,0.521,3.14,135,1
1.6,0.375,2.14,60,1
3.667,0.36,2.02,107,1
3.25,0.423,2.44,88,1
8.625,0.279,1.5,154,1
2.556,0.362,1.92,75,1
9.182,0.267,1.72,297,1
11.889,0.217,1.34,209,1
11.889,0.357,2.44,344,1
11.308,0.453,7.6,3464,1
1.75,0.268,3,30,1
8.111,0.174,1.44,114,1
9.5,0.314,1.87,191,1
9.909,0.234,1.92,281,1
13.143,0.143,1.46,92,1
4.909,0.316,2.07,188,1
3.875,0.411,2.04,102,1
1.9,0.6,7.6,114,1
1.167,0.357,7.5,15,1
1.125,0.417,2.31,30,1
8,0.275,3.93,220,1
3.4,0.4,1.31,34,1
3,0.547,2.05,41,1
3.667,0.326,1.3,43,1
1,0.455,5.5,55,1
2.857,0.457,2.46,64,1
