@relation page-blocks

@attribute Height numeric
@attribute Area numeric
@attribute Eccen numeric
@attribute P_black numeric
@attribute Wb_trans numeric
@attribute Class {1,2,3,4,5}

@data
9,315,3.889,0.273,52,1
6,120,3.333,0.333,33,1
8,192,3,0.323,28,1
9,153,1.889,0.451,28,1
7,112,2.286,0.304,30,1
10,520,5.2,0.298,74,1
23,2852,5.391,0.941,156,1
9,1170,14.444,0.513,210,1
6,210,5.833,0.533,42,1
7,490,10,0.265,93,1
9,972,12,0.389,170,1
8,128,2,0.43,25,1
8,128,2,0.242,16,1
5,200,8,0.44,63,1
8,488,7.625,0.342,86,1
8,376,5.875,0.34,64,1
8,152,2.375,0.454,32,1
7,126,2.571,0.119,7,1
7,126,2.571,0.397,28,1
10,330,3.3,0.182,43,1
10,830,8.3,0.425,121,1
6,216,6,0.495,56,1
13,2613,15.462,0.4,235,1
6,168,4.667,0.292,38,1
13,2964,17.538,0.24,235,1
8,112,1.75,0.411,18,1
12,96,0.667,0.615,10,1
8,344,5.375,0.349,53,1
7,525,10.714,0.263,91,1
8,320,5,0.35,62,1
8,200,3.125,0.405,44,1
8,312,4.875,0.388,55,1
23,5727,10.826,0.77,270,1
7,140,2.857,0.464,29,1
6,162,4.5,0.154,9,1
9,387,4.778,0.274,63,1
11,1144,9.455,0.394,152,1
10,470,4.7,0.338,69,1
7,140,2.857,0.407,29,1
10,1740,17.4,0.278,239,1
12,1404,9.75,0.251,190,1
10,3170,31.7,0.124,298,1
10,80,0.8,0.688,6,1
7,77,1.571,0.312,20,1
8,160,2.5,0.413,32,1
8,112,1.75,0.518,18,1
7,1351,27.571,0.206,203,1
9,2529,31.222,0.272,398,1
8,120,1.875,0.292,19,1
7,770,15.714,0.21,117,1
11,132,1.091,0.455,27,1
10,390,3.9,0.344,48,1
9,333,4.111,0.333,50,1
8,56,0.875,0.429,11,1
7,413,8.429,0.228,76,1
10,5060,50.6,0.15,564,1
10,290,2.9,0.303,42,1
21,273,0.619,0.168,20,1
7,28,0.571,0.25,4,1
8,248,3.875,0.371,46,1
11,231,1.909,0.411,24,1
5,30,1.2,0.433,8,1
9,504,6.222,0.196,80,1
10,230,2.3,0.313,30,1
9,4824,59.556,0.091,320,1
9,351,4.333,0.444,57,1
4,112,7,0.455,40,1
7,133,2.714,0.662,18,1
8,168,2.625,0.357,29,1
7,56,1.143,0.339,8,1
9,180,2.222,0.35,33,1
9,738,9.111,0.247,87,1
8,200,3.125,0.415,44,1
5,230,9.2,0.278,29,1
9,720,8.889,0.304,122,1
8,192,3,0.318,23,1
11,781,6.455,0.666,84,1
10,250,2.5,0.392,39,1
8,1616,25.25,0.313,276,1
8,536,8.375,0.381,82,1
12,3840,26.667,0.231,431,1
9,657,8.111,0.298,77,1
9,297,3.667,0.354,57,1
11,121,1,0.455,10,1
8,112,1.75,0.446,22,1
6,240,6.667,0.296,52,1
8,112,1.75,0.42,23,1
7,1085,22.143,0.178,132,1
9,567,7,0.289,83,1
7,140,2.857,0.25,24,1
10,300,3,0.427,46,1
7,1204,24.571,0.294,171,1
8,608,9.5,0.314,102,1
9,837,10.333,0.259,125,1
8,496,7.75,0.308,80,1
4,124,7.75,0.419,33,1
7,469,9.571,0.258,71,1
9,387,4.778,0.344,73,1
10,670,6.7,0.3,94,1
7,126,2.571,0.206,12,1
5,215,8.6,0.233,37,1
8,192,3,0.203,23,1
7,378,7.714,0.267,71,1
8,392,6.125,0.441,91,1
8,216,3.375,0.269,45,1
8,152,2.375,0.434,22,1
25,4675,7.48,0.472,303,1
6,78,2.167,0.538,16,1
8,152,2.375,0.368,24,1
13,1976,11.692,0.312,220,1
10,1550,15.5,0.329,177,1
7,259,5.286,0.243,47,1
3,12,1.333,0.833,1,1
9,576,7.111,0.307,89,1
7,119,2.429,0.387,17,1
10,340,3.4,0.321,54,1
11,1144,9.455,0.367,164,1
25,12275,19.64,0.454,773,1
7,819,16.714,0.186,121,1
38,15580,10.789,0.279,1815,1
10,1430,14.3,0.355,218,1
7,70,1.429,0.386,13,1
12,264,1.833,0.553,19,1
11,781,6.455,0.37,120,1
8,1536,24,0.207,203,1
9,2511,31,0.097,181,1
9,108,1.333,0.426,28,1
9,225,2.778,0.329,29,1
5,25,1,0.4,2,1
11,363,3,0.295,54,1
9,270,3.333,0.285,51,1
8,312,4.875,0.224,58,1
10,1300,13,0.453,212,1
12,1008,7,0.282,149,1
12,3264,22.667,0.329,393,1
7,301,6.143,0.319,68,1
10,210,2.1,0.329,27,1
8,1920,30,0.194,279,1
7,462,9.429,0.294,93,1
9,324,4,0.506,56,1
8,1920,30,0.193,264,1
10,90,0.9,0.333,12,1
7,224,4.571,0.272,40,1
5,35,1.4,0.429,6,1
9,522,6.444,0.351,80,1
17,6851,23.706,0.349,440,1
6,222,6.167,0.392,39,1
12,1392,9.667,0.246,172,1
6,498,13.833,0.329,104,1
7,105,2.143,0.229,15,1
7,112,2.286,0.25,18,1
9,684,8.444,0.307,114,1
5,85,3.4,0.376,11,1
5,90,3.6,0.322,20,1
8,216,3.375,0.435,44,1
9,630,7.778,0.433,98,1
8,2472,38.625,0.186,325,1
6,78,2.167,0.308,17,1
12,1092,7.583,0.281,125,1
7,455,9.286,0.316,95,1
8,144,2.25,0.354,31,1
8,1520,23.75,0.326,223,1
10,190,1.9,0.611,14,1
7,280,5.714,0.232,47,1
7,98,2,0.327,17,1
9,441,5.444,0.265,73,1
8,344,5.375,0.398,57,1
9,2826,34.889,0.156,352,1
5,20,0.8,0.6,5,1
10,400,4,0.295,57,1
5,60,2.4,0.267,9,1
11,462,3.818,0.335,69,1
10,210,2.1,0.457,33,1
8,224,3.5,0.299,42,1
11,121,1,0.388,21,1
10,1000,10,0.212,146,1
8,1008,15.75,0.188,149,1
8,72,1.125,0.389,14,1
5,440,17.6,0.364,96,1
5,95,3.8,0.232,4,1
6,540,15,0.298,104,1
5,65,2.6,0.554,12,1
9,657,8.111,0.376,94,1
8,272,4.25,0.419,57,1
5,480,19.2,0.323,87,1
9,1296,16,0.123,120,1
9,324,4,0.577,62,1
9,477,5.889,0.252,78,1
14,2688,13.714,0.234,275,1
11,935,7.727,0.25,135,1
7,175,3.571,0.434,42,1
6,84,2.333,0.571,21,1
9,441,5.444,0.594,86,1
3,12,1.333,0.917,1,1
10,260,2.6,0.296,35,1
14,3766,19.214,0.337,276,1
22,1034,2.136,0.319,155,1
13,5382,31.846,0.357,623,1
8,112,1.75,0.446,23,1
10,630,6.3,0.298,109,1
9,252,3.111,0.258,43,1
11,770,6.364,0.381,83,1
2,104,26,0.144,6,1
8,208,3.25,0.394,38,1
8,184,2.875,0.364,33,1
10,580,5.8,0.081,29,1
12,2016,14,0.255,245,1
11,2882,23.818,0.238,373,1
13,1794,10.615,0.232,108,1
11,924,7.636,0.291,155,1
24,2808,4.875,0.347,338,1
10,2710,27.1,0.176,342,1
9,81,1,0.63,10,1
3,9,1,0.778,1,1
9,729,9,0.348,115,1
5,290,11.6,0.09,22,1
11,781,6.455,0.461,65,1
9,432,5.333,0.273,83,1
7,301,6.143,0.249,58,1
8,56,0.875,0.446,8,1
7,700,14.286,0.279,120,1
8,232,3.625,0.384,43,1
8,104,1.625,0.365,23,1
7,266,5.429,0.414,45,1
10,350,3.5,0.326,51,1
7,98,2,0.367,23,1
11,2013,16.636,0.465,207,1
9,4806,59.333,0.169,607,1
7,112,2.286,0.339,27,1
10,510,5.1,0.308,83,1
13,4381,25.923,0.185,514,1
8,400,6.25,0.405,84,1
10,820,8.2,0.3,120,1
7,252,5.143,0.302,56,1
8,128,2,0.383,25,1
9,1548,19.111,0.353,225,1
7,28,0.571,0.5,6,1
6,24,0.667,0.583,3,1
7,28,0.571,0.393,5,1
8,128,2,0.383,29,1
1,74,74,0.189,13,1
5,165,6.6,0.315,41,1
8,296,4.625,0.334,77,1
10,1190,11.9,0.202,151,1
15,6285,27.933,0.345,482,1
11,682,5.636,0.353,75,1
1,45,45,0.2,8,1
16,5872,22.938,0.385,427,1
8,424,6.625,0.37,89,1
11,1122,9.273,0.289,173,1
7,56,1.143,0.464,12,1
7,210,4.286,0.271,43,1
14,4564,23.286,0.363,377,1
6,84,2.333,0.274,14,1
9,918,11.333,0.166,96,1
8,208,3.25,0.25,38,1
12,1416,9.833,0.253,184,1
9,171,2.111,0.269,34,1
10,80,0.8,0.5,8,1
7,84,1.714,0.452,19,1
7,126,2.571,0.254,23,1
9,261,3.222,0.414,45,1
5,25,1,0.36,3,1
10,570,5.7,0.407,79,1
7,1050,21.429,0.178,138,1
9,99,1.222,0.343,24,1
11,1474,12.182,0.286,179,1
77,19789,3.338,0.465,127,1
7,98,2,0.327,20,1
10,800,8,0.279,116,1
14,1176,6,0.261,133,1
7,378,7.714,0.497,55,1
11,407,3.364,0.371,75,1
6,192,5.333,0.417,38,1
11,1617,13.364,0.32,235,1
6,90,2.5,0.467,13,1
7,126,2.571,0.413,28,1
6,42,1.167,0.31,7,1
10,170,1.7,0.382,27,1
11,2640,21.818,0.27,348,1
13,1768,10.462,0.415,160,1
6,576,16,0.293,81,1
9,729,9,0.332,116,1
9,1494,18.444,0.386,195,1
10,660,6.6,0.27,95,1
7,35,0.714,0.429,6,1
10,90,0.9,0.689,6,1
25,7300,11.68,0.45,454,1
6,60,1.667,0.4,16,1
7,287,5.857,0.254,51,1
8,120,1.875,0.433,26,1
13,2483,14.692,0.406,214,1
9,441,5.444,0.306,74,1
7,49,1,0.306,9,1
10,640,6.4,0.439,109,1
9,315,3.889,0.26,60,1
7,42,0.857,0.5,1,1
14,4466,22.786,0.37,364,1
6,624,17.333,0.234,111,1
7,119,2.429,0.336,23,1
17,187,0.647,0.326,6,1
8,568,8.875,0.312,95,1
7,280,5.714,0.229,51,1
8,192,3,0.26,27,1
22,1562,3.227,0.499,71,1
7,84,1.714,0.464,18,1
9,873,10.778,0.466,168,1
9,315,3.889,0.381,56,1
8,1056,16.5,0.36,181,1
7,266,5.429,0.259,46,1
9,2565,31.667,0.338,358,1
10,230,2.3,0.37,37,1
9,81,1,0.272,16,1
9,1332,16.444,0.146,167,1
8,472,7.375,0.206,31,1
10,1510,15.1,0.193,197,1
9,162,2,0.327,28,1
6,120,3.333,0.367,32,1
6,108,3,0.5,22,1
10,160,1.6,0.3,26,1
11,418,3.455,0.328,70,1
9,9,0.111,1,1,1
9,1620,20,0.343,225,1
8,664,10.375,0.404,104,1
10,330,3.3,0.394,40,1
13,5317,31.462,0.277,556,1
9,3087,38.111,0.162,401,1
9,378,4.667,0.325,72,1
16,2928,11.438,0.413,251,1
6,60,1.667,0.183,6,1
9,333,4.111,0.532,55,1
6,234,6.5,0.393,52,1
9,2556,31.556,0.137,249,1
7,147,3,0.259,26,1
11,220,1.818,0.577,15,1
9,378,4.667,0.384,61,1
10,240,2.4,0.267,31,1
7,231,4.714,0.143,14,1
8,1056,16.5,0.311,163,1
11,374,3.091,0.324,49,1
10,2510,25.1,0.151,293,1
7,133,2.714,0.361,32,1
26,4784,7.077,0.773,219,1
12,3132,21.75,0.207,358,1
11,99,0.818,0.465,5,1
10,5350,53.5,0.166,671,1
24,5016,8.708,0.926,269,1
8,400,6.25,0.378,89,1
8,2176,34,0.359,289,1
8,288,4.5,0.465,63,1
8,744,11.625,0.324,121,1
37,3737,2.73,0.282,432,1
5,60,2.4,0.2,6,1
2,38,9.5,0.184,5,1
8,136,2.125,0.294,18,1
38,15580,10.789,0.254,1651,1
8,136,2.125,0.529,25,1
5,405,16.2,0.311,97,1
8,224,3.5,0.411,48,1
5,495,19.8,0.356,117,1
11,671,5.545,0.361,48,1
9,693,8.556,0.251,93,1
8,32,0.5,0.469,3,1
5,160,6.4,0.431,47,1
7,98,2,0.5,18,1
8,160,2.5,0.375,32,1
7,77,1.571,0.377,21,1
7,56,1.143,0.304,12,1
10,2800,28,0.356,380,1
7,217,4.429,0.415,39,1
27,2862,3.926,0.261,137,1
12,1404,9.75,0.2,176,1
8,2048,32,0.124,200,1
9,1080,13.333,0.176,147,1
6,174,4.833,0.293,34,1
10,1860,18.6,0.347,267,1
7,91,1.857,0.242,15,1
7,245,5,0.408,42,1
9,2484,30.667,0.388,373,1
11,2123,17.545,0.243,325,1
8,160,2.5,0.5,29,1
8,600,9.375,0.415,105,1
11,385,3.182,0.382,24,1
12,276,1.917,0.417,14,1
10,280,2.8,0.293,41,1
12,804,5.583,0.376,101,1
8,296,4.625,0.182,40,1
11,1309,10.818,0.236,177,1
9,738,9.111,0.389,123,1
5,65,2.6,0.292,13,1
11,209,1.727,0.378,41,1
11,55,0.455,0.655,3,1
9,423,5.222,0.492,86,1
9,288,3.556,0.365,47,1
7,945,19.286,0.114,99,1
9,4590,56.667,0.149,533,1
3,9,1,0.889,1,1
10,1160,11.6,0.273,186,1
9,2439,30.111,0.292,374,1
5,75,3,0.36,20,1
6,108,3,0.306,25,1
9,198,2.444,0.192,29,1
11,495,4.091,0.267,66,1
11,3927,32.455,0.215,546,1
10,900,9,0.501,115,1
7,14,0.286,0.714,1,1
6,456,12.667,0.353,108,1
1,9,9,0.778,1,1
11,2695,22.273,0.252,365,1
9,4572,56.444,0.164,614,1
7,1267,25.857,0.316,242,1
7,371,7.571,0.342,53,1
10,1410,14.1,0.236,148,1
9,810,10,0.26,97,1
8,144,2.25,0.403,23,1
8,88,1.375,0.318,20,1
24,3000,5.208,0.915,129,1
12,156,1.083,0.372,25,1
8,120,1.875,0.267,26,1
10,330,3.3,0.321,43,1
5,60,2.4,0.383,12,1
13,1378,8.154,0.306,178,1
12,96,0.667,0.792,5,1
7,42,0.857,0.5,9,1
9,108,1.333,0.389,18,1
8,112,1.75,0.339,22,1
11,627,5.182,0.295,75,1
11,2090,17.273,0.239,237,1
9,99,1.222,0.222,17,1
10,310,3.1,0.329,49,1
8,2168,33.875,0.217,364,1
7,105,2.143,0.229,17,1
5,145,5.8,0.538,33,1
6,558,15.5,0.276,101,1
1,143,143,0.133,18,1
8,56,0.875,0.411,12,1
8,48,0.75,0.333,9,1
6,570,15.833,0.256,82,1
7,98,2,0.296,10,1
8,328,5.125,0.363,73,1
15,5340,23.733,0.398,400,1
8,200,3.125,0.285,42,1
5,160,6.4,0.419,51,1
19,855,2.368,0.243,69,1
11,616,5.091,0.386,77,1
2,138,34.5,0.087,10,1
8,48,0.75,0.417,9,1
5,80,3.2,0.563,17,1
5,65,2.6,0.246,12,1
8,344,5.375,0.398,81,1
12,2100,14.583,0.403,198,1
10,1550,15.5,0.275,231,1
6,576,16,0.309,73,1
4,88,5.5,0.432,26,1
10,270,2.7,0.367,49,1
7,441,9,0.338,77,1
10,310,3.1,0.316,59,1
7,763,15.571,0.283,112,1
8,192,3,0.328,36,1
10,80,0.8,0.313,16,1
9,576,7.111,0.177,44,1
7,1498,30.571,0.449,243,1
8,520,8.125,0.302,90,1
9,414,5.111,0.338,84,1
12,3264,22.667,0.219,397,1
7,77,1.571,0.377,20,1
7,42,0.857,0.476,11,1
6,42,1.167,0.5,10,1
11,242,2,0.281,35,1
7,1561,31.857,0.205,229,1
11,132,1.091,0.492,15,1
31,9982,10.387,0.689,408,1
6,582,16.167,0.235,80,1
8,208,3.25,0.37,44,1
11,2992,24.727,0.168,352,1
10,380,3.8,0.387,59,1
9,783,9.667,0.444,147,1
9,3177,39.222,0.187,411,1
7,168,3.429,0.196,24,1
1,60,60,0.217,12,1
7,294,6,0.262,43,1
8,64,1,0.438,12,1
6,570,15.833,0.274,79,1
8,144,2.25,0.424,30,1
9,441,5.444,0.592,88,1
8,1960,30.625,0.198,286,1
8,112,1.75,0.375,20,1
7,91,1.857,0.286,19,1
10,350,3.5,0.337,45,1
8,1720,26.875,0.367,243,1
9,675,8.333,0.194,90,1
10,500,5,0.602,54,1
11,2255,18.636,0.371,278,1
10,200,2,0.605,15,1
9,675,8.333,0.369,119,1
9,72,0.889,0.264,15,1
7,1491,30.429,0.199,237,1
8,312,4.875,0.205,47,1
9,108,1.333,0.407,26,1
9,207,2.556,0.213,28,1
6,1578,43.833,0.124,177,1
26,10712,15.846,0.32,1142,1
8,632,9.875,0.316,111,1
10,620,6.2,0.265,75,1
7,105,2.143,0.343,22,1
14,406,2.071,0.14,35,1
11,2145,17.727,0.358,256,1
7,105,2.143,0.314,21,1
9,4113,50.778,0.173,555,1
6,582,16.167,0.299,94,1
14,5740,29.286,0.241,576,1
9,1620,20,0.16,186,1
9,2403,29.667,0.131,234,1
8,152,2.375,0.184,19,1
6,1104,30.667,0.323,179,1
9,1620,20,0.374,212,1
7,203,4.143,0.365,37,1
9,2556,31.556,0.141,286,1
10,490,4.9,0.529,86,1
7,119,2.429,0.395,26,1
10,370,3.7,0.592,27,1
13,4199,24.846,0.256,449,1
9,324,4,0.549,54,1
8,72,1.125,0.361,14,1
8,704,11,0.195,92,1
10,200,2,0.29,23,1
20,320,0.8,0.5,6,1
5,70,2.8,0.457,21,1
11,121,1,0.455,13,1
8,384,6,0.354,72,1
8,496,7.75,0.296,81,1
8,104,1.625,0.625,11,1
9,972,12,0.222,125,1
5,250,10,0.36,57,1
14,4494,22.929,0.361,345,1
10,410,4.1,0.276,70,1
8,2552,39.875,0.174,353,1
8,120,1.875,0.258,8,1
14,616,3.143,0.398,98,1
9,954,11.778,0.373,127,1
7,371,7.571,0.089,22,1
6,36,1,0.361,8,1
11,594,4.909,0.273,74,1
14,5852,29.857,0.261,707,1
8,760,11.875,0.303,130,1
6,42,1.167,0.286,8,1
9,162,2,0.241,27,1
7,455,9.286,0.215,71,1
10,210,2.1,0.348,23,1
9,198,2.444,0.212,26,1
8,240,3.75,0.354,42,1
10,1260,12.6,0.463,185,1
9,738,9.111,0.428,133,1
7,63,1.286,0.302,13,1
12,3132,21.75,0.223,364,1
26,4420,6.538,0.188,542,1
10,180,1.8,0.294,23,1
6,84,2.333,0.571,20,1
6,42,1.167,0.357,7,1
12,3684,25.583,0.29,444,1
8,128,2,0.328,22,1
7,147,3,0.333,35,1
9,1665,20.556,0.417,222,1
8,424,6.625,0.33,67,1
10,440,4.4,0.314,72,1
9,45,0.556,0.711,3,1
5,40,1.6,0.425,9,1
7,224,4.571,0.308,55,1
7,98,2,0.388,23,1
6,198,5.5,0.303,41,1
11,341,2.818,0.323,53,1
9,333,4.111,0.213,46,1
5,35,1.4,0.486,2,1
10,550,5.5,0.678,59,1
10,160,1.6,0.619,16,1
7,98,2,0.347,17,1
8,368,5.75,0.291,48,1
9,153,1.889,0.307,34,1
9,1539,19,0.121,138,1
6,36,1,0.417,8,1
12,3288,22.833,0.208,416,1
33,5280,4.848,0.219,182,1
10,1190,11.9,0.392,190,1
8,176,2.75,0.438,32,1
9,2448,30.222,0.277,365,1
11,1111,9.182,0.253,164,1
14,2604,13.286,0.307,319,1
4,56,3.5,0.268,9,1
5,30,1.2,0.367,3,1
5,15,0.6,0.467,1,1
8,1128,17.625,0.447,206,1
7,266,5.429,0.252,48,1
7,98,2,0.265,22,1
7,252,5.143,0.409,56,1
10,1230,12.3,0.362,149,1
8,232,3.625,0.401,39,1
11,1056,8.727,0.331,81,1
8,152,2.375,0.178,18,1
11,1815,15,0.354,190,1
8,600,9.375,0.423,84,1
6,228,6.333,0.377,57,1
14,4200,21.429,0.263,462,1
11,550,4.545,0.255,74,1
1,50,50,0.2,9,1
9,702,8.667,0.329,110,1
9,315,3.889,0.33,52,1
7,378,7.714,0.286,77,1
9,135,1.667,0.244,21,1
8,176,2.75,0.324,32,1
10,260,2.6,0.273,38,1
8,768,12,0.111,63,1
3,12,1.333,1,1,1
7,1225,25,0.337,221,1
7,315,6.429,0.254,62,1
9,306,3.778,0.412,66,1
10,1300,13,0.425,198,1
10,520,5.2,0.306,81,1
11,704,5.818,0.25,88,1
5,315,12.6,0.21,45,1
9,648,8,0.241,97,1
7,525,10.714,0.661,63,1
7,161,3.286,0.273,30,1
7,112,2.286,0.241,14,1
8,792,12.375,0.351,167,1
5,15,0.6,0.6,3,1
10,260,2.6,0.354,44,1
3,24,2.667,0.333,6,1
10,1310,13.1,0.415,198,1
11,946,7.818,0.283,140,1
3,15,1.667,0.533,2,1
6,96,2.667,0.49,22,1
9,207,2.556,0.169,12,1
5,35,1.4,0.4,8,1
7,98,2,0.214,19,1
6,66,1.833,0.333,14,1
9,585,7.222,0.463,102,1
7,126,2.571,0.27,25,1
7,196,4,0.27,39,1
9,324,4,0.552,51,1
10,1080,10.8,0.319,161,1
8,160,2.5,0.406,35,1
8,208,3.25,0.389,35,1
9,2079,25.667,0.196,274,1
11,924,7.636,0.251,131,1
7,133,2.714,0.406,31,1
9,459,5.667,0.296,58,1
38,12996,9,0.275,275,1
6,324,9,0.549,53,1
6,684,19,0.278,108,1
6,78,2.167,0.333,19,1
8,1848,28.875,0.21,236,1
10,300,3,0.33,52,1
5,20,0.8,0.65,4,1
9,585,7.222,0.222,96,1
7,364,7.429,0.272,81,1
9,1422,17.556,0.217,212,1
12,4920,34.167,0.324,645,1
16,4944,19.313,0.382,351,1
8,32,0.5,0.438,3,1
9,4815,59.444,0.146,534,1
6,102,2.833,0.382,24,1
9,1242,15.333,0.271,180,1
9,387,4.778,0.388,55,1
9,135,1.667,0.378,21,1
6,42,1.167,0.714,1,1
9,837,10.333,0.229,122,1
82,25748,3.829,0.296,703,1
8,32,0.5,0.25,1,1
10,180,1.8,0.583,14,1
8,760,11.875,0.466,120,1
6,78,2.167,0.282,14,1
8,368,5.75,0.356,73,1
7,14,0.286,0.643,4,1
14,2618,13.357,0.265,300,1
9,1386,17.111,0.406,192,1
11,1298,10.727,0.348,167,1
6,42,1.167,0.405,4,1
13,741,4.385,0.745,48,1
7,175,3.571,0.349,27,1
9,225,2.778,0.249,37,1
7,105,2.143,0.333,24,1
7,56,1.143,0.286,9,1
8,168,2.625,0.262,29,1
8,328,5.125,0.265,37,1
10,350,3.5,0.337,63,1
8,136,2.125,0.441,36,1
39,13767,9.051,0.557,454,1
10,180,1.8,0.294,28,1
20,600,1.5,0.433,19,1
10,490,4.9,0.551,88,1
8,216,3.375,0.218,21,1
8,96,1.5,0.51,19,1
10,190,1.9,0.6,12,1
9,4428,54.667,0.209,697,1
9,486,6,0.27,88,1
8,72,1.125,0.361,15,1
9,1971,24.333,0.109,150,1
7,287,5.857,0.209,44,1
6,66,1.833,0.318,16,1
9,198,2.444,0.389,40,1
9,153,1.889,0.229,21,1
7,105,2.143,0.324,11,1
10,1150,11.5,0.24,187,1
9,2448,30.222,0.269,342,1
6,84,2.333,0.393,21,1
10,780,7.8,0.381,118,1
24,2376,4.125,0.912,108,1
10,600,6,0.365,93,1
10,860,8.6,0.423,149,1
10,330,3.3,0.352,56,1
6,48,1.333,0.646,10,1
5,95,3.8,0.442,28,1
10,2710,27.1,0.173,318,1
12,852,5.917,0.628,79,1
7,980,20,0.131,100,1
9,369,4.556,0.201,57,1
7,189,3.857,0.344,33,1
4,24,1.5,0.417,1,1
8,168,2.625,0.357,36,1
10,190,1.9,0.337,32,1
3,12,1.333,0.667,1,1
3,9,1,0.889,1,1
14,5390,27.5,0.369,412,1
7,420,8.571,0.286,80,1
9,45,0.556,0.467,2,1
7,49,1,0.367,13,1
10,1450,14.5,0.268,213,1
10,590,5.9,0.269,88,1
8,128,2,0.344,29,1
7,700,14.286,0.294,123,1
7,1596,32.571,0.154,175,1
10,750,7.5,0.451,119,1
9,180,2.222,0.628,14,1
9,828,10.222,0.286,123,1
5,85,3.4,0.412,20,1
9,126,1.556,0.278,17,1
12,3252,22.583,0.232,390,1
10,120,1.2,0.333,22,1
7,126,2.571,0.302,28,1
1,249,249,0.173,42,1
7,119,2.429,0.328,27,1
8,96,1.5,0.438,20,1
15,2040,9.067,0.24,174,1
6,78,2.167,0.308,15,1
7,35,0.714,0.829,1,1
25,7300,11.68,0.472,459,1
6,168,4.667,0.327,26,1
9,261,3.222,0.31,38,1
10,90,0.9,0.522,5,1
10,670,6.7,0.321,94,1
12,1416,9.833,0.35,166,1
8,4200,65.625,0.095,297,1
8,600,9.375,0.328,106,1
8,72,1.125,0.417,13,1
7,49,1,0.408,9,1
6,24,0.667,0.583,4,1
9,855,10.556,0.284,127,1
24,2304,4,0.208,151,1
5,15,0.6,0.533,3,1
5,375,15,0.269,83,1
8,280,4.375,0.382,53,1
5,30,1.2,0.233,5,1
11,715,5.909,0.39,107,1
7,280,5.714,0.339,66,1
12,120,0.833,0.442,10,1
8,192,3,0.375,40,1
10,70,0.7,0.357,12,1
10,1010,10.1,0.466,156,1
7,238,4.857,0.273,44,1
13,5317,31.462,0.267,637,1
12,96,0.667,0.448,10,1
7,280,5.714,0.311,61,1
5,470,18.8,0.277,80,1
10,690,6.9,0.277,103,1
9,738,9.111,0.312,84,1
11,660,5.455,0.32,105,1
7,63,1.286,0.365,13,1
10,600,6,0.223,91,1
8,320,5,0.481,59,1
8,128,2,0.406,31,1
5,95,3.8,0.316,20,1
9,1440,17.778,0.36,197,1
9,387,4.778,0.47,55,1
9,738,9.111,0.337,124,1
10,980,9.8,0.463,167,1
7,161,3.286,0.323,31,1
11,242,2,0.293,30,1
10,2680,26.8,0.395,180,1
6,300,8.333,0.327,49,1
10,810,8.1,0.279,107,1
1,60,60,0.2,11,1
10,420,4.2,0.317,60,1
10,540,5.4,0.306,85,1
14,5768,29.429,0.179,651,1
10,220,2.2,0.318,39,1
8,352,5.5,0.415,71,1
9,2691,33.222,0.133,274,1
12,3408,23.667,0.325,386,1
9,54,0.667,0.667,2,1
24,4272,7.417,0.491,267,1
