@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-2,6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Class {0,1}

@data
1.487,1.568,0
0.258,0.699,1
1.483,1.798,0
0.559,2.521,0
0.686,1.876,0
0.325,0.815,1
0.122,0.512,1
2.374,1.034,0
-0.082,0.579,0
0.317,1.119,1
1.064,2.8,0
2.995,1.389,0
0.596,0.671,1
2.44,1.136,0
1.288,2.328,0
0.349,0.794,1
1.146,2.943,0
0.118,0.497,1
1.4,1.01,0
1.293,1.097,0
1.018,0.77,0
1.721,0.578,0
0.423,0.691,1
0.644,1.088,0
1.836,0.751,0
0.388,0.577,1
0.573,0.92,0
1.098,2.506,0
0.786,0.546,1
0.348,0.808,1
0.365,0.624,0
0.201,0.892,1
1.963,1.677,0
0.179,0.781,1
1.688,1.674,0
3.343,-0.28,0
1.585,0.407,0
1.103,0.633,1
0.677,1.413,0
0.807,1.334,0
0.371,0.535,1
0.584,1.42,0
0.795,0.861,1
1.053,0.573,1
0.242,0.533,1
0.529,3.296,0
3.772,0.877,0
0.228,1.044,0
0.446,1.034,0
-0.319,0.635,1
0.912,1.59,0
1.58,1.14,0
-0.18,1.99,0
0.636,1.985,0
0.719,1.661,0
0.305,0.599,1
0.493,2.278,0
0.601,0.905,1
1.153,1.839,0
0.321,1.628,0
0.302,0.65,1
0.65,3.042,0
0.172,0.894,0
0.21,0.749,1
0.496,2.197,0
1.165,2.441,0
0.088,0.271,0
3.363,0.586,0
2.157,2.183,0
1.128,1.33,0
0.693,0.627,1
0.922,2.596,0
1.062,1.602,1
0.434,2.539,0
0.15,0.827,1
0.207,0.658,1
0.397,0.91,0
1.095,1.291,0
0.42,0.333,0
-0.107,-0.515,1
1.274,1.307,0
0.74,3.439,0
0.499,1.921,0
0.649,1.762,0
-0.158,2.19,0
1.903,0.797,0
0.189,0.529,0
-0.092,-0.391,1
1.057,1.935,1
0.934,3.018,0
0.285,1.068,0
0.502,2.169,0
2.466,0.78,0
0.67,1.848,0
2.055,1.155,0
1.147,0.598,1
0.284,1.148,0
0.564,1.168,1
1.653,0.732,0
0.122,0.724,1
0.447,1.651,0
1.157,2.253,1
0.064,0.517,0
-0.069,-0.273,1
1.065,2.259,0
0.805,1.398,0
0.774,1.042,1
0.192,0.292,1
0.233,1.469,0
0.635,3.054,0
2.539,1.247,0
0.349,1.736,0
0.496,1.938,0
0.233,0.385,1
1.746,1.608,0
0.456,1.275,0
0.128,0.351,0
0.273,2.073,0
0.173,0.406,0
0.761,1.655,0
0.32,0.822,1
0.269,1.041,0
0.515,2.151,0
0.373,1.511,0
0.274,3.21,0
0.555,2.696,0
0.531,2.018,0
0.552,2.956,0
0.334,0.9,0
0.325,0.854,1
-0.081,-0.263,1
0.085,0.356,0
0.736,0.75,1
3.218,-0.364,0
0.337,1.199,1
2.911,0.745,0
0.419,0.601,1
0.723,0.723,0
0.211,0.679,0
0.115,0.514,1
0.352,2.01,0
0.984,2.472,0
0.279,1.643,0
1.274,1.755,0
0.452,0.759,1
2.582,0.47,0
0.152,0.526,1
0.291,0.678,0
2.686,-0.32,0
0.334,1.78,0
0.764,2.766,0
1.657,2.263,0
1.084,1.32,0
0.344,1.797,0
0.134,0.399,1
0.626,2.139,0
0.214,0.954,1
0.947,2.345,0
0.087,0.585,0
1.246,1.017,0
0.455,3.902,0
0.191,1.054,0
0.43,0.597,0
0.469,0.548,1
0.722,1.094,1
1.175,1.208,1
0.349,2.027,0
1.164,2.083,0
0.434,1.224,0
1.998,1.349,0
0.612,3.149,1
3.13,0.557,0
0.959,2.757,0
0.249,0.553,0
0.652,1.177,1
0.163,0.854,0
0.551,0.418,1
0.635,3.075,0
0.28,2.032,0
0.72,1.788,0
2.185,0.637,0
0.076,0.254,0
0.296,1.004,0
0.479,0.493,0
0.367,0.51,1
1.116,2.458,0
0.25,0.891,1
0.405,2.204,0
0.354,2.077,0
0.492,1.782,0
0.53,0.921,1
3.137,1.237,0
0.907,1.536,0
-1.046,-1.081,0
2.703,-0.236,0
0.403,1.026,1
1.302,1.719,0
0.44,1.846,0
0.625,2.31,0
0.609,0.63,1
0.648,0.754,1
0.598,1.798,0
0.929,2.558,0
0.111,0.397,1
1.677,0.791,0
0.927,2.496,1
0.205,1.163,0
1.21,1.167,0
2.721,0.652,0
2.954,0.435,0
0.245,1,0
0.471,1.471,1
0.826,1.872,0
0.306,1.124,1
1.392,1.632,0
0.666,1.782,0
0.369,2.829,1
0.791,2.125,0
1.087,1.908,0
0.737,3.178,0
0.098,0.692,1
0.217,0.598,0
0.114,0.501,1
0.25,1.051,0
3.24,0.43,0
2.039,1.226,0
1.053,0.573,1
1.439,2.014,0
0.817,0.796,0
0.798,2.84,0
0.647,0.86,1
0.189,1.169,0
0.266,1.04,0
0.148,1.48,0
1.213,0.697,1
0.403,1.292,0
0.351,0.785,1
0.279,0.985,0
0.983,1.108,0
0.23,0.398,1
0.501,0.462,1
0.124,0.346,0
0.367,0.788,1
1.12,1.69,0
1.396,1.668,1
0.568,2.557,1
0.216,1.604,0
0.274,0.798,1
1.79,1.505,0
0.997,1.896,0
0.379,2.85,0
0.422,1.478,1
0.807,2.168,1
0.686,3.259,0
0.249,1.423,0
0.327,2.711,0
0.264,0.906,1
3.139,0.704,0
1.471,1.344,0
1.229,1.569,0
1.586,2.256,0
0.171,1.122,0
1.782,0.786,0
2.503,0.461,0
0.143,0.546,1
2.32,1.249,0
1.093,1.612,0
0.085,0.296,0
1.107,1.532,0
0.987,1.977,0
0.693,2.371,0
1.91,1.253,0
1.137,0.603,1
0.58,1.03,0
0.932,2.3,0
1.568,1.363,0
0.521,2.947,0
0.337,1.81,0
0.796,1.331,0
0.716,1.75,0
0.53,0.257,1
0.203,1.205,0
0.705,1.796,0
2.078,0.918,0
0.72,2.762,0
1.039,2.521,0
-0.079,-0.329,1
0.219,1.027,0
0.252,1.357,0
0.757,2.007,0
0.316,1.008,0
0.254,1.347,0
1.182,2.344,0
0.443,1.345,1
0.815,1.8,0
0.362,2.421,0
0.412,1.1,0
1.185,2.24,0
0.176,0.438,0
0.762,1.414,1
1.201,1.655,1
0.683,-1.082,1
0.152,0.582,1
0.331,2.978,0
0.264,1.276,0
0.103,0.576,1
0.365,1.356,1
0.157,0.511,1
1.364,0.808,1
3.087,-0.304,0
0.801,2.874,0
1.033,2.488,0
0.253,1.762,0
0.966,2.286,0
0.168,1.108,0
0.256,1.233,1
0.442,0.52,1
0.92,1.932,1
0.584,3.106,0
3.553,-0.281,0
0.404,0.913,0
0.342,2.176,0
