@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,6'

@attribute Aa numeric
@attribute Dcl numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
3.083,-0.135,0.102,0
3.629,-0.144,-0.048,0
0.101,1.097,2.347,0
0.412,1.17,0.509,0
1.083,1.967,1.264,1
0.189,0.612,1.954,0
0.251,1.656,-0.753,1
0.127,1.162,2.31,0
0.119,0.257,0.404,1
0.331,-0.524,-0.269,0
1.538,-0.089,0.084,0
0.337,1.531,0.701,1
0.109,0.322,0.579,1
0.306,2.947,-0.928,0
3.505,0.334,0.296,0
0.299,2.744,-0.632,0
0.444,2.26,1.261,1
0.539,1.794,1.127,1
0.133,0.98,-0.558,1
0.153,1.112,1.995,1
0.545,1.311,0.607,1
0.393,1.55,-0.431,0
0.142,0.546,1.116,0
0.935,-0.451,0.253,0
0.194,1.007,1.213,1
3.451,0.682,0.204,0
0.228,1.007,2.52,1
0.509,-0.318,0.189,0
0.076,0.355,0.497,0
0.218,0.468,1.11,1
1.914,-0.413,0.373,0
0.317,1.996,-0.616,0
1.601,1.09,0.576,0
0.388,2.328,-0.656,0
2.747,-0.119,-0.066,0
0.233,1.178,1.742,0
1.318,-0.478,-0.173,0
0.738,0.451,0.261,0
2.474,0.207,0.208,0
0.824,0.779,0.365,1
0.137,2.211,-0.765,0
0.253,1.506,-0.454,0
0.983,-0.384,-0.181,1
2.217,0.139,0.103,0
2.877,-0.129,0.13,0
0.592,-0.442,0.295,0
0.66,0.99,0.264,0
1.014,1.761,0.847,1
0.371,2.531,-0.704,0
0.302,-0.337,-0.184,0
0.212,0.907,1.481,0
0.569,2.019,-0.531,1
0.948,-0.397,0.42,0
0.202,2.04,0.897,0
0.553,1.665,0.714,1
0.314,1.595,1.327,1
0.225,0.534,1.811,1
1.757,0.866,1.579,0
0.452,1.323,0.685,0
0.597,1.895,-0.601,1
0.114,0.939,0.909,1
1.132,-0.221,-0.1,0
3.246,-0.159,0.086,0
0.551,2.271,0.668,0
1.626,-0.385,0.288,0
0.145,1.109,1.566,1
0.295,2.828,-0.662,0
1.517,-0.229,0.134,0
3,0.136,0.112,0
2.035,0.717,-0.165,0
0.376,2.226,-0.598,0
1.687,-0.315,-0.148,0
1.528,0.179,0.149,0
0.614,-0.442,-0.163,0
0.22,2.661,-0.639,0
2.02,-0.1,0.079,0
0.09,0.261,0.769,1
0.293,1.019,0.505,0
1.54,-0.36,-0.388,0
0.058,-0.126,-0.348,0
0.189,2.21,-0.87,0
2.555,0.208,0.188,0
-0.165,2.187,-0.856,0
2.556,0.37,-0.085,0
2.397,0.25,-0.078,0
1.068,-0.283,-0.132,0
1.565,0.123,0.11,0
0.596,1.434,0.699,1
0.246,2.489,-0.781,0
1.7,0.514,0.222,0
1.889,0.479,0.366,0
1.341,-0.283,-0.098,0
0.272,1.667,0.89,1
1.925,0.355,0.315,0
0.071,0.521,0.439,0
0.146,0.39,0.702,0
0.182,0.858,1.275,0
1.139,1.189,0.572,1
0.279,1.702,1.477,0
0.517,2.199,-0.573,0
0.543,0.788,1.553,1
0.364,2.071,-0.622,0
0.58,1.911,1.786,1
0.563,-0.387,-0.17,0
0.598,-0.355,-0.152,0
-0.181,1.491,-0.833,0
0.483,0.749,0.834,1
2.234,0.171,0.094,0
0.116,0.917,1.673,0
0.296,2.632,-0.761,1
0.376,1.497,0.859,1
0.72,0.87,2.021,0
0.328,0.838,2.117,1
-0.147,1.573,-0.543,0
0.189,0.528,-0.789,0
0.582,-0.511,0.702,0
0.422,-0.51,-0.203,0
2.628,0.402,0.299,0
1.179,-0.231,-0.093,0
0.232,0.687,1.597,0
0.136,0.237,0.45,1
3.568,0.157,-0.071,0
0.892,-0.287,-0.118,0
0.211,1.838,0.714,0
0.881,1.726,1.098,1
1.052,-0.349,-0.147,0
0.985,-0.277,-0.146,0
0.245,1.122,1.739,1
0.564,0.947,0.763,1
0.199,0.958,1.156,0
0.2,0.57,2.185,1
3.66,0.357,0.362,0
0.634,0.884,-0.353,0
3.561,0.179,-0.077,0
2.4,0.19,0.172,0
0.152,0.846,2.32,0
0.52,0.992,0.453,0
0.464,-0.547,-0.242,0
0.248,2.06,-0.911,1
2.196,0.513,1.841,0
0.66,0.99,-0.264,0
0.165,0.467,0.781,0
0.886,-0.327,0.195,0
0.403,-0.537,0.357,0
0.677,-0.429,0.329,0
1.165,1.661,0.648,1
0.419,0.851,0.463,0
0.111,0.453,-0.514,0
0.432,2.327,-0.592,0
3.399,-0.143,-0.079,0
1.639,-0.345,0.406,0
0.431,1.293,1.116,1
1.036,0.375,0.249,0
0.139,0.517,-0.638,1
1.556,-0.371,-0.158,0
0.094,0.268,-0.469,0
0.718,1.589,1.189,0
2.699,-0.105,0.094,0
0.251,2.079,-0.517,0
0.345,0.567,0.246,0
0.829,-0.381,0.24,0
1.325,-0.296,-0.096,0
0.104,1.077,0,0
0.245,2.114,-0.752,0
0.749,1.538,-0.428,0
0.278,1.856,1.155,1
0.599,0.933,0.59,1
0.583,1.159,0.508,0
0.788,1.061,0.653,1
0.359,2.39,-0.658,1
0.801,2.047,-0.555,1
1.157,1.941,-0.668,0
0.987,-0.491,-0.164,0
0.56,0.915,1.744,1
0.148,1.199,-0.34,0
0.318,1.096,1.985,1
0.564,0.947,0.763,1
-0.079,1.372,1.245,1
0.337,0.701,0.317,0
2.164,-0.364,1.024,0
1.386,-0.23,0.109,0
0.368,1.976,-0.459,0
-0.106,-0.401,1.3,1
1.288,0.123,0.095,0
0.15,2.363,-0.742,0
