@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-2,4,6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
0.486,1.088,1.099,0
0.569,0.908,-0.531,1
0.577,2.804,1.197,0
0.584,1.413,-0.653,1
-0.239,0.7,1.292,1
0.723,1.59,-0.139,0
0.257,1.09,-0.443,0
0.373,1.299,0.86,1
1.943,1.012,0.151,0
0.391,0.905,0.987,1
0.96,0.431,1.326,1
0.6,2.234,-0.237,0
0.27,2.186,-0.248,0
0.469,1.774,-0.157,0
0.382,1.752,0.371,0
0.331,1.163,1.493,1
1.086,1.046,0.202,0
1.301,2.515,0.553,0
0.625,2.852,-0.289,0
0.724,2.438,0.3,0
0.249,0.569,2.165,1
1.824,0.597,0.117,0
3.347,0.482,0.666,0
1.036,2.396,1.399,0
1.547,1.178,0.128,0
0.158,0.378,-0.398,1
0.313,1.268,-0.841,0
0.316,0.62,-0.518,1
0.276,0.904,1.594,0
1.461,1.555,0.271,0
0.048,0.234,0.469,0
1.205,0.721,-0.604,1
1.84,-0.254,0.153,0
0.086,0.308,0.451,0
0.298,0.642,0.778,1
0.575,2.035,1.846,0
0.282,1.739,0.329,0
2.287,-0.234,0.176,0
0.377,0.522,1.39,0
1.115,2.261,0.275,0
0.462,2.139,-0.164,0
0.636,0.675,1.532,1
0.416,0.399,1.108,0
0.165,1.198,0.469,0
0.374,1.266,1.077,0
1.078,0.9,-0.649,1
0.074,0.373,0.423,0
0.327,1.581,0.274,0
0.351,2.237,-0.617,0
0.525,0.974,-0.586,0
0.252,0.623,-0.671,1
0.29,1.224,-0.656,0
0.288,0.765,1.642,0
1.158,2.391,-0.248,1
0.101,0.629,0.74,1
0.37,0.81,1.628,1
0.578,1.929,-0.193,0
0.229,1.118,-0.555,0
1.569,1.44,0.129,0
1.11,0.729,0.089,0
0.27,1.806,0.434,0
0.205,0.629,1.653,0
0.675,1.505,0.665,0
3.432,-0.312,-0.075,0
-0.199,-0.562,1.824,0
0.687,1.871,0.378,1
2.56,1.439,0.391,0
0.234,0.48,-0.947,1
0.32,1.062,-0.96,0
2.91,0.359,0.149,0
2.708,0.925,-0.075,0
0.206,1.121,0.498,0
2.116,0.488,0.094,0
0.185,1.098,-0.698,0
0.411,0.736,0.839,1
0.765,2.815,0.811,0
-0.144,-0.563,-0.916,1
1.411,2.01,-0.128,0
3.644,-0.294,-0.072,0
-0.309,0.907,-0.659,0
0.169,1.034,1.278,1
0.539,0.653,0.62,1
0.496,1.171,0.947,1
1.058,2.479,1.436,1
0.681,1.257,1.406,1
3.164,0.728,0.101,0
2.429,0.968,1.022,0
0.417,0.567,1.194,1
0.642,1.871,-0.141,0
0.385,0.67,0.839,1
0.832,3.36,0.593,0
0.978,1.539,-0.178,0
0.313,1.214,1.077,1
0.44,0.728,1.453,1
2.839,1.081,-0.237,0
1.232,1.285,0.435,1
0.166,0.589,2.079,0
0.22,0.535,1.348,1
2.377,0.65,-0.071,0
1.098,1.264,-0.485,1
-0.132,-0.333,-0.982,0
0.518,0.819,1.016,1
1.257,2.24,0.233,0
1.146,2.519,-0.18,0
0.215,0.523,1.435,1
0.582,0.401,1.017,1
0.139,0.384,1.56,0
0.95,0.555,1.481,1
0.608,3.531,0.293,0
0.273,1.982,0.567,0
0.639,2.884,-0.377,0
0.336,1.536,-0.623,0
0.224,0.558,1.559,1
2.347,0.928,-0.108,0
2.475,1.325,0.697,0
0.912,1.59,0.121,0
0.096,0.61,0.591,0
0.427,-1.045,-0.444,0
0.265,2.037,0.625,0
0.251,0.542,-0.615,0
0.936,2.357,0.519,1
1.843,1.023,0.204,0
0.119,0.604,2.457,0
0.521,1.331,0.887,1
0.512,0.87,0.649,1
1.798,1.851,-0.124,0
0.621,1.749,-0.183,0
0.228,0.881,2.501,1
2.063,1.161,0.103,0
1.136,0.603,0.636,1
0.568,0.892,0.848,0
0.09,0.314,1.544,0
0.355,1.816,-0.621,0
1.492,0.795,0.108,0
0.771,2.719,-0.168,0
0.412,2.118,0.226,0
0.227,1.27,-0.591,0
0.222,1.017,1.076,0
0.106,0.635,0.453,1
0.58,2.541,-0.165,0
0.445,0.965,0.958,1
1.099,1.843,1.369,1
1.466,1.697,0.284,0
0.302,0.697,1.227,1
3.414,-0.301,-0.074,0
0.266,3.155,0.434,0
1.256,2.372,-0.324,1
0.701,2.062,-0.242,0
0.391,1.276,-0.721,0
1.796,0.858,0.189,0
0.322,1.754,0.269,0
1.199,2.525,-0.326,1
0.572,2.469,0.83,1
1.396,1.149,0.662,1
0.121,0.635,1.534,0
2.437,1.018,0.182,0
0.329,2.133,0.436,1
2.611,0.661,0.104,0
0.562,1.253,-0.668,1
1.601,0.836,-0.131,0
0.131,0.617,0.897,0
3.359,-0.241,-0.085,0
0.598,2.171,0.332,0
0.365,0.433,1.979,0
0.465,1.193,1.55,1
0.18,0.679,1.823,1
2.101,1.502,-0.085,0
0.134,0.651,2.12,0
0.126,0.732,1.451,0
0.699,2.221,-0.482,0
0.385,2.111,0.214,0
1.414,1.694,-0.195,0
0.327,0.659,2.197,1
3.132,0.557,0.18,0
0.147,0.625,0.87,1
0.044,0.301,0.459,0
0.281,0.867,-0.525,0
1.309,0.768,1.657,1
0.228,1.054,0.479,0
0.131,0.263,-0.386,1
-0.102,-0.549,-1.359,0
2.21,1.84,0.952,0
1.031,1.627,0.171,0
1.296,2.241,0.214,0
1.079,2.734,0.416,1
0.533,2.235,0.496,0
1.228,0.904,0.108,0
0.365,0.882,1.149,1
0.301,1.934,0.695,0
0.918,0.758,0.075,0
0.361,2.716,-0.475,0
0.216,0.376,1.729,1
0.917,2.238,0.247,0
0.555,2.557,0.578,0
0.127,0.522,1.744,1
0.299,0.849,-0.609,1
2.781,0.932,0.177,0
0.477,1.051,1.689,1
0.283,1.008,-0.895,0
0.308,1.214,0.307,0
1.821,1.432,0.343,0
1.781,1.995,-0.139,0
0.09,0.324,0.468,0
0.113,0.409,0.994,0
0.273,1.03,0.792,0
0.403,0.357,1.133,1
0.885,0.328,0.751,1
0.205,0.765,2.161,1
0.726,2.701,0.416,0
1.284,1.71,0.249,0
0.333,0.427,2.152,0
0.228,0.845,-0.56,0
0.315,1.222,-0.605,0
1.304,1.082,0.137,0
1.198,2.258,-0.462,0
0.596,2.869,0.242,0
0.349,1.248,-0.7,0
2.473,0.334,0.208,0
0.885,1.789,1.406,1
1.364,1.941,-0.129,0
0.345,2.885,0.618,0
0.137,0.621,2.234,0
2.406,-0.221,0.198,0
2.039,0.855,0.124,0
0.477,0.953,-0.338,0
0.091,0.283,0.456,0
0.139,1.504,-0.766,0
0.638,3.104,-0.249,0
0.65,3.308,-0.263,0
0.144,0.888,1.646,0
0.34,2.16,0.361,0
0.338,1.216,0.729,0
0.737,2.989,-0.351,0
0.326,2.129,0.353,0
2.817,0.729,0.22,0
0.725,2.566,-0.195,0
-0.053,4.32,-0.243,0
1.181,1.305,1.809,0
0.234,0.727,0.778,1
0.245,2.125,0.494,0
0.555,2.793,-0.182,0
0.179,0.426,1.696,0
0.138,0.65,1.528,1
1.575,1.624,0.398,0
0.2,0.561,-0.644,0
0.438,3.131,0.324,0
1.017,1.215,0.409,1
1.977,1.376,0.236,0
0.438,0.442,1.157,0
2.884,1.03,0.219,0
0.613,2.804,0.927,1
0.195,0.587,1.021,1
0.348,1.224,0.83,0
0.455,2.047,0.322,0
0.148,0.435,2.222,0
0.623,0.613,0.62,1
1.446,2.873,-0.174,0
3.226,-0.214,-0.075,0
2.089,0.673,0.194,0
2.023,1.543,0.199,0
1.078,2.567,-0.188,0
1.517,1.186,0.248,0
1.156,1.86,-0.115,0
0.137,0.714,0.972,1
