@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R3,5-6'

@attribute Dcl numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
1.396,-0.307,0
0.707,-1.009,1
0.458,0,0
0.207,-0.072,0
1.044,-0.183,0
-0.821,-0.205,0
0.752,0,1
2.634,0.611,0
2.121,1.264,1
-0.509,-0.995,1
1.025,-0.6,1
0.222,-0.062,0
1.152,-0.517,0
0.328,1.973,0
1.656,-0.363,0
-0.121,0.073,0
1.197,-0.176,1
0.67,0.237,0
1.781,1.095,1
0.522,-1.014,1
0.502,-0.389,0
0.172,-0.046,0
1.925,-0.4,0
-0.153,0.079,0
2.17,0.371,1
1.286,0.543,1
-0.372,-0.075,0
0.805,-0.171,1
-0.491,-0.183,0
0.519,-0.207,0
1.901,1.526,1
1.998,0.428,1
0.663,0,0
-0.732,-0.684,0
-0.514,-0.198,0
0.681,1.2,1
1.589,0.692,0
0.61,-0.794,0
0.153,-0.061,0
-0.224,-0.056,0
1.665,-0.785,1
1.583,-0.173,0
0.606,-0.397,0
0.757,0.699,1
0.89,0,0
1.354,0,0
0.973,-0.962,0
0.189,-0.08,0
0.45,-0.23,0
0.578,-0.113,0
1.985,-0.268,0
-0.095,-0.047,0
2.055,0,0
0.941,-0.623,1
0.32,1.814,0
0.501,0.529,0
0.86,1.974,0
0.536,-0.137,0
1.476,-0.276,1
0.77,0.843,1
1.35,1.779,1
-0.281,0.359,0
1.394,-0.241,0
1.79,-0.255,0
1.194,-0.212,0
0.739,0,1
-0.194,-0.058,0
0.931,-0.194,0
1.992,-0.384,1
0.923,-0.569,1
0.317,-0.447,0
-0.29,-0.172,0
1.465,-0.129,0
1.248,-0.118,0
2.32,0,0
0.55,-0.141,0
0.821,1.092,1
1.936,-0.497,0
1.122,-0.614,0
-0.664,-0.172,0
0.71,0.913,1
-0.391,0.186,0
1.844,1.597,1
2.77,-0.242,1
0.594,0.993,1
0.903,0.634,1
-0.468,-0.099,0
-0.509,0,0
-0.505,-0.136,0
0.35,-0.164,0
0.966,-0.52,0
-0.372,-0.148,0
-0.449,0.169,0
1.714,-0.419,1
2.504,0.427,0
0.867,-0.46,1
-0.127,0.065,0
-0.6,0,0
-0.626,0.162,0
0.679,-0.756,1
1.776,-0.224,1
-0.098,0.056,0
1.336,-0.458,1
1.883,0.417,0
0.902,1.069,1
-0.13,0.057,0
2.17,-0.346,0
-0.57,-0.159,0
-0.461,0.16,0
0.154,-0.046,0
-0.463,-0.133,0
1.582,-0.673,1
0.63,-0.828,1
2.168,0.553,0
2.077,0.832,1
-0.367,0.216,0
0.475,0,1
-0.388,-0.266,0
0.837,-0.404,0
2.039,1.835,1
1.438,-0.489,0
1.552,1.483,1
1.671,0.477,1
2.753,0,0
0.735,0,1
0.543,0,0
-0.127,-0.039,0
1.839,-0.337,0
0.467,0,0
0.427,-0.079,0
-0.093,0.052,0
0.564,-0.682,0
2.404,0.513,0
0.684,0,0
0.789,0,0
1.953,-0.547,1
2.055,-0.625,0
0.388,0,1
-0.567,0.175,0
0.352,-0.137,0
1.27,1.263,1
-0.306,-0.091,0
-0.101,-0.059,0
0.507,0,0
1.315,-0.323,1
0.904,0,0
1.501,-0.147,1
-0.387,-0.301,0
2.043,0.969,1
1.313,-0.104,0
0.634,-0.31,1
2.547,-0.377,0
-0.338,-0.088,0
1.659,0,0
0.713,0,1
1.988,-0.243,0
1.213,0.254,0
2.589,0,0
-0.382,0.117,0
-0.343,0.156,0
1.88,0.721,1
1.648,1.932,1
0.211,-0.374,0
2.177,-0.207,1
2.718,-0.338,0
1,-0.605,0
0.777,0.333,0
-0.077,-0.104,0
0.376,1.125,0
1.65,-0.52,1
0.823,0,1
1.707,1.698,1
-0.321,0.15,0
1.622,0.671,1
0.495,1.775,0
1.436,-0.513,0
2.144,-0.58,1
0.277,0.589,0
0.533,1.235,0
0.165,0.093,0
-0.195,0.062,0
1.324,0,0
-0.415,-0.112,0
2.173,0.733,1
0.46,-0.348,0
-0.322,0.161,0
0.778,-0.693,1
1.901,1.526,1
0.316,-0.469,0
0.628,1.369,0
0.642,2.4,0
0.991,-0.228,0
1.186,0,1
-0.691,1.761,0
-0.453,0,0
-0.216,0.087,0
0.868,-0.479,1
1.513,0.666,1
2.063,0.704,1
1.686,-0.263,1
1.847,0.387,1
1.372,-0.16,1
-0.098,-0.039,0
-0.414,0,0
-0.717,-0.161,0
0.593,-0.207,1
1.637,1.584,1
-0.493,0,0
2.363,-0.327,1
-0.452,-0.215,0
1.846,-0.201,0
2.273,0,0
1.051,-0.191,0
1.318,-0.473,1
2.305,1.273,1
-0.515,-0.331,1
1.999,-0.534,0
2.01,0,0
2.598,0.399,0
-0.268,1.366,0
0.139,-0.062,0
0.242,-0.28,0
1.996,1.241,1
1.298,0,0
0.978,-0.16,0
1.485,1.559,1
1.754,-0.41,0
0.432,0,0
0.879,-0.58,1
-0.108,-0.038,0
2.275,-0.221,0
0.538,-0.396,0
2.104,-0.246,0
0.797,-0.606,0
1.264,-0.641,0
1.933,-0.261,0
2.308,-0.369,0
1.833,0.58,1
0.211,0.085,0
1.955,0.343,0
0.964,-0.192,0
-0.68,0.682,0
0.192,-0.084,0
2.019,0,0
0.414,0,0
-0.304,0.073,0
1.353,0.525,0
0.893,0.563,1
0.284,-0.256,0
2.503,-0.337,0
-0.281,-0.086,0
0.805,-0.154,1
1.503,1.167,0
1.78,-0.277,0
1.504,-0.162,1
2.194,0.616,0
1.168,-0.206,0
0.436,0,1
-0.427,0.19,0
0.123,-0.056,0
0.91,-0.166,0
0.174,0.075,0
-0.262,-0.097,0
-0.275,0.28,0
-0.135,0.074,0
-0.144,-0.042,0
1.097,0,0
1.17,0,0
1.967,1.061,1
0.612,0.987,0
1.656,1.305,1
1.162,0,0
0.257,0.873,1
-0.524,-0.134,0
-0.089,0.071,0
1.531,-0.457,1
0.322,0,1
2.947,0,0
0.334,0.126,0
2.744,0,0
2.26,-0.565,1
1.794,1.429,1
0.98,0.643,1
1.112,-0.851,1
1.311,-0.2,1
1.55,-0.253,0
0.546,1.674,0
-0.451,-0.131,0
1.007,-0.438,1
0.682,-0.071,0
1.007,-0.974,1
-0.318,0.219,0
0.355,1.253,0
0.468,1.845,1
-0.413,-0.166,0
1.996,0.472,0
1.09,-0.168,0
2.328,-0.296,0
-0.119,0.05,0
1.178,0.843,0
-0.478,-0.125,0
0.451,-0.261,0
0.207,-0.063,0
0.779,0.839,1
2.211,0,0
1.506,-0.214,0
-0.384,-0.116,1
0.139,0.09,0
-0.129,-0.057,0
-0.442,-0.231,0
0.99,0.15,0
1.761,-0.239,1
2.531,-0.379,0
-0.337,-0.11,0
0.907,0,0
2.019,-0.226,1
-0.397,1.126,0
2.04,0,0
1.665,0.69,1
1.595,-0.623,1
0.534,-1.058,1
0.866,-0.449,0
1.323,0,0
1.895,-0.231,1
0.939,0,1
-0.221,0.087,0
-0.159,-0.076,0
2.271,-0.272,0
-0.385,0.81,0
1.109,0,1
2.828,0,0
-0.229,-0.08,0
0.136,0.112,0
0.717,0.153,0
2.226,0,0
-0.315,-0.101,0
0.179,0.07,0
-0.442,-0.105,0
2.661,-0.415,0
-0.1,0.054,0
0.261,0,1
1.019,-0.259,0
-0.36,0.815,0
-0.126,1.112,0
2.21,0.507,0
0.208,-0.095,0
2.187,-0.516,0
0.37,-0.063,0
0.25,0.075,0
-0.283,-0.066,0
0.123,-0.18,0
1.434,1.074,1
2.489,0.376,0
0.514,-0.132,0
0.479,-0.179,0
-0.283,0.077,0
1.667,-0.377,1
0.355,1.147,0
0.521,0.422,0
0.39,0.91,0
0.858,-0.485,0
1.189,-0.191,1
1.702,-0.447,0
2.199,-0.233,0
0.788,-0.668,1
2.071,-0.32,0
1.911,-0.516,1
-0.387,-0.124,0
-0.355,-0.075,0
1.491,-0.411,0
0.749,0.691,1
0.171,0.069,0
0.917,0,0
2.632,0.493,1
1.497,-0.372,1
0.87,-0.563,0
0.838,1.779,1
1.573,0,0
0.528,1.537,0
-0.511,-0.25,0
-0.51,-0.133,0
0.402,0.703,0
-0.231,-0.064,0
0.687,-0.482,0
0.237,0.847,1
0.157,-0.044,0
-0.287,-0.069,0
1.838,0,0
1.726,0.834,1
-0.349,0.173,0
-0.277,0.113,0
1.122,-0.781,1
0.947,0.722,1
0.958,0,0
0.57,-1.039,1
0.357,-0.11,0
0.884,0.193,0
0.179,0.066,0
0.19,-0.1,0
0.846,-0.756,0
0.992,0,0
-0.547,-0.15,0
2.06,1.519,1
0.513,-0.528,0
0.99,0.15,0
0.467,0,0
-0.327,-0.126,0
-0.537,-0.154,0
-0.429,-0.357,0
1.661,-0.264,1
0.851,-0.148,0
0.453,-0.893,0
2.327,-0.313,0
-0.143,-0.047,0
-0.345,1.027,0
1.293,2.116,1
0.375,-0.15,0
0.517,0,1
-0.371,0.155,0
0.268,1.029,0
1.589,0.572,0
-0.105,-0.049,0
2.079,-0.262,0
0.567,0.138,0
-0.381,-0.269,0
-0.296,0.075,0
1.077,0,0
2.114,-0.257,0
1.538,-0.219,0
1.856,-0.379,1
0.933,-0.255,1
1.159,-0.177,0
1.061,0.542,1
2.39,0.947,1
2.047,0.367,1
1.941,-0.261,0
-0.491,-0.109,0
0.915,1.669,1
1.199,-0.169,0
1.096,0,1
0.947,0.723,1
1.372,0.819,1
0.701,0.194,0
-0.364,-0.274,0
-0.23,0.095,0
1.976,-0.282,0
-0.401,0,1
0.123,0.106,0
2.363,-0.617,0
