@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1-2,5-6'

@attribute Aa numeric
@attribute Ao numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
0.372,0.48,0.809,0
0.84,2.23,-0.157,1
0.122,0.689,0,1
0.093,0.435,0,1
0.346,0.942,0.552,0
0.494,2.368,-0.291,1
0.283,1.085,-0.405,0
0.449,0.592,1.999,1
1.104,2.076,-0.314,0
0.338,0.437,0.984,0
0.347,0.487,0.693,0
0.785,2.862,0.59,0
0.889,1.076,-0.379,1
0.594,3.102,-0.137,0
0.493,2.223,-0.442,1
0.519,2.023,0,0
0.238,0.454,0.692,0
2.935,1.03,-0.075,0
0.223,0.603,1.019,1
0.928,1.866,-0.136,0
0.212,1.31,0,0
2.859,-0.254,0.068,0
0.278,1.134,1.005,1
1.199,1.223,-0.184,0
0.367,1.526,1.05,0
0.114,0.554,0,0
0.345,0.931,0.381,1
0.618,1.385,-0.361,1
1.402,2.71,-0.134,0
0.415,1.521,-0.323,0
0.776,2.22,0.145,0
0.181,0.455,-0.398,1
0.149,0.64,-0.722,1
0.103,0.433,0,0
3.459,0.478,0.074,0
0.284,1.152,0,0
0.509,1.904,-0.273,1
0.537,0.405,0.694,1
1.117,0.707,0.311,0
0.175,0.412,-0.728,1
1.657,2.263,0.161,0
0.307,0.853,-0.633,1
0.912,0.861,0.107,0
0.736,2.022,0.123,0
0.424,2.48,-0.194,0
1.642,1.196,-0.416,0
0.852,1.655,-0.219,1
1.203,1.859,0.666,0
0.339,0.519,0.563,0
2.878,0.341,-0.076,0
0.317,1.008,0.478,1
0.216,0.336,1.03,1
0.633,1.69,-0.106,0
0.774,0.964,0,0
1.033,1.762,-0.084,0
0.584,2.299,-0.144,0
0.366,1.292,0.444,1
0.176,0.977,0,0
0.24,1.023,-0.534,0
0.386,1.911,-0.152,0
0.213,1.032,0,0
0.198,0.639,1.312,1
0.466,1.018,-0.202,0
-0.426,-0.74,-0.319,1
0.127,0.732,0,1
2.126,1.611,-0.126,0
0.226,0.958,-0.352,0
0.54,1.666,-0.431,1
0.206,0.605,-0.502,0
0.252,2.056,0.168,0
2.437,1.412,0.309,0
0.439,2.04,0,0
-0.058,4.378,-0.163,0
1.4,1.606,0.144,0
0.376,1.968,-0.195,0
0.899,1.904,1.19,0
0.418,0.767,-0.647,1
0.22,1.327,-0.236,0
2.097,0.466,-0.047,0
2.094,1.535,0.146,0
1.864,2.255,0.309,0
2.514,-0.238,0.09,0
0.56,-1.17,-0.315,0
-0.072,0.661,0.76,1
0.443,2.273,-0.297,0
0.132,0.515,-0.674,1
1.797,2.261,0.21,0
0.542,3.126,-0.27,0
0.421,1.998,0.195,0
0.237,1.009,0.614,0
1.887,2.525,-0.11,0
2.765,1.015,0.385,0
-0.24,-0.446,1.058,0
0.743,1.36,-0.308,1
1.744,2.206,-0.153,0
0.114,0.465,0,1
0.65,2.903,-0.153,0
1.079,2.048,-0.455,0
0.597,3.028,0.937,0
0.136,0.344,1.165,0
1.249,2.548,-0.182,1
0.996,2.348,0,0
1.583,2.372,-0.109,0
0.281,0.576,0.99,0
3.5,-0.292,-0.085,0
0.328,0.517,1.952,1
0.159,0.935,-0.428,0
0.973,2.317,-0.404,0
0.502,2.169,-0.158,0
0.082,0.343,2.113,1
0.474,1.041,-0.47,0
2.337,0.69,-0.393,0
0.256,2.111,-0.244,0
1.796,0.6,-0.144,0
0.233,1.546,-0.422,0
-0.195,-0.895,0,0
0.231,0.987,0,0
0.223,1.086,0,0
0.472,3.394,-0.199,0
0.271,0.544,0.851,1
0.187,0.744,-0.578,0
2.963,0.322,0.11,0
0.245,0.569,1.058,0
0.098,0.451,0,1
0.247,0.563,-0.961,1
0.535,2.167,-0.364,0
0.25,0.757,-0.579,1
1.946,1.19,-0.065,0
1.309,1.141,-0.211,0
0.277,0.805,0,1
0.165,1.257,-0.35,0
0.27,1.316,-0.384,0
0.394,0.968,0.58,0
1.456,2.755,0.398,0
1.666,1.872,0.116,0
1.029,1.651,-0.207,1
0.418,0.58,-0.776,1
-0.094,-0.341,0,1
1.031,1.991,-0.413,0
0.251,0.511,0,1
0.245,0.484,0.608,0
0.301,0.538,0,1
1.493,1.664,-0.104,0
2.866,-0.213,-0.094,0
0.749,2.044,-0.376,0
0.915,2.919,0.386,0
0.493,1.572,-0.349,1
0.34,1.797,-0.289,0
0.353,2.236,-0.279,0
1.402,0.893,-0.652,1
0.293,1.714,-0.097,0
0.38,2.328,-0.111,0
0.567,-0.829,0,0
0.874,1.241,-0.108,0
3.092,-0.37,-0.051,0
0.544,2.082,-0.405,1
0.333,0.408,-0.751,0
2.173,1.297,-0.101,0
0.279,0.676,0,1
0.147,0.502,-0.184,0
0.813,2.258,0.786,1
1.453,0.562,-0.073,0
1.939,1.416,-0.077,0
1.223,2.363,0.235,0
0.331,1.65,-0.278,0
0.439,2.005,0,0
1.786,1.517,-0.125,0
1.022,2.186,-0.227,0
0.228,0.673,0,1
-0.288,-0.469,0.734,0
0.377,2.417,0,0
0.651,2.707,-0.321,1
0.139,0.342,0,0
0.653,2.546,-0.228,1
0.159,1.307,0,0
0.301,1.086,1.105,1
0.574,2.549,0.229,0
0.297,1.222,-0.261,0
0.442,0.623,0.612,1
0.497,0.85,0.69,1
0.253,1.877,-0.106,0
0.36,1.301,-0.615,1
0.513,2.237,-0.249,0
0.354,1.042,-0.385,1
2.957,0.36,-0.128,0
0.814,2.493,-0.159,0
0.172,0.411,-1.005,1
0.639,3.1,-0.127,0
0.53,1.9,-0.298,0
1.02,2.502,-0.167,1
0.494,2.367,-0.291,1
0.138,0.655,0,1
0.517,0.837,-0.548,1
1.663,1.214,0.086,0
0.472,3.202,0.457,1
2.537,1.261,-0.154,0
0.356,0.881,-0.772,1
0.203,1.211,-0.233,0
-0.099,1.137,0,0
0.266,1.2,-0.089,0
0.531,2.74,0,0
1.385,2.777,-0.131,0
0.455,1.412,-0.515,1
0.146,0.75,-0.592,0
0.225,1.075,0,0
0.507,1.592,-0.538,1
0.375,2.555,0,0
1.067,0.501,-0.249,1
0.182,0.933,-0.41,0
2.815,0.729,-0.088,0
0.148,0.329,1.514,0
2.055,1.169,-0.066,0
1.494,0.721,0.112,0
0.469,0.495,0,1
0.563,1.167,-0.229,1
0.493,1.066,-0.263,0
-0.089,-0.227,1.273,0
0.212,1.23,0,0
-0.104,0.767,0.665,1
0.991,1.037,0.247,0
0.471,1.279,-0.378,0
0.169,0.732,-0.481,1
0.7,2.43,0.786,1
-0.18,-0.322,0,0
0.357,1.56,0,0
0.247,1.554,0.163,0
2.761,0.28,-0.075,0
1.044,2.496,-0.107,0
0.28,0.685,0.477,1
0.535,0.876,1.208,1
0.716,1.208,-0.05,0
0.764,2.766,-0.132,0
0.203,0.689,1.49,1
1.149,1.11,-0.047,0
0.839,2.26,0.172,0
0.714,1.481,-0.219,0
3.498,0.468,-0.041,0
0.125,0.845,0,0
1.022,1.836,-0.167,0
2.852,0.393,0.099,0
0.148,0.583,0,1
1.143,1.855,-0.106,0
3.183,-0.263,0.057,0
0.479,0.357,-0.677,1
0.77,2.735,-0.145,0
2.534,0.566,-0.135,0
0.808,3.041,-0.26,0
1.126,0.591,-0.176,0
0.835,1.896,0,0
2.952,1.197,-0.161,0
0.29,1.995,0,0
0.135,0.484,0,0
0.911,1.035,0.827,1
1.072,0.89,-0.373,1
0.112,0.514,-0.794,1
1.347,2.597,-0.113,0
0.557,1.247,-0.281,1
2.912,0.359,-0.081,0
1.066,2.814,0.254,0
1.064,-1.011,-0.583,0
0.266,1.864,-0.174,0
0.368,2.197,-0.3,0
0.901,2.767,-0.148,0
1.21,0.592,-0.092,0
1.509,1.557,-0.169,0
0.219,1.263,0.568,1
1.971,2.302,-0.089,1
0.593,2.307,0,0
-0.166,-0.78,0,0
1.615,1.576,0.555,1
0.186,0.769,-0.211,1
1.892,1.535,-0.126,0
0.814,0.951,1.044,1
0.624,2.869,-0.138,0
1.271,2.311,0.201,0
0.059,0.251,0,0
0.255,0.747,0.448,1
0.245,0.37,0.739,1
1.116,2.347,-0.156,1
1.282,0.719,0.115,0
0.674,1.174,-0.205,0
1.715,1.682,-0.375,0
0.237,0.536,-0.769,0
0.225,0.964,0.887,1
0.736,2.344,0.733,1
0.616,0.753,-0.231,1
0.679,0.639,0.535,1
0.11,0.502,0,1
0.683,1.585,1.72,0
1.242,1.769,1.29,0
2.428,0.665,0.046,0
0.807,0.826,0,0
1.601,1.79,-0.073,0
0.133,0.604,0,0
0.389,2.243,-0.114,0
0.773,3.556,-0.14,0
0.982,2.136,-0.105,0
0.221,1.146,-0.419,0
0.325,0.779,0,0
0.092,0.413,0,1
1.04,0.784,0,0
-0.247,0.524,-0.977,1
0.436,0.574,0,1
3.078,0.339,-0.089,0
0.292,2.187,0,0
0.418,2.521,-0.151,0
1.846,0.267,-0.08,0
2.433,0.617,-0.309,0
1.59,2.24,0.197,0
0.762,3.019,0.187,0
0.11,0.626,0,1
1.15,2.51,0.548,0
0.173,0.673,0.732,1
0.414,2.107,0,0
0.155,0.687,0,1
3.026,-0.273,-0.095,0
1.114,2.285,1.002,0
2.241,0.78,-0.053,0
1.101,2.678,0.365,0
1.309,0.768,-0.414,1
2.256,0.508,-0.046,0
0.105,0.707,0,1
0.237,1.471,1.198,0
1.017,1.05,-0.089,0
3.229,0.694,0.607,0
0.104,0.945,1.091,0
3.148,0.635,-0.053,0
-0.134,1.057,0,0
0.262,0.729,0,0
0.204,1.574,0,0
0.172,0.474,-0.702,1
2.486,0.532,0.071,0
0.23,0.749,0.516,1
2.865,-0.213,-0.093,0
0.268,0.832,-0.76,1
0.736,2.36,-0.341,0
2.79,1.019,-0.166,0
0.271,1.286,0,0
0.26,0.569,0,0
2.976,1.442,-0.083,0
1.048,1.726,-0.206,1
0.979,1.545,1.144,1
1.802,0.855,0.525,0
0.636,2.63,-0.204,0
1.299,1.229,1.533,1
0.203,1.185,0,0
0.238,0.61,-0.918,1
0.353,2.807,-0.14,0
0.125,0.311,-0.857,0
0.448,2.085,-0.09,0
0.666,0.618,0.563,1
0.509,0.399,0,0
0.605,2.452,0,0
0.4,0.945,-0.306,0
2.534,0.267,-0.065,0
0.471,2.649,-0.486,0
0.416,1.042,0.337,0
1.578,2.225,-0.104,0
0.302,1.281,-0.302,0
0.62,2.292,-0.111,0
0.111,0.558,-0.662,0
-0.206,0.938,0.96,1
0.779,1.671,0.587,1
0.259,1.389,0,0
0.571,1.806,-0.155,0
0.095,0.624,0,0
0.628,1.023,-0.706,1
1.402,1.426,-0.088,0
0.442,2.439,-0.117,0
0.349,0.801,1.344,1
0.15,1.138,0,0
0.413,0.791,-0.473,0
0.691,0.817,-0.684,1
0.35,1.191,-0.122,0
0.431,0.803,0.523,1
0.757,1.426,0.22,0
3.489,0.378,-0.049,0
0.693,1.99,-0.114,0
1.418,1.756,0,0
0.469,3.172,-0.153,0
0.62,1.695,-0.163,0
3.151,0.54,-0.061,0
0.224,1.072,-0.456,0
1.396,2.01,-0.133,0
0.314,2.256,0.272,0
0.679,2.482,-0.115,0
0.992,2.133,-0.11,0
0.972,1.955,0.271,0
0.473,2.888,-0.158,0
0.398,1.769,-0.282,0
0.908,0.896,-0.23,1
2.039,0.45,0.072,0
1.047,2.589,0.942,0
0.197,1.015,0,1
0.557,2.494,1.185,0
0.584,2.86,-0.379,0
0.58,3.393,-0.17,0
-0.104,0.383,0.845,1
0.228,0.471,0.705,0
0.185,0.509,-0.761,0
3.517,0.65,-0.132,0
2.889,0.336,0.07,0
0.265,1.443,-0.14,0
0.347,2.408,-0.311,0
0.487,2.897,0.831,1
0.335,1.506,0,0
0.147,0.696,0,0
1.046,1.131,-0.218,1
0.44,0.977,-0.413,0
1.102,2.78,-0.135,0
0.444,0.698,0.647,1
0.903,2.229,-0.114,0
0.275,0.953,0.904,1
1.302,1.829,-0.102,0
0.066,0.28,0,0
0.612,2.418,0.225,0
0.599,0.585,0.429,1
0.99,2.66,0.148,0
2.168,1.537,-0.195,0
0.125,0.675,0,1
1.308,2.352,-0.129,1
0.09,0.361,0,0
0.39,1.961,0,0
0.665,2.971,-0.125,0
0.113,0.47,-0.789,1
0.14,0.295,1.88,1
0.242,0.555,-0.572,0
0.609,1.359,-0.193,0
1.402,0.892,-0.652,1
0.727,1.561,0.214,0
0.284,1.381,0.116,0
2.314,1.351,-0.28,0
1.001,1.491,0.095,0
3.273,0.301,-0.084,0
0.302,0.555,-0.873,1
2.173,1.246,-0.071,0
3.078,0.338,-0.089,0
1.944,-0.434,-0.056,0
0.055,0.205,1.356,0
0.229,1.112,0,0
0.173,0.962,-0.38,0
0.337,1.78,-0.286,0
0.102,0.596,0.8,0
0.211,0.538,0,0
2.723,0.583,0.089,0
0.653,1.061,-0.401,1
0.883,1.942,-0.483,0
