@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,6'

@attribute Aa numeric
@attribute Dcl numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
0.242,1.102,0.4,0
3.055,-0.123,-0.075,0
0.699,1.834,0.804,1
0.104,0.453,1.809,0
0.648,1.927,1.265,1
1.152,0.808,1.29,0
0.356,-1.823,-0.464,0
0.89,1.45,1.343,1
0.287,1.769,-0.593,1
0.685,-0.565,0.623,1
1.09,1.154,0.432,1
2.763,0.157,0.106,0
0.234,2.048,1.016,0
0.589,1.737,0.931,0
0.526,1.42,0.622,0
0.123,0.707,1.575,0
0.267,1.846,0.741,0
2.522,0.192,0.146,0
0.435,1.477,0.701,0
0.219,2.585,-0.599,0
2.014,-0.107,-0.06,0
0.314,0.361,1.111,1
0.822,1.901,1.127,1
0.519,2.438,-0.632,0
2.967,0.376,-0.13,0
0.378,1.577,0.783,0
2.092,0.318,0.242,0
0.162,0.951,1.923,1
0.627,-0.547,1.082,1
0.431,1.736,1.339,1
0.065,0.432,1.497,0
0.487,1.522,1.629,1
-0.32,1.347,-0.637,0
0.163,0.506,-0.782,0
1.125,-0.354,-0.13,0
1.265,-0.34,-0.167,0
1.167,0.792,0.269,1
0.32,0.587,0.23,0
0.229,2.236,-0.651,0
0.221,1.001,1.235,1
0.431,1.902,-0.469,1
1.013,1.406,0.748,1
2.038,-0.452,-0.132,1
1.859,0.183,0.158,0
0.218,1.943,-0.603,0
0.537,1.705,1.35,1
2.942,-0.105,0.081,0
0.167,0.556,0.324,0
0.196,0.651,1.087,0
3.164,-0.098,0.069,0
1.4,0.292,0.157,0
0.253,0.468,1.568,0
3.169,-0.148,-0.073,0
0.156,0.533,0.801,1
0.458,0.473,-0.542,1
-0.104,1.352,1.942,0
1.68,-0.337,-0.138,0
0.593,-0.471,0.25,0
3.264,-0.135,0.101,0
0.386,-0.524,0.464,0
0.345,-0.48,0.318,0
0.729,1.935,0.736,1
2.283,0.092,0.071,0
0.226,-0.274,0.435,0
0.099,0.766,0.692,1
0.179,0.698,1.531,1
0.671,2.116,1.026,1
0.435,-0.518,-0.294,0
0.348,2.355,1.037,0
0.607,1.618,-0.467,0
0.182,0.739,1.773,1
0.236,2.043,0.909,0
0.337,1.616,0.741,0
0.339,2.134,-0.593,0
0.961,1.486,0.932,1
0.463,-0.63,0.324,0
0.817,-0.228,0.143,0
0.202,0.89,-0.343,1
0.213,2.447,-0.78,1
0.122,1.393,2.191,0
1.453,-0.566,-0.182,0
0.305,1.757,0.721,0
0.341,1.633,1.285,1
0.736,-0.363,0.211,0
0.334,0.958,2.175,0
0.89,-0.475,-0.154,0
3.012,0.341,-0.123,0
0.1,0.58,0.849,0
0.876,-0.58,0.551,0
0.534,-0.663,-0.215,0
0.305,0.826,1.921,1
-0.165,1.261,0.59,0
2.074,0.493,0.339,0
2.869,0.523,0.5,0
-0.184,-0.671,-0.982,1
0.061,0.403,0.529,0
0.221,0.635,0.71,0
2.444,0.139,0.156,0
0.763,-0.441,-0.194,0
0.816,-0.454,-0.198,0
0.218,1.361,-0.408,0
0.716,-0.412,-0.232,0
0.461,0.511,1.196,1
1.509,0.539,1.303,0
0.111,0.574,1.57,1
0.108,0.264,-0.23,1
0.356,1.79,1.089,0
0.158,0.499,2.135,0
0.099,1.064,1.996,0
0.269,2.656,1.374,1
1.415,-0.248,-0.101,0
0.441,1.914,0.962,1
0.573,2.036,-0.445,1
0.215,0.637,1.861,1
0.48,1.949,1.496,1
0.096,0.449,1.419,0
0.54,-0.667,-0.242,0
0.983,1.802,-0.662,1
0.162,1.582,-0.687,0
0.567,1.464,-0.617,1
0.424,1.041,1.114,0
0.278,1.106,0.58,0
0.962,1.233,-0.71,1
0.898,-0.381,-0.161,0
-0.152,2.085,-0.991,0
0.265,2.52,-0.627,0
-0.142,0.589,1.203,1
0.465,1.689,0.758,1
2.013,-0.487,0.522,0
0.675,0.996,0.413,0
-0.132,2.238,1.183,0
0.583,1.341,0.676,1
0.171,0.815,1.027,0
0.072,0.556,0.507,0
1.092,-0.402,-0.383,0
0.564,2.157,0.906,1
0.321,1.304,0.677,1
0.5,1.058,1.347,1
0.29,2.081,-0.602,1
0.494,-0.442,0.233,0
0.421,1.775,1.341,1
1.957,-0.279,0.232,0
0.236,2.285,-0.652,0
0.132,1.521,1.318,0
-0.12,1.366,0.598,0
0.257,1.331,0.757,1
0.089,0.663,0.406,0
0.356,1.508,1.552,1
0.266,2.807,-0.819,0
2.761,1.297,-0.215,0
0.436,0.927,1.081,1
0.41,1.288,0.483,0
0.629,-0.743,0.313,0
1.439,0.316,0.216,0
0.236,2.184,-0.608,1
0.137,1.079,1.63,1
0.814,2.258,-0.651,1
0.228,1.628,1.282,0
0.367,1.871,1.073,1
0.226,-0.381,0.327,0
0.216,2.259,-0.65,0
0.233,0.642,0.724,0
1.037,-0.256,-0.107,0
0.236,2.107,-0.919,0
2.254,0.895,0.624,0
0.984,1.249,0.781,1
0.517,1.078,0.534,0
0.339,1.327,-0.334,0
3.041,-0.122,0.089,0
0.361,0.522,0.264,0
2.064,-0.111,0.107,0
0.128,0.394,0.602,1
-0.067,-0.585,1.797,1
0.365,2.424,0.918,1
0.679,1.835,1.737,1
1.037,-0.368,-0.16,0
0.326,1.856,1.601,1
0.453,2.247,-0.508,0
0.333,1.533,0.638,0
0.456,-0.604,-0.238,0
0.714,1.784,-0.571,0
2.41,0.153,0.162,0
0.253,0.468,1.567,0
1.549,-0.361,0.215,0
2.843,0.273,0.154,0
0.209,0.432,1.936,1
-0.323,1.197,-0.9,1
0.504,1.551,-0.378,1
0.34,1.703,1.236,0
1.973,-0.319,0.222,0
-0.195,1.671,-0.779,1
2.918,-0.926,0.508,0
0.149,0.516,1.416,0
0.42,-0.604,0.416,0
0.58,-0.631,-0.255,0
0.078,0.465,-0.538,0
1.378,0.484,-0.126,0
0.27,-0.448,0.247,0
0.31,1.452,1.496,1
-0.106,0.961,1.628,0
0.675,-0.462,-0.216,0
0.56,0.739,0.354,0
1.857,1.08,-0.289,0
0.21,1.902,-0.557,0
0.127,0.292,0.52,1
0.43,1.083,-0.482,0
0.187,1.521,-0.565,0
0.443,1.752,0.943,1
1.134,1.065,0.4,0
0.058,0.368,-0.427,0
0.204,0.672,0.336,0
0.899,-0.392,-0.202,0
0.688,0.86,-0.289,0
1.593,0.174,0.153,0
0.201,0.782,2.001,1
2.697,0.159,0.091,0
0.174,2.666,-0.748,0
2.652,0.252,0.083,0
0.542,1.81,0.796,1
2.366,0.384,1.008,0
3.36,0.342,0.697,0
2.898,1.043,-0.234,0
0.587,1.768,0.56,0
1.224,2.311,-0.488,0
0.271,2.694,-0.854,0
0.384,1.9,1.008,1
0.226,0.58,1.347,1
0.184,1.764,1.109,0
0.074,0.808,1.879,1
-0.115,-0.579,-0.875,1
0.315,1.037,1.181,1
0.559,-0.677,0.487,0
0.646,-0.576,0.369,1
2.925,-0.244,0.509,0
0.628,-0.285,0.148,0
0.389,-0.414,-0.153,0
0.671,1.554,0.742,1
0.198,0.768,-0.384,1
1.304,-0.348,-0.199,0
0.099,1.088,1.861,0
1.988,0.184,0.141,0
0.966,1.467,0.741,1
0.422,1.491,0.617,0
0.659,1.744,0.666,0
1.894,0.43,0.257,0
0.407,2.02,-0.406,1
0.064,0.342,-0.607,0
0.528,1.743,1.062,1
0.229,-0.58,0.246,0
0.123,0.777,1.984,1
1.633,0.444,-0.309,0
0.193,1.688,-0.523,0
2.841,0.273,0.154,0
0.207,0.63,1.796,1
2.815,0.485,0.537,0
0.385,0.684,0.532,0
0.106,1.795,0.842,0
0.14,2.251,-0.703,0
1.909,0.26,0.129,0
0.284,2.571,-0.796,0
0.825,1.007,1.281,1
0.336,1.625,0.783,0
1.798,-0.332,-0.14,0
2.515,0.845,1.463,0
0.284,0.672,0.668,1
0.412,-0.37,-0.183,0
0.161,0.809,2.134,1
0.612,1.924,1.406,1
0.501,-0.603,0.308,0
3.258,0.207,-0.17,0
0.281,0.648,0.255,0
1.313,0.433,0.375,0
0.136,0.46,0.663,0
0.567,1.179,0.363,0
0.122,1.069,2.338,0
0.327,-0.42,0.321,0
0.068,0.47,1.286,0
1.347,-0.186,0.094,0
1.398,0.327,0.217,0
0.61,0.866,-0.317,0
0.148,1.092,1.526,1
2.391,-0.107,0.13,0
0.426,0.8,1.009,1
1.524,-0.282,-0.127,0
1.482,-0.55,-0.209,0
0.896,0.586,-0.279,0
0.124,2.184,-0.89,0
0.118,0.738,0.954,1
0.218,0.742,0.661,0
1.974,-0.082,0.072,0
0.729,-0.436,-0.183,0
2.255,0.414,0.448,0
1.878,0.76,1.609,0
2.51,0.213,0.159,0
0.24,1.527,1.91,0
0.674,0.971,0.315,0
0.735,-0.431,-0.19,0
0.351,1.073,0.488,0
1.03,1.403,-0.409,1
0.135,0.322,0.546,1
2.303,0.682,-0.171,0
0.71,-0.557,-0.203,0
-0.193,2.367,-0.661,0
3.868,-0.119,-0.066,0
0.26,2.735,-0.781,0
2.879,-0.107,0.08,0
0.107,0.443,1.758,0
0.225,0.738,1.63,1
0.236,2.043,0.909,0
0.409,1.572,2.168,1
2.724,0.192,0.222,0
1.034,0.257,0.198,0
1.302,-0.356,-0.159,0
0.248,0.729,-0.804,0
1.37,-0.356,0.214,0
0.703,1.595,0.915,1
0.236,0.415,1.402,0
0.297,1.688,1.054,0
0.77,1.032,0.764,1
1.24,-0.448,0.231,0
0.225,1.428,0.732,0
2.94,0.892,0.337,0
-0.197,0.723,0.477,0
0.252,2.402,-0.701,0
3.624,0.444,0.171,0
0.849,0.812,1.274,1
0.791,-0.238,-0.12,0
0.602,2.298,0.889,1
0.269,2.659,-0.671,0
0.273,2.321,-0.523,0
0.208,1.854,-0.784,0
1.166,1.907,0.706,1
0.231,-0.457,0.322,0
2.026,-0.264,-0.085,0
0.674,1.718,0.622,0
1.634,0.12,0.122,0
0.42,2.321,-0.719,1
0.892,1.39,1.399,1
0.479,-0.599,0.323,0
0.606,2.367,-0.615,0
0.414,0.941,0.511,0
-0.139,0.678,1.597,1
0.665,0.621,1.359,0
0.243,1.773,-0.575,0
0.109,1.242,1.118,0
0.234,0.7,1.06,1
1.027,1.077,1.064,1
0.214,1.792,-0.597,0
2.493,0.402,-0.096,0
1.801,0.163,0.236,0
0.607,2.083,0.694,1
0.231,0.696,1.579,1
0.642,1.612,-0.395,0
0.365,2.425,0.918,1
0.493,1.209,1.384,1
1.471,1.006,0.695,1
0.195,0.768,0.713,1
0.892,0.287,0.118,0
0.181,0.81,1.203,0
0.195,0.768,0.713,1
0.869,0.503,0.308,0
0.149,0.447,0.296,1
1.611,1.114,0.548,0
0.917,0.577,0.633,1
1.565,-0.363,-0.156,0
2.039,0.256,0.228,0
0.228,1.628,1.282,0
2.217,-0.387,0.776,0
1.021,1.73,0.887,1
2.019,0.359,0.312,0
0.475,1.403,0.788,1
0.486,1.699,-0.48,0
2.544,0.3,-0.081,0
0.345,2.688,-0.692,0
0.813,0.648,0.476,0
0.289,2.774,-0.784,0
2.603,1.02,0.486,0
2.833,-0.131,0.178,0
0.36,0.594,1.179,1
0.951,1.982,-0.634,1
0.714,-0.467,0.246,0
1.613,-0.345,-0.185,0
0.141,0.457,1.052,0
2.508,0.485,0.158,0
0.356,2.255,-0.575,1
0.412,0.82,0.425,0
0.241,0.665,2.272,0
0.691,-0.45,0.243,0
0.074,0.355,-0.594,0
0.321,-0.557,-0.297,0
1.025,-0.505,0.259,0
1.338,0.496,0.517,0
0.586,1.34,-0.367,0
0.588,1.48,-0.412,0
0.145,2.319,-0.761,0
-0.966,-0.329,-0.176,0
0.567,1.702,1.233,1
1.024,-0.505,0.258,0
0.105,1.206,2.321,0
0.097,0.746,0,1
0.579,0.758,0.495,1
0.99,0.717,0.833,0
0.287,0.697,1.884,1
1.311,-0.433,0.201,0
-0.784,0.475,-0.183,0
1.214,1.98,-0.398,1
0.603,1.518,0.914,1
0.223,0.399,1.208,0
0.322,0.758,2.289,1
0.515,1.592,-0.564,0
0.135,0.384,-0.37,1
0.299,1.639,0.851,1
1.092,-0.643,-0.263,0
0.516,2.2,0.783,0
1.298,-0.325,-0.147,0
0.293,0.792,2.263,1
