@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R1,3-4,6'

@attribute Aa numeric
@attribute Dcl numeric
@attribute Iy numeric
@attribute Class {0,1}

@data
0.174,1.782,1.152,1
0.179,1.834,-0.514,0
2.404,-0.118,0.073,0
0.226,0.709,0.957,1
0.268,1.794,-0.614,0
0.076,1.138,1.862,0
0.446,2.199,0.807,1
0.16,1.513,0.893,1
0.142,0.624,1.292,1
0.31,0.86,1.086,1
3.5,-0.182,-0.045,0
0.66,-0.544,0.298,0
0.184,1.415,0.658,0
0.075,1.007,1.857,1
3.21,-0.182,-0.086,0
2.911,0.201,0.093,0
-0.104,-0.816,-0.886,1
0.501,-0.55,0.312,0
1.336,1.238,1.11,0
0.87,0.731,0.57,1
0.238,0.718,0.375,0
0.502,0.912,0.986,1
0.724,0.685,0.398,0
0.524,-0.506,0.329,0
-0.193,0.942,0.491,0
0.538,1.581,-0.509,1
0.176,0.679,0.345,0
0.859,0.362,0.236,0
1.177,1.634,0.618,1
0.061,0.131,-0.207,0
0.288,-0.434,0.25,0
2.819,0.188,0.085,0
0.202,1.494,0.648,1
0.636,1.915,1.531,1
0.202,0.528,1.473,1
0.908,1.949,1.827,1
0.816,-0.45,-0.191,0
0.121,0.396,0.716,0
0.513,1.385,-0.358,0
0.887,-0.274,0.172,0
0.433,0.945,0.65,1
3.466,-0.134,0.109,0
0.119,0.373,1.278,1
0.696,1.702,2.166,1
0.108,0.524,1.885,0
0.208,1.253,1.792,1
0.511,1.832,1.094,1
0.755,0.829,1.122,1
0.096,0.513,1.485,0
0.785,1.235,0.7,1
1.103,2.839,-0.626,1
0.383,2.238,0.976,0
0.597,-0.506,-0.261,0
0.474,0.957,1.803,1
0.334,0.978,2.097,1
0.302,2.032,1.122,1
3.336,0.14,-0.073,0
0.883,1.275,2.209,0
0.308,-0.458,0.35,0
0.327,0.575,0.277,0
0.145,1.784,0.792,0
0.174,2.382,-0.877,1
1.532,0.457,0.28,0
0.198,1.442,-0.491,0
0.187,0.393,1.4,1
1.6,0.135,0.129,0
0.254,-0.5,1.249,0
0.249,1.175,0.572,0
0.201,0.887,0.34,1
0.636,-0.554,0.31,0
0.639,1.963,-0.682,0
0.326,0.31,1.106,1
0.32,2.29,1.106,1
2.87,-0.104,-0.066,0
0.335,0.806,0.954,1
0.635,-0.488,0.204,0
2.237,0.45,0.442,0
0.674,-0.383,-0.161,0
1.227,-0.298,0.183,0
0.178,1.728,1.329,1
0.301,2.021,0.933,1
0.381,1.608,0.783,1
0.602,1.397,-0.581,1
0.101,0.52,1.505,0
0.15,0.695,-0.969,1
0.697,1.811,0.515,1
0.256,0.62,2.29,0
2.384,0.374,-0.118,0
0.532,-0.51,0.449,1
0.14,0.453,2.025,0
0.123,1.178,-0.971,0
1.017,1.284,0.816,0
2.712,1.604,-0.353,0
0.123,0.743,2.028,1
0.557,-0.467,0.348,0
0.61,1.108,1.224,1
0.547,1.007,2.259,1
0.104,1.153,0.918,1
2.496,0.125,0.095,0
0.139,2.266,-0.714,0
0.24,0.647,1.204,1
0.564,1.901,-0.56,1
-0.158,2.289,-0.745,0
0.079,0.324,0.427,0
0.545,-0.483,-0.222,0
0.916,-0.414,-0.46,0
0.69,-0.568,-0.222,0
2.852,-0.104,-0.062,0
0.125,0.65,1.428,1
0.345,1.372,0.678,0
0.319,1.245,0.508,0
0.11,0.514,1.813,0
0.933,-0.585,0.545,0
0.967,1.716,1.028,1
0.837,-0.601,-0.271,0
0.235,0.603,1.603,0
0.47,1.74,-0.546,0
0.195,1.117,1.89,1
1.104,-0.38,-0.208,0
0.743,1.672,1.092,0
0.996,0.307,0.177,0
0.367,1.455,0.562,1
0.124,0.39,0.669,1
0.637,0.826,-0.376,0
2.406,0.66,0.813,0
0.143,1.945,-0.612,0
1.799,0.795,-0.197,0
1.752,0.507,0.22,0
0.204,0.812,1.878,1
0.226,0.954,0.603,1
0.136,0.726,1.567,0
0.093,0.262,-0.461,0
0.468,-0.516,-0.198,0
0.287,2.156,0.902,1
0.567,1.018,1.577,1
0.308,2.103,0.896,1
1.067,-0.433,-0.195,0
0.825,0.192,0.083,0
0.314,1.379,1.96,1
1.661,-0.443,0.429,0
0.877,2.422,-0.667,1
1.542,-0.098,-0.051,0
0.218,2.677,-0.948,0
0.205,1.981,-0.874,0
0.409,1.97,0.873,0
0.366,-0.515,0.331,0
0.863,1.928,1.896,1
0.243,0.473,1.348,1
1.55,0.583,0.809,0
0.083,0.349,1.171,0
0.52,0.784,0.287,0
0.151,1.008,0.304,0
0.321,1.665,2.405,1
0.811,-0.454,-0.342,0
0.193,0.561,-0.964,0
0.256,0.62,2.29,0
0.475,1.871,2.417,1
0.278,2.609,-0.656,0
0.55,0.854,0.373,0
0.219,0.941,-0.551,1
0.244,2.09,0.839,1
0.165,1.718,2.003,0
2.092,0.318,0.242,0
0.769,1.816,0.518,1
0.489,-0.55,0.611,0
0.461,0.667,0.247,0
0.283,-0.521,0.387,0
0.539,1.08,0.524,0
0.347,-0.536,0.423,0
0.175,0.669,-0.757,0
0.37,1.821,2.47,1
1.479,0.306,0.208,0
0.319,2.039,-0.751,1
0.072,0.657,1.93,1
0.404,2.73,-0.799,0
0.229,1.125,-0.488,0
0.371,2.799,-0.786,0
0.412,-0.332,-0.174,0
1.822,0.195,0.149,0
1.056,-0.335,0.211,0
2.385,-0.11,0.102,0
0.259,1.178,0.469,0
0.631,0.745,0.409,0
0.555,0.764,-0.26,0
3.47,0.425,-0.117,0
0.986,1.92,-0.485,0
1.093,-0.366,0.528,0
0.735,1.539,-0.412,0
1.47,-0.312,-0.134,0
0.191,0.884,1.965,0
0.278,2.136,-0.838,1
1.467,-0.14,0.107,0
0.432,-0.426,0.224,0
0.147,0.89,1.085,1
0.383,1.29,0.585,0
0.891,0.797,0.537,0
3.777,-0.136,-0.103,0
0.333,-0.486,-0.188,0
0.27,-0.53,1.223,0
3.108,-0.104,-0.073,0
3.045,0.456,0.553,0
0.402,-0.606,-0.239,0
0.091,0.613,0.858,0
1.322,0.403,0.371,0
0.399,2.427,0.899,1
2.819,1.333,-0.26,0
2.393,-0.094,-0.053,0
0.429,2.523,-0.798,1
0.981,1.487,1.172,1
0.574,1.125,1.16,1
1.549,-0.462,0.523,0
0.394,0.848,0.448,1
0.43,1.193,2.294,1
1.506,2.557,-0.502,1
0.354,1.982,-0.7,0
0.22,2.588,-0.85,0
0.839,1.472,-0.408,1
0.14,0.345,0.566,1
0.76,-0.667,-0.221,0
0.582,-0.511,0.702,0
1.237,-0.251,0.103,0
0.321,2.036,-0.577,0
0.304,0.555,0.261,0
0.766,-0.548,-0.239,0
0.192,1.019,0.704,1
0.212,-0.589,0.295,0
2.327,-0.272,-0.142,0
0.48,0.591,0.517,0
-0.102,1.211,1.293,1
0.233,2.685,-0.952,0
3.429,-0.182,0.139,0
0.181,0.821,0.676,0
0.729,-0.471,-0.192,0
0.212,0.905,-0.393,1
0.514,1.953,0.979,1
3.306,0.313,0.669,0
0.811,-0.51,-0.232,0
1.233,0.373,0.184,0
0.389,0.795,0.688,0
0.572,-0.527,0.836,1
0.28,2.111,1.339,1
0.869,-0.464,-0.176,0
1.185,-0.571,0.517,0
0.192,2.29,-0.695,0
-0.111,1.457,0.993,0
0.413,2.874,0.998,0
0.93,1.315,0.766,1
0.642,0.739,0.526,0
2.431,0.102,0.083,0
0.494,1.245,0.454,0
-0.321,1.496,0.806,1
1.035,1.081,-0.549,1
0.371,2.174,-0.429,1
1.102,1.714,0.641,1
1.469,1.68,-0.469,1
0.266,1.111,0.837,0
0.669,0.887,-0.248,0
-0.235,0.826,0.721,0
1.462,0.322,-0.099,0
0.291,1.77,0.806,0
0.479,2.076,-0.524,0
-0.314,-0.463,-0.163,0
0.126,0.541,1.177,0
1.532,0.457,0.28,0
1.678,0.522,0.394,0
0.371,0.809,0.357,0
1.305,-0.353,-0.203,0
0.204,0.705,1.823,1
0.778,-0.416,0.277,1
0.436,-0.513,0.338,0
0.675,0.902,0.358,0
1.84,0.246,0.153,0
2.518,0.45,0.931,0
0.446,2.048,0.884,1
0.258,-0.461,-0.239,0
2.766,1.166,-0.304,0
0.078,-1.255,1.731,0
0.245,1.687,0.99,0
0.459,1.151,1.517,1
0.985,0.614,1.548,0
0.319,-0.471,0.428,0
0.57,1.336,0.604,0
1.481,0.527,0.413,0
2.308,-0.259,0.199,0
0.698,0.826,-0.307,0
3.454,0.978,-0.235,0
0.193,1.384,1.631,0
0.647,-0.576,0.369,1
0.677,1.584,-0.536,1
0.269,0.661,2.265,0
0.83,-0.569,0.547,0
0.287,1.049,1.082,1
0.245,1.991,0.879,0
3.802,0.153,-0.082,0
0.059,0.439,-0.522,0
2.745,0.171,0.097,0
2.525,0.375,0.356,0
0.582,1.749,1.478,1
0.266,2.484,-0.527,0
3.716,0.268,0.454,0
0.532,2.07,1.39,1
0.387,2.307,-0.648,0
0.108,0.428,1.134,0
0.86,-0.397,-0.18,0
1.098,-0.429,0.276,0
0.672,0.65,2.122,1
0.178,1.783,1.268,0
2.665,1.064,-0.276,0
0.548,0.957,0.479,0
0.996,0.778,0.324,0
-0.645,-0.393,-0.195,0
0.233,1.568,0.656,0
3.396,-0.119,-0.065,0
0.64,1.073,0.387,0
0.452,1.267,0.717,0
0.11,0.343,0.866,1
0.625,1.712,0.655,1
0.822,0.87,1.312,1
0.154,0.555,2.153,0
0.489,0.652,0.78,1
0.18,1.254,1.436,0
0.149,1.701,2.015,0
2.606,0.373,0.869,0
0.816,-0.331,-0.17,0
0.564,1.19,-0.319,0
1.989,-0.359,-0.137,0
0.104,1.126,-0.401,0
0.379,0.898,1.607,1
0.265,0.806,0.324,0
3.436,-0.111,-0.065,0
0.245,0.744,1.934,1
0.748,0.798,0.896,1
0.299,1.041,0.862,0
0.304,1.215,0.762,1
0.651,-0.503,0.291,0
0.187,0.709,-0.783,0
0.184,0.859,1.858,1
0.488,-0.445,0.36,0
0.106,-0.145,0.47,1
0.229,0.523,1.469,0
0.482,1.943,-0.484,0
3.13,0.201,-0.067,0
0.556,1.499,-0.436,1
0.363,1.951,1.01,1
1.141,0.885,0.359,0
2.452,0.222,0.166,0
1.435,1.087,-0.212,1
3.046,-0.226,0.142,0
0.394,2.304,1.511,0
0.638,-0.52,-0.249,0
0.129,1.314,0.928,0
0.55,-0.606,0.65,0
2.078,-0.145,0.094,0
0.264,1.833,-0.512,0
3.632,-0.163,-0.082,0
0.58,-0.617,0.386,0
-0.091,0.864,0.766,1
-0.211,0.598,1.065,0
0.249,1.136,-1.116,1
0.26,0.769,1.181,0
0.177,-0.164,0.891,1
3.056,1.166,-0.279,0
0.934,1.777,-0.421,0
0.388,2.533,-0.636,0
-0.148,1.99,-0.757,0
0.146,0.714,2.295,1
0.682,1.237,-0.433,0
0.269,0.711,-0.714,1
3.527,-0.112,-0.061,0
0.269,2.031,-0.64,0
0.709,0.786,-0.405,0
1.836,0.339,0.195,0
1.204,0.475,0.641,0
0.407,1.959,-0.535,0
0.242,1.444,1.722,1
0.185,1.278,1.595,0
0.597,-0.607,0.647,0
1.572,-0.409,0.265,0
0.315,1.331,0.369,0
0.526,-0.557,0.348,0
0.309,1.893,-0.551,0
2.082,-0.321,-0.1,0
0.456,1.208,0.836,0
0.672,0.686,2.131,1
0.89,-0.415,-0.176,0
0.805,0.795,-0.223,0
0.312,1.637,-0.686,0
2.182,-0.164,0.135,0
0.059,0.767,-0.21,1
1.036,-0.346,-0.127,0
1.295,-0.41,0.284,0
0.595,-0.599,-0.252,0
0.463,-0.409,-0.187,0
0.187,0.548,0.996,1
0.235,2.537,-0.725,0
1.141,-0.455,-0.207,0
0.39,-0.582,0.456,0
2.617,0.279,-0.087,0
0.471,0.408,1.563,1
0.392,1.285,1.256,1
1.508,0.657,0.801,0
0.781,0.793,0.383,1
1.031,1.866,1.532,1
