@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R2-3,5-6'

@attribute Ao numeric
@attribute Dcl numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
0.773,2.066,0,1
2.09,0.976,-0.439,0
0.4,0.848,-0.623,0
2.033,2.162,0,0
1.763,1.245,0.188,0
1.73,0.37,-0.074,0
0.845,0.919,0,1
0.259,0.32,0,0
0.458,1.509,0.622,1
1.407,1.523,-0.216,0
0.741,2.498,-0.405,1
0.608,0.827,-1.1,0
-0.285,0.157,-0.092,0
0.514,0.336,0,1
1.018,1.938,1.46,1
1.129,1.964,0.291,0
1.266,0.434,0.764,0
1.721,1.009,-0.563,0
1.734,0.614,-0.11,1
0.889,2.206,0.432,0
1.044,0.368,-0.047,0
2.689,-0.413,0.813,0
0.796,0.449,-0.066,0
1.92,-0.346,-0.174,0
1.056,1.936,-0.264,0
0.813,-1.164,0,1
-0.361,0.173,0.069,0
2.657,1.16,-0.19,0
3.055,-0.507,-0.128,0
1.723,-1.007,-0.315,0
0.449,0.561,-0.781,1
2.122,0.877,-0.126,0
0.776,0.292,0.561,0
0.585,0.688,1.256,1
1.163,0.873,-0.73,1
2.79,-0.443,-0.17,0
0.67,0.18,0.067,0
2.959,-0.421,-0.124,0
1.133,1.375,0,0
1.024,0.564,0.315,0
0.688,0.766,1.909,1
1.773,0.742,-0.324,0
2.759,-0.477,-0.121,0
2.745,-0.406,0.161,0
0.422,1.865,1.838,1
1.179,-0.698,-0.148,0
1.442,0.681,0.115,0
0.548,1.397,0,0
0.434,0.275,-0.157,0
2.239,0.778,0.411,0
2.816,-0.408,-0.165,0
0.642,0.459,0,1
0.441,-0.115,0.066,0
0.911,0.342,-0.323,0
1.183,1.79,-0.394,1
1.895,0.839,0.164,0
1.152,2.568,-0.638,1
2.166,0.597,1.372,0
1.599,0.512,-0.275,0
0.557,2.291,0.557,1
0.381,0.279,0,0
0.496,0.327,-0.119,0
-0.251,0.513,-0.32,0
0.632,1.103,-0.624,0
0.554,1.133,-0.145,0
1.073,1.838,0,1
0.282,0.248,0,0
0.664,2.174,1.763,1
1.194,-0.215,0.095,0
0.78,-0.144,0.088,0
1.305,0.699,-0.499,0
1.238,1.114,-0.544,0
0.649,0.876,-1.007,1
0.88,1.883,-0.453,0
2.728,-0.394,0.686,0
3.256,-0.561,0.194,0
1.254,1.56,-0.355,1
1.369,2.046,1.141,1
0.884,-0.289,-0.452,0
-0.583,1.747,0,0
1.38,1.811,-0.189,1
0.57,2.274,-0.221,0
0.454,0.517,0,1
0.714,1.576,1.486,1
1.035,0.63,0,1
0.615,-0.664,-0.841,1
2.146,-0.363,-0.199,0
1.251,1.84,-0.524,1
0.586,0.849,-0.797,0
0.295,0.176,-0.068,0
1.794,-0.342,-0.119,0
1.179,1.153,-0.547,1
1.817,1.977,-0.174,1
2.187,1.504,-0.255,0
0.285,1.283,0.297,0
0.638,1.644,-0.454,1
0.563,0.462,0,1
0.557,0.918,-0.459,1
3.107,-0.531,0.445,0
3.332,-0.631,-0.152,0
0.773,0.493,-0.679,1
0.633,0.315,-0.181,0
0.824,2.218,0.388,0
0.721,0.527,0,1
1.078,-0.154,0.066,0
2.41,1.261,-0.155,1
1.75,0.852,0.132,0
0.787,1.749,0.434,0
1.111,-0.243,-0.065,0
0.834,0.82,0,1
0.815,1.23,-0.496,0
2.816,-0.424,0,0
2.163,-0.383,-0.189,0
1.647,1.476,-0.411,1
1.234,1.436,-0.275,0
1.171,0.956,-0.771,1
0.612,2.482,0.477,1
3.022,-0.647,0.287,0
0.504,0.159,-0.089,0
0.701,1.044,-0.623,0
0.59,0.694,0,0
1.413,1.862,-0.4,1
2.73,-0.456,-0.122,0
1.464,1.667,-0.627,0
1.056,2.459,-0.338,0
2.799,0.713,-0.305,0
0.368,0.404,2.13,0
2.328,0.991,0,0
0.769,1.029,-0.504,1
1.052,1.45,1.331,1
2.402,1.027,1.309,0
1.274,-0.234,-0.061,0
1.319,0.321,0.163,0
1.187,0.444,-0.18,0
-0.166,0.428,0,1
1.24,-0.234,0.093,0
2.212,1.194,-0.401,0
0.509,0.505,0.944,1
1.615,1.22,0,0
0.581,1.363,0,0
1.247,0.73,-0.517,0
0.593,0.835,1.956,0
0.909,2.506,-0.353,1
0.494,1.73,-0.244,1
1.121,1.492,1.705,1
2.55,-0.458,-0.135,0
1.961,1.2,0,0
0.414,0.364,-0.857,1
1.974,0.622,-0.101,0
1.284,2.042,-0.179,1
1.424,2.617,-0.308,0
0.575,0.228,-0.077,0
0.496,1.501,0.705,1
0.761,-0.153,0.055,0
1.452,0.79,0,0
0.783,0.865,1.196,1
-0.276,-0.111,-0.053,0
0.57,2.037,0.39,1
1.607,1.656,-0.484,1
0.738,0.243,-0.088,0
1.631,0.505,-0.262,0
0.309,-0.154,-0.13,0
0.606,0.22,1.434,1
1.472,-0.265,0.08,0
0.638,-0.146,-0.035,0
1.944,-0.342,0,0
1.855,0.577,0.139,0
1.73,0.729,0.189,0
0.387,0.661,-0.456,0
0.418,1.202,-0.667,0
1.407,1.046,0,1
0.967,-0.338,0.421,0
1.308,2.1,1.002,1
0.998,2.518,-0.302,0
3.202,-0.624,0,0
1.13,-0.19,0.064,0
-0.274,0.155,-0.077,0
3.303,-0.411,-0.166,0
0.346,0.602,0,0
2.737,0.856,1.173,0
0.789,1.023,-0.857,1
0.69,0.114,0.072,0
3.131,-0.44,-0.308,0
2.75,0.852,0.188,0
1.719,0.651,-0.137,0
1.502,0.527,-0.19,0
2.529,-0.399,-0.162,0
1.705,-0.291,1.781,0
-1.062,-0.541,0.837,0
1.511,1.188,0.327,0
1.694,1.54,-0.207,1
1.393,2.473,0,0
2.7,-0.486,-0.22,0
1.87,-0.342,-0.338,0
0.622,1.23,0,1
3.022,-0.477,-0.211,0
0.497,1.792,1.159,0
3.061,-0.456,0.159,0
1.155,0.301,-0.065,0
0.562,0.929,-0.724,1
1.983,0.845,-0.123,0
1.029,2.387,-0.352,0
0.996,0.502,-0.052,0
0.63,1.636,-0.425,1
0.413,0.818,0,0
0.637,1.772,1.476,1
0.495,1.125,0.82,0
1.663,0.541,-0.119,0
3.218,1.191,-0.206,1
1.186,2.138,-0.272,0
0.512,0.109,-0.048,0
2.361,-0.378,-0.162,0
0.538,0.434,-0.057,0
3.288,-0.631,0,0
0.602,2.488,0.714,1
0.561,1.314,-0.512,0
2.688,1.468,-0.199,0
1.07,2.241,-0.294,1
0.799,1.515,0,0
0.549,1.037,0,0
1.155,2.326,0,0
2.689,0.747,-0.263,0
1.637,0.746,0.157,0
0.492,1.761,-0.24,1
0.508,0.479,0,1
1.497,2.217,0.566,0
1.945,1.864,0,0
0.824,2.574,0.621,0
2.343,-0.449,-0.12,0
2.56,-0.671,1.369,0
0.834,2.371,0.73,1
1.344,-0.213,-0.061,0
2.346,1.115,-0.17,0
1.232,0.554,1.079,1
-0.741,1.046,-0.32,1
2.529,0.955,0.218,0
0.899,1.439,0,0
2.533,-0.339,-0.11,0
2.825,-0.413,-0.128,0
1.386,1.226,0.277,0
0.806,1.815,-0.331,0
0.733,2.174,1.489,1
1.283,1.273,1.38,1
0.908,1.465,-0.492,1
0.849,0.589,0,1
0.556,0.534,0,1
0.606,1.739,0.579,1
0.711,0.395,0.438,0
0.345,0.581,-1.246,0
1.369,-0.275,0.161,0
2.402,-0.333,-0.097,0
1.066,2.15,-0.557,1
0.539,-0.143,0.138,0
1.988,1.185,-0.366,1
2.811,0.737,-0.131,0
1.441,1.887,0,0
0.789,0.396,-0.934,0
0.603,0.553,1.325,0
0.75,0.942,0.78,1
0.958,2.044,-0.596,0
0.69,-0.089,0.039,0
0.587,-1.131,-0.544,1
1.761,-0.29,-0.094,0
0.768,1.073,-0.785,1
0.451,0.517,0,1
0.496,1.861,0.456,0
2.537,0.85,-0.201,0
0.368,0.404,2.13,0
0.471,1.191,0.899,0
0.467,0.155,0.107,0
2.3,-0.462,-0.106,0
0.643,0.916,-0.818,1
1.153,2.333,0,0
2.68,-0.536,-0.369,1
0.542,1.313,-0.864,0
0.605,1.869,0.756,1
1.373,2.131,-0.616,1
0.509,0.626,-0.478,1
1.621,1.972,-0.258,1
-0.881,-0.966,-0.486,1
0.311,0.418,0,0
1.855,-0.297,0.261,0
0.766,0.293,-0.234,0
0.906,0.339,-0.32,0
1.428,2.168,0.412,0
0.852,0.76,0,1
1.327,2.243,-0.297,0
0.381,0.719,0.708,1
2.469,-0.708,-0.148,1
0.596,1.601,2.308,1
1.217,1.518,-0.502,0
2.43,0.802,-0.194,0
0.651,0.157,-0.124,0
0.596,1.637,0,1
0.375,0.486,0,0
3.104,-0.387,0.78,0
1.953,0.7,0,1
1.505,0.892,-0.204,0
2.392,0.689,-0.544,0
