@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R2-3,5-6'

@attribute Ao numeric
@attribute Dcl numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
0.949,1.91,-0.244,0
2.069,-0.41,0,0
2.739,-0.55,-0.318,0
1.85,0.764,0.187,0
0.306,0.14,-0.065,0
1.78,1.658,0.361,0
1.012,2.279,0,0
1.038,0.904,-0.164,0
0.661,0.363,0.65,1
0.536,0.24,0.48,0
1.63,1.877,0,0
0.438,0.149,-0.155,0
1.392,1.044,-0.633,1
1.876,0.914,0,0
0.72,-0.142,0.091,0
0.527,0.407,-0.714,1
2.74,0.827,-0.149,0
-0.264,-0.112,-0.05,0
0.761,0.772,1.157,1
0.285,1.283,0.296,0
0.592,1.288,-0.849,0
2.328,-0.422,-0.093,1
1.929,0.466,-0.234,0
0.522,0.576,0.977,0
1.801,0.956,-0.156,0
-0.272,0.34,-0.073,0
2.6,-0.384,-0.107,0
-0.32,-0.14,-0.06,0
3.743,-0.784,0,0
1.66,1.282,-0.14,1
1.537,-0.344,-0.083,0
0.934,1.852,0.965,1
1.463,1.531,0,0
0.38,0.535,0.998,1
2.214,-0.494,0,0
0.306,0.14,-0.065,0
0.372,0.331,0.598,0
1.259,2.018,-0.268,1
1.782,1.24,0.192,0
1.309,1.464,-0.501,1
1.828,0.782,0.12,0
0.996,0.73,-0.087,0
0.462,0.877,1.302,1
0.787,1.295,-0.619,1
0.958,-0.147,0.093,0
2.162,-0.375,1.611,0
0.724,1.742,0,1
0.742,1.648,1.107,1
0.822,2.479,-0.472,0
1.128,0.42,1.306,0
0.522,0.97,-0.849,1
1.826,-0.356,-0.285,0
0.675,0.813,-0.083,0
1.595,2.108,-0.332,0
1.716,-0.331,1.298,0
0.521,1.263,-0.142,0
0.714,0.53,0.9,1
1.153,0.403,-0.395,0
3.309,-0.469,-0.152,0
2.222,-0.437,1.473,0
0.54,-0.143,0.139,0
1.482,-0.319,-0.101,0
2.268,-0.362,-0.181,0
2.514,0.865,-0.214,1
2.057,-0.42,0.848,0
0.79,2.136,0,0
2.97,-0.461,0.151,0
2.131,-0.356,0.746,0
0.499,0.744,-0.992,1
1.665,1.079,-0.159,1
0.715,0.781,-1.148,1
0.712,0.741,-0.908,1
0.791,2.006,0.348,0
2.984,-0.535,-0.351,0
2.165,-0.492,0,0
0.596,2.27,0.602,1
0.593,1.177,1.005,1
0.294,0.176,-0.068,0
2.093,-0.414,0.166,0
0.984,1.417,-0.364,1
0.607,1.681,1.106,1
1.152,0.964,1.732,1
0.469,0.73,0,0
1.694,1.49,0,0
1.111,0.827,-0.55,1
2.437,1.02,-0.174,0
0.715,1.059,0,1
2.345,1.508,0,0
-0.273,0.18,-0.06,0
2.034,1,-0.379,0
0.693,-0.129,0.118,0
1.984,-0.405,0.159,0
-1.012,-0.546,-0.583,0
2.05,1.632,-0.285,0
2.211,0.643,-0.136,0
0.329,0.443,1.551,0
0.982,2.602,-0.331,0
1.803,-0.366,0,0
2.978,-0.561,-0.35,1
1.179,0.639,1.018,1
0.746,1.31,-0.782,1
1.683,1.012,0.316,0
1.013,2.32,-0.359,0
0.557,0.742,0,1
1.044,1.083,-1.045,1
0.548,-0.75,1.037,1
1.585,0.644,-0.128,0
1.697,0.485,-0.18,0
1.318,0.691,-0.24,0
0.878,0.548,1.184,1
1.8,-0.386,-0.086,0
0.891,1.871,0,0
0.249,-0.08,-0.07,0
0.614,0.866,-0.765,1
0.824,-0.271,-0.131,0
1.73,-0.246,0.099,0
0.259,1.82,0.429,1
0.345,0.36,1.855,0
0.81,0.206,0.105,0
0.425,1.102,0,0
-0.235,0.2,-0.132,0
1.822,-0.334,-0.094,0
2.19,1.354,-0.224,0
2.213,-0.519,0.285,0
0.342,0.561,-0.46,0
2.132,-0.385,0.209,0
0.351,0.563,1.222,0
0.308,-0.077,-0.098,0
1.279,-0.573,-0.269,1
0.722,1.57,0.357,1
0.266,0.158,-0.063,0
0.416,0.696,-0.688,1
0.802,2.23,0,1
