@relation 'phoneme-weka.filters.unsupervised.attribute.Remove-V-R3,5-6'

@attribute Dcl numeric
@attribute Sh numeric
@attribute Class {0,1}

@data
0.989,0,0
1.486,-0.259,0
-0.325,-0.062,0
0.852,0.132,0
1.625,-0.513,1
2.009,0,0
1.078,0.215,0
0.159,0.083,0
0.788,-0.116,0
-0.385,-0.107,0
0.634,0,1
2.399,0,0
0.976,0.216,0
-0.42,-0.212,0
1.844,-0.305,0
-0.268,0.438,0
-0.414,-0.119,0
1.675,0.708,1
-0.29,-0.304,0
-0.499,-0.193,0
1.979,-0.241,0
-0.477,0,0
0.842,-0.849,0
1.483,-0.313,1
1.1,-0.223,1
1.528,-0.347,1
0.581,-0.482,1
-0.486,-0.152,0
2.683,-0.376,0
0.331,0,1
0.965,0.381,1
1.162,0.342,1
1.355,-0.38,1
0.15,0.057,0
1.081,0,0
-0.491,0.607,0
1.652,-0.507,0
-0.293,-0.116,0
1.706,-0.201,0
2.04,-0.292,1
1.071,0,1
2.113,-0.189,1
-0.421,0.848,0
0.17,0.062,0
2.575,-0.295,0
-0.339,-0.122,0
