@relation 'texture-weka.filters.unsupervised.attribute.Remove-V-R1,3,10,16,20,24,26,29-30,32,38,41'

@attribute A1 numeric
@attribute A3 numeric
@attribute A10 numeric
@attribute A16 numeric
@attribute A20 numeric
@attribute A24 numeric
@attribute A26 numeric
@attribute A29 numeric
@attribute A30 numeric
@attribute A32 numeric
@attribute A38 numeric
@attribute Class {2,3,4,9,10,7,6,8,12,13,14}

@data
-1.316,-0.619,-0.668,-0.577,-0.704,-0.851,-0.601,-0.734,-1.012,-0.79,-0.571,2
-1.165,-0.604,-0.695,-0.631,-0.747,-0.718,-0.535,-0.682,-1.009,-0.718,-0.606,2
-1.131,-0.673,-0.67,-0.677,-0.808,-0.647,-0.428,-0.552,-0.837,-0.628,-0.467,2
-1.366,-0.983,-1.002,-0.808,-0.986,-0.891,-0.653,-0.781,-1.051,-0.932,-0.752,2
-1.135,-0.754,-0.805,-0.609,-0.756,-0.694,-0.537,-0.624,-0.894,-0.675,-0.506,2
-1.273,-0.689,-0.753,-0.574,-0.606,-0.722,-0.433,-0.608,-0.949,-0.747,-0.567,2
-1.213,-0.916,-0.922,-0.654,-0.797,-0.775,-0.567,-0.699,-0.989,-0.794,-0.636,2
-1.221,-0.838,-0.808,-0.662,-0.786,-0.707,-0.472,-0.612,-0.908,-0.689,-0.499,2
-1.077,-0.749,-0.721,-0.585,-0.627,-0.649,-0.463,-0.594,-0.907,-0.667,-0.545,2
-1.29,-0.959,-0.989,-0.778,-0.973,-0.84,-0.605,-0.736,-1.017,-0.834,-0.678,2
-1.168,-0.691,-0.692,-0.653,-0.742,-0.719,-0.451,-0.592,-0.883,-0.673,-0.504,2
-1.265,-0.608,-0.652,-0.549,-0.639,-0.883,-0.685,-0.791,-1.006,-0.893,-0.681,2
-1.095,-0.742,-0.869,-0.537,-0.604,-0.591,-0.399,-0.533,-0.886,-0.594,-0.515,2
-1.144,-0.591,-0.558,-0.632,-0.742,-0.599,-0.407,-0.542,-0.848,-0.545,-0.368,2
-1.111,-0.653,-0.713,-0.612,-0.764,-0.744,-0.595,-0.703,-0.959,-0.726,-0.628,2
-1.106,-0.914,-0.892,-0.714,-0.896,-0.76,-0.659,-0.755,-1.029,-0.756,-0.736,2
-1.148,-0.761,-0.756,-0.579,-0.676,-0.685,-0.488,-0.617,-0.932,-0.699,-0.587,2
-1.12,-0.797,-0.838,-0.625,-0.767,-0.652,-0.488,-0.611,-0.964,-0.612,-0.523,2
-1.422,-1.064,-1.107,-0.818,-0.978,-0.931,-0.649,-0.789,-1.073,-1.045,-0.853,2
-1.192,-0.445,-0.456,-0.633,-0.748,-0.652,-0.463,-0.59,-0.881,-0.602,-0.406,2
-1.288,-0.876,-0.863,-0.634,-0.738,-0.744,-0.444,-0.605,-0.951,-0.847,-0.728,2
-1.237,-0.54,-0.528,-0.63,-0.747,-0.7,-0.454,-0.595,-0.909,-0.655,-0.405,2
-1.275,-1.015,-1.027,-0.825,-1.04,-0.872,-0.639,-0.776,-1.072,-0.911,-0.757,2
-1.192,-0.81,-0.857,-0.62,-0.723,-0.655,-0.438,-0.59,-0.938,-0.71,-0.579,2
-1.108,-0.726,-0.619,-0.626,-0.692,-0.658,-0.498,-0.622,-0.934,-0.703,-0.585,2
-1.231,-0.703,-0.713,-0.559,-0.59,-0.745,-0.49,-0.634,-0.945,-0.735,-0.557,2
-1.229,-0.778,-0.896,-0.673,-0.794,-0.668,-0.446,-0.608,-1.004,-0.75,-0.58,2
-1.28,-0.944,-0.923,-0.724,-0.884,-0.739,-0.478,-0.633,-0.949,-0.828,-0.687,2
-1.22,-0.9,-0.925,-0.663,-0.812,-0.779,-0.597,-0.708,-0.97,-0.801,-0.666,2
-0.927,-0.759,-0.818,-0.754,-0.913,-0.683,-0.686,-0.747,-0.974,-0.684,-0.64,2
-1.227,-0.598,-0.77,-0.496,-0.434,-0.82,-0.596,-0.701,-0.93,-0.81,-0.701,3
-1.282,-0.644,-0.812,-0.604,-0.69,-0.84,-0.604,-0.721,-0.936,-0.862,-0.732,3
-1.208,-0.65,-0.846,-0.536,-0.529,-0.753,-0.522,-0.613,-0.834,-0.838,-0.712,3
-1.226,-0.49,-0.666,-0.509,-0.571,-0.857,-0.636,-0.717,-0.898,-0.775,-0.593,3
-1.249,-0.649,-0.867,-0.562,-0.603,-0.771,-0.51,-0.624,-0.848,-0.835,-0.719,3
-1.243,-0.68,-0.802,-0.528,-0.626,-0.87,-0.656,-0.756,-0.962,-0.887,-0.768,3
-1.287,-0.597,-0.736,-0.676,-0.813,-0.931,-0.714,-0.808,-0.978,-0.869,-0.708,3
-1.229,-0.626,-0.798,-0.56,-0.606,-0.83,-0.637,-0.716,-0.906,-0.907,-0.779,3
-1.255,-0.669,-0.821,-0.6,-0.72,-0.899,-0.74,-0.812,-1.002,-0.838,-0.681,3
-1.15,-0.663,-0.834,-0.555,-0.554,-0.71,-0.512,-0.6,-0.826,-0.786,-0.726,3
-1.271,-0.672,-0.854,-0.654,-0.766,-0.878,-0.645,-0.746,-0.924,-0.915,-0.772,3
-1.237,-0.66,-0.791,-0.569,-0.642,-0.882,-0.676,-0.774,-0.946,-0.749,-0.625,3
-1.218,-0.628,-0.81,-0.567,-0.669,-0.849,-0.667,-0.754,-0.949,-0.845,-0.746,3
-1.106,-0.435,-0.666,-0.471,-0.304,-0.553,-0.343,-0.452,-0.753,-0.674,-0.556,3
-1.236,-0.565,-0.682,-0.563,-0.697,-0.92,-0.735,-0.808,-0.975,-0.852,-0.679,3
-1.18,-0.608,-0.792,-0.548,-0.648,-0.832,-0.638,-0.712,-0.858,-0.793,-0.659,3
-1.177,-0.603,-0.765,-0.544,-0.649,-0.789,-0.574,-0.672,-0.885,-0.774,-0.651,3
-1.23,-0.59,-0.667,-0.648,-0.749,-0.875,-0.671,-0.759,-0.917,-0.85,-0.725,3
-1.218,-0.611,-0.749,-0.598,-0.606,-0.844,-0.641,-0.729,-0.898,-0.878,-0.755,3
-1.202,-0.556,-0.732,-0.527,-0.545,-0.749,-0.533,-0.614,-0.831,-0.84,-0.71,3
-1.243,-0.438,-0.583,-0.511,-0.567,-0.829,-0.62,-0.711,-0.927,-0.801,-0.579,3
-1.203,-0.61,-0.756,-0.5,-0.467,-0.758,-0.551,-0.654,-0.897,-0.738,-0.643,3
-1.363,-0.704,-0.798,-0.666,-0.801,-1.057,-0.862,-0.938,-1.08,-0.945,-0.784,3
-1.147,-0.616,-0.833,-0.499,-0.429,-0.702,-0.483,-0.598,-0.841,-0.74,-0.642,3
-1.292,-0.723,-0.845,-0.649,-0.811,-0.951,-0.754,-0.842,-1.021,-0.88,-0.726,3
-1.278,-0.596,-0.782,-0.531,-0.444,-0.846,-0.64,-0.74,-0.973,-0.87,-0.747,3
-1.092,-0.557,-0.734,-0.554,-0.439,-0.701,-0.524,-0.651,-0.89,-0.734,-0.638,3
-1.133,-0.475,-0.741,-0.518,-0.435,-0.736,-0.562,-0.634,-0.82,-0.775,-0.667,3
-1.273,-0.769,-0.878,-0.717,-0.813,-0.89,-0.707,-0.82,-1.023,-0.932,-0.834,3
-1.235,-0.737,-0.944,-0.636,-0.697,-0.789,-0.543,-0.647,-0.861,-0.824,-0.703,3
-1.134,-0.518,-0.792,-0.506,-0.53,-0.687,-0.473,-0.571,-0.801,-0.736,-0.642,3
-1.12,-0.431,-0.642,-0.485,-0.437,-0.734,-0.55,-0.635,-0.827,-0.713,-0.694,3
-1.215,-0.596,-0.798,-0.608,-0.725,-0.817,-0.645,-0.728,-0.948,-0.837,-0.717,3
-1.061,-0.395,-0.648,-0.502,-0.555,-0.661,-0.458,-0.524,-0.708,-0.626,-0.509,3
-1.143,-0.591,-0.83,-0.613,-0.504,-0.707,-0.52,-0.623,-0.867,-0.781,-0.73,3
-1.229,-0.571,-0.708,-0.571,-0.525,-0.735,-0.524,-0.62,-0.88,-0.853,-0.713,3
-1.364,-0.79,-0.921,-0.73,-0.89,-1.095,-0.917,-0.996,-1.106,-0.993,-0.858,3
-1.232,-0.525,-0.661,-0.523,-0.592,-0.871,-0.681,-0.754,-0.932,-0.838,-0.714,3
-1.248,-0.5,-0.676,-0.505,-0.409,-0.79,-0.585,-0.684,-0.92,-0.829,-0.708,3
-1.151,-0.573,-0.682,-0.547,-0.654,-0.75,-0.532,-0.627,-0.803,-0.708,-0.58,3
-1.233,-0.51,-0.696,-0.593,-0.68,-0.908,-0.752,-0.826,-0.989,-0.818,-0.624,3
-1.004,-0.364,-0.615,-0.465,-0.528,-0.61,-0.413,-0.487,-0.674,-0.573,-0.451,3
-1.202,-0.531,-0.726,-0.519,-0.396,-0.748,-0.542,-0.65,-0.883,-0.736,-0.626,3
-1.158,-0.607,-0.766,-0.586,-0.648,-0.783,-0.593,-0.686,-0.888,-0.758,-0.703,3
-1.278,-0.639,-0.718,-0.578,-0.687,-0.981,-0.81,-0.86,-0.994,-0.859,-0.713,3
-1.204,-0.518,-0.66,-0.537,-0.452,-0.783,-0.566,-0.651,-0.867,-0.816,-0.68,3
-1.179,-0.715,-0.824,-0.615,-0.728,-0.855,-0.731,-0.803,-1.005,-0.828,-0.711,3
-1.29,-0.653,-0.79,-0.645,-0.751,-0.984,-0.791,-0.874,-1.021,-0.839,-0.71,3
-1.156,-0.625,-0.828,-0.484,-0.322,-0.714,-0.499,-0.592,-0.813,-0.707,-0.612,3
-1.164,-0.46,-0.59,-0.528,-0.507,-0.734,-0.546,-0.645,-0.886,-0.666,-0.494,3
-1.262,-1.063,-1.121,-0.884,-1.066,-0.827,-0.683,-0.802,-1.143,-0.978,-0.952,4
-1.219,-1.123,-1.085,-0.953,-1.151,-0.834,-0.77,-0.841,-1.169,-0.886,-0.877,4
-1.265,-1.103,-1.143,-0.927,-1.125,-0.84,-0.738,-0.827,-1.157,-0.969,-0.908,4
-1.237,-1.068,-1.078,-0.858,-1.044,-0.764,-0.624,-0.747,-1.122,-0.925,-0.897,4
-1.188,-1.043,-1.067,-0.86,-1.073,-0.78,-0.696,-0.776,-1.119,-0.885,-0.841,4
-1.252,-1.09,-1.164,-0.863,-1.04,-0.785,-0.665,-0.759,-1.111,-0.944,-0.907,4
-1.13,-1.003,-1.081,-0.799,-1.043,-0.729,-0.685,-0.765,-1.122,-0.829,-0.802,4
-1.201,-1.078,-1.091,-0.977,-1.18,-0.788,-0.698,-0.79,-1.129,-0.899,-0.843,4
-1.275,-1.032,-1.085,-0.772,-0.924,-0.826,-0.687,-0.788,-1.129,-0.935,-0.891,4
-1.217,-1.121,-1.113,-0.933,-1.125,-0.818,-0.736,-0.807,-1.117,-0.928,-0.908,4
-1.143,-0.998,-1.041,-0.858,-1.051,-0.675,-0.62,-0.697,-1.073,-0.76,-0.731,4
-1.233,-1.116,-1.171,-0.906,-1.123,-0.883,-0.828,-0.905,-1.199,-0.971,-0.936,4
-1.249,-1.094,-1.126,-0.824,-0.997,-0.787,-0.658,-0.768,-1.143,-0.947,-0.89,4
-1.225,-1.101,-1.132,-0.893,-1.099,-0.789,-0.669,-0.783,-1.147,-0.911,-0.835,4
-1.113,-0.933,-0.946,-0.756,-0.904,-0.654,-0.573,-0.64,-0.997,-0.781,-0.729,4
-1.248,-1.103,-1.103,-0.865,-1.039,-0.816,-0.711,-0.799,-1.142,-0.933,-0.884,4
-1.272,-1.092,-1.092,-0.812,-0.987,-0.768,-0.587,-0.73,-1.124,-0.931,-0.84,4
-1.2,-1.111,-1.092,-0.825,-0.987,-0.801,-0.697,-0.759,-1.058,-0.933,-0.907,4
-1.242,-1.079,-1.125,-0.797,-0.984,-0.79,-0.668,-0.787,-1.172,-0.963,-0.95,4
-1.256,-1.118,-1.19,-0.866,-1.056,-0.845,-0.71,-0.8,-1.109,-0.956,-0.901,4
-1.291,-1.164,-1.17,-0.89,-1.078,-0.792,-0.617,-0.764,-1.159,-0.963,-0.931,4
-1.159,-1.046,-1.096,-0.845,-1.033,-0.747,-0.685,-0.78,-1.167,-0.849,-0.851,4
-1.225,-1.045,-1.098,-0.777,-0.953,-0.696,-0.557,-0.682,-1.071,-0.868,-0.782,4
-1.184,-0.981,-1.046,-0.79,-0.966,-0.693,-0.571,-0.706,-1.127,-0.838,-0.84,4
-1.165,-1.007,-1.054,-0.818,-0.997,-0.689,-0.555,-0.65,-1.014,-0.812,-0.738,4
-1.356,-1.123,-1.186,-0.832,-1.009,-0.931,-0.789,-0.876,-1.167,-1.032,-0.96,4
-1.39,-1.234,-1.248,-0.912,-1.107,-0.857,-0.651,-0.794,-1.186,-0.999,-0.923,4
-1.145,-1.012,-1.018,-0.809,-0.944,-0.715,-0.651,-0.745,-1.118,-0.858,-0.87,4
-1.259,-1.148,-1.12,-0.777,-0.925,-0.724,-0.555,-0.699,-1.114,-0.921,-0.859,4
-1.208,-1.002,-1.036,-0.823,-0.971,-0.772,-0.685,-0.747,-1.067,-0.876,-0.798,4
-1.294,-1.135,-1.151,-0.704,-0.846,-0.75,-0.546,-0.682,-1.061,-0.955,-0.868,4
-1.203,-1,-1.004,-0.826,-1.012,-0.756,-0.663,-0.737,-1.077,-0.834,-0.756,4
-1.181,-1.036,-1.097,-0.839,-1.046,-0.788,-0.716,-0.799,-1.14,-0.872,-0.858,4
-1.169,-1.036,-1.108,-0.894,-1.103,-0.799,-0.74,-0.816,-1.14,-0.877,-0.829,4
-1.142,-1.059,-1.014,-0.871,-1.052,-0.745,-0.662,-0.723,-1.029,-0.802,-0.772,4
-1.145,-1.013,-1.028,-0.823,-0.977,-0.664,-0.561,-0.673,-1.097,-0.779,-0.747,4
-1.057,-1.002,-1.027,-0.846,-1.027,-0.68,-0.635,-0.72,-1.062,-0.736,-0.811,4
-1.132,-1.03,-1.11,-0.878,-1.105,-0.746,-0.656,-0.754,-1.112,-0.874,-0.841,4
-1.169,-1.03,-1.092,-0.869,-1.071,-0.757,-0.682,-0.761,-1.117,-0.838,-0.804,4
-1.175,-0.989,-1.024,-0.903,-1.094,-0.786,-0.732,-0.806,-1.141,-0.842,-0.813,4
-1.149,-0.984,-0.987,-0.672,-0.811,-0.754,-0.629,-0.707,-1.008,-0.841,-0.805,4
-1.159,-1.005,-1.023,-0.757,-0.943,-0.619,-0.44,-0.618,-1.108,-0.786,-0.755,4
-1.328,-1.145,-1.178,-0.858,-1.048,-0.806,-0.601,-0.751,-1.128,-0.993,-0.878,4
-1.339,-1.145,-1.166,-0.944,-1.138,-0.861,-0.712,-0.831,-1.19,-1.016,-0.954,4
-1.19,-1.026,-1.061,-0.801,-0.977,-0.762,-0.659,-0.766,-1.129,-0.885,-0.822,4
-1.112,-0.993,-1.031,-0.82,-1.027,-0.737,-0.684,-0.785,-1.174,-0.807,-0.792,4
-1.351,-1.128,-1.194,-0.891,-1.088,-0.92,-0.763,-0.866,-1.178,-1.088,-1.012,4
-1.181,-1.02,-1.079,-0.753,-0.917,-0.727,-0.591,-0.703,-1.08,-0.836,-0.825,4
-1.254,-1.117,-1.184,-0.853,-1.016,-0.795,-0.642,-0.776,-1.149,-0.973,-0.963,4
-1.345,-1.147,-1.202,-0.877,-1.063,-0.95,-0.832,-0.912,-1.193,-1.082,-1.024,4
-1.177,-0.928,-0.872,-0.674,-0.775,-0.821,-0.592,-0.69,-0.872,-0.96,-0.878,9
-0.794,-0.453,-0.417,-0.442,-0.504,-0.437,-0.291,-0.396,-0.65,-0.535,-0.48,9
-0.772,-0.631,-0.678,-0.421,-0.502,-0.354,-0.213,-0.321,-0.648,-0.573,-0.552,9
-0.923,-0.681,-0.608,-0.39,-0.409,-0.399,-0.156,-0.334,-0.69,-0.585,-0.522,9
-1.232,-0.804,-0.701,-0.598,-0.661,-0.741,-0.477,-0.615,-0.871,-0.877,-0.699,9
-1.143,-0.687,-0.6,-0.571,-0.608,-0.584,-0.34,-0.477,-0.764,-0.782,-0.612,9
-0.9,-0.717,-0.51,-0.435,-0.344,-0.416,-0.211,-0.36,-0.623,-0.606,-0.519,9
-0.709,-0.514,-0.592,-0.478,-0.465,-0.331,-0.268,-0.334,-0.617,-0.475,-0.497,9
-0.824,-0.624,-0.612,-0.53,-0.632,-0.439,-0.325,-0.45,-0.704,-0.583,-0.577,9
-1.071,-0.683,-0.663,-0.492,-0.628,-0.686,-0.497,-0.6,-0.832,-0.797,-0.696,9
-1.036,-0.741,-0.743,-0.658,-0.736,-0.659,-0.563,-0.616,-0.841,-0.78,-0.721,9
-1.203,-0.752,-0.679,-0.611,-0.7,-0.714,-0.441,-0.585,-0.837,-0.866,-0.683,9
-0.497,-0.288,-0.166,-0.178,-0.275,-0.223,-0.213,-0.262,-0.417,-0.351,-0.419,9
-1.058,-0.541,-0.542,-0.355,-0.451,-0.63,-0.384,-0.492,-0.765,-0.771,-0.655,9
-0.912,-0.582,-0.653,-0.393,-0.503,-0.536,-0.336,-0.479,-0.732,-0.72,-0.649,9
-0.947,-0.733,-0.534,-0.398,-0.333,-0.465,-0.212,-0.374,-0.658,-0.667,-0.581,9
-1.244,-0.849,-0.799,-0.565,-0.628,-0.726,-0.461,-0.617,-0.885,-0.913,-0.754,9
-1.203,-0.818,-0.643,-0.588,-0.663,-0.742,-0.51,-0.618,-0.851,-0.905,-0.799,9
-1.195,-0.66,-0.657,-0.543,-0.621,-0.728,-0.52,-0.625,-0.867,-0.865,-0.693,9
-0.973,-0.659,-0.729,-0.582,-0.612,-0.525,-0.332,-0.441,-0.728,-0.696,-0.673,9
-0.962,-0.668,-0.713,-0.402,-0.533,-0.586,-0.407,-0.526,-0.77,-0.765,-0.698,9
-1.166,-0.602,-0.579,-0.489,-0.552,-0.705,-0.472,-0.596,-0.893,-0.868,-0.757,9
-0.921,-0.763,-0.698,-0.594,-0.62,-0.505,-0.368,-0.458,-0.706,-0.625,-0.569,9
-1.003,-0.806,-0.698,-0.613,-0.681,-0.576,-0.423,-0.512,-0.76,-0.718,-0.68,9
-1.198,-0.739,-0.67,-0.67,-0.702,-0.696,-0.493,-0.584,-0.843,-0.871,-0.747,9
-1.112,-0.745,-0.682,-0.648,-0.693,-0.66,-0.498,-0.615,-0.905,-0.786,-0.75,9
-0.934,-0.549,-0.394,-0.463,-0.428,-0.53,-0.394,-0.453,-0.651,-0.635,-0.552,9
-1.227,-0.765,-0.73,-0.524,-0.585,-0.754,-0.491,-0.649,-0.94,-0.893,-0.753,9
-1.058,-0.782,-0.8,-0.629,-0.716,-0.688,-0.535,-0.615,-0.857,-0.767,-0.731,9
-0.992,-0.66,-0.591,-0.469,-0.557,-0.619,-0.413,-0.492,-0.729,-0.753,-0.68,9
-1.082,-0.689,-0.629,-0.524,-0.586,-0.674,-0.472,-0.571,-0.819,-0.787,-0.681,9
-1.111,-0.635,-0.576,-0.506,-0.559,-0.666,-0.445,-0.541,-0.752,-0.855,-0.742,9
-1.196,-0.802,-0.72,-0.552,-0.588,-0.742,-0.521,-0.643,-0.911,-0.884,-0.786,9
-1.052,-0.683,-0.618,-0.504,-0.582,-0.65,-0.458,-0.58,-0.84,-0.747,-0.657,9
-0.948,-0.55,-0.465,-0.475,-0.477,-0.524,-0.361,-0.47,-0.745,-0.659,-0.648,9
-1.017,-0.705,-0.688,-0.447,-0.553,-0.625,-0.399,-0.541,-0.826,-0.737,-0.719,9
-1.149,-0.713,-0.661,-0.564,-0.658,-0.747,-0.586,-0.688,-0.918,-0.818,-0.739,9
-0.7,-0.437,-0.407,-0.233,-0.245,-0.244,-0.125,-0.198,-0.472,-0.45,-0.504,9
-1.282,-0.765,-0.741,-0.663,-0.776,-0.889,-0.651,-0.742,-0.943,-0.961,-0.784,9
-1.281,-0.85,-0.771,-0.608,-0.706,-0.878,-0.675,-0.774,-1.002,-0.99,-0.859,9
-1.191,-0.679,-0.711,-0.606,-0.683,-0.707,-0.503,-0.615,-0.849,-0.901,-0.732,9
-1.047,-0.576,-0.585,-0.534,-0.547,-0.534,-0.284,-0.412,-0.73,-0.762,-0.657,9
-0.377,-0.508,-0.446,-0.35,-0.519,-0.224,-0.261,-0.368,-0.773,-0.283,-0.465,9
-0.986,-0.672,-0.621,-0.407,-0.435,-0.459,-0.215,-0.383,-0.735,-0.646,-0.551,9
-0.775,-0.418,-0.342,-0.315,-0.362,-0.321,-0.192,-0.321,-0.629,-0.478,-0.526,9
-0.905,-0.632,-0.661,-0.422,-0.512,-0.523,-0.326,-0.467,-0.711,-0.702,-0.592,9
-0.969,-0.618,-0.713,-0.576,-0.614,-0.516,-0.325,-0.427,-0.718,-0.685,-0.622,9
-1.203,-0.866,-0.757,-0.69,-0.793,-0.848,-0.661,-0.773,-0.99,-0.92,-0.805,9
-1.133,-0.797,-0.712,-0.614,-0.739,-0.775,-0.598,-0.704,-0.9,-0.872,-0.767,9
-0.992,-0.675,-0.619,-0.551,-0.625,-0.567,-0.372,-0.453,-0.679,-0.679,-0.574,9
-0.409,-0.385,-0.251,-0.445,-0.13,-0.092,-0.153,-0.258,-0.691,-0.246,-0.293,10
-0.983,-0.481,-0.448,-0.443,-0.207,-0.342,-0.215,-0.293,-0.581,-0.529,-0.379,10
-0.737,-0.259,-0.29,-0.27,-0.135,-0.112,-0.023,-0.067,-0.351,-0.322,-0.298,10
-1.04,-0.333,-0.392,-0.385,-0.193,-0.404,-0.239,-0.357,-0.643,-0.561,-0.315,10
-0.557,-0.327,-0.293,-0.364,-0.173,-0.105,-0.071,-0.141,-0.514,-0.265,-0.291,10
-1.006,-0.425,-0.392,-0.423,-0.222,-0.355,-0.207,-0.312,-0.628,-0.53,-0.369,10
-1.153,-0.432,-0.379,-0.476,-0.151,-0.465,-0.281,-0.368,-0.649,-0.578,-0.384,10
-1.181,-0.542,-0.492,-0.48,-0.336,-0.574,-0.342,-0.456,-0.695,-0.745,-0.553,10
-1.168,-0.496,-0.44,-0.479,-0.405,-0.537,-0.298,-0.403,-0.682,-0.711,-0.482,10
-1.048,-0.458,-0.464,-0.437,-0.239,-0.438,-0.244,-0.396,-0.797,-0.54,-0.418,10
-1.002,-0.432,-0.377,-0.499,-0.371,-0.384,-0.255,-0.365,-0.7,-0.589,-0.439,10
-1.145,-0.483,-0.44,-0.501,-0.211,-0.441,-0.239,-0.352,-0.677,-0.645,-0.438,10
-1.183,-0.468,-0.438,-0.522,-0.29,-0.492,-0.296,-0.399,-0.757,-0.614,-0.392,10
-1.038,-0.404,-0.38,-0.487,-0.211,-0.413,-0.156,-0.31,-0.668,-0.574,-0.428,10
-1.026,-0.29,-0.268,-0.408,-0.096,-0.369,-0.142,-0.269,-0.589,-0.453,-0.278,10
-1.084,-0.449,-0.457,-0.413,-0.26,-0.47,-0.26,-0.363,-0.614,-0.599,-0.408,10
-0.491,-0.339,-0.336,-0.288,-0.113,-0.071,-0.099,-0.182,-0.512,-0.267,-0.353,10
-1.045,-0.454,-0.417,-0.52,-0.206,-0.396,-0.178,-0.376,-0.816,-0.55,-0.334,10
-0.722,-0.423,-0.573,-0.542,-0.333,-0.235,-0.198,-0.305,-0.66,-0.413,-0.444,10
-0.96,-0.437,-0.373,-0.459,-0.201,-0.362,-0.262,-0.322,-0.572,-0.452,-0.322,10
-0.877,-0.492,-0.445,-0.413,-0.156,-0.315,-0.128,-0.288,-0.64,-0.438,-0.321,10
-1.178,-0.357,-0.361,-0.439,-0.135,-0.395,-0.159,-0.304,-0.704,-0.615,-0.407,10
-0.743,-0.432,-0.452,-0.44,-0.25,-0.143,-0.005,-0.12,-0.481,-0.403,-0.321,10
-0.946,-0.246,-0.296,-0.333,-0.113,-0.32,-0.181,-0.264,-0.542,-0.477,-0.338,10
-1.24,-0.562,-0.512,-0.506,-0.262,-0.526,-0.322,-0.434,-0.765,-0.741,-0.536,10
-1,-0.471,-0.511,-0.521,-0.35,-0.389,-0.196,-0.293,-0.61,-0.594,-0.503,10
-1.091,-0.331,-0.284,-0.434,-0.157,-0.375,-0.126,-0.295,-0.635,-0.578,-0.356,10
-1.153,-0.312,-0.302,-0.511,-0.161,-0.377,-0.145,-0.265,-0.652,-0.563,-0.352,10
-1.098,-0.489,-0.523,-0.472,-0.252,-0.401,-0.232,-0.351,-0.717,-0.603,-0.454,10
-0.801,-0.422,-0.461,-0.368,-0.147,-0.233,-0.117,-0.199,-0.527,-0.425,-0.371,10
-1.207,-0.399,-0.39,-0.447,-0.179,-0.592,-0.348,-0.485,-0.79,-0.706,-0.46,10
-0.632,-0.382,-0.448,-0.436,-0.244,-0.156,-0.145,-0.203,-0.483,-0.305,-0.285,10
0.014,-0.172,-0.185,-0.468,-0.215,0.274,0.046,0.042,-0.311,0.162,-0.076,10
-1.078,-0.317,-0.275,-0.448,-0.137,-0.458,-0.276,-0.407,-0.78,-0.565,-0.397,10
-0.794,-0.256,-0.279,-0.304,-0.159,-0.171,-0.065,-0.111,-0.389,-0.362,-0.307,10
-1.076,-0.429,-0.438,-0.415,-0.118,-0.382,-0.174,-0.295,-0.57,-0.576,-0.395,10
-1.012,-0.39,-0.379,-0.441,-0.182,-0.358,-0.202,-0.33,-0.683,-0.564,-0.427,10
-1.112,-0.404,-0.419,-0.433,-0.183,-0.432,-0.239,-0.364,-0.687,-0.626,-0.437,10
