@relation german

@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute InstallmentRate numeric
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
12,A32,A61,A75,4,A201,1
33,A34,A61,A74,3,A201,1
15,A32,A65,A72,4,A201,1
24,A34,A61,A73,4,A201,1
15,A34,A61,A75,4,A201,1
15,A32,A61,A72,4,A201,1
12,A32,A62,A74,3,A201,1
12,A32,A62,A74,2,A201,1
9,A32,A61,A73,1,A201,1
24,A32,A61,A72,4,A202,1
48,A34,A65,A75,4,A201,1
21,A32,A61,A74,1,A201,1
6,A32,A63,A71,1,A201,1
24,A32,A63,A75,3,A201,1
12,A32,A65,A71,1,A201,1
15,A32,A61,A75,4,A201,1
36,A31,A65,A72,3,A201,1
27,A34,A61,A75,4,A201,1
12,A32,A61,A73,4,A201,1
6,A32,A64,A73,4,A201,1
15,A34,A62,A73,4,A201,1
48,A31,A62,A74,4,A201,1
18,A34,A61,A73,4,A201,1
24,A33,A65,A72,4,A201,1
18,A34,A61,A75,3,A201,1
12,A32,A62,A74,3,A201,1
24,A32,A65,A72,4,A201,1
13,A32,A61,A72,2,A201,1
15,A32,A63,A75,4,A201,1
24,A34,A61,A73,4,A201,1
30,A32,A61,A72,2,A201,1
12,A34,A65,A75,4,A201,1
20,A33,A61,A73,2,A201,1
4,A34,A61,A74,2,A201,1
24,A32,A65,A75,4,A201,1
18,A34,A61,A72,3,A201,1
48,A34,A65,A75,4,A201,1
24,A32,A65,A75,4,A201,1
42,A34,A61,A75,4,A201,1
30,A34,A61,A74,4,A201,1
12,A33,A61,A73,2,A201,1
12,A32,A61,A75,3,A201,1
6,A32,A63,A74,2,A201,1
9,A32,A62,A75,3,A201,1
24,A32,A62,A75,4,A201,1
8,A32,A61,A72,3,A201,1
24,A32,A61,A74,3,A201,1
24,A33,A62,A73,2,A201,1
8,A34,A61,A75,3,A201,1
12,A32,A61,A71,3,A201,1
12,A32,A65,A75,3,A201,1
7,A32,A61,A72,1,A201,1
30,A32,A65,A73,4,A201,1
12,A34,A61,A74,4,A201,1
12,A34,A61,A75,4,A201,1
12,A34,A61,A74,4,A201,1
9,A32,A65,A75,1,A201,1
24,A32,A62,A74,3,A201,1
30,A32,A65,A75,2,A201,1
60,A32,A61,A75,2,A201,1
12,A32,A65,A72,2,A201,1
12,A32,A61,A73,1,A201,1
8,A34,A61,A74,1,A202,1
12,A32,A64,A73,1,A201,1
24,A34,A65,A75,4,A201,1
12,A34,A61,A75,2,A201,1
12,A32,A61,A75,4,A201,1
24,A32,A61,A73,4,A201,1
21,A32,A65,A74,2,A202,1
4,A32,A61,A72,1,A201,1
12,A32,A61,A73,3,A201,1
18,A33,A61,A73,2,A201,1
24,A34,A61,A74,4,A201,1
9,A34,A63,A75,4,A201,1
10,A34,A65,A72,2,A202,1
36,A32,A61,A74,4,A201,1
15,A32,A65,A73,4,A201,1
36,A32,A61,A71,2,A201,1
12,A32,A61,A74,2,A201,1
30,A32,A63,A75,4,A201,1
12,A34,A61,A75,4,A201,1
9,A34,A61,A73,3,A201,1
12,A34,A61,A73,1,A201,1
12,A34,A61,A75,2,A201,1
18,A32,A65,A74,4,A202,1
21,A34,A61,A74,2,A201,1
6,A32,A61,A72,3,A202,1
24,A32,A61,A75,4,A201,1
24,A32,A61,A75,4,A201,1
24,A32,A61,A74,3,A201,1
6,A32,A61,A73,2,A201,1
42,A34,A61,A74,2,A201,1
15,A32,A61,A73,3,A201,1
36,A32,A61,A73,1,A201,1
24,A33,A65,A73,4,A201,1
24,A32,A65,A71,2,A201,1
18,A31,A65,A74,4,A201,1
36,A32,A65,A75,3,A201,1
12,A34,A61,A73,4,A201,1
18,A32,A61,A73,3,A201,1
48,A34,A65,A75,4,A201,1
9,A32,A61,A73,4,A201,1
30,A32,A64,A75,4,A201,1
6,A32,A64,A72,2,A202,1
36,A34,A61,A73,3,A201,1
13,A32,A62,A71,2,A201,1
12,A33,A61,A73,4,A201,1
24,A32,A63,A75,3,A201,1
13,A34,A61,A72,4,A201,1
6,A32,A63,A73,2,A201,1
30,A32,A65,A74,2,A201,1
12,A32,A61,A73,4,A201,1
18,A34,A61,A71,4,A201,1
21,A32,A61,A75,4,A201,1
12,A32,A61,A73,2,A201,1
9,A32,A62,A75,2,A201,1
18,A32,A61,A72,1,A201,1
36,A34,A61,A73,3,A201,1
24,A34,A61,A71,2,A201,1
6,A32,A61,A74,3,A201,1
12,A32,A65,A75,4,A201,1
12,A32,A65,A75,4,A201,1
15,A32,A61,A75,4,A201,1
24,A34,A65,A75,4,A201,1
12,A34,A65,A75,4,A201,1
6,A34,A61,A73,2,A201,1
18,A33,A65,A75,4,A201,1
24,A34,A64,A73,4,A201,1
15,A34,A63,A73,2,A201,1
10,A34,A65,A73,2,A202,1
6,A34,A65,A74,1,A201,1
18,A34,A61,A72,4,A201,1
30,A34,A65,A75,3,A201,1
12,A34,A61,A73,3,A202,1
18,A32,A61,A73,4,A201,1
18,A32,A61,A73,4,A201,1
15,A34,A61,A73,4,A201,1
6,A32,A62,A75,3,A201,1
12,A32,A61,A73,3,A201,1
36,A32,A61,A73,4,A201,1
36,A34,A61,A73,3,A201,1
14,A32,A63,A75,1,A201,1
12,A34,A61,A74,2,A201,1
18,A34,A61,A75,3,A201,1
6,A34,A64,A74,3,A201,1
24,A31,A63,A73,4,A201,1
15,A32,A61,A74,2,A201,1
60,A33,A61,A74,2,A201,1
24,A33,A62,A74,3,A201,1
12,A32,A61,A75,4,A201,1
39,A32,A62,A75,4,A201,1
48,A34,A65,A74,2,A201,1
6,A31,A63,A75,2,A201,1
21,A34,A61,A75,1,A201,1
10,A32,A61,A72,1,A201,1
6,A34,A61,A73,1,A201,1
36,A34,A65,A75,4,A201,1
18,A34,A61,A73,4,A201,1
24,A32,A62,A74,4,A201,1
12,A32,A61,A73,3,A201,1
48,A32,A65,A74,1,A201,1
18,A32,A61,A75,4,A201,1
12,A34,A61,A71,4,A201,1
12,A31,A64,A73,3,A201,1
12,A32,A65,A73,4,A201,1
12,A32,A61,A73,4,A201,1
11,A34,A62,A71,4,A201,1
15,A34,A65,A75,1,A201,1
24,A34,A62,A73,3,A201,1
18,A32,A61,A75,4,A201,1
24,A32,A65,A74,4,A201,1
24,A33,A61,A74,3,A201,1
36,A33,A62,A74,1,A201,1
12,A34,A65,A74,4,A201,1
12,A34,A61,A73,4,A202,1
30,A34,A65,A75,4,A201,1
9,A34,A65,A73,1,A201,1
6,A32,A61,A73,1,A201,1
9,A32,A61,A75,4,A201,1
30,A32,A65,A75,4,A201,1
15,A32,A61,A75,4,A201,1
18,A34,A61,A71,4,A201,1
12,A34,A65,A74,4,A201,1
6,A34,A63,A73,1,A201,1
10,A34,A61,A72,1,A202,1
18,A34,A61,A73,2,A201,1
36,A33,A65,A74,3,A201,1
6,A34,A61,A75,2,A201,1
24,A31,A61,A73,1,A202,1
18,A32,A64,A73,4,A201,1
24,A31,A61,A74,4,A201,1
24,A32,A61,A72,4,A201,1
24,A32,A61,A72,4,A201,1
10,A34,A61,A75,3,A202,1
10,A32,A63,A73,3,A202,1
12,A34,A61,A72,1,A201,1
21,A34,A61,A75,4,A201,1
12,A34,A65,A72,2,A201,1
15,A32,A61,A71,1,A201,1
24,A32,A61,A75,4,A201,1
6,A33,A61,A73,3,A201,1
10,A32,A62,A73,1,A201,1
20,A34,A65,A72,2,A201,1
18,A34,A63,A75,4,A201,1
10,A32,A61,A73,3,A202,1
24,A32,A61,A73,2,A201,1
36,A32,A61,A75,2,A201,1
24,A32,A62,A74,2,A201,1
12,A32,A61,A73,4,A201,1
12,A32,A63,A73,3,A201,1
12,A32,A61,A74,2,A201,1
24,A32,A61,A75,3,A201,1
24,A34,A61,A74,4,A201,1
6,A33,A62,A75,1,A201,1
30,A34,A65,A74,2,A201,1
27,A32,A61,A73,3,A201,1
24,A34,A65,A73,3,A201,1
36,A34,A61,A75,2,A201,1
24,A32,A61,A74,4,A201,1
12,A34,A61,A75,4,A201,1
11,A34,A61,A73,1,A201,1
18,A32,A61,A72,3,A201,1
18,A33,A65,A75,4,A201,1
27,A32,A61,A72,4,A201,1
26,A32,A61,A72,2,A201,1
12,A32,A61,A73,4,A201,1
12,A34,A61,A75,1,A201,1
24,A32,A62,A72,4,A201,1
12,A32,A61,A73,2,A201,1
15,A34,A64,A75,3,A201,1
15,A34,A63,A73,2,A201,1
12,A32,A64,A74,2,A201,1
12,A34,A64,A74,3,A202,1
24,A34,A61,A75,4,A201,1
12,A31,A61,A75,4,A201,1
21,A34,A64,A74,3,A201,1
18,A30,A61,A73,1,A201,1
24,A33,A65,A73,4,A201,1
21,A32,A64,A72,4,A201,1
24,A32,A61,A72,4,A201,1
30,A33,A62,A75,4,A201,1
24,A32,A61,A75,4,A201,1
12,A34,A63,A75,4,A201,1
16,A34,A61,A71,2,A201,1
18,A34,A65,A71,2,A201,1
10,A34,A61,A75,4,A201,1
42,A34,A63,A73,4,A201,1
30,A30,A65,A72,2,A201,1
24,A34,A61,A75,4,A201,1
6,A34,A65,A73,1,A201,1
12,A32,A65,A75,2,A201,1
12,A34,A65,A75,4,A201,1
12,A32,A65,A75,2,A201,1
24,A32,A65,A72,1,A202,1
12,A32,A61,A73,4,A201,1
6,A34,A65,A75,4,A201,1
12,A34,A61,A75,2,A201,1
9,A34,A61,A71,2,A201,1
11,A32,A64,A72,4,A201,1
12,A32,A61,A73,3,A201,1
48,A31,A61,A73,1,A201,1
18,A34,A64,A75,4,A201,1
12,A33,A61,A73,4,A201,1
48,A32,A65,A74,4,A201,1
6,A32,A63,A73,1,A201,1
24,A32,A63,A74,4,A201,1
9,A32,A61,A75,4,A201,1
24,A34,A64,A75,4,A201,1
36,A32,A65,A73,4,A201,1
24,A34,A64,A73,2,A201,1
12,A32,A61,A73,2,A202,1
22,A32,A63,A75,3,A201,1
24,A32,A61,A75,4,A201,1
24,A32,A61,A75,4,A201,1
15,A34,A61,A73,4,A201,1
6,A32,A61,A74,3,A201,1
30,A31,A64,A73,4,A201,1
18,A34,A61,A72,4,A201,1
12,A34,A61,A74,2,A201,1
18,A32,A65,A72,4,A201,1
12,A32,A61,A74,3,A201,1
15,A34,A65,A74,4,A201,1
9,A32,A63,A73,4,A201,1
18,A32,A61,A72,3,A201,1
6,A34,A62,A73,1,A201,1
18,A32,A61,A73,2,A201,1
24,A32,A61,A72,4,A201,1
4,A34,A61,A74,1,A201,1
24,A32,A65,A75,2,A201,1
10,A32,A61,A73,2,A201,1
47,A32,A61,A72,1,A201,1
18,A32,A62,A74,4,A201,1
9,A34,A61,A73,4,A201,1
24,A32,A61,A73,1,A201,1
12,A34,A61,A75,4,A201,1
36,A34,A61,A73,2,A201,1
12,A33,A61,A73,4,A201,1
6,A34,A61,A74,4,A202,1
13,A34,A61,A72,3,A201,1
48,A32,A65,A71,3,A201,1
12,A32,A61,A73,4,A201,1
36,A32,A65,A75,2,A201,1
24,A32,A61,A73,2,A201,1
6,A34,A61,A75,1,A202,1
12,A32,A61,A73,2,A201,1
24,A34,A64,A73,4,A201,1
30,A30,A61,A73,2,A201,1
36,A33,A62,A75,4,A201,1
6,A34,A65,A75,4,A201,1
24,A32,A61,A72,2,A201,1
12,A30,A61,A75,2,A201,1
11,A34,A61,A73,2,A201,1
24,A32,A61,A73,2,A201,1
36,A33,A63,A74,2,A201,1
12,A32,A63,A75,3,A201,1
11,A34,A61,A72,4,A201,1
30,A32,A61,A73,4,A201,1
12,A32,A61,A72,4,A201,1
24,A34,A61,A72,3,A201,1
6,A30,A62,A73,4,A202,1
15,A32,A65,A72,4,A201,1
30,A33,A62,A73,2,A201,1
4,A32,A65,A72,1,A202,1
24,A33,A61,A73,1,A201,1
60,A34,A65,A75,2,A201,1
24,A32,A61,A71,4,A201,1
36,A32,A61,A73,1,A201,1
24,A33,A65,A75,4,A201,1
18,A34,A61,A75,2,A201,1
10,A32,A61,A75,3,A201,1
12,A32,A65,A73,4,A201,1
36,A33,A61,A75,2,A201,1
10,A32,A61,A73,4,A201,1
9,A32,A65,A74,2,A201,1
10,A32,A63,A75,4,A201,1
6,A32,A61,A71,1,A201,1
24,A34,A61,A72,2,A201,1
24,A32,A61,A74,2,A201,1
6,A34,A63,A75,4,A201,1
12,A34,A63,A74,3,A201,1
4,A34,A61,A74,2,A201,1
18,A34,A65,A73,4,A201,1
15,A34,A65,A75,4,A201,1
12,A34,A61,A71,1,A201,1
24,A34,A64,A75,2,A201,1
36,A32,A63,A75,4,A201,1
36,A32,A61,A71,4,A201,1
24,A32,A61,A72,4,A201,1
21,A32,A65,A75,4,A201,1
18,A34,A61,A73,2,A201,1
30,A34,A61,A75,4,A201,1
6,A34,A65,A73,1,A201,1
20,A32,A65,A74,4,A201,1
30,A34,A65,A75,4,A201,1
21,A33,A62,A74,4,A201,1
12,A32,A61,A72,4,A201,1
18,A32,A61,A73,4,A201,1
42,A32,A61,A74,2,A201,1
24,A32,A63,A71,1,A201,1
15,A32,A65,A73,3,A201,1
10,A34,A65,A74,4,A201,1
24,A32,A61,A74,2,A201,1
12,A32,A61,A72,4,A201,1
18,A32,A61,A74,3,A201,1
12,A34,A61,A73,4,A201,1
60,A33,A65,A73,1,A201,1
42,A31,A61,A71,1,A201,1
27,A33,A64,A73,2,A201,1
24,A32,A61,A75,4,A201,1
42,A30,A61,A72,2,A201,1
24,A33,A63,A73,4,A201,1
24,A32,A61,A72,4,A201,1
12,A32,A61,A73,4,A201,1
6,A34,A61,A71,4,A201,1
11,A34,A61,A73,1,A201,1
15,A32,A63,A75,1,A201,1
6,A32,A61,A72,4,A201,1
24,A32,A63,A73,3,A201,1
22,A32,A65,A74,4,A201,1
60,A32,A65,A73,4,A201,1
18,A32,A61,A72,4,A201,1
12,A32,A64,A72,1,A201,1
12,A32,A61,A72,4,A201,1
24,A32,A65,A75,4,A201,1
48,A31,A65,A71,4,A201,1
18,A32,A65,A73,2,A201,1
12,A32,A65,A73,4,A201,1
24,A34,A61,A75,4,A201,1
12,A34,A63,A71,2,A201,1
42,A34,A61,A71,4,A201,1
15,A32,A61,A72,2,A201,1
48,A30,A63,A72,1,A201,1
15,A32,A62,A73,4,A201,1
12,A32,A61,A73,2,A201,1
48,A32,A65,A74,4,A201,1
24,A32,A61,A72,4,A201,1
15,A32,A61,A74,2,A201,1
12,A32,A65,A72,1,A201,1
24,A31,A61,A71,1,A201,2
30,A33,A62,A72,4,A201,2
18,A30,A61,A73,2,A201,2
30,A32,A61,A72,1,A201,2
36,A33,A61,A73,4,A201,2
36,A34,A61,A72,2,A201,2
12,A32,A61,A75,4,A201,2
6,A32,A61,A72,4,A201,2
15,A32,A65,A73,4,A201,2
48,A32,A61,A73,2,A201,2
36,A32,A65,A73,1,A201,2
18,A31,A61,A73,4,A201,2
12,A32,A63,A73,4,A201,2
36,A32,A61,A73,4,A201,2
24,A32,A61,A73,3,A201,2
21,A34,A61,A72,2,A201,2
60,A32,A61,A74,4,A201,2
60,A32,A62,A72,4,A201,2
6,A31,A62,A72,1,A201,2
18,A31,A61,A75,2,A201,2
6,A32,A61,A75,1,A201,2
48,A32,A61,A73,2,A201,2
18,A34,A61,A75,4,A201,2
24,A31,A61,A73,4,A201,2
27,A32,A61,A73,3,A201,2
24,A32,A64,A73,2,A201,2
48,A32,A61,A72,3,A201,2
48,A31,A61,A75,4,A201,2
24,A31,A65,A75,4,A201,2
12,A34,A61,A71,4,A201,2
36,A34,A61,A74,4,A201,2
36,A32,A61,A72,4,A201,2
48,A34,A62,A73,2,A201,2
18,A32,A65,A75,1,A201,2
12,A32,A61,A72,4,A201,2
48,A32,A61,A73,3,A201,2
12,A32,A61,A73,4,A201,2
24,A32,A61,A75,4,A201,2
33,A34,A63,A73,1,A201,2
20,A34,A61,A73,4,A202,2
36,A34,A61,A73,4,A201,2
48,A34,A61,A75,4,A201,2
24,A32,A65,A72,1,A201,2
12,A32,A61,A73,4,A201,2
24,A33,A61,A72,4,A201,2
21,A34,A65,A75,4,A201,2
24,A32,A62,A72,3,A201,2
12,A32,A63,A73,4,A201,2
24,A32,A61,A71,4,A201,2
48,A32,A61,A71,3,A201,2
24,A32,A65,A73,2,A201,2
12,A32,A65,A73,4,A201,2
36,A32,A61,A75,4,A201,2
24,A32,A61,A72,1,A201,2
36,A32,A65,A75,4,A201,2
24,A32,A61,A75,4,A201,2
27,A34,A63,A73,4,A201,2
12,A32,A61,A74,2,A201,2
12,A30,A61,A73,4,A201,2
18,A34,A62,A73,4,A201,2
12,A32,A61,A72,3,A201,2
36,A32,A61,A75,2,A201,2
12,A32,A61,A75,1,A201,2
36,A32,A61,A74,2,A201,2
24,A33,A61,A71,4,A201,2
18,A32,A61,A73,2,A201,2
12,A32,A61,A72,1,A201,2
18,A32,A61,A73,2,A201,2
15,A30,A61,A72,2,A201,2
45,A32,A62,A73,4,A201,2
45,A32,A61,A73,4,A201,2
24,A32,A65,A73,4,A201,2
18,A32,A61,A73,4,A201,2
48,A33,A61,A75,4,A201,2
48,A32,A65,A73,4,A201,2
9,A34,A61,A75,2,A201,2
36,A32,A61,A74,4,A201,2
9,A32,A61,A72,3,A201,2
12,A31,A61,A73,4,A201,2
9,A32,A61,A73,4,A201,2
9,A32,A61,A73,4,A201,2
12,A34,A61,A75,4,A201,2
12,A34,A63,A74,4,A201,2
24,A32,A61,A75,4,A201,2
30,A31,A65,A71,4,A201,2
30,A32,A61,A73,4,A201,2
24,A32,A61,A74,4,A201,2
48,A32,A61,A75,4,A201,2
24,A32,A61,A72,3,A201,2
12,A34,A61,A73,3,A201,2
18,A32,A61,A72,1,A201,2
12,A32,A61,A75,3,A201,2
48,A32,A64,A74,1,A201,2
6,A31,A61,A75,4,A201,2
42,A32,A61,A72,4,A201,2
36,A32,A62,A73,4,A201,2
18,A34,A61,A73,3,A201,2
12,A32,A62,A72,4,A201,2
18,A33,A61,A73,4,A201,2
48,A32,A61,A72,1,A201,2
12,A32,A62,A74,4,A201,2
18,A32,A61,A73,1,A201,2
36,A34,A61,A72,4,A201,2
15,A32,A61,A72,2,A201,2
18,A32,A61,A73,4,A201,2
24,A32,A61,A73,2,A201,2
15,A31,A62,A71,1,A201,2
18,A32,A61,A73,2,A201,2
18,A32,A61,A71,4,A201,2
36,A33,A61,A75,4,A201,2
9,A32,A61,A72,3,A201,2
18,A32,A61,A71,4,A201,2
12,A34,A61,A75,3,A201,2
36,A32,A65,A75,3,A201,2
18,A34,A61,A71,2,A201,2
24,A33,A61,A75,4,A201,2
12,A32,A61,A74,4,A201,2
24,A32,A61,A74,4,A201,2
42,A32,A65,A74,4,A201,2
12,A31,A61,A72,4,A201,2
12,A32,A62,A72,4,A201,2
12,A32,A65,A75,1,A201,2
24,A31,A63,A72,4,A201,2
42,A33,A61,A74,3,A201,2
48,A32,A61,A74,1,A201,2
21,A32,A62,A75,4,A201,2
24,A31,A61,A74,4,A201,2
72,A32,A62,A73,2,A201,2
18,A33,A61,A75,4,A201,2
24,A33,A61,A72,2,A201,2
