@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute Housing {A152,A153,A151}
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A14,36,A153,1,1
A11,12,A152,1,1
A14,12,A151,2,1
A14,24,A152,1,1
A11,18,A153,1,1
A14,24,A152,1,1
A14,48,A152,2,1
A11,24,A151,1,1
A12,30,A152,1,1
A14,12,A152,1,1
A11,12,A153,1,1
A14,48,A153,1,1
A12,36,A152,1,1
A11,15,A152,1,1
A12,9,A152,1,1
A12,9,A152,1,1
A11,21,A152,1,1
A14,21,A152,1,1
A14,18,A152,1,1
A14,9,A151,1,1
A14,30,A152,1,1
A14,12,A152,1,1
A12,24,A152,1,1
A11,36,A152,2,1
A13,24,A152,1,1
A14,12,A151,1,1
A12,18,A151,1,1
A14,24,A152,1,1
A12,6,A152,1,1
A14,7,A151,1,1
A11,18,A152,1,1
A12,10,A153,1,1
A11,20,A152,1,1
A13,12,A151,1,1
A11,12,A151,2,1
A11,21,A151,1,1
A11,24,A152,1,1
A14,36,A152,1,1
A12,9,A151,1,1
A12,18,A152,1,1
A14,18,A152,1,1
A12,24,A151,1,1
A14,24,A152,2,1
A14,9,A152,1,1
A13,12,A152,1,1
A11,8,A153,2,1
A12,16,A153,1,1
A14,24,A152,2,1
A12,12,A151,1,1
A14,12,A152,1,1
A12,13,A152,1,1
A14,15,A152,1,1
A14,24,A152,2,1
A12,6,A152,1,1
A12,18,A152,1,1
A12,8,A152,1,1
A12,24,A152,1,1
A13,18,A152,1,1
A14,18,A153,1,1
A12,6,A152,2,1
A14,9,A152,2,1
A14,15,A151,1,1
A11,15,A151,1,1
A14,18,A152,1,1
A14,60,A152,1,1
A12,48,A152,2,1
A14,12,A152,1,1
A11,24,A152,1,1
A14,12,A152,1,1
A14,18,A152,1,1
A14,24,A152,2,1
A11,24,A152,1,1
A14,10,A152,2,1
A14,21,A152,1,1
A12,24,A152,1,1
A14,24,A152,1,1
A12,9,A152,1,1
A12,21,A152,1,1
A12,36,A152,1,1
A14,21,A152,1,1
A13,12,A153,1,1
A11,24,A152,1,1
A14,5,A152,1,1
A14,30,A151,1,1
A12,24,A153,1,1
A14,10,A151,2,1
A14,6,A152,1,1
A12,21,A152,1,1
A12,18,A151,1,1
A11,30,A152,1,1
A11,12,A152,1,1
A14,15,A151,1,1
A12,12,A152,2,1
A12,42,A153,1,1
A11,21,A152,1,1
A14,6,A152,1,1
A14,12,A152,1,1
A14,12,A152,1,1
A14,6,A151,1,1
A11,12,A152,1,1
A11,24,A151,1,1
A14,6,A151,1,1
A14,12,A152,1,1
A12,12,A152,1,1
A12,12,A152,1,1
A14,24,A152,1,1
A12,18,A152,1,1
A14,15,A153,1,1
A14,10,A152,1,1
A14,24,A152,1,1
A14,39,A152,1,1
A12,24,A152,1,1
A12,18,A152,1,1
A14,36,A152,1,1
A14,24,A152,1,1
A12,10,A152,1,1
A14,18,A152,1,1
A14,24,A152,2,1
A14,24,A152,1,1
A11,15,A152,1,1
A13,15,A151,1,1
A14,6,A152,1,1
A14,24,A152,1,1
A14,6,A152,1,1
A11,30,A153,2,1
A14,12,A152,1,1
A14,18,A152,2,1
A14,12,A152,1,1
A11,12,A153,1,1
A11,36,A153,2,1
A13,12,A151,1,1
A12,30,A152,1,1
A11,15,A152,1,1
A14,48,A152,2,1
A11,12,A151,1,1
A14,24,A152,1,1
A14,9,A152,1,1
A14,36,A152,1,1
A14,12,A151,1,1
A14,18,A152,1,1
A14,48,A152,1,1
A14,6,A153,1,1
A11,21,A152,1,1
A13,6,A152,1,1
A12,30,A152,2,1
A14,6,A152,2,1
A11,12,A152,2,1
A14,10,A153,1,1
A14,27,A152,1,1
A14,4,A152,2,1
A14,18,A152,1,1
A14,21,A152,1,1
A12,26,A152,1,1
A14,18,A152,1,1
A14,60,A152,1,1
A14,24,A152,1,1
A11,24,A152,1,1
A12,36,A152,2,1
A13,10,A152,2,1
A14,18,A152,1,1
A14,11,A152,1,1
A14,12,A152,1,1
A11,6,A152,1,1
A14,12,A152,1,1
A11,20,A152,1,1
A14,21,A152,1,1
A12,12,A152,1,1
A11,12,A152,1,1
A11,30,A151,1,1
A14,12,A152,1,1
A13,24,A152,1,1
A11,24,A152,1,1
A12,36,A152,1,1
A11,12,A152,1,1
A12,24,A151,1,1
A11,12,A152,1,1
A12,9,A152,2,1
A12,10,A152,1,1
A14,12,A152,1,1
A14,15,A153,2,1
A14,12,A152,1,1
A12,6,A152,1,1
A14,15,A152,1,1
A12,15,A152,1,1
A14,24,A153,1,1
A12,6,A151,1,1
A14,36,A152,1,1
A14,6,A152,1,1
A14,18,A152,1,1
A14,36,A152,1,1
A14,30,A152,1,1
A12,36,A152,1,1
A14,18,A152,1,1
A14,30,A152,1,1
A14,18,A152,1,1
A11,18,A151,1,1
A14,6,A151,1,1
A12,12,A151,1,1
A14,24,A152,2,1
A14,30,A152,2,1
A11,6,A152,2,1
A12,20,A152,1,1
A11,6,A152,2,1
A11,30,A151,1,1
A12,18,A151,1,1
A14,24,A152,1,1
A14,15,A152,2,1
A14,48,A152,1,1
A11,39,A152,1,1
A14,36,A152,1,1
A14,12,A152,1,1
A14,24,A152,1,1
A14,12,A151,1,1
A14,6,A151,1,1
A11,11,A152,2,1
A14,12,A152,1,1
A12,48,A153,1,1
A14,24,A152,1,1
A12,18,A151,1,1
A13,36,A152,1,1
A14,36,A152,1,1
A11,6,A152,1,1
A13,12,A152,1,1
A11,15,A151,1,1
A12,6,A152,1,1
A14,24,A152,1,1
A12,48,A152,1,1
A11,8,A152,1,1
A13,24,A152,1,1
A11,18,A151,1,1
A11,12,A152,1,1
A11,13,A152,1,1
A14,12,A152,1,1
A12,13,A152,1,1
A14,9,A152,1,1
A11,6,A151,2,1
A14,36,A152,1,1
A11,6,A152,1,1
A14,6,A152,1,1
A12,18,A152,1,1
A12,12,A152,1,1
A14,24,A153,1,1
A14,15,A152,1,1
A12,12,A152,1,1
A12,15,A152,1,1
A14,15,A152,1,1
A12,18,A152,2,1
A12,12,A151,1,1
A12,30,A152,1,1
A14,24,A152,1,1
A14,6,A152,1,1
A12,12,A152,1,1
A14,24,A152,2,1
A14,4,A152,2,1
A14,24,A152,1,1
A14,24,A152,1,1
A14,30,A151,1,1
A14,48,A153,1,1
A14,15,A153,1,1
A13,24,A151,1,1
A14,22,A151,1,1
A13,24,A152,1,1
A14,9,A151,1,1
A14,36,A152,1,1
A12,9,A152,1,1
A14,36,A153,2,1
A12,27,A152,2,1
A14,6,A151,1,1
A13,6,A152,2,1
A11,24,A152,1,1
A12,8,A152,1,1
A14,24,A152,1,1
A12,24,A152,1,1
A14,12,A152,1,1
A11,48,A153,1,1
A14,21,A152,1,1
A12,24,A152,1,1
A14,24,A152,1,1
A14,10,A152,2,1
A14,48,A152,2,1
A14,24,A152,1,1
A11,18,A151,1,1
A14,6,A152,2,1
A14,12,A152,1,1
A14,36,A152,1,1
A14,30,A152,1,1
A14,36,A152,2,1
A11,27,A152,1,1
A14,6,A152,1,1
A14,10,A151,1,1
A11,9,A152,1,1
A14,15,A152,1,1
A12,36,A152,1,1
A14,24,A152,1,1
A14,15,A151,1,1
A14,36,A152,1,1
A13,24,A152,1,1
A11,12,A152,2,1
A11,24,A152,1,1
A14,10,A152,2,1
A14,36,A152,1,1
A14,24,A152,1,1
A11,12,A152,1,1
A11,12,A152,2,1
A11,9,A151,2,1
A13,10,A152,1,1
A14,9,A151,2,1
A14,4,A152,2,1
A14,24,A152,1,1
A14,15,A152,1,1
A14,6,A152,2,1
A14,6,A152,1,1
A14,9,A151,1,1
A11,6,A153,1,1
A14,12,A152,1,1
A14,24,A151,1,1
A12,60,A152,1,1
A11,24,A153,1,1
A14,24,A153,1,1
A14,24,A152,1,1
A14,60,A152,1,1
A11,10,A151,2,1
A14,24,A152,1,1
A11,47,A152,1,1
A14,24,A152,1,1
A11,24,A152,2,1
A11,18,A151,1,1
A14,10,A151,1,1
A11,6,A152,1,1
A12,11,A152,1,1
A14,10,A152,1,1
A12,11,A152,1,1
A14,36,A153,1,1
A12,39,A151,1,1
A14,12,A151,1,1
A14,18,A152,1,1
A11,21,A151,1,1
A11,15,A152,1,1
A14,15,A152,1,1
A11,30,A152,1,1
A14,12,A152,1,1
A14,36,A152,1,1
A11,10,A152,1,1
A12,18,A152,2,1
A12,24,A153,1,1
A12,48,A153,1,1
A14,21,A152,1,1
A13,9,A152,1,1
A12,21,A152,1,1
A14,15,A152,1,1
A11,15,A152,2,1
A14,15,A152,1,1
A14,9,A152,1,1
A11,6,A152,1,1
A11,9,A152,2,1
A12,18,A152,1,1
A11,21,A152,1,1
A12,15,A152,1,1
A14,12,A153,1,1
A11,10,A151,1,1
A13,12,A152,1,1
A12,12,A152,1,1
A14,28,A152,1,1
A12,12,A152,1,1
A14,18,A151,1,1
A14,60,A153,1,1
A14,9,A152,2,1
A13,15,A152,1,1
A11,14,A153,1,1
A14,12,A151,1,1
A14,6,A152,2,1
A11,24,A153,2,1
A14,22,A152,1,1
A12,24,A152,1,1
A14,24,A152,1,1
A12,6,A152,1,1
A14,24,A151,1,1
A11,12,A152,1,1
A14,13,A152,1,1
A14,6,A153,2,1
A14,10,A151,1,1
A12,36,A151,1,1
A14,12,A152,1,1
A12,12,A152,1,1
A14,6,A151,1,1
A14,12,A152,2,1
A14,24,A152,1,1
A14,36,A152,1,1
A11,6,A152,1,1
A14,10,A152,1,1
A14,28,A151,2,1
A12,18,A152,1,1
A14,12,A153,1,1
A12,24,A152,1,1
A11,8,A152,1,1
A14,18,A152,1,1
A14,4,A151,2,1
A14,18,A151,1,1
A12,30,A152,1,1
A11,24,A151,1,1
A12,6,A152,1,1
A13,30,A152,1,1
A14,15,A151,1,1
A11,12,A152,1,1
A14,12,A152,1,1
A13,6,A152,1,1
A14,24,A152,1,1
A13,6,A152,2,1
A11,18,A152,2,1
A12,18,A152,1,1
A14,33,A152,1,1
A13,10,A152,1,1
A12,8,A152,1,1
A12,12,A152,1,1
A14,6,A152,1,1
A13,12,A152,1,1
A14,36,A152,1,1
A13,12,A152,1,1
A13,15,A151,1,1
A12,18,A152,1,1
A14,9,A151,1,1
A11,12,A151,2,1
A12,9,A152,1,1
A14,24,A152,1,1
A12,48,A152,1,1
A14,15,A152,1,1
A12,12,A152,1,1
A11,18,A152,1,1
A12,48,A153,1,1
A12,27,A152,1,1
A12,21,A152,1,1
A11,12,A151,1,1
A14,6,A152,2,1
A12,12,A152,1,1
A13,15,A153,1,2
A12,6,A151,2,2
A11,18,A152,1,2
A12,18,A152,2,2
A14,24,A152,2,2
A12,60,A153,1,2
A12,48,A152,1,2
A11,36,A152,1,2
A12,30,A152,1,2
A12,9,A152,1,2
A11,24,A152,1,2
A11,36,A152,1,2
A12,48,A153,1,2
A14,18,A152,1,2
A11,48,A152,1,2
A12,30,A152,1,2
A12,24,A151,1,2
A12,12,A151,1,2
A11,28,A152,1,2
A12,12,A151,1,2
A11,12,A151,1,2
A14,48,A152,1,2
A12,8,A152,1,2
A12,12,A151,1,2
A14,27,A151,1,2
A11,20,A151,1,2
A12,48,A152,1,2
A11,18,A151,1,2
A12,24,A152,2,2
A11,12,A152,1,2
A11,24,A151,1,2
A11,36,A152,2,2
A11,18,A152,1,2
A14,36,A152,1,2
A11,24,A151,1,2
A13,18,A152,2,2
A14,36,A152,1,2
A11,18,A152,1,2
A12,12,A152,1,2
A11,45,A153,1,2
A13,12,A152,1,2
A11,12,A152,1,2
A11,12,A153,1,2
A12,54,A151,1,2
A14,18,A152,1,2
A11,12,A152,1,2
A12,24,A151,1,2
A11,18,A151,1,2
A11,18,A152,1,2
A11,18,A152,1,2
A11,30,A152,1,2
A12,18,A151,1,2
A11,24,A151,1,2
A12,18,A152,1,2
A12,48,A152,1,2
A11,24,A152,1,2
A11,24,A151,1,2
A12,60,A153,1,2
A11,24,A152,1,2
A12,18,A152,1,2
A11,24,A151,1,2
A12,9,A152,1,2
A12,48,A152,1,2
A11,48,A153,2,2
A14,36,A151,1,2
A11,12,A153,1,2
A12,24,A152,1,2
A11,24,A153,2,2
A11,24,A152,1,2
A14,6,A152,1,2
A14,21,A152,2,2
A11,12,A151,1,2
A11,9,A153,1,2
A12,60,A152,1,2
A11,12,A152,1,2
A14,21,A153,1,2
A11,6,A153,1,2
A12,48,A152,1,2
A11,48,A153,1,2
A11,12,A152,1,2
A14,18,A152,1,2
A12,18,A152,1,2
A11,12,A152,1,2
A11,18,A151,1,2
A12,24,A151,1,2
A13,24,A152,2,2
A11,12,A151,1,2
A11,24,A151,1,2
A12,30,A151,1,2
A11,48,A151,1,2
A11,18,A152,1,2
A12,27,A152,2,2
A14,36,A152,1,2
A11,30,A152,1,2
A11,21,A152,1,2
A14,18,A152,1,2
A14,24,A152,1,2
A12,30,A152,1,2
A12,30,A152,1,2
A12,36,A151,1,2
A11,30,A152,1,2
A12,12,A152,1,2
A11,36,A152,1,2
A12,24,A153,1,2
A11,36,A152,1,2
A11,42,A152,1,2
A12,18,A152,1,2
A12,18,A153,1,2
A12,48,A151,1,2
A12,30,A151,1,2
A11,6,A152,1,2
A14,18,A152,2,2
A11,12,A152,1,2
A14,48,A151,1,2
A11,6,A152,1,2
A12,12,A152,1,2
A11,24,A151,1,2
A12,15,A152,2,2
A12,12,A152,1,2
A11,24,A152,1,2
A12,36,A153,1,2
A11,15,A152,1,2
A11,15,A151,2,2
A12,12,A151,1,2
A13,36,A152,1,2
A12,9,A152,1,2
A12,15,A152,1,2
A14,48,A153,1,2
A11,60,A151,1,2
A13,15,A152,1,2
A11,9,A152,1,2
A11,16,A151,1,2
A13,30,A152,1,2
A14,9,A151,1,2
A11,21,A152,1,2
A14,36,A151,1,2
A11,48,A153,1,2
A13,12,A152,1,2
A11,45,A151,1,2
A14,18,A152,1,2
A12,24,A152,1,2
A11,36,A153,1,2
A11,24,A152,1,2
A14,12,A153,2,2
A11,18,A152,1,2
A11,24,A151,2,2
A12,6,A152,1,2
A14,21,A152,1,2
A11,42,A152,2,2
A12,9,A153,2,2
A11,18,A151,1,2
A12,12,A152,1,2
A11,48,A153,1,2
A13,10,A153,2,2
A11,36,A152,2,2
A12,15,A151,1,2
A11,18,A151,1,2
A12,24,A152,2,2
A11,24,A151,2,2
A12,9,A152,1,2
A11,24,A152,1,2
A14,36,A152,1,2
A12,12,A151,1,2
A14,15,A152,1,2
A11,12,A152,1,2
A11,15,A151,1,2
A11,24,A152,1,2
A12,12,A152,1,2
A11,12,A152,1,2
A11,12,A152,1,2
A12,27,A152,1,2
A11,18,A153,1,2
A12,36,A152,1,2
A12,45,A152,1,2
A11,12,A152,1,2
A11,36,A152,1,2
A12,6,A152,1,2
A13,21,A151,1,2
A12,48,A152,1,2
A12,24,A152,1,2
A12,12,A152,2,2
A14,24,A152,1,2
A12,30,A152,1,2
A14,24,A152,1,2
A12,24,A152,1,2
A11,24,A152,1,2
A12,36,A152,1,2
A11,14,A152,1,2
A11,24,A153,2,2
A11,24,A153,2,2
A14,12,A152,2,2
A13,24,A153,2,2
A12,45,A151,1,2
A11,36,A152,1,2
A13,9,A152,1,2
A12,24,A152,1,2
A12,72,A152,1,2
A14,36,A153,1,2
A12,60,A152,1,2
A11,12,A152,1,2
A11,42,A152,1,2
A13,9,A152,1,2
A12,48,A152,1,2
A12,36,A153,1,2
A12,24,A152,1,2
A11,24,A151,1,2
A14,24,A152,1,2
A14,9,A152,1,2
A11,27,A152,1,2
A12,39,A152,1,2
A12,48,A153,2,2
A12,15,A151,1,2
A12,36,A151,1,2
A14,12,A152,2,2
A12,24,A151,1,2
A14,18,A151,1,2
A12,48,A152,1,2
A12,9,A153,2,2
A14,36,A152,1,2
A11,48,A152,1,2
A12,12,A152,1,2
A11,12,A153,1,2
A11,40,A152,1,2
A11,48,A152,1,2
A11,24,A151,1,2
A11,60,A152,1,2
A12,21,A151,1,2
A11,24,A152,1,2
A11,18,A152,1,2
A12,36,A153,1,2
A11,48,A151,1,2
A11,36,A152,1,2
A11,12,A152,1,2
A11,48,A153,2,2
A12,24,A152,1,2
A12,36,A151,1,2
A14,12,A151,1,2
A14,30,A152,1,2
A12,36,A153,1,2
A14,18,A152,2,2
A11,9,A151,1,2
A11,36,A151,1,2
A11,21,A152,2,2
A14,10,A151,1,2
A11,12,A152,1,2
A11,36,A152,2,2
A11,24,A152,1,2
A11,30,A151,1,2
A12,18,A152,1,2
A12,21,A152,2,2
A14,18,A152,1,2
A12,27,A153,1,2
A11,24,A152,1,2
A11,12,A151,2,2
A11,18,A153,2,2
A12,48,A152,1,2
A11,12,A152,1,2
A14,12,A152,1,2
A12,36,A153,2,2
A12,9,A152,1,2
A11,36,A152,1,2
A11,48,A153,2,2
A11,33,A152,1,2
A12,12,A152,1,2
A12,24,A152,1,2
A13,18,A152,1,2
A11,24,A152,1,2
A14,24,A152,1,2
A12,15,A152,2,2
A11,18,A151,1,2
