@relation german

@attribute CreditAmount numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Property {A121,A122,A124,A123}
@attribute Age numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
708,A61,A122,38,A191,1
846,A65,A124,36,A191,1
3021,A61,A121,24,A191,1
7418,A65,A121,27,A191,1
3835,A65,A121,45,A192,1
760,A61,A121,44,A191,1
2028,A65,A123,30,A191,1
585,A61,A121,20,A191,1
2923,A62,A123,28,A192,1
3062,A63,A124,32,A192,1
2957,A61,A122,63,A192,1
4657,A61,A123,30,A192,1
2825,A65,A124,34,A192,1
3566,A62,A123,30,A191,1
6110,A61,A124,31,A192,1
2930,A61,A121,27,A191,1
1155,A61,A121,40,A191,1
7238,A65,A123,32,A191,1
1574,A61,A121,50,A191,1
1516,A64,A121,43,A191,1
1817,A61,A124,28,A191,1
932,A61,A121,24,A191,1
1204,A62,A124,35,A191,1
1068,A61,A123,28,A191,1
3017,A61,A121,34,A191,1
2899,A65,A123,43,A191,1
1602,A61,A123,30,A192,1
1301,A61,A121,32,A191,1
2828,A63,A121,22,A192,1
250,A64,A121,41,A191,1
3872,A61,A123,67,A192,1
3077,A65,A123,40,A192,1
1300,A65,A124,45,A191,1
1264,A65,A124,57,A191,1
1505,A61,A124,32,A192,1
2058,A61,A121,33,A192,1
4169,A61,A122,28,A191,1
7432,A61,A122,54,A191,1
3599,A61,A123,26,A191,1
9436,A65,A122,39,A191,1
454,A61,A122,22,A191,1
12169,A65,A124,36,A192,1
362,A62,A123,52,A191,1
1740,A61,A121,30,A191,1
894,A65,A122,40,A192,1
1374,A65,A122,75,A192,1
1603,A61,A123,55,A191,1
3578,A65,A121,47,A192,1
2146,A61,A121,23,A191,1
3181,A61,A122,26,A192,1
1283,A65,A122,25,A191,1
1049,A61,A122,21,A191,1
1532,A62,A123,31,A191,1
652,A61,A122,24,A191,1
1469,A62,A121,41,A191,1
1474,A61,A122,33,A192,1
2326,A63,A123,27,A191,1
2872,A62,A121,36,A192,1
874,A65,A121,24,A191,1
1766,A61,A122,21,A191,1
2337,A61,A121,36,A191,1
3763,A65,A121,24,A191,1
1893,A61,A122,29,A192,1
2301,A62,A122,22,A191,1
1200,A65,A122,23,A192,1
1881,A61,A123,44,A192,1
999,A65,A123,25,A191,1
7966,A61,A123,30,A191,1
1028,A61,A121,36,A191,1
707,A61,A121,30,A191,1
2647,A63,A121,44,A191,1
2348,A61,A122,46,A192,1
3331,A61,A122,42,A191,1
2255,A65,A122,54,A191,1
1845,A61,A122,46,A191,1
2073,A62,A121,28,A191,1
1338,A63,A121,62,A191,1
882,A61,A121,23,A191,1
8947,A65,A123,31,A192,1
3976,A65,A123,35,A192,1
7308,A61,A124,70,A192,1
1872,A61,A124,36,A192,1
3416,A61,A123,27,A191,1
717,A65,A123,54,A192,1
3812,A62,A123,23,A192,1
1533,A61,A123,38,A192,1
7057,A65,A122,36,A192,1
1038,A61,A122,49,A192,1
753,A61,A121,64,A191,1
7393,A61,A122,43,A191,1
1768,A61,A121,24,A191,1
1221,A65,A122,27,A191,1
3832,A61,A122,22,A191,1
1473,A61,A121,39,A192,1
1418,A62,A121,35,A191,1
1493,A61,A123,34,A191,1
1158,A63,A123,26,A192,1
3485,A65,A121,44,A192,1
2759,A61,A122,34,A191,1
3939,A61,A121,40,A191,1
1347,A65,A122,27,A192,1
3959,A61,A122,30,A192,1
6842,A65,A122,46,A192,1
1743,A62,A121,34,A191,1
338,A63,A123,52,A191,1
1747,A61,A122,24,A191,1
3758,A63,A124,23,A191,1
6361,A61,A124,41,A192,1
2333,A65,A122,29,A191,1
2745,A64,A123,32,A192,1
907,A61,A121,26,A192,1
1053,A61,A121,27,A191,1
2108,A61,A121,29,A191,1
2333,A63,A123,30,A191,1
5804,A64,A121,27,A191,1
11760,A62,A124,32,A192,1
6468,A65,A121,60,A192,1
1244,A65,A122,41,A191,1
3913,A61,A121,23,A192,1
2032,A61,A124,60,A192,1
886,A65,A123,21,A191,1
3074,A65,A121,33,A191,1
2743,A61,A123,29,A191,1
2578,A61,A124,55,A191,1
2569,A63,A123,24,A191,1
2522,A61,A122,39,A191,1
2096,A61,A121,49,A191,1
1940,A64,A121,60,A192,1
2366,A63,A123,36,A192,1
2375,A63,A123,44,A192,1
6403,A61,A123,33,A191,1
1154,A61,A121,37,A191,1
1262,A63,A122,36,A192,1
2483,A63,A121,22,A192,1
1297,A61,A121,23,A191,1
1860,A61,A123,34,A192,1
4771,A61,A122,51,A191,1
8487,A65,A123,24,A191,1
10144,A62,A121,21,A192,1
3595,A61,A123,28,A191,1
1592,A64,A122,35,A191,1
5711,A64,A123,38,A192,1
1313,A61,A123,20,A191,1
5084,A65,A123,42,A192,1
1258,A61,A121,25,A192,1
1453,A61,A121,26,A191,1
2238,A61,A123,25,A191,1
343,A61,A121,27,A191,1
1352,A63,A122,23,A192,1
6527,A65,A124,34,A192,1
1995,A62,A123,27,A191,1
2896,A62,A123,29,A191,1
1092,A61,A121,49,A192,1
1374,A61,A121,36,A192,1
2241,A61,A121,50,A191,1
5190,A65,A122,48,A192,1
5965,A61,A123,30,A192,1
3249,A61,A124,39,A192,1
1880,A61,A122,32,A192,1
2662,A65,A122,32,A191,1
1936,A65,A123,23,A191,1
3622,A64,A122,57,A192,1
3757,A61,A124,62,A192,1
8072,A65,A123,25,A191,1
2831,A61,A123,33,A192,1
3069,A62,A124,30,A191,1
3949,A61,A122,37,A191,1
385,A61,A121,58,A192,1
1680,A63,A121,35,A191,1
2901,A65,A121,31,A191,1
3590,A61,A122,29,A191,1
2002,A61,A122,30,A192,1
2197,A65,A123,43,A192,1
3656,A65,A122,49,A191,1
4272,A61,A122,24,A191,1
1322,A64,A123,40,A191,1
4712,A65,A122,37,A192,1
2241,A61,A121,48,A191,1
2051,A61,A121,33,A191,1
1979,A65,A123,35,A191,1
1278,A61,A121,36,A192,1
1050,A61,A122,35,A192,1
3568,A61,A123,54,A192,1
1750,A63,A122,45,A191,1
4139,A62,A122,27,A192,1
4583,A61,A121,32,A191,1
8471,A65,A123,23,A192,1
6568,A61,A123,21,A191,1
2679,A61,A124,29,A192,1
2576,A61,A121,35,A191,1
7253,A61,A123,35,A192,1
5433,A65,A122,26,A192,1
3780,A61,A123,35,A192,1
1364,A61,A123,64,A192,1
5248,A65,A123,26,A191,1
1478,A61,A121,33,A191,1
1262,A65,A122,49,A192,1
1924,A61,A122,38,A192,1
1433,A61,A122,25,A191,1
1721,A61,A121,36,A191,1
1236,A61,A121,23,A192,1
1055,A61,A122,30,A191,1
3652,A61,A122,27,A191,1
2132,A65,A121,27,A191,1
2613,A61,A123,27,A191,1
1076,A61,A121,26,A192,1
1919,A61,A123,35,A192,1
2389,A61,A123,27,A191,1
2028,A61,A122,30,A191,1
1554,A61,A123,24,A192,1
2684,A61,A121,35,A191,1
7472,A65,A121,24,A191,1
763,A61,A121,26,A192,1
2577,A61,A123,42,A191,1
2329,A61,A121,45,A191,1
2993,A61,A121,28,A191,1
7596,A65,A123,63,A191,1
3105,A65,A123,25,A191,1
2118,A61,A121,37,A191,1
1542,A61,A123,36,A192,1
1393,A61,A123,35,A191,1
1409,A61,A121,54,A191,1
1275,A64,A121,36,A192,1
1287,A65,A122,45,A191,1
929,A65,A123,31,A192,1
1275,A61,A122,23,A191,1
1199,A61,A122,67,A192,1
1231,A61,A121,32,A191,1
1800,A61,A123,24,A191,1
10623,A61,A124,38,A192,1
5866,A62,A123,30,A192,1
12749,A63,A123,37,A192,1
428,A61,A122,49,A192,1
10722,A61,A121,35,A192,1
8613,A64,A123,27,A191,1
1138,A61,A121,25,A191,1
4576,A62,A123,27,A191,1
1797,A61,A122,28,A191,1
3832,A65,A121,64,A191,1
4811,A65,A122,24,A191,1
2442,A61,A123,43,A192,1
1409,A62,A121,64,A191,1
2116,A61,A121,41,A192,1
1393,A61,A122,47,A192,1
2848,A62,A121,32,A191,1
2427,A65,A122,42,A191,1
860,A61,A124,39,A192,1
3148,A65,A123,31,A192,1
609,A61,A122,37,A191,1
930,A65,A121,65,A191,1
909,A63,A122,36,A191,1
1935,A61,A121,43,A192,1
1597,A61,A124,54,A191,1
1412,A61,A121,29,A192,1
937,A61,A123,27,A191,1
1820,A61,A122,30,A192,1
3399,A65,A123,37,A191,1
3573,A61,A121,23,A191,1
1403,A61,A123,28,A191,1
2320,A61,A121,34,A191,1
4679,A61,A123,35,A192,1
3590,A61,A123,40,A192,1
1413,A64,A122,55,A191,1
701,A61,A121,40,A191,1
1126,A62,A121,49,A191,1
1905,A61,A123,40,A192,1
2030,A65,A123,24,A192,1
13756,A65,A124,63,A192,1
2141,A62,A124,35,A191,1
4272,A62,A122,26,A191,1
3343,A61,A124,28,A192,1
2659,A64,A123,28,A191,1
2764,A61,A123,26,A192,1
2212,A65,A123,39,A192,1
2675,A63,A123,40,A191,1
2406,A61,A123,31,A191,1
1478,A61,A123,44,A192,1
3029,A61,A123,33,A191,1
2507,A63,A124,51,A191,1
1927,A65,A123,33,A192,1
5150,A61,A123,33,A192,1
1330,A61,A121,26,A191,1
3857,A61,A122,40,A192,1
996,A65,A121,23,A191,1
10875,A61,A123,45,A192,1
3430,A63,A123,31,A192,1
1480,A63,A124,66,A191,1
2812,A65,A121,26,A191,1
2728,A65,A121,35,A192,1
1901,A62,A123,29,A192,1
1755,A61,A121,58,A192,1
5302,A61,A124,36,A192,1
1414,A61,A121,33,A191,1
5511,A62,A123,25,A191,1
3650,A61,A123,22,A191,1
5742,A62,A123,31,A192,1
3059,A64,A121,61,A191,1
2503,A62,A122,41,A191,1
7476,A61,A124,50,A192,1
2631,A62,A121,25,A191,1
1657,A61,A121,27,A191,1
409,A64,A121,42,A191,1
3878,A62,A123,37,A192,1
4042,A63,A121,36,A192,1
2753,A62,A123,35,A192,1
2171,A61,A122,38,A191,1
3556,A65,A124,29,A191,1
1224,A61,A121,30,A191,1
1591,A62,A121,34,A191,1
2273,A61,A123,32,A191,1
1376,A63,A123,28,A191,1
1377,A62,A124,47,A192,1
2063,A61,A123,30,A192,1
3676,A61,A121,37,A191,1
9277,A65,A124,48,A192,1
1361,A61,A121,40,A191,1
2390,A65,A123,50,A192,1
2299,A63,A123,39,A191,1
2247,A61,A123,36,A192,1
932,A65,A122,39,A191,1
5371,A61,A122,28,A191,1
2325,A62,A123,32,A191,1
2445,A65,A123,26,A192,1
5771,A61,A123,25,A191,1
2603,A64,A123,28,A192,1
1236,A63,A122,50,A191,1
1525,A64,A123,34,A192,1
1538,A61,A124,56,A191,1
1474,A62,A121,33,A192,1
3496,A64,A123,34,A192,1
1098,A61,A123,65,A191,1
6419,A61,A124,44,A192,1
8588,A62,A123,45,A192,1
2121,A61,A122,30,A191,1
1553,A62,A122,23,A192,1
666,A64,A121,39,A192,1
1521,A61,A123,31,A191,1
4594,A61,A123,32,A192,1
3594,A61,A122,46,A191,1
4675,A65,A123,20,A191,1
3620,A61,A122,37,A191,1
2415,A61,A121,34,A191,1
3868,A61,A123,41,A192,1
1364,A61,A121,59,A191,1
7721,A65,A122,30,A192,1
339,A61,A123,45,A191,1
841,A62,A121,23,A191,1
1231,A64,A122,57,A192,1
1258,A63,A123,57,A191,1
1715,A65,A123,26,A191,1
6204,A61,A121,44,A192,1
1597,A63,A124,40,A191,1
1449,A61,A123,27,A191,1
9157,A65,A124,27,A191,1
2924,A61,A124,63,A192,1
776,A61,A121,28,A191,1
5152,A61,A123,25,A191,1
2134,A61,A123,48,A192,1
1544,A61,A121,42,A191,1
2859,A65,A124,38,A192,1
3612,A61,A122,37,A192,1
2622,A62,A123,34,A191,1
2069,A65,A123,26,A191,1
4526,A64,A121,32,A192,1
3527,A65,A122,45,A192,1
2424,A65,A122,53,A191,1
1323,A62,A123,28,A192,1
7166,A65,A122,29,A192,1
4795,A61,A124,30,A192,1
1402,A63,A123,37,A192,1
1984,A61,A124,47,A191,1
1934,A61,A124,26,A191,1
4221,A61,A123,28,A191,1
1940,A61,A124,36,A192,1
2611,A61,A121,46,A191,1
2779,A61,A123,21,A192,1
2476,A65,A121,46,A192,1
983,A64,A121,19,A191,1
2133,A65,A124,52,A192,1
3186,A64,A123,20,A191,1
3077,A61,A123,52,A192,1
1239,A65,A124,61,A191,1
1382,A61,A123,28,A192,1
1887,A65,A121,28,A191,1
3104,A61,A122,31,A192,1
2687,A61,A122,26,A192,1
2515,A61,A121,43,A192,1
3660,A61,A123,28,A191,1
3651,A64,A122,31,A191,1
8358,A63,A123,30,A191,1
3617,A61,A123,28,A192,1
3979,A65,A123,41,A192,1
783,A65,A121,26,A191,1
3342,A65,A123,51,A192,1
1829,A61,A123,46,A192,1
1498,A61,A123,23,A191,1
1393,A61,A121,31,A192,1
1913,A64,A121,36,A192,1
700,A65,A124,36,A191,1
1514,A62,A121,22,A191,1
6304,A65,A121,36,A191,1
1103,A61,A121,29,A191,1
4454,A61,A121,34,A191,1
2360,A63,A123,36,A192,1
1316,A63,A122,47,A191,1
9055,A65,A124,35,A192,1
2353,A61,A122,47,A191,1
3509,A61,A121,25,A191,1
2181,A65,A121,36,A191,1
1344,A61,A121,43,A191,1
672,A61,A121,54,A192,1
804,A61,A123,38,A191,1
1963,A61,A123,31,A192,1
3235,A63,A123,26,A192,1
2251,A61,A123,46,A191,1
2760,A65,A124,36,A192,1
7582,A62,A124,31,A192,1
1346,A62,A124,42,A192,1
1101,A61,A121,27,A192,1
1655,A61,A121,63,A192,1
2012,A65,A123,61,A191,1
3609,A61,A121,27,A191,1
3643,A61,A122,27,A191,1
1585,A61,A122,40,A191,1
2782,A63,A123,31,A191,1
1582,A64,A123,46,A191,1
6148,A62,A123,31,A192,1
1503,A61,A121,42,A191,1
2670,A61,A123,35,A192,1
3422,A61,A122,47,A192,1
3617,A65,A124,20,A191,1
8858,A65,A124,35,A192,1
2528,A61,A122,32,A192,1
2288,A61,A122,23,A192,1
2249,A62,A123,30,A192,1
392,A61,A122,23,A192,1
2394,A65,A123,25,A191,1
1262,A61,A123,25,A191,1
2223,A62,A122,52,A191,1
2136,A61,A121,25,A191,1
522,A63,A122,42,A192,1
2751,A65,A123,38,A192,1
1459,A61,A123,43,A191,1
7758,A64,A124,29,A191,1
754,A65,A122,38,A191,1
1169,A65,A122,29,A192,1
4526,A61,A121,74,A192,1
4796,A61,A124,56,A191,1
6078,A61,A123,32,A191,1
6314,A61,A124,27,A192,1
709,A64,A121,27,A191,1
1965,A65,A123,42,A192,1
2862,A62,A124,30,A191,1
1795,A61,A121,48,A192,1
7629,A65,A123,46,A191,1
3777,A64,A121,50,A192,1
7814,A61,A123,38,A192,1
6260,A61,A121,28,A191,1
6579,A61,A124,29,A192,1
571,A61,A121,65,A191,1
1318,A64,A121,54,A192,1
1308,A61,A123,38,A191,1
1295,A61,A122,27,A191,1
15653,A61,A123,21,A192,1
701,A61,A123,32,A191,1
2101,A61,A122,23,A191,1
2799,A61,A121,36,A191,1
1258,A61,A122,22,A191,1
1410,A61,A121,31,A192,1
781,A61,A124,63,A192,1
1568,A62,A122,24,A191,1
2384,A61,A121,64,A191,1
1503,A61,A121,41,A191,1
2214,A61,A122,24,A191,1
2978,A63,A123,32,A192,1
1620,A61,A122,30,A191,1
3448,A61,A121,74,A191,1
1569,A62,A123,34,A191,1
629,A63,A122,32,A192,1
1289,A61,A122,21,A191,1
5324,A63,A124,35,A191,1
6289,A61,A122,33,A191,1
4042,A65,A122,43,A192,1
6615,A61,A124,75,A192,1
1577,A64,A121,20,A191,1
3124,A61,A121,49,A191,1
3488,A62,A123,23,A191,1
2331,A65,A121,49,A192,1
4153,A61,A123,42,A191,2
8335,A65,A124,47,A191,2
3414,A61,A122,26,A191,2
2292,A61,A123,42,A192,2
2520,A63,A122,23,A191,2
3060,A61,A121,28,A191,2
9398,A61,A123,28,A192,2
4736,A61,A123,25,A191,2
976,A61,A123,23,A191,2
3552,A61,A123,27,A191,2
1842,A61,A123,34,A192,2
7763,A61,A124,42,A191,2
6224,A61,A124,50,A191,2
3384,A61,A121,44,A192,2
836,A62,A122,23,A191,2
2039,A61,A122,22,A192,2
1082,A61,A123,48,A191,2
4280,A62,A123,26,A191,2
1216,A61,A123,23,A192,2
2996,A65,A123,20,A191,2
4455,A61,A121,30,A192,2
1237,A61,A121,24,A191,2
685,A61,A123,25,A191,2
691,A61,A122,35,A191,2
1345,A61,A121,26,A191,2
4611,A61,A122,32,A191,2
1823,A61,A123,30,A191,2
1555,A64,A124,55,A191,2
5951,A61,A121,22,A191,2
4308,A61,A122,24,A191,2
931,A62,A122,32,A191,2
12612,A62,A124,47,A192,2
8648,A61,A123,27,A192,2
15672,A61,A123,23,A192,2
745,A61,A121,28,A191,2
2631,A62,A123,28,A192,2
4605,A61,A124,24,A191,2
6836,A61,A124,63,A192,2
14421,A61,A123,25,A192,2
1344,A65,A121,37,A191,2
12389,A65,A124,37,A192,2
11560,A61,A123,23,A191,2
448,A61,A122,23,A191,2
5595,A62,A123,24,A191,2
1924,A65,A121,27,A191,2
1977,A65,A124,40,A192,2
2625,A61,A122,43,A192,2
7511,A65,A122,51,A192,2
697,A61,A123,46,A192,2
1442,A61,A124,32,A191,2
1207,A61,A122,24,A191,2
3108,A61,A122,31,A191,2
7174,A65,A123,30,A192,2
3349,A63,A124,30,A192,2
5129,A61,A124,74,A192,2
2124,A61,A121,24,A191,2
2580,A63,A121,41,A191,2
1108,A61,A121,28,A191,2
2462,A61,A123,22,A191,2
1372,A61,A123,36,A191,2
2384,A61,A124,33,A191,2
4113,A63,A123,28,A191,2
1333,A61,A121,43,A191,2
4210,A61,A123,26,A191,2
1223,A61,A121,46,A191,2
4817,A61,A122,31,A192,2
3031,A62,A122,21,A191,2
6143,A61,A124,58,A191,2
4110,A61,A124,23,A191,2
1285,A65,A124,32,A191,2
1355,A61,A123,25,A192,2
1188,A61,A122,39,A191,2
11590,A62,A123,24,A191,2
15945,A61,A124,58,A192,2
9629,A61,A123,24,A192,2
2246,A61,A122,60,A191,2
2864,A61,A121,34,A191,2
1282,A62,A123,32,A191,2
1309,A65,A122,27,A191,2
9960,A61,A123,26,A192,2
1371,A65,A121,25,A191,2
1190,A61,A124,55,A191,2
1275,A65,A123,24,A191,2
14896,A61,A124,68,A192,2
12976,A61,A124,38,A192,2
5179,A61,A122,29,A191,2
6887,A61,A122,29,A192,2
3092,A62,A123,22,A192,2
2039,A61,A121,20,A191,2
2439,A61,A121,35,A192,2
4623,A62,A122,40,A192,2
654,A61,A123,28,A191,2
2235,A61,A122,33,A191,2
1295,A61,A123,25,A191,2
3844,A62,A124,34,A191,2
14555,A65,A122,23,A192,2
2473,A61,A123,25,A191,2
4249,A61,A123,28,A191,2
1024,A61,A121,48,A191,2
626,A61,A121,24,A191,2
7408,A62,A122,24,A191,2
3965,A61,A123,34,A191,2
1381,A65,A122,35,A191,2
433,A64,A122,24,A191,2
2600,A61,A124,65,A191,2
4281,A63,A123,23,A191,2
11998,A61,A124,34,A192,2
888,A61,A123,41,A191,2
1778,A61,A121,26,A191,2
3446,A61,A123,42,A191,2
8086,A62,A123,42,A192,2
3804,A61,A123,42,A192,2
3915,A61,A123,36,A192,2
1240,A62,A124,48,A191,2
1282,A61,A123,20,A191,2
5293,A61,A122,50,A192,2
14318,A61,A124,57,A192,2
951,A62,A123,27,A191,2
766,A63,A121,66,A191,2
759,A61,A121,26,A191,2
6288,A61,A124,42,A191,2
6199,A61,A122,28,A192,2
12579,A61,A124,44,A192,2
3931,A61,A124,46,A191,2
709,A61,A121,57,A191,2
1908,A61,A121,66,A192,2
795,A61,A122,53,A191,2
7685,A61,A123,37,A191,2
6560,A62,A122,24,A191,2
2397,A63,A123,35,A192,2
1274,A61,A121,37,A191,2
950,A61,A123,33,A191,2
1337,A61,A123,34,A192,2
8386,A61,A122,49,A191,2
2278,A62,A123,28,A191,2
1845,A61,A124,23,A192,2
939,A63,A121,28,A192,2
4297,A61,A124,40,A192,2
6761,A65,A123,68,A191,2
1819,A61,A124,37,A192,2
6331,A61,A124,46,A192,2
1953,A61,A124,61,A192,2
3914,A65,A121,38,A191,2
2327,A61,A121,25,A191,2
14027,A61,A124,27,A192,2
1442,A61,A123,23,A191,2
6872,A61,A122,55,A192,2
684,A61,A123,40,A191,2
3499,A61,A121,29,A191,2
1366,A61,A122,22,A191,2
674,A62,A122,20,A191,2
1659,A61,A123,29,A192,2
8229,A61,A122,26,A191,2
2319,A61,A123,33,A191,2
2767,A62,A123,61,A191,2
3621,A62,A123,31,A191,2
4006,A61,A123,45,A191,2
3959,A61,A122,29,A192,2
2579,A61,A121,33,A191,2
3345,A61,A122,39,A192,2
1533,A61,A122,43,A191,2
2100,A61,A121,37,A191,2
1980,A61,A123,19,A191,2
1864,A62,A121,30,A191,2
1922,A61,A122,37,A191,2
902,A61,A122,21,A191,2
727,A62,A124,33,A192,2
1209,A61,A122,47,A192,2
5003,A65,A122,29,A192,2
6350,A65,A122,31,A191,2
1199,A61,A123,60,A191,2
2775,A61,A122,31,A191,2
11816,A61,A123,29,A191,2
6458,A61,A124,39,A192,2
10127,A63,A124,44,A191,2
1123,A63,A123,29,A191,2
7119,A61,A124,53,A191,2
5096,A61,A123,30,A192,2
9271,A61,A123,24,A192,2
18424,A61,A122,32,A192,2
5234,A61,A123,28,A191,2
3441,A62,A123,21,A191,2
8318,A61,A124,42,A192,2
7980,A65,A123,27,A192,2
1331,A61,A123,22,A191,2
5998,A61,A124,27,A192,2
6416,A61,A124,59,A191,2
4370,A61,A122,26,A192,2
1271,A65,A124,39,A192,2
3114,A61,A122,26,A191,2
4057,A61,A123,43,A192,2
4843,A61,A122,43,A192,2
1501,A61,A123,34,A192,2
2359,A62,A122,33,A191,2
6758,A61,A123,31,A192,2
1264,A62,A122,25,A191,2
2145,A61,A123,24,A192,2
2570,A61,A121,21,A191,2
4870,A61,A124,53,A191,2
8065,A61,A124,25,A192,2
3966,A61,A121,33,A192,2
3386,A61,A124,35,A192,2
947,A61,A124,38,A191,2
7865,A61,A124,53,A192,2
1938,A61,A122,32,A191,2
915,A65,A123,29,A191,2
1246,A61,A121,23,A191,2
4844,A61,A123,33,A192,2
2210,A61,A121,25,A191,2
959,A61,A123,29,A191,2
1478,A61,A123,22,A191,2
2150,A61,A124,24,A191,2
1512,A64,A122,61,A191,2
14782,A62,A124,60,A192,2
1670,A61,A123,22,A192,2
433,A61,A121,22,A191,2
9572,A61,A123,28,A191,2
1882,A61,A123,25,A191,2
1546,A61,A123,24,A191,2
4241,A61,A121,36,A192,2
1198,A61,A124,35,A191,2
1647,A65,A122,40,A191,2
5943,A65,A123,44,A192,2
10297,A61,A124,39,A192,2
2969,A61,A122,25,A191,2
4591,A64,A122,54,A192,2
1422,A61,A124,27,A192,2
1837,A61,A124,34,A191,2
1935,A61,A121,31,A192,2
1530,A61,A122,32,A191,2
1808,A61,A121,22,A191,2
10974,A61,A123,26,A192,2
2169,A61,A123,28,A192,2
2712,A61,A122,41,A191,2
2671,A62,A124,50,A191,2
4933,A61,A121,25,A191,2
6468,A65,A124,52,A192,2
