@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute ResidenceSince numeric
@attribute Age numeric
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A13,A31,3,42,1,1
A13,A34,4,49,1,1
A11,A32,1,21,1,1
A14,A32,2,27,1,1
A14,A34,2,27,1,1
A12,A32,4,40,1,1
A14,A32,4,62,1,1
A14,A34,2,33,1,1
A14,A34,4,36,1,1
A14,A32,4,64,1,1
A14,A34,2,34,2,1
A14,A34,3,46,1,1
A12,A32,4,23,1,1
A14,A32,1,34,1,1
A12,A31,2,30,1,1
A12,A34,3,68,1,1
A14,A34,1,42,2,1
A14,A34,2,30,1,1
A14,A32,2,51,2,1
A11,A32,1,50,1,1
A14,A32,1,24,1,1
A14,A31,2,26,2,1
A14,A32,2,30,1,1
A11,A34,2,36,2,1
A14,A34,2,46,2,1
A14,A32,3,50,1,1
A12,A34,3,36,1,1
A14,A32,2,30,1,1
A14,A32,1,29,1,1
A14,A34,2,28,1,1
A12,A33,4,43,2,1
A13,A32,2,23,1,1
A12,A32,2,34,1,1
A14,A32,3,26,1,1
A14,A32,2,28,1,1
A11,A32,4,23,1,1
A11,A31,1,45,1,1
A14,A32,1,32,2,1
A14,A34,2,27,1,1
A12,A34,4,28,1,1
A11,A32,2,29,1,1
A14,A32,2,45,1,1
A14,A32,4,64,1,1
A14,A32,4,25,1,1
A14,A33,3,34,1,1
A14,A32,3,36,1,1
A14,A34,4,43,2,1
A14,A32,2,32,2,1
A11,A32,4,42,2,1
A14,A34,4,26,1,1
A14,A32,2,35,1,1
A14,A34,1,42,2,1
A14,A31,4,45,2,1
A11,A32,4,45,2,1
A11,A32,4,39,1,1
A11,A32,2,37,2,1
A12,A32,4,36,1,1
A12,A34,4,28,1,1
A14,A33,4,41,1,1
A13,A34,2,27,1,1
A11,A34,4,39,1,1
A14,A32,1,54,1,1
A11,A32,4,26,1,1
A14,A32,1,33,1,1
A14,A33,2,32,1,1
A12,A32,4,22,1,1
A14,A32,4,36,1,1
A14,A34,4,23,1,1
A12,A32,2,44,1,1
A14,A34,1,26,1,1
A11,A32,2,29,2,1
A11,A30,1,31,1,1
A12,A32,3,28,1,1
A13,A32,1,24,1,1
A12,A33,3,30,1,1
A14,A32,2,30,1,1
A12,A32,2,32,1,1
A11,A32,4,64,1,1
A12,A33,2,30,1,1
A11,A31,4,36,1,1
A14,A34,2,52,1,1
A11,A32,4,22,1,1
A14,A32,4,47,2,1
A11,A34,4,40,2,1
A11,A32,3,43,1,1
A14,A32,2,33,1,1
A12,A33,2,31,2,1
A14,A34,4,44,1,1
A14,A33,2,24,1,1
A11,A30,2,32,1,1
A14,A33,2,28,1,1
A14,A32,4,50,1,1
A12,A32,1,41,2,1
A14,A34,3,31,1,1
A14,A34,4,35,1,1
A12,A32,2,33,1,1
A12,A33,2,42,1,1
A14,A33,3,33,1,1
A12,A32,4,26,2,1
A11,A32,1,22,1,1
A11,A33,4,27,1,1
A14,A32,3,32,1,1
A12,A32,4,30,2,1
A14,A32,4,38,1,1
A12,A32,4,25,1,1
A12,A32,4,67,1,1
A14,A32,4,36,1,1
A14,A32,2,28,1,1
A14,A32,4,38,1,1
A13,A32,3,37,1,1
A14,A32,1,26,1,1
A14,A34,3,31,1,1
A13,A32,2,44,1,1
A14,A32,4,26,1,1
A14,A34,4,22,1,1
A14,A34,4,37,1,1
A14,A32,4,37,1,1
A14,A32,4,52,1,1
A14,A32,1,36,1,1
A13,A34,2,36,1,1
A11,A34,2,46,1,1
A14,A34,4,53,1,1
A11,A34,2,36,2,1
A12,A32,3,30,1,1
A12,A33,4,51,1,1
A11,A34,3,27,1,1
A14,A34,4,63,1,1
A14,A34,2,38,1,1
A12,A34,4,48,1,1
A14,A32,2,25,1,1
A13,A32,4,23,1,1
A14,A34,2,33,1,1
A11,A32,3,30,1,1
A11,A32,4,28,1,1
A12,A30,1,28,1,1
A12,A32,1,22,1,1
A11,A34,2,30,1,1
A11,A34,4,21,1,1
A11,A32,1,46,1,1
A14,A34,2,31,1,1
A12,A32,4,61,1,1
A12,A33,4,36,2,1
A14,A32,4,24,1,1
A14,A32,2,55,1,1
A14,A32,4,42,1,1
A11,A34,4,57,1,1
A11,A32,4,39,2,1
A14,A33,2,27,1,1
A12,A34,2,37,1,1
A14,A34,2,41,1,1
A14,A32,2,29,1,1
A14,A32,4,62,1,1
A11,A32,4,29,1,1
A14,A32,4,41,1,1
A11,A32,3,75,1,1
A12,A34,3,27,1,1
A13,A34,4,63,1,1
A14,A32,2,40,2,1
A13,A32,2,29,2,1
A13,A32,2,47,1,1
A12,A33,4,42,1,1
A11,A31,3,32,1,1
A12,A30,2,31,1,1
A11,A34,4,44,2,1
A14,A32,4,64,1,1
A11,A32,3,38,2,1
A12,A34,4,23,1,1
A14,A34,4,33,1,1
A14,A32,4,25,1,1
A14,A32,4,52,1,1
A11,A34,4,51,2,1
A11,A32,3,24,1,1
A14,A32,4,61,1,1
A11,A32,4,55,1,1
A14,A34,3,36,1,1
A11,A32,4,28,1,1
A14,A34,4,63,1,1
A12,A34,4,36,1,1
A12,A32,1,27,1,1
A14,A32,2,26,2,1
A12,A32,4,25,1,1
A14,A32,4,35,1,1
A11,A32,4,59,1,1
A12,A34,4,34,1,1
A14,A34,2,24,1,1
A14,A34,1,43,1,1
A14,A34,2,74,1,1
A14,A32,2,56,1,1
A12,A32,2,30,1,1
A13,A30,1,33,1,1
A12,A32,3,35,1,1
A14,A33,4,26,1,1
A14,A34,3,46,1,1
A14,A34,2,41,1,1
A12,A32,2,27,1,1
A11,A32,1,23,1,1
A11,A34,4,39,1,1
A12,A32,2,35,1,1
A14,A34,2,29,1,1
A14,A34,3,51,1,1
A14,A32,4,46,1,1
A11,A32,2,27,1,1
A11,A32,2,21,1,1
A14,A32,4,36,1,1
A14,A32,2,25,1,1
A12,A32,1,27,1,1
A13,A32,1,26,1,1
A13,A32,2,31,1,1
A14,A34,4,59,1,1
A12,A34,4,37,1,1
A14,A34,3,27,1,1
A14,A32,4,41,2,1
A14,A34,2,24,1,1
A11,A32,2,25,1,1
A11,A32,4,35,2,1
A14,A34,4,43,1,1
A11,A34,4,65,1,1
A12,A34,4,40,1,1
A14,A34,4,37,1,1
A11,A32,3,26,2,1
A14,A34,4,36,1,1
A14,A34,2,61,1,1
A13,A34,2,31,1,1
A14,A32,2,26,1,1
A14,A34,2,35,1,1
A11,A32,2,30,1,1
A14,A33,2,30,1,1
A12,A32,4,34,1,1
A14,A34,4,63,1,1
A12,A32,3,64,1,1
A12,A32,4,49,1,1
A14,A32,1,26,1,1
A14,A32,3,27,1,1
A14,A32,4,45,2,1
A12,A34,3,49,2,1
A14,A32,4,20,1,1
A14,A32,4,33,1,1
A13,A32,2,25,1,1
A14,A34,1,37,2,1
A14,A32,4,40,1,1
A12,A34,1,23,1,1
A12,A32,1,32,2,1
A14,A32,2,54,1,1
A14,A32,4,28,1,1
A11,A32,2,27,1,1
A11,A34,4,31,1,1
A12,A32,1,22,1,1
A14,A32,2,50,1,1
A14,A32,2,28,1,1
A12,A32,4,42,1,1
A14,A32,4,35,1,1
A12,A33,2,23,1,1
A12,A32,2,22,1,1
A14,A32,2,31,2,1
A14,A34,3,45,2,1
A14,A32,2,32,2,1
A11,A32,3,27,1,1
A14,A34,2,51,1,1
A11,A34,3,54,1,1
A14,A32,4,51,1,1
A14,A32,3,41,1,1
A11,A34,4,36,1,1
A14,A32,3,38,1,1
A14,A32,4,48,1,1
A14,A30,2,27,1,1
A14,A34,1,25,1,1
A14,A34,4,49,1,1
A14,A32,2,24,1,1
A12,A34,4,37,1,1
A14,A34,4,65,1,1
A11,A34,4,43,2,1
A14,A34,2,35,1,1
A14,A32,4,58,1,1
A12,A32,4,70,1,1
A14,A32,4,26,1,1
A14,A32,2,45,1,1
A12,A34,1,27,1,1
A14,A32,4,23,1,1
A12,A34,3,35,1,1
A14,A32,4,29,1,1
A11,A32,3,31,2,1
A14,A33,2,26,1,1
A14,A34,4,32,2,1
A12,A34,1,41,1,1
A11,A32,4,23,1,1
A11,A32,4,40,1,1
A14,A34,4,57,1,1
A14,A34,1,30,1,1
A12,A32,4,54,1,1
A14,A34,4,23,1,1
A12,A33,3,29,1,1
A14,A32,4,24,1,1
A14,A34,2,33,1,1
A12,A34,2,35,1,1
A14,A32,2,29,1,1
A14,A32,4,38,1,1
A14,A32,4,34,2,1
A11,A34,2,40,2,1
A11,A34,4,63,1,1
A12,A34,3,34,2,1
A14,A33,4,21,1,1
A13,A32,4,55,1,1
A14,A32,2,31,1,1
A12,A32,2,30,1,1
A11,A33,2,23,1,1
A11,A32,4,24,1,1
A11,A32,3,30,2,1
A14,A34,4,44,1,1
A11,A34,3,58,1,1
A12,A33,2,29,1,1
A14,A34,4,36,1,1
A12,A32,2,35,1,1
A12,A30,1,30,1,1
A12,A33,2,37,1,1
A14,A32,4,39,1,1
A11,A32,2,27,1,1
A14,A33,2,44,2,1
A14,A34,4,46,2,1
A11,A34,3,25,1,1
A12,A33,2,54,1,1
A14,A34,4,42,1,1
A12,A33,1,35,1,1
A12,A34,4,29,1,1
A11,A32,4,28,1,1
A11,A32,3,30,1,1
A12,A33,4,31,1,1
A11,A32,4,49,1,1
A14,A32,1,31,1,1
A11,A32,4,55,1,1
A12,A32,4,19,1,1
A13,A32,4,23,1,1
A14,A33,2,34,1,1
A12,A32,4,30,1,1
A14,A32,2,32,1,1
A11,A32,4,28,1,1
A14,A32,2,32,1,1
A12,A32,3,26,1,1
A12,A33,3,32,1,1
A11,A34,4,36,1,1
A14,A34,2,33,1,1
A12,A32,1,20,1,1
A11,A32,4,22,1,1
A14,A32,3,38,1,1
A14,A34,4,52,1,1
A14,A32,4,20,1,1
A14,A34,4,37,1,1
A14,A34,3,32,1,1
A11,A34,4,38,1,1
A12,A33,2,27,1,1
A14,A32,4,39,1,1
A14,A34,2,29,1,1
A12,A32,2,25,1,1
A14,A33,2,45,2,1
A14,A34,4,54,2,1
A14,A34,4,34,1,1
A14,A34,2,35,1,1
A14,A32,4,36,2,1
A14,A34,2,47,1,1
A14,A32,4,42,2,1
A12,A32,3,29,1,1
A14,A34,2,27,1,1
A14,A32,2,27,1,1
A14,A32,2,30,1,1
A14,A32,4,74,1,1
A14,A34,1,35,1,1
A11,A33,2,43,2,1
A14,A32,2,21,1,1
A14,A34,2,30,1,1
A14,A34,4,57,1,1
A12,A31,2,29,1,1
A11,A32,2,24,1,1
A14,A34,4,35,1,1
A12,A32,2,35,1,1
A11,A32,4,58,1,1
A13,A32,1,37,2,1
A14,A34,4,46,1,1
A12,A32,2,37,2,1
A14,A34,2,27,1,1
A11,A32,1,42,1,1
A14,A32,2,31,1,1
A14,A32,3,33,1,1
A11,A32,1,27,1,1
A14,A32,1,28,1,1
A12,A32,4,67,1,1
A14,A32,2,37,1,1
A14,A34,2,31,1,1
A14,A30,1,35,1,1
A13,A33,2,36,1,1
A11,A32,1,27,1,1
A12,A34,4,44,1,1
A11,A32,4,63,2,1
A12,A32,4,28,2,1
A14,A34,3,36,1,1
A11,A34,3,48,2,1
A14,A33,4,36,1,1
A12,A31,2,55,1,1
A14,A33,3,34,1,1
A14,A32,3,34,2,1
A14,A32,3,45,2,1
A14,A32,2,50,1,1
A11,A32,4,26,1,1
A11,A34,4,24,1,1
A13,A32,4,26,1,1
A14,A34,3,40,1,1
A14,A31,4,50,1,1
A14,A32,2,32,1,1
A13,A32,4,26,1,1
A14,A34,4,41,1,1
A12,A33,4,20,1,1
A14,A34,2,43,1,1
A13,A34,4,47,1,1
A12,A32,1,26,1,1
A12,A32,2,26,1,1
A13,A32,1,33,1,1
A12,A32,3,40,1,1
A12,A30,4,33,1,1
A11,A34,4,30,1,1
A11,A32,4,49,2,1
A14,A32,2,25,1,1
A14,A33,2,31,2,1
A14,A32,4,25,1,1
A14,A32,2,33,1,1
A13,A32,2,23,1,1
A14,A31,1,27,1,1
A14,A32,4,54,1,1
A14,A32,2,21,1,1
A12,A32,4,38,1,1
A14,A34,4,63,1,1
A13,A33,1,29,1,1
A14,A32,3,32,1,1
A11,A34,4,44,2,1
A12,A33,4,44,2,1
A12,A32,2,32,1,1
A11,A34,2,28,1,1
A14,A34,3,29,1,1
A14,A32,2,26,1,1
A14,A32,4,35,1,1
A11,A34,4,52,1,1
A12,A32,2,35,1,1
A13,A34,4,56,1,1
A11,A32,2,40,1,1
A11,A32,4,52,1,1
A14,A32,4,45,1,1
A12,A34,1,41,1,1
A14,A32,2,26,1,1
A14,A32,2,49,1,1
A13,A34,4,28,2,1
A14,A34,4,39,1,1
A11,A34,4,75,1,1
A14,A32,4,46,1,1
A11,A32,1,25,1,1
A11,A32,1,35,1,1
A11,A32,1,49,1,1
A12,A34,2,32,1,1
A12,A32,1,30,1,1
A14,A34,4,46,1,1
A11,A31,4,22,1,1
A14,A34,2,40,2,1
A14,A32,2,32,1,1
A12,A34,1,27,1,1
A11,A32,2,27,1,1
A14,A34,4,37,1,1
A14,A34,2,24,1,1
A12,A34,3,40,2,1
A14,A34,4,50,1,1
A14,A32,2,31,2,1
A14,A32,1,25,1,1
A14,A33,4,60,1,1
A12,A33,1,27,1,1
A12,A33,2,33,1,1
A11,A32,2,23,1,1
A12,A31,4,36,1,1
A14,A34,2,35,2,1
A11,A32,2,20,2,1
A11,A34,1,32,1,1
A12,A32,1,34,1,1
A14,A32,4,43,1,1
A14,A32,4,23,1,1
A14,A33,3,35,1,1
A11,A31,4,22,1,1
A14,A33,2,27,1,1
A14,A32,4,47,2,1
A14,A34,2,26,1,1
A14,A32,3,40,1,1
A12,A32,4,24,1,1
A14,A34,2,35,1,1
A12,A32,2,31,1,1
A14,A34,4,36,2,1
A14,A32,2,28,1,1
A12,A32,4,23,1,1
A12,A32,1,45,1,1
A14,A32,3,26,1,1
A14,A32,3,26,1,1
A12,A32,3,21,1,1
A14,A31,4,40,2,1
A13,A34,4,20,1,1
A11,A34,4,25,1,1
A14,A34,3,49,2,1
A14,A32,4,29,1,1
A13,A32,4,49,1,1
A13,A32,4,40,1,1
A14,A34,4,44,1,1
A11,A32,3,44,2,1
A14,A33,3,32,2,1
A13,A32,2,41,1,1
A12,A32,1,32,2,1
A11,A30,3,25,1,1
A14,A34,2,38,1,1
A14,A34,2,26,1,1
A14,A34,2,32,2,1
A14,A32,1,25,1,1
A12,A32,1,23,1,1
A12,A34,4,27,1,1
A12,A34,4,27,1,1
A11,A34,3,37,2,1
A11,A32,2,24,1,1
A11,A34,4,47,1,1
A11,A34,4,38,2,1
A13,A32,1,45,1,1
A13,A32,2,27,1,1
A12,A34,3,39,1,1
A14,A32,4,47,1,1
A14,A32,4,35,2,1
A12,A32,2,24,1,1
A14,A34,1,47,1,1
A14,A34,4,42,1,1
A14,A34,4,49,1,1
A13,A32,1,28,1,1
A14,A32,3,37,1,1
A14,A31,4,34,2,1
A12,A31,4,23,1,1
A14,A32,2,31,2,1
A12,A31,2,34,2,1
A12,A32,1,26,1,1
A12,A30,4,31,1,1
A14,A32,4,48,2,1
A11,A34,3,25,1,1
A14,A32,2,31,1,1
A12,A32,2,25,1,1
A14,A32,4,24,1,1
A11,A32,4,57,1,1
A11,A34,3,30,1,1
A13,A32,2,23,1,1
A13,A34,4,50,1,1
A14,A34,4,38,1,1
A14,A34,2,28,1,1
A11,A32,3,39,2,1
A11,A34,4,65,1,1
A11,A34,4,48,2,1
A14,A34,3,31,1,1
A12,A32,3,30,1,1
A12,A32,4,42,1,2
A11,A32,2,25,1,2
A11,A32,4,47,1,2
A14,A32,1,43,2,2
A12,A31,3,29,1,2
A11,A32,4,39,2,2
A11,A30,4,53,2,2
A11,A32,2,29,1,2
A14,A32,4,29,1,2
A12,A34,4,36,2,2
A11,A32,2,24,1,2
A11,A32,4,23,1,2
A12,A34,3,34,1,2
A11,A32,4,53,1,2
A11,A32,4,31,1,2
A14,A33,2,41,2,2
A14,A34,2,32,1,2
A12,A33,3,61,1,2
A12,A33,4,50,1,2
A13,A33,4,66,1,2
A11,A31,1,55,1,2
A11,A34,4,58,1,2
A11,A31,4,27,1,2
A11,A34,4,55,2,2
A11,A32,4,40,2,2
A14,A32,2,40,1,2
A11,A32,2,33,1,2
A11,A32,4,24,1,2
A11,A32,4,31,1,2
A14,A32,4,27,1,2
A12,A32,4,39,2,2
A14,A32,4,22,1,2
A12,A30,4,42,1,2
A11,A32,4,25,1,2
A12,A32,4,28,1,2
A12,A32,1,30,1,2
A11,A30,3,28,1,2
A12,A32,4,28,1,2
A12,A32,4,28,1,2
A11,A33,2,26,2,2
A12,A32,1,52,1,2
A12,A32,2,22,1,2
A12,A34,2,28,1,2
A11,A34,3,35,1,2
A14,A32,2,35,1,2
A14,A34,2,42,1,2
A12,A32,2,24,1,2
A12,A34,3,39,2,2
A11,A32,1,24,1,2
A12,A33,4,42,1,2
A12,A31,4,74,2,2
A11,A32,2,30,2,2
A12,A32,4,21,1,2
A12,A32,2,27,1,2
A12,A34,2,23,1,2
A12,A32,2,29,1,2
A12,A32,2,24,1,2
A12,A32,1,46,1,2
A12,A32,2,24,1,2
A11,A32,4,65,1,2
A11,A32,2,35,1,2
A11,A30,4,24,2,2
A12,A32,1,22,1,2
A11,A32,4,21,1,2
A14,A33,4,55,2,2
A11,A32,4,20,1,2
A11,A30,2,28,1,2
A11,A31,4,32,2,2
A12,A33,4,57,1,2
A11,A34,3,60,1,2
A11,A30,4,26,1,2
A12,A30,2,32,1,2
A11,A32,4,23,1,2
A11,A32,2,24,1,2
A12,A32,1,25,1,2
A11,A32,4,32,1,2
A11,A32,3,34,1,2
A12,A31,2,34,2,2
A14,A33,2,28,1,2
A11,A32,1,20,1,2
A12,A34,3,30,1,2
A14,A34,2,31,1,2
A11,A33,2,43,2,2
A11,A32,2,26,2,2
A12,A31,1,32,1,2
A14,A33,2,27,1,2
A11,A34,2,25,1,2
A11,A32,3,36,1,2
A11,A30,3,33,2,2
A14,A32,1,44,1,2
A12,A33,3,40,1,2
A11,A33,4,53,2,2
A14,A32,2,22,1,2
A12,A30,1,26,1,2
A11,A32,4,68,1,2
A14,A32,2,26,1,2
A11,A33,1,26,1,2
A12,A31,2,24,2,2
A12,A32,2,44,1,2
A13,A34,4,39,1,2
A14,A34,4,24,1,2
A11,A33,2,29,1,2
A12,A32,2,24,1,2
A11,A32,4,46,2,2
A12,A34,3,30,1,2
A13,A31,1,26,1,2
A12,A32,4,37,1,2
A12,A30,1,42,1,2
A11,A31,2,31,1,2
A14,A30,2,36,2,2
A11,A32,3,31,1,2
A11,A32,1,34,1,2
A12,A32,2,27,1,2
A13,A32,2,28,1,2
A12,A33,4,47,1,2
A11,A32,4,35,1,2
A13,A32,3,25,1,2
A14,A32,2,25,1,2
A11,A30,4,50,1,2
A12,A30,4,34,2,2
A11,A31,4,37,1,2
A14,A31,1,53,1,2
A13,A34,1,33,1,2
A11,A34,4,46,1,2
A12,A32,2,57,1,2
A12,A32,2,36,2,2
A11,A32,4,20,1,2
A11,A32,4,21,2,2
A12,A32,3,43,1,2
A11,A33,1,24,1,2
A12,A32,4,27,1,2
A14,A32,2,19,1,2
A11,A32,1,37,1,2
A14,A34,4,30,1,2
A12,A30,4,58,1,2
A12,A30,4,36,1,2
A14,A33,4,47,2,2
A13,A32,2,37,1,2
A11,A32,3,42,1,2
A11,A34,4,24,1,2
A11,A30,4,48,1,2
A11,A32,4,24,1,2
A11,A32,4,40,1,2
A13,A32,1,34,2,2
A11,A32,4,53,1,2
A11,A32,3,26,1,2
A11,A32,4,20,1,2
A12,A33,3,30,1,2
A11,A32,4,35,1,2
A12,A32,3,37,2,2
A12,A32,4,28,1,2
A11,A31,2,40,2,2
A14,A32,4,32,1,2
A11,A31,3,44,1,2
A11,A32,2,22,1,2
A14,A32,4,37,1,2
A12,A32,2,61,1,2
A11,A32,3,28,1,2
A12,A34,2,25,1,2
A12,A30,2,25,1,2
A11,A32,1,45,1,2
A11,A32,2,23,1,2
A12,A32,4,47,2,2
A11,A31,4,30,2,2
A14,A32,2,38,1,2
A13,A32,2,26,1,2
A11,A30,4,29,1,2
A12,A32,2,23,1,2
A11,A34,4,44,1,2
A11,A32,2,29,1,2
A12,A32,2,26,1,2
A12,A32,2,23,1,2
A14,A32,2,28,1,2
A11,A30,4,23,2,2
A11,A32,2,42,2,2
A13,A34,2,37,2,2
A11,A32,4,23,1,2
A11,A31,2,46,1,2
A12,A32,4,23,1,2
A11,A32,4,22,1,2
A14,A32,4,31,1,2
A11,A32,2,27,1,2
A11,A32,2,23,1,2
A11,A32,2,41,2,2
A12,A32,4,50,1,2
A14,A32,2,33,1,2
A12,A31,2,25,1,2
A11,A31,4,29,1,2
A11,A32,2,29,1,2
A12,A32,2,22,1,2
A12,A34,2,25,1,2
A13,A32,3,38,2,2
A11,A32,1,25,1,2
A12,A32,4,20,1,2
A11,A34,4,24,1,2
A14,A32,4,23,1,2
A13,A34,2,28,1,2
A12,A30,4,61,1,2
A12,A34,4,25,1,2
A14,A33,4,27,1,2
A12,A34,4,27,1,2
A11,A34,4,23,1,2
A11,A34,3,27,1,2
A11,A33,3,29,1,2
A12,A32,3,66,1,2
A13,A30,2,34,1,2
A11,A32,4,42,1,2
A12,A30,4,26,1,2
A11,A34,4,23,1,2
A14,A32,4,68,1,2
A11,A32,3,33,1,2
A11,A31,4,24,1,2
A12,A32,1,22,1,2
A12,A31,3,59,1,2
A11,A33,4,48,1,2
A12,A30,3,25,1,2
A14,A31,4,39,2,2
A12,A32,4,41,2,2
A14,A30,4,29,1,2
A12,A34,2,49,1,2
A12,A32,4,21,1,2
A11,A34,2,29,1,2
A12,A32,1,33,1,2
A11,A32,2,31,1,2
A11,A32,4,36,1,2
A12,A32,3,27,1,2
A11,A32,3,23,1,2
A11,A34,4,33,1,2
A11,A32,2,32,1,2
A12,A33,2,30,1,2
A11,A32,4,51,2,2
A14,A32,3,54,1,2
A12,A32,3,25,1,2
A12,A32,2,23,1,2
A13,A32,4,48,2,2
A11,A34,4,43,1,2
A12,A30,3,28,1,2
A12,A32,4,25,1,2
A12,A32,2,37,1,2
A11,A32,3,32,1,2
A11,A32,4,54,1,2
A11,A34,2,33,1,2
A14,A32,3,21,1,2
A11,A32,1,33,2,2
A11,A32,3,30,1,2
A12,A32,2,23,1,2
A12,A32,4,38,1,2
A12,A32,4,24,1,2
A11,A34,4,60,1,2
A11,A31,4,35,1,2
A14,A34,2,30,1,2
A11,A32,4,45,1,2
A14,A33,1,28,1,2
A12,A34,2,28,1,2
A11,A34,4,43,1,2
A11,A32,2,26,1,2
A14,A33,1,22,1,2
A11,A32,1,33,1,2
A12,A32,2,22,1,2
A12,A34,4,31,1,2
A11,A32,4,57,1,2
A11,A33,4,63,1,2
A11,A32,4,25,1,2
A11,A32,4,34,1,2
A11,A31,4,24,1,2
A12,A31,4,34,1,2
A11,A32,2,45,1,2
A14,A34,2,44,1,2
A11,A32,2,39,1,2
A12,A31,4,60,1,2
