@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditAmount numeric
@attribute ResidenceSince numeric
@attribute Age numeric
@attribute InstallmentPlans {A143,A141,A142}
@attribute NPeopleMain numeric
@attribute Customer {1,2}

@data
A14,5045,4,59,A143,1,1
A14,7678,4,40,A143,1,1
A11,2212,4,39,A143,1,1
A14,3832,4,64,A143,1,1
A12,958,3,47,A143,2,1
A12,753,3,64,A143,1,1
A11,666,4,39,A143,1,1
A14,3578,1,47,A143,1,1
A14,250,2,41,A141,1,1
A14,2515,4,43,A143,1,1
A14,3368,4,23,A143,1,1
A11,3622,4,57,A143,1,1
A13,1323,4,28,A143,2,1
A12,1068,4,28,A143,2,1
A14,2406,3,31,A143,1,1
A14,7596,4,63,A143,1,1
A12,1092,4,49,A143,1,1
A14,3568,2,54,A141,1,1
A14,3812,4,23,A143,1,1
A14,5507,4,44,A143,1,1
A12,2329,1,45,A143,1,1
A12,4439,1,33,A141,1,1
A12,368,4,38,A143,1,1
A11,3249,4,39,A141,2,1
A13,4473,2,31,A143,1,1
A13,1299,1,74,A143,2,1
A12,590,3,26,A143,1,1
A13,2247,2,36,A142,1,1
A11,2957,4,63,A143,1,1
A14,2782,2,31,A141,1,1
A14,4151,3,35,A143,1,1
A14,1449,2,27,A143,1,1
A14,1592,2,35,A143,1,1
A14,976,4,35,A143,1,1
A14,2764,2,26,A143,1,1
A14,13756,4,63,A141,1,1
A14,4679,3,35,A143,1,1
A14,9566,2,31,A142,1,1
A14,2051,1,33,A143,1,1
A14,1800,2,24,A143,1,1
A11,343,1,27,A143,1,1
A14,2569,4,24,A143,1,1
A11,1602,3,30,A143,1,1
A12,1158,1,26,A143,1,1
A13,1881,2,44,A143,1,1
A11,3959,3,30,A143,1,1
A12,5743,4,24,A143,1,1
A11,1893,4,29,A143,1,1
A14,3074,2,33,A143,2,1
A13,1961,2,23,A143,1,1
A14,1544,1,42,A143,2,1
A14,1595,2,51,A143,2,1
A13,1047,4,50,A143,1,1
A14,3527,3,45,A143,2,1
A14,4272,2,26,A143,1,1
A14,2390,3,50,A143,1,1
A14,3160,3,41,A143,1,1
A12,3758,4,23,A143,1,1
A11,10623,4,38,A143,2,1
A14,2751,3,38,A143,2,1
A13,1297,4,23,A143,1,1
A14,5742,2,31,A143,1,1
A11,3416,2,27,A143,1,1
A14,1283,4,25,A143,1,1
A12,907,2,26,A143,1,1
A14,2096,3,49,A143,2,1
A13,1275,4,36,A143,1,1
A14,4042,4,43,A143,1,1
A14,1258,1,25,A143,1,1
A13,3949,1,37,A143,2,1
A14,1569,4,34,A141,2,1
A14,618,4,56,A143,1,1
A11,4380,4,35,A143,2,1
A12,6681,4,38,A143,2,1
A12,12169,4,36,A143,1,1
A11,1755,4,58,A143,1,1
A13,1225,2,37,A143,1,1
A12,1919,3,35,A143,1,1
A12,2622,4,34,A143,1,1
A12,3017,1,34,A143,1,1
A11,1289,1,21,A143,1,1
A12,3244,4,33,A141,1,1
A11,1680,1,35,A143,1,1
A14,1287,2,45,A143,1,1
A14,999,2,25,A143,1,1
A14,1597,4,54,A143,2,1
A14,1291,2,35,A143,1,1
A11,3509,1,25,A143,1,1
A14,1376,1,28,A143,1,1
A12,3990,2,29,A141,1,1
A14,1098,4,65,A143,1,1
A14,3077,2,40,A143,2,1
A14,4139,3,27,A143,1,1
A14,1255,4,61,A143,1,1
A14,707,2,30,A141,1,1
A11,1409,3,54,A143,1,1
A12,1050,1,35,A142,1,1
A14,2859,4,38,A143,1,1
A14,2108,2,29,A143,1,1
A14,2238,1,25,A143,1,1
A14,3485,4,44,A143,1,1
A11,3599,4,26,A143,1,1
A14,1532,3,31,A143,1,1
A14,10875,2,45,A143,2,1
A12,1155,3,40,A141,1,1
A13,1494,2,29,A143,2,1
A14,2978,2,32,A143,1,1
A11,2924,4,63,A141,2,1
A11,2606,4,28,A143,1,1
A12,1887,4,28,A141,1,1
A14,1459,2,43,A143,1,1
A11,3676,3,37,A143,2,1
A12,9157,2,27,A143,1,1
A14,2978,4,32,A143,2,1
A14,5433,4,26,A143,1,1
A14,1278,1,36,A143,1,1
A12,1965,4,42,A143,1,1
A12,6967,4,36,A143,1,1
A14,1750,4,45,A141,2,1
A11,5302,4,36,A143,1,1
A11,3632,4,22,A141,1,1
A14,12749,1,37,A143,1,1
A11,1858,1,22,A143,1,1
A12,790,3,66,A143,1,1
A13,3017,4,47,A143,1,1
A12,3617,4,28,A143,1,1
A14,7824,4,40,A141,2,1
A12,2326,4,27,A141,1,1
A12,3124,3,49,A141,2,1
A14,2835,4,53,A143,1,1
A12,12204,2,48,A141,1,1
A14,3556,2,29,A143,1,1
A14,1505,2,32,A143,1,1
A14,3059,4,61,A143,1,1
A14,5190,4,48,A143,2,1
A13,1424,4,55,A143,1,1
A12,3496,2,34,A142,2,1
A13,2251,2,46,A143,1,1
A12,882,4,23,A143,1,1
A14,1413,2,55,A143,1,1
A12,2825,3,34,A143,2,1
A14,1927,2,33,A143,1,1
A14,629,3,32,A141,1,1
A14,1236,4,50,A143,1,1
A14,960,2,30,A143,1,1
A14,522,4,42,A143,2,1
A14,2603,4,28,A143,1,1
A11,5371,2,28,A143,1,1
A14,1520,4,63,A143,1,1
A14,1471,4,35,A143,1,1
A11,3651,3,31,A143,2,1
A12,5954,1,41,A141,1,1
A14,4594,2,32,A143,1,1
A14,886,2,21,A143,1,1
A14,426,4,39,A143,1,1
A14,2221,4,20,A143,1,1
A12,8487,2,24,A143,1,1
A14,5150,4,33,A143,1,1
A11,1845,1,46,A143,1,1
A11,2389,1,27,A142,1,1
A11,6419,4,44,A143,2,1
A12,932,3,39,A143,1,1
A11,15857,3,43,A143,1,1
A11,3394,4,65,A143,1,1
A12,1199,4,67,A143,1,1
A14,601,3,23,A143,2,1
A14,7409,2,37,A143,1,1
A11,1382,1,26,A143,1,1
A12,8358,1,30,A143,1,1
A13,2360,2,36,A143,1,1
A14,2134,4,48,A143,1,1
A14,10222,3,37,A142,1,1
A14,1149,3,46,A143,1,1
A12,1715,1,26,A143,1,1
A11,3149,1,22,A141,1,1
A14,6070,4,33,A143,1,1
A11,1203,2,43,A143,1,1
A11,3620,2,37,A143,2,1
A12,1995,1,27,A143,1,1
A11,1169,4,67,A143,1,1
A14,1597,2,40,A143,2,1
A12,2415,2,34,A143,1,1
A14,1516,1,43,A143,1,1
A12,1414,2,33,A143,1,1
A14,4686,2,32,A143,1,1
A13,6289,1,33,A143,1,1
A12,3213,3,25,A143,1,1
A14,1493,3,34,A143,2,1
A14,6742,3,36,A143,1,1
A14,1204,1,35,A141,1,1
A12,1007,1,22,A143,1,1
A12,7966,3,30,A143,1,1
A11,6579,2,29,A143,1,1
A14,1101,2,27,A143,1,1
A14,1213,3,47,A142,1,1
A13,1905,4,40,A143,1,1
A11,1880,1,32,A143,1,1
A11,1138,4,25,A143,1,1
A14,727,4,46,A143,1,1
A14,10144,4,21,A143,1,1
A12,2028,2,30,A143,1,1
A12,1391,1,27,A141,1,1
A14,518,1,29,A143,1,1
A11,2828,4,22,A142,1,1
A14,1984,4,47,A141,1,1
A13,3913,2,23,A143,1,1
A14,2748,4,57,A141,1,1
A11,1107,2,20,A143,2,1
A12,11760,3,32,A143,1,1
A12,2002,4,30,A143,2,1
A14,2901,4,31,A143,1,1
A11,1603,4,55,A143,1,1
A12,2760,4,36,A141,1,1
A14,3343,2,28,A143,1,1
A14,1028,3,36,A143,1,1
A14,802,2,27,A143,1,1
A11,1657,2,27,A143,1,1
A14,701,2,32,A143,1,1
A11,3660,4,28,A143,1,1
A13,1258,3,57,A143,1,1
A12,4795,1,30,A143,1,1
A12,4712,2,37,A141,1,1
A14,1237,1,27,A143,1,1
A12,1424,3,26,A143,1,1
A11,2522,3,39,A143,2,1
A14,2141,1,35,A143,1,1
A11,3357,2,29,A141,1,1
A14,1393,4,47,A141,2,1
A13,3049,1,45,A142,1,1
A14,1829,4,46,A143,1,1
A14,8858,1,35,A143,1,1
A11,2812,4,26,A143,1,1
A11,3857,4,40,A143,1,1
A14,4530,4,26,A143,1,1
A11,1231,4,57,A143,1,1
A14,6110,3,31,A141,1,1
A14,5103,3,47,A143,1,1
A14,3577,2,26,A143,2,1
A12,2273,1,32,A143,2,1
A14,2445,4,26,A143,1,1
A14,1940,4,60,A143,1,1
A12,7432,2,54,A143,1,1
A14,2284,2,28,A143,1,1
A13,409,3,42,A143,1,1
A14,2146,3,23,A143,1,1
A12,1037,4,39,A143,1,1
A14,1258,4,22,A143,1,1
A12,5800,4,34,A143,1,1
A14,804,4,38,A143,1,1
A11,7721,2,30,A143,1,1
A12,2337,4,36,A143,1,1
A12,3979,1,41,A143,2,1
A14,4526,2,32,A142,2,1
A14,10477,4,42,A143,1,1
A14,1817,2,28,A143,1,1
A11,3973,4,22,A143,1,1
A12,2101,4,23,A143,1,1
A14,1393,4,35,A143,1,1
A11,2136,2,25,A143,1,1
A12,866,2,25,A143,1,1
A14,3105,2,25,A143,1,1
A11,2659,2,28,A143,1,1
A14,5248,3,26,A143,1,1
A12,3590,3,40,A143,2,1
A14,6527,4,34,A143,2,1
A14,2255,1,54,A143,1,1
A14,1582,4,46,A143,1,1
A14,2058,2,33,A143,1,1
A14,1244,4,41,A143,1,1
A12,1795,4,48,A141,1,1
A12,1444,1,23,A143,1,1
A12,1201,1,26,A143,1,1
A14,3850,1,27,A143,1,1
A14,3077,4,52,A143,1,1
A11,3939,2,40,A143,2,1
A14,1503,1,42,A143,2,1
A14,1402,4,37,A143,1,1
A11,14179,4,30,A143,1,1
A13,1330,1,26,A143,1,1
A14,1546,2,31,A143,2,1
A11,860,4,39,A143,1,1
A11,2171,4,38,A141,1,1
A12,841,4,23,A143,1,1
A11,2910,1,34,A143,1,1
A12,1449,2,31,A141,2,1
A14,2331,4,49,A143,1,1
A14,1533,3,38,A142,1,1
A12,6148,4,31,A141,1,1
A11,5493,4,42,A143,2,1
A14,3186,3,20,A143,1,1
A14,2223,4,52,A141,1,1
A14,1525,3,34,A143,2,1
A14,2424,4,53,A143,1,1
A14,1979,2,35,A143,1,1
A13,683,1,29,A141,1,1
A12,2631,2,25,A143,1,1
A14,5511,1,25,A142,1,1
A14,1264,4,57,A143,1,1
A14,1574,2,50,A143,1,1
A14,3062,3,32,A143,1,1
A11,1352,2,23,A143,1,1
A12,1941,2,35,A143,1,1
A12,1206,4,25,A143,1,1
A11,731,4,47,A143,1,1
A14,5711,2,38,A143,1,1
A14,1740,2,30,A143,1,1
A14,3914,2,38,A141,1,2
A12,1188,4,39,A143,2,2
A12,6416,3,59,A143,1,2
A14,719,4,41,A141,2,2
A13,947,3,38,A141,2,2
A11,3959,2,29,A143,1,2
A12,3060,4,28,A143,1,2
A14,7127,4,23,A143,1,2
A14,4165,2,36,A142,2,2
A13,2864,1,34,A143,2,2
A12,888,4,41,A141,2,2
A12,5951,2,22,A143,1,2
A12,11560,4,23,A143,1,2
A11,7511,4,51,A143,2,2
A11,900,2,23,A143,1,2
A14,5003,4,29,A141,1,2
A11,3190,2,24,A143,1,2
A12,11938,3,39,A143,2,2
A14,1530,2,32,A141,1,2
A11,654,3,28,A143,1,2
A12,4746,2,25,A143,1,2
A12,6468,1,52,A143,1,2
A11,8335,4,47,A143,1,2
A12,7408,2,24,A143,1,2
A11,10297,4,39,A142,2,2
A11,1845,4,23,A143,1,2
A14,2775,2,31,A141,1,2
A14,1533,1,43,A143,2,2
A11,1647,2,40,A143,2,2
A11,6331,4,46,A143,1,2
A11,1823,2,30,A142,2,2
A12,5129,4,74,A141,2,2
A12,1953,4,61,A143,1,2
A12,6224,4,50,A143,1,2
A11,759,2,26,A143,1,2
A12,12389,4,37,A143,1,2
A11,741,3,22,A143,1,2
A12,2969,3,25,A143,1,2
A11,1193,4,29,A143,1,2
A11,6872,1,55,A141,1,2
A12,15945,4,58,A143,1,2
A12,1919,3,30,A142,1,2
A14,9572,1,28,A143,1,2
A12,802,3,37,A143,2,2
A11,2303,1,45,A143,1,2
A11,11816,4,29,A143,1,2
A11,1190,4,55,A143,2,2
A12,1237,4,24,A143,1,2
A12,1042,2,33,A143,1,2
A12,931,1,32,A142,1,2
A14,1309,4,27,A143,1,2
A13,1240,4,48,A143,2,2
A11,2039,4,20,A141,1,2
A11,448,4,23,A143,1,2
A14,1123,4,29,A143,1,2
A12,1223,1,46,A143,1,2
A12,1935,4,31,A143,1,2
A12,1216,4,38,A141,2,2
A12,8386,2,49,A143,1,2
A12,1056,3,30,A141,1,2
A11,6199,2,28,A143,1,2
A11,4870,4,53,A143,2,2
A12,14782,4,60,A141,1,2
A11,1546,4,24,A141,1,2
A11,2996,4,20,A143,1,2
A11,7174,3,30,A143,1,2
A11,7685,4,37,A143,1,2
A13,609,1,26,A143,1,2
A12,1295,1,25,A143,1,2
A13,1344,2,37,A141,2,2
A14,1808,1,22,A143,1,2
A11,1835,2,25,A143,1,2
A12,1512,3,61,A142,1,2
A12,14555,2,23,A143,1,2
A11,6758,2,31,A143,1,2
A14,1943,4,23,A143,1,2
A11,795,4,53,A143,1,2
A11,2302,4,31,A143,1,2
A11,3384,4,44,A143,1,2
A12,3844,4,34,A143,2,2
A12,5096,3,30,A143,1,2
A12,4249,2,28,A143,1,2
A11,5293,4,50,A142,1,2
A12,1331,1,22,A142,1,2
A11,7763,4,42,A141,1,2
A14,2580,2,41,A141,2,2
A11,4370,2,26,A141,2,2
A12,4933,2,25,A143,1,2
A12,4736,4,25,A141,1,2
A11,1207,4,24,A143,1,2
A11,1371,4,25,A143,1,2
A11,1842,4,34,A143,1,2
A14,1478,2,22,A143,1,2
A11,7119,4,53,A143,2,2
A12,685,3,25,A141,1,2
A11,3966,4,33,A141,1,2
A11,3123,1,27,A143,1,2
A12,1924,3,27,A143,1,2
A13,1337,2,34,A143,1,2
A11,1199,4,60,A143,1,2
A11,2579,1,33,A143,2,2
A11,6229,4,23,A143,1,2
A12,639,2,30,A143,1,2
A11,3234,4,23,A143,1,2
A12,9960,2,26,A143,1,2
A11,1977,4,40,A143,1,2
A11,1442,4,32,A143,2,2
A12,1246,2,23,A142,1,2
A14,4844,2,33,A141,1,2
A11,7865,4,53,A143,1,2
A14,2292,2,42,A142,1,2
A11,7297,4,36,A143,1,2
A14,1980,2,19,A143,1,2
A12,18424,2,32,A141,1,2
A12,2150,2,24,A141,1,2
A12,2039,1,22,A143,1,2
A14,5943,1,44,A143,1,2
A11,3446,2,42,A143,2,2
A12,766,3,66,A143,1,2
A11,2246,3,60,A143,1,2
A12,3092,2,22,A143,1,2
A12,1922,2,37,A143,1,2
A11,2235,2,33,A141,1,2
A12,836,2,23,A141,1,2
A11,1659,2,29,A143,1,2
A11,4308,4,24,A143,1,2
A14,7485,1,53,A141,1,2
A11,1108,3,28,A143,1,2
A11,1216,3,23,A143,1,2
A11,3108,4,31,A143,1,2
A11,674,1,20,A143,1,2
A11,3051,4,54,A143,1,2
A12,1264,2,25,A143,1,2
A14,10974,2,26,A143,1,2
A11,4843,4,43,A143,1,2
A12,1355,4,25,A143,1,2
A12,2767,2,61,A141,1,2
A11,750,1,27,A143,1,2
A14,8648,2,27,A141,1,2
A11,1381,2,35,A143,1,2
A14,1386,2,26,A143,1,2
A12,12612,4,47,A143,2,2
A14,4623,2,40,A143,1,2
A12,2384,1,33,A143,1,2
A12,2064,2,34,A143,1,2
A11,2600,4,65,A143,1,2
A13,1271,4,39,A143,1,2
A11,1366,4,22,A143,1,2
A14,2538,4,47,A143,2,2
A12,15672,2,23,A143,1,2
A13,745,2,28,A143,1,2
A11,6350,4,31,A143,1,2
A11,2746,4,31,A141,1,2
A11,4006,2,45,A143,1,2
A12,2718,4,20,A143,1,2
A13,1908,4,66,A143,1,2
A12,5595,2,24,A143,1,2
A12,8318,4,42,A143,1,2
A14,2570,3,21,A143,1,2
A11,1882,4,25,A141,1,2
A11,1228,2,24,A143,1,2
A13,939,2,28,A143,1,2
A11,6999,1,34,A143,1,2
A12,918,1,30,A143,1,2
A11,1422,2,27,A143,1,2
A14,3621,4,31,A143,1,2
A11,1198,4,35,A143,1,2
A11,691,3,35,A143,1,2
A12,3804,1,42,A143,1,2
A11,2406,4,23,A143,1,2
A11,3552,4,27,A141,1,2
A11,2473,1,25,A143,1,2
A11,1345,3,26,A141,1,2
A12,4297,3,40,A143,1,2
A12,5234,2,28,A143,1,2
A11,4281,4,23,A143,1,2
A12,1484,1,25,A143,1,2
A11,1285,4,32,A143,1,2
A12,1928,2,31,A143,1,2
A11,950,3,33,A143,2,2
A11,1987,4,21,A143,2,2
A11,3345,2,39,A143,1,2
A14,2169,2,28,A143,1,2
A11,684,4,40,A143,2,2
