@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Purpose {A43,A46,A42,A40,A41,A49,A44,A45,A410,A48}
@attribute CreditAmount numeric
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute ResidenceSince numeric
@attribute Customer {1,2}

@data
A12,18,A32,A49,1941,A93,2,1
A11,18,A32,A43,3509,A92,1,1
A14,60,A34,A40,13756,A93,4,1
A14,6,A32,A42,1543,A91,2,1
A14,15,A32,A41,1300,A93,4,1
A14,6,A31,A43,1750,A93,4,1
A11,24,A31,A41,3632,A92,4,1
A14,24,A34,A41,6842,A93,4,1
A12,24,A34,A43,1743,A93,2,1
A14,15,A32,A41,4657,A93,2,1
A11,14,A32,A40,3973,A93,4,1
A14,6,A32,A42,2978,A93,2,1
A14,24,A32,A43,1376,A92,1,1
A14,60,A32,A40,6527,A93,4,1
A14,12,A32,A43,1262,A93,2,1
A12,6,A33,A49,1449,A91,2,1
A14,12,A32,A43,886,A92,2,1
A14,30,A33,A49,4272,A93,2,1
A14,15,A32,A42,2186,A92,4,1
A11,6,A32,A42,1374,A93,2,1
A14,12,A32,A40,1884,A93,4,1
A14,10,A32,A40,1287,A93,2,1
A11,24,A32,A410,1755,A92,4,1
A12,12,A30,A48,1410,A93,2,1
A14,9,A32,A40,2507,A93,4,1
A12,30,A30,A49,4221,A92,1,1
A14,12,A34,A49,1185,A92,2,1
A12,18,A32,A43,3213,A94,3,1
A14,24,A34,A46,1597,A93,4,1
A14,28,A34,A43,2743,A93,2,1
A11,24,A32,A41,2964,A93,4,1
A13,6,A34,A40,1323,A91,4,1
A14,6,A32,A42,1766,A94,2,1
A14,12,A32,A40,2133,A92,4,1
A14,36,A33,A41,8947,A93,2,1
A14,6,A34,A43,1898,A93,2,1
A14,22,A32,A40,1283,A92,4,1
A11,6,A34,A42,1872,A93,4,1
A14,18,A34,A43,6070,A93,4,1
A14,30,A34,A43,6742,A93,3,1
A11,8,A34,A40,3398,A93,4,1
A11,18,A32,A40,2249,A93,3,1
A12,36,A34,A43,2337,A93,4,1
A12,30,A33,A49,2503,A93,2,1
A11,24,A32,A42,7721,A92,2,1
A13,18,A32,A40,1961,A92,2,1
A13,12,A32,A40,1330,A93,1,1
A14,42,A34,A42,4042,A93,4,1
A14,36,A33,A40,10875,A93,2,1
A12,36,A33,A40,2862,A93,3,1
A13,24,A32,A42,3749,A92,4,1
A14,12,A34,A46,2096,A93,3,1
A14,20,A34,A40,3485,A91,4,1
A11,6,A34,A40,666,A92,4,1
A14,18,A34,A40,1028,A92,3,1
A13,10,A32,A42,1275,A92,2,1
A12,6,A32,A43,590,A94,3,1
A11,12,A32,A42,1289,A93,1,1
A12,9,A32,A43,790,A92,3,1
A11,10,A34,A42,2132,A92,3,1
A11,24,A32,A42,4169,A93,4,1
A14,24,A32,A40,3757,A92,4,1
A14,12,A34,A46,2748,A92,4,1
A14,24,A32,A43,3430,A93,2,1
A14,10,A32,A46,727,A93,4,1
A13,30,A34,A43,3656,A93,4,1
A14,30,A34,A43,4530,A92,4,1
A11,30,A34,A41,10623,A93,4,1
A12,60,A33,A43,7418,A93,1,1
A12,9,A32,A40,1549,A93,2,1
A13,9,A32,A43,1126,A91,4,1
A14,6,A34,A40,6761,A93,3,1
A14,18,A32,A43,1453,A92,1,1
A11,12,A34,A41,1526,A93,4,1
A14,13,A32,A43,1409,A92,4,1
A14,15,A34,A43,1459,A92,2,1
A12,18,A32,A49,1913,A94,3,1
A12,10,A32,A42,1521,A91,2,1
A14,36,A34,A41,5711,A93,2,1
A14,36,A32,A43,3595,A93,2,1
A13,10,A34,A40,781,A93,4,1
A11,6,A34,A40,609,A92,3,1
A12,20,A33,A410,2629,A93,3,1
A12,9,A32,A49,1391,A94,1,1
A14,12,A32,A43,2141,A93,1,1
A14,24,A32,A43,999,A93,2,1
A11,18,A34,A40,5302,A93,4,1
A12,9,A32,A43,458,A93,3,1
A11,21,A34,A40,1602,A94,3,1
A12,14,A32,A49,1410,A94,2,1
A14,27,A34,A42,4526,A93,2,1
A11,18,A34,A42,1049,A92,4,1
A11,15,A33,A42,3643,A92,4,1
A14,24,A34,A41,3868,A92,2,1
A13,12,A32,A43,1881,A92,2,1
A11,24,A31,A42,2828,A93,4,1
A11,24,A32,A41,2924,A93,4,1
A12,6,A32,A43,368,A93,4,1
A12,42,A34,A49,5954,A92,1,1
A12,24,A33,A43,1553,A92,2,1
A13,15,A32,A46,1905,A93,4,1
A14,15,A32,A44,874,A92,1,1
A14,24,A32,A40,1474,A94,3,1
A14,10,A32,A40,1597,A93,2,1
A12,15,A32,A45,1514,A93,2,1
A11,6,A32,A44,343,A92,1,1
A14,6,A34,A43,1554,A92,2,1
A14,6,A32,A43,518,A92,1,1
A14,7,A34,A43,730,A93,2,1
A14,12,A34,A42,3331,A93,4,1
A12,11,A34,A40,1322,A92,4,1
A14,21,A32,A42,2241,A93,2,1
A12,36,A34,A41,5800,A93,4,1
A11,12,A32,A42,1858,A92,1,1
A14,15,A32,A43,3568,A92,2,1
A11,18,A30,A49,3104,A93,1,1
A12,48,A31,A40,12169,A93,4,1
A14,6,A34,A43,1740,A94,2,1
A11,6,A32,A43,2647,A93,3,1
A14,24,A34,A41,2346,A93,3,1
A13,4,A32,A40,1494,A93,2,1
A14,24,A32,A43,1533,A92,3,1
A14,18,A32,A43,1126,A92,2,1
A14,21,A32,A41,2476,A93,4,1
A12,48,A33,A49,6681,A93,4,1
A12,36,A32,A46,2273,A93,1,1
A13,30,A34,A43,3017,A93,4,1
A12,36,A33,A40,7432,A92,2,1
A11,21,A32,A43,2606,A92,4,1
A14,24,A34,A43,2684,A93,2,1
A11,12,A34,A40,2171,A93,4,1
A12,30,A34,A40,2181,A93,4,1
A12,7,A32,A43,2329,A92,1,1
A12,24,A32,A40,3512,A93,3,1
A11,6,A34,A43,338,A93,4,1
A14,9,A32,A46,3832,A93,4,1
A12,9,A32,A43,2118,A93,2,1
A14,15,A31,A43,1569,A93,4,1
A11,11,A34,A40,3905,A93,2,1
A14,24,A34,A43,2578,A93,2,1
A14,6,A33,A43,932,A92,2,1
A14,36,A30,A45,2613,A93,2,1
A12,12,A32,A40,1007,A94,1,1
A13,12,A32,A43,3016,A94,1,1
A12,12,A34,A40,2366,A91,3,1
A11,24,A32,A43,1603,A92,4,1
A12,9,A32,A40,3195,A92,2,1
A14,24,A33,A42,4151,A93,3,1
A14,12,A32,A41,1413,A93,2,1
A14,24,A32,A42,3062,A93,3,1
A12,15,A32,A43,1444,A93,1,1
A14,15,A34,A43,1316,A94,2,1
A12,18,A33,A45,6204,A93,4,1
A14,24,A32,A40,2255,A93,1,1
A14,24,A32,A43,1278,A93,1,1
A11,12,A32,A42,1620,A92,3,1
A12,9,A32,A43,1082,A93,4,1
A11,12,A32,A42,652,A92,4,1
A14,12,A34,A42,1935,A93,4,1
A12,13,A34,A43,882,A93,4,1
A14,24,A34,A45,2058,A91,2,1
A11,12,A32,A42,1657,A93,2,1
A12,21,A34,A49,3652,A93,3,1
A14,30,A34,A41,7596,A93,4,1
A13,24,A34,A49,1275,A91,4,1
A12,12,A32,A43,625,A94,1,1
A12,8,A32,A49,907,A94,2,1
A11,24,A34,A41,6615,A93,4,1
A14,11,A34,A40,7228,A93,4,1
A12,21,A34,A42,2745,A93,2,1
A12,36,A32,A43,2323,A93,4,1
A14,15,A32,A43,1386,A94,2,1
A14,15,A33,A43,1478,A94,3,1
A14,12,A34,A43,522,A93,4,1
A11,27,A32,A43,3416,A93,2,1
A14,24,A34,A49,4139,A93,3,1
A11,18,A32,A43,2389,A92,1,1
A14,27,A32,A45,5190,A93,4,1
A11,12,A32,A40,1893,A92,4,1
A13,42,A34,A41,4796,A93,4,1
A14,24,A34,A46,1927,A92,2,1
A14,10,A32,A40,1364,A92,4,1
A14,12,A34,A43,1655,A93,4,1
A14,4,A34,A40,3380,A92,1,1
A12,7,A32,A43,2576,A93,2,1
A14,12,A34,A40,1255,A93,4,1
A14,15,A33,A41,3594,A92,2,1
A11,10,A34,A40,1038,A93,3,1
A14,60,A32,A40,10366,A93,4,1
A14,14,A33,A40,802,A93,2,1
A12,60,A33,A43,9157,A93,2,1
A11,15,A32,A42,1845,A92,1,1
A14,10,A34,A40,1231,A93,4,1
A14,18,A32,A43,1505,A93,2,1
A14,33,A33,A49,2764,A92,2,1
A13,36,A32,A43,5848,A93,1,1
A14,12,A32,A43,804,A93,4,1
A11,36,A34,A42,2348,A94,2,1
A11,21,A32,A42,3599,A92,4,1
A14,36,A34,A41,5842,A93,2,1
A14,18,A34,A42,3780,A91,2,1
A11,12,A32,A42,2578,A92,4,1
A12,48,A32,A410,5381,A93,4,1
A14,24,A34,A41,2197,A93,4,1
A11,12,A33,A40,1344,A93,2,1
A11,15,A34,A42,1478,A93,4,1
A14,48,A34,A41,2751,A93,3,1
A14,12,A32,A42,763,A92,1,1
A13,12,A34,A40,1480,A93,4,1
A14,12,A32,A43,1493,A92,3,1
A12,12,A32,A43,1103,A93,3,1
A14,15,A34,A42,2788,A92,3,1
A14,21,A32,A43,3160,A93,3,1
A13,6,A34,A46,1047,A92,4,1
A14,10,A32,A43,1924,A93,4,1
A11,13,A34,A49,1797,A93,1,1
A14,12,A34,A43,2331,A93,4,1
A14,24,A34,A40,1940,A93,4,1
A14,6,A32,A43,1595,A93,2,1
A14,18,A34,A43,1582,A93,4,1
A14,15,A34,A41,3368,A93,4,1
A14,12,A32,A42,1768,A93,2,1
A11,15,A34,A42,975,A91,3,1
A14,24,A34,A43,2424,A93,4,1
A12,15,A32,A45,1308,A93,4,1
A12,6,A32,A43,484,A94,3,1
A14,24,A34,A43,2872,A93,4,1
A12,12,A34,A40,958,A93,3,1
A14,30,A32,A43,2333,A93,2,1
A12,6,A32,A43,1068,A93,4,1
A11,18,A32,A42,2659,A93,2,1
A14,24,A34,A42,1585,A93,3,1
A14,12,A34,A43,717,A93,4,1
A14,36,A34,A43,3342,A93,2,1
A14,12,A32,A40,1101,A94,2,1
A13,15,A32,A46,392,A92,4,1
A14,4,A32,A42,601,A92,3,1
A14,12,A34,A43,976,A93,4,1
A14,9,A32,A42,2301,A92,4,1
A14,9,A32,A43,2697,A93,2,1
A14,48,A31,A49,3609,A92,1,1
A14,30,A32,A41,4811,A92,4,1
A12,24,A32,A43,1967,A92,4,1
A12,15,A34,A43,2728,A93,2,1
A11,30,A34,A41,6187,A94,4,1
A12,48,A30,A40,8358,A92,1,1
A13,12,A33,A40,2247,A92,2,1
A11,24,A34,A41,6419,A92,4,1
A12,12,A34,A42,3617,A93,4,1
A11,30,A30,A49,8072,A93,3,1
A11,18,A32,A40,4380,A93,4,1
A14,12,A32,A43,3077,A93,4,1
A14,9,A32,A43,2753,A93,4,1
A14,11,A34,A40,1393,A92,4,1
A12,48,A30,A49,12204,A93,2,1
A11,9,A34,A43,1138,A93,4,1
A11,36,A32,A42,3959,A93,3,1
A14,12,A32,A43,776,A94,2,1
A14,12,A34,A40,1163,A93,4,1
A13,42,A30,A49,6289,A91,1,1
A11,12,A32,A42,708,A93,3,1
A12,18,A32,A43,866,A94,2,1
A12,18,A33,A49,2427,A93,2,1
A14,27,A33,A41,8613,A93,2,1
A14,15,A32,A40,5324,A92,4,1
A14,18,A32,A43,1473,A94,4,1
A12,30,A32,A43,2991,A92,4,1
A12,24,A32,A42,3069,A93,4,1
A14,9,A32,A40,3577,A93,2,1
A12,36,A32,A41,6948,A93,2,1
A14,21,A32,A41,5248,A93,3,1
A14,10,A32,A41,2901,A92,4,1
A12,30,A32,A42,3832,A94,1,1
A14,24,A32,A48,937,A94,3,1
A14,24,A33,A49,2978,A93,4,1
A14,24,A34,A42,2028,A93,2,1
A14,9,A32,A44,1236,A92,4,1
A11,15,A32,A40,1721,A93,3,1
A11,24,A32,A41,2910,A93,1,1
A14,21,A33,A42,1591,A93,3,1
A14,15,A34,A43,1471,A93,4,1
A11,21,A32,A43,3357,A92,2,1
A14,12,A32,A46,1393,A93,4,1
A14,12,A31,A48,3447,A92,3,1
A11,24,A32,A42,4020,A93,2,1
A14,18,A32,A43,4594,A93,2,1
A14,15,A34,A43,1360,A93,2,1
A14,7,A33,A43,846,A93,4,1
A11,6,A32,A40,1374,A92,3,1
A14,24,A34,A42,5150,A93,4,1
A11,48,A32,A41,4788,A93,3,1
A13,12,A32,A43,1297,A94,4,1
A14,48,A33,A43,7238,A93,3,1
A11,12,A34,A40,2121,A93,2,1
A14,24,A32,A43,2284,A93,2,1
A12,36,A32,A43,4795,A92,1,1
A14,12,A32,A40,2390,A93,3,1
A14,42,A32,A43,7166,A94,4,1
A11,24,A34,A43,1231,A92,4,1
A14,9,A34,A40,1224,A93,1,1
A12,12,A32,A40,2002,A93,4,1
A11,24,A32,A41,6579,A93,2,1
A12,15,A34,A43,1537,A93,4,1
A14,6,A34,A43,1382,A92,1,1
A11,12,A32,A40,3651,A93,3,1
A14,18,A34,A41,3850,A93,1,1
A11,12,A32,A42,1262,A91,4,1
A13,10,A32,A44,1225,A93,2,1
A12,26,A32,A41,7966,A93,3,1
A12,12,A33,A43,585,A94,4,1
A14,15,A32,A40,3556,A93,2,1
A14,24,A32,A41,2603,A92,4,1
A11,18,A31,A43,1940,A93,4,1
A12,6,A32,A45,454,A94,1,1
A12,12,A32,A40,1318,A93,4,1
A12,11,A33,A43,4771,A93,4,1
A14,30,A34,A43,2831,A92,2,1
A14,12,A34,A40,926,A92,2,1
A11,24,A31,A42,2483,A93,4,1
A11,6,A34,A40,1361,A93,4,1
A14,24,A34,A42,3777,A93,4,1
A14,18,A34,A43,629,A93,3,1
A14,10,A32,A48,894,A92,3,1
A14,24,A34,A41,4042,A93,4,1
A11,8,A34,A40,731,A93,4,1
A14,24,A33,A40,2032,A93,4,1
A14,60,A33,A43,15653,A93,4,1
A12,15,A34,A49,2326,A93,4,1
A12,18,A30,A42,3244,A92,4,1
A14,36,A32,A41,4686,A93,2,1
A14,12,A34,A45,996,A92,4,1
A13,24,A32,A42,1925,A93,2,1
A14,36,A32,A41,8133,A92,2,1
A14,12,A34,A46,3565,A93,1,1
A14,24,A32,A42,2835,A93,4,1
A14,21,A34,A42,2288,A92,4,1
A12,30,A31,A42,3496,A93,2,1
A12,18,A34,A42,6361,A93,1,1
A12,18,A32,A41,2779,A94,3,1
A14,24,A32,A40,1249,A94,2,1
A12,18,A32,A40,5866,A93,2,1
A11,24,A32,A41,2812,A92,4,1
A12,12,A32,A49,1037,A93,4,1
A12,27,A33,A41,5965,A93,2,1
A14,18,A32,A42,1984,A93,4,1
A11,12,A31,A48,339,A94,1,1
A14,10,A34,A42,2069,A94,1,1
A14,36,A34,A40,3535,A93,4,1
A14,15,A34,A40,5045,A92,4,1
A14,48,A34,A41,8858,A93,1,1
A14,36,A34,A41,10477,A93,4,1
A14,24,A34,A40,1287,A92,4,1
A12,18,A34,A43,1795,A92,4,1
A11,6,A34,A43,1169,A93,4,1
A11,24,A32,A43,3660,A92,4,1
A13,12,A31,A43,409,A92,3,1
A12,24,A34,A46,5743,A92,4,1
A14,36,A34,A49,6304,A93,4,1
A13,12,A32,A42,2251,A92,2,1
A14,6,A34,A43,700,A93,4,1
A14,18,A34,A43,1169,A93,3,1
A11,6,A34,A43,1957,A92,4,1
A13,12,A32,A42,1424,A92,4,1
A12,24,A33,A40,1965,A92,4,1
A11,21,A32,A40,3763,A93,2,1
A11,9,A32,A42,2136,A93,2,1
A14,11,A34,A43,1154,A92,4,1
A12,42,A31,A41,9283,A93,2,1
A14,24,A31,A49,1559,A93,4,1
A14,12,A34,A42,1402,A92,4,1
A14,24,A34,A41,5804,A93,2,1
A11,36,A34,A42,5371,A93,2,1
A12,18,A34,A42,1295,A92,1,1
A11,30,A32,A41,3857,A91,4,1
A14,10,A32,A40,1418,A93,2,1
A14,36,A34,A41,11054,A93,2,1
A14,6,A32,A40,3518,A93,3,1
A12,18,A32,A49,4439,A93,1,1
A14,15,A32,A40,3186,A92,3,1
A12,16,A34,A40,1175,A93,3,1
A14,21,A33,A41,2993,A93,2,1
A11,24,A31,A40,2325,A93,3,1
A14,24,A32,A41,5433,A92,4,1
A14,30,A32,A43,1867,A93,4,1
A11,15,A32,A40,2511,A92,4,1
A14,6,A34,A40,362,A92,4,1
A12,24,A33,A42,2333,A93,2,1
A12,18,A32,A49,2622,A93,4,1
A12,12,A32,A49,841,A92,4,1
A14,12,A34,A49,1264,A93,4,1
A14,24,A32,A42,3972,A92,4,1
A13,6,A34,A40,1343,A93,4,1
A14,12,A32,A43,2279,A93,4,1
A14,18,A32,A40,2662,A93,3,1
A12,12,A32,A43,2930,A92,1,1
A14,10,A32,A41,2848,A93,2,1
A12,39,A33,A46,11760,A93,3,1
A13,18,A32,A42,3049,A92,1,1
A12,12,A32,A42,3017,A92,1,1
A14,15,A32,A43,1979,A93,2,1
A11,18,A34,A43,1880,A94,1,1
A14,18,A32,A49,1568,A92,4,1
A11,11,A34,A40,3939,A93,2,1
A14,12,A32,A41,2445,A94,4,1
A11,6,A34,A40,4716,A93,3,1
A14,24,A34,A43,1851,A94,2,1
A14,54,A30,A41,9436,A93,2,1
A14,24,A32,A43,1901,A93,4,1
A14,24,A33,A49,3863,A93,2,1
A12,15,A32,A45,2631,A92,2,1
A14,24,A34,A40,2463,A94,3,1
A14,12,A34,A46,701,A93,2,1
A14,9,A34,A43,3074,A93,2,1
A14,6,A33,A49,1743,A93,2,1
A12,12,A32,A40,6078,A93,2,1
A14,33,A34,A41,7253,A93,2,1
A13,18,A31,A43,1445,A93,4,1
A14,24,A33,A41,4679,A93,3,1
A14,12,A34,A40,1495,A93,1,1
A14,18,A34,A43,2238,A92,1,1
A14,6,A30,A40,1204,A93,1,1
A14,12,A32,A40,640,A91,2,1
A12,24,A33,A49,6967,A93,4,1
A14,18,A32,A42,2515,A93,4,1
A13,6,A32,A40,709,A94,2,1
A14,18,A34,A42,1817,A92,2,1
A14,24,A32,A41,7814,A93,3,1
A14,24,A34,A43,5103,A94,3,1
A14,24,A34,A410,6314,A93,2,1
A14,12,A34,A49,1412,A92,2,1
A14,6,A34,A43,1237,A92,1,1
A11,36,A32,A40,3249,A93,4,1
A12,27,A32,A49,2528,A92,1,1
A12,9,A32,A46,1199,A92,4,1
A14,6,A30,A43,426,A94,4,1
A14,24,A32,A41,2670,A93,4,1
A14,48,A34,A49,7629,A91,2,1
A14,15,A34,A42,1520,A93,4,1
A14,12,A34,A43,930,A93,4,1
A14,48,A32,A43,10222,A93,3,1
A14,15,A32,A41,3029,A93,2,1
A12,9,A32,A42,2030,A93,1,1
A14,18,A32,A42,3422,A93,4,1
A12,24,A32,A40,1201,A93,1,1
A14,24,A34,A40,2022,A92,4,1
A14,24,A32,A42,5511,A93,1,1
A14,18,A32,A40,1820,A94,2,1
A14,48,A33,A43,12749,A93,1,1
A14,9,A32,A42,1388,A92,2,1
A12,18,A32,A42,3001,A92,4,1
A11,9,A34,A45,1288,A93,4,1
A14,48,A34,A43,3578,A93,1,1
A12,20,A30,A41,6148,A94,4,1
A11,24,A34,A41,2957,A93,4,1
A12,12,A34,A41,1860,A93,2,1
A12,48,A32,A40,8487,A92,2,1
A14,9,A34,A40,2134,A93,4,1
A14,36,A34,A43,9566,A92,2,1
A14,12,A33,A41,1503,A94,4,1
A11,20,A32,A42,2212,A93,4,1
A11,12,A32,A43,1680,A94,1,1
A11,6,A32,A40,1203,A93,2,1
A11,12,A34,A40,2122,A93,2,1
A14,18,A32,A49,1950,A93,1,1
A14,12,A34,A43,1291,A92,2,1
A14,10,A32,A40,1546,A93,2,1
A12,36,A31,A44,3990,A92,2,1
A14,9,A32,A49,1449,A92,2,1
A14,24,A32,A41,2679,A92,1,1
A11,10,A32,A43,2315,A93,4,1
A14,15,A34,A42,3343,A93,2,1
A11,42,A34,A45,3394,A93,4,1
A12,18,A34,A42,3612,A92,4,1
A14,24,A33,A49,2375,A93,2,1
A14,12,A32,A42,1736,A92,4,1
A12,10,A32,A40,7308,A93,4,1
A14,15,A32,A42,2708,A93,3,1
A13,6,A32,A42,2116,A93,2,1
A14,12,A32,A43,707,A93,2,1
A12,48,A32,A43,3979,A93,1,1
A14,12,A34,A43,618,A93,4,1
A14,15,A34,A46,1532,A92,3,1
A12,12,A32,A41,2028,A93,2,1
A14,6,A32,A45,660,A94,4,1
A14,12,A34,A43,1240,A92,2,1
A13,10,A32,A40,3949,A93,1,1
A12,48,A33,A410,7582,A93,4,1
A14,12,A32,A43,2073,A92,2,1
A12,30,A32,A43,1715,A92,1,1
A13,24,A32,A43,5152,A93,2,1
A11,12,A32,A43,1498,A92,1,1
A14,4,A34,A43,1544,A93,1,1
A11,36,A32,A42,3620,A93,2,1
A11,21,A34,A40,571,A93,4,1
A12,12,A32,A40,7472,A92,2,1
A14,6,A32,A40,672,A92,4,1
A14,18,A32,A41,3378,A93,1,1
A14,6,A32,A43,2108,A94,2,1
A12,11,A32,A42,1577,A92,1,1
A11,8,A34,A410,1164,A93,4,1
A14,15,A32,A43,1213,A93,3,1
A14,24,A32,A40,1469,A94,4,1
A14,12,A32,A43,2171,A92,2,1
A14,9,A34,A42,2406,A93,3,1
A14,24,A32,A43,1311,A94,3,1
A11,30,A32,A42,3622,A92,4,1
A14,39,A32,A41,8588,A93,2,1
A13,15,A34,A41,2360,A93,2,1
A13,12,A32,A43,3399,A93,3,1
A12,13,A32,A43,2101,A92,4,1
A11,12,A32,A43,2214,A93,3,1
A12,9,A32,A43,1206,A92,4,1
A11,36,A32,A46,1977,A93,4,2
A12,30,A30,A49,4280,A92,4,2
A13,24,A34,A40,1344,A93,2,2
A13,9,A30,A43,1337,A93,2,2
A12,36,A33,A40,8086,A93,4,2
A11,24,A32,A42,2996,A94,4,2
A11,48,A30,A42,7119,A93,4,2
A12,48,A30,A49,14421,A93,2,2
A11,9,A32,A40,654,A93,3,2
A11,24,A31,A42,6872,A91,1,2
A11,24,A32,A40,915,A92,2,2
A14,15,A32,A46,4623,A93,2,2
A11,12,A32,A40,1274,A92,1,2
A11,24,A32,A40,1381,A92,2,2
A11,36,A32,A40,1842,A92,4,2
A12,24,A32,A43,2039,A94,1,2
A12,72,A32,A43,5595,A94,2,2
A11,48,A32,A43,6999,A94,1,2
A11,36,A31,A42,2746,A93,4,2
A14,18,A33,A42,1808,A92,1,2
A11,48,A32,A41,10297,A93,4,2
A12,9,A34,A46,1501,A92,3,2
A13,12,A31,A49,609,A92,1,2
