@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute InstallmentRate numeric
@attribute StatusAndSex {A93,A92,A91,A94}
@attribute Property {A121,A122,A124,A123}
@attribute Customer {1,2}

@data
A14,3,A92,A121,1
A14,3,A94,A121,1
A14,3,A93,A121,1
A14,4,A92,A123,1
A14,2,A93,A123,1
A13,4,A93,A122,1
A14,4,A93,A122,1
A14,3,A93,A122,1
A11,2,A93,A124,1
A14,3,A93,A121,1
A14,4,A91,A123,1
A12,1,A92,A121,1
A12,2,A92,A124,1
A12,4,A93,A123,1
A14,4,A93,A122,1
A11,3,A93,A121,1
A14,1,A92,A121,1
A14,3,A93,A123,1
A11,1,A92,A121,1
A14,4,A93,A121,1
A13,2,A91,A123,1
A14,1,A93,A121,1
A14,4,A94,A122,1
A12,2,A92,A122,1
A14,4,A93,A123,1
A14,2,A92,A122,1
A14,3,A93,A123,1
A12,2,A93,A123,1
A14,1,A92,A124,1
A14,3,A93,A122,1
A12,4,A93,A122,1
A13,2,A93,A123,1
A11,2,A92,A121,1
A11,3,A93,A123,1
A11,4,A93,A124,1
A14,4,A93,A121,1
A11,4,A93,A122,1
A14,4,A93,A121,1
A14,3,A93,A123,1
A12,2,A93,A124,1
A14,4,A91,A121,1
A12,1,A93,A123,1
A14,4,A93,A123,1
A14,3,A92,A123,1
A14,2,A93,A124,1
A14,4,A92,A123,1
A14,4,A93,A123,1
A12,2,A93,A123,1
A14,4,A92,A124,1
A11,4,A92,A121,1
A14,4,A93,A121,1
A11,1,A93,A121,1
A12,4,A93,A121,1
A14,4,A93,A123,1
A11,1,A93,A121,1
A11,1,A92,A123,1
A14,2,A93,A123,1
A14,2,A94,A121,1
A14,1,A92,A121,1
A14,1,A93,A123,1
A14,4,A93,A121,1
A12,1,A92,A121,1
A11,4,A92,A122,1
A14,4,A93,A123,1
A14,2,A92,A123,1
A14,4,A94,A121,1
A11,3,A93,A122,1
A14,4,A93,A122,1
A14,2,A93,A122,1
A11,2,A91,A122,1
A14,2,A93,A122,1
A14,2,A93,A123,1
A14,4,A92,A124,1
A11,2,A93,A121,1
A11,3,A93,A122,1
A14,3,A92,A121,1
A12,1,A92,A123,1
A11,4,A93,A123,1
A11,4,A93,A122,1
A14,4,A93,A123,1
A12,2,A92,A121,1
A11,2,A91,A123,1
A12,4,A93,A123,1
A14,4,A93,A124,1
A13,4,A93,A124,1
A14,2,A93,A122,1
A14,2,A93,A123,1
A13,2,A91,A122,1
A14,4,A93,A124,1
A12,3,A94,A121,1
A12,1,A92,A123,1
A14,4,A92,A122,1
A12,2,A92,A121,1
A11,2,A92,A122,1
A11,4,A92,A122,1
A14,4,A94,A121,1
A14,4,A93,A123,1
A14,2,A93,A122,1
A12,2,A93,A122,1
A14,4,A93,A122,1
A13,4,A92,A122,1
A11,2,A93,A121,1
A13,2,A91,A121,1
A11,1,A92,A122,1
A11,3,A92,A124,1
A14,4,A93,A122,1
A14,2,A92,A121,1
A11,3,A93,A123,1
A14,1,A93,A121,1
A11,2,A92,A123,1
A14,2,A92,A123,1
A14,1,A92,A121,1
A13,4,A93,A124,1
A14,3,A93,A121,1
A11,4,A93,A123,1
A14,2,A92,A124,1
A14,1,A93,A121,1
A14,4,A93,A122,1
A14,4,A92,A123,1
A11,3,A93,A124,1
A11,1,A93,A121,1
A12,1,A94,A121,1
A12,4,A93,A122,1
A14,3,A93,A123,1
A14,2,A93,A124,1
A11,3,A92,A121,1
A12,1,A93,A121,1
A11,1,A93,A121,1
A14,4,A93,A121,1
A14,4,A93,A123,1
A14,4,A93,A121,1
A14,2,A93,A122,1
A11,4,A92,A123,1
A14,2,A92,A123,1
A14,3,A93,A123,1
A14,4,A92,A123,1
A11,3,A93,A122,1
A11,4,A93,A122,1
A14,4,A93,A123,1
A11,4,A93,A124,1
A14,4,A93,A123,1
A14,3,A92,A122,1
A14,2,A93,A121,1
A12,1,A92,A121,1
A11,4,A92,A123,1
A14,4,A93,A121,1
A13,4,A93,A123,1
A11,4,A94,A123,1
A14,4,A93,A123,1
A12,4,A94,A121,1
A12,4,A93,A124,1
A14,1,A92,A121,1
A11,4,A93,A121,1
A11,4,A93,A122,1
A14,3,A92,A123,1
A14,4,A93,A121,1
A12,2,A93,A123,1
A11,4,A94,A121,1
A11,4,A94,A121,1
A11,4,A92,A122,1
A14,4,A93,A123,1
A11,3,A93,A122,1
A14,4,A92,A123,1
A14,4,A91,A121,1
A14,3,A92,A122,1
A14,1,A92,A121,1
A14,2,A94,A122,1
A14,4,A93,A123,1
A14,3,A93,A121,1
A12,4,A92,A123,1
A14,2,A93,A122,1
A14,1,A93,A121,1
A11,1,A93,A124,1
A13,3,A94,A121,1
A11,3,A93,A121,1
A12,3,A92,A121,1
A14,4,A92,A123,1
A14,4,A93,A121,1
A12,4,A93,A123,1
A14,2,A93,A123,1
A14,3,A93,A124,1
A12,4,A93,A122,1
A14,4,A94,A121,1
A14,3,A93,A122,1
A14,2,A93,A122,1
A14,3,A93,A122,1
A13,3,A92,A121,1
A14,3,A93,A123,1
A13,2,A92,A123,1
A12,2,A93,A123,1
A14,2,A92,A122,1
A14,3,A93,A121,1
A13,4,A93,A122,1
A14,4,A93,A123,1
A12,4,A93,A121,1
A12,2,A93,A123,1
A11,4,A92,A121,1
A14,4,A92,A121,1
A12,1,A94,A121,1
A14,4,A92,A123,1
A11,2,A93,A121,1
A14,4,A93,A124,1
A14,4,A93,A121,1
A14,4,A93,A124,1
A14,2,A93,A123,1
A14,2,A94,A122,1
A14,4,A93,A122,1
A14,4,A92,A121,1
A12,1,A92,A123,1
A14,4,A92,A121,1
A12,1,A93,A124,1
A14,2,A94,A121,1
A14,4,A92,A121,1
A14,3,A93,A121,1
A14,4,A93,A123,1
A11,4,A92,A122,1
A12,3,A93,A122,1
A11,4,A92,A121,1
A14,4,A93,A123,1
A14,3,A93,A123,1
A14,4,A93,A123,1
A12,3,A91,A123,1
A14,4,A94,A121,1
A14,4,A93,A123,1
A12,4,A92,A123,1
A11,2,A93,A124,1
A14,4,A93,A123,1
A14,2,A92,A122,1
A14,1,A94,A122,1
A14,2,A91,A121,1
A14,4,A93,A124,1
A12,3,A94,A122,1
A14,3,A93,A124,1
A13,3,A91,A124,1
A11,4,A93,A121,1
A12,3,A92,A122,1
A12,4,A93,A124,1
A12,4,A93,A121,1
A12,2,A93,A123,1
A12,4,A93,A121,1
A14,4,A93,A123,1
A13,2,A93,A121,1
A13,4,A93,A124,1
A12,4,A94,A121,1
A14,4,A93,A122,1
A11,4,A93,A122,1
A14,3,A91,A123,1
A14,4,A93,A124,1
A14,4,A93,A122,1
A13,2,A93,A122,1
A12,4,A93,A124,1
A14,1,A93,A122,1
A12,3,A93,A123,1
A11,3,A93,A121,1
A11,4,A93,A123,1
A14,4,A93,A123,1
A14,4,A93,A122,1
A12,4,A92,A122,1
A11,4,A93,A123,1
A14,4,A93,A124,1
A14,2,A92,A123,1
A12,1,A93,A122,1
A14,1,A93,A124,1
A11,4,A93,A122,1
A14,3,A92,A121,1
A13,2,A93,A124,1
A12,2,A94,A122,1
A14,2,A92,A123,1
A14,4,A93,A121,1
A14,4,A94,A121,1
A14,1,A92,A124,1
A11,1,A92,A122,1
A12,2,A92,A122,1
A12,2,A93,A121,1
A14,2,A93,A122,1
A14,3,A93,A121,1
A12,4,A91,A123,1
A14,4,A92,A121,1
A14,3,A94,A124,1
A13,4,A93,A123,1
A12,4,A92,A123,1
A14,4,A93,A123,1
A14,2,A93,A124,1
A14,4,A93,A122,1
A14,4,A93,A123,1
A14,3,A93,A123,1
A14,2,A92,A123,1
A14,3,A92,A123,1
A14,2,A93,A121,1
A14,4,A92,A122,1
A12,2,A93,A121,1
A12,2,A92,A123,1
A14,4,A92,A121,1
A14,4,A93,A123,1
A11,4,A93,A124,1
A14,4,A93,A124,1
A11,1,A93,A121,1
A14,4,A93,A124,1
A12,2,A93,A124,1
A14,2,A93,A122,1
A14,4,A94,A123,1
A14,1,A93,A123,1
A14,2,A94,A121,1
A14,4,A92,A124,1
A13,2,A92,A123,1
A14,4,A93,A123,1
A12,4,A92,A121,1
A11,3,A93,A124,1
A14,2,A93,A122,1
A12,4,A93,A123,1
A14,4,A93,A123,1
A11,2,A93,A123,1
A12,2,A92,A121,1
A12,4,A93,A122,1
A12,4,A93,A122,1
A12,4,A93,A124,1
A11,4,A93,A124,1
A12,3,A94,A121,1
A12,4,A93,A121,1
A14,1,A93,A121,1
A14,1,A93,A121,1
A14,4,A92,A123,1
A14,4,A92,A123,1
A11,4,A93,A123,1
A12,1,A93,A121,1
A14,2,A92,A123,1
A13,2,A92,A123,1
A14,4,A93,A123,1
A14,4,A93,A122,1
A11,3,A93,A121,1
A11,2,A92,A124,1
A11,2,A93,A122,1
A14,4,A93,A121,1
A14,4,A93,A122,1
A14,4,A92,A123,1
A14,3,A93,A121,1
A12,3,A94,A121,1
A14,2,A93,A121,1
A14,2,A93,A124,1
A14,4,A94,A123,1
A13,4,A93,A121,1
A12,4,A92,A121,1
A14,4,A93,A124,1
A11,2,A93,A124,1
A12,3,A91,A123,1
A14,3,A92,A121,1
A14,4,A92,A123,1
A12,4,A92,A123,1
A12,4,A93,A122,1
A12,4,A92,A122,1
A11,4,A92,A122,1
A14,4,A93,A124,1
A13,2,A93,A121,1
A14,4,A93,A123,1
A11,1,A92,A123,1
A12,3,A93,A123,1
A14,1,A94,A123,1
A12,2,A93,A123,1
A14,4,A93,A123,1
A14,2,A93,A124,1
A14,4,A92,A123,1
A14,4,A93,A123,1
A12,3,A93,A121,1
A14,4,A93,A123,1
A12,2,A93,A124,1
A14,3,A92,A121,1
A12,3,A92,A124,1
A13,3,A92,A121,1
A12,3,A94,A121,1
A12,2,A92,A123,1
A11,4,A92,A122,1
A14,1,A91,A121,1
A14,4,A93,A123,1
A14,4,A93,A123,1
A12,4,A92,A121,1
A14,3,A93,A123,1
A14,2,A94,A121,1
A14,4,A93,A121,1
A12,2,A93,A124,1
A11,2,A93,A121,1
A13,2,A93,A123,1
A14,2,A94,A122,1
A11,3,A94,A122,1
A14,4,A93,A122,1
A11,4,A92,A123,1
A14,4,A93,A123,1
A12,1,A92,A121,1
A14,2,A93,A124,1
A12,3,A94,A123,1
A13,1,A92,A123,1
A11,4,A93,A121,1
A13,4,A93,A122,1
A11,4,A93,A123,1
A14,3,A93,A123,1
A12,4,A94,A121,1
A11,4,A92,A122,1
A12,2,A93,A121,1
A14,4,A92,A123,1
A12,2,A93,A122,1
A12,2,A92,A121,1
A12,3,A93,A121,1
A14,4,A93,A124,1
A14,4,A92,A122,1
A11,2,A93,A122,1
A14,3,A91,A123,1
A11,3,A93,A124,1
A14,4,A94,A122,1
A11,4,A92,A122,1
A14,4,A94,A122,1
A14,3,A93,A124,1
A14,3,A93,A122,1
A14,4,A93,A122,1
A14,1,A93,A121,1
A12,4,A93,A123,1
A14,1,A92,A123,1
A14,4,A92,A121,1
A14,4,A93,A121,1
A11,1,A92,A123,1
A11,4,A93,A122,1
A12,4,A93,A122,1
A13,3,A94,A123,1
A14,4,A93,A121,1
A11,4,A93,A121,1
A12,1,A92,A124,1
A14,1,A93,A123,1
A14,3,A92,A122,1
A14,1,A92,A123,1
A14,1,A93,A121,1
A14,2,A93,A122,1
A12,4,A93,A123,1
A11,4,A94,A122,1
A14,3,A92,A123,1
A14,1,A94,A122,1
A11,2,A91,A122,1
A12,4,A93,A121,1
A14,4,A93,A123,1
A11,4,A92,A123,1
A14,3,A93,A123,1
A14,3,A93,A121,1
A11,1,A92,A123,1
A12,4,A94,A121,1
A12,3,A93,A124,1
A14,4,A93,A124,1
A14,4,A92,A121,1
A13,2,A93,A121,1
A12,2,A92,A121,1
A11,1,A92,A123,1
A14,2,A92,A123,1
A14,1,A92,A122,1
A11,1,A94,A123,1
A14,4,A92,A123,1
A14,1,A93,A123,1
A11,2,A93,A121,1
A14,3,A94,A121,1
A13,3,A92,A123,1
A12,4,A93,A123,1
A12,4,A93,A123,1
A11,2,A93,A124,1
A12,4,A93,A123,1
A14,2,A93,A122,1
A12,2,A93,A121,1
A14,4,A93,A123,1
A14,4,A93,A121,1
A14,2,A93,A122,1
A14,4,A92,A123,1
A12,4,A92,A122,1
A14,4,A92,A123,1
A12,4,A92,A121,1
A14,3,A93,A124,1
A11,3,A93,A121,1
A14,4,A94,A121,1
A12,1,A92,A122,1
A11,2,A92,A121,1
A13,2,A93,A123,1
A14,4,A92,A122,1
A12,4,A93,A122,1
A14,4,A93,A123,1
A14,2,A93,A124,1
A13,4,A92,A122,1
A12,4,A93,A123,1
A11,1,A93,A122,1
A14,4,A94,A123,1
A12,4,A93,A121,1
A12,4,A93,A121,1
A12,4,A93,A123,1
A12,2,A92,A123,1
A14,4,A92,A122,1
A13,1,A93,A121,1
A11,1,A93,A122,1
A12,1,A93,A123,1
A11,4,A93,A121,1
A14,4,A93,A122,1
A12,4,A94,A121,1
A14,4,A92,A123,1
A14,3,A93,A123,1
A12,4,A92,A124,1
A13,3,A92,A123,1
A13,1,A92,A122,1
A14,2,A91,A121,1
A12,4,A93,A122,1
A11,4,A92,A123,1
A14,2,A93,A124,1
A14,4,A92,A121,1
A14,2,A92,A123,1
A14,1,A93,A122,1
A14,4,A93,A122,1
A12,1,A91,A123,1
A13,2,A91,A121,1
A11,4,A93,A123,1
A12,3,A94,A121,1
A11,4,A93,A122,1
A12,4,A93,A121,1
A11,4,A93,A122,1
A12,4,A94,A121,1
A14,4,A94,A121,1
A14,2,A94,A123,1
A11,2,A93,A121,1
A14,4,A94,A121,1
A14,2,A93,A122,1
A14,4,A92,A124,1
A14,3,A93,A123,1
A11,2,A93,A123,1
A11,4,A91,A122,1
A14,4,A93,A123,1
A14,1,A92,A122,1
A14,4,A93,A121,1
A12,2,A93,A123,1
A11,2,A92,A122,1
A12,4,A93,A123,1
A11,1,A92,A123,1
A14,4,A92,A121,1
A14,4,A92,A123,1
A11,1,A92,A122,1
A14,4,A92,A122,1
A13,1,A93,A122,1
A12,4,A93,A124,1
A13,2,A92,A122,1
A14,1,A92,A122,1
A13,2,A91,A123,2
A11,4,A94,A121,2
A11,4,A93,A122,2
A11,4,A93,A123,2
A12,1,A92,A122,2
A12,4,A93,A124,2
A11,4,A93,A124,2
A12,4,A93,A122,2
A11,4,A93,A122,2
A11,4,A93,A124,2
A12,4,A92,A122,2
A11,4,A93,A123,2
A12,2,A93,A123,2
A14,1,A92,A123,2
A11,4,A93,A123,2
A14,1,A91,A123,2
A12,4,A92,A122,2
A11,4,A93,A123,2
A12,2,A93,A123,2
A11,3,A93,A123,2
A11,4,A92,A123,2
A11,4,A92,A123,2
A11,4,A93,A124,2
A12,4,A92,A122,2
A11,4,A93,A121,2
A14,4,A92,A122,2
A12,1,A94,A121,2
A14,3,A93,A123,2
A12,2,A94,A123,2
A11,4,A94,A124,2
A12,4,A92,A124,2
A11,4,A94,A121,2
A11,4,A93,A123,2
A11,4,A93,A124,2
A12,4,A92,A122,2
A12,3,A92,A122,2
A12,4,A91,A123,2
A14,2,A93,A122,2
A14,3,A93,A122,2
A11,3,A93,A124,2
A11,1,A91,A124,2
A11,4,A92,A122,2
A11,4,A93,A123,2
A11,2,A91,A122,2
A12,2,A94,A121,2
A14,4,A93,A121,2
A13,4,A94,A121,2
A11,2,A93,A123,2
A12,1,A91,A121,2
A11,4,A93,A124,2
A12,4,A93,A121,2
A11,4,A91,A122,2
A12,3,A92,A121,2
A12,4,A93,A123,2
A12,4,A93,A122,2
A12,4,A92,A123,2
A11,4,A91,A124,2
A14,2,A93,A123,2
A12,4,A93,A123,2
A14,3,A92,A121,2
A12,2,A92,A121,2
A14,4,A92,A121,2
A12,1,A94,A122,2
A11,4,A94,A122,2
A11,4,A93,A121,2
A11,4,A93,A123,2
A11,1,A93,A124,2
A12,1,A93,A124,2
A12,3,A92,A123,2
A11,1,A94,A121,2
A11,3,A93,A124,2
A11,4,A93,A124,2
A11,3,A93,A124,2
A14,4,A92,A121,2
A11,2,A93,A122,2
A12,4,A94,A123,2
A12,1,A93,A122,2
A11,3,A93,A123,2
A13,4,A93,A123,2
A14,4,A92,A123,2
A11,1,A92,A121,2
A12,2,A92,A123,2
A12,2,A93,A122,2
A12,4,A93,A124,2
A11,2,A93,A122,2
A12,4,A91,A121,2
A14,3,A93,A123,2
A12,4,A92,A123,2
A11,2,A93,A122,2
A14,4,A92,A123,2
A12,4,A93,A124,2
A11,4,A92,A123,2
A11,4,A92,A122,2
A11,1,A92,A121,2
A11,3,A92,A123,2
A12,1,A92,A122,2
A11,4,A94,A122,2
A12,2,A94,A123,2
A11,2,A93,A122,2
A12,4,A92,A121,2
A11,4,A93,A122,2
A11,4,A93,A124,2
A12,4,A93,A124,2
A11,3,A93,A122,2
A12,4,A93,A122,2
A14,3,A92,A121,2
A11,4,A93,A122,2
A12,2,A92,A123,2
A11,4,A92,A122,2
A12,1,A92,A123,2
A12,4,A94,A123,2
A12,2,A93,A123,2
A14,4,A94,A122,2
A11,4,A92,A124,2
A14,4,A93,A122,2
A11,4,A91,A123,2
A11,4,A92,A124,2
A11,4,A92,A121,2
A13,4,A93,A124,2
A14,2,A93,A121,2
A11,1,A93,A122,2
A14,2,A93,A122,2
A14,4,A91,A121,2
A14,4,A92,A121,2
A12,2,A94,A122,2
A11,4,A92,A121,2
A11,4,A92,A123,2
A11,1,A92,A123,2
A12,3,A92,A123,2
A14,2,A93,A123,2
A11,4,A92,A121,2
A14,3,A93,A122,2
A11,4,A93,A124,2
A14,4,A93,A123,2
A11,4,A94,A121,2
A11,4,A92,A121,2
A12,4,A93,A122,2
A14,4,A92,A121,2
A11,3,A92,A121,2
A12,4,A91,A124,2
A11,1,A91,A122,2
A12,2,A93,A123,2
A12,4,A93,A124,2
A11,2,A93,A123,2
A14,4,A93,A123,2
A14,2,A92,A122,2
A14,4,A93,A123,2
A11,4,A93,A121,2
A12,4,A91,A123,2
A11,4,A93,A124,2
A11,4,A93,A121,2
A14,4,A94,A123,2
A12,1,A93,A124,2
A12,4,A93,A124,2
A14,2,A93,A123,2
A12,2,A93,A121,2
A11,1,A92,A124,2
A12,2,A92,A123,2
A11,3,A92,A124,2
A12,3,A92,A122,2
A14,4,A93,A123,2
A12,2,A93,A124,2
A11,2,A93,A122,2
A11,4,A93,A124,2
A11,2,A94,A123,2
A13,4,A93,A121,2
A11,4,A92,A124,2
A12,4,A93,A124,2
A11,4,A92,A122,2
A11,4,A92,A124,2
A12,4,A93,A124,2
A12,2,A92,A121,2
A14,4,A92,A121,2
A11,2,A93,A123,2
A11,4,A93,A124,2
A11,2,A92,A124,2
A11,4,A92,A123,2
A12,2,A93,A123,2
A11,4,A92,A122,2
A12,4,A92,A123,2
A12,4,A92,A124,2
A14,2,A93,A124,2
A12,4,A93,A123,2
A11,4,A92,A123,2
A11,2,A93,A123,2
A12,2,A92,A123,2
A11,4,A93,A123,2
A12,4,A93,A124,2
A14,4,A93,A124,2
A14,4,A92,A123,2
A13,4,A92,A121,2
A11,3,A93,A123,2
A12,1,A93,A124,2
A11,2,A93,A122,2
A11,3,A93,A122,2
A12,3,A94,A123,2
A14,1,A92,A122,2
A12,4,A93,A121,2
A14,2,A92,A122,2
A12,3,A92,A124,2
A11,4,A92,A121,2
A11,3,A92,A121,2
A11,4,A94,A123,2
A11,4,A93,A123,2
A11,2,A91,A122,2
A14,2,A93,A123,2
A12,1,A93,A122,2
A12,4,A92,A124,2
A11,4,A93,A122,2
A14,4,A93,A124,2
A11,4,A92,A123,2
A12,2,A92,A124,2
A11,3,A93,A122,2
A11,3,A92,A122,2
A11,4,A94,A122,2
A12,2,A92,A124,2
A12,2,A93,A123,2
A11,1,A91,A121,2
A13,3,A92,A121,2
A11,4,A92,A123,2
A12,2,A92,A123,2
A11,3,A92,A122,2
A11,4,A93,A123,2
A11,4,A93,A123,2
A11,4,A93,A122,2
A11,4,A93,A123,2
A11,3,A93,A124,2
A12,3,A92,A124,2
A11,1,A92,A122,2
A12,2,A92,A122,2
A14,2,A93,A124,2
A11,4,A92,A121,2
A11,2,A92,A123,2
A14,4,A93,A123,2
A11,2,A93,A123,2
A11,3,A92,A121,2
A11,1,A92,A123,2
A11,4,A93,A121,2
A12,4,A92,A122,2
A11,2,A92,A121,2
A14,2,A92,A123,2
A12,4,A93,A124,2
A11,4,A92,A121,2
A12,3,A92,A123,2
A12,1,A93,A121,2
A11,4,A92,A123,2
A11,4,A93,A123,2
A11,4,A93,A121,2
A12,1,A92,A122,2
A11,2,A92,A123,2
A11,3,A93,A124,2
A12,4,A92,A124,2
A14,4,A93,A124,2
A12,3,A94,A122,2
A12,4,A92,A123,2
A12,3,A91,A123,2
A11,3,A92,A122,2
A12,4,A93,A122,2
A12,4,A92,A124,2
A12,1,A92,A123,2
A13,2,A92,A121,2
A11,3,A93,A124,2
A12,3,A93,A124,2
A11,2,A93,A121,2
A11,4,A93,A123,2
A11,4,A92,A122,2
A12,1,A92,A123,2
A11,4,A93,A122,2
A12,4,A93,A124,2
A11,4,A93,A123,2
