@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute Property {A121,A122,A124,A123}
@attribute InstallmentPlans {A143,A141,A142}
@attribute Customer {1,2}

@data
A11,A32,A121,A143,1
A14,A32,A121,A143,1
A14,A34,A123,A143,1
A14,A32,A121,A143,1
A14,A34,A123,A143,1
A11,A34,A123,A143,1
A14,A34,A121,A143,1
A14,A32,A124,A143,1
A12,A34,A121,A141,1
A12,A32,A121,A141,1
A12,A32,A122,A143,1
A12,A32,A121,A141,1
A12,A32,A122,A143,1
A14,A34,A122,A143,1
A14,A33,A122,A143,1
A14,A32,A121,A143,1
A11,A31,A121,A142,1
A14,A34,A122,A143,1
A14,A32,A122,A143,1
A11,A32,A122,A143,1
A12,A34,A124,A143,1
A12,A32,A123,A143,1
A11,A32,A123,A143,1
A14,A34,A123,A143,1
A14,A34,A122,A143,1
A14,A34,A121,A143,1
A11,A34,A121,A143,1
A14,A32,A123,A143,1
A14,A34,A121,A143,1
A12,A33,A123,A143,1
A11,A32,A122,A143,1
A14,A32,A122,A143,1
A14,A34,A124,A141,1
A12,A33,A124,A143,1
A12,A32,A121,A143,1
A14,A32,A123,A141,1
A14,A32,A121,A143,1
A14,A34,A123,A143,1
A11,A34,A121,A143,1
A13,A32,A123,A143,1
A12,A32,A121,A143,1
A11,A32,A122,A141,1
A14,A32,A123,A143,1
A14,A32,A123,A143,1
A14,A33,A123,A143,1
A14,A32,A122,A143,1
A12,A33,A123,A141,1
A14,A32,A121,A141,1
A14,A34,A124,A143,1
A14,A34,A124,A141,1
A14,A32,A123,A143,1
A11,A32,A123,A143,1
A13,A32,A123,A143,1
A14,A34,A123,A143,1
A11,A34,A121,A143,1
A14,A32,A121,A143,1
A14,A34,A121,A143,1
A11,A32,A122,A143,1
A14,A32,A123,A143,1
A14,A34,A121,A143,1
A14,A32,A123,A143,1
A12,A32,A123,A143,1
A11,A30,A122,A141,1
A14,A32,A122,A143,1
A14,A34,A122,A143,1
A12,A32,A121,A143,1
A14,A32,A121,A143,1
A14,A34,A122,A143,1
A14,A34,A121,A143,1
A14,A32,A123,A143,1
A14,A32,A123,A143,1
A14,A32,A121,A143,1
A14,A32,A121,A143,1
A12,A32,A121,A143,1
A11,A32,A122,A143,1
A13,A32,A121,A143,1
A14,A34,A123,A142,1
A12,A32,A123,A143,1
A14,A32,A123,A143,1
A11,A32,A122,A143,1
A14,A32,A121,A143,1
A12,A34,A122,A143,1
A13,A32,A121,A143,1
A12,A32,A121,A143,1
A12,A31,A123,A142,1
A14,A33,A124,A143,1
A14,A34,A123,A143,1
A12,A33,A121,A143,1
A14,A34,A124,A141,1
A14,A34,A124,A143,1
A14,A34,A121,A143,1
A13,A31,A121,A143,1
A11,A32,A122,A143,1
A12,A32,A121,A143,1
A11,A32,A123,A143,1
A13,A34,A124,A141,1
A14,A32,A121,A143,1
A14,A34,A123,A143,1
A14,A30,A123,A143,1
A11,A32,A124,A143,1
A14,A34,A122,A143,1
A14,A34,A121,A143,1
A14,A32,A122,A143,1
A14,A34,A121,A143,1
A14,A34,A122,A143,1
A14,A30,A122,A143,1
A12,A32,A121,A143,1
A14,A33,A123,A143,1
A12,A32,A121,A143,1
A11,A32,A122,A143,1
A14,A34,A124,A141,1
A11,A32,A124,A143,1
A11,A32,A123,A143,1
A14,A32,A122,A141,1
A14,A32,A124,A143,1
A14,A34,A122,A143,1
A14,A31,A122,A141,1
A13,A32,A122,A143,1
A12,A34,A123,A143,1
A11,A32,A123,A143,1
A12,A34,A122,A143,1
A11,A32,A122,A143,1
A12,A32,A123,A143,1
A12,A32,A123,A143,1
A14,A34,A121,A143,1
A14,A31,A123,A141,1
A14,A32,A121,A143,1
A13,A34,A121,A143,1
A13,A30,A122,A143,1
A11,A33,A122,A143,1
A14,A32,A121,A143,1
A12,A31,A124,A141,1
A12,A32,A121,A143,1
A14,A34,A124,A143,1
A13,A32,A123,A141,1
A12,A32,A121,A143,1
A14,A32,A123,A143,1
A12,A32,A121,A143,1
A14,A34,A124,A143,1
A14,A34,A123,A143,1
A14,A31,A121,A141,1
A14,A34,A121,A143,1
A14,A34,A123,A143,1
A12,A32,A121,A143,1
A14,A32,A121,A143,1
A12,A33,A122,A143,1
A12,A32,A121,A143,1
A14,A32,A123,A143,1
A14,A34,A121,A143,1
A11,A34,A121,A143,1
A14,A32,A122,A142,1
A12,A32,A121,A143,1
A11,A34,A122,A141,1
A14,A34,A122,A143,1
A14,A34,A121,A143,1
A14,A32,A123,A143,1
A14,A32,A122,A143,1
A12,A32,A122,A143,1
A14,A34,A123,A143,1
A12,A34,A121,A141,1
A14,A32,A124,A143,1
A14,A34,A121,A143,1
A14,A34,A122,A143,1
A11,A34,A121,A143,1
A11,A34,A121,A143,1
A12,A32,A123,A143,1
A13,A33,A123,A142,1
A14,A34,A123,A143,1
A14,A33,A122,A143,1
A14,A32,A121,A143,1
A11,A34,A124,A143,1
A14,A34,A123,A143,1
A11,A32,A123,A143,1
A14,A33,A123,A143,1
A11,A32,A123,A141,1
A14,A34,A122,A141,1
A13,A34,A121,A143,1
A11,A34,A124,A141,1
A12,A32,A122,A143,1
A11,A32,A122,A143,1
A11,A31,A124,A141,1
A12,A32,A124,A143,1
A12,A32,A121,A143,1
A12,A33,A123,A143,1
A12,A33,A122,A143,1
A14,A34,A123,A141,1
A11,A34,A124,A143,1
A11,A32,A122,A143,1
A12,A33,A124,A143,1
A14,A34,A121,A143,1
A14,A33,A123,A142,1
A12,A34,A124,A143,1
A11,A32,A122,A143,1
A11,A32,A123,A143,1
A14,A34,A123,A143,1
A11,A34,A124,A143,1
A14,A34,A123,A143,1
A14,A34,A123,A143,1
A12,A32,A123,A143,1
A14,A34,A123,A143,1
A11,A34,A123,A143,1
A12,A32,A122,A143,1
A14,A32,A123,A143,1
A12,A32,A121,A143,1
A13,A31,A123,A141,1
A14,A33,A123,A143,1
A12,A32,A123,A143,1
A14,A33,A123,A143,1
A14,A33,A123,A143,1
A12,A34,A121,A143,1
A14,A34,A121,A143,1
A13,A32,A121,A143,1
A14,A32,A124,A141,1
A14,A32,A122,A143,1
A13,A32,A123,A143,1
A13,A32,A122,A143,1
A14,A32,A122,A143,1
A14,A34,A123,A143,1
A12,A32,A124,A143,1
A12,A33,A123,A141,1
A12,A34,A121,A143,1
A11,A32,A122,A141,1
A14,A32,A124,A143,1
A13,A34,A123,A143,1
A14,A34,A121,A143,1
A14,A32,A122,A142,1
A14,A34,A121,A143,1
A11,A32,A122,A143,1
A12,A32,A122,A143,1
A14,A32,A121,A143,1
A11,A32,A121,A143,1
A11,A31,A123,A141,1
A14,A32,A123,A143,1
A11,A34,A123,A143,1
A12,A34,A123,A143,1
A12,A33,A122,A141,1
A13,A32,A123,A143,1
A11,A32,A124,A141,1
A14,A34,A123,A143,1
A14,A33,A124,A143,1
A12,A34,A121,A141,1
A14,A33,A123,A143,1
A14,A33,A123,A143,1
A11,A32,A123,A143,1
A14,A32,A123,A143,1
A14,A32,A122,A143,1
A14,A34,A123,A143,1
A14,A32,A122,A143,1
A12,A32,A123,A141,1
A12,A33,A122,A142,1
A14,A32,A122,A143,1
A11,A34,A121,A143,1
A14,A32,A123,A143,1
A12,A32,A121,A143,1
A14,A30,A123,A143,1
A14,A34,A121,A142,1
A14,A32,A123,A143,1
A14,A32,A122,A143,1
A14,A34,A124,A143,1
A11,A34,A123,A143,1
A14,A34,A121,A143,1
A12,A33,A121,A143,1
A14,A32,A123,A143,1
A14,A34,A122,A143,1
A11,A34,A122,A143,1
A12,A34,A122,A143,1
A11,A32,A124,A143,1
A14,A34,A122,A143,1
A14,A34,A121,A143,1
A11,A32,A123,A142,1
A12,A32,A124,A141,1
A11,A34,A121,A143,1
A12,A32,A122,A143,1
A14,A34,A122,A143,1
A11,A34,A122,A143,1
A14,A32,A123,A143,1
A14,A32,A121,A143,1
A14,A32,A122,A143,1
A12,A32,A123,A143,1
A11,A32,A121,A143,1
A12,A33,A124,A143,1
A14,A32,A122,A143,1
A12,A33,A122,A141,1
A13,A32,A123,A143,1
A12,A34,A123,A143,1
A14,A34,A121,A143,1
A14,A32,A122,A143,1
A13,A32,A124,A143,1
A12,A32,A123,A143,1
A14,A34,A123,A143,1
A11,A32,A121,A143,1
A14,A33,A121,A143,1
A11,A32,A124,A141,1
A12,A32,A121,A143,1
A14,A34,A122,A143,1
A12,A32,A121,A143,1
A12,A34,A123,A143,1
A14,A32,A123,A143,1
A11,A34,A122,A143,1
A14,A32,A123,A143,1
A12,A32,A121,A143,1
A11,A34,A121,A143,1
A14,A32,A122,A143,1
A14,A32,A122,A141,1
A11,A34,A122,A143,1
A14,A32,A121,A143,1
A11,A32,A121,A143,1
A14,A34,A121,A143,1
A14,A32,A123,A143,1
A14,A32,A121,A143,1
A14,A32,A121,A143,1
A14,A34,A121,A143,1
A11,A34,A122,A143,1
A12,A34,A121,A141,1
A13,A32,A121,A143,1
A14,A34,A124,A143,1
A14,A34,A123,A143,1
A14,A32,A121,A141,1
A12,A33,A122,A143,1
A12,A33,A122,A142,1
A14,A34,A122,A143,1
A14,A32,A121,A143,1
A12,A34,A123,A143,1
A14,A32,A123,A143,1
A12,A34,A121,A143,1
A14,A33,A121,A142,1
A14,A30,A122,A143,1
A13,A32,A121,A143,1
A11,A34,A123,A143,1
A14,A34,A121,A143,1
A12,A32,A123,A143,1
A12,A33,A123,A143,1
A14,A32,A123,A143,1
A13,A34,A123,A143,1
A14,A32,A121,A143,1
A12,A32,A124,A141,1
A12,A34,A121,A143,1
A11,A32,A122,A143,1
A12,A34,A123,A143,1
A11,A32,A124,A143,1
A13,A34,A124,A143,1
A12,A34,A123,A143,1
A14,A32,A123,A143,1
A13,A32,A123,A143,1
A14,A32,A122,A143,1
A11,A32,A123,A142,1
A11,A31,A123,A141,1
A12,A32,A121,A143,1
A14,A32,A124,A143,1
A11,A32,A122,A143,1
A14,A32,A121,A143,1
A14,A34,A123,A143,1
A12,A31,A124,A141,1
A11,A32,A122,A143,1
A14,A34,A121,A143,1
A14,A32,A123,A142,1
A11,A34,A121,A143,1
A12,A30,A123,A143,1
A13,A32,A121,A143,1
A12,A34,A124,A143,1
A12,A32,A121,A143,1
A13,A32,A123,A143,1
A14,A34,A121,A141,1
A14,A34,A123,A143,1
A14,A33,A122,A143,1
A14,A31,A123,A141,1
A14,A34,A124,A143,1
A13,A32,A121,A143,1
A12,A32,A124,A141,1
A14,A32,A122,A143,1
A11,A32,A121,A143,1
A14,A34,A123,A143,1
A12,A33,A124,A143,1
A12,A32,A123,A143,1
A12,A33,A123,A143,1
A14,A32,A123,A143,1
A14,A34,A122,A143,1
A12,A34,A123,A143,1
A14,A34,A124,A143,1
A11,A34,A124,A143,1
A12,A34,A122,A143,1
A14,A34,A121,A143,1
A11,A34,A121,A143,1
A12,A32,A122,A143,1
A14,A34,A122,A143,1
A11,A32,A121,A143,1
A12,A32,A123,A143,1
A14,A34,A121,A143,1
A14,A32,A122,A143,1
A11,A34,A121,A143,1
A14,A32,A123,A143,1
A13,A34,A122,A143,1
A14,A34,A121,A143,1
A14,A32,A123,A143,1
A12,A32,A121,A143,1
A14,A32,A123,A143,1
A11,A32,A124,A143,1
A11,A32,A121,A143,1
A14,A32,A121,A143,1
A14,A32,A122,A143,1
A11,A34,A121,A143,1
A14,A32,A122,A143,1
A11,A33,A123,A143,1
A11,A32,A121,A143,1
A14,A32,A123,A142,1
A14,A34,A121,A143,1
A14,A34,A122,A143,1
A14,A33,A121,A143,1
A14,A32,A122,A143,1
A14,A32,A123,A143,1
A14,A32,A124,A143,1
A12,A32,A121,A141,1
A14,A34,A123,A143,1
A11,A34,A123,A142,1
A14,A32,A124,A143,1
A12,A32,A123,A143,1
A12,A34,A123,A143,1
A14,A32,A121,A143,1
A14,A32,A123,A143,1
A12,A32,A121,A143,1
A12,A34,A124,A143,1
A12,A34,A121,A141,1
A14,A34,A121,A143,1
A14,A32,A121,A143,1
A14,A33,A121,A143,1
A12,A32,A121,A143,1
A12,A32,A121,A143,1
A14,A31,A121,A142,1
A11,A32,A122,A143,1
A11,A32,A122,A143,1
A12,A34,A122,A143,1
A11,A32,A122,A143,1
A11,A34,A121,A143,1
A11,A34,A122,A143,1
A14,A34,A123,A143,1
A14,A34,A123,A141,1
A12,A34,A122,A142,1
A12,A32,A121,A143,1
A12,A32,A123,A143,1
A14,A34,A121,A143,1
A14,A34,A124,A143,1
A11,A34,A121,A143,1
A14,A32,A122,A143,1
A11,A32,A123,A143,1
A14,A32,A123,A143,1
A11,A34,A122,A143,1
A14,A32,A124,A143,1
A12,A34,A122,A143,1
A14,A34,A122,A143,1
A14,A32,A124,A143,1
A14,A33,A121,A143,1
A14,A32,A121,A143,1
A13,A32,A122,A143,1
A14,A32,A121,A143,1
A12,A32,A122,A143,1
A11,A34,A121,A143,1
A14,A32,A122,A143,1
A14,A32,A121,A143,1
A14,A32,A124,A143,1
A14,A30,A124,A141,1
A13,A34,A123,A143,1
A14,A32,A121,A143,1
A12,A34,A122,A143,1
A13,A32,A122,A141,1
A12,A33,A122,A141,1
A14,A32,A121,A143,1
A14,A32,A121,A143,1
A14,A34,A121,A143,1
A14,A34,A123,A143,1
A14,A34,A123,A143,1
A14,A32,A124,A143,1
A14,A32,A122,A141,1
A14,A34,A121,A143,1
A14,A34,A123,A143,1
A14,A32,A123,A141,1
A14,A32,A122,A143,1
A11,A34,A123,A143,1
A11,A32,A121,A143,1
A11,A32,A123,A143,1
A14,A34,A122,A143,1
A14,A32,A122,A143,1
A13,A32,A123,A143,1
A11,A34,A124,A143,1
A12,A31,A124,A143,1
A11,A34,A122,A143,1
A11,A34,A121,A143,1
A14,A34,A123,A143,1
A12,A32,A123,A143,1
A14,A32,A122,A143,1
A14,A33,A123,A141,1
A14,A34,A123,A143,1
A14,A34,A124,A143,1
A12,A32,A121,A143,1
A11,A32,A122,A143,1
A12,A32,A123,A143,1
A14,A34,A124,A143,1
A14,A34,A123,A143,1
A13,A33,A122,A141,1
A14,A32,A124,A143,1
A14,A32,A123,A143,1
A14,A34,A123,A143,1
A14,A33,A123,A143,1
A12,A31,A123,A143,1
A14,A32,A121,A143,1
A14,A32,A123,A141,1
A11,A32,A123,A143,1
A14,A34,A123,A143,1
A14,A34,A122,A143,1
A14,A32,A123,A142,1
A14,A32,A123,A141,1
A14,A32,A121,A143,1
A13,A32,A121,A143,1
A13,A34,A122,A143,1
A14,A34,A124,A143,1
A13,A34,A121,A143,1
A11,A34,A122,A143,1
A14,A32,A121,A143,1
A14,A32,A121,A143,1
A12,A32,A121,A143,1
A14,A32,A121,A143,1
A14,A34,A121,A143,1
A11,A32,A122,A143,1
A12,A32,A121,A143,1
A14,A34,A121,A143,1
A13,A32,A122,A143,1
A14,A32,A121,A143,1
A14,A34,A123,A143,1
A14,A34,A122,A143,1
A12,A33,A122,A143,1
A14,A34,A123,A143,1
A13,A34,A122,A142,1
A14,A34,A123,A143,1
A14,A32,A121,A143,1
A14,A32,A123,A142,1
A13,A32,A121,A143,1
A14,A32,A124,A143,1
A11,A32,A122,A143,1
A14,A32,A123,A143,1
A14,A34,A121,A143,1
A14,A34,A124,A143,1
A14,A32,A124,A141,1
A12,A32,A121,A141,1
A11,A31,A121,A142,1
A14,A32,A123,A143,1
A12,A34,A123,A143,1
A14,A31,A121,A143,1
A14,A33,A122,A143,1
A14,A32,A123,A143,1
A14,A31,A121,A142,1
A11,A32,A122,A143,1
A12,A34,A123,A143,1
A12,A34,A123,A141,1
A14,A34,A123,A143,1
A11,A32,A121,A143,1
A12,A30,A121,A143,1
A12,A33,A121,A143,1
A14,A32,A122,A141,1
A14,A32,A122,A143,1
A12,A32,A123,A143,1
A11,A32,A123,A143,2
A12,A32,A122,A143,2
A12,A32,A121,A143,2
A11,A34,A123,A143,2
A14,A33,A123,A143,2
A14,A34,A121,A143,2
A12,A32,A122,A143,2
A14,A32,A123,A141,2
A11,A32,A123,A143,2
A11,A32,A122,A143,2
A11,A32,A123,A142,2
A12,A32,A123,A143,2
A11,A32,A123,A143,2
A13,A34,A124,A143,2
A14,A34,A122,A141,2
A12,A30,A121,A143,2
A12,A34,A123,A143,2
A12,A30,A122,A141,2
A12,A33,A124,A141,2
A11,A32,A123,A143,2
A11,A32,A121,A143,2
A11,A32,A121,A142,2
A11,A32,A122,A143,2
A11,A34,A124,A143,2
A11,A30,A124,A141,2
A11,A32,A124,A143,2
A12,A34,A123,A143,2
A11,A32,A123,A143,2
A11,A32,A123,A143,2
A11,A32,A121,A143,2
A11,A34,A124,A143,2
A11,A32,A122,A143,2
A12,A31,A124,A141,2
A12,A32,A121,A143,2
A12,A34,A122,A143,2
A11,A32,A124,A143,2
A12,A31,A124,A143,2
A12,A30,A124,A143,2
A11,A32,A121,A143,2
A11,A31,A121,A141,2
A14,A34,A122,A141,2
A11,A34,A121,A143,2
A12,A34,A122,A143,2
A11,A32,A121,A143,2
A11,A32,A123,A143,2
A12,A32,A123,A143,2
A12,A32,A122,A143,2
A14,A32,A124,A142,2
A14,A32,A123,A143,2
A11,A31,A123,A141,2
A14,A33,A121,A141,2
A11,A33,A122,A143,2
A11,A34,A124,A141,2
A14,A33,A124,A143,2
A14,A33,A123,A143,2
A12,A32,A123,A141,2
A12,A32,A121,A143,2
A11,A32,A121,A143,2
A12,A32,A123,A143,2
A14,A34,A122,A143,2
A12,A32,A124,A143,2
A14,A32,A123,A141,2
A14,A33,A123,A143,2
A11,A32,A121,A143,2
A13,A32,A124,A141,2
A11,A34,A121,A143,2
A12,A32,A124,A143,2
A11,A32,A121,A143,2
A13,A32,A121,A142,2
A12,A33,A124,A143,2
A12,A32,A123,A141,2
A11,A33,A124,A143,2
A14,A32,A123,A143,2
A11,A31,A122,A143,2
A12,A32,A123,A143,2
A12,A32,A122,A143,2
A11,A31,A122,A141,2
A12,A34,A123,A143,2
A14,A33,A123,A141,2
A11,A34,A124,A142,2
A11,A31,A124,A143,2
A11,A32,A123,A143,2
A12,A34,A121,A143,2
A12,A30,A124,A143,2
A12,A32,A124,A143,2
A12,A33,A122,A143,2
A11,A34,A124,A143,2
A11,A34,A122,A143,2
A14,A34,A124,A141,2
A12,A32,A123,A143,2
A12,A32,A123,A143,2
A14,A34,A124,A143,2
A11,A32,A123,A141,2
A12,A34,A123,A141,2
A14,A32,A122,A143,2
A12,A32,A123,A143,2
A14,A32,A123,A143,2
A12,A31,A122,A143,2
A12,A32,A123,A141,2
A12,A32,A122,A143,2
A14,A32,A121,A141,2
A14,A32,A123,A143,2
A11,A31,A124,A143,2
A14,A32,A123,A143,2
A12,A30,A123,A143,2
A11,A30,A124,A143,2
A14,A34,A121,A142,2
A12,A32,A124,A143,2
A11,A31,A123,A141,2
A12,A32,A123,A143,2
A12,A32,A121,A143,2
A12,A31,A124,A141,2
A11,A32,A122,A143,2
A11,A31,A123,A141,2
A13,A32,A121,A143,2
A13,A33,A121,A143,2
A11,A32,A124,A143,2
A11,A32,A121,A143,2
A11,A32,A122,A143,2
A11,A32,A123,A143,2
A11,A32,A123,A143,2
A12,A32,A124,A141,2
A12,A32,A124,A143,2
A11,A32,A121,A143,2
A11,A33,A121,A142,2
A12,A32,A121,A143,2
A11,A32,A124,A143,2
A11,A32,A123,A143,2
A14,A32,A123,A141,2
A13,A32,A124,A143,2
A11,A32,A124,A143,2
A12,A31,A122,A142,2
A13,A32,A121,A143,2
A12,A34,A123,A143,2
A12,A31,A124,A141,2
A14,A34,A122,A141,2
A14,A32,A122,A143,2
A14,A32,A123,A143,2
A11,A33,A123,A143,2
A14,A34,A123,A141,2
A14,A30,A122,A141,2
A11,A32,A123,A143,2
A12,A33,A122,A143,2
A11,A32,A123,A143,2
A11,A32,A121,A143,2
A12,A32,A124,A143,2
A12,A33,A123,A143,2
A11,A32,A121,A143,2
A12,A34,A121,A143,2
A12,A34,A124,A143,2
A14,A32,A123,A143,2
A11,A30,A121,A143,2
A13,A34,A121,A141,2
A11,A32,A122,A143,2
A11,A32,A122,A143,2
A11,A32,A122,A143,2
A11,A30,A124,A143,2
A11,A32,A124,A141,2
A14,A33,A123,A143,2
A11,A30,A122,A143,2
A12,A30,A123,A143,2
A11,A34,A121,A143,2
A14,A32,A121,A141,2
A11,A32,A122,A143,2
A12,A32,A123,A143,2
A11,A32,A123,A143,2
A12,A32,A123,A143,2
A11,A32,A124,A143,2
A14,A32,A122,A143,2
A14,A34,A123,A142,2
A12,A33,A121,A142,2
A11,A30,A122,A143,2
A11,A33,A122,A141,2
A12,A32,A121,A143,2
A11,A32,A122,A143,2
A13,A32,A123,A143,2
A11,A31,A124,A143,2
A13,A34,A123,A143,2
A12,A30,A123,A143,2
A12,A32,A123,A141,2
A11,A34,A122,A143,2
A11,A34,A122,A141,2
A11,A32,A122,A143,2
A11,A32,A123,A143,2
A12,A34,A121,A141,2
A11,A32,A123,A141,2
A14,A32,A122,A143,2
A14,A31,A121,A141,2
A11,A31,A123,A143,2
A12,A34,A122,A143,2
A12,A30,A124,A143,2
A12,A32,A122,A143,2
A13,A30,A123,A143,2
A14,A33,A123,A143,2
A12,A34,A123,A141,2
A12,A32,A121,A143,2
A14,A33,A121,A143,2
A12,A32,A123,A143,2
A11,A32,A123,A143,2
A11,A32,A121,A143,2
A11,A32,A122,A143,2
A11,A32,A122,A143,2
A11,A31,A124,A143,2
A13,A32,A121,A143,2
A12,A32,A122,A143,2
A11,A32,A123,A143,2
A11,A33,A121,A143,2
A11,A32,A124,A142,2
A11,A32,A123,A143,2
A11,A34,A122,A141,2
A11,A32,A124,A143,2
A12,A32,A122,A141,2
A12,A34,A124,A141,2
A11,A32,A122,A143,2
A12,A30,A121,A143,2
A12,A32,A123,A141,2
A12,A30,A123,A143,2
A11,A32,A122,A143,2
A11,A32,A123,A143,2
A12,A32,A122,A143,2
A11,A31,A123,A142,2
A11,A31,A122,A143,2
A11,A32,A122,A143,2
A11,A30,A123,A143,2
A12,A30,A124,A143,2
A11,A32,A122,A143,2
A14,A32,A121,A143,2
A12,A32,A124,A143,2
A12,A34,A123,A143,2
A12,A31,A124,A143,2
A11,A32,A124,A143,2
A12,A32,A124,A143,2
A11,A33,A123,A143,2
A14,A32,A121,A143,2
A11,A30,A123,A141,2
A12,A34,A123,A143,2
A11,A32,A122,A143,2
A12,A33,A124,A143,2
A11,A32,A124,A143,2
A12,A32,A123,A142,2
A12,A32,A123,A143,2
A11,A32,A124,A143,2
A12,A32,A123,A143,2
A11,A32,A124,A143,2
A14,A30,A123,A142,2
A11,A31,A124,A143,2
A11,A32,A122,A143,2
A11,A32,A123,A143,2
A11,A32,A123,A143,2
A11,A32,A123,A143,2
A11,A32,A121,A143,2
A12,A31,A122,A141,2
A12,A31,A122,A143,2
A11,A32,A122,A143,2
A12,A30,A122,A143,2
A12,A32,A123,A143,2
A12,A32,A124,A143,2
A12,A32,A123,A143,2
A11,A32,A124,A141,2
A12,A33,A124,A142,2
A11,A34,A123,A143,2
A11,A32,A123,A143,2
A11,A32,A122,A143,2
A12,A32,A124,A141,2
A12,A32,A121,A143,2
A14,A32,A121,A143,2
A11,A30,A122,A142,2
A12,A34,A123,A143,2
A14,A32,A122,A143,2
A12,A32,A123,A143,2
