@relation german

@attribute CreditHistory {A34,A32,A33,A30,A31}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute InstallmentRate numeric
@attribute Age numeric
@attribute Customer {1,2}

@data
A34,A75,4,57,1
A34,A71,2,75,1
A30,A73,4,35,1
A32,A73,3,40,1
A34,A73,4,29,1
A33,A72,2,29,1
A34,A73,3,27,1
A32,A74,1,24,1
A34,A75,2,63,1
A34,A75,4,41,1
A34,A75,3,33,1
A32,A73,4,23,1
A32,A75,3,53,1
A32,A73,4,31,1
A32,A73,4,29,1
A32,A73,2,44,1
A32,A75,3,35,1
A32,A72,4,30,1
A32,A72,2,26,1
A34,A72,1,23,1
A34,A75,3,51,1
A33,A75,4,60,1
A33,A74,3,35,1
A32,A74,4,26,1
A32,A73,4,28,1
A32,A72,4,27,1
A32,A74,3,23,1
A31,A75,4,45,1
A32,A73,4,50,1
A34,A74,2,49,1
A34,A73,2,31,1
A32,A73,3,43,1
A34,A75,4,52,1
A32,A74,2,38,1
A34,A75,2,42,1
A34,A74,4,43,1
A34,A73,2,36,1
A32,A74,2,34,1
A32,A73,2,30,1
A31,A73,4,22,1
A32,A75,4,32,1
A34,A75,2,34,1
A32,A75,2,42,1
A32,A74,3,51,1
A34,A75,4,63,1
A32,A73,4,40,1
A30,A72,2,25,1
A33,A74,2,21,1
A34,A73,3,30,1
A32,A74,3,32,1
A32,A73,1,30,1
A31,A75,2,45,1
A33,A73,4,37,1
A32,A73,3,24,1
A32,A74,2,20,1
A32,A71,1,23,1
A32,A73,2,20,1
A34,A74,3,36,1
A30,A73,2,28,1
A34,A72,2,44,1
A32,A75,1,33,1
A34,A72,4,37,1
A32,A75,4,40,1
A34,A75,3,44,1
A34,A75,4,65,1
A32,A72,1,23,1
A32,A74,4,28,1
A32,A75,4,47,1
A32,A73,3,23,1
A34,A75,4,47,1
A33,A75,4,42,1
A32,A72,4,33,1
A31,A73,4,35,1
A32,A75,4,47,1
A32,A75,4,52,1
A32,A75,4,45,1
A32,A72,3,41,1
A34,A75,2,29,1
A32,A74,4,24,1
A32,A75,3,31,1
A33,A73,1,27,1
A32,A73,2,26,1
A34,A73,2,25,1
A32,A73,4,36,1
A34,A75,1,59,1
A34,A75,4,34,1
A34,A73,3,31,1
A34,A75,3,48,1
A30,A75,3,31,1
A32,A75,4,46,1
A34,A75,4,52,1
A34,A75,2,63,1
A34,A75,1,24,1
A33,A74,3,26,1
A31,A74,4,50,1
A32,A71,1,23,1
A32,A73,4,32,1
A32,A73,1,36,1
A32,A73,1,38,1
A33,A72,4,29,1
A32,A71,4,38,1
A32,A73,1,22,1
A32,A73,4,33,1
A32,A73,3,34,1
A32,A74,4,36,1
A32,A73,1,26,1
A33,A73,1,34,1
A32,A72,1,35,1
A34,A72,3,44,1
A32,A75,3,37,1
A34,A74,4,32,1
A32,A72,4,30,1
A31,A71,1,55,1
A34,A73,4,35,1
A33,A73,4,20,1
A32,A74,2,23,1
A32,A75,4,31,1
A34,A73,2,36,1
A34,A74,4,49,1
A34,A74,4,30,1
A32,A73,4,24,1
A31,A71,4,36,1
A33,A73,4,38,1
A32,A72,3,26,1
A34,A73,3,74,1
A32,A73,2,42,1
A32,A74,4,41,1
A34,A74,2,42,1
A34,A71,3,40,1
A34,A73,1,37,1
A34,A74,4,35,1
A34,A74,3,35,1
A34,A73,3,46,1
A32,A72,4,35,1
A34,A73,1,40,1
A34,A73,1,74,1
A34,A74,3,43,1
A32,A75,4,55,1
A32,A73,3,63,1
A33,A73,4,43,1
A32,A71,1,60,1
A33,A72,1,46,1
A32,A75,1,28,1
A34,A75,2,26,1
A34,A73,4,31,1
A32,A73,3,31,1
A32,A75,4,32,1
A30,A73,1,33,1
A32,A72,1,56,1
A32,A73,4,22,1
A34,A72,2,37,1
A32,A73,4,24,1
A32,A75,3,51,1
A32,A73,3,25,1
A32,A73,4,40,1
A33,A75,4,30,1
A34,A73,4,35,1
A34,A75,4,43,1
A34,A75,4,66,1
A34,A74,4,51,1
A34,A73,4,35,1
A32,A75,4,36,1
A34,A71,4,36,1
A32,A75,4,35,1
A32,A73,4,27,1
A32,A73,4,25,1
A32,A75,2,25,1
A34,A75,2,49,1
A34,A75,4,53,1
A32,A74,2,39,1
A33,A74,4,36,1
A34,A75,4,36,1
A34,A73,1,31,1
A32,A73,4,35,1
A32,A73,2,20,1
A32,A73,2,44,1
A33,A73,4,32,1
A34,A73,4,33,1
A32,A74,2,40,1
A34,A74,2,35,1
A32,A73,3,24,1
A32,A74,4,25,1
A34,A75,3,32,1
A34,A74,3,39,1
A32,A74,4,28,1
A34,A75,1,36,1
A32,A74,2,25,1
A32,A73,1,33,1
A32,A73,3,35,1
A34,A72,1,49,1
A32,A74,2,26,1
A32,A73,3,57,1
A32,A73,4,28,1
A32,A73,2,31,1
A32,A75,4,54,1
A34,A75,2,57,1
A34,A74,3,37,1
A34,A75,3,38,1
A32,A72,4,23,1
A32,A71,2,70,1
A33,A73,2,27,1
A34,A75,2,37,1
A32,A74,4,34,1
A32,A75,4,35,1
A32,A73,1,48,1
A32,A74,3,59,1
A34,A75,4,50,1
A34,A73,2,25,1
A32,A73,4,24,1
A34,A74,2,30,1
A32,A74,2,32,1
A32,A75,2,49,1
A32,A74,4,26,1
A32,A75,4,46,1
A32,A75,2,45,1
A32,A73,1,21,1
A32,A72,3,22,1
A33,A73,1,32,1
A33,A73,4,41,1
A33,A75,1,30,1
A34,A73,4,36,1
A34,A74,3,35,1
A32,A73,2,27,1
A31,A73,4,34,1
A32,A73,4,49,1
A32,A75,2,49,1
A32,A72,2,29,1
A34,A75,3,36,1
A34,A72,2,22,1
A32,A73,2,35,1
A32,A74,4,50,1
A32,A72,4,20,1
A32,A74,4,37,1
A32,A73,4,28,1
A33,A74,4,34,1
A34,A71,4,57,1
A34,A72,4,35,1
A32,A74,3,55,1
A34,A73,1,27,1
A34,A74,2,24,1
A34,A74,4,61,1
A34,A75,4,49,1
A33,A74,3,31,1
A32,A75,4,50,1
A32,A72,3,26,1
A33,A75,4,43,1
A32,A72,1,25,1
A33,A73,2,36,1
A32,A72,1,31,1
A33,A75,1,31,1
A32,A74,4,31,1
A32,A73,1,21,1
A32,A75,3,23,1
A32,A73,4,23,1
A34,A75,2,36,1
A34,A73,4,43,1
A34,A71,2,38,1
A32,A71,1,24,1
A30,A73,2,48,1
A32,A74,2,45,1
A32,A74,3,28,1
A32,A72,4,33,1
A32,A75,4,30,1
A34,A74,4,26,1
A32,A73,2,28,1
A34,A75,1,28,1
A32,A75,4,20,1
A34,A74,3,38,1
A34,A73,4,40,1
A32,A73,3,25,1
A32,A74,1,26,1
A34,A75,4,52,1
A32,A74,4,44,1
A32,A71,2,67,1
A34,A73,3,39,1
A34,A75,4,46,1
A33,A71,2,31,1
A34,A72,4,23,1
A34,A75,4,61,1
A32,A73,3,30,1
A32,A73,2,21,1
A34,A74,4,26,1
A34,A74,4,37,1
A32,A74,4,29,1
A32,A75,2,26,1
A34,A75,4,38,1
A34,A71,3,27,1
A34,A73,2,26,1
A34,A74,4,58,1
A31,A72,3,36,1
A33,A75,3,36,1
A31,A75,4,34,1
A32,A73,2,35,1
A34,A75,1,46,1
A32,A73,2,41,1
A32,A74,2,29,1
A34,A75,4,51,1
A32,A72,2,23,1
A34,A73,4,25,1
A30,A72,1,30,1
A32,A74,3,32,1
A32,A72,4,27,1
A31,A73,1,26,1
A34,A73,4,24,1
A31,A74,2,32,1
A32,A73,2,31,1
A34,A75,4,56,1
A32,A73,1,37,1
A32,A72,4,32,1
A32,A72,4,22,1
A34,A75,4,57,1
A32,A72,2,27,1
A32,A75,1,64,1
A34,A73,4,33,1
A34,A74,2,27,1
A32,A74,2,24,1
A32,A72,4,24,1
A34,A74,1,31,1
A32,A73,2,24,1
A33,A73,2,35,1
A33,A73,3,24,1
A34,A73,4,52,1
A32,A74,2,36,1
A34,A74,1,37,1
A32,A75,4,57,1
A32,A73,4,47,1
A34,A72,2,40,1
A32,A73,4,37,1
A32,A72,4,22,1
A32,A74,3,38,1
A32,A72,1,30,1
A32,A72,4,46,1
A32,A74,2,29,1
A32,A72,1,29,1
A32,A73,1,26,1
A32,A73,3,27,1
A34,A74,2,47,1
A31,A74,4,49,1
A32,A74,1,74,1
A32,A74,2,35,1
A32,A72,4,25,1
A34,A72,1,44,1
A34,A75,3,37,1
A34,A73,4,30,1
A34,A71,2,31,1
A34,A73,2,27,1
A32,A74,3,39,1
A34,A74,4,35,1
A32,A75,2,51,1
A32,A73,1,62,1
A32,A74,4,39,1
A32,A73,2,28,1
A32,A75,3,35,1
A33,A71,2,34,1
A33,A74,1,31,1
A32,A75,4,25,1
A34,A75,4,33,1
A32,A73,4,21,1
A32,A73,4,22,1
A32,A75,4,47,1
A32,A73,4,26,1
A32,A75,1,39,1
A34,A75,4,20,1
A32,A74,4,25,1
A34,A73,1,28,1
A32,A74,2,24,1
A32,A73,2,52,1
A33,A73,4,44,1
A34,A74,4,27,1
A32,A71,1,22,1
A34,A73,4,25,1
A34,A75,3,40,1
A32,A73,4,66,1
A34,A73,2,46,1
A34,A73,4,36,1
A32,A73,3,29,1
A32,A73,3,26,1
A32,A73,1,32,1
A32,A72,4,24,1
A32,A73,2,48,1
A32,A75,4,45,1
A32,A75,4,27,1
A32,A75,4,39,1
A32,A74,2,21,1
A32,A75,3,40,1
A32,A74,2,33,1
A32,A74,2,27,1
A34,A75,1,39,1
A34,A75,4,36,1
A33,A74,3,23,1
A34,A75,4,30,1
A32,A73,3,27,1
A32,A73,4,33,1
A32,A73,2,38,1
A32,A75,3,55,1
A34,A71,4,34,1
A32,A73,1,28,1
A32,A73,4,22,1
A32,A75,3,52,1
A32,A75,1,35,1
A32,A75,4,36,1
A32,A72,2,22,1
A32,A75,1,35,1
A32,A73,2,28,1
A30,A73,2,32,1
A34,A73,4,46,1
A32,A72,2,45,1
A32,A74,3,28,1
A32,A72,1,23,1
A34,A75,4,54,1
A34,A72,2,27,1
A32,A75,1,20,1
A33,A73,1,23,1
A31,A72,3,29,1
A34,A73,1,33,1
A32,A75,3,40,1
A34,A75,4,46,1
A33,A73,4,34,1
A32,A73,2,35,1
A33,A74,4,37,1
A32,A72,3,34,1
A34,A71,4,40,1
A34,A75,4,35,1
A32,A73,2,29,1
A34,A74,4,23,1
A31,A73,4,23,1
A32,A73,4,30,1
A32,A71,1,54,1
A34,A72,4,21,1
A33,A75,4,41,1
A32,A73,2,64,1
A32,A73,4,26,1
A32,A73,2,30,1
A34,A75,4,52,1
A34,A71,2,68,1
A34,A73,1,27,1
A34,A74,4,40,1
A32,A75,4,38,1
A34,A73,4,29,1
A32,A71,4,29,1
A34,A74,2,42,1
A34,A73,1,34,1
A32,A71,2,64,1
A34,A73,2,47,1
A32,A72,4,26,1
A32,A74,1,31,1
A32,A73,4,25,1
A34,A74,4,37,1
A30,A73,4,27,1
A34,A73,4,28,1
A34,A72,4,23,1
A32,A75,2,42,1
A33,A73,4,27,1
A32,A73,2,26,1
A32,A74,2,24,1
A32,A73,2,27,1
A32,A75,2,37,1
A31,A74,4,30,1
A34,A75,4,37,1
A32,A71,2,26,1
A32,A72,4,34,1
A32,A75,4,30,1
A32,A73,2,27,1
A32,A73,1,46,1
A32,A74,4,40,1
A34,A75,4,63,1
A32,A74,3,35,1
A34,A71,4,65,1
A34,A73,4,48,1
A32,A72,1,45,1
A32,A74,4,34,1
A34,A75,4,38,1
A32,A75,3,41,1
A32,A75,3,43,1
A32,A73,4,49,1
A34,A73,1,24,1
A32,A73,3,35,1
A34,A71,2,66,1
A32,A71,4,30,1
A34,A74,1,24,1
A34,A73,4,27,1
A32,A75,4,49,1
A31,A73,1,22,1
A32,A75,4,24,1
A32,A72,4,28,1
A31,A73,1,27,1
A32,A74,3,27,1
A34,A75,4,48,1
A32,A75,4,62,1
A32,A71,4,75,1
A32,A75,4,28,1
A31,A73,4,22,1
A33,A73,1,47,1
A32,A73,2,27,1
A34,A73,4,44,1
A34,A74,4,26,1
A32,A74,2,23,1
A34,A73,2,36,1
A32,A73,2,37,1
A32,A74,3,31,1
A32,A74,1,33,1
A32,A73,4,61,1
A32,A75,4,47,1
A32,A75,4,54,1
A34,A74,1,45,1
A32,A75,4,38,1
A32,A72,4,29,1
A32,A75,4,38,1
A32,A73,4,40,1
A32,A71,1,23,1
A34,A75,2,30,1
A32,A73,4,29,1
A34,A75,4,60,1
A34,A74,4,27,1
A32,A73,2,50,1
A34,A74,3,32,1
A32,A72,2,26,1
A32,A74,2,23,1
A32,A72,1,37,1
A34,A73,2,50,1
A33,A73,2,44,1
A34,A72,2,24,1
A32,A72,4,28,1
A30,A73,2,39,1
A32,A72,1,23,1
A34,A75,4,43,1
A33,A73,3,28,1
A32,A74,3,30,1
A32,A73,3,29,1
A32,A73,1,32,1
A33,A72,4,27,2
A31,A75,4,35,2
A34,A75,4,46,2
A32,A73,4,27,2
A32,A74,3,43,2
A32,A72,1,22,2
A32,A73,4,21,2
A32,A74,4,22,2
A32,A74,1,34,2
A34,A73,3,32,2
A30,A73,1,29,2
A32,A74,3,24,2
A32,A73,2,24,2
A33,A72,4,29,2
A32,A73,4,50,2
A32,A72,4,23,2
A32,A73,2,21,2
A33,A74,4,22,2
A32,A73,4,28,2
A32,A75,2,31,2
A32,A72,4,23,2
A34,A75,1,33,2
A32,A72,4,23,2
A32,A73,4,40,2
A30,A75,3,23,2
A32,A73,4,26,2
A32,A73,4,65,2
A32,A73,2,34,2
A33,A72,2,27,2
A30,A72,3,28,2
A34,A72,2,23,2
A32,A75,1,48,2
A34,A72,4,27,2
A32,A73,2,22,2
A32,A73,2,20,2
A31,A71,1,34,2
A32,A72,3,25,2
A34,A75,4,60,2
A34,A75,4,35,2
A32,A71,2,52,2
A32,A72,2,22,2
A32,A75,3,47,2
A33,A71,3,34,2
A33,A75,2,42,2
A32,A73,2,22,2
A32,A74,2,36,2
A32,A73,4,47,2
A32,A73,2,68,2
A32,A73,4,28,2
A30,A73,4,42,2
A34,A75,4,30,2
A32,A74,4,20,2
A34,A73,2,30,2
A32,A73,4,31,2
A34,A75,2,43,2
A32,A75,2,41,2
A32,A74,4,32,2
A34,A73,3,39,2
A32,A73,4,35,2
A32,A72,3,37,2
A32,A72,4,34,2
A32,A73,2,20,2
A32,A73,2,54,2
A32,A75,1,25,2
A32,A73,3,24,2
A31,A75,3,60,2
A32,A72,1,23,2
A34,A72,4,38,2
A32,A75,1,51,2
A31,A73,4,29,2
A30,A73,1,32,2
A32,A72,3,22,2
A32,A73,4,38,2
A34,A71,2,55,2
A33,A72,4,30,2
A32,A73,4,33,2
A34,A74,4,37,2
A32,A74,2,31,2
A34,A73,1,23,2
A31,A74,3,27,2
A33,A73,4,29,2
A32,A72,3,28,2
A32,A73,4,23,2
A33,A75,4,66,2
A32,A73,2,42,2
A34,A75,3,43,2
A32,A74,4,28,2
A32,A75,4,31,2
A31,A72,4,24,2
A32,A73,4,26,2
A32,A73,2,25,2
A33,A71,4,47,2
A32,A74,4,23,2
A30,A72,4,25,2
A34,A71,4,28,2
A32,A74,1,27,2
A32,A73,4,24,2
A31,A73,4,31,2
A31,A75,4,31,2
A32,A73,3,25,2
A34,A75,4,32,2
A32,A73,1,29,2
A34,A73,4,30,2
A34,A72,2,31,2
A30,A75,4,61,2
A32,A72,4,33,2
A33,A72,1,28,2
A32,A73,3,31,2
A30,A73,4,48,2
A32,A71,4,22,2
A31,A71,4,53,2
A33,A73,4,28,2
A34,A75,4,58,2
A31,A75,4,40,2
A32,A75,2,39,2
A30,A75,3,24,2
A32,A73,3,40,2
A34,A71,4,42,2
A32,A73,2,26,2
A32,A73,3,20,2
A32,A71,4,27,2
A32,A72,4,33,2
A34,A73,4,27,2
A30,A74,4,34,2
A34,A73,4,23,2
A33,A74,3,26,2
A32,A73,4,42,2
A31,A72,4,46,2
A32,A74,4,27,2
A32,A75,4,41,2
A32,A73,2,21,2
A32,A73,2,25,2
A32,A73,2,26,2
A32,A72,1,23,2
A34,A74,2,25,2
A32,A72,4,35,2
A32,A73,4,24,2
A31,A74,4,32,2
A32,A72,1,34,2
A34,A72,4,25,2
A31,A71,1,29,2
A30,A75,2,29,2
A32,A73,4,37,2
A32,A72,4,29,2
A30,A74,4,28,2
A32,A75,1,68,2
A32,A72,1,32,2
A30,A75,4,33,2
A32,A75,4,57,2
A32,A73,4,29,2
A34,A73,3,25,2
A34,A74,4,24,2
A32,A72,4,23,2
A32,A75,4,36,2
A34,A73,2,44,2
A32,A72,4,27,2
A32,A71,3,33,2
A32,A72,1,26,2
A34,A75,4,33,2
A32,A75,4,53,2
A30,A73,2,36,2
A31,A75,2,39,2
A32,A73,4,24,2
A33,A75,4,55,2
A31,A74,2,29,2
A32,A74,4,21,2
A32,A73,1,20,2
A30,A75,2,42,2
A32,A72,2,25,2
A32,A72,4,43,2
A30,A73,3,53,2
A34,A73,4,25,2
A32,A72,2,19,2
A32,A74,4,29,2
A32,A75,4,29,2
A32,A72,4,23,2
A34,A74,4,28,2
A34,A72,4,23,2
A33,A73,2,30,2
A33,A71,4,43,2
A33,A75,4,50,2
A34,A73,4,33,2
A32,A74,4,30,2
A32,A75,4,57,2
A32,A71,3,22,2
A32,A75,4,42,2
A32,A71,3,38,2
A33,A75,3,63,2
A32,A73,3,45,2
A32,A73,1,47,2
A32,A75,4,40,2
A32,A73,1,23,2
A30,A71,2,50,2
A32,A72,4,32,2
A32,A72,3,27,2
A32,A73,3,21,2
A32,A75,4,37,2
A32,A72,4,27,2
A30,A73,4,26,2
A30,A72,3,58,2
A31,A75,4,59,2
A34,A71,4,28,2
A32,A72,4,27,2
A32,A72,4,23,2
A32,A74,2,25,2
A32,A73,3,54,2
A30,A73,1,36,2
A32,A73,4,37,2
A34,A75,3,60,2
A32,A75,4,44,2
A32,A73,4,37,2
A32,A74,4,39,2
A32,A75,4,45,2
A31,A72,4,30,2
A32,A71,4,33,2
A32,A71,4,26,2
A32,A73,4,25,2
A31,A73,2,25,2
A32,A72,1,28,2
A32,A75,3,35,2
A34,A75,3,30,2
A33,A72,2,26,2
A31,A73,4,40,2
A31,A72,1,32,2
A32,A74,4,26,2
A32,A71,4,30,2
A32,A73,2,28,2
A31,A72,2,55,2
A33,A73,3,61,2
A32,A75,4,42,2
A34,A74,2,49,2
A33,A73,3,53,2
A33,A72,4,48,2
A32,A73,4,30,2
A32,A73,2,24,2
A34,A72,2,25,2
A32,A72,2,31,2
A32,A73,4,30,2
A32,A75,4,61,2
A30,A72,2,26,2
A31,A74,4,24,2
A32,A72,4,33,2
A32,A74,4,23,2
A33,A75,4,57,2
A31,A74,4,34,2
A34,A73,2,39,2
A32,A72,4,34,2
A32,A73,4,66,2
A32,A75,4,39,2
A32,A73,4,36,2
A32,A72,3,25,2
A31,A72,4,26,2
A33,A73,4,26,2
A34,A73,4,24,2
A32,A71,4,25,2
A32,A73,2,29,2
A33,A75,4,40,2
A34,A73,3,29,2
A32,A73,4,23,2
A33,A72,4,41,2
A32,A73,1,37,2
A32,A75,4,41,2
A32,A75,1,45,2
A32,A72,3,24,2
A30,A73,4,28,2
A31,A73,4,44,2
A32,A74,2,24,2
A34,A75,4,31,2
A32,A71,1,23,2
A34,A73,1,44,2
