@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute EmploymentSince {A75,A73,A74,A71,A72}
@attribute Age numeric
@attribute Housing {A152,A153,A151}
@attribute Telephone {A192,A191}
@attribute ForeignWorker {A201,A202}
@attribute Customer {1,2}

@data
A14,A72,37,A152,A191,A201,1
A14,A73,33,A152,A191,A201,1
A14,A74,27,A152,A192,A201,1
A11,A75,67,A152,A192,A201,1
A14,A71,54,A152,A192,A201,1
A14,A72,35,A152,A191,A201,1
A12,A73,25,A152,A191,A201,1
A14,A74,50,A152,A192,A201,1
A14,A73,39,A152,A191,A201,1
A11,A73,36,A152,A192,A201,1
A12,A73,31,A152,A191,A201,1
A11,A75,49,A153,A192,A201,1
A14,A75,54,A153,A191,A201,1
A13,A72,29,A152,A191,A201,1
A14,A73,30,A152,A192,A201,1
A14,A72,22,A151,A191,A201,1
A14,A73,21,A152,A191,A201,1
A12,A72,24,A153,A192,A201,1
A11,A75,55,A152,A191,A201,1
A13,A73,74,A152,A191,A202,1
A14,A75,33,A152,A192,A201,1
A14,A74,42,A152,A191,A201,1
A14,A75,65,A152,A191,A201,1
A14,A71,57,A152,A191,A201,1
A14,A73,37,A153,A192,A201,1
A12,A75,30,A153,A191,A201,1
A12,A71,24,A151,A191,A201,1
A14,A73,29,A152,A192,A201,1
A12,A72,29,A152,A191,A201,1
A12,A72,29,A152,A191,A201,1
A11,A72,29,A152,A191,A201,1
A14,A73,37,A152,A192,A201,1
A14,A73,32,A152,A192,A201,1
A14,A75,52,A152,A191,A201,1
A13,A74,27,A152,A192,A201,1
A14,A73,28,A152,A191,A201,1
A14,A74,38,A152,A191,A201,1
A11,A73,29,A152,A192,A201,1
A14,A75,42,A152,A192,A201,1
A11,A72,27,A152,A191,A201,1
A14,A73,27,A152,A191,A201,1
A12,A74,51,A152,A191,A201,1
A14,A73,24,A152,A191,A201,1
A11,A71,23,A151,A191,A201,1
A14,A73,36,A152,A192,A201,1
A11,A72,28,A152,A191,A201,1
A14,A72,33,A152,A192,A201,1
A14,A74,33,A151,A191,A201,1
A14,A73,34,A152,A191,A201,1
A14,A75,39,A152,A191,A201,1
A14,A73,46,A152,A192,A201,1
A14,A74,21,A152,A192,A201,1
A14,A74,21,A152,A192,A201,1
A11,A73,22,A152,A192,A201,1
A12,A71,40,A153,A192,A201,1
A12,A74,35,A152,A192,A201,1
A14,A75,34,A152,A192,A201,1
A13,A73,42,A151,A191,A201,1
A11,A74,25,A152,A191,A201,1
A12,A75,25,A152,A191,A201,1
A14,A75,38,A152,A192,A201,1
A14,A73,39,A152,A191,A201,1
A14,A74,24,A151,A192,A201,1
A14,A73,24,A152,A191,A201,1
A11,A71,55,A153,A191,A201,1
A12,A74,32,A151,A192,A201,1
A12,A71,60,A152,A192,A201,1
A14,A73,26,A152,A192,A201,1
A13,A75,47,A152,A191,A201,1
A11,A74,32,A152,A191,A201,1
A12,A73,31,A152,A192,A201,1
A14,A75,41,A151,A191,A201,1
A14,A75,50,A152,A191,A201,1
A14,A75,36,A152,A191,A201,1
A13,A72,29,A152,A191,A202,1
A12,A75,48,A151,A192,A201,1
A14,A73,31,A153,A192,A201,1
A14,A74,61,A152,A191,A201,1
A12,A72,27,A152,A191,A201,1
A14,A73,31,A152,A192,A201,1
A12,A71,67,A152,A192,A201,1
A14,A73,32,A153,A192,A201,1
A11,A72,36,A153,A192,A201,1
A14,A73,31,A152,A192,A201,1
A11,A72,27,A152,A191,A202,1
A13,A73,24,A152,A191,A201,1
A12,A73,34,A152,A192,A201,1
A11,A72,28,A151,A192,A201,1
A12,A74,31,A152,A192,A201,1
A11,A73,43,A152,A191,A201,1
A12,A71,27,A152,A191,A201,1
A14,A75,40,A152,A192,A201,1
A14,A75,46,A152,A192,A201,1
A12,A72,19,A151,A191,A201,1
A14,A72,27,A152,A191,A201,1
A11,A75,39,A152,A191,A201,1
A12,A75,38,A152,A191,A201,1
A12,A75,30,A153,A191,A201,1
A11,A73,40,A152,A192,A201,1
A11,A73,25,A151,A191,A201,1
A12,A73,26,A152,A192,A201,1
A13,A75,49,A152,A191,A201,1
A13,A72,33,A152,A192,A201,1
A14,A75,30,A152,A191,A201,1
A11,A75,51,A153,A192,A201,1
A11,A75,57,A151,A192,A201,1
A12,A75,37,A152,A192,A201,1
A12,A73,61,A153,A191,A201,1
A11,A71,43,A152,A191,A201,1
A12,A74,44,A152,A191,A201,1
A11,A71,65,A152,A191,A201,1
A14,A75,32,A152,A192,A201,1
A12,A73,22,A152,A191,A201,1
A14,A75,62,A153,A192,A201,1
A12,A72,22,A152,A191,A201,1
A11,A73,30,A152,A191,A201,1
A12,A72,30,A152,A191,A201,1
A12,A75,29,A151,A191,A201,1
A12,A73,44,A152,A192,A201,1
A14,A75,45,A152,A191,A202,1
A14,A72,21,A151,A192,A201,1
A14,A74,37,A152,A192,A201,1
A14,A72,26,A152,A191,A201,1
A14,A73,41,A152,A191,A201,1
A11,A73,25,A152,A191,A201,1
A14,A73,28,A152,A191,A201,1
A12,A73,22,A152,A191,A201,1
A11,A74,23,A151,A191,A201,1
A12,A75,42,A152,A192,A201,1
A14,A73,49,A152,A191,A201,1
A14,A73,27,A152,A192,A201,1
A14,A73,62,A152,A191,A201,1
A14,A73,31,A152,A191,A202,1
A14,A72,39,A152,A192,A201,1
A14,A75,33,A152,A192,A201,1
A14,A75,23,A151,A192,A201,1
A14,A73,31,A152,A191,A201,1
A12,A72,26,A152,A191,A201,1
A13,A75,37,A152,A191,A201,1
A14,A75,46,A152,A192,A201,1
A14,A73,43,A152,A192,A201,1
A14,A73,26,A152,A191,A202,1
A14,A75,54,A151,A192,A201,1
A13,A73,23,A151,A191,A201,1
A14,A73,64,A152,A192,A201,1
A12,A73,34,A152,A191,A201,1
A14,A75,54,A152,A192,A201,1
A12,A73,37,A152,A191,A201,1
A11,A72,22,A151,A191,A201,1
A11,A73,20,A151,A192,A201,1
A13,A75,49,A152,A191,A201,1
A11,A75,44,A153,A192,A201,1
A14,A73,34,A152,A191,A201,1
A14,A74,23,A152,A191,A201,1
A14,A75,42,A152,A192,A201,1
A14,A71,38,A152,A191,A201,1
A12,A73,23,A152,A191,A201,1
A13,A73,41,A152,A192,A201,1
A11,A71,75,A152,A192,A201,1
A14,A72,23,A151,A192,A201,1
A14,A73,28,A152,A191,A201,1
A14,A75,45,A152,A192,A201,1
A14,A74,37,A152,A191,A201,1
A14,A74,42,A152,A191,A201,1
A14,A75,49,A152,A192,A201,1
A14,A75,39,A152,A191,A201,1
A12,A74,29,A152,A191,A202,1
A14,A73,48,A153,A192,A201,1
A14,A74,74,A152,A191,A201,1
A14,A74,33,A152,A191,A201,1
A12,A72,30,A151,A192,A201,1
A14,A73,50,A152,A192,A201,1
A14,A74,32,A152,A191,A202,1
A14,A75,35,A152,A192,A201,1
A12,A71,31,A153,A192,A201,1
A11,A71,29,A153,A192,A201,1
A14,A72,24,A152,A191,A201,1
A12,A71,70,A153,A192,A201,1
A14,A74,26,A152,A192,A201,1
A11,A72,21,A151,A191,A201,1
A14,A75,45,A153,A191,A201,1
A11,A74,26,A152,A192,A201,1
A11,A73,28,A152,A191,A201,1
A14,A75,41,A152,A192,A201,1
A14,A74,51,A152,A191,A201,1
A11,A72,48,A151,A191,A202,1
A14,A75,34,A152,A191,A201,1
A12,A75,41,A152,A192,A201,1
A12,A75,36,A153,A192,A201,1
A12,A72,23,A152,A191,A201,1
A12,A75,20,A152,A192,A201,1
A14,A74,33,A152,A192,A201,1
A11,A74,39,A152,A192,A201,1
A14,A72,28,A152,A191,A201,1
A14,A74,32,A152,A191,A201,1
A12,A74,24,A152,A191,A201,1
A11,A75,38,A153,A192,A201,1
A13,A74,49,A152,A191,A201,1
A11,A71,23,A151,A192,A201,1
A14,A75,46,A152,A191,A201,1
A14,A75,57,A153,A191,A201,1
A12,A73,27,A152,A192,A201,1
A11,A74,26,A152,A191,A201,1
A12,A73,47,A152,A191,A201,1
A14,A74,30,A152,A191,A201,1
A13,A73,44,A151,A192,A201,1
A14,A74,34,A152,A192,A201,1
A14,A73,25,A152,A191,A201,1
A11,A72,44,A152,A191,A201,1
A12,A74,39,A152,A191,A201,1
A11,A73,37,A151,A191,A201,1
A12,A75,48,A152,A191,A201,1
A11,A72,24,A152,A191,A202,1
A12,A74,41,A152,A192,A201,1
A11,A72,27,A151,A191,A202,1
A12,A73,34,A152,A191,A201,1
A11,A73,40,A152,A191,A201,1
A14,A75,38,A152,A191,A201,1
A12,A73,28,A152,A191,A201,1
A14,A73,35,A152,A191,A201,1
A14,A74,40,A152,A192,A201,1
A14,A75,39,A152,A192,A201,1
A11,A73,25,A152,A191,A201,1
A11,A74,26,A151,A191,A201,1
A12,A71,23,A151,A191,A201,1
A12,A73,64,A152,A191,A201,1
A14,A73,27,A152,A191,A201,1
A11,A73,23,A151,A192,A201,1
A14,A73,30,A152,A191,A201,1
A12,A73,26,A152,A191,A201,1
A14,A74,35,A153,A192,A201,1
A12,A73,20,A151,A191,A201,1
A14,A73,43,A152,A191,A201,1
A14,A73,34,A153,A192,A201,1
A14,A73,24,A152,A191,A201,1
A14,A75,36,A152,A192,A201,1
A14,A75,47,A152,A192,A201,1
A13,A73,57,A152,A191,A201,1
A14,A75,63,A152,A191,A201,1
A14,A72,45,A152,A192,A201,1
A14,A75,53,A152,A191,A201,1
A12,A74,28,A151,A191,A201,1
A14,A74,38,A152,A192,A201,1
A14,A73,20,A151,A191,A201,1
A11,A73,37,A152,A191,A201,1
A14,A72,56,A152,A191,A201,1
A14,A74,25,A152,A191,A201,1
A12,A74,35,A151,A192,A201,1
A14,A74,37,A152,A192,A201,1
A14,A72,32,A152,A192,A201,1
A14,A72,22,A151,A191,A201,1
A14,A72,46,A152,A191,A201,1
A12,A74,35,A152,A192,A201,1
A14,A73,27,A152,A191,A201,1
A14,A75,35,A152,A191,A201,1
A12,A74,41,A152,A191,A201,1
A12,A72,35,A152,A191,A201,1
A14,A75,29,A152,A191,A201,1
A13,A73,37,A152,A192,A201,1
A14,A75,28,A152,A191,A201,1
A13,A73,23,A152,A192,A201,1
A14,A73,26,A152,A191,A201,1
A13,A72,26,A152,A191,A201,1
A13,A72,37,A152,A191,A201,1
A14,A75,25,A152,A191,A201,1
A11,A73,21,A152,A191,A201,1
A11,A73,29,A152,A191,A201,1
A12,A74,36,A151,A192,A201,1
A11,A71,22,A153,A191,A201,1
A13,A72,27,A152,A191,A202,1
A14,A75,38,A152,A192,A201,1
A14,A75,45,A152,A191,A201,1
A14,A73,21,A151,A191,A201,1
A14,A73,28,A152,A191,A201,1
A14,A72,38,A152,A192,A201,1
A14,A73,26,A152,A192,A202,1
A14,A75,42,A153,A191,A201,1
A12,A75,54,A152,A192,A201,1
A11,A73,23,A152,A191,A201,1
A14,A73,33,A152,A192,A201,1
A14,A73,31,A152,A191,A201,1
A13,A72,45,A152,A191,A201,1
A14,A75,63,A152,A191,A201,1
A14,A72,35,A152,A192,A201,1
A14,A74,35,A152,A191,A202,1
A14,A75,34,A152,A191,A201,1
A12,A75,38,A152,A191,A201,1
A14,A74,45,A152,A192,A201,1
A11,A73,36,A151,A191,A201,1
A12,A75,36,A152,A191,A201,1
A14,A75,45,A152,A192,A201,1
A12,A73,27,A152,A191,A201,1
A13,A75,51,A153,A191,A201,1
A14,A75,59,A152,A192,A201,1
A12,A72,22,A152,A191,A201,1
A12,A73,30,A152,A191,A201,1
A14,A72,47,A153,A192,A201,1
A12,A73,40,A152,A191,A201,1
A14,A75,49,A151,A192,A201,1
A12,A72,30,A152,A191,A201,1
A12,A71,40,A152,A192,A201,1
A14,A74,37,A152,A192,A201,1
A14,A74,30,A152,A191,A201,1
A11,A74,31,A152,A192,A201,1
A14,A75,58,A152,A192,A201,1
A12,A73,33,A152,A191,A202,1
A14,A73,29,A152,A191,A201,1
A11,A73,63,A152,A192,A201,1
A12,A71,34,A152,A192,A201,1
A11,A73,42,A152,A191,A201,1
A11,A73,46,A152,A192,A201,1
A14,A75,46,A151,A192,A201,1
A14,A75,37,A152,A192,A201,1
A14,A75,42,A152,A191,A201,1
A14,A73,35,A151,A191,A202,1
A14,A75,36,A153,A191,A201,1
A12,A73,48,A152,A192,A201,1
A14,A73,26,A152,A191,A201,1
A11,A74,50,A153,A192,A201,1
A14,A72,23,A151,A191,A201,1
A13,A75,20,A151,A191,A201,1
A11,A74,39,A152,A192,A201,1
A11,A74,58,A152,A192,A201,1
A13,A75,46,A152,A191,A202,1
A12,A73,35,A152,A192,A201,1
A14,A75,35,A152,A191,A201,1
A12,A74,34,A152,A192,A201,1
A13,A73,46,A152,A191,A201,1
A14,A72,26,A151,A192,A201,1
A11,A74,39,A153,A192,A201,1
A13,A73,26,A152,A191,A201,1
A14,A74,40,A152,A192,A201,1
A14,A73,26,A151,A191,A201,1
A12,A73,27,A153,A191,A201,1
A12,A74,26,A152,A191,A201,1
A14,A74,31,A152,A191,A201,1
A12,A72,49,A152,A191,A201,1
A14,A73,34,A152,A191,A201,1
A12,A74,38,A152,A192,A201,1
A14,A71,36,A152,A192,A201,1
A14,A73,35,A153,A192,A201,1
A14,A75,36,A152,A192,A201,1
A14,A73,43,A152,A191,A201,1
A11,A75,66,A153,A191,A201,1
A14,A75,46,A153,A192,A201,1
A14,A74,36,A152,A192,A201,1
A14,A75,32,A151,A192,A201,1
A14,A73,30,A152,A192,A201,1
A13,A75,47,A153,A192,A201,1
A11,A75,35,A152,A191,A201,1
A11,A73,31,A152,A191,A201,1
A14,A72,23,A151,A191,A201,1
A14,A74,31,A151,A192,A201,1
A12,A73,42,A151,A192,A201,1
A11,A75,65,A152,A191,A201,1
A14,A73,48,A152,A192,A201,1
A14,A75,51,A152,A192,A201,1
A11,A75,44,A152,A192,A201,1
A11,A73,38,A152,A191,A202,1
A14,A75,50,A152,A192,A201,1
A14,A73,24,A152,A191,A201,1
A11,A73,24,A152,A191,A201,1
A14,A74,24,A151,A191,A201,1
A14,A72,25,A152,A191,A201,1
A12,A73,24,A152,A191,A201,1
A14,A73,27,A152,A191,A201,1
A11,A74,39,A152,A191,A202,1
A12,A72,37,A152,A192,A201,1
A13,A73,28,A152,A192,A201,1
A11,A73,28,A152,A191,A201,1
A14,A73,27,A152,A191,A201,1
A12,A73,66,A152,A191,A201,1
A12,A74,27,A152,A191,A201,1
A12,A74,43,A152,A192,A201,2
A12,A72,27,A152,A191,A201,2
A11,A72,37,A152,A191,A201,2
A14,A75,47,A152,A191,A201,2
A11,A73,23,A152,A191,A201,2
A11,A73,44,A151,A192,A201,2
A12,A72,28,A151,A191,A201,2
A11,A73,48,A152,A191,A201,2
A13,A73,26,A152,A191,A201,2
A12,A75,74,A153,A192,A201,2
A11,A74,23,A151,A191,A201,2
A11,A75,57,A152,A191,A201,2
A11,A72,35,A152,A192,A201,2
A12,A73,47,A153,A192,A201,2
A14,A73,26,A152,A191,A201,2
A14,A73,30,A152,A191,A201,2
A14,A73,26,A152,A192,A201,2
A12,A72,22,A152,A192,A201,2
A13,A73,37,A152,A191,A201,2
A11,A73,20,A151,A191,A201,2
A11,A75,23,A151,A191,A201,2
A12,A73,24,A152,A191,A201,2
A12,A72,25,A152,A191,A201,2
A11,A73,35,A152,A191,A201,2
A11,A74,26,A152,A191,A201,2
A11,A73,28,A152,A191,A201,2
A12,A72,25,A152,A191,A201,2
A12,A75,41,A152,A191,A201,2
A11,A74,46,A153,A191,A201,2
A13,A75,66,A152,A192,A201,2
A12,A73,25,A152,A192,A201,2
A14,A71,26,A152,A192,A201,2
A12,A73,25,A151,A191,A201,2
A14,A73,68,A151,A191,A201,2
A12,A75,31,A152,A192,A201,2
A11,A75,36,A151,A191,A201,2
A12,A75,39,A152,A191,A201,2
A12,A73,24,A152,A191,A201,2
A14,A73,29,A151,A191,A201,2
A14,A72,43,A152,A191,A201,2
A11,A73,25,A152,A192,A201,2
A13,A72,25,A152,A191,A201,2
A11,A72,23,A152,A191,A201,2
A11,A74,32,A153,A191,A201,2
A12,A72,23,A152,A191,A201,2
A11,A73,20,A151,A191,A201,2
A11,A73,24,A151,A191,A201,2
A11,A72,30,A153,A192,A201,2
A12,A72,25,A151,A191,A201,2
A11,A71,33,A152,A191,A201,2
A14,A75,55,A153,A191,A201,2
A12,A72,38,A152,A191,A201,2
A14,A73,25,A152,A192,A201,2
A14,A75,39,A152,A192,A201,2
A14,A73,25,A151,A191,A201,2
A11,A72,33,A152,A191,A201,2
A11,A75,33,A151,A192,A201,2
A11,A73,21,A151,A191,A201,2
A12,A73,26,A151,A191,A201,2
A11,A73,53,A153,A191,A201,2
A11,A75,35,A153,A191,A201,2
A11,A75,58,A153,A191,A201,2
A14,A73,40,A152,A192,A201,2
A11,A73,31,A152,A192,A201,2
A11,A73,40,A151,A191,A201,2
A11,A73,24,A152,A191,A201,2
A14,A74,31,A152,A191,A201,2
A11,A73,29,A153,A191,A201,2
A11,A75,63,A152,A192,A201,2
A11,A71,22,A152,A191,A201,2
A12,A72,33,A151,A191,A201,2
A12,A73,50,A153,A191,A201,2
A11,A73,42,A152,A191,A201,2
A11,A74,30,A152,A192,A201,2
A12,A73,33,A152,A191,A201,2
A11,A75,42,A153,A191,A201,2
A11,A75,35,A153,A192,A201,2
A11,A72,46,A152,A192,A201,2
A12,A72,28,A152,A191,A201,2
A14,A75,35,A152,A192,A201,2
A11,A73,25,A152,A192,A201,2
A11,A72,23,A151,A192,A201,2
A11,A74,37,A151,A191,A201,2
A11,A74,39,A153,A192,A201,2
A11,A74,32,A151,A191,A201,2
A11,A73,29,A152,A191,A201,2
A12,A73,21,A151,A191,A201,2
A13,A73,34,A152,A191,A201,2
A13,A74,28,A152,A192,A201,2
A11,A73,31,A151,A192,A201,2
A11,A74,24,A151,A191,A201,2
A14,A72,27,A152,A192,A201,2
