@relation german

@attribute StatusAccount {A11,A12,A14,A13}
@attribute DurationMonth numeric
@attribute SavingsAccount {A65,A61,A63,A64,A62}
@attribute Age numeric
@attribute Telephone {A192,A191}
@attribute Customer {1,2}

@data
A11,21,A61,28,A192,1
A12,39,A62,32,A192,1
A12,9,A65,35,A191,1
A14,30,A61,33,A192,1
A12,18,A61,33,A192,1
A12,36,A62,31,A192,1
A14,60,A62,21,A192,1
A14,18,A61,39,A192,1
A14,12,A61,49,A191,1
A11,12,A61,24,A191,1
A14,6,A61,24,A191,1
A12,18,A64,35,A192,1
A11,12,A61,24,A191,1
A11,6,A64,39,A192,1
A14,36,A61,31,A191,1
A14,12,A64,35,A191,1
A12,18,A65,61,A191,1
A14,10,A62,35,A191,1
A14,24,A61,28,A191,1
A14,24,A61,32,A191,1
A14,24,A62,33,A192,1
A14,36,A61,30,A191,1
A12,12,A61,20,A191,1
A14,10,A65,40,A192,1
A11,12,A61,21,A191,1
A14,24,A61,47,A192,1
A14,10,A61,31,A191,1
A14,6,A65,26,A191,1
A13,42,A61,56,A191,1
A14,48,A65,38,A192,1
A12,48,A65,38,A192,1
A12,6,A61,26,A191,1
A12,7,A61,35,A191,1
A11,15,A61,27,A191,1
A14,24,A61,41,A192,1
A14,11,A61,35,A191,1
A12,6,A61,64,A191,1
A14,24,A61,46,A191,1
A13,30,A61,47,A191,1
A11,18,A64,28,A191,1
A14,24,A65,31,A192,1
A12,18,A61,40,A192,1
A14,12,A61,24,A191,1
A13,18,A61,45,A191,1
A14,12,A61,26,A191,1
A14,24,A63,44,A192,1
A12,12,A61,49,A192,1
A13,24,A61,51,A191,1
A12,24,A61,20,A192,1
A11,48,A61,26,A191,1
A14,18,A61,30,A192,1
A14,24,A61,60,A192,1
A11,9,A61,25,A191,1
A14,15,A62,31,A191,1
A14,12,A62,51,A192,1
A14,13,A62,64,A191,1
A14,7,A65,46,A192,1
A13,6,A61,46,A191,1
A14,39,A62,45,A192,1
A12,24,A62,37,A192,1
A14,24,A64,28,A192,1
A13,12,A65,55,A192,1
A12,24,A61,24,A192,1
A12,18,A61,28,A191,1
A14,6,A61,54,A192,1
A14,11,A61,39,A191,1
A13,18,A61,23,A191,1
A12,11,A64,40,A191,1
A11,9,A61,36,A191,1
A14,24,A61,31,A192,1
A12,12,A61,27,A191,1
A11,24,A65,49,A192,1
A12,30,A65,25,A191,1
A13,6,A61,41,A192,1
A11,6,A63,44,A191,1
A14,18,A65,32,A191,1
A12,6,A61,28,A191,1
A14,15,A63,36,A192,1
A14,21,A65,26,A191,1
A14,21,A61,50,A191,1
A14,36,A61,27,A191,1
A14,6,A63,62,A191,1
A14,15,A61,35,A192,1
A11,6,A61,49,A192,1
A14,36,A62,31,A192,1
A11,42,A61,65,A191,1
A14,24,A61,38,A192,1
A14,4,A61,42,A191,1
A11,9,A62,48,A191,1
A14,15,A62,34,A191,1
A14,24,A62,23,A191,1
A11,18,A61,31,A192,1
A12,12,A64,54,A192,1
A14,28,A65,40,A192,1
A13,6,A62,28,A192,1
A12,27,A61,32,A192,1
A14,24,A61,62,A192,1
A14,12,A61,32,A191,1
A12,18,A64,36,A192,1
A13,24,A65,31,A192,1
A12,12,A62,23,A191,1
A14,9,A62,35,A192,1
A12,24,A65,48,A192,1
A14,12,A61,57,A191,1
A14,24,A61,35,A191,1
A12,8,A61,44,A191,1
A14,18,A61,32,A192,1
A12,12,A61,22,A192,1
A14,6,A61,56,A191,1
A14,36,A64,38,A192,1
A11,30,A65,25,A191,1
A14,24,A61,37,A192,1
A14,12,A65,26,A192,1
A14,18,A61,65,A191,1
A12,12,A61,34,A192,1
A14,12,A61,31,A191,1
A14,6,A63,45,A191,1
A14,36,A65,36,A191,1
A12,24,A62,29,A191,1
A14,12,A61,36,A192,1
A12,18,A62,34,A191,1
A12,13,A61,23,A191,1
A14,24,A61,28,A191,1
A14,12,A65,20,A191,1
A14,24,A61,33,A192,1
A14,24,A61,26,A192,1
A14,15,A65,40,A192,1
A14,9,A61,48,A192,1
A11,24,A61,75,A192,1
A14,36,A65,45,A192,1
A11,24,A61,34,A192,1
A11,6,A61,40,A191,1
A11,12,A61,39,A191,1
A14,12,A61,41,A191,1
A14,18,A62,24,A191,1
A14,30,A65,24,A191,1
A12,11,A64,20,A191,1
A11,11,A61,36,A191,1
A14,15,A61,27,A191,1
A12,48,A63,30,A191,1
A14,5,A61,74,A191,1
A14,12,A65,37,A191,1
A12,18,A61,32,A191,1
A12,8,A61,26,A192,1
A12,12,A61,40,A191,1
A14,24,A62,26,A192,1
A11,8,A61,51,A192,1
A14,36,A61,35,A192,1
A14,48,A61,31,A192,1
A14,36,A61,32,A192,1
A14,4,A61,42,A191,1
A11,14,A61,22,A191,1
A12,6,A65,39,A191,1
A14,12,A61,38,A191,1
A14,6,A65,27,A191,1
A14,14,A61,27,A191,1
A14,10,A61,23,A191,1
A14,48,A65,47,A192,1
A14,12,A61,52,A191,1
A14,6,A62,34,A191,1
A11,24,A61,64,A191,1
A11,11,A61,40,A191,1
A14,9,A61,32,A191,1
A14,12,A65,37,A192,1
A12,24,A65,34,A192,1
A11,36,A61,28,A191,1
A12,21,A61,47,A191,1
A12,12,A63,26,A192,1
A14,21,A62,34,A191,1
A11,30,A62,24,A191,1
A12,60,A65,27,A191,1
A12,60,A65,27,A191,1
A12,18,A63,25,A191,1
A12,9,A61,35,A192,1
A14,10,A61,38,A192,1
A14,48,A63,37,A192,1
A12,20,A65,36,A192,1
A14,12,A62,35,A191,1
A11,12,A61,55,A191,1
A14,24,A61,74,A192,1
A11,6,A61,37,A191,1
A12,18,A61,67,A192,1
A12,12,A65,30,A191,1
A11,18,A61,36,A192,1
A14,18,A61,24,A191,1
A14,24,A61,25,A192,1
A11,15,A61,28,A191,1
A11,27,A61,43,A192,1
A11,18,A62,30,A192,1
A13,24,A65,20,A191,1
A13,36,A61,24,A191,1
A11,6,A61,36,A192,1
A11,18,A61,27,A191,1
A11,30,A61,39,A191,1
A14,12,A65,21,A191,1
A14,24,A61,29,A192,1
A12,10,A61,31,A191,1
A14,24,A61,33,A192,1
A14,24,A64,37,A192,1
A12,15,A65,50,A192,1
A14,11,A62,57,A191,1
A11,36,A61,43,A191,1
A12,26,A61,30,A191,1
A12,24,A62,30,A191,1
A14,30,A65,40,A192,1
A14,18,A61,26,A191,1
A12,7,A61,45,A191,1
A14,12,A61,50,A191,1
A14,11,A64,28,A192,1
A11,6,A61,41,A192,1
A14,6,A62,42,A192,1
A14,24,A65,33,A192,1
A12,30,A61,28,A191,1
A14,15,A63,35,A191,1
A14,24,A61,54,A191,1
A11,48,A61,50,A192,1
A14,24,A65,43,A192,1
A12,18,A61,40,A192,1
A11,24,A61,21,A191,1
A12,9,A61,27,A192,1
A12,12,A61,49,A191,1
A11,24,A61,63,A192,1
A12,42,A61,55,A192,1
A11,24,A63,22,A192,1
A14,24,A61,40,A191,1
A11,8,A61,47,A191,1
A12,24,A65,42,A192,1
A13,24,A61,26,A191,1
A12,6,A61,30,A192,1
A11,36,A61,30,A192,1
A11,24,A61,24,A191,1
A14,24,A61,44,A191,1
A14,33,A61,26,A192,1
A14,12,A61,26,A192,1
A14,18,A61,35,A192,1
A11,12,A63,35,A191,1
A11,21,A61,26,A191,1
A13,12,A64,42,A191,1
A11,13,A61,28,A191,1
A14,15,A61,43,A191,1
A11,6,A65,67,A192,1
A14,6,A62,52,A191,1
A12,12,A64,22,A191,1
A14,6,A64,41,A191,1
A14,15,A63,47,A192,1
A12,24,A65,37,A192,1
A14,12,A61,39,A192,1
A14,10,A65,45,A191,1
A14,24,A62,52,A191,1
A14,9,A65,41,A191,1
A13,10,A61,37,A191,1
A11,24,A61,44,A192,1
A12,18,A61,27,A191,1
A11,12,A61,66,A191,1
A12,18,A61,44,A192,1
A14,12,A61,35,A191,1
A12,12,A64,19,A191,1
A14,12,A65,38,A192,1
A12,48,A65,41,A192,1
A14,18,A61,47,A192,1
A14,28,A61,29,A191,1
A14,36,A63,36,A191,1
A11,21,A61,65,A191,1
A14,24,A65,48,A192,1
A12,18,A62,30,A192,1
A14,24,A64,27,A191,1
A13,10,A61,37,A192,1
A14,36,A61,37,A192,1
A13,6,A64,27,A191,1
A13,12,A61,33,A192,1
A14,54,A65,39,A191,1
A11,36,A61,46,A192,1
A14,20,A65,44,A192,1
A11,12,A61,23,A191,1
A13,6,A61,74,A191,1
A14,24,A64,43,A191,1
A14,42,A65,29,A192,1
A14,18,A65,29,A192,1
A14,36,A65,42,A191,1
A14,6,A62,27,A191,1
A12,42,A61,41,A191,1
A11,18,A61,36,A192,1
A14,9,A61,30,A191,1
A12,12,A65,24,A191,1
A11,10,A65,27,A191,1
A12,18,A65,43,A191,1
A14,12,A61,26,A192,1
A14,6,A63,50,A191,1
A13,24,A62,47,A192,1
A14,12,A61,63,A192,1
A14,6,A64,33,A191,1
A14,12,A64,61,A191,1
A14,18,A61,30,A191,1
A11,24,A61,29,A192,1
A12,36,A62,30,A191,1
A11,12,A61,43,A191,1
A14,12,A65,38,A192,1
A14,12,A61,28,A191,1
A11,24,A62,32,A191,1
A12,24,A63,23,A191,1
A12,6,A62,31,A191,1
A12,24,A62,36,A192,1
A13,15,A63,36,A192,1
A14,36,A61,45,A192,1
A14,6,A61,51,A191,1
A12,24,A65,29,A191,1
A14,24,A61,50,A192,1
A11,6,A61,27,A191,1
A14,24,A61,30,A191,1
A11,10,A61,52,A191,1
A14,6,A61,39,A191,1
A14,24,A65,32,A192,1
A14,27,A65,48,A192,1
A12,18,A61,48,A192,1
A14,48,A65,32,A191,1
A13,24,A61,26,A191,1
A12,12,A61,26,A191,1
A14,36,A65,25,A191,1
A14,36,A63,40,A192,1
A14,24,A63,53,A191,1
A14,60,A61,21,A192,1
A12,12,A61,31,A192,1
A12,10,A61,23,A191,1
A14,30,A61,26,A192,1
A11,18,A61,32,A192,1
A11,15,A61,22,A191,1
A12,24,A62,38,A192,1
A14,15,A61,33,A191,1
A14,24,A64,50,A192,1
A14,24,A64,34,A191,1
A14,12,A61,34,A191,1
A14,30,A61,38,A191,1
A13,4,A65,29,A191,1
A11,12,A61,22,A191,1
A14,30,A63,30,A191,1
A11,18,A65,23,A192,1
A14,18,A61,43,A192,1
A14,10,A65,26,A191,1
A11,27,A61,27,A191,1
A11,24,A65,30,A192,1
A14,22,A65,25,A191,1
A14,48,A65,37,A192,1
A14,36,A61,34,A192,1
A14,10,A63,40,A191,1
A12,30,A64,34,A192,1
A11,9,A61,59,A191,1
A12,15,A62,22,A191,1
A11,6,A61,39,A192,1
A14,24,A61,28,A192,1
A12,12,A61,34,A191,1
A14,21,A61,28,A191,1
A14,27,A61,26,A191,1
A12,9,A65,33,A191,1
A14,27,A64,32,A192,1
A11,12,A61,42,A191,1
A11,6,A62,43,A192,1
A12,24,A62,23,A192,1
A11,12,A61,54,A191,1
A14,18,A61,33,A191,1
A14,15,A61,28,A192,1
A14,24,A64,34,A192,1
A14,42,A63,36,A192,1
A14,36,A65,51,A192,1
A14,12,A63,35,A191,1
A11,9,A61,25,A191,1
A14,18,A61,33,A192,1
A14,15,A61,33,A191,1
A13,12,A61,24,A191,1
A14,12,A61,47,A192,1
A12,18,A61,21,A192,1
A14,6,A61,29,A191,1
A12,9,A61,37,A191,1
A14,12,A65,61,A191,1
A12,9,A61,25,A191,1
A12,12,A62,39,A191,1
A14,15,A65,29,A191,1
A14,15,A61,46,A191,1
A13,9,A62,49,A191,1
A14,15,A65,59,A192,1
A11,12,A61,30,A191,1
A14,24,A65,25,A191,1
A13,24,A61,25,A191,1
A14,10,A61,64,A192,1
A11,36,A61,37,A191,1
A11,21,A65,24,A191,1
A11,12,A61,58,A192,1
A14,9,A61,20,A191,1
A13,24,A63,57,A191,1
A11,12,A61,27,A191,1
A14,15,A64,30,A191,1
A14,24,A65,54,A191,1
A12,9,A61,24,A191,1
A14,27,A64,27,A191,1
A14,6,A61,45,A192,1
A11,12,A61,40,A191,1
A12,8,A61,33,A191,1
A13,12,A61,46,A191,1
A12,36,A61,36,A191,1
A14,18,A63,32,A192,1
A11,24,A61,22,A191,1
A12,10,A61,70,A192,1
A14,6,A61,29,A191,1
A14,9,A62,26,A191,1
A12,12,A61,26,A191,1
A11,18,A65,23,A191,1
A14,6,A61,30,A191,1
A14,24,A65,54,A192,1
A14,39,A63,24,A191,1
A12,48,A65,48,A192,1
A14,12,A65,35,A191,1
A14,12,A61,42,A191,1
A14,21,A64,36,A191,1
A12,9,A61,37,A191,1
A14,24,A65,53,A191,1
A12,15,A62,25,A191,1
A11,24,A61,55,A191,1
A13,36,A61,31,A191,1
A12,9,A63,66,A191,1
A14,24,A62,27,A192,1
A11,12,A65,23,A192,1
A14,12,A61,30,A191,1
A14,18,A64,46,A191,1
A12,18,A61,40,A191,1
A14,24,A62,35,A191,1
A11,12,A64,31,A191,1
A13,36,A61,23,A192,1
A14,12,A61,38,A191,1
A14,36,A65,30,A192,1
A12,36,A61,24,A191,1
A11,21,A61,30,A192,1
A14,21,A65,46,A192,1
A14,24,A61,36,A192,1
A14,9,A61,26,A191,1
A14,15,A65,63,A191,1
A14,30,A65,58,A192,1
A14,24,A61,43,A191,1
A14,18,A61,47,A191,1
A12,36,A65,27,A191,1
A14,18,A61,28,A191,1
A12,24,A64,29,A191,1
A14,18,A61,34,A191,1
A11,21,A64,29,A191,1
A14,15,A65,35,A191,1
A12,12,A65,38,A191,1
A14,18,A64,46,A191,1
A14,12,A65,49,A192,1
A12,21,A65,35,A192,1
A14,18,A61,27,A191,1
A12,24,A61,33,A191,1
A14,15,A61,31,A191,1
A11,6,A61,31,A191,1
A14,36,A61,34,A191,1
A14,48,A65,35,A192,1
A14,12,A61,38,A191,1
A14,36,A65,35,A192,1
A13,10,A61,63,A192,1
A11,30,A61,40,A192,1
A12,18,A61,41,A192,1
A12,6,A61,35,A192,1
A14,15,A61,54,A192,1
A14,36,A61,28,A191,1
A11,6,A63,23,A192,1
A14,15,A65,45,A191,1
A12,6,A61,22,A191,1
A11,6,A65,75,A192,1
A14,12,A65,65,A191,1
A12,12,A61,30,A192,1
A12,48,A65,40,A192,1
A11,39,A65,30,A192,1
A12,15,A65,23,A191,1
A11,8,A61,39,A191,1
A12,45,A62,27,A191,1
A14,12,A61,49,A191,1
A11,42,A61,45,A191,1
A12,24,A61,26,A191,1
A14,30,A62,26,A191,1
A14,15,A64,20,A191,1
A14,12,A63,37,A192,1
A11,15,A61,23,A191,1
A14,18,A61,26,A191,1
A11,6,A61,36,A192,1
A11,18,A61,21,A191,1
A14,24,A62,41,A191,1
A14,36,A63,39,A191,1
A12,24,A65,42,A192,1
A11,36,A61,39,A192,1
A12,12,A62,44,A191,1
A12,24,A65,36,A192,1
A12,11,A61,51,A191,1
A14,24,A65,25,A191,1
A14,12,A61,31,A192,1
A14,33,A61,35,A192,1
A14,24,A64,60,A192,1
A11,6,A65,44,A191,1
A12,7,A61,34,A191,1
A14,24,A65,26,A192,1
A12,18,A65,42,A191,1
A13,21,A62,28,A192,1
A14,12,A63,42,A192,1
A12,48,A65,24,A191,1
A11,24,A61,63,A192,1
A12,48,A62,31,A192,1
A11,15,A61,36,A191,1
A14,12,A65,50,A192,1
A11,12,A61,27,A191,1
A14,30,A65,36,A191,1
A12,18,A65,28,A191,1
A11,24,A61,27,A191,1
A11,24,A61,22,A191,1
A12,9,A61,27,A191,1
A14,48,A65,46,A191,1
A14,21,A63,41,A191,2
A14,48,A61,33,A192,2
A11,6,A61,35,A191,2
A11,24,A61,24,A191,2
A11,21,A61,26,A191,2
A12,48,A64,27,A192,2
A11,24,A61,23,A191,2
A11,36,A61,23,A192,2
A13,12,A63,28,A192,2
A11,30,A65,31,A191,2
A11,12,A61,20,A191,2
A11,33,A63,23,A191,2
A11,48,A61,34,A192,2
A11,12,A61,35,A192,2
A11,48,A61,42,A191,2
A12,12,A65,25,A192,2
A12,18,A62,28,A191,2
A11,18,A61,23,A191,2
A12,36,A62,50,A191,2
A11,40,A61,27,A192,2
A11,24,A61,23,A191,2
A12,6,A61,47,A192,2
A11,18,A61,25,A191,2
A11,12,A61,46,A192,2
A12,30,A62,21,A191,2
A12,18,A65,27,A191,2
A11,18,A61,27,A191,2
A11,12,A61,29,A191,2
A11,18,A61,20,A191,2
A11,18,A61,42,A191,2
A12,48,A61,26,A192,2
A12,24,A61,34,A192,2
A11,18,A61,32,A191,2
A14,18,A62,30,A191,2
A14,27,A61,21,A191,2
A11,24,A61,29,A191,2
A14,24,A61,47,A191,2
A11,30,A61,31,A191,2
A11,12,A61,40,A191,2
A12,45,A62,21,A191,2
A11,24,A63,30,A192,2
A14,18,A61,31,A191,2
A12,12,A65,52,A192,2
A12,48,A62,24,A191,2
A12,27,A61,36,A192,2
A11,20,A61,33,A191,2
A14,18,A61,43,A191,2
A11,18,A61,24,A191,2
A12,15,A61,37,A191,2
A12,36,A62,42,A192,2
A12,48,A61,25,A192,2
A11,36,A61,24,A192,2
A11,48,A61,54,A191,2
A11,30,A61,23,A191,2
A11,21,A61,25,A192,2
A12,24,A61,23,A191,2
A11,24,A61,21,A191,2
A11,15,A61,29,A192,2
A13,9,A61,34,A192,2
A11,36,A61,24,A192,2
A11,14,A61,45,A192,2
A14,18,A65,68,A191,2
A12,21,A61,39,A191,2
A12,9,A64,32,A191,2
A11,12,A61,60,A191,2
A12,18,A61,30,A191,2
A11,6,A61,68,A192,2
A11,24,A61,53,A191,2
A11,24,A62,32,A191,2
A12,30,A61,24,A191,2
A12,15,A62,34,A192,2
A14,24,A63,35,A192,2
A11,12,A61,36,A191,2
A14,36,A61,28,A192,2
A14,6,A61,32,A191,2
A12,36,A62,29,A192,2
A12,54,A61,58,A192,2
A13,24,A61,38,A191,2
A12,27,A63,23,A191,2
A12,12,A61,37,A191,2
A12,24,A61,23,A191,2
A12,18,A61,33,A191,2
A14,18,A61,22,A191,2
A12,6,A62,32,A191,2
A11,18,A61,26,A191,2
A12,24,A61,25,A192,2
A11,18,A61,26,A191,2
A12,27,A61,42,A192,2
A12,24,A61,29,A192,2
A12,48,A61,28,A191,2
A12,9,A62,29,A191,2
A12,12,A61,23,A191,2
A14,18,A61,28,A192,2
A11,9,A61,27,A192,2
A11,12,A61,57,A191,2
A12,24,A61,31,A192,2
A11,36,A61,41,A191,2
A14,24,A61,27,A192,2
A12,30,A62,26,A191,2
A12,30,A61,28,A191,2
A14,12,A65,33,A191,2
A13,24,A65,37,A191,2
A11,36,A61,26,A191,2
A11,36,A65,47,A191,2
A11,24,A61,31,A192,2
A11,24,A61,55,A192,2
A11,12,A62,22,A191,2
A11,45,A61,23,A192,2
A12,36,A61,57,A192,2
A12,12,A62,27,A191,2
A11,12,A61,33,A191,2
A14,18,A61,22,A191,2
A12,48,A61,59,A191,2
A12,9,A61,30,A191,2
A11,12,A61,48,A191,2
A12,12,A61,25,A191,2
A11,18,A61,25,A191,2
A11,36,A61,42,A191,2
A13,10,A62,48,A191,2
A13,12,A61,26,A191,2
A11,24,A61,32,A191,2
A11,36,A61,24,A192,2
A12,12,A62,23,A191,2
A11,21,A65,40,A191,2
A14,10,A61,25,A191,2
A11,12,A61,24,A191,2
A12,18,A61,38,A192,2
A11,36,A61,29,A192,2
A11,42,A61,34,A191,2
A11,36,A61,34,A192,2
A11,24,A61,29,A192,2
A11,45,A61,29,A191,2
A12,36,A61,28,A192,2
A12,36,A61,33,A191,2
A11,24,A61,45,A191,2
A11,24,A65,32,A191,2
A14,12,A64,55,A191,2
A13,15,A61,25,A191,2
A12,24,A62,22,A192,2
A14,15,A62,40,A192,2
A14,36,A61,26,A192,2
A11,6,A61,44,A192,2
A13,36,A61,26,A191,2
A11,12,A61,26,A191,2
A11,27,A61,50,A192,2
A12,30,A61,28,A191,2
A11,24,A61,31,A192,2
A12,24,A61,22,A192,2
A11,24,A65,20,A191,2
A11,36,A61,25,A192,2
A11,15,A61,33,A191,2
A12,21,A62,61,A191,2
A11,36,A61,31,A191,2
A14,21,A65,30,A192,2
A11,12,A61,53,A192,2
A11,60,A61,63,A192,2
A11,18,A61,33,A191,2
A12,45,A61,25,A191,2
A12,12,A61,25,A191,2
A12,12,A61,46,A191,2
A14,18,A61,32,A191,2
A12,12,A61,30,A191,2
A14,10,A65,27,A191,2
A13,9,A61,28,A191,2
A14,36,A61,37,A192,2
A13,21,A61,33,A191,2
A13,15,A65,39,A192,2
A12,6,A65,23,A192,2
A12,36,A61,57,A192,2
A14,36,A61,23,A192,2
A12,15,A62,28,A192,2
A12,48,A61,22,A191,2
A12,24,A62,38,A191,2
A11,48,A61,53,A191,2
A12,36,A65,37,A192,2
A11,24,A65,35,A191,2
A12,18,A65,33,A191,2
A11,24,A61,23,A192,2
A14,24,A65,44,A192,2
A11,24,A62,33,A191,2
A12,36,A61,27,A191,2
A12,24,A61,34,A191,2
A11,18,A61,33,A192,2
A12,24,A61,20,A192,2
A11,24,A61,30,A191,2
A12,9,A61,22,A192,2
A12,6,A64,24,A191,2
A12,15,A62,25,A191,2
A12,24,A61,43,A192,2
A12,9,A61,34,A192,2
A12,60,A62,24,A191,2
A12,12,A65,25,A192,2
A12,36,A61,30,A192,2
A12,18,A61,40,A192,2
A14,12,A63,29,A191,2
A11,24,A61,27,A191,2
A11,48,A61,58,A191,2
A11,24,A65,40,A192,2
A11,9,A61,22,A191,2
A11,42,A65,30,A192,2
A12,12,A61,41,A191,2
A14,30,A65,53,A192,2
A12,9,A61,29,A191,2
A14,36,A65,27,A192,2
A12,48,A61,50,A191,2
A12,48,A62,34,A191,2
A11,48,A61,31,A192,2
A11,18,A61,47,A192,2
A11,12,A61,24,A191,2
A12,18,A61,36,A192,2
A14,48,A63,44,A191,2
A12,9,A61,74,A192,2
A11,12,A62,33,A192,2
A12,36,A62,47,A192,2
A12,36,A61,42,A192,2
A14,48,A62,24,A191,2
A11,16,A61,43,A192,2
A11,18,A61,65,A191,2
A11,18,A61,23,A192,2
A11,24,A61,35,A192,2
A14,36,A61,26,A192,2
A14,9,A61,19,A191,2
A12,24,A63,28,A191,2
A12,15,A61,26,A191,2
A11,48,A61,24,A191,2
A14,12,A63,26,A191,2
A14,12,A61,41,A191,2
A11,24,A61,48,A191,2
A11,15,A65,24,A191,2
A14,18,A61,39,A192,2
A13,18,A61,34,A191,2
A14,12,A61,42,A192,2
A12,18,A61,31,A191,2
A11,18,A65,51,A192,2
A11,42,A61,26,A192,2
A11,9,A61,28,A191,2
A11,12,A65,23,A191,2
A11,48,A61,46,A191,2
A11,24,A61,24,A191,2
A11,36,A61,31,A191,2
A14,24,A64,54,A192,2
A14,21,A65,29,A192,2
A14,48,A65,38,A191,2
A12,39,A61,25,A191,2
A12,15,A64,61,A191,2
A11,36,A61,29,A191,2
A11,18,A61,22,A191,2
A12,24,A61,44,A192,2
A14,18,A61,23,A191,2
A12,72,A62,24,A191,2
A11,12,A61,53,A191,2
A12,48,A61,23,A192,2
A11,18,A61,55,A191,2
A11,36,A65,40,A192,2
A11,18,A61,44,A191,2
A11,60,A61,36,A191,2
A11,12,A61,35,A191,2
A11,30,A61,34,A192,2
A11,12,A61,29,A191,2
A14,36,A61,25,A192,2
A12,24,A61,25,A191,2
A11,28,A61,45,A191,2
A14,18,A61,36,A191,2
A11,24,A61,27,A191,2
A13,30,A61,66,A192,2
A11,18,A61,24,A191,2
A13,18,A61,37,A191,2
A11,12,A61,37,A191,2
A11,48,A61,37,A191,2
A11,48,A61,39,A192,2
