@relation vehicle

@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
84,63,156,185,195,van
77,65,144,190,200,van
64,57,116,196,203,van
88,68,155,194,202,van
83,72,162,187,197,van
64,51,135,185,185,van
64,64,133,193,201,van
63,59,123,186,188,van
92,63,160,189,200,van
62,60,128,201,208,van
75,55,160,182,192,van
66,52,139,182,184,van
84,55,154,185,196,van
53,57,118,180,183,van
73,69,143,190,199,van
66,59,122,202,208,van
85,54,155,184,196,van
64,48,134,183,184,van
70,105,139,190,199,van
87,64,156,192,202,van
49,55,122,180,184,van
88,61,149,197,207,van
87,64,157,184,195,van
87,67,154,192,201,van
78,61,147,189,200,van
78,63,160,185,194,van
66,58,140,188,196,van
85,56,157,184,195,van
75,58,161,183,192,van
85,66,155,192,202,van
77,52,156,183,191,van
78,66,139,201,208,van
88,64,151,192,199,van
68,49,134,186,186,van
68,56,131,186,187,van
62,49,131,184,184,van
44,54,119,180,183,van
76,66,162,184,193,van
66,55,130,191,194,van
85,64,155,185,196,van
51,52,118,181,185,van
88,66,150,196,206,van
76,54,156,184,193,van
77,62,140,201,208,van
68,60,133,201,209,van
68,64,138,192,201,van
80,63,146,199,207,van
66,52,133,184,183,van
75,53,157,182,191,van
64,64,133,193,201,van
68,64,128,192,196,van
58,59,127,199,206,van
59,53,132,177,183,van
70,52,139,183,185,van
72,64,136,201,209,van
87,54,158,183,194,van
85,63,158,189,199,van
106,64,208,190,202,saab
57,62,135,180,184,saab
63,56,133,187,191,saab
40,57,112,181,183,saab
100,61,198,192,200,saab
77,60,158,193,199,saab
74,68,159,190,197,saab
101,62,188,193,202,saab
102,65,198,187,196,saab
83,63,176,189,195,saab
105,54,208,187,197,saab
85,64,169,195,201,saab
104,56,220,189,199,saab
107,68,218,188,199,saab
110,56,214,191,202,saab
88,59,175,196,205,saab
108,64,221,190,205,saab
86,60,170,191,199,saab
110,67,217,192,206,saab
106,66,203,191,199,saab
83,54,149,185,191,saab
75,53,144,186,191,saab
77,64,161,194,201,saab
100,60,185,198,208,saab
52,57,122,181,184,saab
100,66,214,185,194,saab
104,63,201,188,197,saab
100,69,221,187,199,saab
50,53,115,179,185,saab
54,53,134,184,185,saab
53,57,116,183,190,saab
83,56,160,186,191,saab
57,57,121,190,195,saab
109,57,220,189,201,saab
64,61,150,182,185,saab
101,63,213,188,198,saab
98,66,218,188,197,saab
109,61,212,190,199,saab
103,63,222,187,200,saab
103,65,208,189,197,saab
85,60,175,197,210,saab
76,57,149,189,194,saab
69,59,152,193,198,saab
105,71,221,186,200,saab
58,60,148,180,183,saab
103,64,220,188,199,saab
82,59,153,187,192,saab
110,65,212,194,205,saab
85,59,163,186,192,saab
104,71,211,186,196,saab
96,65,187,195,206,saab
109,59,199,194,208,saab
108,63,219,190,203,saab
66,54,132,183,187,saab
72,56,149,186,191,saab
103,62,206,189,198,saab
105,62,202,190,200,saab
88,63,175,191,198,saab
104,71,219,189,196,saab
79,59,163,199,208,saab
78,58,174,191,200,saab
66,59,137,186,190,saab
83,61,142,193,200,saab
77,54,144,194,201,saab
80,59,161,192,197,saab
66,58,148,181,185,saab
109,69,221,188,201,saab
112,59,214,190,206,saab
109,68,214,189,202,saab
72,55,146,184,189,saab
100,60,196,198,208,saab
105,66,204,191,201,saab
75,54,147,183,188,saab
101,72,217,187,197,saab
62,62,150,180,185,saab
104,57,213,191,199,saab
59,63,135,179,185,saab
96,64,198,190,198,saab
93,62,216,188,199,saab
77,56,155,195,201,saab
98,62,183,195,204,saab
63,58,125,184,188,saab
81,59,168,191,198,saab
95,65,193,188,196,saab
63,58,128,198,204,saab
95,66,188,190,197,saab
66,59,140,201,207,saab
89,63,186,191,199,saab
53,58,116,185,189,saab
71,66,154,189,195,saab
54,57,128,179,183,saab
101,59,186,194,206,saab
101,65,213,187,198,saab
54,53,125,180,184,saab
98,60,195,192,201,saab
90,60,175,192,199,saab
88,66,173,195,202,saab
51,53,135,181,182,saab
106,66,207,188,196,saab
100,64,220,189,199,saab
66,58,142,182,186,saab
96,66,188,191,199,saab
72,59,154,203,209,saab
105,57,211,186,197,saab
98,65,218,187,199,saab
100,62,217,188,197,saab
69,56,141,202,209,saab
108,70,215,189,201,saab
90,63,177,193,201,saab
69,63,140,193,204,saab
71,61,157,196,208,saab
108,59,217,190,201,saab
66,56,136,183,189,saab
74,60,157,197,204,saab
90,61,181,191,199,saab
104,60,215,189,199,saab
104,67,206,187,196,saab
100,59,197,191,198,saab
72,56,133,200,206,saab
85,64,160,195,203,saab
107,61,207,190,203,saab
105,60,191,196,205,saab
100,63,196,194,205,saab
74,58,151,187,196,saab
86,59,167,197,204,saab
98,64,177,195,205,saab
100,58,181,192,202,saab
90,69,183,189,196,saab
101,67,222,187,199,saab
104,58,208,191,202,saab
77,58,140,198,205,saab
109,59,207,191,202,saab
103,63,219,188,199,saab
105,61,207,193,207,saab
98,54,216,187,197,saab
54,55,129,180,184,saab
104,67,204,188,197,saab
55,55,142,180,183,saab
102,64,213,188,198,saab
76,57,159,190,195,saab
106,55,212,187,197,saab
108,61,217,188,201,saab
81,64,166,197,205,saab
92,62,180,195,205,saab
83,59,169,192,199,saab
101,64,213,187,196,saab
72,60,150,196,205,saab
103,56,213,188,198,saab
98,60,215,188,197,saab
101,64,201,192,204,saab
101,66,192,189,197,saab
75,56,152,182,187,saab
103,60,211,190,200,saab
100,61,193,194,203,saab
54,61,135,180,183,saab
109,55,216,189,201,saab
108,62,220,189,200,saab
104,66,211,190,203,saab
78,65,169,192,199,saab
104,66,191,190,200,saab
80,58,157,201,209,saab
108,61,207,196,205,saab
94,67,187,193,201,saab
89,62,175,189,195,saab
87,64,169,188,195,saab
78,57,153,203,211,saab
80,62,144,185,189,saab
83,60,172,188,194,saab
60,57,128,186,192,saab
108,64,206,194,205,saab
103,68,219,187,197,saab
106,68,207,189,200,saab
75,55,140,189,195,saab
81,61,166,198,207,saab
90,61,178,199,208,saab
77,59,152,183,187,saab
63,55,146,180,185,saab
88,60,171,201,210,saab
108,69,215,188,199,saab
108,64,220,189,203,saab
77,62,149,188,193,saab
86,60,158,190,196,saab
104,60,197,189,197,saab
98,63,185,189,197,saab
72,59,132,191,195,saab
96,63,185,191,199,saab
78,58,135,190,195,saab
103,73,221,187,197,saab
98,62,203,193,204,saab
77,60,150,196,203,saab
66,55,123,196,202,saab
88,60,170,195,204,saab
106,65,213,192,202,saab
105,64,187,198,211,saab
81,64,160,192,199,saab
65,56,149,180,182,bus
102,75,239,186,185,bus
106,51,256,182,181,bus
70,59,149,185,188,bus
95,58,227,187,186,bus
75,64,154,185,192,bus
64,54,148,179,182,bus
100,67,250,182,182,bus
71,70,146,187,191,bus
91,65,204,192,192,bus
76,67,149,192,200,bus
103,49,252,179,186,bus
73,70,167,200,206,bus
72,66,144,191,198,bus
64,56,150,180,184,bus
68,69,148,181,184,bus
102,51,241,184,183,bus
75,68,154,188,194,bus
70,64,148,187,195,bus
70,75,146,194,201,bus
66,67,150,182,188,bus
70,65,149,183,188,bus
73,73,162,200,204,bus
80,70,183,198,199,bus
66,65,149,184,191,bus
104,53,257,180,184,bus
70,54,151,181,184,bus
66,56,152,181,185,bus
73,64,151,190,194,bus
66,126,148,181,185,bus
70,72,153,199,206,bus
76,75,155,185,190,bus
74,66,164,200,202,bus
66,65,145,184,188,bus
62,67,149,202,209,bus
77,72,167,199,203,bus
70,65,147,181,186,bus
69,64,151,183,188,bus
66,55,150,180,183,bus
82,55,186,195,196,bus
96,57,241,184,184,bus
93,54,222,186,184,bus
88,60,197,192,191,bus
103,64,250,184,183,bus
66,54,148,180,182,bus
71,64,149,184,190,bus
68,61,147,185,191,bus
71,56,153,180,186,bus
101,72,238,184,184,bus
70,74,152,186,189,bus
68,50,150,179,182,bus
68,59,150,185,191,bus
68,64,150,182,185,bus
71,68,150,192,197,bus
73,68,150,196,200,bus
88,63,192,194,197,bus
75,68,171,197,199,bus
74,61,153,183,189,bus
71,66,151,186,190,bus
103,47,247,181,183,bus
64,69,150,199,206,bus
88,62,203,191,190,bus
72,63,146,192,196,bus
79,69,160,198,205,bus
71,68,150,181,186,bus
73,65,151,185,189,bus
70,56,148,180,183,bus
83,65,194,193,191,bus
92,60,220,188,186,bus
94,66,208,193,191,bus
76,64,151,187,193,bus
80,71,195,194,194,bus
66,53,149,180,182,bus
93,51,217,188,188,bus
84,74,184,196,197,bus
105,48,247,181,182,bus
103,52,236,183,184,bus
84,74,190,195,195,bus
73,57,151,180,184,bus
63,55,149,179,182,bus
91,74,202,192,191,bus
70,66,151,201,208,bus
78,73,158,193,197,bus
70,65,144,188,195,bus
65,53,152,179,183,bus
109,56,260,182,183,bus
106,51,261,181,182,bus
73,59,148,185,191,bus
102,52,257,182,184,bus
72,52,152,180,185,bus
76,69,150,195,201,bus
75,70,154,198,202,bus
77,69,177,198,199,bus
71,70,151,181,186,bus
61,53,150,179,182,bus
79,71,174,197,199,bus
73,63,149,189,196,bus
81,67,186,197,198,bus
84,75,171,196,201,bus
74,74,157,195,201,bus
73,65,153,200,204,bus
106,50,255,181,183,bus
66,56,148,179,182,bus
68,69,151,180,185,bus
66,58,148,180,183,bus
60,51,150,178,182,bus
65,54,150,180,182,bus
63,55,152,180,184,bus
74,68,152,189,195,bus
72,60,153,182,186,bus
77,64,177,196,198,bus
73,68,151,183,188,bus
68,57,149,179,184,bus
66,54,150,179,182,bus
89,71,186,195,198,bus
75,72,155,192,200,bus
65,56,149,179,182,bus
70,62,147,186,189,bus
70,103,149,180,183,bus
71,66,146,189,196,bus
71,70,144,188,193,bus
70,56,148,179,182,bus
70,64,148,181,183,bus
79,68,185,195,195,bus
68,62,150,188,192,bus
98,63,218,189,189,bus
66,54,148,179,181,bus
68,53,151,180,185,bus
74,74,163,196,200,bus
79,65,173,197,202,bus
70,68,164,200,203,bus
63,54,151,179,182,bus
70,68,155,202,205,bus
68,60,152,179,183,bus
70,61,143,192,199,bus
98,59,213,188,189,bus
70,56,150,181,185,bus
72,61,147,181,185,bus
107,67,262,180,184,bus
98,61,225,188,187,bus
70,61,143,196,203,bus
81,69,169,198,204,bus
95,68,199,192,194,bus
75,75,154,192,199,bus
72,71,161,196,203,bus
75,64,151,195,204,bus
75,66,153,188,195,bus
70,66,148,193,201,bus
71,56,151,181,187,bus
70,72,152,184,187,bus
68,59,150,180,185,bus
72,69,166,200,202,bus
68,70,155,202,206,bus
86,69,184,194,197,bus
69,62,152,181,184,bus
106,57,236,185,185,bus
76,73,157,191,195,bus
71,61,153,182,187,bus
70,64,141,193,199,bus
68,62,149,180,184,bus
92,65,209,191,189,bus
68,64,146,183,187,bus
76,65,155,189,193,bus
65,50,152,179,183,bus
70,54,149,181,184,bus
65,56,152,178,183,bus
59,58,149,179,182,bus
72,72,158,200,204,bus
105,51,265,181,183,bus
73,73,156,199,204,bus
102,55,234,187,187,bus
98,47,237,185,184,bus
72,64,154,183,187,bus
89,54,212,190,189,bus
75,71,161,195,202,bus
77,61,172,199,201,bus
68,73,151,183,189,bus
109,57,251,183,183,bus
72,69,156,193,198,bus
70,70,162,200,205,bus
76,76,150,193,197,bus
71,60,150,180,184,bus
74,70,149,201,205,bus
75,71,176,197,197,bus
84,72,184,196,199,bus
85,64,192,195,193,bus
76,67,148,188,195,bus
70,70,167,200,203,bus
66,53,149,180,182,bus
76,71,152,195,200,bus
66,57,148,179,182,bus
71,64,145,195,200,bus
84,71,176,198,201,bus
89,65,201,193,193,bus
86,69,192,194,195,bus
77,71,166,200,203,bus
66,59,147,197,203,opel
78,55,147,197,203,opel
105,64,201,193,202,opel
74,59,162,198,204,opel
101,64,203,193,203,opel
105,68,205,189,196,opel
101,68,224,187,196,opel
92,62,178,198,206,opel
60,56,139,179,186,opel
72,56,127,184,194,opel
98,54,215,185,193,opel
103,57,214,189,198,opel
100,61,193,194,202,opel
103,66,209,191,201,opel
98,58,217,188,198,opel
83,61,178,187,193,opel
107,54,208,191,200,opel
107,63,227,186,198,opel
63,55,122,195,201,opel
103,60,211,190,200,opel
93,62,186,193,198,opel
60,56,132,185,188,opel
103,63,195,191,198,opel
93,67,189,188,195,opel
66,55,135,180,187,opel
58,58,133,177,184,opel
101,62,198,195,204,opel
84,55,169,190,195,opel
77,56,163,192,198,opel
77,59,150,184,193,opel
103,57,206,192,201,opel
94,63,181,199,203,opel
109,70,220,189,198,opel
98,63,220,188,197,opel
71,55,150,180,186,opel
100,65,201,189,195,opel
105,53,212,186,194,opel
105,70,223,188,196,opel
96,56,219,187,194,opel
76,61,167,189,198,opel
103,50,221,190,198,opel
107,57,214,192,206,opel
100,69,208,186,193,opel
78,59,151,193,197,opel
69,54,135,187,190,opel
78,60,150,191,198,opel
100,62,212,187,194,opel
75,57,150,193,198,opel
89,62,172,201,209,opel
77,60,152,187,192,opel
77,62,157,198,205,opel
101,69,225,187,195,opel
101,61,207,189,196,opel
78,62,140,194,202,opel
100,59,216,186,194,opel
88,62,183,189,197,opel
86,63,177,192,198,opel
79,62,176,189,199,opel
103,72,221,186,195,opel
108,65,214,188,197,opel
103,63,215,185,194,opel
108,54,216,190,201,opel
80,59,153,191,197,opel
66,52,152,180,183,opel
105,68,209,186,195,opel
86,62,162,185,191,opel
94,67,195,188,197,opel
98,56,219,186,196,opel
104,67,198,192,201,opel
81,64,168,192,198,opel
96,63,190,191,198,opel
93,65,183,193,200,opel
96,65,178,193,200,opel
105,67,200,190,198,opel
109,70,226,187,198,opel
69,56,149,198,203,opel
69,57,135,193,203,opel
96,54,216,184,193,opel
96,61,181,202,209,opel
103,69,200,187,194,opel
77,54,154,186,191,opel
98,70,189,187,194,opel
104,55,210,187,194,opel
91,57,220,186,198,opel
104,67,205,186,193,opel
74,62,161,197,206,opel
103,67,201,189,196,opel
104,74,212,186,193,opel
107,62,205,195,206,opel
96,60,221,186,196,opel
63,59,130,183,187,opel
109,68,222,188,199,opel
103,69,219,187,196,opel
109,67,217,189,199,opel
101,57,222,188,197,opel
75,60,147,206,211,opel
64,59,134,179,188,opel
66,62,126,185,190,opel
60,56,123,178,185,opel
86,64,177,192,199,opel
78,64,157,192,198,opel
108,53,224,187,198,opel
96,71,205,188,196,opel
91,67,218,187,196,opel
86,54,153,183,189,opel
78,61,146,187,194,opel
77,59,154,184,189,opel
101,65,196,186,194,opel
83,65,178,189,194,opel
83,60,167,187,192,opel
101,64,202,197,206,opel
80,66,162,194,199,opel
107,64,222,189,200,opel
105,59,215,186,195,opel
76,60,161,188,192,opel
107,68,208,190,202,opel
107,60,218,191,203,opel
105,61,221,189,196,opel
84,57,156,183,190,opel
98,71,214,187,196,opel
107,56,223,187,201,opel
53,54,126,176,184,opel
109,66,221,188,200,opel
83,63,175,197,206,opel
90,60,177,190,198,opel
69,58,132,203,209,opel
104,59,213,186,195,opel
79,62,167,191,198,opel
96,63,185,195,204,opel
88,64,185,194,201,opel
83,59,171,195,201,opel
66,57,131,183,187,opel
72,62,149,203,210,opel
108,57,212,191,201,opel
50,58,114,182,187,opel
98,62,193,190,199,opel
105,68,218,190,197,opel
89,59,169,193,202,opel
92,62,188,195,203,opel
82,60,156,190,196,opel
72,53,142,181,189,opel
100,53,213,187,195,opel
75,59,147,181,187,opel
66,56,130,201,207,opel
66,59,142,197,202,opel
81,57,161,187,193,opel
107,62,200,194,201,opel
72,53,134,188,198,opel
101,62,200,192,202,opel
69,57,138,204,210,opel
109,67,218,191,202,opel
73,57,153,181,187,opel
105,69,218,187,195,opel
73,59,159,195,201,opel
103,69,219,186,196,opel
80,62,164,199,204,opel
105,59,210,188,196,opel
103,65,204,186,194,opel
105,68,201,191,202,opel
42,57,114,179,183,opel
100,62,227,186,197,opel
53,59,133,177,183,opel
53,58,134,177,184,opel
74,57,139,183,191,opel
101,66,192,191,200,opel
108,70,224,186,198,opel
104,58,215,186,194,opel
100,62,200,189,198,opel
78,55,138,192,197,opel
71,56,142,188,197,opel
96,63,186,197,205,opel
100,55,214,185,192,opel
91,62,176,192,200,opel
98,53,217,187,198,opel
101,62,222,186,196,opel
82,54,149,188,193,opel
82,58,165,200,208,opel
75,55,145,191,198,opel
104,52,206,188,196,opel
88,69,168,186,192,opel
96,74,220,186,195,opel
85,61,164,198,205,opel
69,56,128,183,191,opel
110,53,219,188,198,opel
96,57,219,187,195,opel
76,60,157,190,196,opel
101,65,226,185,196,opel
96,65,189,190,197,opel
101,58,222,189,198,opel
98,64,217,188,199,opel
105,64,197,194,205,opel
