@relation vehicle

@attribute Compactness numeric
@attribute Major_variance numeric
@attribute Gyration_radius numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
115,229,214,197,saab
112,223,186,202,saab
98,184,131,205,saab
108,229,215,199,saab
92,181,130,195,saab
93,206,173,197,saab
115,229,214,199,saab
101,229,214,199,saab
107,226,217,196,saab
90,174,158,209,saab
97,226,202,200,saab
93,172,176,194,saab
105,224,218,197,saab
87,158,145,186,saab
85,159,150,195,saab
105,232,202,200,saab
85,171,145,188,saab
104,216,221,198,saab
91,197,156,198,saab
90,165,117,207,saab
108,229,214,201,saab
92,184,177,195,saab
104,220,221,197,saab
93,197,205,202,saab
86,165,173,185,saab
87,174,140,196,saab
106,229,200,205,saab
87,164,178,185,saab
103,220,223,197,saab
104,224,221,194,saab
110,222,221,198,saab
119,223,232,202,saab
90,200,154,195,saab
109,220,212,199,saab
100,186,169,210,saab
106,214,204,204,saab
83,143,139,183,saab
109,219,191,198,saab
110,209,160,203,saab
101,208,203,202,saab
93,180,188,199,saab
88,180,170,193,saab
91,189,155,191,saab
90,172,115,209,saab
104,207,195,206,saab
98,207,165,208,saab
89,166,170,189,saab
107,228,198,203,saab
117,228,220,205,saab
94,175,187,198,saab
111,223,188,200,saab
92,169,124,211,saab
95,202,158,211,saab
100,189,175,207,saab
93,200,149,195,saab
90,177,123,204,saab
79,153,145,183,saab
89,164,126,204,saab
104,218,202,198,saab
90,137,132,195,saab
106,224,184,202,saab
97,222,223,196,saab
85,173,160,187,saab
96,183,134,197,saab
93,202,152,204,saab
86,152,166,191,saab
113,221,196,199,saab
106,235,218,197,saab
84,166,138,195,saab
99,221,224,201,saab
87,154,132,192,saab
94,184,133,210,saab
91,163,137,200,saab
89,190,174,201,saab
110,226,190,199,saab
92,180,144,195,saab
93,149,158,204,saab
89,174,153,193,saab
102,220,195,197,saab
100,200,153,205,saab
108,216,235,200,saab
91,166,121,205,saab
107,216,202,205,saab
90,189,158,192,saab
95,220,237,196,saab
108,232,214,197,saab
86,191,138,199,saab
86,155,162,189,saab
89,139,128,184,saab
96,218,195,197,saab
86,162,151,190,saab
106,227,200,203,saab
107,221,216,197,saab
98,216,174,197,saab
101,223,194,206,saab
104,218,222,196,saab
97,216,175,197,saab
104,225,220,195,saab
102,226,213,199,saab
97,192,147,205,saab
100,220,197,198,saab
93,158,125,206,saab
104,226,203,203,saab
98,197,141,199,saab
109,226,212,202,saab
97,180,169,206,saab
89,186,137,197,saab
83,146,140,184,saab
102,214,178,204,saab
97,202,165,199,saab
89,189,190,193,saab
109,229,212,201,saab
91,184,179,208,saab
104,218,234,198,saab
98,189,138,208,saab
100,222,198,197,saab
105,214,186,200,saab
107,229,216,199,saab
90,205,222,195,saab
89,179,137,192,saab
99,210,166,199,saab
98,223,220,196,saab
90,148,118,202,saab
101,232,216,197,saab
82,150,144,182,saab
93,186,129,204,saab
84,177,149,191,saab
101,219,219,201,saab
101,213,195,205,saab
104,232,229,199,saab
93,191,139,197,saab
86,165,173,185,saab
97,208,168,206,saab
91,190,142,199,saab
88,165,158,205,saab
106,228,200,201,saab
107,226,217,198,saab
109,229,212,199,saab
105,226,228,201,saab
82,148,142,187,saab
103,222,222,196,saab
108,226,214,199,saab
115,207,184,208,saab
88,151,144,184,saab
94,188,144,204,saab
89,202,155,196,saab
84,135,128,190,saab
96,162,169,209,saab
107,280,264,183,bus
81,172,191,186,bus
82,174,177,185,bus
106,269,243,182,bus
89,175,145,196,bus
86,172,189,191,bus
85,172,173,183,bus
96,188,182,203,bus
87,173,139,200,bus
85,173,168,183,bus
86,170,188,184,bus
93,175,135,205,bus
85,170,185,183,bus
84,175,184,192,bus
98,189,138,202,bus
91,189,161,201,bus
102,267,242,184,bus
102,247,209,186,bus
92,179,183,201,bus
96,228,210,189,bus
88,174,151,200,bus
97,199,137,199,bus
100,204,151,197,bus
82,181,173,188,bus
83,166,170,193,bus
82,173,183,185,bus
94,164,177,203,bus
91,170,179,201,bus
100,216,200,194,bus
96,188,136,200,bus
105,240,208,188,bus
99,232,214,189,bus
109,267,242,184,bus
101,275,230,184,bus
94,196,206,199,bus
87,170,171,182,bus
86,168,177,183,bus
89,175,154,195,bus
80,170,173,185,bus
81,169,172,184,bus
84,179,157,193,bus
84,173,176,184,bus
98,212,221,195,bus
110,278,257,182,bus
98,208,209,195,bus
102,225,167,191,bus
85,168,174,181,bus
84,180,173,190,bus
89,164,173,199,bus
100,219,205,193,bus
86,175,172,183,bus
111,285,255,183,bus
109,262,217,186,bus
88,167,143,201,bus
79,175,174,188,bus
114,287,261,184,bus
97,167,119,208,bus
83,168,147,195,bus
91,169,159,207,bus
85,167,172,182,bus
97,176,172,204,bus
81,167,179,183,bus
80,170,176,184,bus
86,167,176,196,bus
83,172,183,191,bus
90,178,133,205,bus
82,171,173,186,bus
87,164,141,199,bus
106,285,260,184,bus
98,184,180,203,bus
81,177,190,187,bus
82,169,184,184,bus
79,175,199,189,bus
85,170,186,184,bus
87,171,152,195,bus
78,169,168,186,bus
99,193,137,202,bus
81,180,178,186,bus
85,169,186,184,bus
99,234,186,191,bus
96,183,171,203,bus
81,170,178,183,bus
90,173,173,184,bus
86,169,171,183,bus
100,189,125,204,bus
107,269,239,186,bus
96,178,127,205,bus
103,254,250,184,bus
89,181,153,195,bus
101,169,165,209,bus
80,170,190,185,bus
101,231,214,192,bus
85,166,172,182,bus
95,184,124,204,bus
89,174,148,197,bus
107,275,232,184,bus
97,194,186,200,bus
88,163,173,203,bus
85,171,187,186,bus
86,174,177,182,bus
83,174,198,186,bus
106,266,242,183,bus
93,190,201,201,bus
107,243,229,187,bus
90,168,139,204,bus
81,166,172,182,bus
110,272,268,183,bus
104,238,198,189,bus
94,171,132,206,bus
85,169,160,182,bus
93,203,183,197,bus
98,199,198,199,bus
80,171,176,187,bus
106,280,262,182,bus
86,170,186,183,bus
99,202,151,199,bus
86,170,176,196,bus
86,171,172,182,bus
96,185,191,200,bus
83,167,183,191,bus
107,258,245,184,bus
94,169,177,206,bus
82,178,160,189,bus
100,232,213,189,bus
87,177,156,188,bus
100,179,172,205,bus
101,256,253,185,bus
80,169,176,184,bus
94,208,154,197,bus
87,177,171,187,bus
92,180,135,202,bus
87,184,157,193,bus
85,241,188,183,bus
87,169,171,182,bus
82,181,177,187,bus
98,215,174,197,bus
108,285,261,181,bus
92,179,143,200,bus
96,179,166,206,bus
86,170,185,188,bus
109,265,247,183,bus
86,169,172,182,bus
94,204,182,198,bus
85,177,172,185,bus
100,206,198,198,bus
91,178,192,199,bus
88,180,168,189,bus
94,184,127,204,bus
85,166,171,182,bus
91,169,144,200,bus
89,171,189,182,bus
99,222,219,190,bus
85,173,155,191,bus
86,179,164,192,bus
81,173,186,189,bus
88,167,172,193,bus
91,184,156,204,bus
94,181,191,198,bus
89,176,153,189,bus
81,171,195,188,bus
102,246,231,187,bus
89,166,169,198,bus
86,170,186,182,bus
80,171,176,183,bus
97,178,186,203,bus
82,237,185,185,bus
87,175,189,190,bus
86,170,171,182,bus
94,175,145,200,bus
95,189,163,198,bus
95,184,185,206,bus
95,169,171,200,bus
113,288,261,183,bus
82,169,184,184,bus
98,197,141,201,bus
83,174,159,188,bus
110,280,239,183,bus
84,169,176,183,bus
86,176,190,194,bus
104,227,218,191,bus
93,189,194,202,bus
105,214,188,194,bus
85,172,174,182,bus
86,166,171,182,bus
96,205,148,198,bus
87,175,152,194,bus
81,172,171,184,bus
83,170,180,191,bus
84,168,177,188,bus
86,170,185,183,bus
82,166,185,182,bus
87,167,178,201,bus
83,172,158,190,bus
98,184,117,205,bus
88,180,192,195,bus
99,202,171,195,bus
90,161,158,197,opel
89,170,168,193,opel
99,223,213,198,opel
88,159,174,197,opel
101,220,187,201,opel
87,181,172,189,opel
101,226,204,194,opel
97,208,169,200,opel
93,151,114,207,opel
82,173,153,187,opel
80,147,133,191,opel
91,203,201,198,opel
100,202,151,198,opel
106,222,214,201,opel
105,231,217,195,opel
79,165,144,189,opel
104,235,218,198,opel
100,217,193,196,opel
92,165,151,206,opel
99,234,236,200,opel
104,237,218,196,opel
96,217,226,201,opel
79,172,144,193,opel
84,144,139,190,opel
99,225,213,196,opel
97,224,194,197,opel
93,197,201,192,opel
103,220,198,198,opel
104,230,226,202,opel
90,194,147,191,opel
103,221,199,200,opel
93,162,120,202,opel
87,214,178,194,opel
101,225,204,198,opel
92,183,178,198,opel
104,231,246,196,opel
103,217,218,196,opel
78,141,121,185,opel
104,223,218,195,opel
106,225,214,196,opel
107,219,192,206,opel
101,231,204,197,opel
100,241,207,199,opel
93,172,137,198,opel
88,175,177,208,opel
86,158,162,190,opel
93,208,168,197,opel
84,160,127,191,opel
95,200,171,206,opel
99,209,193,201,opel
101,210,210,198,opel
106,224,172,206,opel
92,170,168,203,opel
97,200,189,203,opel
97,197,136,204,opel
93,182,188,201,opel
81,147,148,184,opel
85,144,123,194,opel
101,215,174,196,opel
96,227,246,194,opel
95,224,223,193,opel
98,231,217,198,opel
107,222,212,201,opel
100,231,189,195,opel
96,226,221,193,opel
78,135,135,184,opel
85,137,144,201,opel
108,228,210,197,opel
98,184,186,196,opel
95,227,202,193,opel
84,167,165,186,opel
80,152,135,188,opel
86,190,148,202,opel
95,188,178,204,opel
92,196,151,200,opel
91,219,199,194,opel
109,210,195,202,opel
85,176,133,193,opel
98,236,245,197,opel
100,234,207,198,opel
101,228,204,201,opel
107,217,189,198,opel
76,152,145,184,opel
92,214,240,195,opel
85,168,134,203,opel
105,207,161,202,opel
88,147,144,200,opel
85,179,136,197,opel
95,199,149,200,opel
103,225,200,201,opel
98,231,216,195,opel
90,199,157,193,opel
89,174,126,205,opel
97,212,162,202,opel
92,174,160,211,opel
86,174,161,192,opel
103,199,138,206,opel
103,219,219,194,opel
82,152,146,183,opel
109,222,168,206,opel
90,182,142,198,opel
103,226,197,196,opel
102,228,223,198,opel
84,209,145,198,opel
86,154,165,187,opel
80,142,132,184,opel
101,232,204,202,opel
100,202,176,205,opel
104,207,204,204,opel
102,202,139,204,opel
91,202,153,200,opel
108,222,187,200,opel
88,200,150,199,opel
89,155,151,209,opel
100,238,206,198,opel
85,170,163,183,opel
100,234,205,198,opel
104,221,216,196,opel
93,169,125,210,opel
102,219,201,195,opel
92,181,164,208,opel
82,174,139,189,opel
85,145,123,198,opel
73,135,147,184,opel
95,208,235,198,opel
83,155,162,190,opel
102,219,184,201,opel
88,161,129,202,opel
92,181,132,206,opel
91,196,145,198,opel
102,228,199,196,opel
93,182,174,197,opel
103,214,185,204,opel
89,166,142,194,opel
99,222,241,198,opel
104,228,219,196,opel
97,193,182,198,opel
77,145,139,187,opel
105,214,214,198,opel
111,227,201,198,opel
103,226,250,195,opel
88,132,138,187,opel
98,225,216,196,opel
91,169,123,203,opel
103,217,219,194,opel
103,215,164,202,opel
107,234,212,196,opel
97,232,218,197,opel
104,223,218,195,opel
97,182,117,211,opel
97,219,218,193,opel
84,148,141,188,opel
104,223,196,196,opel
101,222,224,195,opel
80,151,142,186,opel
95,223,201,202,opel
99,228,213,196,opel
80,131,121,183,opel
102,219,223,196,opel
88,158,120,210,opel
105,221,197,203,opel
86,179,145,191,opel
101,221,223,195,opel
89,163,130,192,opel
89,189,180,199,opel
99,212,159,205,opel
105,225,216,199,opel
96,221,222,194,opel
104,206,205,200,opel
89,187,197,193,opel
106,228,214,197,opel
107,202,159,203,opel
97,189,136,192,opel
86,148,139,187,opel
88,199,151,192,opel
89,154,128,203,opel
103,229,249,196,opel
89,207,210,194,opel
94,196,155,195,opel
102,214,186,203,opel
94,178,130,204,opel
99,219,215,194,opel
103,214,183,200,opel
87,197,209,199,opel
100,238,206,199,opel
105,231,216,194,opel
96,195,196,201,opel
91,216,244,199,opel
96,220,200,194,opel
89,170,156,188,opel
95,217,166,197,opel
