@relation vehicle

@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Gyration_radius numeric
@attribute Class {van,saab,bus,opel}

@data
62,6,135,125,151,144,saab
61,5,150,138,165,173,saab
72,10,217,171,232,216,saab
66,10,214,173,224,221,saab
59,11,199,154,207,165,saab
59,10,208,163,220,197,saab
60,11,191,162,207,194,saab
65,11,218,167,229,216,saab
61,9,166,154,189,175,saab
57,6,128,129,154,132,saab
69,12,215,168,229,214,saab
58,9,157,132,172,115,saab
63,7,176,154,205,222,saab
61,4,135,127,152,141,saab
62,9,188,162,208,203,saab
51,6,142,130,162,146,saab
58,6,151,136,174,140,saab
64,9,208,158,224,184,saab
60,9,157,149,180,169,saab
69,10,221,170,232,202,saab
63,11,219,172,229,212,saab
61,11,217,168,226,209,saab
60,8,175,152,200,198,saab
62,12,218,170,221,217,saab
61,10,181,158,211,220,saab
60,10,195,161,219,219,saab
59,9,175,140,192,147,saab
66,11,204,165,221,224,saab
62,10,217,165,229,214,saab
67,9,206,167,223,220,saab
56,5,133,135,152,166,saab
60,5,148,131,163,157,saab
59,7,168,152,196,185,saab
64,11,213,171,222,221,saab
54,7,132,127,148,142,saab
67,12,217,165,231,222,saab
63,6,140,131,164,126,saab
60,11,175,153,192,187,saab
66,10,203,149,217,210,saab
65,10,198,164,224,240,saab
60,10,171,155,186,169,saab
61,11,207,167,217,216,saab
55,4,129,127,146,140,saab
60,9,170,134,191,138,saab
58,8,177,133,202,155,saab
54,7,149,132,177,149,saab
60,8,172,134,197,152,saab
64,7,160,147,180,188,saab
67,12,222,177,226,213,saab
63,9,185,144,202,165,saab
62,11,216,165,221,196,saab
66,11,214,167,229,212,saab
64,8,169,134,200,149,saab
61,9,193,149,209,160,saab
66,11,218,169,221,216,saab
59,10,207,156,225,213,saab
64,9,161,151,190,174,saab
60,7,170,131,188,144,saab
63,8,164,134,191,139,saab
62,6,144,139,166,170,saab
55,5,142,128,153,145,saab
68,11,218,173,232,229,saab
59,11,214,162,223,194,saab
56,7,155,126,177,123,saab
57,6,128,125,143,139,saab
61,11,212,159,229,215,saab
60,8,150,133,166,121,saab
60,8,157,128,177,123,saab
58,8,181,134,205,160,saab
59,8,154,144,174,158,saab
59,9,163,148,184,179,saab
57,6,121,127,137,132,saab
57,7,159,147,184,177,saab
56,11,213,162,226,217,saab
60,10,185,160,202,178,saab
64,9,177,135,194,165,saab
66,10,188,157,207,231,saab
64,9,166,138,184,131,saab
60,8,158,148,181,181,saab
65,11,213,168,216,221,saab
53,4,135,126,150,144,saab
59,5,132,135,159,150,saab
61,11,207,157,217,168,saab
56,6,160,148,185,184,saab
54,7,147,131,171,145,saab
63,10,213,166,218,202,saab
56,11,220,167,226,214,saab
62,9,203,151,216,183,saab
55,10,212,168,220,223,saab
53,8,137,127,158,145,saab
55,7,146,130,168,158,saab
67,9,187,158,214,214,saab
57,11,220,174,229,214,saab
64,12,221,168,229,200,saab
56,6,136,136,155,162,saab
62,7,150,133,165,173,saab
54,10,216,171,235,218,saab
63,11,222,175,229,213,saab
55,12,216,171,229,214,saab
61,8,164,150,189,190,saab
66,7,154,133,181,130,saab
55,6,140,125,166,138,saab
62,9,169,139,184,133,saab
55,7,146,132,170,149,saab
64,11,213,172,218,222,saab
63,7,135,128,151,143,saab
60,11,211,156,223,188,saab
65,9,197,152,216,174,saab
57,8,153,128,169,124,saab
64,11,201,158,214,204,saab
67,8,154,129,180,144,saab
58,5,125,130,141,145,saab
60,7,158,131,181,144,saab
68,11,207,164,228,238,saab
63,8,186,144,210,166,saab
66,10,207,158,223,220,saab
58,8,140,142,165,158,saab
60,8,160,133,189,155,saab
61,9,157,134,178,125,saab
56,8,154,149,180,170,saab
53,5,134,127,151,146,saab
63,9,177,155,195,197,saab
57,3,112,119,130,127,saab
53,6,144,131,165,149,saab
61,10,216,173,225,220,saab
59,7,163,131,189,158,saab
59,11,217,163,232,203,saab
64,6,160,125,187,139,saab
59,4,137,133,162,151,saab
54,10,208,162,220,221,saab
66,9,192,143,218,195,saab
61,10,198,150,213,195,saab
71,11,219,172,226,217,saab
61,8,142,128,163,137,saab
56,11,214,159,232,203,saab
65,11,208,162,228,240,saab
58,6,142,137,164,164,saab
66,9,191,148,210,169,saab
58,7,135,124,155,148,saab
59,7,140,124,165,117,saab
66,10,211,164,223,210,saab
62,11,220,163,232,202,saab
65,10,187,156,207,195,saab
64,11,220,172,226,203,saab
59,8,153,129,179,137,saab
53,7,125,126,146,128,saab
69,12,221,169,226,212,saab
68,12,218,170,223,224,saab
71,12,221,167,226,202,saab
66,9,188,144,216,175,saab
67,12,222,173,228,200,saab
59,7,169,132,190,142,saab
56,11,210,163,222,222,saab
63,9,175,132,197,156,saab
60,12,215,162,220,212,saab
62,10,206,155,227,215,saab
56,6,133,123,158,125,saab
53,4,115,118,136,127,saab
57,7,149,143,172,176,saab
67,10,204,162,220,195,saab
57,12,213,162,226,190,saab
56,7,141,141,162,169,saab
59,7,161,131,186,137,saab
59,7,152,143,175,187,saab
126,52,148,144,237,185,bus
74,7,190,154,208,209,bus
57,6,151,143,173,168,bus
71,5,174,154,196,206,bus
66,6,164,131,193,137,bus
68,5,155,124,184,117,bus
63,6,218,156,232,213,bus
59,7,240,168,258,245,bus
60,7,197,148,214,201,bus
51,5,256,170,285,261,bus
64,7,151,143,179,157,bus
54,4,222,159,254,206,bus
72,6,158,133,184,127,bus
58,8,151,146,171,187,bus
50,8,152,141,169,171,bus
55,7,150,146,172,173,bus
47,4,237,164,263,222,bus
56,7,150,145,177,172,bus
62,7,147,143,176,153,bus
54,7,149,145,169,186,bus
59,6,148,146,167,183,bus
62,7,149,145,172,171,bus
68,6,171,129,199,137,bus
68,6,152,148,180,192,bus
64,6,141,143,164,173,bus
61,6,225,165,246,231,bus
53,8,151,146,170,190,bus
67,7,149,135,169,144,bus
61,7,143,136,164,141,bus
58,6,148,145,170,185,bus
68,7,151,145,181,173,bus
66,6,151,146,175,189,bus
71,6,161,128,180,135,bus
48,5,247,165,269,243,bus
65,5,209,159,232,214,bus
72,7,184,161,199,198,bus
71,7,176,152,190,201,bus
74,5,165,128,188,136,bus
57,8,148,145,170,186,bus
76,7,150,136,174,148,bus
64,5,250,169,280,239,bus
66,7,144,147,166,169,bus
74,5,202,148,234,186,bus
75,6,146,141,167,178,bus
71,6,195,159,214,188,bus
56,7,152,142,177,173,bus
65,7,151,143,178,160,bus
59,6,150,146,172,183,bus
67,6,262,171,285,260,bus
62,7,152,145,178,179,bus
59,8,150,145,170,173,bus
69,22,151,147,186,186,bus
66,7,148,134,167,143,bus
73,6,162,127,189,125,bus
52,7,152,147,174,177,bus
63,6,192,147,215,174,bus
71,5,176,138,204,151,bus
54,8,151,146,173,176,bus
53,6,152,141,175,172,bus
53,6,151,147,170,178,bus
65,8,149,146,170,185,bus
69,5,143,143,166,170,bus
72,4,238,163,267,242,bus
50,6,255,169,280,264,bus
56,6,260,175,288,261,bus
64,7,149,142,172,158,bus
71,7,154,127,171,132,bus
54,5,148,145,168,174,bus
69,6,160,130,178,133,bus
56,6,148,145,166,171,bus
64,7,148,138,172,152,bus
66,7,145,140,169,159,bus
74,6,184,145,208,154,bus
66,6,145,134,173,139,bus
71,5,186,145,204,182,bus
68,7,150,143,171,173,bus
70,7,155,145,179,166,bus
57,7,236,164,256,253,bus
53,7,149,145,173,163,bus
67,6,149,139,169,165,bus
57,5,251,169,272,268,bus
70,7,144,141,167,172,bus
61,8,147,143,170,180,bus
68,7,151,131,175,135,bus
64,7,150,144,175,171,bus
73,7,178,157,194,186,bus
60,7,150,146,170,176,bus
54,7,150,140,171,172,bus
69,6,156,144,181,191,bus
69,7,184,145,203,183,bus
75,6,239,167,264,228,bus
56,7,153,149,172,191,bus
64,6,145,141,169,171,bus
56,8,150,144,168,173,bus
61,7,147,143,173,183,bus
60,6,220,162,247,209,bus
67,4,250,162,280,262,bus
51,7,217,165,240,208,bus
68,7,150,137,174,151,bus
67,7,148,140,171,152,bus
65,6,145,144,168,177,bus
70,6,146,146,172,189,bus
65,22,149,139,173,155,bus
58,7,149,144,166,172,bus
64,5,177,134,205,148,bus
61,6,172,139,197,141,bus
54,6,150,144,174,177,bus
65,6,153,143,176,172,bus
72,7,152,145,177,171,bus
70,6,167,148,183,171,bus
73,6,158,134,185,148,bus
69,7,150,144,170,179,bus
57,8,149,146,169,172,bus
69,5,148,144,169,184,bus
69,6,177,139,189,163,bus
55,8,150,148,169,176,bus
67,6,186,158,206,198,bus
72,8,153,144,171,178,bus
70,7,167,152,184,185,bus
54,8,150,145,171,176,bus
58,4,227,158,262,217,bus
49,7,252,172,269,239,bus
66,7,151,129,167,119,bus
51,6,261,171,278,257,bus
65,6,204,161,231,214,bus
70,6,151,147,174,198,bus
74,5,163,149,185,191,bus
72,6,167,150,188,182,bus
47,4,247,166,266,242,bus
62,8,153,144,175,174,bus
64,7,151,131,168,139,bus
55,7,149,146,167,172,bus
69,5,169,137,184,156,bus
65,5,194,146,225,167,bus
65,6,201,159,219,205,bus
73,7,157,136,181,153,bus
103,52,149,144,241,188,bus
71,5,161,144,178,186,bus
57,6,151,147,170,188,bus
70,7,162,153,179,172,bus
63,6,149,145,170,176,bus
69,5,166,131,189,138,bus
70,6,154,131,184,127,bus
64,6,147,143,169,184,bus
75,7,154,147,178,192,bus
68,6,164,136,189,129,bus
53,8,150,144,169,172,bus
54,7,150,147,169,175,bus
70,6,149,127,178,127,bus
52,7,236,160,254,250,bus
73,6,151,146,173,186,bus
65,8,147,145,169,168,bus
56,7,148,144,170,186,bus
75,7,155,143,180,173,bus
56,8,149,143,169,171,bus
71,7,166,150,184,180,bus
55,5,186,141,215,162,bus
64,6,146,142,168,180,bus
55,7,152,142,173,173,bus
66,5,208,161,227,218,bus
75,6,171,138,189,161,bus
55,8,149,145,166,172,bus
66,7,146,144,167,176,bus
64,6,154,145,175,184,bus
74,7,157,143,179,183,bus
68,6,154,146,176,190,bus
54,6,148,141,172,174,bus
63,7,146,135,175,145,bus
56,8,151,145,170,186,bus
51,8,257,172,275,232,bus
64,6,192,146,217,163,bus
71,6,152,131,179,143,bus
64,6,151,147,171,195,bus
50,7,150,147,171,189,bus
65,5,155,138,184,157,bus
64,6,148,145,170,185,bus
61,7,153,148,177,190,bus
56,6,149,144,170,171,bus
64,7,151,138,175,152,bus
68,7,199,150,216,200,bus
61,8,143,143,163,173,bus
69,7,150,142,169,177,bus
68,6,185,153,202,171,bus
70,6,183,156,206,198,bus
51,6,265,174,285,255,bus
53,7,150,147,169,176,bus
60,6,153,146,180,178,bus
65,7,144,141,168,147,bus
60,7,152,151,167,179,bus
67,6,142,142,164,177,bus
68,7,150,138,175,157,bus
59,7,149,142,177,156,bus
59,6,213,152,228,210,bus
54,6,148,143,170,171,bus
54,4,212,153,238,198,bus
74,19,152,143,180,168,bus
62,7,162,131,194,147,opel
65,9,183,137,202,153,opel
53,10,217,174,228,223,opel
59,6,142,128,162,120,opel
64,11,217,173,225,216,opel
55,7,147,128,168,134,opel
62,7,164,145,188,178,opel
61,8,178,132,199,157,opel
57,10,219,170,231,217,opel
62,8,200,161,218,200,opel
53,10,213,173,219,201,opel
55,7,147,135,172,144,opel
54,10,215,175,226,221,opel
70,9,210,168,236,245,opel
57,5,138,122,158,120,opel
58,11,217,166,228,191,opel
62,9,200,166,222,241,opel
67,10,200,163,214,214,opel
58,10,215,175,221,222,opel
58,5,133,127,152,145,opel
56,6,123,124,141,121,opel
54,7,153,134,174,139,opel
54,13,224,188,223,213,opel
69,8,168,133,199,151,opel
65,12,226,182,225,216,opel
59,8,171,152,195,196,opel
66,6,162,143,189,180,opel
62,13,222,180,225,213,opel
55,6,125,125,142,132,opel
65,9,196,146,219,199,opel
55,6,145,139,170,166,opel
62,9,172,135,191,121,opel
57,3,114,119,131,121,opel
56,7,163,129,184,140,opel
69,11,218,173,226,250,opel
62,10,183,141,208,168,opel
59,10,192,161,210,195,opel
69,10,200,147,220,200,opel
56,7,149,143,170,168,opel
59,8,134,126,152,135,opel
71,10,214,164,228,199,opel
64,8,162,149,183,178,opel
57,11,206,156,212,186,opel
70,11,220,163,238,206,opel
70,10,189,141,214,178,opel
70,10,223,177,237,218,opel
63,10,185,142,202,139,opel
69,11,219,176,231,246,opel
62,9,161,135,181,132,opel
59,7,159,146,182,188,opel
69,10,208,169,227,223,opel
60,11,218,167,221,197,opel
62,6,140,123,161,129,opel
55,7,122,130,137,144,opel
60,7,157,148,184,186,opel
66,11,209,163,222,212,opel
59,9,188,161,206,205,opel
62,8,186,147,202,151,opel
57,6,150,146,170,180,opel
59,9,169,132,190,148,opel
55,9,169,130,196,155,opel
62,11,212,175,217,219,opel
62,7,149,124,169,125,opel
64,11,201,155,212,162,opel
56,7,127,125,144,123,opel
68,9,201,148,223,201,opel
54,10,216,173,219,218,opel
65,9,178,141,199,149,opel
63,9,195,162,210,210,opel
54,6,126,128,135,147,opel
55,10,210,166,219,215,opel
70,11,224,186,225,218,opel
54,12,216,172,220,187,opel
67,9,189,161,214,240,opel
59,8,153,126,179,136,opel
62,7,176,138,200,150,opel
64,8,157,126,182,142,opel
74,11,220,172,223,218,opel
58,6,134,128,147,148,opel
60,8,161,131,189,136,opel
59,10,215,177,221,223,opel
61,8,167,134,196,145,opel
68,10,222,165,241,207,opel
57,8,161,149,187,197,opel
57,11,220,170,220,198,opel
62,9,193,161,216,244,opel
59,8,150,134,176,133,opel
66,8,192,151,208,169,opel
63,11,227,180,234,205,opel
64,9,177,153,197,209,opel
60,8,156,144,181,174,opel
63,9,175,142,199,138,opel
56,8,142,143,159,174,opel
59,10,213,172,223,217,opel
65,11,212,165,229,249,opel
62,8,167,148,190,193,opel
63,8,177,156,203,201,opel
52,10,206,164,217,193,opel
56,6,139,131,151,142,opel
59,11,216,173,219,219,opel
72,12,221,177,223,218,opel
67,9,205,151,227,202,opel
64,8,168,150,193,182,opel
56,11,223,174,225,200,opel
53,9,142,135,165,144,opel
62,10,198,161,207,204,opel
62,6,126,132,144,139,opel
62,12,200,158,215,164,opel
57,11,214,162,217,189,opel
62,6,140,135,158,162,opel
69,11,219,176,228,219,opel
57,7,135,126,154,128,opel
59,6,151,145,175,177,opel
60,12,221,173,225,214,opel
60,7,167,147,197,201,opel
59,10,210,173,217,218,opel
59,7,151,141,182,174,opel
62,10,188,148,202,159,opel
60,7,177,131,209,145,opel
67,9,217,162,238,206,opel
68,10,224,178,228,213,opel
61,8,164,129,186,130,opel
55,7,135,136,154,165,opel
52,4,152,133,170,163,opel
57,11,214,161,224,172,opel
66,11,221,176,234,236,opel
65,10,189,143,217,166,opel
63,9,193,161,214,185,opel
62,8,157,125,174,126,opel
63,11,220,167,228,214,opel
56,4,120,124,135,135,opel
59,7,130,134,147,144,opel
68,11,205,169,221,216,opel
61,11,225,178,228,204,opel
61,11,221,179,234,212,opel
53,10,212,163,226,204,opel
59,6,147,132,167,136,opel
61,9,193,150,207,161,opel
54,12,208,159,214,183,opel
56,7,128,124,147,133,opel
59,5,130,130,145,139,opel
61,7,146,127,166,142,opel
63,9,190,161,208,235,opel
56,7,130,120,151,114,opel
56,9,219,175,231,216,opel
63,10,179,140,197,136,opel
62,8,161,131,182,117,opel
57,8,156,133,185,157,opel
62,8,176,137,196,151,opel
50,11,221,172,227,201,opel
56,7,146,137,170,156,opel
58,8,140,138,165,151,opel
59,5,133,128,152,146,opel
54,7,154,127,179,145,opel
57,10,212,162,219,184,opel
61,11,207,152,227,193,opel
58,10,222,171,224,203,opel
60,7,152,141,174,161,opel
57,8,131,127,148,139,opel
68,11,215,170,222,214,opel
65,8,201,147,231,189,opel
53,9,134,132,145,123,opel
61,10,181,158,197,180,opel
59,7,154,145,181,172,opel
59,7,162,133,178,130,opel
67,10,195,147,224,194,opel
68,10,208,154,232,204,opel
63,11,215,172,219,219,opel
59,7,147,131,169,123,opel
70,11,226,182,234,207,opel
58,6,132,137,155,151,opel
60,8,150,125,172,137,opel
64,12,222,174,221,199,opel
57,13,225,177,225,204,opel
62,10,178,154,200,171,opel
67,11,218,170,223,196,opel
58,8,165,149,181,164,opel
56,5,132,130,148,141,opel
57,10,222,177,225,211,opel
65,10,214,156,232,218,opel
67,10,201,156,215,174,opel
58,5,114,122,132,138,opel
74,10,212,175,224,223,opel
65,6,178,156,207,210,opel
60,11,211,160,222,187,opel
56,7,138,126,163,130,opel
68,11,218,171,228,210,opel
54,5,135,131,155,162,opel
55,11,214,175,219,224,opel
67,12,218,174,230,226,opel
64,10,203,157,214,186,opel
