@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
119,106,12,213,saab
88,57,6,135,saab
86,77,7,150,saab
104,108,11,217,saab
104,101,10,213,saab
96,74,8,159,saab
88,63,5,125,saab
100,102,10,198,saab
101,101,9,188,saab
84,77,5,152,saab
86,66,4,137,saab
109,103,11,219,saab
83,54,4,135,saab
101,112,11,214,saab
105,108,12,222,saab
104,101,11,213,saab
90,74,8,157,saab
91,83,7,169,saab
93,72,6,133,saab
93,63,7,128,saab
80,63,7,146,saab
106,101,11,201,saab
108,109,12,216,saab
101,105,10,198,saab
95,95,10,193,saab
89,69,6,140,saab
108,103,10,221,saab
89,83,8,164,saab
104,108,11,217,saab
89,52,4,122,saab
98,78,8,169,saab
104,100,9,197,saab
94,85,9,169,saab
107,96,12,218,saab
109,104,12,215,saab
97,95,9,188,saab
90,72,8,154,saab
88,90,8,175,saab
91,83,8,172,saab
105,100,10,221,saab
113,98,9,203,saab
78,63,6,142,saab
108,104,11,220,saab
95,81,7,168,saab
109,103,11,214,saab
96,100,8,181,saab
112,104,11,208,saab
84,83,7,149,saab
102,106,11,207,saab
85,66,6,142,saab
97,76,9,157,saab
93,86,9,167,saab
82,54,7,125,saab
85,75,7,152,saab
97,101,9,186,saab
83,54,6,128,saab
91,72,7,146,saab
87,60,6,128,saab
106,108,12,221,saab
97,96,9,185,saab
90,80,9,157,saab
99,104,10,201,saab
97,104,9,211,saab
94,88,7,170,saab
110,100,9,193,saab
92,80,8,154,saab
108,109,11,212,saab
107,104,11,219,saab
111,108,11,207,saab
82,59,7,135,saab
99,105,11,204,saab
101,85,11,175,saab
96,94,9,187,saab
103,106,10,203,saab
105,105,11,191,saab
109,109,11,214,saab
86,65,6,152,bus
81,69,6,151,bus
86,61,8,150,bus
91,76,7,150,bus
102,83,5,194,bus
80,71,7,151,bus
98,70,5,155,bus
85,59,7,149,bus
97,72,5,161,bus
97,76,7,178,bus
85,64,7,149,bus
83,73,6,148,bus
86,69,6,150,bus
93,73,7,151,bus
108,106,5,256,bus
94,68,6,142,bus
87,70,7,149,bus
85,66,6,151,bus
103,103,7,236,bus
96,98,6,213,bus
90,71,7,150,bus
80,71,7,150,bus
81,71,7,153,bus
95,83,6,177,bus
85,70,7,150,bus
83,70,5,143,bus
94,73,7,154,bus
110,103,5,250,bus
87,65,6,149,bus
97,75,6,171,bus
81,68,7,152,bus
80,68,7,150,bus
82,72,7,154,bus
107,106,8,257,bus
109,102,6,241,bus
106,103,4,247,bus
99,77,6,177,bus
82,71,7,150,bus
86,71,7,146,bus
86,73,6,151,bus
96,77,6,167,bus
91,84,6,171,bus
79,74,7,153,bus
85,70,7,149,bus
87,60,6,150,bus
88,78,6,158,bus
92,76,6,152,bus
78,70,8,147,bus
88,70,19,152,bus
85,64,8,150,bus
85,70,8,151,bus
85,66,7,150,bus
95,71,6,145,bus
102,98,6,225,bus
81,68,7,149,bus
84,66,6,145,bus
81,68,6,151,bus
87,70,7,152,bus
110,109,5,251,bus
100,81,6,186,bus
110,106,6,261,bus
88,73,7,150,bus
98,84,7,184,bus
91,76,7,149,bus
89,68,7,150,bus
87,74,6,145,bus
86,73,6,149,bus
98,72,5,166,bus
106,107,6,262,bus
87,76,5,155,bus
102,101,4,238,bus
82,68,5,148,bus
109,96,6,241,bus
85,66,7,149,bus
99,79,6,185,bus
105,80,6,195,bus
89,75,5,153,bus
94,70,8,153,bus
100,73,6,162,bus
84,68,6,146,bus
93,86,7,184,bus
87,76,7,148,bus
89,70,6,141,bus
86,65,7,150,bus
91,81,5,169,bus
111,105,6,265,bus
94,84,6,184,bus
89,72,7,144,bus
94,75,8,155,bus
87,73,7,151,bus
83,71,6,151,bus
107,98,7,240,bus
101,62,6,149,bus
84,75,6,154,bus
101,91,6,204,bus
92,74,7,157,bus
95,73,6,156,bus
107,106,6,255,bus
82,70,7,148,bus
93,79,7,173,bus
86,64,6,148,bus
86,70,6,148,bus
98,77,6,172,bus
94,89,5,186,bus
81,63,8,149,bus
97,73,6,153,bus
86,66,8,148,bus
86,65,8,152,bus
101,106,7,236,bus
92,75,6,161,bus
82,72,7,147,bus
96,68,7,155,bus
96,70,6,167,bus
96,74,5,165,bus
96,74,6,149,bus
85,70,52,149,bus
106,98,4,237,bus
86,68,7,150,bus
89,70,7,147,bus
95,73,7,167,bus
84,76,7,151,bus
94,72,6,158,bus
86,71,6,146,bus
85,66,22,149,bus
102,92,6,220,bus
86,70,8,149,bus
84,70,8,151,bus
83,71,7,149,bus
97,70,7,151,bus
98,70,6,164,bus
97,88,7,197,bus
89,76,7,150,bus
87,70,7,143,bus
101,104,6,257,bus
85,66,5,148,bus
105,93,4,222,bus
82,63,7,151,bus
94,79,5,174,bus
85,69,7,152,bus
81,68,6,151,bus
89,76,7,157,bus
82,66,52,148,bus
100,75,5,176,bus
98,88,6,192,bus
85,66,7,150,bus
81,71,7,153,bus
82,73,7,151,bus
94,64,7,150,bus
114,102,6,257,bus
80,68,8,150,bus
81,68,8,149,bus
109,95,4,227,bus
96,82,5,186,bus
82,73,7,151,bus
81,68,22,151,bus
99,91,5,202,bus
83,70,7,144,bus
102,85,6,192,bus
91,75,7,154,bus
85,65,8,151,bus
86,70,7,148,bus
96,74,5,163,bus
92,75,6,154,bus
88,71,7,144,bus
90,63,7,152,bus
81,68,7,150,bus
84,65,8,150,bus
98,86,5,192,bus
87,65,8,149,bus
85,66,7,149,bus
106,100,4,250,bus
82,68,6,147,bus
80,68,8,150,bus
93,84,7,176,bus
84,76,7,155,bus
90,79,6,160,bus
86,66,7,152,bus
100,80,6,183,bus
100,98,6,218,bus
88,70,8,143,bus
98,77,7,166,bus
107,103,7,252,bus
108,102,6,239,bus
91,66,7,145,bus
81,72,6,153,bus
99,92,5,209,bus
85,66,6,148,bus
85,66,6,148,bus
99,88,5,203,bus
86,65,6,152,bus
88,70,7,148,bus
107,102,7,234,bus
79,72,8,153,bus
83,66,7,150,bus
90,75,7,151,bus
104,94,5,208,bus
83,68,8,147,bus
96,104,9,198,opel
100,96,9,186,opel
90,78,7,138,opel
85,63,7,122,opel
80,57,6,125,opel
100,109,9,217,opel
88,50,5,114,opel
88,69,7,130,opel
106,107,8,200,opel
107,105,11,221,opel
92,93,9,189,opel
101,108,12,216,opel
106,96,12,221,opel
98,76,7,157,opel
82,73,8,153,opel
92,69,7,149,opel
101,101,13,225,opel
97,81,8,168,opel
103,103,11,212,opel
105,98,11,217,opel
89,72,7,138,opel
97,103,11,215,opel
97,108,10,214,opel
95,96,9,190,opel
104,103,12,221,opel
103,100,11,212,opel
100,104,10,206,opel
105,96,10,219,opel
78,60,6,123,opel
109,103,11,206,opel
103,100,11,216,opel
80,42,3,114,opel
86,77,7,152,opel
103,107,12,222,opel
101,100,12,227,opel
92,69,8,140,opel
87,86,9,177,opel
99,88,10,185,opel
90,83,8,178,opel
101,105,10,209,opel
78,51,4,120,opel
85,78,7,147,opel
99,101,13,222,opel
86,66,8,131,opel
105,107,11,218,opel
101,100,10,208,opel
109,107,10,205,opel
102,98,10,219,opel
85,80,8,153,opel
103,96,10,205,opel
89,69,6,132,opel
102,96,10,185,opel
101,105,10,215,opel
89,75,7,146,opel
106,96,10,181,opel
90,86,7,162,opel
89,78,7,146,opel
97,78,8,161,opel
100,109,11,220,opel
79,80,7,147,opel
84,71,7,150,opel
95,92,10,178,opel
85,72,7,127,opel
96,104,10,215,opel
97,105,11,201,opel
88,79,7,176,opel
93,66,6,142,opel
82,86,7,153,opel
88,77,6,151,opel
81,53,6,134,opel
96,83,8,171,opel
95,105,9,201,opel
86,66,7,135,opel
107,103,11,209,opel
93,66,7,130,opel
91,76,8,167,opel
97,94,10,195,opel
102,101,10,203,opel
97,94,9,181,opel
73,53,6,126,opel
85,66,4,152,opel
93,78,8,150,opel
105,105,10,200,opel
97,101,8,192,opel
102,101,10,222,opel
104,96,11,220,opel
95,96,9,178,opel
100,101,10,222,opel
99,100,13,224,opel
107,103,11,214,opel
89,75,6,145,opel
91,75,6,150,opel
91,66,7,147,opel
104,105,10,223,opel
80,60,6,139,opel
104,110,10,219,opel
108,105,11,218,opel
86,84,8,156,opel
104,96,9,188,opel
92,82,8,165,opel
92,75,8,147,opel
107,92,10,188,opel
106,98,11,215,opel
84,60,5,132,opel
79,72,9,142,opel
103,98,9,193,opel
80,69,7,128,opel
100,100,8,201,opel
98,101,9,210,opel
108,103,11,211,opel
97,108,11,224,opel
101,107,11,225,opel
100,109,11,226,opel
87,77,7,154,opel
104,101,10,198,opel
102,100,10,213,opel
87,98,10,189,opel
99,109,11,221,opel
101,100,11,214,opel
93,72,7,149,opel
87,85,8,164,opel
103,107,12,208,opel
101,103,10,201,opel
105,96,9,219,opel
109,100,10,192,opel
95,80,7,164,opel
94,89,9,172,opel
86,77,7,154,opel
92,74,9,161,opel
89,77,8,157,opel
88,71,8,142,opel
89,83,6,178,opel
98,101,12,226,opel
89,80,6,162,opel
95,96,10,189,opel
96,103,9,204,opel
111,103,11,221,opel
100,93,8,186,opel
94,74,7,162,opel
104,91,11,218,opel
92,91,8,176,opel
89,69,7,135,opel
95,104,9,205,opel
94,79,8,167,opel
106,98,11,217,opel
76,58,5,133,opel
86,89,9,169,opel
98,104,10,213,opel
97,96,10,216,opel
88,77,7,163,opel
102,98,10,217,opel
103,105,11,218,opel
92,79,8,162,opel
93,73,7,159,opel
89,82,6,149,opel
95,104,10,212,opel
77,63,5,130,opel
103,105,10,210,opel
77,75,6,147,opel
91,98,9,193,opel
84,66,6,126,opel
97,92,10,179,opel
86,75,6,140,opel
99,100,9,200,opel
98,101,11,207,opel
102,108,10,212,opel
104,105,11,205,opel
82,53,5,133,opel
84,74,8,139,opel
89,81,8,161,opel
103,91,11,220,opel
100,107,11,227,opel
93,88,10,183,opel
93,78,7,151,opel
96,103,10,200,opel
104,103,11,219,opel
106,107,11,214,opel
107,101,11,202,opel
84,90,7,177,opel
88,78,6,140,opel
105,100,9,193,opel
94,84,9,169,opel
87,82,8,156,opel
104,103,11,219,opel
93,83,7,167,opel
98,101,11,225,opel
99,101,10,224,opel
98,108,11,224,opel
96,98,10,215,opel
99,105,11,197,opel
