@relation vehicle

@attribute Compactness numeric
@attribute Circularity numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
109,52,31,162,67,saab
110,51,31,162,68,saab
106,52,33,158,65,saab
89,47,40,150,72,saab
88,38,46,131,86,saab
85,33,59,118,83,saab
84,38,45,132,74,saab
85,34,58,121,70,saab
93,37,40,134,67,saab
97,44,35,144,72,saab
101,51,34,161,67,saab
87,37,52,129,71,saab
93,34,50,123,63,saab
93,43,44,143,69,saab
88,48,38,152,68,saab
101,48,38,153,62,saab
91,39,38,132,69,saab
110,54,31,171,73,saab
106,54,30,173,70,saab
107,54,31,170,71,saab
89,38,45,129,71,saab
113,53,31,165,72,saab
108,56,30,174,73,saab
91,38,47,131,69,saab
95,47,39,152,67,saab
88,45,43,149,69,saab
92,37,42,131,68,saab
85,40,44,134,76,saab
107,51,31,162,72,saab
109,54,31,167,70,saab
99,43,35,144,68,saab
98,48,33,152,68,saab
97,42,36,138,67,saab
95,46,35,148,68,saab
92,46,41,148,71,saab
91,36,44,133,63,saab
101,51,32,162,65,saab
90,43,42,144,61,saab
90,37,42,132,60,saab
109,49,32,156,70,saab
89,45,41,151,66,saab
96,40,37,134,68,saab
94,38,39,131,66,saab
104,51,31,163,72,saab
85,40,48,137,77,saab
90,36,42,128,61,saab
105,45,33,149,67,saab
107,54,31,169,71,saab
109,53,30,172,71,saab
88,37,50,125,83,saab
116,53,31,165,67,saab
111,53,32,167,64,saab
92,37,43,129,69,saab
105,51,30,163,72,saab
93,39,52,134,63,saab
82,36,54,126,78,saab
90,34,47,124,61,saab
100,46,34,147,73,saab
103,46,33,149,70,saab
87,39,44,136,70,saab
101,52,35,162,67,saab
88,42,47,142,64,saab
93,39,39,134,63,saab
82,36,50,126,86,saab
82,37,52,127,72,saab
90,50,36,158,69,saab
103,49,35,160,62,saab
84,36,48,125,71,saab
112,50,32,159,67,saab
108,54,33,164,68,saab
89,38,41,131,68,saab
101,56,31,171,72,saab
102,55,30,177,71,saab
99,48,33,152,73,saab
80,38,46,130,83,saab
97,53,30,167,70,saab
103,51,32,163,73,saab
94,46,42,148,67,saab
86,40,45,133,82,saab
97,41,38,140,63,saab
98,55,32,167,72,saab
97,44,36,144,66,saab
85,38,46,131,75,saab
91,40,38,135,66,saab
106,53,31,171,74,saab
101,46,34,150,66,saab
86,41,49,136,74,saab
83,36,53,125,82,saab
104,53,31,172,71,saab
94,43,43,143,67,saab
108,54,31,174,70,saab
102,48,33,152,64,saab
92,36,43,128,60,saab
115,52,31,165,72,saab
86,36,50,124,66,saab
85,33,61,119,86,saab
92,38,43,133,70,saab
91,45,40,148,62,saab
100,54,33,164,72,saab
78,38,47,130,77,saab
87,38,49,127,75,saab
111,50,31,156,68,saab
93,51,36,156,70,saab
108,52,31,171,72,saab
105,54,32,166,69,saab
98,47,34,154,61,saab
89,38,43,129,70,saab
100,46,40,154,63,saab
108,53,30,168,73,saab
82,37,51,128,82,saab
96,41,47,141,61,saab
89,36,48,131,66,saab
100,43,36,143,64,saab
105,54,30,170,73,saab
90,36,41,125,66,saab
104,54,31,172,74,saab
93,45,41,147,70,saab
104,49,32,157,64,saab
99,53,32,165,68,saab
105,54,31,168,68,saab
104,54,31,173,74,saab
108,53,31,167,72,saab
104,50,35,156,65,saab
100,52,32,163,70,saab
93,42,36,138,70,saab
91,39,39,132,67,saab
89,37,50,127,79,saab
91,39,46,132,77,saab
103,53,32,168,73,saab
91,39,38,134,72,saab
104,52,33,158,70,saab
112,50,31,159,71,saab
86,41,45,138,80,saab
110,53,32,164,67,saab
90,39,41,131,71,saab
89,42,46,139,74,saab
107,54,31,167,72,saab
108,49,32,155,72,saab
104,53,31,168,67,saab
84,35,59,123,76,saab
106,53,31,169,73,saab
86,36,45,128,66,saab
93,39,40,134,72,saab
96,45,34,143,73,saab
106,52,31,168,73,saab
95,37,43,134,63,saab
101,55,31,168,71,saab
108,49,31,159,71,saab
108,51,34,159,65,saab
104,55,31,173,71,saab
104,55,31,173,74,saab
88,37,54,130,74,saab
90,36,56,127,68,saab
100,47,38,155,59,saab
90,34,54,118,65,saab
86,38,39,134,68,saab
92,45,41,147,69,saab
105,53,31,168,71,saab
105,53,31,168,71,saab
85,40,50,135,68,saab
115,51,34,162,62,saab
110,46,34,149,65,saab
79,38,48,128,81,saab
85,44,45,145,84,bus
98,38,38,131,70,bus
85,42,46,146,85,bus
89,44,46,147,69,bus
85,42,45,145,82,bus
85,41,45,139,75,bus
88,44,46,143,68,bus
101,42,43,139,65,bus
96,46,39,148,69,bus
86,42,46,143,87,bus
102,51,30,162,80,bus
94,44,35,145,73,bus
85,45,45,145,81,bus
89,41,42,136,74,bus
97,45,40,144,70,bus
97,38,37,129,74,bus
81,43,46,145,83,bus
86,45,45,144,72,bus
81,45,45,151,81,bus
97,43,42,143,66,bus
107,55,27,168,80,bus
84,44,46,148,82,bus
94,37,41,133,70,bus
102,45,33,146,76,bus
106,57,26,171,86,bus
94,43,46,142,65,bus
87,44,45,141,69,bus
86,45,46,145,86,bus
85,42,46,144,83,bus
94,49,37,154,71,bus
100,49,35,156,73,bus
81,44,45,147,86,bus
94,37,42,127,67,bus
94,45,35,145,71,bus
86,43,44,142,81,bus
109,52,29,158,82,bus
81,46,44,148,80,bus
82,45,45,144,119,bus
86,47,43,146,74,bus
106,54,27,165,84,bus
99,48,35,153,74,bus
113,57,26,175,85,bus
80,44,45,145,80,bus
106,54,27,166,85,bus
83,41,46,141,71,bus
85,45,45,146,79,bus
79,43,44,144,78,bus
84,43,45,146,81,bus
85,43,46,144,82,bus
87,41,45,140,72,bus
80,43,45,145,85,bus
80,43,45,146,81,bus
86,42,45,141,85,bus
82,43,44,145,80,bus
82,41,45,138,72,bus
87,39,46,136,69,bus
90,38,40,130,66,bus
82,43,44,143,76,bus
80,44,45,146,80,bus
90,38,43,131,66,bus
88,46,43,148,71,bus
93,45,35,145,72,bus
82,44,46,143,81,bus
81,46,44,149,81,bus
91,40,44,135,68,bus
83,42,45,142,74,bus
94,45,41,144,69,bus
96,43,34,141,75,bus
91,46,42,147,72,bus
83,44,45,143,74,bus
101,54,28,164,81,bus
102,54,29,165,79,bus
82,45,46,143,80,bus
87,43,46,143,85,bus
106,53,28,164,82,bus
98,51,35,161,72,bus
85,43,44,145,84,bus
100,51,32,159,74,bus
85,43,45,146,83,bus
100,47,40,153,68,bus
83,46,45,146,75,bus
92,37,40,128,69,bus
97,49,36,157,72,bus
81,42,46,145,86,bus
85,43,46,145,87,bus
91,45,44,144,69,bus
87,42,45,142,78,bus
94,44,42,144,67,bus
105,50,30,159,83,bus
95,43,36,139,68,bus
91,42,38,138,69,bus
95,43,45,141,67,bus
85,43,45,143,86,bus
98,49,34,154,74,bus
88,40,41,134,73,bus
86,43,46,144,85,bus
88,43,44,143,76,bus
100,50,30,156,77,bus
90,41,44,138,71,bus
81,43,46,146,83,bus
88,44,46,141,71,bus
89,44,45,147,88,bus
96,36,43,127,69,bus
101,53,32,161,78,bus
107,57,26,172,83,bus
80,43,46,147,81,bus
85,44,45,144,127,bus
108,56,28,167,82,bus
99,51,31,159,78,bus
105,51,30,165,81,bus
78,43,46,145,77,bus
100,48,32,150,73,bus
97,47,33,148,74,bus
86,42,45,141,85,bus
97,37,43,129,65,bus
91,42,44,140,67,bus
83,46,44,146,74,bus
92,39,43,131,72,bus
87,41,44,138,73,bus
87,46,44,146,73,bus
84,45,46,142,75,bus
86,45,45,146,71,bus
85,42,45,145,85,bus
82,45,45,144,80,bus
104,49,31,153,78,bus
84,47,43,145,75,bus
81,45,44,146,75,bus
102,53,28,163,85,bus
84,45,46,144,73,bus
88,40,44,137,69,bus
100,41,36,138,72,bus
106,54,27,162,88,bus
85,43,46,145,85,bus
82,44,44,147,82,bus
81,44,44,146,81,bus
111,58,26,174,85,bus
87,43,44,145,76,bus
84,42,44,143,75,bus
86,45,44,145,71,bus
98,35,41,124,71,bus
98,38,39,136,71,bus
107,55,27,172,83,bus
110,56,27,169,82,bus
96,41,36,134,74,bus
98,40,37,139,72,bus
86,42,45,140,85,bus
96,37,39,128,72,bus
103,52,28,160,82,bus
86,45,45,144,84,bus
84,43,43,143,77,bus
81,43,45,144,80,bus
89,44,47,143,66,bus
94,43,43,142,68,bus
83,44,46,143,69,bus
95,47,38,152,69,bus
98,46,34,147,73,bus
100,36,40,127,72,bus
86,43,46,144,87,bus
96,49,31,152,77,bus
85,43,46,147,87,bus
87,42,42,138,76,bus
83,46,44,147,80,bus
102,45,33,146,79,bus
88,39,44,134,69,bus
92,45,41,143,70,bus
99,38,39,131,71,bus
96,44,41,145,67,bus
86,46,45,147,82,bus
105,51,33,159,75,bus
96,47,38,150,69,bus
108,57,26,170,87,bus
93,47,36,152,70,bus
104,52,31,161,76,bus
107,57,26,169,85,bus
100,50,34,158,74,bus
85,45,45,145,81,bus
85,42,46,141,88,bus
87,44,46,144,87,bus
90,42,45,142,81,bus
81,45,45,147,88,bus
87,39,45,134,70,bus
92,37,42,131,71,bus
89,42,45,143,76,bus
86,46,45,146,77,bus
98,46,39,150,69,bus
82,43,45,143,78,bus
91,42,38,137,68,bus
89,40,44,136,72,bus
86,44,45,145,82,bus
81,47,44,147,75,bus
93,37,43,131,68,bus
110,58,26,171,83,bus
99,47,32,148,79,bus
110,56,26,169,85,bus
96,46,39,149,70,bus
89,40,45,135,72,bus
93,35,44,124,62,opel
95,57,31,175,74,opel
77,38,52,130,79,opel
98,48,31,152,71,opel
102,51,31,162,66,opel
97,37,41,131,62,opel
93,35,45,125,67,opel
86,41,50,136,74,opel
86,37,43,127,71,opel
101,56,31,175,74,opel
95,48,32,151,74,opel
100,55,30,177,71,opel
103,57,30,173,73,opel
104,54,31,170,74,opel
80,37,54,125,81,opel
89,50,37,156,71,opel
91,49,37,156,67,opel
90,39,41,131,74,opel
103,41,38,142,65,opel
101,55,30,177,71,opel
88,40,51,134,64,opel
101,49,33,156,69,opel
88,34,48,122,62,opel
104,55,30,177,75,opel
91,38,40,134,71,opel
79,39,48,135,77,opel
82,39,45,134,71,opel
91,35,45,131,64,opel
88,36,48,123,66,opel
96,55,31,175,76,opel
100,51,32,164,69,opel
95,51,35,161,68,opel
104,58,30,176,71,opel
89,36,48,126,72,opel
88,38,41,129,67,opel
96,54,31,175,75,opel
100,51,30,163,73,opel
80,38,51,126,76,opel
83,39,49,131,69,opel
88,44,44,145,64,opel
87,45,42,144,70,opel
92,42,48,138,64,opel
89,42,46,139,71,opel
101,55,30,178,74,opel
88,40,38,138,66,opel
98,58,30,182,71,opel
94,38,39,130,69,opel
73,37,55,128,82,opel
95,49,37,154,64,opel
94,37,41,133,63,opel
107,56,30,179,72,opel
88,39,40,133,74,opel
91,52,34,161,69,opel
89,40,50,137,61,opel
97,55,31,172,75,opel
100,44,35,147,66,opel
89,41,46,137,76,opel
101,48,32,154,70,opel
86,36,52,127,76,opel
109,51,34,161,64,opel
82,38,51,128,87,opel
96,48,39,152,67,opel
87,45,44,145,75,opel
91,46,34,146,73,opel
90,40,37,132,71,opel
106,53,30,167,71,opel
87,44,35,141,71,opel
107,52,31,162,66,opel
104,56,30,172,73,opel
89,47,41,149,72,opel
89,38,46,127,69,opel
96,47,33,147,73,opel
106,53,31,166,71,opel
97,59,30,186,70,opel
97,37,41,131,72,opel
92,43,44,143,63,opel
76,38,51,127,87,opel
102,54,31,174,72,opel
102,52,33,157,65,opel
97,47,39,150,70,opel
102,43,36,142,65,opel
93,34,51,120,62,opel
111,54,30,172,69,opel
99,54,33,166,70,opel
100,57,30,180,72,opel
107,45,35,148,64,opel
108,51,31,160,67,opel
103,54,30,174,70,opel
108,55,30,171,69,opel
81,38,51,128,83,opel
100,52,30,165,73,opel
85,39,45,134,73,opel
104,57,30,176,73,opel
97,46,34,147,70,opel
102,54,31,173,76,opel
95,46,33,148,69,opel
106,55,30,173,72,opel
109,49,32,156,65,opel
99,57,30,176,70,opel
104,55,30,174,67,opel
84,38,50,130,75,opel
93,35,46,128,64,opel
94,39,38,135,63,opel
99,57,30,188,72,opel
85,38,55,130,64,opel
84,39,37,131,71,opel
102,54,30,171,71,opel
103,54,31,170,72,opel
101,53,31,172,68,opel
93,42,36,141,70,opel
103,55,31,175,73,opel
105,46,34,150,65,opel
88,35,59,122,74,opel
98,45,42,148,69,opel
92,52,35,161,72,opel
91,41,36,137,66,opel
103,49,32,159,66,opel
93,43,44,141,68,opel
102,52,31,164,71,opel
97,46,35,151,66,opel
93,47,40,147,73,opel
91,45,44,146,66,opel
98,55,31,168,72,opel
89,36,50,126,66,opel
106,52,33,161,67,opel
86,44,44,141,72,opel
105,52,31,167,66,opel
105,56,31,173,72,opel
103,54,30,174,67,opel
85,36,54,125,70,opel
101,56,32,169,74,opel
80,39,49,131,80,opel
99,52,32,166,73,opel
95,43,35,143,71,opel
84,38,54,132,70,opel
88,44,48,143,68,opel
103,50,34,161,64,opel
93,45,42,146,65,opel
101,53,34,162,68,opel
100,45,32,147,72,opel
100,51,30,162,72,opel
105,55,30,175,74,opel
85,38,51,132,65,opel
87,49,37,153,67,opel
77,38,46,132,80,opel
80,34,59,119,87,opel
89,36,42,125,63,opel
100,58,30,182,72,opel
87,38,40,129,63,opel
101,52,31,163,74,opel
99,55,30,180,71,opel
78,36,55,124,78,opel
80,36,53,124,70,opel
105,54,33,163,68,opel
78,36,57,124,84,opel
85,37,44,126,69,opel
95,42,37,141,67,opel
99,55,30,178,74,opel
106,49,31,161,67,opel
95,45,40,145,65,opel
86,39,43,133,74,opel
107,53,32,163,66,opel
92,39,37,137,67,opel
97,41,37,140,63,opel
106,49,36,158,62,opel
86,40,48,135,72,opel
103,56,31,173,75,opel
104,55,32,169,71,opel
104,57,30,177,72,opel
104,52,33,161,64,opel
101,55,31,177,74,opel
106,55,31,170,68,opel
103,55,31,165,72,opel
79,40,47,135,76,opel
97,48,33,155,64,opel
97,55,31,173,75,opel
94,46,40,148,67,opel
85,40,44,133,87,opel
105,54,30,170,75,opel
104,52,35,161,67,opel
92,38,41,135,63,opel
85,36,45,128,64,opel
103,56,32,173,72,opel
92,46,40,149,61,opel
103,48,33,158,66,opel
98,54,32,172,73,opel
86,38,39,132,67,opel
90,36,42,126,66,opel
97,50,31,156,72,opel
92,46,41,149,67,opel
89,44,40,143,66,opel
