@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Elongatedness numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
93,84,11,156,44,73,van
94,66,9,131,50,66,van
85,75,9,157,44,77,van
97,91,10,151,45,65,van
95,88,11,159,43,71,van
83,53,6,132,53,86,van
96,77,8,140,47,62,van
90,73,11,161,43,76,van
89,66,7,131,51,73,van
98,88,10,158,43,66,van
96,85,10,155,43,67,van
88,60,7,128,52,62,van
91,66,9,134,50,69,van
86,76,8,142,47,71,van
92,70,6,139,49,79,van
91,78,9,147,45,70,van
93,83,10,157,43,75,van
94,68,7,127,52,66,van
94,81,9,145,46,66,van
96,80,9,146,46,64,van
90,78,11,161,43,75,van
94,87,10,157,43,75,van
95,76,11,162,42,74,van
93,82,11,159,43,77,van
91,84,9,149,45,72,van
89,63,6,123,55,76,van
91,70,8,130,51,70,van
94,82,10,159,43,76,van
85,57,6,114,58,64,van
93,85,11,156,44,74,van
93,90,10,153,44,66,van
95,66,8,133,52,78,van
89,85,11,158,43,75,van
96,87,10,154,44,67,van
90,78,11,160,43,76,van
92,66,7,139,50,81,van
89,84,11,159,43,72,van
88,85,11,157,43,76,van
86,75,10,161,43,75,van
88,51,5,119,57,86,van
94,82,10,155,43,74,van
85,47,3,117,57,89,van
98,66,7,130,51,69,van
85,82,11,159,43,76,van
87,64,10,133,50,67,van
88,84,12,155,44,75,van
86,62,6,116,57,64,van
94,87,10,157,43,75,van
86,62,7,122,54,64,van
89,74,9,157,44,79,van
93,82,9,144,46,63,van
95,85,9,153,44,65,van
86,66,7,122,54,63,van
94,85,10,157,44,73,van
93,79,8,144,46,67,van
88,58,6,127,52,63,van
89,77,10,156,44,78,van
93,75,7,140,49,77,van
88,84,11,154,44,73,van
88,76,8,137,48,63,van
89,89,11,151,44,72,van
87,81,9,147,45,72,van
89,68,8,133,50,62,van
87,64,10,133,50,67,van
97,66,8,128,52,66,van
92,66,7,139,50,85,van
98,78,8,142,47,63,van
96,88,9,151,44,70,van
100,90,9,157,43,67,van
87,66,8,140,47,73,van
94,91,12,157,43,69,van
91,77,8,139,48,62,van
85,73,8,143,46,71,van
92,62,8,127,52,62,van
93,78,8,139,48,64,van
90,85,11,161,43,74,van
95,82,9,145,46,64,van
89,85,10,152,44,72,van
82,70,55,139,48,99,van
90,72,8,137,48,65,van
88,80,8,146,45,71,van
96,88,10,155,43,69,van
95,84,10,145,46,64,van
91,66,9,126,53,72,van
89,76,10,156,44,76,van
90,73,11,161,42,77,van
86,58,4,118,57,78,van
96,70,8,137,50,80,van
86,66,4,137,49,74,saab
84,75,6,140,48,71,saab
100,104,9,197,34,73,saab
115,100,10,217,31,72,saab
88,90,8,175,38,68,saab
108,103,10,206,32,72,saab
98,104,9,206,32,72,saab
109,103,11,222,30,71,saab
95,81,7,168,39,67,saab
98,101,9,197,33,68,saab
107,108,12,218,31,67,saab
101,112,11,214,32,65,saab
119,106,12,213,31,66,saab
90,74,8,157,42,61,saab
94,69,7,152,43,67,saab
88,82,8,154,43,69,saab
82,59,7,135,51,82,saab
113,93,11,216,31,72,saab
106,108,12,221,31,73,saab
95,105,10,187,36,64,saab
97,96,9,185,36,66,saab
101,101,10,217,31,72,saab
88,57,6,135,50,83,saab
107,103,11,213,31,72,saab
98,81,9,166,40,62,saab
89,80,6,144,46,74,saab
93,86,9,167,39,63,saab
93,76,7,149,44,69,saab
89,83,8,164,40,72,saab
86,86,9,170,39,68,saab
96,94,9,187,35,67,saab
106,106,9,208,32,68,saab
101,108,12,215,31,71,saab
89,54,5,134,50,79,saab
101,105,10,198,34,66,saab
93,63,7,128,52,63,saab
87,71,8,137,49,75,saab
104,100,9,197,33,70,saab
91,77,7,155,42,65,saab
97,88,9,175,38,63,saab
94,77,8,158,42,67,saab
108,104,11,220,31,72,saab
96,100,8,181,37,68,saab
104,107,11,218,31,71,saab
90,83,7,176,37,70,saab
91,83,7,169,39,67,saab
88,63,5,125,54,74,saab
86,63,5,133,50,70,saab
107,98,11,218,31,71,saab
89,69,6,140,48,66,saab
104,108,11,217,31,72,saab
97,76,9,157,42,63,saab
112,110,11,214,31,71,saab
95,71,9,157,43,63,saab
98,90,9,177,37,65,saab
103,106,10,212,32,73,saab
105,108,11,220,30,72,saab
110,104,10,211,32,67,saab
97,101,9,186,36,67,saab
90,85,6,160,41,66,saab
100,88,10,171,38,59,saab
104,106,10,207,32,73,saab
89,89,8,177,37,70,saab
93,81,7,160,41,70,saab
106,101,11,201,33,65,saab
92,83,6,160,41,71,saab
96,69,7,141,47,61,saab
101,85,11,175,38,62,saab
104,108,11,217,31,67,saab
93,87,8,169,40,72,saab
84,53,4,116,59,76,saab
104,100,10,216,31,74,saab
105,108,12,215,31,68,saab
108,103,11,208,32,71,saab
115,100,12,196,34,62,saab
89,77,7,149,45,71,saab
106,101,12,222,30,70,saab
85,53,6,116,58,70,saab
94,88,7,170,39,66,saab
80,63,7,146,46,83,saab
108,109,11,220,31,70,saab
79,55,5,142,48,81,saab
93,90,8,183,36,70,saab
91,72,8,150,44,63,saab
108,109,11,212,31,71,saab
100,81,9,166,40,63,saab
85,72,5,132,50,68,saab
93,76,8,164,40,67,saab
91,79,9,163,40,62,saab
89,77,9,161,41,66,saab
93,72,6,133,50,63,saab
101,101,9,188,35,67,saab
91,88,9,175,38,69,saab
96,101,9,192,34,73,saab
92,78,8,153,43,60,saab
90,80,9,157,42,60,saab
97,95,9,188,35,72,saab
107,98,11,218,31,72,saab
106,98,10,216,31,74,saab
109,103,11,219,30,71,saab
108,100,10,196,34,65,saab
104,101,10,213,32,74,saab
83,54,4,129,52,81,saab
101,98,10,195,34,67,saab
102,104,10,204,32,68,saab
105,100,10,221,30,73,saab
85,75,7,152,44,76,saab
85,40,3,112,61,86,saab
110,102,11,213,31,73,saab
86,78,7,135,50,66,saab
82,66,7,132,52,72,saab
93,98,9,185,36,70,saab
104,101,11,213,31,74,saab
92,86,7,158,42,68,saab
91,72,7,146,46,77,saab
108,103,10,221,30,73,saab
109,109,12,221,31,72,saab
109,104,12,215,31,67,saab
89,82,8,153,43,70,saab
91,83,8,172,38,72,saab
91,98,9,177,38,66,saab
90,72,8,154,42,61,saab
104,105,10,208,32,72,saab
88,77,8,140,47,64,saab
87,60,6,128,52,71,saab
111,108,11,207,32,64,saab
109,109,10,207,32,70,saab
89,80,7,161,41,68,saab
83,54,4,135,50,85,saab
99,89,8,186,35,68,saab
92,76,7,159,41,69,saab
90,85,7,163,41,71,saab
112,104,11,208,32,67,saab
111,103,11,211,31,68,saab
94,85,9,169,39,61,saab
86,66,6,136,49,74,saab
100,92,10,180,36,64,saab
105,100,10,198,33,67,saab
92,71,7,154,43,70,saab
82,54,7,125,54,78,saab
91,83,8,142,47,63,saab
83,54,6,128,53,82,saab
104,100,10,214,31,74,saab
102,101,12,222,30,71,saab
102,106,11,207,32,71,saab
86,62,7,150,45,82,saab
98,96,10,188,35,68,saab
100,104,10,208,32,70,saab
90,57,6,121,56,68,saab
90,66,6,123,54,65,saab
104,108,11,220,31,71,saab
92,80,8,154,43,69,saab
78,63,6,142,47,77,saab
108,103,10,220,30,73,saab
105,105,11,211,31,71,saab
98,109,11,199,34,61,saab
102,105,10,201,33,64,saab
103,100,10,185,35,62,saab
106,98,10,215,31,73,saab
103,105,11,210,32,73,saab
109,103,11,214,31,70,saab
110,104,12,213,31,68,saab
91,75,6,144,47,69,saab
93,88,7,173,38,66,saab
104,96,10,187,35,65,saab
110,100,9,193,34,65,saab
85,50,4,115,59,83,saab
84,83,7,149,45,74,saab
108,109,12,216,31,72,saab
105,105,11,191,35,64,saab
116,110,12,217,31,67,saab
105,106,10,208,32,69,saab
113,98,9,203,33,64,saab
104,105,11,207,32,64,saab
99,104,10,201,33,73,saab
91,72,7,149,45,72,saab
108,105,11,202,33,68,saab
104,101,11,213,31,72,saab
90,90,10,181,36,69,saab
90,66,7,140,47,61,saab
95,104,9,191,35,68,saab
86,77,7,150,45,66,saab
87,74,6,151,44,70,saab
100,102,10,198,33,72,saab
97,105,12,221,30,70,saab
86,64,5,150,45,80,saab
82,51,4,135,50,86,saab
99,105,11,204,32,68,saab
107,104,11,219,31,71,saab
107,96,12,218,31,71,saab
105,108,12,222,31,71,saab
91,83,8,160,41,72,saab
85,75,7,147,46,75,saab
103,106,10,203,33,70,saab
85,66,6,142,48,77,saab
88,58,5,148,46,86,saab
85,70,7,150,45,82,bus
100,80,6,183,35,73,bus
86,70,6,148,45,82,bus
102,98,6,225,29,79,bus
93,84,7,176,36,70,bus
80,71,7,150,45,81,bus
97,76,7,178,36,72,bus
102,85,6,192,33,76,bus
99,79,6,185,35,74,bus
83,71,7,149,45,74,bus
86,65,7,150,45,85,bus
84,70,8,151,45,81,bus
110,103,5,250,26,85,bus
93,73,7,151,43,68,bus
108,102,6,239,28,82,bus
86,61,8,150,46,85,bus
88,70,19,152,44,76,bus
107,106,8,257,26,83,bus
88,74,6,152,43,71,bus
81,71,7,153,44,81,bus
88,78,6,158,41,73,bus
82,68,5,148,45,80,bus
82,72,7,147,46,81,bus
94,64,7,150,43,68,bus
102,83,5,194,33,79,bus
97,75,6,171,37,74,bus
86,65,8,152,45,85,bus
85,70,52,149,45,127,bus
106,100,4,250,27,88,bus
82,73,7,151,44,80,bus
85,66,6,151,45,86,bus
105,93,7,217,30,81,bus
82,68,6,147,46,80,bus
106,105,5,247,27,84,bus
93,86,7,184,35,72,bus
86,70,7,148,45,84,bus
94,68,6,142,46,65,bus
81,68,7,149,46,83,bus
100,75,5,176,36,72,bus
100,73,6,162,40,72,bus
107,103,7,252,27,83,bus
87,65,6,149,46,87,bus
89,70,6,141,47,66,bus
92,76,6,152,43,72,bus
91,84,6,171,38,69,bus
86,73,6,149,44,71,bus
85,66,7,149,45,85,bus
92,75,6,161,40,69,bus
99,92,5,209,31,78,bus
99,91,5,202,32,79,bus
99,74,6,164,39,71,bus
96,74,5,165,39,72,bus
87,73,7,151,44,73,bus
85,64,7,149,46,85,bus
94,73,7,154,42,67,bus
96,98,6,213,31,77,bus
90,63,7,152,45,81,bus
81,72,6,153,44,81,bus
94,70,8,153,42,67,bus
87,71,6,151,44,73,bus
91,66,7,145,44,67,bus
86,70,8,149,45,77,bus
96,82,5,186,34,75,bus
111,105,6,265,26,85,bus
94,72,6,158,41,70,bus
96,74,6,149,43,69,bus
98,84,7,184,35,72,bus
100,89,6,201,32,74,bus
87,70,7,143,46,69,bus
102,92,6,220,30,80,bus
106,103,4,247,27,85,bus
81,68,7,152,45,81,bus
80,68,8,150,45,85,bus
92,75,6,154,42,71,bus
86,73,6,151,45,82,bus
89,72,7,144,46,69,bus
101,106,7,236,28,81,bus
108,106,5,256,26,87,bus
85,69,7,152,44,84,bus
113,109,6,260,26,85,bus
88,70,8,143,46,68,bus
82,66,52,148,45,119,bus
100,98,6,218,30,77,bus
96,77,6,167,38,69,bus
106,98,4,237,28,82,bus
85,66,7,150,46,87,bus
109,95,4,227,29,82,bus
88,73,7,150,44,69,bus
84,68,6,146,46,75,bus
89,76,7,150,44,72,bus
83,70,7,144,46,71,bus
81,68,22,151,45,88,bus
100,70,7,162,40,68,bus
85,70,7,149,45,81,bus
91,81,5,169,38,68,bus
85,59,7,149,46,83,bus
100,95,7,199,32,73,bus
94,72,6,156,41,69,bus
81,63,8,149,46,86,bus
87,76,7,148,45,72,bus
90,75,7,151,43,66,bus
105,80,6,195,33,75,bus
88,70,7,148,44,69,bus
87,74,6,145,45,70,bus
89,68,7,150,45,88,bus
86,71,7,146,45,72,bus
110,106,6,261,26,83,bus
86,66,7,152,44,81,bus
87,76,5,155,42,76,bus
87,65,8,149,46,85,bus
89,76,7,157,42,74,bus
85,66,6,148,46,85,bus
85,66,7,150,45,83,bus
86,71,6,146,45,71,bus
84,76,7,155,43,77,bus
103,103,7,236,28,82,bus
92,74,7,157,41,70,bus
82,72,7,152,44,82,bus
86,64,6,148,46,87,bus
80,68,8,150,45,80,bus
87,70,6,146,45,69,bus
94,79,5,174,37,71,bus
91,76,7,150,44,69,bus
98,84,7,190,34,74,bus
79,72,8,153,44,78,bus
81,71,7,153,44,80,bus
110,109,5,251,27,82,bus
84,66,6,145,46,73,bus
86,66,8,148,46,86,bus
96,77,5,177,36,74,bus
86,75,6,154,43,74,bus
97,72,5,161,40,70,bus
98,77,6,172,37,72,bus
89,72,7,146,45,72,bus
94,89,5,186,35,71,bus
96,68,7,155,41,67,bus
102,101,4,238,28,85,bus
81,68,7,150,45,80,bus
84,75,6,154,43,75,bus
86,65,6,152,45,85,bus
105,93,4,222,30,83,bus
81,68,8,149,46,83,bus
98,77,7,166,39,69,bus
98,70,6,164,39,71,bus
85,66,22,149,45,75,bus
81,68,6,151,45,86,bus
83,71,6,151,44,80,bus
89,70,7,147,45,76,bus
106,107,6,262,26,86,bus
96,74,5,163,39,70,bus
104,89,4,212,31,78,bus
101,62,6,149,43,65,bus
85,64,8,150,46,82,bus
91,75,7,154,42,72,bus
83,68,6,150,44,74,bus
85,66,6,148,46,88,bus
83,70,5,143,46,69,bus
82,73,7,151,44,76,bus
86,69,6,150,46,87,bus
85,70,8,151,45,79,bus
83,68,8,147,45,74,bus
81,69,6,151,44,75,bus
83,73,6,148,45,75,bus
94,84,6,184,35,73,bus
96,70,6,167,39,69,bus
107,98,7,240,27,80,bus
87,70,7,149,45,78,bus
78,70,8,147,46,77,bus
97,73,6,153,42,66,bus
97,88,7,197,33,74,bus
104,94,5,208,31,76,bus
84,76,7,151,44,75,bus
90,79,6,160,40,66,bus
98,70,5,155,41,71,bus
87,70,7,152,44,76,bus
82,70,7,148,45,72,bus
95,73,7,167,38,69,bus
85,66,6,148,45,84,bus
95,83,6,177,36,68,bus
97,70,7,151,43,65,bus
95,71,6,145,45,67,bus
101,91,6,204,32,78,bus
80,68,8,151,45,80,bus
85,65,8,151,45,81,bus
98,72,5,166,38,70,bus
82,71,7,150,45,78,bus
84,65,8,150,46,82,bus
90,71,7,150,44,71,bus
80,68,7,150,46,81,bus
81,68,6,151,44,75,bus
88,71,7,144,46,71,bus
85,66,5,148,46,87,bus
98,88,6,192,34,73,bus
107,106,6,255,26,85,bus
91,76,7,149,44,68,bus
100,81,6,186,34,74,bus
85,72,9,134,51,65,opel
95,80,7,164,40,65,opel
105,105,10,200,33,68,opel
108,103,11,211,31,67,opel
91,101,9,196,34,73,opel
89,77,8,157,42,63,opel
88,69,5,138,48,62,opel
104,103,12,221,30,72,opel
102,98,10,217,31,72,opel
96,103,10,200,33,73,opel
89,81,8,161,41,72,opel
97,92,10,179,37,63,opel
89,72,7,138,48,72,opel
103,83,9,175,38,65,opel
100,109,11,220,30,73,opel
91,75,6,150,44,66,opel
103,101,12,200,33,66,opel
85,78,7,147,45,64,opel
100,101,10,222,30,71,opel
92,74,9,161,41,63,opel
105,96,9,219,30,74,opel
93,83,7,167,40,73,opel
106,107,8,200,33,67,opel
104,91,11,218,31,74,opel
100,109,11,226,30,72,opel
86,89,9,169,39,67,opel
108,105,11,218,30,69,opel
103,107,12,208,32,66,opel
100,100,8,201,32,72,opel
98,101,9,210,31,72,opel
102,101,10,222,30,71,opel
97,78,8,161,41,62,opel
105,98,11,217,31,72,opel
100,107,11,227,30,72,opel
99,101,10,224,30,74,opel
88,88,8,168,40,74,opel
88,79,7,176,38,66,opel
95,104,9,205,32,74,opel
105,100,9,193,34,65,opel
107,105,11,221,30,72,opel
92,69,7,149,44,63,opel
91,93,9,183,36,66,opel
97,81,8,168,39,70,opel
95,96,10,189,35,71,opel
92,79,8,162,41,67,opel
96,98,10,215,31,76,opel
89,75,6,145,46,71,opel
101,101,13,225,30,71,opel
84,66,6,126,54,70,opel
88,78,6,140,48,66,opel
89,69,7,135,50,66,opel
89,78,7,146,46,69,opel
92,91,8,176,37,67,opel
91,86,8,177,37,67,opel
85,77,8,150,45,73,opel
97,96,10,216,31,75,opel
83,69,5,135,49,69,opel
88,69,7,130,51,64,opel
102,98,10,214,31,71,opel
87,85,8,164,40,63,opel
89,80,6,162,40,66,opel
93,78,8,150,45,67,opel
103,100,11,216,31,75,opel
85,63,7,122,55,64,opel
95,104,10,212,31,74,opel
88,77,7,163,41,67,opel
105,96,10,219,30,75,opel
101,105,10,212,31,74,opel
76,58,5,133,51,87,opel
89,69,6,132,50,61,opel
107,92,10,188,35,64,opel
104,105,10,223,30,75,opel
100,109,9,217,30,72,opel
87,98,10,189,35,71,opel
90,83,8,178,37,71,opel
104,101,10,198,33,64,opel
107,103,11,214,31,66,opel
98,101,11,207,31,71,opel
90,86,7,162,41,74,opel
103,105,11,218,30,73,opel
97,105,11,201,33,64,opel
98,104,10,213,32,73,opel
92,82,8,165,40,61,opel
103,107,11,223,30,70,opel
86,77,7,152,44,72,opel
100,93,8,186,35,66,opel
101,103,10,201,33,69,opel
80,64,8,134,51,76,opel
79,80,7,147,47,76,opel
82,53,5,133,51,87,opel
97,108,10,214,31,72,opel
104,103,11,219,30,73,opel
87,86,9,177,37,67,opel
101,100,10,208,32,74,opel
107,103,11,209,32,66,opel
80,69,7,128,53,70,opel
103,98,9,193,34,64,opel
105,107,11,218,31,66,opel
109,100,10,192,34,64,opel
77,63,5,130,52,79,opel
91,66,7,147,45,64,opel
102,101,10,203,33,65,opel
92,93,9,189,35,72,opel
85,72,7,127,54,70,opel
86,75,6,140,48,72,opel
104,103,11,219,30,71,opel
88,77,6,151,44,64,opel
109,103,11,206,32,65,opel
97,76,8,161,41,72,opel
101,105,10,215,31,74,opel
106,96,12,221,30,72,opel
94,79,8,167,40,67,opel
103,103,11,212,31,72,opel
94,84,9,169,39,69,opel
94,89,9,172,38,63,opel
104,96,9,188,35,67,opel
102,100,10,213,31,76,opel
101,107,10,208,32,70,opel
73,53,6,126,55,82,opel
99,109,11,221,30,70,opel
93,66,7,130,51,62,opel
95,96,9,178,37,67,opel
95,105,9,201,33,69,opel
101,100,11,214,31,74,opel
81,53,6,134,51,83,opel
90,78,8,157,42,66,opel
102,96,10,185,36,65,opel
97,94,10,195,34,70,opel
95,92,10,178,37,64,opel
80,57,6,125,54,81,opel
106,98,11,220,30,71,opel
78,51,4,120,57,84,opel
91,76,8,167,40,71,opel
100,104,10,206,32,69,opel
87,82,8,156,42,70,opel
97,108,11,224,30,70,opel
94,74,7,162,41,63,opel
85,80,8,153,44,69,opel
93,78,7,151,44,68,opel
97,103,11,215,31,75,opel
79,72,9,142,48,77,opel
87,77,7,154,44,75,opel
80,42,3,114,59,87,opel
86,66,7,135,50,74,opel
102,108,10,212,31,66,opel
104,96,11,220,30,73,opel
103,91,11,220,31,72,opel
86,77,7,154,43,71,opel
88,71,8,142,48,68,opel
86,66,8,131,52,76,opel
103,107,12,222,30,67,opel
101,108,12,216,31,68,opel
93,73,7,159,42,65,opel
106,98,11,215,31,68,opel
85,66,4,152,44,87,opel
95,96,9,190,35,68,opel
89,75,7,146,46,76,opel
80,60,6,139,49,80,opel
106,98,11,217,31,71,opel
99,100,13,224,30,72,opel
98,76,7,157,42,69,opel
77,75,6,147,46,80,opel
106,107,11,214,31,67,opel
84,90,7,177,37,71,opel
96,104,10,215,31,75,opel
101,103,9,195,34,68,opel
92,69,8,140,48,64,opel
78,60,6,123,55,78,opel
99,101,13,222,30,71,opel
104,109,12,218,30,67,opel
84,60,5,132,50,75,opel
89,83,6,178,37,71,opel
99,104,10,210,32,73,opel
93,72,7,149,44,62,opel
96,83,8,171,39,67,opel
97,101,8,192,35,66,opel
103,105,10,210,32,72,opel
103,100,11,212,31,73,opel
104,105,11,205,32,71,opel
86,84,8,156,43,74,opel
88,50,5,114,59,74,opel
101,107,11,225,30,74,opel
93,88,10,183,36,70,opel
93,66,6,142,46,64,opel
98,101,12,226,30,71,opel
82,86,7,153,45,71,opel
111,103,11,221,30,69,opel
99,100,9,200,33,70,opel
100,109,10,222,30,73,opel
91,98,9,193,34,69,opel
106,96,10,181,36,62,opel
