@relation vehicle

@attribute Compactness numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
83,18,127,146,184,saab
89,21,133,202,196,saab
78,19,130,162,185,saab
100,21,143,200,205,saab
89,19,146,163,201,saab
107,24,170,221,198,saab
91,21,134,197,194,saab
98,21,144,189,208,saab
115,24,165,229,197,saab
97,20,149,180,206,saab
104,22,156,207,206,saab
93,20,134,186,204,saab
89,20,151,190,201,saab
93,20,134,191,197,saab
108,25,174,229,201,saab
109,24,162,220,199,saab
90,18,124,165,207,saab
99,23,152,221,197,saab
97,21,140,192,205,saab
85,19,137,164,186,saab
106,24,169,224,197,saab
102,24,164,228,200,saab
86,19,133,165,185,saab
98,20,138,184,205,saab
102,23,152,214,204,saab
88,19,149,180,193,saab
95,20,134,178,208,saab
100,23,147,222,197,saab
89,20,131,186,197,saab
105,25,168,226,203,saab
91,19,126,177,201,saab
116,24,165,231,206,saab
90,19,128,177,204,saab
108,25,174,232,197,saab
104,24,162,220,197,saab
93,19,143,172,194,saab
110,24,162,226,199,saab
95,22,160,220,196,saab
107,25,167,229,199,saab
92,20,148,185,191,saab
82,18,126,150,182,saab
108,23,164,216,200,saab
98,23,167,223,196,saab
88,18,142,165,205,saab
87,18,127,158,186,saab
94,20,148,181,199,saab
106,24,158,224,202,saab
98,21,155,195,201,saab
101,23,150,213,205,saab
96,21,139,197,200,saab
115,23,162,207,208,saab
104,24,173,225,195,saab
80,19,130,168,185,saab
90,20,131,189,192,saab
117,24,163,228,205,saab
97,25,167,226,200,saab
98,23,152,216,197,saab
89,19,129,174,193,saab
91,20,133,189,191,saab
98,20,136,197,199,saab
89,17,125,139,184,saab
105,24,168,226,201,saab
109,24,167,229,201,saab
105,24,168,224,197,saab
85,18,135,159,195,saab
86,18,135,152,191,saab
95,20,152,196,198,saab
92,19,128,169,211,saab
86,21,134,191,199,saab
90,21,154,205,195,saab
104,24,163,232,201,saab
100,21,155,186,210,saab
113,24,165,221,199,saab
110,24,164,223,203,saab
87,19,136,174,196,saab
101,22,161,219,201,saab
91,19,132,170,189,saab
96,22,158,214,201,saab
103,24,168,220,197,saab
107,25,168,228,203,saab
104,24,173,232,199,saab
96,22,143,218,197,saab
84,19,143,175,187,saab
96,21,134,205,202,saab
97,24,171,222,196,saab
94,21,131,188,204,saab
88,21,152,200,199,saab
92,20,147,184,195,saab
112,24,159,223,202,saab
90,19,144,174,209,saab
102,23,162,220,197,saab
106,23,158,214,204,saab
108,24,162,228,197,saab
112,24,159,232,202,saab
86,18,124,155,195,saab
91,19,140,168,191,saab
91,19,131,165,191,saab
89,18,131,164,204,saab
87,19,136,164,185,saab
88,19,131,163,183,saab
93,22,138,206,197,saab
100,20,154,189,207,saab
108,25,167,226,199,saab
92,20,131,181,196,saab
84,18,125,166,195,saab
90,21,158,211,199,saab
109,24,169,226,202,saab
100,24,163,220,198,saab
92,19,133,181,195,saab
90,20,132,172,209,saab
108,23,159,214,205,saab
106,25,168,229,205,saab
89,19,129,179,192,saab
98,23,154,207,208,saab
90,20,125,187,203,saab
104,24,166,218,198,saab
98,22,157,207,199,saab
96,20,134,183,197,saab
105,25,170,232,199,saab
107,23,163,216,205,saab
101,24,162,223,206,saab
99,23,165,221,201,saab
107,24,169,221,197,saab
86,19,138,165,185,saab
109,23,150,219,198,saab
105,24,166,217,199,saab
109,25,169,226,201,saab
103,23,149,217,199,saab
93,18,134,149,204,saab
101,24,171,232,197,saab
110,22,149,209,203,saab
106,24,171,235,197,saab
104,24,173,224,194,saab
94,19,143,175,198,saab
83,18,127,152,183,saab
82,18,128,151,185,saab
107,25,172,226,196,saab
91,20,132,190,199,saab
97,22,144,202,199,saab
104,24,157,217,207,saab
91,19,135,169,200,bus
96,22,141,215,196,bus
109,26,170,267,184,bus
81,19,149,172,186,bus
89,19,136,175,195,bus
82,19,147,174,185,bus
94,21,154,196,199,bus
107,28,169,280,183,bus
85,19,144,168,184,bus
85,19,145,177,185,bus
86,19,147,170,184,bus
80,19,145,171,183,bus
105,24,165,240,188,bus
81,19,147,170,183,bus
108,26,167,264,185,bus
86,19,145,170,182,bus
84,19,146,173,184,bus
84,19,142,168,187,bus
82,19,143,178,189,bus
89,18,143,164,199,bus
85,19,145,170,183,bus
94,19,133,175,200,bus
81,19,145,166,182,bus
94,19,127,171,206,bus
79,19,144,175,188,bus
96,24,152,228,189,bus
107,28,172,275,184,bus
84,19,143,179,193,bus
106,26,164,263,184,bus
84,19,144,168,188,bus
106,27,165,269,182,bus
86,19,144,170,183,bus
88,19,143,180,189,bus
80,19,147,171,187,bus
85,19,144,241,183,bus
89,19,147,171,182,bus
95,19,126,184,204,bus
102,26,163,267,184,bus
88,20,134,185,197,bus
104,24,153,238,189,bus
80,19,145,170,185,bus
87,19,141,167,201,bus
97,21,157,194,200,bus
86,19,146,176,194,bus
96,20,148,183,203,bus
99,21,139,202,199,bus
97,19,143,176,204,bus
87,19,138,175,194,bus
94,22,145,208,197,bus
83,19,144,174,188,bus
83,19,147,174,186,bus
94,19,133,184,204,bus
96,20,128,188,200,bus
89,19,147,166,198,bus
84,19,148,169,183,bus
101,26,164,256,185,bus
80,19,146,170,185,bus
90,19,131,168,204,bus
87,19,143,169,182,bus
94,18,142,164,203,bus
110,28,171,278,182,bus
86,19,141,175,183,bus
87,19,146,175,190,bus
102,22,146,217,193,bus
100,21,138,204,197,bus
81,19,148,177,187,bus
109,26,165,265,183,bus
106,28,171,285,184,bus
98,22,154,208,195,bus
108,28,170,285,181,bus
85,19,143,173,183,bus
89,19,135,175,196,bus
90,19,138,175,197,bus
81,19,144,175,185,bus
96,20,149,185,200,bus
100,21,156,206,199,bus
107,28,172,269,186,bus
81,19,146,169,184,bus
86,19,144,174,182,bus
99,23,148,234,191,bus
94,22,145,204,198,bus
96,20,150,188,203,bus
80,19,146,170,184,bus
85,19,144,166,182,bus
85,19,146,167,182,bus
100,23,150,216,194,bus
79,19,149,175,189,bus
99,23,158,222,190,bus
99,24,159,232,189,bus
96,21,134,205,198,bus
82,19,144,169,184,bus
97,20,144,178,203,bus
86,19,145,166,182,bus
85,19,145,166,182,bus
82,19,143,171,186,bus
94,19,144,181,198,bus
99,20,131,193,202,bus
86,19,145,170,183,bus
82,19,143,173,185,bus
91,19,147,178,199,bus
98,21,161,199,199,bus
85,19,143,169,182,bus
84,19,143,180,190,bus
93,22,145,203,197,bus
87,19,138,184,193,bus
100,22,158,206,198,bus
106,27,162,280,182,bus
83,18,143,166,193,bus
84,19,145,175,192,bus
94,19,144,171,206,bus
98,20,136,189,203,bus
82,19,147,166,182,bus
91,20,137,184,204,bus
107,26,168,258,184,bus
85,19,145,169,184,bus
102,25,165,246,187,bus
87,19,145,177,187,bus
103,26,160,254,184,bus
98,22,161,212,195,bus
110,27,169,272,183,bus
82,19,144,181,187,bus
85,19,145,168,181,bus
86,19,143,170,182,bus
87,18,136,164,199,bus
92,19,131,184,202,bus
81,19,146,180,186,bus
85,19,146,171,186,bus
83,19,146,172,191,bus
95,19,141,169,200,bus
80,19,147,169,184,bus
87,19,141,169,182,bus
105,22,159,214,194,bus
106,27,166,266,183,bus
96,19,127,178,205,bus
89,19,136,174,197,bus
85,19,145,173,182,bus
86,19,150,168,183,bus
98,21,139,197,201,bus
107,26,171,243,187,bus
86,19,144,169,182,bus
91,19,140,169,207,bus
83,19,142,172,190,bus
88,19,134,167,201,bus
100,23,159,219,193,bus
93,21,158,189,202,bus
81,19,146,173,189,bus
98,19,124,184,205,bus
82,19,138,172,195,bus
81,19,147,171,188,bus
98,22,147,215,197,bus
100,20,153,179,205,bus
92,19,143,179,201,bus
95,21,139,189,198,bus
88,19,137,174,200,bus
81,19,147,186,185,bus
97,20,129,199,199,bus
100,24,156,232,189,bus
97,23,148,214,191,bus
114,28,169,287,184,bus
89,19,143,176,189,bus
86,19,142,177,185,bus
90,20,130,178,205,bus
86,19,145,170,196,bus
88,19,141,167,193,bus
100,20,127,189,204,bus
98,20,131,189,202,bus
86,19,146,170,188,bus
86,19,144,167,196,bus
81,19,145,172,184,bus
85,19,145,170,184,bus
86,19,142,179,192,bus
101,23,161,231,192,bus
85,19,147,169,182,bus
85,19,145,178,184,bus
87,19,134,173,200,bus
82,19,143,169,184,bus
101,28,168,275,184,bus
83,19,143,170,191,bus
110,27,169,280,183,bus
90,19,142,173,184,bus
85,19,146,172,183,bus
91,20,138,189,201,bus
86,19,141,169,183,bus
93,19,131,175,205,bus
97,19,129,167,208,bus
101,19,139,169,209,bus
93,21,152,190,201,bus
88,18,143,163,203,bus
88,19,148,180,195,bus
85,19,141,172,182,bus
102,25,162,247,186,bus
78,19,145,169,186,bus
105,25,159,254,184,bus
113,28,175,288,183,bus
96,19,145,179,206,bus
104,24,161,227,191,bus
92,18,138,165,206,opel
103,24,165,229,196,opel
84,21,131,209,198,opel
77,19,132,167,187,opel
93,20,146,182,201,opel
102,24,162,219,201,opel
103,21,142,199,206,opel
97,20,131,182,211,opel
92,22,161,214,195,opel
105,24,167,221,203,opel
93,19,141,182,197,opel
88,18,134,147,200,opel
109,22,161,210,202,opel
103,25,170,220,198,opel
91,22,161,216,199,opel
86,18,135,158,190,opel
93,20,147,197,192,opel
89,19,127,166,194,opel
109,23,156,212,201,opel
87,19,145,181,189,opel
100,25,165,241,199,opel
98,25,178,231,195,opel
106,24,170,222,201,opel
96,24,175,226,193,opel
104,25,166,235,198,opel
98,25,178,231,198,opel
98,20,148,184,196,opel
93,19,124,169,210,opel
100,23,147,231,195,opel
99,22,159,209,201,opel
95,21,141,199,200,opel
96,23,163,217,201,opel
95,22,143,217,197,opel
88,20,133,199,192,opel
107,25,179,234,196,opel
89,19,125,174,205,opel
107,24,163,222,201,opel
91,19,146,170,198,opel
86,20,133,185,190,opel
82,19,134,174,189,opel
89,19,144,170,193,opel
97,23,155,212,202,opel
92,19,143,170,203,opel
103,24,173,226,195,opel
78,17,124,141,185,opel
96,23,166,227,194,opel
103,24,173,217,196,opel
101,24,175,219,192,opel
92,20,149,183,198,opel
104,25,177,237,196,opel
101,25,178,231,197,opel
103,25,174,221,200,opel
79,19,135,172,193,opel
104,25,176,228,196,opel
97,20,131,189,192,opel
100,22,156,202,205,opel
88,18,123,161,202,opel
99,25,180,225,196,opel
103,24,175,217,194,opel
99,25,176,234,200,opel
89,21,156,207,194,opel
83,18,131,155,190,opel
104,25,172,223,195,opel
96,23,147,220,194,opel
98,25,182,225,196,opel
100,22,147,202,198,opel
94,21,135,191,209,opel
88,19,143,159,197,opel
100,23,164,217,196,opel
102,25,171,219,196,opel
91,21,137,202,200,opel
105,25,170,231,195,opel
97,25,186,225,198,opel
87,22,141,214,194,opel
101,22,162,210,198,opel
105,24,173,225,199,opel
97,21,140,197,204,opel
85,18,132,145,198,opel
90,21,132,199,193,opel
99,25,188,223,198,opel
97,24,172,219,194,opel
105,23,163,214,198,opel
99,23,152,212,205,opel
91,21,156,203,198,opel
99,25,178,228,196,opel
101,25,178,228,201,opel
104,25,176,231,196,opel
98,23,152,227,196,opel
107,22,148,202,203,opel
104,25,177,223,195,opel
90,20,131,194,191,opel
101,25,177,225,198,opel
89,19,139,170,198,opel
90,18,138,161,197,opel
104,24,174,230,202,opel
86,19,127,179,191,opel
89,20,149,187,193,opel
101,24,154,232,202,opel
87,19,144,181,196,opel
79,19,135,165,189,opel
91,23,146,219,194,opel
97,21,155,200,203,opel
95,23,148,223,202,opel
80,18,131,151,186,opel
89,18,126,154,203,opel
89,18,137,155,209,opel
100,25,182,234,198,opel
101,24,177,221,195,opel
92,20,135,181,206,opel
102,23,157,214,203,opel
80,18,126,152,188,opel
108,24,171,228,197,opel
105,25,175,231,194,opel
98,24,172,223,195,opel
82,19,133,173,187,opel
85,19,128,168,203,opel
107,23,164,219,206,opel
108,24,160,222,200,opel
86,18,136,154,187,opel
82,18,128,152,183,opel
100,24,162,238,199,opel
88,19,145,175,208,opel
97,24,156,232,197,opel
111,25,172,227,198,opel
101,23,156,215,196,opel
94,20,148,190,198,opel
93,21,141,208,197,opel
103,23,153,226,196,opel
103,23,158,215,202,opel
94,20,133,178,204,opel
88,18,122,158,210,opel
101,24,169,227,193,opel
102,24,164,228,196,opel
100,25,163,238,198,opel
102,25,171,224,198,opel
97,24,173,219,193,opel
101,24,162,222,195,opel
95,22,161,208,198,opel
102,24,173,219,195,opel
88,21,138,200,199,opel
92,20,149,181,208,opel
101,24,163,226,194,opel
88,20,129,184,198,opel
104,23,169,221,196,opel
106,23,161,218,201,opel
84,18,130,148,188,opel
103,22,161,214,204,opel
86,18,127,148,187,opel
84,18,127,160,191,opel
106,24,166,228,198,opel
96,21,152,195,201,opel
84,18,132,144,190,opel
76,18,127,152,184,opel
85,17,130,137,201,opel
104,23,161,207,204,opel
103,25,174,225,201,opel
106,25,167,228,197,opel
77,18,130,145,187,opel
105,22,150,207,202,opel
86,20,132,190,202,opel
80,18,125,142,184,opel
99,23,166,222,198,opel
86,19,141,174,192,opel
97,22,147,224,197,opel
103,24,159,214,200,opel
84,19,134,167,186,opel
93,19,125,172,198,opel
104,22,161,206,200,opel
101,24,172,220,201,opel
99,24,166,219,194,opel
85,19,134,176,193,opel
93,18,128,162,202,opel
92,19,142,174,211,opel
89,18,126,163,192,opel
100,25,180,234,198,opel
78,17,124,135,184,opel
85,19,133,170,183,opel
87,20,129,186,205,opel
89,19,137,170,188,opel
107,24,162,217,198,opel
90,19,126,182,198,opel
100,25,177,225,197,opel
88,17,122,132,187,opel
89,20,143,189,199,opel
87,21,153,197,199,opel
95,23,151,227,193,opel
95,24,175,224,193,opel
109,23,158,222,206,opel
98,24,168,236,197,opel
106,21,158,197,209,opel
97,22,151,208,200,opel
