@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
86,71,66,7,19,322,bus
80,68,53,7,19,327,bus
100,95,68,7,23,605,bus
90,63,55,7,19,336,bus
85,70,56,7,19,328,bus
87,73,64,7,19,341,bus
87,60,51,6,19,324,bus
91,81,69,5,20,434,bus
95,83,69,6,21,484,bus
85,66,54,6,19,317,bus
86,69,54,6,19,325,bus
106,100,67,4,27,923,bus
83,66,67,7,19,333,bus
92,74,74,7,19,375,bus
81,68,57,8,19,323,bus
107,106,51,8,28,954,bus
96,70,70,6,20,427,bus
87,74,66,6,19,318,bus
89,70,64,6,18,299,bus
86,71,70,6,19,321,bus
106,103,47,4,27,892,bus
87,71,66,6,19,343,bus
82,72,61,7,19,317,bus
99,79,68,6,22,524,bus
98,86,69,5,22,570,bus
87,70,72,7,19,341,bus
107,102,55,7,26,822,bus
81,69,64,6,19,340,bus
113,109,56,6,28,982,bus
86,70,64,6,19,322,bus
81,68,53,6,19,333,bus
103,103,52,7,26,816,bus
85,59,58,7,19,320,bus
91,66,66,7,19,325,bus
85,70,58,8,19,334,bus
85,66,54,5,19,320,bus
91,76,67,7,19,332,bus
90,75,64,7,19,345,bus
93,86,69,7,22,523,bus
100,75,71,5,21,479,bus
80,68,59,8,19,329,bus
88,74,68,6,19,349,bus
99,92,65,5,24,671,bus
81,72,60,6,19,347,bus
81,71,61,7,19,347,bus
87,70,61,7,18,307,bus
106,107,67,6,28,987,bus
85,66,65,22,19,330,bus
96,77,72,6,20,429,bus
94,89,71,5,22,533,bus
98,84,72,7,21,520,bus
84,70,54,8,19,332,bus
110,106,51,6,28,998,bus
94,79,71,5,21,465,bus
83,68,59,6,19,336,bus
109,95,58,4,25,776,bus
83,70,69,5,18,306,bus
102,83,65,5,22,576,bus
89,76,73,7,19,373,bus
85,66,57,6,19,333,bus
85,66,53,7,19,321,bus
84,66,65,6,19,312,bus
87,70,59,7,19,327,bus
101,104,53,6,28,956,bus
84,75,64,6,19,354,bus
82,68,64,6,19,320,bus
91,75,75,7,19,362,bus
89,76,76,7,19,342,bus
114,102,52,6,28,968,bus
86,70,65,8,19,331,bus
111,105,51,6,29,1018,bus
89,72,63,7,19,321,bus
96,74,74,5,20,419,bus
93,84,71,7,21,476,bus
96,98,59,6,24,680,bus
86,64,54,6,19,319,bus
94,72,72,6,19,385,bus
95,71,64,6,19,322,bus
85,66,55,7,19,326,bus
87,65,56,6,19,321,bus
85,65,56,8,19,332,bus
89,75,66,5,19,352,bus
98,72,69,5,20,427,bus
83,71,70,6,19,338,bus
81,71,56,7,19,342,bus
105,93,51,7,24,703,bus
85,66,58,6,19,323,bus
86,73,57,6,19,334,bus
81,63,55,8,19,320,bus
82,66,126,52,19,326,bus
89,68,50,7,19,328,bus
100,73,73,6,20,401,bus
94,75,72,8,19,365,bus
107,106,50,6,28,957,bus
101,62,67,6,19,341,bus
108,106,51,5,28,966,bus
92,75,71,6,20,393,bus
82,72,52,7,19,340,bus
110,103,64,5,27,928,bus
86,75,68,6,19,356,bus
80,68,54,8,19,329,bus
89,70,62,7,19,323,bus
92,76,71,6,19,350,bus
96,68,70,7,19,372,bus
100,89,65,6,23,622,bus
98,88,63,6,22,563,bus
86,61,53,8,19,326,bus
82,63,54,7,19,329,bus
82,68,69,5,19,322,bus
83,71,64,7,19,331,bus
94,73,71,7,19,362,bus
85,66,56,6,19,319,bus
83,68,61,8,19,325,bus
101,91,65,6,23,636,bus
82,71,68,7,19,330,bus
104,94,66,5,24,666,bus
86,70,56,7,19,324,bus
85,64,55,7,19,323,bus
84,76,64,7,19,339,bus
100,70,70,7,20,406,bus
88,70,74,19,19,342,bus
81,68,62,7,19,323,bus
88,73,68,7,19,341,bus
88,71,70,7,19,312,bus
105,80,71,6,22,579,bus
102,101,72,4,26,844,bus
86,65,54,7,19,327,bus
82,73,68,7,19,337,bus
93,79,65,7,21,463,bus
102,98,61,6,25,766,bus
107,103,49,7,28,904,bus
99,74,66,6,20,414,bus
91,84,75,6,20,446,bus
97,76,73,7,21,487,bus
106,105,48,5,27,891,bus
104,89,54,4,24,682,bus
87,76,67,7,19,327,bus
86,65,53,6,19,335,bus
94,64,69,7,19,344,bus
96,74,74,5,20,408,bus
94,72,69,6,19,373,bus
83,73,59,6,19,327,bus
85,70,103,52,19,325,bus
94,68,67,6,18,310,bus
79,74,61,7,19,349,bus
98,84,74,7,22,558,bus
97,75,68,6,20,450,bus
79,72,62,8,19,344,bus
86,65,50,8,19,332,bus
86,73,63,6,19,335,bus
78,70,65,8,19,319,bus
98,70,68,5,19,371,bus
99,77,69,6,21,485,bus
96,74,70,6,19,341,bus
86,65,56,6,19,331,bus
109,102,51,6,26,870,bus
84,65,55,8,19,325,bus
88,70,61,8,18,311,bus
101,108,54,12,24,685,opel
91,76,61,8,20,415,opel
84,74,57,8,18,282,opel
85,66,52,4,19,340,opel
97,78,62,8,20,389,opel
103,107,56,11,25,729,opel
98,101,69,11,25,748,opel
84,66,62,6,18,232,opel
102,108,57,10,24,663,opel
93,72,62,7,19,334,opel
109,107,62,10,23,624,opel
94,74,59,7,20,394,opel
93,78,60,8,19,331,opel
90,78,55,7,18,284,opel
82,73,57,8,19,342,opel
88,69,59,7,18,252,opel
101,103,67,10,23,601,opel
89,80,66,6,20,396,opel
97,92,63,10,21,481,opel
95,80,62,7,20,406,opel
100,109,70,11,25,752,opel
103,91,57,11,25,707,opel
104,109,67,12,24,706,opel
97,108,65,10,24,683,opel
88,69,57,5,18,284,opel
88,71,56,8,19,296,opel
105,105,67,10,23,597,opel
100,100,65,8,23,611,opel
93,78,59,7,19,342,opel
79,72,53,9,19,295,opel
87,77,59,7,19,350,opel
89,81,57,8,20,388,opel
84,71,55,7,19,330,opel
111,103,50,11,25,727,opel
85,72,56,7,18,233,opel
105,96,57,10,25,706,opel
101,105,53,10,24,669,opel
99,105,64,11,23,575,opel
103,107,54,12,24,644,opel
89,72,56,7,18,286,opel
103,100,59,11,24,684,opel
103,101,62,12,23,595,opel
89,83,65,6,21,481,opel
81,53,58,6,18,259,opel
102,101,64,10,23,616,opel
101,101,57,13,25,741,opel
103,98,63,9,22,567,opel
94,84,55,9,20,430,opel
100,107,63,11,25,756,opel
108,103,60,11,24,661,opel
89,78,61,7,19,314,opel
89,82,54,6,19,332,opel
96,83,59,8,21,438,opel
80,57,55,6,18,229,opel
85,77,59,8,19,331,opel
99,101,68,10,25,737,opel
92,91,62,8,21,466,opel
93,88,62,10,21,504,opel
86,66,57,8,18,252,opel
104,103,69,11,25,708,opel
85,63,55,7,17,219,opel
91,66,59,7,19,322,opel
97,96,54,10,24,685,opel
91,93,65,9,21,504,opel
96,103,65,9,23,624,opel
104,103,69,11,25,716,opel
86,75,62,6,18,290,opel
97,94,63,9,21,494,opel
101,103,63,9,22,571,opel
92,69,58,8,18,290,opel
103,105,69,11,24,706,opel
99,101,62,13,25,722,opel
96,104,67,9,23,589,opel
97,76,60,8,20,391,opel
107,103,66,11,24,653,opel
103,103,65,11,24,673,opel
90,86,62,7,20,388,opel
78,60,56,6,17,221,opel
97,81,64,8,20,426,opel
80,42,57,3,17,191,opel
73,53,54,6,18,227,opel
99,100,62,9,23,600,opel
104,96,59,9,22,530,opel
100,109,68,10,25,731,opel
107,101,64,11,23,610,opel
95,96,65,9,21,474,opel
92,79,64,8,20,396,opel
91,101,65,9,23,574,opel
96,104,58,10,24,682,opel
92,82,58,8,20,409,opel
85,80,59,8,19,348,opel
107,92,62,10,22,526,opel
104,91,67,11,24,697,opel
101,105,59,10,24,678,opel
89,77,62,8,19,367,opel
78,51,56,4,17,209,opel
103,100,62,11,24,666,opel
99,104,55,10,24,657,opel
76,58,58,5,18,259,opel
102,96,63,10,22,513,opel
97,105,64,11,23,602,opel
80,64,59,8,18,259,opel
85,78,55,7,19,321,opel
98,108,53,11,25,737,opel
104,96,74,11,25,713,opel
104,105,68,11,23,623,opel
102,98,56,10,25,706,opel
96,98,54,10,24,683,opel
106,96,60,12,25,717,opel
103,96,71,10,23,633,opel
101,105,68,10,24,653,opel
103,105,59,10,24,648,opel
87,86,64,9,21,471,opel
88,88,69,8,20,416,opel
102,98,71,10,24,682,opel
88,78,62,6,18,287,opel
93,66,59,6,18,304,opel
91,98,62,9,22,562,opel
95,104,67,9,23,628,opel
106,98,63,11,25,710,opel
96,103,69,10,23,598,opel
105,98,64,11,24,696,opel
95,96,63,9,22,543,opel
100,109,70,11,25,722,opel
99,109,66,11,25,725,opel
95,104,74,10,24,670,opel
89,69,58,6,18,260,opel
107,103,57,11,24,676,opel
98,76,60,7,20,371,opel
101,100,62,12,25,757,opel
98,101,70,9,24,661,opel
104,105,70,10,25,737,opel
104,101,62,10,23,587,opel
83,69,54,5,18,274,opel
95,96,65,10,22,534,opel
86,66,55,7,18,266,opel
84,60,56,5,18,261,opel
92,74,62,9,20,388,opel
105,100,61,9,22,557,opel
89,69,57,7,18,266,opel
87,98,70,10,22,535,opel
103,107,64,12,25,728,opel
92,75,60,8,19,322,opel
90,83,61,8,21,472,opel
105,107,60,11,24,701,opel
95,92,62,10,21,478,opel
97,94,67,10,22,573,opel
100,104,52,10,23,631,opel
92,93,67,9,22,536,opel
104,103,72,12,25,718,opel
86,77,54,7,19,352,opel
107,105,61,11,25,725,opel
103,83,63,9,21,455,opel
102,98,53,10,24,692,opel
109,100,59,10,22,553,opel
102,100,53,10,24,669,opel
88,77,59,6,19,343,opel
84,90,60,7,21,469,opel
108,105,68,11,24,709,opel
82,86,54,7,19,338,opel
86,89,59,9,20,428,opel
80,69,56,7,18,240,opel
88,50,58,5,17,192,opel
79,80,55,7,19,311,opel
99,100,54,13,25,726,opel
77,63,59,5,18,247,opel
98,101,65,12,25,748,opel
92,69,56,7,19,333,opel
82,53,59,5,18,259,opel
80,60,56,6,18,281,opel
100,109,67,9,24,704,opel
95,105,68,9,23,602,opel
93,83,60,7,20,417,opel
106,107,57,11,24,670,opel
89,75,56,7,19,317,opel
104,110,53,10,25,711,opel
93,73,59,7,20,379,opel
91,86,63,8,21,473,opel
90,78,64,8,19,367,opel
105,96,56,9,25,713,opel
85,72,53,9,18,261,opel
101,107,61,11,25,730,opel
101,107,68,10,24,641,opel
88,79,62,7,21,462,opel
106,98,68,11,24,679,opel
86,77,60,7,19,345,opel
100,96,63,9,22,519,opel
100,93,62,8,22,521,opel
97,101,66,8,22,546,opel
93,66,56,7,18,251,opel
99,88,64,10,22,517,opel
