@relation vehicle

@attribute Distance_circularity numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Class {van,saab,bus,opel}

@data
100,165,229,saab
100,170,232,saab
109,154,207,saab
83,154,205,saab
81,138,184,saab
77,129,174,saab
109,169,226,saab
66,133,162,saab
83,132,190,saab
106,166,217,saab
108,168,228,saab
108,172,226,saab
77,126,177,saab
96,170,221,saab
105,167,226,saab
100,162,207,saab
103,162,228,saab
106,149,217,saab
54,127,146,saab
58,131,163,saab
94,158,214,saab
110,165,231,saab
81,154,189,saab
96,157,207,saab
101,173,228,saab
72,144,174,saab
54,127,151,saab
103,156,223,saab
105,150,202,saab
51,126,150,saab
57,127,137,saab
105,150,213,saab
108,163,232,saab
88,131,188,saab
103,172,221,saab
78,128,169,saab
83,128,163,saab
104,162,226,saab
86,134,186,saab
101,168,216,saab
98,146,202,saab
106,158,223,saab
66,127,148,saab
105,168,224,saab
64,138,165,saab
106,168,220,saab
98,169,224,saab
74,136,174,saab
100,134,205,saab
76,134,191,saab
105,157,217,saab
54,125,143,saab
101,158,214,saab
102,171,222,saab
89,133,202,saab
98,167,229,saab
88,132,197,saab
80,131,186,saab
105,152,214,saab
71,127,158,saab
101,171,232,saab
83,150,189,saab
55,128,153,saab
74,134,183,saab
100,149,209,saab
106,164,228,saab
72,123,158,saab
103,167,229,saab
77,128,174,saab
109,156,225,saab
101,166,218,saab
78,139,197,saab
66,136,155,saab
101,143,218,saab
108,163,216,saab
88,151,197,saab
108,168,226,saab
54,127,152,saab
104,167,223,saab
85,125,187,saab
78,124,155,saab
104,167,226,saab
66,136,164,saab
100,166,229,saab
77,142,165,saab
69,141,162,saab
76,143,172,saab
109,169,226,saab
72,135,159,saab
108,170,223,saab
108,168,229,saab
102,164,224,saab
76,149,180,saab
98,169,221,saab
96,144,202,saab
63,130,141,saab
92,143,200,saab
103,155,227,saab
103,175,229,saab
53,121,137,saab
83,148,185,saab
72,132,170,saab
80,139,166,saab
98,138,206,saab
96,156,207,saab
57,125,151,saab
104,162,220,saab
100,158,218,saab
96,150,219,saab
105,162,220,saab
100,173,224,saab
105,165,221,saab
69,143,175,saab
110,163,228,saab
90,158,211,saab
103,162,226,saab
103,174,232,saab
62,133,165,saab
107,173,232,saab
98,171,235,saab
40,119,130,saab
63,134,149,saab
72,133,166,saab
75,131,165,saab
104,147,222,saab
86,131,181,saab
77,151,190,saab
83,133,189,saab
88,140,192,saab
104,148,210,saab
71,133,181,saab
77,146,163,saab
107,153,227,saab
98,161,219,saab
74,128,177,saab
69,131,164,saab
85,153,192,saab
106,158,224,saab
83,134,197,saab
82,129,179,saab
104,159,223,saab
88,155,186,saab
85,139,184,saab
80,132,172,saab
104,171,222,saab
85,131,189,saab
108,168,229,saab
98,135,194,saab
100,159,214,saab
101,152,216,saab
63,130,168,saab
66,137,164,saab
75,125,166,saab
95,160,220,saab
104,152,221,saab
90,144,189,saab
112,162,223,saab
93,165,221,saab
108,168,226,saab
71,134,178,saab
105,164,216,saab
76,147,184,saab
90,156,211,saab
104,163,220,saab
77,148,181,saab
104,162,220,saab
89,132,200,saab
103,172,229,saab
74,131,193,bus
76,157,194,bus
103,160,254,bus
73,137,174,bus
81,158,206,bus
68,143,169,bus
75,131,168,bus
109,175,288,bus
71,146,175,bus
66,147,169,bus
106,164,256,bus
72,144,178,bus
70,129,167,bus
70,138,172,bus
84,154,208,bus
70,145,177,bus
71,149,172,bus
104,168,275,bus
68,145,170,bus
63,147,166,bus
75,138,204,bus
70,153,179,bus
70,124,184,bus
75,147,178,bus
70,134,167,bus
84,145,208,bus
68,147,170,bus
61,144,169,bus
81,137,184,bus
89,153,238,bus
96,170,267,bus
66,146,172,bus
69,145,178,bus
66,143,173,bus
69,144,174,bus
66,145,166,bus
68,146,172,bus
64,143,170,bus
73,131,175,bus
94,161,227,bus
102,165,265,bus
75,131,184,bus
79,130,178,bus
68,147,169,bus
88,147,215,bus
77,150,188,bus
76,143,179,bus
70,145,169,bus
71,141,167,bus
73,138,175,bus
83,139,189,bus
65,148,169,bus
86,145,203,bus
71,147,174,bus
71,146,170,bus
68,144,169,bus
79,158,189,bus
68,142,168,bus
72,135,175,bus
70,144,241,bus
85,146,217,bus
74,134,173,bus
77,139,197,bus
75,133,175,bus
72,133,184,bus
103,169,280,bus
76,143,180,bus
102,167,264,bus
105,165,269,bus
84,152,190,bus
66,145,168,bus
92,159,232,bus
66,145,173,bus
73,147,170,bus
98,152,228,bus
78,134,185,bus
65,143,169,bus
70,136,189,bus
66,142,177,bus
73,127,189,bus
84,138,189,bus
66,143,169,bus
93,159,254,bus
89,159,219,bus
70,148,183,bus
66,140,169,bus
73,126,184,bus
71,144,167,bus
68,145,172,bus
68,147,186,bus
84,161,199,bus
66,144,174,bus
68,147,171,bus
75,145,175,bus
66,145,170,bus
71,141,169,bus
74,143,179,bus
59,144,166,bus
66,145,170,bus
71,138,175,bus
72,147,174,bus
82,141,215,bus
71,143,171,bus
70,144,170,bus
74,149,185,bus
68,143,170,bus
76,138,184,bus
63,142,173,bus
70,146,170,bus
65,141,175,bus
73,145,170,bus
72,146,180,bus
73,143,176,bus
68,145,171,bus
70,145,169,bus
70,143,164,bus
65,150,168,bus
92,162,247,bus
70,146,171,bus
106,172,275,bus
103,166,266,bus
68,145,179,bus
72,144,175,bus
64,146,167,bus
72,143,173,bus
68,142,179,bus
68,142,164,bus
74,128,188,bus
70,143,163,bus
98,165,246,bus
106,170,285,bus
70,143,180,bus
65,141,169,bus
75,129,199,bus
71,147,171,bus
74,149,175,bus
72,144,181,bus
63,145,166,bus
70,143,176,bus
91,161,231,bus
69,147,171,bus
91,148,234,bus
98,156,232,bus
89,145,204,bus
73,143,178,bus
109,169,272,bus
62,139,169,bus
68,144,175,bus
70,145,170,bus
80,156,206,bus
106,169,280,bus
76,135,169,bus
70,143,166,bus
70,145,177,bus
74,127,178,bus
60,141,169,bus
64,144,168,bus
71,142,172,bus
95,150,216,bus
101,163,267,bus
66,141,172,bus
106,171,278,bus
80,159,214,bus
77,139,202,bus
70,136,164,bus
88,158,222,bus
72,144,181,bus
100,162,280,bus
77,134,205,bus
86,161,212,bus
79,154,196,bus
102,171,243,bus
98,164,263,bus
76,136,174,bus
68,146,173,bus
70,146,173,bus
107,171,285,bus
71,148,177,bus
88,148,214,bus
72,131,189,bus
65,145,170,bus
73,127,171,bus
75,146,176,bus
68,146,170,bus
72,147,166,bus
70,141,167,bus
66,144,168,bus
103,172,269,bus
102,169,287,bus
74,148,180,bus
70,144,171,bus
93,165,240,bus
68,146,169,bus
98,168,258,bus
70,145,166,bus
75,136,175,bus
84,133,185,opel
96,161,206,opel
57,125,142,opel
104,151,227,opel
105,169,221,opel
104,166,219,opel
69,126,154,opel
103,166,227,opel
60,131,151,opel
104,172,223,opel
104,163,217,opel
64,126,152,opel
108,156,232,opel
76,148,184,opel
105,173,217,opel
86,134,174,opel
51,124,135,opel
107,158,222,opel
91,170,220,opel
100,175,219,opel
107,178,228,opel
71,143,159,opel
100,169,227,opel
107,161,218,opel
101,178,228,opel
107,159,214,opel
93,147,202,opel
103,163,222,opel
76,131,189,opel
78,128,168,opel
78,125,172,opel
101,178,231,opel
66,136,154,opel
77,145,181,opel
82,144,181,opel
109,163,238,opel
100,166,222,opel
83,156,207,opel
103,160,222,opel
98,173,225,opel
96,175,231,opel
77,141,174,opel
101,146,219,opel
105,173,226,opel
74,127,160,opel
66,128,162,opel
75,132,167,opel
110,166,235,opel
73,133,173,opel
103,176,231,opel
69,134,147,opel
79,148,190,opel
103,165,229,opel
101,177,225,opel
107,167,221,opel
104,175,224,opel
96,170,231,opel
105,171,228,opel
69,138,165,opel
105,163,214,opel
108,172,220,opel
107,174,225,opel
109,165,241,opel
105,179,234,opel
53,128,152,opel
101,182,225,opel
105,162,222,opel
100,147,231,opel
103,162,217,opel
105,155,212,opel
74,135,181,opel
81,149,187,opel
78,123,161,opel
103,172,219,opel
98,170,222,opel
108,162,219,opel
98,171,219,opel
105,177,237,opel
83,147,197,opel
66,133,170,opel
96,153,226,opel
92,148,202,opel
107,154,232,opel
96,158,197,opel
96,161,208,opel
98,161,214,opel
94,155,200,opel
98,141,214,opel
69,137,155,opel
100,188,223,opel
109,174,230,opel
82,149,181,opel
60,124,141,opel
73,146,182,opel
101,161,207,opel
101,180,225,opel
63,130,137,opel
88,159,209,opel
69,143,170,opel
78,126,182,opel
71,134,167,opel
50,122,132,opel
83,142,199,opel
103,162,210,opel
101,171,224,opel
93,161,214,opel
89,132,190,opel
72,126,163,opel
100,173,219,opel
92,140,197,opel
82,144,170,opel
96,172,223,opel
75,139,170,opel
88,133,199,opel
60,130,148,opel
80,135,172,opel
86,131,194,opel
86,153,197,opel
89,135,191,opel
72,135,165,opel
108,186,225,opel
105,177,221,opel
105,163,226,opel
83,152,195,opel
77,129,184,opel
101,151,208,opel
69,122,158,opel
107,180,234,opel
100,150,207,opel
100,178,231,opel
78,141,182,opel
85,129,186,opel
101,164,219,opel
98,161,216,opel
103,172,227,opel
96,143,217,opel
77,145,175,opel
78,131,182,opel
75,137,170,opel
103,147,220,opel
103,176,228,opel
100,161,210,opel
101,168,236,opel
98,167,228,opel
96,173,219,opel
78,138,161,opel
77,125,174,opel
105,152,212,opel
103,156,215,opel
83,132,199,opel
96,156,202,opel
75,135,158,opel
69,131,155,opel
109,176,234,opel
79,149,183,opel
72,124,169,opel
105,148,223,opel
109,162,238,opel
66,127,148,opel
103,177,223,opel
109,182,234,opel
93,137,202,opel
79,138,200,opel
101,152,227,opel
98,164,228,opel
108,178,231,opel
75,146,170,opel
77,127,179,opel
72,132,145,opel
77,134,176,opel
103,156,212,opel
98,166,228,opel
78,127,166,opel
58,127,152,opel
101,157,214,opel
96,141,199,opel
101,177,225,opel
98,175,226,opel
74,133,178,opel
94,147,224,opel
100,175,217,opel
63,130,145,opel
75,142,174,opel
66,132,144,opel
107,174,221,opel
90,131,209,opel
88,141,208,opel
101,158,215,opel
80,143,189,opel
86,156,203,opel
104,164,217,opel
