@relation vehicle

@attribute Compactness numeric
@attribute Radius_ratio numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
95,170,145,145,207,van
86,125,117,134,194,van
100,164,163,163,196,van
86,139,122,139,208,van
86,143,142,131,196,van
93,145,159,160,194,van
85,154,147,148,199,van
90,149,155,155,196,van
94,333,155,155,196,van
89,141,149,145,200,van
83,113,122,129,185,van
90,143,161,159,193,van
95,159,160,157,200,van
94,162,156,153,196,van
88,143,128,129,209,van
87,150,133,141,201,van
93,124,140,141,185,van
87,162,146,139,199,van
93,139,132,136,201,van
90,157,137,146,202,van
93,161,155,157,196,van
98,121,134,142,186,van
90,306,153,156,194,van
86,136,161,163,192,van
87,149,147,152,198,van
90,134,160,167,192,van
98,130,130,138,194,van
93,158,134,142,201,van
88,139,157,155,195,van
95,126,133,140,183,van
94,150,128,143,196,van
90,136,161,153,191,van
93,159,144,150,203,van
95,139,159,162,191,van
91,126,119,130,198,van
100,172,157,150,200,van
91,151,137,146,194,van
83,161,142,144,199,van
88,113,118,128,183,van
84,150,137,140,205,van
90,147,128,141,208,van
90,161,163,160,195,van
94,162,157,161,195,van
97,161,151,148,205,van
85,167,143,148,199,van
91,162,148,145,199,van
90,157,161,167,195,van
84,140,156,157,193,van
85,133,159,156,193,van
94,175,157,155,200,van
93,131,127,145,190,van
85,129,116,125,203,van
89,154,144,139,197,van
93,142,157,155,197,van
94,163,157,156,195,van
90,133,160,161,192,van
89,159,144,141,200,van
89,138,136,133,193,van
95,174,153,144,204,van
89,144,152,144,197,van
89,160,155,151,196,van
85,123,120,128,190,van
96,166,155,150,202,van
86,110,119,121,183,van
83,112,122,128,184,van
85,145,130,130,203,van
86,164,142,147,201,van
97,164,156,149,202,van
90,144,131,142,204,van
91,138,132,135,192,van
91,141,149,143,199,van
98,176,158,149,202,van
92,130,114,132,194,van
86,119,118,129,186,van
89,147,151,145,199,van
89,141,139,130,196,van
93,139,136,138,188,van
90,145,152,155,197,van
91,133,130,146,194,van
117,228,212,163,205,saab
97,202,188,144,197,saab
89,174,177,133,196,saab
98,192,178,144,208,saab
89,169,164,150,193,saab
96,153,141,141,209,saab
109,205,222,175,200,saab
85,136,142,137,186,saab
93,183,169,134,195,saab
105,234,215,168,201,saab
78,115,142,130,185,saab
111,211,207,167,205,saab
94,169,158,148,199,saab
93,200,173,151,202,saab
84,122,116,123,190,saab
90,181,175,132,195,saab
82,114,135,126,182,saab
86,135,133,135,191,saab
104,186,216,173,195,saab
108,182,216,171,201,saab
87,123,137,127,186,saab
84,150,152,143,187,saab
93,183,164,134,197,saab
93,177,160,147,199,saab
92,167,158,131,196,saab
98,203,197,152,197,saab
87,152,151,136,196,saab
85,137,152,134,187,saab
82,117,125,126,184,saab
99,219,204,165,201,saab
90,187,176,154,195,saab
90,160,163,131,192,saab
97,175,157,149,206,saab
108,204,212,159,199,saab
89,156,153,129,192,saab
91,170,172,134,194,saab
88,137,148,131,183,saab
102,214,201,152,204,saab
101,191,175,153,210,saab
87,140,148,136,185,saab
105,195,198,149,200,saab
104,199,213,168,198,saab
101,195,198,150,205,saab
96,187,159,134,197,saab
86,175,170,134,199,saab
85,104,115,118,185,saab
84,141,149,132,191,saab
106,207,221,168,205,saab
109,225,214,169,202,saab
100,187,166,154,207,saab
112,186,214,159,202,saab
104,206,217,168,201,saab
103,209,203,149,199,saab
101,194,195,161,201,saab
91,192,177,135,205,saab
115,201,196,162,208,saab
97,219,211,171,196,saab
95,208,191,148,200,saab
91,176,163,148,208,saab
86,146,135,124,195,saab
90,171,157,128,204,saab
109,221,221,169,201,saab
109,193,207,156,202,saab
106,202,207,153,203,saab
98,191,169,136,199,saab
102,213,222,177,199,saab
108,181,220,167,199,saab
79,120,142,128,183,saab
98,213,206,167,196,saab
100,190,171,155,210,saab
105,215,208,166,199,saab
89,188,161,151,201,saab
90,172,154,144,209,saab
112,197,208,159,202,saab
104,211,187,156,206,saab
101,201,214,162,206,saab
105,201,220,163,200,saab
86,140,150,133,185,saab
86,148,150,138,185,saab
91,142,149,140,191,saab
110,201,213,171,198,saab
85,127,116,121,189,saab
104,197,213,172,196,saab
100,184,197,147,197,saab
89,161,149,129,193,saab
104,222,218,173,199,saab
108,200,206,155,198,saab
98,203,188,157,199,saab
105,184,211,168,197,saab
95,171,157,134,208,saab
115,203,217,165,197,saab
107,203,218,167,199,saab
100,189,208,163,198,saab
102,217,204,162,197,saab
93,146,128,134,204,saab
102,221,207,164,200,saab
101,197,188,162,202,saab
96,201,192,143,197,saab
93,209,183,156,196,saab
92,154,160,148,191,saab
107,210,218,169,197,saab
87,132,128,129,192,saab
97,195,185,144,199,saab
93,197,183,146,204,saab
88,132,135,125,184,saab
90,188,181,158,199,saab
90,184,160,125,203,saab
108,202,220,168,199,saab
88,130,125,130,188,saab
91,189,175,132,198,saab
96,215,187,158,201,saab
108,206,196,159,205,saab
80,129,146,130,185,saab
104,168,208,162,197,saab
89,119,134,127,185,saab
105,206,222,168,203,saab
86,138,137,133,190,saab
92,174,154,133,195,saab
90,171,157,132,209,saab
113,197,216,165,199,saab
103,174,210,163,196,saab
107,213,219,172,197,saab
115,205,220,166,199,saab
90,130,121,127,195,saab
108,234,221,174,197,saab
107,231,219,172,196,saab
92,180,154,129,195,saab
107,201,218,170,198,saab
104,191,197,158,198,saab
92,165,153,128,211,saab
109,199,215,162,199,saab
83,119,128,125,183,saab
98,191,166,138,205,saab
99,195,186,144,199,saab
94,179,170,131,204,saab
93,144,133,123,206,saab
89,121,122,125,184,saab
104,193,217,163,201,saab
110,197,193,149,203,saab
109,206,198,150,198,saab
104,209,207,157,207,saab
111,199,211,156,200,saab
88,151,140,142,205,saab
104,201,214,173,194,saab
106,222,222,173,201,saab
89,151,144,139,189,saab
106,193,215,169,197,saab
107,213,206,163,205,saab
105,220,221,170,199,saab
98,192,177,155,201,saab
100,206,198,164,196,saab
88,155,154,149,193,saab
104,209,207,158,196,saab
82,126,132,127,187,saab
97,184,175,140,205,saab
105,197,191,162,205,saab
98,202,199,154,208,saab
89,189,169,153,201,saab
95,202,193,160,196,saab
113,208,203,151,204,saab
109,210,219,172,199,saab
106,176,216,171,197,saab
84,136,140,125,195,saab
103,172,212,168,197,saab
85,132,147,131,188,saab
95,176,168,152,198,saab
94,186,169,139,210,saab
91,133,146,132,189,saab
96,170,174,139,200,saab
106,211,208,158,202,saab
103,194,185,160,208,saab
119,220,213,167,202,saab
108,189,220,174,201,saab
86,133,136,136,189,saab
82,134,135,128,185,saab
89,147,144,146,201,saab
107,211,219,168,203,saab
85,115,112,119,183,saab
91,166,160,133,191,saab
91,157,155,126,201,saab
91,136,144,131,191,saab
94,161,152,143,198,saab
109,220,214,167,201,saab
110,191,213,162,199,saab
86,165,150,128,203,saab
116,231,217,165,206,saab
107,228,218,170,204,saab
89,169,161,131,197,saab
100,197,180,143,205,saab
110,223,211,164,203,saab
107,182,213,162,198,saab
95,208,187,150,211,saab
97,186,186,138,206,saab
101,228,215,168,199,saab
83,118,129,127,184,saab
98,207,192,161,195,bus
82,154,150,143,186,bus
92,180,152,131,200,bus
92,191,161,128,202,bus
97,188,171,129,199,bus
96,204,167,150,203,bus
85,130,151,146,186,bus
94,184,155,133,200,bus
88,173,150,137,200,bus
104,168,212,153,189,bus
91,171,149,135,200,bus
107,179,257,172,184,bus
79,141,153,144,188,bus
81,125,149,145,182,bus
81,130,153,149,186,bus
93,180,173,158,202,bus
91,169,145,140,207,bus
85,120,149,143,182,bus
91,171,150,144,201,bus
85,155,149,139,191,bus
100,204,218,156,189,bus
106,154,237,164,184,bus
80,128,151,147,187,bus
81,146,151,147,188,bus
106,164,247,165,182,bus
89,183,157,136,195,bus
86,126,148,145,182,bus
100,209,199,150,194,bus
82,139,147,143,184,bus
99,184,164,131,202,bus
86,140,148,145,183,bus
86,152,150,142,192,bus
99,199,185,153,195,bus
100,197,186,158,198,bus
81,139,153,146,186,bus
85,125,148,145,183,bus
96,183,149,127,205,bus
87,116,150,141,182,bus
86,165,154,146,194,bus
82,150,148,144,184,bus
81,139,149,145,184,bus
96,177,177,134,198,bus
87,165,148,140,195,bus
83,156,150,144,188,bus
93,205,176,152,201,bus
106,161,247,166,183,bus
87,165,145,134,200,bus
97,173,153,143,204,bus
101,188,236,164,185,bus
92,184,154,131,202,bus
82,155,148,138,195,bus
93,174,151,131,205,bus
83,155,144,141,195,bus
94,186,154,127,206,bus
80,133,150,146,184,bus
105,160,217,165,188,bus
87,159,151,146,190,bus
101,175,149,139,209,bus
98,171,172,139,201,bus
90,126,152,142,184,bus
85,130,151,143,183,bus
86,122,148,144,183,bus
105,207,195,159,194,bus
79,141,153,149,189,bus
99,197,177,139,199,bus
95,195,167,152,206,bus
108,177,256,170,181,bus
90,169,150,138,197,bus
96,161,186,141,196,bus
83,144,147,143,191,bus
99,188,203,158,190,bus
102,201,225,165,187,bus
98,186,164,136,203,bus
95,159,145,141,200,bus
83,139,150,146,191,bus
87,127,149,143,182,bus
86,125,150,140,182,bus
85,120,148,145,181,bus
85,121,149,146,182,bus
87,158,151,138,194,bus
95,191,156,126,204,bus
91,185,154,147,199,bus
99,203,209,159,189,bus
96,202,163,149,200,bus
81,137,152,151,183,bus
110,180,261,171,182,bus
92,187,157,143,201,bus
88,171,152,148,195,bus
107,184,234,171,187,bus
82,154,151,143,189,bus
83,137,148,146,191,bus
94,193,158,133,204,bus
113,194,260,175,183,bus
87,169,152,145,187,bus
94,213,186,145,198,bus
108,246,239,167,185,bus
82,150,154,144,187,bus
84,123,151,146,184,bus
84,128,150,148,183,bus
110,223,250,169,183,bus
86,116,152,141,183,bus
87,159,155,138,193,bus
88,177,152,143,189,bus
102,198,194,146,191,bus
89,158,141,143,199,bus
85,121,150,147,182,bus
86,126,148,145,182,bus
80,123,150,147,184,bus
94,203,174,154,199,bus
82,118,152,147,185,bus
85,128,150,144,184,bus
85,123,148,145,182,bus
93,201,184,145,197,bus
84,154,145,144,188,bus
85,130,150,145,185,bus
97,173,151,129,208,bus
89,162,153,136,195,bus
89,188,150,136,197,bus
89,155,146,135,196,bus
83,156,151,147,186,bus
83,152,149,142,190,bus
98,219,190,154,195,bus
96,190,155,145,206,bus
85,141,152,145,184,bus
106,235,262,171,184,bus
100,185,162,153,205,bus
85,132,149,144,182,bus
96,199,165,128,200,bus
80,120,151,146,185,bus
100,199,201,159,193,bus
86,170,146,146,191,bus
81,125,149,146,184,bus
84,156,151,143,193,bus
90,164,151,131,204,bus
82,123,151,147,182,bus
91,209,171,138,201,bus
96,194,167,148,203,bus
81,148,150,144,185,bus
88,151,143,143,203,bus
94,170,142,142,203,bus
110,199,251,169,183,bus
106,227,250,162,182,bus
85,123,150,146,183,bus
107,167,252,172,186,bus
88,186,158,134,197,bus
94,179,156,144,198,bus
109,169,241,165,183,bus
102,193,192,146,193,bus
97,203,178,157,200,bus
97,183,197,148,191,bus
107,199,240,168,184,bus
94,216,184,145,197,bus
84,153,154,145,192,bus
101,185,257,168,184,bus
86,119,150,144,182,bus
85,122,148,141,182,bus
89,148,147,143,189,bus
82,158,151,145,188,bus
85,120,149,145,184,bus
86,130,152,142,185,bus
85,120,149,145,182,bus
100,206,183,156,199,bus
85,128,151,145,184,bus
109,189,227,158,186,bus
84,148,146,142,187,bus
95,198,177,139,198,bus
100,205,176,138,197,bus
81,120,151,147,183,bus
87,124,149,144,182,bus
87,179,146,141,201,bus
87,139,149,142,188,bus
104,208,208,161,191,bus
105,173,222,159,184,bus
107,172,255,169,183,bus
111,183,265,174,183,bus
109,191,241,170,184,bus
86,123,150,144,182,bus
88,165,144,141,193,bus
114,181,257,169,184,bus
90,185,160,130,205,bus
88,166,148,134,201,bus
98,192,166,131,202,bus
94,173,150,142,206,bus
87,148,143,136,199,bus
86,129,152,150,183,bus
82,252,148,144,185,bus
86,155,146,144,196,bus
98,199,166,150,203,bus
99,226,202,148,191,bus
78,147,147,145,186,bus
101,194,204,161,192,bus
81,154,151,147,185,bus
80,135,150,145,185,bus
83,166,143,143,193,bus
80,120,150,145,183,bus
98,207,184,161,199,bus
94,186,153,144,206,bus
97,183,168,150,198,opel
104,209,218,170,196,opel
88,146,130,134,200,opel
98,168,224,178,198,opel
95,202,189,143,197,opel
101,204,227,178,197,opel
98,228,210,168,197,opel
97,209,195,147,197,opel
98,186,213,172,195,opel
104,222,221,177,195,opel
99,206,222,180,196,opel
84,180,177,131,198,opel
88,156,163,129,198,opel
73,111,126,128,184,opel
88,160,140,123,202,opel
84,138,139,127,191,opel
102,213,203,157,203,opel
86,129,135,136,187,opel
85,149,147,128,203,opel
95,214,205,151,193,opel
93,188,183,141,197,opel
106,196,221,173,196,opel
80,110,114,119,183,opel
108,230,218,171,197,opel
86,128,131,127,187,opel
88,194,168,133,192,opel
77,135,130,130,187,opel
92,158,149,143,203,opel
82,141,153,133,187,opel
86,155,152,141,192,opel
80,116,125,125,184,opel
104,230,219,176,196,opel
84,131,150,134,186,opel
100,163,206,164,196,opel
107,218,202,164,206,opel
86,144,154,127,191,opel
102,225,214,164,196,opel
85,151,150,134,193,opel
91,197,183,137,200,opel
101,183,225,177,198,opel
89,191,162,143,199,opel
89,143,146,137,188,opel
89,140,145,139,198,opel
103,194,175,142,206,opel
100,193,186,147,198,opel
103,218,222,174,200,opel
90,179,157,126,198,opel
90,169,162,131,191,opel
103,194,212,175,194,opel
88,121,114,122,187,opel
90,145,138,138,197,opel
103,179,220,170,198,opel
106,192,217,166,198,opel
104,206,198,161,204,opel
88,167,151,145,208,opel
101,215,208,169,193,opel
97,227,224,186,198,opel
106,201,181,158,209,opel
89,153,146,127,194,opel
102,193,212,162,201,opel
91,154,150,146,198,opel
106,211,200,161,201,opel
94,158,169,130,195,opel
99,199,200,166,198,opel
104,230,218,174,202,opel
92,176,162,149,198,opel
86,149,156,133,190,opel
99,204,185,159,201,opel
108,197,211,160,200,opel
101,203,195,162,198,opel
93,154,142,128,202,opel
92,153,140,138,206,opel
85,130,134,132,198,opel
96,175,215,175,194,opel
109,186,206,156,201,opel
77,144,147,132,187,opel
89,136,149,144,193,opel
90,178,178,132,193,opel
111,171,221,172,198,opel
86,176,169,132,202,opel
101,212,209,162,195,opel
103,204,200,158,202,opel
87,211,189,141,194,opel
97,197,215,172,194,opel
92,170,165,149,208,opel
97,181,161,131,211,opel
94,181,167,148,198,opel
82,125,133,128,183,opel
87,164,156,144,196,opel
99,177,224,188,198,opel
89,156,161,149,193,opel
93,164,159,146,201,opel
101,162,212,163,194,opel
100,225,222,165,199,opel
101,212,201,156,196,opel
92,178,161,135,206,opel
99,177,210,166,194,opel
109,197,192,161,202,opel
92,172,147,142,211,opel
101,182,215,177,195,opel
88,152,138,122,210,opel
97,211,214,156,197,opel
100,206,186,156,205,opel
78,116,123,124,185,opel
100,189,222,177,197,opel
105,213,200,163,198,opel
107,186,214,162,198,opel
97,197,179,140,204,opel
85,121,152,133,183,opel
95,197,178,141,200,opel
101,168,214,175,192,opel
94,194,172,135,209,opel
84,138,126,132,190,opel
106,224,215,170,201,opel
85,158,153,126,197,opel
105,185,219,170,195,opel
88,183,176,138,199,opel
105,195,193,150,202,opel
89,172,157,125,205,opel
92,204,189,161,195,opel
96,161,215,175,193,opel
98,195,207,152,196,opel
80,127,128,124,191,opel
101,200,225,178,201,opel
87,153,154,145,189,opel
104,223,223,177,196,opel
91,195,177,156,198,opel
87,177,164,129,205,opel
103,211,212,165,196,opel
104,216,205,169,196,opel
81,123,134,128,184,opel
84,128,132,130,188,opel
107,197,188,148,203,opel
94,169,162,133,204,opel
99,219,224,178,196,opel
107,221,209,163,201,opel
89,141,138,126,192,opel
96,177,171,152,201,opel
98,219,225,178,195,opel
97,169,161,131,192,opel
103,232,205,153,196,opel
96,222,198,163,201,opel
101,184,216,172,201,opel
85,130,122,130,201,opel
107,202,221,179,196,opel
78,116,120,124,184,opel
100,207,227,180,198,opel
96,215,200,147,194,opel
104,172,219,166,198,opel
99,209,197,152,205,opel
91,159,147,131,203,opel
96,201,204,166,194,opel
88,145,142,143,197,opel
89,142,135,126,203,opel
109,215,205,158,206,opel
91,199,196,146,194,opel
80,122,139,131,186,opel
102,190,222,171,198,opel
83,127,135,131,190,opel
85,127,127,125,194,opel
91,196,193,161,199,opel
102,197,185,142,204,opel
80,130,134,126,188,opel
97,198,181,155,203,opel
100,230,226,182,198,opel
79,133,147,135,193,opel
104,188,188,161,200,opel
102,167,217,174,198,opel
103,189,223,174,201,opel
103,185,216,173,194,opel
100,209,201,147,195,opel
102,177,219,171,196,opel
91,172,167,134,198,opel
106,203,220,167,197,opel
103,212,193,161,204,opel
97,212,201,155,202,opel
105,181,219,175,194,opel
106,194,214,161,206,opel
92,191,176,137,200,opel
95,193,178,154,206,opel
93,140,130,120,207,opel
93,165,167,147,192,opel
95,219,201,148,202,opel
95,186,164,145,204,opel
100,224,217,162,199,opel
97,210,192,151,200,opel
86,146,140,135,190,opel
82,140,153,134,189,opel
103,179,208,159,200,opel
101,222,208,154,202,opel
