@relation vehicle

@attribute Distance_circularity numeric
@attribute Max_length_aspect_ratio numeric
@attribute Minor_variance numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
68,8,323,179,184,bus
69,7,341,181,184,bus
74,5,419,196,200,bus
103,4,892,181,183,bus
65,7,327,180,182,bus
107,6,987,180,184,bus
89,4,682,190,189,bus
98,6,766,188,187,bus
72,7,321,192,196,bus
70,6,299,193,199,bus
68,8,325,185,191,bus
75,6,393,195,202,bus
109,5,928,183,183,bus
65,8,322,180,182,bus
80,6,579,194,194,bus
68,6,336,185,191,bus
75,6,354,185,192,bus
68,6,336,183,189,bus
70,7,328,181,185,bus
65,6,331,178,183,bus
73,6,361,200,204,bus
80,6,517,198,199,bus
70,52,325,180,183,bus
104,6,956,180,184,bus
77,6,485,198,199,bus
64,8,324,180,184,bus
77,5,485,196,198,bus
73,7,337,183,188,bus
76,7,359,185,190,bus
66,6,319,179,182,bus
71,7,331,184,190,bus
102,6,968,182,184,bus
76,7,327,188,195,bus
73,6,335,189,196,bus
65,6,321,179,182,bus
73,6,334,180,184,bus
65,8,332,179,183,bus
66,7,340,181,185,bus
74,6,349,189,195,bus
68,7,323,180,184,bus
73,6,327,185,191,bus
109,6,982,182,183,bus
72,7,350,183,187,bus
68,8,329,180,185,bus
70,7,307,192,199,bus
70,7,406,200,205,bus
72,8,344,182,188,bus
79,6,524,195,195,bus
66,7,321,180,182,bus
72,7,312,191,198,bus
70,7,323,186,189,bus
68,7,327,179,184,bus
70,8,331,183,188,bus
98,6,719,189,189,bus
95,4,776,187,186,bus
72,7,317,181,185,bus
75,7,362,192,199,bus
102,6,855,186,185,bus
68,7,328,179,182,bus
77,6,429,199,203,bus
103,7,816,183,184,bus
61,8,326,179,182,bus
76,7,487,197,200,bus
70,7,341,184,187,bus
69,6,340,183,188,bus
70,8,361,199,206,bus
60,6,324,178,182,bus
70,7,332,193,201,bus
68,7,337,188,192,bus
98,6,680,188,189,bus
70,6,322,181,183,bus
71,7,330,181,186,bus
79,7,463,197,202,bus
65,8,325,179,183,bus
74,6,414,200,202,bus
71,7,322,189,196,bus
65,6,335,179,183,bus
70,5,371,202,205,bus
92,6,731,188,186,bus
89,5,533,195,198,bus
76,7,332,192,200,bus
88,7,596,192,191,bus
72,6,347,182,186,bus
73,6,401,200,204,bus
86,7,523,194,197,bus
93,4,735,186,184,bus
105,6,1018,181,183,bus
70,6,427,200,203,bus
106,7,833,185,185,bus
84,7,558,195,195,bus
75,6,450,197,199,bus
68,7,333,179,183,bus
66,6,312,184,188,bus
70,8,334,181,186,bus
66,7,333,182,188,bus
71,6,322,195,200,bus
86,5,570,194,195,bus
65,8,332,179,184,bus
93,7,703,188,188,bus
71,7,337,181,187,bus
71,6,338,181,186,bus
79,5,465,197,199,bus
75,5,352,188,195,bus
68,6,333,179,183,bus
76,7,340,195,201,bus
70,6,413,200,203,bus
77,7,422,200,203,bus
81,6,531,197,198,bus
66,22,330,184,191,bus
72,6,385,200,204,bus
66,5,320,179,181,bus
66,6,323,180,183,bus
96,6,857,184,184,bus
103,11,677,185,194,opel
75,6,290,183,190,opel
96,9,519,197,205,opel
50,5,192,182,187,opel
69,7,252,193,200,opel
69,8,290,199,206,opel
88,10,517,194,201,opel
77,7,395,192,198,opel
78,6,287,194,202,opel
108,12,685,190,201,opel
66,7,251,201,207,opel
105,11,575,194,205,opel
63,5,247,183,187,opel
105,11,725,189,196,opel
71,7,330,180,186,opel
86,9,471,192,199,opel
66,6,304,197,202,opel
101,8,546,191,200,opel
96,10,685,184,193,opel
98,11,710,188,197,opel
86,7,388,185,191,opel
103,10,598,187,194,opel
101,12,595,192,202,opel
105,11,706,187,195,opel
90,7,469,190,198,opel
86,7,338,183,189,opel
72,7,286,187,192,opel
72,9,295,181,189,opel
78,7,321,197,203,opel
103,11,653,191,201,opel
80,7,406,199,204,opel
72,7,334,203,210,opel
109,9,704,189,199,opel
101,9,574,186,194,opel
98,9,567,198,204,opel
76,8,415,189,198,opel
109,10,731,188,199,opel
107,11,729,187,201,opel
96,10,534,190,197,opel
60,6,221,178,185,opel
107,10,641,190,202,opel
96,9,543,191,198,opel
93,9,536,188,195,opel
100,10,553,196,202,opel
100,10,669,187,195,opel
78,8,331,191,198,opel
103,12,718,186,195,opel
96,10,513,195,204,opel
105,11,623,189,196,opel
101,11,610,197,206,opel
64,8,259,179,188,opel
79,7,462,189,199,opel
72,9,261,188,198,opel
92,10,526,195,203,opel
101,11,748,187,195,opel
92,10,481,197,204,opel
83,9,455,197,206,opel
103,11,630,192,201,opel
101,13,722,186,196,opel
79,8,396,191,198,opel
100,8,611,189,195,opel
105,9,602,191,202,opel
75,6,312,191,198,opel
103,11,673,188,196,opel
69,5,284,204,210,opel
101,11,650,189,196,opel
76,8,391,188,192,opel
107,10,624,195,206,opel
101,10,731,188,197,opel
109,11,752,187,198,opel
74,7,394,198,204,opel
60,5,261,185,188,opel
83,8,472,187,193,opel
104,10,682,186,194,opel
101,12,748,185,196,opel
104,10,665,186,195,opel
66,7,266,180,187,opel
101,10,737,187,196,opel
77,7,345,187,192,opel
78,7,284,192,197,opel
81,8,388,187,193,opel
89,9,444,201,209,opel
104,10,657,187,194,opel
103,11,708,186,196,opel
75,7,317,184,188,opel
105,10,648,188,196,opel
78,7,342,193,197,opel
101,10,616,193,203,opel
83,8,438,195,201,opel
57,6,229,178,184,opel
78,8,367,192,198,opel
100,11,684,186,194,opel
42,3,191,179,183,opel
107,11,701,191,203,opel
107,11,670,192,206,opel
101,10,587,195,204,opel
77,7,352,186,191,opel
75,6,315,181,187,opel
103,11,716,187,196,opel
93,8,521,193,198,opel
74,8,282,183,191,opel
77,6,343,202,208,opel
107,12,728,189,200,opel
107,11,730,187,201,opel
108,10,663,191,201,opel
104,9,628,186,193,opel
108,11,732,186,198,opel
77,8,367,198,205,opel
80,8,348,191,197,opel
96,10,706,187,195,opel
103,9,624,186,194,opel
92,10,478,198,206,opel
103,11,727,190,198,opel
101,13,741,186,198,opel
107,8,602,194,201,opel
91,8,466,192,200,opel
105,11,602,193,202,opel
103,11,661,190,200,opel
73,7,379,195,201,opel
98,10,692,187,198,opel
88,10,504,189,197,opel
79,8,418,191,198,opel
69,6,260,203,209,opel
100,11,681,185,192,opel
76,7,371,190,196,opel
66,4,340,180,183,opel
88,8,416,186,192,opel
66,7,322,197,203,opel
73,8,342,181,187,opel
100,10,651,186,193,opel
96,10,633,188,196,opel
78,8,389,203,211,opel
75,8,322,206,211,opel
104,9,589,192,201,opel
104,10,670,186,193,opel
80,7,311,181,193,opel
63,7,219,195,201,opel
77,7,350,184,189,opel
98,10,706,186,196,opel
69,7,266,193,203,opel
82,6,332,188,193,opel
98,11,679,189,201,opel
91,11,707,186,198,opel
103,9,571,191,198,opel
91,11,697,187,196,opel
85,8,402,198,205,opel
98,11,696,188,199,opel
105,10,669,186,194,opel
105,10,653,186,195,opel
98,10,535,187,194,opel
103,10,601,189,196,opel
108,11,737,187,198,opel
100,12,757,186,197,opel
69,7,240,183,191,opel
82,8,366,190,196,opel
51,4,209,177,184,opel
69,5,274,187,190,opel
84,9,430,190,195,opel
100,11,666,187,194,opel
101,10,728,189,198,opel
84,8,358,183,190,opel
82,8,409,200,208,opel
83,6,481,189,194,opel
100,13,726,185,198,opel
58,5,259,177,184,opel
101,9,661,188,197,opel
96,9,530,193,200,opel
53,6,227,176,184,opel
75,6,335,193,198,opel
77,8,331,184,193,opel
108,10,683,188,197,opel
86,8,473,192,198,opel
81,8,426,192,198,opel
93,9,504,193,200,opel
71,8,296,188,197,opel
66,6,232,185,190,opel
109,11,722,189,198,opel
98,11,693,188,198,opel
109,12,706,191,202,opel
98,10,683,185,193,opel
96,10,494,202,209,opel
109,11,725,188,200,opel
94,9,494,199,203,opel
96,11,713,186,195,opel
110,10,711,188,198,opel
96,9,474,193,200,opel
96,12,717,186,196,opel
98,10,682,187,196,opel
72,7,233,184,194,opel
105,10,678,186,195,opel
53,6,259,177,184,opel
