@relation vehicle

@attribute Distance_circularity numeric
@attribute Praxis_rectangular numeric
@attribute Length_rectangular numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
60,17,134,207,van
83,20,132,199,saab
76,20,149,206,saab
101,22,162,202,saab
53,17,121,189,saab
77,20,148,199,saab
54,18,127,183,saab
63,19,130,185,saab
101,24,168,198,saab
66,19,136,185,saab
83,21,134,194,saab
62,19,133,185,saab
104,25,172,196,saab
85,20,125,203,saab
71,20,134,208,saab
69,19,143,198,saab
85,20,139,210,saab
63,18,135,191,saab
101,25,173,201,saab
104,24,159,202,saab
109,24,171,201,saab
105,24,163,196,saab
69,18,131,204,saab
104,24,162,199,saab
81,20,147,199,saab
112,24,162,206,saab
82,19,129,192,saab
83,20,148,191,saab
75,18,125,195,saab
88,21,140,205,saab
54,18,125,183,saab
81,20,138,205,saab
76,19,143,194,saab
103,25,172,197,saab
75,19,134,187,saab
74,19,128,204,saab
107,24,153,203,saab
78,19,128,211,saab
96,23,150,198,saab
78,20,136,199,saab
101,23,152,197,saab
108,25,170,204,saab
106,24,164,200,saab
76,20,134,197,saab
55,19,128,183,saab
83,20,150,193,saab
100,23,159,205,saab
103,25,172,199,saab
105,23,150,205,saab
72,19,133,205,saab
100,24,165,197,saab
78,18,124,195,saab
108,25,168,203,saab
102,23,164,196,saab
90,21,152,199,saab
107,24,173,199,saab
104,24,162,199,saab
108,25,163,200,saab
102,24,171,198,saab
109,24,159,199,saab
100,21,134,202,saab
108,25,168,203,saab
77,20,151,201,saab
54,18,127,184,saab
57,18,125,184,saab
58,19,131,183,saab
101,24,171,197,saab
80,20,132,209,saab
98,22,161,201,saab
86,20,134,204,saab
77,18,142,205,saab
105,23,152,204,saab
60,18,129,192,saab
104,23,147,197,saab
80,20,131,197,saab
100,24,173,195,saab
93,24,165,199,saab
81,20,154,207,saab
109,23,154,208,saab
103,24,156,200,saab
82,19,149,193,saab
79,20,148,208,saab
103,25,175,200,saab
104,24,171,196,saab
72,19,132,189,saab
98,24,169,197,saab
108,23,167,205,saab
109,25,174,201,saab
74,20,134,197,saab
105,23,164,200,saab
105,24,157,207,saab
89,22,144,199,saab
101,24,166,198,saab
105,22,162,205,saab
66,18,124,207,saab
90,21,158,199,saab
63,19,130,185,saab
101,25,177,199,saab
89,21,133,196,saab
104,24,163,198,saab
90,22,156,196,saab
77,19,143,187,saab
105,24,168,197,saab
109,24,169,202,saab
66,18,127,187,saab
88,21,131,204,saab
101,22,138,206,saab
95,22,144,197,saab
76,20,147,195,saab
100,22,160,208,saab
98,23,151,204,saab
88,21,151,202,saab
72,18,123,206,saab
108,24,163,201,saab
88,21,132,198,saab
110,24,163,205,saab
100,23,149,200,saab
89,21,132,195,saab
103,23,155,198,saab
63,18,130,188,saab
95,22,160,196,saab
51,18,126,182,saab
104,25,167,199,saab
100,25,166,199,saab
101,24,172,196,saab
77,19,146,201,saab
64,19,138,185,saab
108,23,163,205,saab
98,25,167,199,saab
110,24,165,206,saab
81,20,152,198,saab
101,23,158,204,saab
100,22,149,203,saab
106,24,167,202,saab
108,24,168,201,saab
98,22,146,204,saab
83,19,128,200,saab
83,21,154,195,saab
109,24,156,202,saab
104,22,148,200,saab
83,19,132,191,saab
104,23,167,196,saab
69,18,141,209,saab
106,24,158,202,saab
106,23,158,196,saab
108,25,172,203,saab
40,17,119,183,saab
86,21,134,199,saab
96,22,157,199,saab
103,24,162,197,saab
104,24,164,203,saab
92,21,143,205,saab
90,21,155,201,saab
54,18,126,184,saab
87,20,134,195,saab
86,20,131,196,saab
71,18,127,186,saab
106,24,168,197,saab
78,21,139,200,saab
85,20,153,201,saab
96,22,156,206,saab
72,18,135,195,saab
105,24,162,197,saab
50,17,118,185,saab
106,24,166,199,saab
100,23,162,208,saab
104,23,152,197,saab
59,18,128,185,saab
90,21,144,208,saab
100,24,173,194,saab
100,23,158,198,saab
77,19,129,193,saab
108,24,168,199,saab
96,24,170,198,saab
83,20,133,191,saab
54,18,127,185,saab
74,19,136,196,saab
105,25,167,200,saab
103,24,162,198,saab
80,19,129,195,saab
109,25,169,201,saab
100,25,170,199,saab
103,24,167,201,saab
103,25,168,199,saab
98,24,171,197,saab
77,19,126,201,saab
98,22,138,197,saab
53,17,123,190,saab
75,19,131,191,saab
85,21,153,210,saab
88,21,155,210,saab
66,17,118,202,saab
66,19,137,186,saab
63,18,134,204,saab
52,17,125,184,saab
94,22,158,201,saab
71,19,149,186,bus
70,19,134,201,bus
71,19,143,186,bus
70,19,145,183,bus
72,19,144,198,bus
70,19,138,195,bus
75,19,131,204,bus
72,19,147,185,bus
76,21,157,200,bus
101,26,163,184,bus
73,19,126,204,bus
66,19,145,182,bus
74,19,143,201,bus
66,19,144,188,bus
70,19,145,186,bus
70,19,145,184,bus
71,19,141,200,bus
66,19,143,183,bus
89,22,145,198,bus
68,19,145,206,bus
73,19,143,189,bus
66,19,142,185,bus
102,26,171,187,bus
70,19,141,201,bus
103,26,160,184,bus
68,19,147,182,bus
79,22,153,195,bus
75,21,138,197,bus
74,20,128,200,bus
70,19,144,183,bus
84,22,145,197,bus
76,19,138,193,bus
70,19,145,182,bus
61,19,144,182,bus
91,23,148,191,bus
72,20,144,203,bus
70,19,143,189,bus
71,19,138,197,bus
72,19,147,198,bus
72,19,146,186,bus
73,19,146,191,bus
70,19,145,185,bus
70,19,124,205,bus
73,19,127,206,bus
68,19,146,184,bus
75,20,129,199,bus
74,19,148,195,bus
70,20,148,203,bus
75,19,145,192,bus
98,25,165,187,bus
88,23,158,190,bus
68,19,145,183,bus
73,19,137,200,bus
95,23,150,194,bus
66,19,144,185,bus
60,19,141,182,bus
71,19,141,193,bus
65,19,140,182,bus
68,19,146,189,bus
68,19,142,187,bus
71,19,146,191,bus
66,19,144,188,bus
70,19,146,188,bus
72,19,133,204,bus
68,19,151,183,bus
103,27,169,183,bus
70,19,144,206,bus
75,19,133,200,bus
70,19,146,186,bus
106,26,164,185,bus
70,18,143,193,bus
70,19,146,184,bus
75,19,147,199,bus
77,21,139,201,bus
73,19,131,205,bus
72,19,143,185,bus
96,26,170,184,bus
81,20,137,204,bus
72,19,135,196,bus
89,23,159,193,bus
72,20,131,202,bus
98,24,152,189,bus
63,19,145,182,bus
74,19,127,205,bus
65,19,141,183,bus
109,28,175,183,bus
68,19,147,184,bus
71,19,144,196,bus
70,20,136,203,bus
76,19,136,195,bus
73,19,138,194,bus
73,20,152,206,bus
98,26,164,184,bus
66,19,145,181,bus
72,19,144,188,bus
73,19,143,204,bus
92,25,162,186,bus
68,19,146,185,bus
94,24,161,191,bus
77,21,134,198,bus
106,28,170,181,bus
78,20,134,197,bus
65,19,148,183,bus
68,18,142,203,bus
102,26,167,185,bus
102,28,169,184,bus
62,19,139,209,bus
76,19,140,195,bus
68,19,142,192,bus
69,19,144,182,bus
73,19,147,184,bus
88,23,148,191,bus
84,21,161,199,bus
64,19,142,206,bus
106,28,172,184,bus
86,22,161,195,bus
65,19,150,183,bus
100,27,162,182,bus
68,19,147,185,bus
70,19,142,188,bus
64,19,144,184,bus
68,19,147,183,bus
109,27,169,183,bus
65,19,145,184,bus
72,19,144,187,bus
79,20,130,205,bus
70,18,143,199,bus
66,19,139,191,bus
75,19,131,202,bus
66,19,145,182,bus
104,28,168,184,bus
68,19,143,191,bus
88,22,147,197,bus
68,19,143,184,bus
77,20,150,203,bus
71,19,146,184,bus
66,19,143,182,bus
84,21,152,201,bus
70,19,141,195,bus
74,19,149,189,bus
70,20,153,205,bus
98,24,156,189,bus
66,19,147,182,bus
65,19,141,183,bus
74,19,134,200,bus
84,22,154,195,bus
79,21,158,202,bus
68,19,144,184,bus
70,18,143,203,bus
63,19,147,182,bus
83,22,146,191,bus
68,19,146,191,bus
71,19,147,187,bus
73,19,145,188,bus
106,28,171,182,bus
76,19,143,190,bus
71,19,148,187,bus
70,19,143,189,bus
93,25,159,184,bus
59,19,144,182,bus
79,21,154,199,bus
98,26,168,184,bus
102,26,165,183,bus
74,20,131,202,bus
89,24,153,189,bus
93,24,165,188,bus
74,20,149,200,bus
75,19,136,195,bus
66,19,145,183,bus
82,22,141,196,bus
64,19,146,182,bus
75,20,128,202,bus
105,27,165,182,bus
105,29,174,183,bus
80,21,156,199,bus
68,19,145,184,bus
85,22,146,193,bus
76,19,131,200,bus
64,19,143,182,bus
66,19,140,207,bus
77,21,139,199,bus
76,19,144,201,bus
71,19,146,190,bus
68,19,144,185,bus
73,20,127,204,bus
69,19,145,184,bus
65,19,143,182,bus
84,20,138,201,bus
95,25,158,186,bus
65,19,144,182,bus
66,19,141,182,bus
106,28,169,183,bus
83,21,139,198,bus
75,19,146,194,bus
92,24,159,189,bus
73,19,145,196,bus
72,18,126,192,opel
107,24,154,202,opel
82,19,144,196,opel
100,24,173,195,opel
103,25,177,195,opel
83,21,142,206,opel
69,18,131,190,opel
100,22,150,202,opel
98,22,161,204,opel
82,20,149,208,opel
69,19,143,203,opel
84,20,130,195,opel
66,18,120,207,opel
73,19,133,187,opel
79,20,148,198,opel
101,23,161,204,opel
89,21,135,209,opel
85,20,129,205,opel
69,18,124,191,opel
80,19,135,193,opel
110,25,166,198,opel
105,24,177,195,opel
105,24,162,195,opel
74,18,127,191,opel
90,21,131,198,opel
96,22,156,205,opel
77,19,125,205,opel
107,24,161,206,opel
88,20,133,192,opel
98,24,164,196,opel
96,22,161,200,opel
101,25,177,198,opel
76,20,131,192,opel
78,18,123,202,opel
109,25,163,198,opel
66,19,133,183,opel
105,23,169,196,opel
77,19,134,193,opel
72,19,124,210,opel
69,18,137,209,opel
72,18,125,194,opel
101,25,182,196,opel
58,18,127,184,opel
98,25,167,197,opel
69,18,138,206,opel
100,24,169,193,opel
105,23,152,205,opel
104,24,166,194,opel
94,22,147,197,opel
53,18,128,183,opel
100,22,161,202,opel
103,24,163,201,opel
96,22,161,198,opel
57,18,125,184,opel
74,20,133,204,opel
101,22,151,200,opel
103,23,166,194,opel
76,20,148,196,opel
60,18,131,186,opel
93,21,137,200,opel
75,18,135,190,opel
89,20,132,202,opel
60,18,130,188,opel
103,22,162,198,opel
78,19,127,194,opel
103,24,172,194,opel
64,18,126,188,opel
98,22,161,199,opel
105,23,155,202,opel
101,25,178,195,opel
96,25,172,195,opel
107,24,159,200,opel
84,20,133,190,opel
94,21,155,203,opel
78,19,126,198,opel
101,24,168,197,opel
53,18,128,184,opel
72,19,135,189,opel
51,17,124,184,opel
78,18,138,197,opel
103,25,176,196,opel
100,23,166,198,opel
96,25,175,194,opel
105,24,171,197,opel
75,19,139,198,opel
98,24,166,198,opel
86,21,156,198,opel
75,19,132,187,opel
66,19,131,203,opel
104,24,175,194,opel
91,21,137,200,opel
66,18,136,187,opel
107,23,158,206,opel
96,22,143,197,opel
77,19,127,191,opel
101,23,152,196,opel
98,24,175,193,opel
109,25,165,199,opel
77,20,129,198,opel
98,24,174,198,opel
104,23,163,201,opel
75,19,146,198,opel
108,25,186,198,opel
100,25,178,197,opel
98,24,170,201,opel
92,21,154,206,opel
98,25,171,196,opel
101,23,158,202,opel
82,19,144,193,opel
69,18,122,210,opel
80,20,145,204,opel
69,18,134,200,opel
96,21,158,209,opel
98,24,173,199,opel
96,22,142,204,opel
66,18,128,202,opel
96,23,153,196,opel
104,24,175,193,opel
107,25,178,201,opel
81,20,149,193,opel
98,22,141,194,opel
83,20,147,192,opel
69,18,126,203,opel
42,17,119,183,opel
71,19,143,197,opel
86,20,131,191,opel
80,20,143,199,opel
78,19,125,198,opel
77,19,145,208,opel
53,18,128,184,opel
88,22,159,201,opel
66,18,132,190,opel
103,24,165,196,opel
92,22,148,203,opel
91,24,170,196,opel
108,24,172,201,opel
101,25,177,197,opel
105,24,173,195,opel
66,18,127,187,opel
100,24,175,192,opel
71,19,134,186,opel
96,25,173,196,opel
107,25,174,200,opel
107,25,174,201,opel
101,23,146,194,opel
105,24,163,194,opel
83,21,132,193,opel
104,23,151,193,opel
92,21,140,204,opel
107,23,161,201,opel
105,25,177,196,opel
100,24,173,194,opel
78,20,131,211,opel
77,19,145,189,opel
105,23,163,198,opel
103,23,147,194,opel
107,25,180,198,opel
100,25,188,198,opel
76,20,134,198,opel
101,25,180,196,opel
78,19,141,197,opel
100,23,147,195,opel
75,19,137,188,opel
108,25,178,198,opel
80,19,126,197,opel
93,22,161,195,opel
107,24,167,203,opel
75,19,142,211,opel
91,25,170,198,opel
101,23,164,206,opel
103,23,156,196,opel
63,17,130,201,opel
109,24,162,199,opel
79,20,149,198,opel
101,25,171,198,opel
103,24,162,198,opel
104,23,164,196,opel
72,18,132,198,opel
86,21,153,199,opel
103,23,156,201,opel
83,21,156,194,opel
105,24,173,196,opel
81,20,150,198,opel
105,23,148,202,opel
109,25,176,200,opel
101,23,157,203,opel
104,24,172,195,opel
109,24,174,202,opel
74,20,135,206,opel
83,21,152,201,opel
96,24,173,193,opel
