@relation vehicle

@attribute Praxis_aspect_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Gyration_radius numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
60,128,174,131,66,saab
62,163,232,202,72,saab
60,156,223,188,68,saab
68,169,226,212,68,saab
57,129,154,132,71,saab
64,152,214,178,64,saab
65,136,197,141,67,saab
67,177,226,213,71,saab
70,168,226,228,68,saab
67,129,180,144,69,saab
54,162,220,221,72,saab
55,171,229,214,72,saab
63,144,202,165,66,saab
60,162,220,212,67,saab
58,134,149,158,63,saab
60,128,177,123,61,saab
56,167,226,214,72,saab
60,133,166,121,63,saab
58,134,205,160,68,saab
64,172,226,203,71,saab
62,133,165,173,82,saab
55,125,166,138,71,saab
68,170,223,224,67,saab
59,134,186,129,63,saab
62,155,227,215,72,saab
62,162,208,203,67,saab
60,160,202,178,62,saab
56,140,168,165,72,saab
62,164,216,235,68,saab
58,136,164,178,79,saab
56,149,180,170,69,saab
64,150,219,191,70,saab
64,168,229,200,73,saab
65,156,207,195,65,saab
59,148,184,179,62,saab
68,134,183,134,69,saab
62,139,184,133,61,saab
63,175,229,213,71,saab
61,153,227,200,70,saab
61,157,217,168,64,saab
57,128,169,124,60,saab
58,142,165,158,64,saab
63,168,228,198,69,saab
64,158,224,184,68,saab
57,162,226,190,68,saab
63,134,191,139,67,saab
62,132,200,154,70,saab
69,168,229,214,71,saab
59,124,165,117,61,saab
66,173,224,221,74,saab
55,128,153,145,81,saab
61,134,178,125,63,saab
64,153,188,190,64,saab
55,118,148,118,65,saab
53,118,136,127,83,saab
63,166,218,202,74,saab
63,155,195,197,65,saab
58,121,137,127,70,saab
66,133,181,130,70,saab
56,163,222,222,73,saab
56,123,158,125,63,saab
53,127,158,145,75,saab
64,134,200,149,72,saab
56,141,162,169,61,saab
60,147,222,198,73,saab
65,167,229,216,72,saab
62,139,166,170,74,saab
60,149,180,169,63,saab
63,168,226,201,71,saab
64,158,214,204,65,saab
64,166,229,214,71,saab
64,125,187,139,66,saab
66,165,221,224,68,saab
59,143,175,187,67,saab
66,144,216,175,72,saab
55,168,220,223,73,saab
57,168,224,218,71,saab
71,171,222,223,74,saab
64,172,218,222,74,saab
62,165,229,214,72,saab
67,165,231,222,67,saab
66,151,197,205,66,saab
62,129,174,153,71,saab
58,137,164,164,77,saab
61,128,163,137,63,saab
60,162,207,184,62,saab
58,136,174,140,70,saab
64,171,222,221,73,saab
72,171,232,216,72,saab
66,169,221,216,71,saab
59,144,174,158,61,saab
61,150,189,190,72,saab
68,166,217,218,69,saab
59,129,179,137,70,saab
66,143,218,195,73,saab
61,127,152,141,85,saab
59,132,190,142,67,saab
64,147,180,188,70,saab
58,159,223,186,67,saab
57,174,229,214,70,saab
54,127,148,142,72,saab
57,125,139,128,82,saab
56,159,232,203,71,saab
61,173,225,220,74,saab
61,149,214,186,67,saab
67,162,220,195,68,saab
62,143,200,153,64,saab
59,154,207,165,61,saab
56,147,171,176,79,bus
126,144,237,185,119,bus
57,145,170,186,86,bus
65,138,184,157,76,bus
61,143,170,180,74,bus
69,144,169,184,80,bus
66,129,167,119,65,bus
64,145,175,184,75,bus
70,148,183,171,69,bus
52,160,254,250,82,bus
68,145,181,173,80,bus
69,161,212,221,75,bus
56,145,177,172,82,bus
55,146,167,172,85,bus
56,150,168,177,83,bus
71,150,184,180,69,bus
58,144,166,172,83,bus
51,170,285,261,87,bus
53,141,175,172,85,bus
55,145,166,172,86,bus
75,147,178,192,72,bus
51,165,240,208,81,bus
67,140,171,152,72,bus
67,162,280,262,88,bus
53,147,169,176,81,bus
72,133,175,145,70,bus
55,142,173,173,81,bus
68,146,176,190,74,bus
70,141,167,172,71,bus
61,165,246,231,79,bus
76,136,174,148,72,bus
65,146,170,185,77,bus
66,146,175,189,73,bus
68,148,180,192,71,bus
53,143,169,160,85,bus
55,171,243,229,77,bus
56,175,288,261,85,bus
57,146,169,172,83,bus
54,145,168,174,87,bus
70,146,172,189,71,bus
54,146,173,176,81,bus
51,165,265,247,84,bus
63,147,215,174,73,bus
61,139,197,141,72,bus
56,145,170,186,81,bus
54,145,169,186,81,bus
66,161,227,218,76,bus
54,145,171,176,85,bus
71,154,196,206,71,bus
73,136,181,153,74,bus
103,144,241,188,127,bus
68,124,184,117,71,bus
66,134,167,143,69,bus
62,144,175,174,78,bus
65,146,225,167,79,bus
67,139,169,165,65,bus
72,133,184,127,70,bus
60,146,170,176,81,bus
71,127,171,132,67,bus
73,127,189,125,72,bus
69,131,189,138,70,bus
51,174,285,255,85,bus
64,143,164,173,66,bus
74,148,234,186,79,bus
67,142,164,177,65,bus
72,150,188,182,69,bus
72,145,177,171,76,bus
54,143,170,171,87,bus
64,142,172,158,74,bus
58,145,170,185,84,bus
69,144,170,179,69,bus
65,145,169,168,77,bus
59,152,228,210,77,bus
71,128,180,135,69,bus
69,139,189,163,68,bus
51,172,275,232,83,bus
59,142,177,156,78,bus
67,171,285,260,86,bus
61,143,163,173,68,bus
66,131,193,137,71,bus
57,147,170,188,82,bus
71,145,204,182,71,bus
69,144,181,191,69,bus
66,140,169,159,67,bus
54,153,238,198,78,bus
69,145,203,183,72,bus
65,159,219,205,74,bus
66,144,167,176,72,bus
64,131,168,139,66,bus
60,162,247,209,80,bus
59,168,258,245,80,bus
57,143,173,168,86,bus
57,170,267,242,85,bus
65,144,168,177,73,bus
64,138,175,152,73,bus
71,131,179,143,72,bus
67,144,174,159,78,bus
67,135,169,144,68,bus
75,138,189,161,69,bus
55,146,172,173,83,bus
65,141,168,147,71,bus
53,147,170,178,86,bus
54,140,171,172,85,bus
67,158,206,198,74,bus
72,161,199,198,72,bus
70,147,174,198,80,bus
64,143,179,157,75,bus
53,144,169,172,85,bus
65,143,178,160,76,bus
57,164,256,253,81,bus
54,141,172,174,88,bus
47,166,266,242,85,bus
61,143,173,183,81,bus
75,141,167,178,69,bus
73,146,173,186,75,bus
61,148,177,190,80,bus
68,150,216,200,73,bus
70,153,179,172,68,bus
74,143,179,183,70,bus
65,158,189,194,70,bus
61,149,175,199,77,bus
65,161,231,214,78,bus
59,145,170,173,80,bus
54,147,166,185,81,bus
74,143,180,168,76,bus
64,145,170,185,82,bus
69,143,166,170,69,bus
72,163,267,242,85,bus
74,149,185,191,70,bus
65,143,176,172,66,bus
62,145,172,171,83,bus
56,145,166,171,85,bus
51,171,278,257,83,bus
69,142,169,177,68,bus
53,146,170,190,80,bus
66,134,173,139,70,bus
53,168,275,230,83,bus
55,148,169,176,82,bus
64,169,280,239,85,bus
48,165,269,243,84,bus
64,141,169,171,67,bus
63,156,232,213,77,bus
70,152,184,185,69,bus
64,134,205,148,74,bus
56,144,170,186,84,bus
51,141,169,171,85,bus
58,158,262,217,82,bus
71,138,204,151,72,bus
71,144,178,186,70,bus
61,136,164,141,69,bus
69,139,202,151,72,bus
52,147,174,177,82,bus
74,154,208,209,74,bus
68,143,171,173,78,bus
59,146,167,183,75,bus
68,131,175,135,68,bus
56,149,172,191,81,bus
58,146,171,187,79,bus
62,142,179,164,75,bus
75,143,180,173,77,bus
64,147,171,195,75,bus
74,145,208,154,73,bus
63,135,175,145,72,bus
73,126,184,124,71,bus
66,136,175,154,72,bus
73,157,194,186,72,bus
56,144,170,171,87,bus
60,151,167,179,81,bus
69,137,184,156,68,bus
50,141,169,171,85,bus
68,137,174,151,69,bus
69,130,178,133,66,bus
56,145,166,171,86,bus
49,172,269,239,83,bus
63,145,170,176,71,bus
62,143,176,153,76,bus
57,169,272,268,82,bus
71,152,190,201,70,bus
59,146,172,183,74,bus
62,158,222,219,77,bus
50,169,280,264,85,bus
68,129,199,137,74,bus
60,146,180,178,81,bus
70,145,179,166,67,bus
66,147,166,169,69,bus
52,169,287,261,85,bus
71,159,214,188,75,bus
64,143,169,184,80,bus
65,159,232,214,78,bus
70,127,178,127,69,bus
74,128,188,136,72,bus
68,153,202,171,74,bus
50,147,171,189,88,bus
65,139,173,155,75,bus
64,144,181,177,80,bus
54,144,174,177,87,bus
62,161,216,244,69,opel
54,175,226,221,76,opel
56,143,159,174,68,opel
62,141,208,168,70,opel
60,167,221,197,66,opel
65,165,229,249,72,opel
60,131,189,136,72,opel
62,161,207,204,64,opel
54,144,170,168,68,opel
62,147,202,151,66,opel
74,172,223,218,73,opel
67,163,214,214,68,opel
50,172,227,201,69,opel
63,162,210,210,68,opel
62,123,161,129,66,opel
57,127,160,127,72,opel
65,143,217,166,71,opel
64,159,209,193,66,opel
69,173,226,250,73,opel
57,133,173,153,75,opel
69,133,199,151,74,opel
54,131,155,162,69,opel
67,163,217,226,67,opel
55,128,168,134,64,opel
69,176,231,246,71,opel
66,176,234,236,70,opel
64,153,197,209,67,opel
60,141,174,161,72,opel
53,178,231,217,73,opel
62,138,200,150,66,opel
57,170,220,198,72,opel
62,135,181,132,63,opel
59,173,219,219,75,opel
53,173,219,201,76,opel
57,122,158,120,62,opel
58,175,221,222,75,opel
56,124,141,121,78,opel
57,126,154,128,66,opel
71,153,226,197,71,opel
68,170,222,214,68,opel
53,132,145,123,65,opel
59,132,190,148,67,opel
62,131,182,117,62,opel
58,127,152,145,87,opel
57,170,231,217,75,opel
62,158,222,168,65,opel
70,163,238,206,73,opel
63,167,228,214,71,opel
56,124,135,135,84,opel
59,130,145,139,79,opel
64,155,212,162,64,opel
57,162,219,184,66,opel
60,125,172,137,67,opel
67,151,227,202,74,opel
66,163,222,212,66,opel
55,166,219,215,73,opel
55,135,172,144,76,opel
59,131,169,123,64,opel
56,171,219,223,72,opel
65,146,219,199,73,opel
62,154,200,171,64,opel
65,156,232,218,72,opel
56,143,170,168,63,opel
58,128,147,148,83,opel
56,131,151,142,80,opel
70,182,234,207,72,opel
55,136,154,165,74,opel
68,154,232,204,70,opel
63,155,200,189,64,opel
56,124,147,133,70,opel
61,178,228,204,74,opel
53,174,228,223,72,opel
55,125,142,132,81,opel
67,174,230,226,67,opel
68,165,241,207,73,opel
59,128,152,146,87,opel
58,149,181,164,61,opel
54,128,135,147,82,opel
53,163,226,204,74,opel
71,164,228,199,71,opel
59,173,217,218,72,opel
61,132,199,157,71,opel
62,131,194,147,74,opel
59,133,178,130,63,opel
57,162,217,189,66,opel
62,178,231,204,73,opel
62,125,174,126,63,opel
58,137,155,151,61,opel
59,128,162,120,64,opel
62,148,202,159,64,opel
65,182,225,216,71,opel
70,177,237,218,75,opel
54,173,219,218,75,opel
55,134,167,165,80,opel
59,146,182,188,65,opel
57,127,148,139,76,opel
62,158,215,164,66,opel
62,137,196,151,67,opel
56,120,151,114,62,opel
62,135,158,162,72,opel
61,134,196,145,71,opel
63,142,202,139,65,opel
62,166,222,241,70,opel
68,148,223,201,69,opel
63,156,202,176,62,opel
59,145,181,172,75,opel
54,134,174,139,71,opel
64,174,221,199,67,opel
67,147,224,194,70,opel
56,125,144,123,70,opel
64,150,193,182,70,opel
59,141,182,174,68,opel
72,177,223,218,72,opel
69,176,228,219,73,opel
59,152,195,196,67,opel
52,164,217,193,69,opel
54,188,223,213,72,opel
56,137,170,156,76,opel
58,122,132,138,74,opel
64,173,225,216,72,opel
67,170,223,196,74,opel
64,149,183,178,67,opel
58,138,165,151,64,opel
57,149,187,197,72,opel
59,134,147,144,64,opel
70,141,214,178,71,opel
60,142,174,160,62,opel
64,157,214,186,65,opel
60,148,184,186,69,opel
55,138,161,158,67,opel
57,161,224,172,67,opel
61,150,207,161,65,opel
54,172,220,187,68,opel
68,171,228,210,69,opel
66,151,208,169,66,opel
59,177,221,223,74,opel
66,143,189,180,66,opel
62,124,169,125,62,opel
65,166,227,246,74,opel
65,141,199,149,67,opel
62,180,225,213,71,opel
64,164,219,192,65,opel
64,152,212,159,65,opel
55,130,137,144,64,opel
62,175,217,219,73,opel
56,174,225,200,70,opel
60,160,222,187,67,opel
57,119,131,121,87,opel
65,147,231,189,72,opel
57,177,225,204,71,opel
59,161,210,195,64,opel
52,133,170,163,87,opel
65,156,207,210,71,opel
63,156,203,201,67,opel
60,173,225,214,72,opel
68,178,228,213,74,opel
68,169,221,216,71,opel
63,180,234,205,72,opel
68,162,222,224,73,opel
60,147,197,201,73,opel
61,179,234,212,72,opel
53,135,165,144,77,opel
67,161,214,240,72,opel
55,130,196,155,69,opel
63,142,199,138,65,opel
69,147,220,200,73,opel
59,134,176,133,73,opel
69,178,231,216,74,opel
61,127,166,142,69,opel
67,156,215,174,69,opel
67,162,238,206,72,opel
64,126,182,142,66,opel
59,161,206,205,67,opel
63,140,197,136,63,opel
59,126,179,136,69,opel
63,161,214,185,64,opel
74,175,224,223,74,opel
53,166,235,218,74,opel
59,126,152,135,76,opel
56,130,148,141,75,opel
62,132,144,139,70,opel
54,127,179,145,71,opel
56,126,163,130,72,opel
56,175,231,216,74,opel
60,131,209,145,71,opel
59,145,175,177,64,opel
63,161,208,235,68,opel
54,159,214,183,66,opel
65,137,202,153,66,opel
62,145,188,178,65,opel
70,168,236,245,72,opel
