@relation vehicle

@attribute Compactness numeric
@attribute Radius_ratio numeric
@attribute Praxis_aspect_ratio numeric
@attribute Max_length_aspect_ratio numeric
@attribute Scatter_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
93,117,49,7,131,van
91,148,61,9,147,van
100,164,64,11,163,van
89,163,66,11,159,van
96,117,51,6,133,van
86,150,63,8,138,van
89,135,59,9,157,van
94,127,54,7,127,van
87,116,54,6,115,van
92,111,48,7,139,van
88,147,62,8,146,van
85,121,53,9,157,van
82,250,105,55,139,van
89,150,63,11,160,van
94,162,64,10,156,van
93,159,63,9,144,van
96,174,68,10,155,van
100,172,67,9,157,van
94,175,70,12,157,van
96,169,67,10,154,van
87,162,68,10,146,van
89,109,52,6,118,van
84,121,59,5,123,van
85,119,52,5,128,van
93,162,64,8,137,van
101,191,60,11,175,saab
84,150,59,5,152,saab
110,191,57,12,213,saab
107,182,56,11,213,saab
102,214,64,10,201,saab
94,169,60,8,158,saab
107,201,62,12,218,saab
105,195,61,10,198,saab
107,231,71,11,219,saab
109,205,63,11,222,saab
105,215,68,10,208,saab
94,179,60,7,170,saab
82,134,63,7,135,saab
91,176,59,9,163,saab
101,194,60,10,195,saab
90,171,58,9,157,saab
78,115,51,6,142,saab
101,197,62,9,188,saab
88,130,58,5,125,saab
103,194,60,10,185,saab
117,228,65,12,212,saab
104,222,68,11,218,saab
82,117,53,7,125,saab
86,140,62,7,150,saab
98,192,63,9,177,saab
96,201,66,9,192,saab
95,208,64,10,187,saab
86,135,56,5,133,saab
84,141,54,7,149,saab
89,169,59,7,161,saab
101,201,59,11,214,saab
109,206,64,9,198,saab
104,201,66,10,214,saab
91,136,53,6,144,saab
106,176,54,10,216,saab
109,193,59,10,207,saab
104,211,65,10,187,saab
100,189,59,10,208,saab
107,213,64,12,206,saab
108,206,63,10,196,saab
84,122,57,4,116,saab
98,203,66,10,188,saab
112,197,58,11,208,saab
97,184,59,9,175,saab
101,228,69,12,215,saab
100,184,60,9,197,saab
102,221,68,11,207,saab
86,138,59,4,137,saab
104,191,59,9,197,saab
105,184,57,11,211,saab
103,174,56,11,210,saab
93,177,64,7,160,saab
105,201,62,11,220,saab
99,195,63,8,186,saab
91,142,56,7,149,saab
97,175,60,9,157,saab
111,199,60,11,211,saab
88,137,60,5,148,saab
97,195,63,9,185,saab
109,220,66,11,214,saab
90,172,59,8,154,saab
92,180,67,8,154,saab
83,119,57,6,128,saab
98,192,61,9,178,saab
86,175,60,9,170,saab
95,202,65,10,193,saab
97,219,71,9,211,saab
97,202,66,9,188,saab
95,176,59,7,168,saab
93,200,66,7,173,saab
102,213,67,12,222,saab
109,221,69,12,221,saab
85,136,58,6,142,saab
110,223,66,10,211,saab
89,189,64,8,169,saab
89,151,62,6,144,saab
90,171,60,8,157,saab
107,228,68,12,218,saab
106,211,64,9,208,saab
96,215,67,9,187,saab
106,202,61,10,207,saab
94,186,62,9,169,saab
108,200,62,10,206,saab
100,206,65,10,198,saab
108,181,56,11,220,saab
108,182,55,12,216,saab
108,204,61,11,212,saab
106,222,67,12,222,saab
98,213,67,9,206,saab
105,220,69,10,221,saab
86,146,58,7,135,saab
88,132,62,6,135,saab
91,133,55,7,146,saab
116,231,67,12,217,saab
109,199,60,12,215,saab
107,210,66,11,218,saab
92,167,60,7,158,saab
91,170,60,8,172,saab
104,186,61,10,216,saab
107,213,68,11,219,saab
102,217,67,10,204,saab
104,209,61,11,207,saab
89,156,59,8,153,saab
79,120,55,5,142,saab
80,129,55,7,146,saab
98,203,65,9,197,saab
113,208,62,9,203,saab
90,187,63,7,176,saab
87,152,58,6,151,saab
112,186,56,11,214,saab
110,201,64,11,213,saab
87,123,53,8,137,saab
105,234,70,12,215,saab
85,132,54,7,147,saab
93,183,63,8,164,saab
91,189,63,9,175,saab
98,202,59,11,199,saab
104,209,66,10,207,saab
119,220,65,12,213,saab
113,197,62,11,216,saab
94,161,59,7,152,saab
106,207,64,12,221,saab
95,171,61,9,157,saab
108,202,64,10,220,saab
105,206,63,12,222,saab
90,188,61,10,181,saab
91,166,60,8,160,saab
110,197,61,9,193,saab
90,184,64,6,160,saab
93,197,62,11,183,saab
89,169,61,8,164,saab
96,187,68,8,159,saab
88,151,58,8,140,saab
87,132,57,6,128,saab
88,155,56,8,154,saab
109,225,68,11,214,saab
87,140,58,6,148,saab
98,191,64,9,166,saab
85,137,56,7,152,saab
85,104,53,4,115,saab
90,181,62,8,175,saab
89,119,53,5,134,saab
107,211,63,11,219,saab
104,197,64,11,213,saab
86,148,61,5,150,saab
89,147,54,8,144,saab
96,170,58,7,174,saab
83,118,55,4,129,saab
104,168,54,10,208,saab
93,146,58,7,128,saab
100,197,62,10,180,saab
111,211,61,11,207,saab
103,209,66,10,203,saab
97,186,59,9,186,saab
115,203,62,10,217,saab
95,208,66,9,191,saab
93,144,56,6,133,saab
100,190,60,10,171,saab
89,161,62,7,149,saab
90,130,57,6,121,saab
91,192,64,9,177,saab
107,203,65,11,218,saab
85,115,57,3,112,saab
89,121,57,4,122,saab
82,126,54,7,132,saab
93,183,64,8,169,saab
104,206,61,11,217,saab
85,127,58,6,116,saab
82,114,53,4,135,saab
115,205,64,11,220,saab
90,160,59,7,163,saab
84,136,55,6,140,saab
99,219,66,11,204,saab
92,154,56,6,160,saab
104,199,65,11,213,saab
89,174,58,8,177,saab
92,174,66,7,154,saab
100,187,61,9,166,saab
92,165,57,8,153,saab
93,209,69,8,183,saab
86,165,60,7,150,saab
115,201,60,12,196,saab
104,193,59,11,217,saab
101,195,61,10,198,saab
108,234,73,10,221,saab
108,189,57,11,220,saab
86,133,56,6,136,saab
89,188,64,9,161,saab
103,172,55,10,212,saab
96,153,56,7,141,saab
105,197,60,11,191,saab
91,157,56,7,155,saab
106,193,60,10,215,saab
98,191,65,8,169,saab
109,210,63,11,219,saab
91,185,75,7,154,bus
105,173,54,4,222,bus
83,152,64,7,149,bus
85,123,55,7,150,bus
89,188,76,7,150,bus
97,203,73,7,178,bus
105,160,51,7,217,bus
80,133,60,7,150,bus
83,137,59,6,148,bus
87,127,56,8,149,bus
99,188,62,5,203,bus
87,158,64,7,151,bus
86,122,56,7,148,bus
94,216,74,6,184,bus
87,179,75,6,146,bus
86,165,68,6,154,bus
88,166,66,7,148,bus
94,193,72,6,158,bus
106,161,47,4,247,bus
84,123,54,8,151,bus
93,174,68,7,151,bus
79,141,62,8,153,bus
92,191,71,6,161,bus
84,153,64,6,154,bus
99,199,68,6,185,bus
93,180,65,7,173,bus
87,165,67,7,148,bus
110,199,57,5,251,bus
86,170,70,6,146,bus
80,128,56,7,151,bus
93,201,69,7,184,bus
109,191,57,6,241,bus
85,120,53,7,149,bus
100,185,70,7,162,bus
96,183,70,6,149,bus
89,162,66,5,153,bus
114,181,52,6,257,bus
90,185,69,6,160,bus
104,168,54,4,212,bus
99,226,74,5,202,bus
88,173,68,7,150,bus
107,172,50,6,255,bus
107,167,49,7,252,bus
100,206,70,6,183,bus
86,155,66,7,146,bus
92,180,71,6,152,bus
85,128,56,8,151,bus
80,120,54,8,150,bus
87,159,66,6,151,bus
86,125,54,7,150,bus
85,132,58,7,149,bus
81,120,53,6,151,bus
84,148,64,6,146,bus
90,164,64,7,151,bus
87,169,72,7,152,bus
79,141,61,7,153,bus
96,202,74,5,163,bus
91,209,75,6,171,bus
82,150,69,5,148,bus
88,186,73,6,158,bus
96,194,70,6,167,bus
83,156,67,7,150,bus
100,209,68,7,199,bus
100,205,71,5,176,bus
82,123,54,7,151,bus
86,116,53,6,152,bus
88,151,61,8,143,bus
99,197,69,6,177,bus
101,194,65,6,204,bus
106,154,47,4,237,bus
104,208,66,5,208,bus
85,125,58,6,148,bus
93,205,71,7,176,bus
100,197,67,6,186,bus
81,137,60,7,152,bus
92,184,70,6,154,bus
99,184,66,6,164,bus
106,164,48,5,247,bus
84,154,65,6,145,bus
98,192,69,5,166,bus
85,122,54,6,148,bus
87,165,66,6,145,bus
84,128,55,8,150,bus
96,161,55,5,186,bus
101,185,53,6,257,bus
86,152,62,7,150,bus
91,171,69,7,150,bus
95,198,69,6,177,bus
85,121,55,7,149,bus
98,207,72,7,184,bus
97,173,65,6,153,bus
98,207,69,5,192,bus
94,186,72,8,153,bus
95,191,73,6,156,bus
110,180,51,6,261,bus
85,155,65,22,149,bus
81,125,55,8,149,bus
97,188,68,6,171,bus
107,184,55,7,234,bus
106,227,67,4,250,bus
86,119,53,8,150,bus
100,199,65,6,201,bus
85,120,54,5,148,bus
98,199,71,7,166,bus
82,154,65,7,151,bus
90,169,68,7,150,bus
85,130,57,6,151,bus
86,129,56,6,152,bus
94,170,67,6,142,bus
82,118,52,7,152,bus
83,166,69,5,143,bus
97,183,60,7,197,bus
102,198,65,5,194,bus
82,158,68,7,151,bus
89,158,64,6,141,bus
80,135,59,8,150,bus
85,123,56,6,148,bus
85,120,53,7,149,bus
81,130,56,7,153,bus
89,148,62,7,147,bus
89,155,63,7,146,bus
88,165,70,7,144,bus
84,156,64,7,151,bus
101,175,67,6,149,bus
94,203,71,5,174,bus
99,203,65,5,209,bus
109,189,58,4,227,bus
94,184,72,8,155,bus
85,120,54,7,149,bus
86,130,56,7,152,bus
81,139,62,7,149,bus
83,156,70,6,151,bus
95,159,64,6,145,bus
94,173,69,7,150,bus
83,155,65,7,144,bus
86,126,56,6,148,bus
94,213,71,5,186,bus
86,123,54,6,150,bus
102,193,64,6,192,bus
98,171,61,6,172,bus
85,128,56,8,150,bus
96,199,74,5,165,bus
81,125,57,8,149,bus
97,173,66,7,151,bus
89,183,73,7,157,bus
87,159,65,5,155,bus
108,177,51,5,256,bus
82,150,64,7,154,bus
82,139,64,6,147,bus
81,146,64,6,151,bus
88,171,68,6,152,bus
95,195,70,7,167,bus
88,177,74,19,152,bus
91,171,67,7,149,bus
86,140,64,6,148,bus
81,139,60,6,153,bus
87,148,61,7,143,bus
80,120,53,8,151,bus
96,190,70,7,155,bus
78,147,65,8,147,bus
87,116,51,6,150,bus
85,130,56,7,150,bus
83,139,59,6,150,bus
106,235,67,6,262,bus
90,126,55,7,152,bus
111,183,51,6,265,bus
98,219,74,7,190,bus
82,155,64,7,148,bus
102,201,61,6,225,bus
94,186,71,7,154,bus
86,126,57,8,148,bus
108,246,75,6,239,bus
85,121,54,7,150,bus
100,204,63,6,218,bus
83,144,61,8,147,bus
96,204,72,6,167,bus
80,123,53,7,150,bus
87,124,56,6,149,bus
92,187,74,7,157,bus
98,186,68,6,164,bus
109,169,51,6,241,bus
96,177,64,5,177,bus
82,154,68,7,150,bus
113,194,56,6,260,bus
105,207,71,6,195,bus
101,188,57,7,236,bus
110,223,64,5,250,bus
107,179,51,8,257,bus
85,141,62,7,152,bus
87,139,59,7,149,bus
94,179,69,6,156,bus
81,148,64,7,150,bus
85,130,58,8,151,bus
82,252,126,52,148,bus
107,199,59,7,240,bus
91,169,66,7,145,bus
81,154,69,22,151,bus
92,158,56,7,149,opel
99,206,62,13,222,opel
92,204,67,9,189,opel
86,129,55,7,135,opel
104,230,67,12,218,opel
106,196,60,12,221,opel
82,125,59,5,133,opel
90,145,55,7,138,opel
91,195,63,8,177,opel
82,141,57,8,153,opel
73,111,54,6,126,opel
86,155,60,7,152,opel
101,212,68,10,209,opel
100,209,65,8,201,opel
106,201,61,10,181,opel
99,177,54,13,224,opel
93,140,56,7,130,opel
98,168,53,11,224,opel
102,213,64,10,203,opel
97,210,66,8,192,opel
89,136,54,6,149,opel
103,194,62,11,212,opel
98,195,61,11,207,opel
99,204,64,10,185,opel
89,142,57,7,135,opel
95,193,62,10,178,opel
106,203,63,11,220,opel
87,164,60,8,156,opel
96,201,65,9,204,opel
105,195,61,9,193,opel
103,218,64,12,222,opel
97,183,64,8,168,opel
94,158,55,9,169,opel
90,169,62,7,162,opel
86,144,54,7,154,opel
88,156,56,7,163,opel
90,179,64,8,157,opel
100,193,62,8,186,opel
106,194,57,11,214,opel
109,197,59,10,192,opel
90,178,61,8,178,opel
97,197,63,11,215,opel
85,127,56,7,127,opel
96,177,59,8,171,opel
91,197,65,9,183,opel
95,214,67,9,205,opel
101,204,62,12,227,opel
107,202,61,11,221,opel
92,170,58,8,165,opel
101,215,69,10,208,opel
88,160,62,6,140,opel
107,197,62,10,188,opel
97,211,65,10,214,opel
103,212,63,9,193,opel
103,189,56,11,223,opel
104,172,53,10,219,opel
88,146,59,7,130,opel
101,212,67,10,201,opel
104,209,67,11,218,opel
80,116,55,6,125,opel
101,184,54,12,216,opel
84,138,62,6,126,opel
93,164,59,7,159,opel
87,211,70,10,189,opel
101,183,57,13,225,opel
103,185,59,11,216,opel
102,190,58,10,222,opel
85,151,59,8,150,opel
100,230,70,11,226,opel
85,149,55,7,147,opel
97,209,67,10,195,opel
94,194,62,9,172,opel
95,197,65,9,178,opel
88,194,69,8,168,opel
86,146,62,6,140,opel
101,200,61,11,225,opel
80,127,56,7,128,opel
106,211,62,8,200,opel
88,145,56,8,142,opel
83,127,54,5,135,opel
78,116,56,6,123,opel
85,130,55,7,122,opel
91,159,59,7,147,opel
89,141,56,7,138,opel
96,161,54,10,215,opel
100,163,52,10,206,opel
97,198,63,9,181,opel
108,230,68,11,218,opel
84,131,55,7,150,opel
103,204,62,12,200,opel
89,191,66,6,162,opel
101,168,55,11,214,opel
97,227,70,11,224,opel
92,178,62,9,161,opel
93,188,62,10,183,opel
100,224,67,9,217,opel
92,191,62,8,176,opel
102,225,71,10,214,opel
103,179,54,12,208,opel
99,209,64,11,197,opel
84,138,57,8,139,opel
101,162,53,10,212,opel
86,128,57,8,131,opel
84,128,56,5,132,opel
88,183,62,7,176,opel
101,222,68,10,208,opel
103,232,71,10,205,opel
86,149,57,8,156,opel
93,165,60,7,167,opel
95,186,62,7,164,opel
104,216,68,11,205,opel
80,110,57,3,114,opel
98,186,59,10,213,opel
80,122,56,6,139,opel
81,123,58,6,134,opel
109,186,57,11,206,opel
97,212,64,11,201,opel
89,143,56,7,146,opel
97,181,62,8,161,opel
106,192,58,11,217,opel
103,179,57,11,220,opel
94,169,59,7,162,opel
98,219,69,11,225,opel
105,185,57,10,219,opel
89,153,61,7,146,opel
92,153,58,8,140,opel
88,121,58,5,114,opel
84,180,60,7,177,opel
91,154,57,6,150,opel
97,197,63,10,179,opel
104,230,69,11,219,opel
93,154,59,6,142,opel
102,193,57,10,212,opel
99,177,55,10,210,opel
88,167,59,6,151,opel
92,172,60,8,147,opel
88,152,57,5,138,opel
101,182,59,10,215,opel
100,207,63,11,227,opel
96,175,58,10,215,opel
108,197,60,11,211,opel
104,223,70,10,223,opel
89,140,55,6,145,opel
104,206,62,10,198,opel
97,169,60,8,161,opel
77,144,59,6,147,opel
86,176,59,9,169,opel
102,197,63,10,185,opel
87,177,61,8,164,opel
105,213,67,10,200,opel
95,202,65,10,189,opel
100,189,57,10,222,opel
104,188,59,9,188,opel
103,211,65,11,212,opel
106,224,68,11,215,opel
100,206,63,9,186,opel
89,156,57,8,161,opel
80,130,59,8,134,opel
107,186,57,11,214,opel
96,215,69,10,200,opel
101,203,63,9,195,opel
79,133,55,7,147,opel
103,194,63,9,175,opel
111,171,50,11,221,opel
78,116,56,4,120,opel
104,222,72,12,221,opel
99,199,62,9,200,opel
94,181,62,8,167,opel
82,140,54,7,153,opel
109,215,62,10,205,opel
105,181,56,9,219,opel
85,130,53,9,134,opel
77,135,59,5,130,opel
99,219,68,10,224,opel
102,167,53,10,217,opel
100,225,68,10,222,opel
107,221,66,11,209,opel
102,177,56,10,219,opel
92,176,64,8,162,opel
98,228,70,9,210,opel
91,172,61,8,167,opel
91,199,65,9,196,opel
85,158,59,8,153,opel
87,153,59,7,154,opel
95,219,68,9,201,opel
107,218,64,11,202,opel
96,222,67,9,198,opel
85,121,52,4,152,opel
91,196,62,9,193,opel
89,172,62,8,157,opel
