@relation vehicle

@attribute Distance_circularity numeric
@attribute Scatter_ratio numeric
@attribute Minor_variance numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
101,217,698,72,187,saab
80,144,308,74,185,saab
108,219,704,69,190,saab
106,213,675,66,192,saab
79,163,404,62,199,saab
90,177,472,65,193,saab
98,185,508,70,189,saab
78,174,455,68,191,saab
90,175,460,68,192,saab
69,141,297,61,202,saab
83,169,426,67,192,saab
100,196,573,62,198,saab
66,123,224,65,196,saab
76,157,370,63,198,saab
103,219,707,71,188,saab
98,215,681,73,188,saab
72,149,327,72,186,saab
100,216,686,74,185,saab
78,153,349,60,203,saab
105,187,520,64,198,saab
77,158,373,67,193,saab
103,214,677,70,188,saab
78,169,430,67,192,saab
72,132,260,68,191,saab
50,115,193,83,179,saab
104,211,658,74,186,saab
69,152,349,67,193,saab
105,202,608,68,190,saab
85,175,458,62,197,saab
86,167,418,63,197,saab
80,161,389,68,192,saab
96,198,586,70,190,saab
89,175,458,70,189,saab
77,155,361,65,195,saab
92,180,489,64,195,saab
102,198,587,72,187,saab
58,148,319,86,180,saab
103,211,663,68,190,saab
76,164,405,67,192,saab
95,188,526,72,190,saab
69,140,291,66,193,saab
63,125,230,74,184,saab
93,216,688,72,188,saab
89,177,471,70,189,saab
104,201,604,73,188,saab
98,218,696,72,187,saab
105,221,713,70,186,saab
109,207,635,70,191,saab
109,212,665,71,190,saab
66,140,298,61,201,saab
101,213,664,74,188,saab
94,187,525,67,193,saab
96,187,527,65,195,saab
85,160,385,66,195,saab
96,188,533,68,191,saab
54,135,271,85,180,saab
105,211,661,71,186,saab
103,222,720,71,187,saab
100,181,486,68,192,saab
105,198,578,66,192,saab
54,134,266,79,184,saab
108,220,707,71,189,saab
105,210,650,73,187,saab
112,214,667,65,190,saab
71,154,355,70,189,saab
83,142,298,63,193,saab
108,220,711,72,189,saab
109,214,675,68,189,saab
87,169,422,72,188,saab
90,178,480,61,199,saab
103,221,718,73,187,saab
76,159,381,69,190,saab
98,177,465,66,195,saab
110,212,668,66,194,saab
104,206,629,72,187,saab
77,149,327,71,188,saab
104,208,639,67,191,saab
52,122,220,82,181,saab
66,137,279,74,186,saab
100,220,710,71,189,saab
60,128,243,71,186,saab
96,185,512,66,191,saab
100,214,680,74,185,saab
95,193,559,71,188,saab
109,199,586,61,194,saab
101,186,511,67,194,saab
106,212,660,73,187,saab
104,204,621,68,188,saab
83,164,402,72,187,saab
71,137,277,75,181,saab
72,150,334,63,196,saab
103,213,673,72,188,saab
101,192,552,73,189,saab
104,211,659,67,190,saab
81,166,415,63,198,saab
66,148,318,79,181,saab
108,217,694,72,190,saab
109,221,712,72,188,saab
83,149,327,74,185,saab
81,168,425,67,191,saab
105,204,623,68,191,saab
107,207,635,70,190,saab
55,142,295,81,180,saab
83,160,383,72,186,saab
77,150,331,66,196,saab
89,186,521,68,191,saab
103,208,648,71,189,saab
104,215,691,67,189,saab
82,153,351,70,187,saab
75,144,305,69,186,saab
88,171,440,59,201,saab
108,206,627,65,194,saab
101,188,527,67,193,saab
98,216,691,74,187,saab
100,193,561,65,194,saab
88,175,457,69,191,saab
85,163,396,71,186,saab
105,201,600,64,192,saab
101,222,721,70,187,saab
75,147,318,75,183,saab
110,217,692,67,192,saab
59,135,264,82,179,saab
101,213,669,74,187,saab
83,160,382,71,186,saab
90,181,492,69,191,saab
76,149,335,69,189,saab
77,152,344,77,183,saab
102,213,669,73,188,saab
98,183,505,64,195,saab
63,133,262,70,187,saab
104,208,642,70,187,saab
106,208,645,68,190,saab
108,215,687,68,189,saab
54,128,238,82,179,saab
86,170,433,68,191,saab
62,150,330,82,180,saab
80,157,373,60,201,saab
110,214,676,71,191,saab
96,218,694,71,187,saab
66,148,323,84,180,bus
73,151,341,73,190,bus
64,150,344,68,199,bus
95,199,605,73,192,bus
79,185,524,74,195,bus
66,152,340,81,181,bus
76,150,342,72,193,bus
68,149,323,83,179,bus
75,161,393,69,195,bus
73,148,327,75,185,bus
70,148,324,84,180,bus
73,151,334,82,180,bus
66,149,330,75,184,bus
93,222,735,83,186,bus
79,160,393,66,198,bus
68,151,333,86,179,bus
80,183,517,73,198,bus
65,151,332,81,179,bus
65,150,325,82,179,bus
103,236,816,82,183,bus
88,192,563,73,194,bus
74,149,341,69,201,bus
70,153,361,67,199,bus
98,240,866,80,186,bus
66,150,324,87,179,bus
68,150,329,85,179,bus
70,146,326,69,194,bus
70,143,307,69,192,bus
68,142,310,65,198,bus
77,167,429,69,199,bus
72,147,317,81,181,bus
70,151,332,81,181,bus
106,257,954,83,181,bus
73,154,362,67,197,bus
71,151,337,79,181,bus
66,148,317,88,180,bus
66,148,320,87,179,bus
102,234,822,77,187,bus
63,151,329,81,179,bus
68,150,336,74,185,bus
84,184,520,72,196,bus
66,151,333,86,180,bus
70,143,311,68,196,bus
74,163,408,70,196,bus
66,145,325,67,201,bus
73,167,430,69,200,bus
70,141,299,66,193,bus
73,150,341,69,196,bus
86,192,570,75,194,bus
77,177,485,72,198,bus
85,192,570,76,195,bus
83,194,576,79,193,bus
68,146,317,75,183,bus
73,151,347,68,196,bus
68,151,333,80,180,bus
72,144,312,69,191,bus
71,151,343,73,186,bus
76,152,350,72,195,bus
75,154,356,74,188,bus
74,145,318,70,195,bus
71,146,322,72,189,bus
92,209,671,78,191,bus
68,147,320,80,181,bus
88,197,596,74,192,bus
74,153,349,77,183,bus
80,195,579,75,194,bus
66,148,321,86,179,bus
68,151,336,75,183,bus
75,171,450,74,197,bus
63,152,336,81,180,bus
70,164,413,71,200,bus
78,158,379,73,193,bus
68,155,372,67,202,bus
106,261,998,83,181,bus
81,169,434,68,198,bus
76,157,373,74,191,bus
70,151,346,65,201,bus
76,155,362,76,189,bus
70,147,319,77,181,bus
65,152,335,85,179,bus
70,148,328,72,187,bus
70,143,306,69,188,bus
62,149,341,65,202,bus
65,149,322,85,180,bus
71,150,336,71,192,bus
68,151,335,88,180,bus
69,150,325,87,180,bus
75,153,352,72,188,bus
66,150,333,78,182,bus
76,148,327,72,188,bus
84,184,525,73,196,bus
101,238,844,85,184,bus
74,157,375,70,195,bus
66,145,312,73,184,bus
76,155,359,77,185,bus
98,237,838,82,185,bus
89,212,682,78,190,bus
76,149,332,68,192,bus
84,176,476,70,198,bus
68,150,327,81,179,bus
75,176,479,72,197,bus
73,149,335,71,189,bus
96,241,857,85,184,bus
74,164,414,71,200,bus
75,154,354,75,185,bus
71,153,347,80,182,bus
86,184,523,72,194,bus
102,241,870,84,184,bus
70,155,371,71,202,bus
64,148,319,87,179,bus
71,146,321,71,187,bus
66,149,321,85,180,bus
71,151,338,80,181,bus
68,150,329,80,180,bus
70,149,327,78,185,bus
68,150,328,88,179,bus
73,151,337,80,183,bus
91,204,636,78,192,bus
104,257,956,83,180,bus
72,154,350,80,183,bus
69,152,341,84,181,bus
68,150,337,75,188,bus
77,172,457,72,199,bus
70,152,341,76,184,bus
77,177,485,74,196,bus
73,162,401,72,200,bus
70,148,322,82,181,bus
106,255,957,85,181,bus
69,151,340,75,183,bus
76,150,340,69,195,bus
68,148,322,80,181,bus
72,152,340,82,180,bus
95,227,776,82,187,bus
102,257,968,85,182,bus
64,149,323,85,179,bus
70,162,406,68,200,bus
103,252,904,83,179,bus
94,208,666,76,193,bus
105,247,891,84,181,bus
75,151,345,66,195,bus
68,150,330,80,182,bus
105,265,1018,85,181,bus
103,250,928,85,184,bus
89,201,622,74,193,bus
92,220,731,80,188,bus
91,202,629,79,192,bus
72,153,344,78,182,bus
72,161,399,70,196,bus
64,150,324,82,180,bus
66,148,319,85,179,bus
66,149,325,85,180,bus
98,213,680,77,188,bus
81,186,531,74,197,bus
75,154,363,71,198,bus
102,239,855,82,186,bus
59,149,320,83,179,bus
65,152,331,83,178,bus
77,166,422,69,200,bus
71,150,330,81,180,bus
83,177,484,68,196,bus
70,149,325,127,180,bus
73,151,341,76,185,bus
66,148,326,119,181,bus
70,144,309,71,188,bus
63,149,320,86,179,bus
66,150,326,83,180,bus
79,173,463,70,197,bus
109,260,982,85,182,bus
73,156,374,71,199,bus
65,150,327,85,180,bus
72,153,347,81,182,bus
84,190,558,74,195,bus
68,149,323,83,180,bus
65,149,321,87,179,bus
82,186,534,75,195,bus
70,148,317,86,179,bus
74,152,349,71,189,bus
106,236,833,81,185,bus
72,156,373,69,193,bus
70,151,334,79,181,bus
88,203,625,77,191,bus
70,149,331,77,183,bus
76,178,487,72,197,bus
72,146,321,72,192,bus
65,152,332,85,179,bus
103,247,892,85,181,bus
106,256,966,87,182,bus
74,165,419,72,196,bus
71,149,331,74,184,bus
93,217,703,81,188,bus
109,251,928,82,183,bus
60,150,324,85,178,bus
76,151,339,75,187,bus
75,155,365,70,192,bus
68,152,333,81,179,bus
107,262,987,86,180,bus
98,219,706,72,186,opel
83,175,455,65,197,opel
98,215,683,76,185,opel
69,130,252,64,193,opel
82,149,332,68,188,opel
96,221,717,72,186,opel
109,221,725,70,188,opel
105,218,706,73,187,opel
96,181,494,62,202,opel
69,132,260,61,203,opel
86,177,471,67,192,opel
94,181,494,64,199,opel
75,140,290,72,183,opel
51,120,209,84,177,opel
103,212,673,72,188,opel
100,224,726,72,185,opel
75,145,312,71,191,opel
53,126,227,82,176,opel
85,164,402,63,198,opel
98,220,710,71,188,opel
82,156,366,70,190,opel
50,114,192,74,182,opel
89,172,444,63,201,opel
84,169,430,69,190,opel
93,183,504,66,193,opel
103,219,716,71,187,opel
96,188,530,67,193,opel
103,201,601,69,189,opel
76,161,391,72,188,opel
101,224,737,74,187,opel
74,161,388,63,197,opel
91,176,466,67,192,opel
60,123,221,78,178,opel
107,208,644,66,191,opel
103,221,727,69,190,opel
98,214,682,71,187,opel
104,215,682,75,186,opel
79,162,396,67,191,opel
98,217,693,71,188,opel
74,139,282,72,183,opel
110,219,711,74,188,opel
86,177,473,67,192,opel
96,190,543,68,191,opel
101,196,574,73,186,opel
71,142,296,68,188,opel
93,186,521,66,193,opel
100,216,684,75,186,opel
80,153,348,69,191,opel
78,147,321,64,197,opel
80,164,406,65,199,opel
53,133,259,87,177,opel
60,139,281,80,179,opel
100,192,553,64,196,opel
86,162,388,74,185,opel
103,214,676,66,189,opel
108,224,732,70,186,opel
100,201,611,72,189,opel
94,195,573,70,188,opel
72,134,261,65,188,opel
80,147,311,76,181,opel
104,212,670,74,186,opel
71,150,330,80,180,opel
107,223,729,70,187,opel
92,178,478,64,198,opel
83,178,472,71,187,opel
101,207,650,71,189,opel
96,216,685,75,184,opel
88,168,416,74,186,opel
72,142,295,77,181,opel
105,212,669,74,186,opel
82,165,409,61,200,opel
101,225,748,74,187,opel
105,200,597,68,190,opel
101,200,595,66,192,opel
103,219,708,73,186,opel
77,157,367,63,198,opel
105,218,709,69,190,opel
107,218,701,66,191,opel
80,162,396,66,194,opel
107,208,641,70,190,opel
96,205,633,71,188,opel
66,130,251,62,201,opel
101,222,731,71,188,opel
63,130,247,79,183,opel
66,135,266,74,180,opel
83,167,417,73,187,opel
107,205,624,65,195,opel
91,220,707,72,186,opel
101,202,610,65,197,opel
100,214,681,74,185,opel
76,167,415,71,189,opel
78,146,314,69,187,opel
98,217,692,72,187,opel
101,210,661,72,188,opel
109,222,731,73,188,opel
78,138,284,67,192,opel
100,193,557,65,194,opel
77,163,395,67,192,opel
98,189,535,71,187,opel
96,219,706,75,187,opel
78,151,342,68,193,opel
72,138,286,72,187,opel
69,138,284,62,204,opel
105,215,678,74,186,opel
66,142,304,64,197,opel
88,185,517,66,194,opel
60,132,261,75,185,opel
57,125,229,81,178,opel
78,150,331,67,191,opel
89,169,428,67,193,opel
98,193,567,64,198,opel
83,178,481,71,189,opel
108,214,683,72,188,opel
73,159,379,65,195,opel
77,150,331,73,184,opel
53,134,259,83,177,opel
66,147,322,64,197,opel
79,176,462,66,189,opel
100,208,651,74,186,opel
100,212,666,73,187,opel
101,225,741,71,186,opel
98,193,562,69,190,opel
77,151,343,64,202,opel
101,203,616,65,193,opel
105,197,575,65,194,opel
83,171,438,67,195,opel
104,206,631,69,188,opel
103,206,630,65,192,opel
96,185,513,65,195,opel
64,134,259,76,179,opel
109,218,706,67,191,opel
109,220,722,73,189,opel
84,156,358,74,183,opel
101,226,748,71,185,opel
88,183,504,70,189,opel
75,150,335,66,193,opel
72,127,233,70,184,opel
103,211,661,67,190,opel
101,198,587,64,195,opel
86,153,338,71,183,opel
92,179,481,63,197,opel
108,224,737,73,187,opel
104,213,665,73,186,opel
96,220,713,73,186,opel
104,198,589,67,192,opel
100,200,600,70,189,opel
96,178,474,67,193,opel
72,149,334,62,203,opel
73,153,342,75,181,opel
75,147,322,62,206,opel
77,154,352,71,186,opel
78,161,389,62,203,opel
69,128,240,70,183,opel
107,214,670,67,192,opel
78,157,367,66,192,opel
98,215,679,68,189,opel
96,219,713,74,187,opel
76,157,371,69,190,opel
103,204,624,74,186,opel
103,195,571,68,191,opel
105,221,725,72,189,opel
75,146,317,76,184,opel
101,192,546,66,191,opel
58,133,259,87,177,opel
105,209,653,73,186,opel
69,149,333,63,198,opel
100,213,669,76,187,opel
75,147,315,80,181,opel
69,135,274,69,187,opel
79,167,418,67,191,opel
105,210,648,72,188,opel
101,222,728,71,189,opel
66,131,252,76,183,opel
66,126,232,70,185,opel
96,186,519,62,197,opel
109,226,752,72,187,opel
104,210,657,73,187,opel
77,152,345,72,187,opel
98,217,696,72,188,opel
69,140,290,64,199,opel
107,227,756,72,186,opel
100,227,757,73,186,opel
91,218,697,74,187,opel
108,212,663,66,191,opel
105,223,737,75,188,opel
107,200,602,67,194,opel
81,161,388,72,187,opel
107,225,730,74,187,opel
81,168,426,70,192,opel
103,215,677,75,185,opel
42,114,191,87,179,opel
