@relation vehicle

@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Max_length_aspect_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_variance numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
47,81,11,163,170,76,van
48,78,11,160,173,76,van
47,88,11,157,176,71,van
39,64,8,141,160,80,van
44,84,12,158,176,75,van
43,78,8,145,156,63,van
46,85,9,147,169,67,van
42,68,7,143,154,69,van
40,66,7,139,145,63,van
44,85,11,155,176,76,van
46,78,9,152,168,70,van
49,87,10,158,179,75,van
41,84,9,145,172,72,van
42,85,10,144,173,72,van
35,60,7,129,147,62,van
37,70,9,137,156,71,van
38,74,7,133,167,72,van
44,84,10,148,163,64,van
48,85,11,167,175,74,van
46,80,11,156,169,74,van
47,85,49,155,320,135,van
35,44,2,121,139,90,van
40,79,9,139,168,71,van
37,72,9,135,161,69,van
36,64,8,136,161,67,van
40,82,9,140,165,64,van
46,76,11,155,175,74,van
45,85,10,156,170,73,van
41,62,6,141,149,61,van
48,83,10,159,176,70,van
35,66,9,127,159,66,van
45,73,8,144,169,71,van
36,66,8,135,154,62,van
40,81,10,139,167,70,van
36,51,5,124,139,81,van
47,85,10,155,179,75,van
35,64,6,125,138,65,van
41,84,9,143,170,72,van
45,71,8,147,171,72,van
37,52,6,126,135,74,van
43,76,10,149,173,71,van
42,66,7,144,162,73,van
44,85,10,150,167,67,van
39,68,7,142,164,75,van
36,68,7,132,155,66,van
48,78,11,159,172,75,van
35,47,3,122,136,89,van
43,70,6,144,164,79,van
38,76,8,131,167,71,van
41,82,9,145,163,64,van
47,85,12,157,179,76,van
38,60,5,132,135,72,van
40,59,7,137,145,84,van
37,49,5,128,144,85,van
47,81,9,152,171,72,van
42,66,6,144,147,66,van
40,53,6,140,142,86,van
42,64,9,142,163,71,van
40,62,8,139,149,62,van
40,73,6,138,166,73,van
41,75,7,141,164,77,van
35,66,8,129,148,66,van
43,88,9,147,164,65,van
38,70,25,139,162,67,van
36,53,4,125,138,85,van
40,55,7,139,142,87,van
37,62,6,129,143,79,van
43,72,8,145,158,64,van
42,64,10,142,157,67,van
45,85,11,158,177,75,van
39,78,8,140,157,64,van
45,85,10,157,174,68,van
40,77,9,141,168,70,van
37,51,5,127,138,82,van
34,58,6,130,148,63,van
43,68,9,143,161,69,van
47,85,10,160,177,73,van
45,80,9,148,169,71,van
40,62,7,145,160,78,van
43,88,9,157,165,64,van
49,82,11,162,173,75,van
36,77,7,126,177,65,saab
37,76,8,134,191,67,saab
36,72,8,133,166,63,saab
55,103,11,172,221,70,saab
42,98,9,138,206,70,saab
50,90,9,155,195,65,saab
45,105,10,150,202,64,saab
50,106,10,158,223,73,saab
56,103,10,174,232,73,saab
45,100,10,149,214,67,saab
46,100,9,149,209,65,saab
43,89,8,144,210,68,saab
39,83,7,132,190,67,saab
39,63,7,134,149,63,saab
54,100,10,173,225,74,saab
38,63,6,130,162,77,saab
47,96,9,150,219,70,saab
50,110,11,159,232,71,saab
48,107,10,153,227,70,saab
54,100,10,170,232,73,saab
40,72,5,135,159,68,saab
43,72,7,140,168,72,saab
45,76,9,149,180,63,saab
53,109,12,169,226,72,saab
37,60,6,129,154,71,saab
45,76,7,147,184,69,saab
42,80,6,139,166,74,saab
33,50,4,118,136,83,saab
38,86,9,134,191,68,saab
53,101,10,166,218,74,saab
39,86,9,134,186,63,saab
36,77,7,128,174,66,saab
38,63,7,130,168,83,saab
54,102,10,164,224,72,saab
39,85,7,131,189,71,saab
37,86,7,131,181,68,saab
53,108,11,172,226,71,saab
54,106,12,167,223,66,saab
38,82,8,129,179,70,saab
40,62,7,133,165,82,saab
37,54,5,127,151,79,saab
48,85,11,153,192,62,saab
39,89,8,132,200,70,saab
55,104,9,171,222,74,saab
52,110,12,163,228,66,saab
39,88,9,132,197,69,saab
34,66,7,124,165,61,saab
47,109,11,154,207,61,saab
49,83,7,154,205,70,saab
48,90,8,152,200,68,saab
46,104,9,147,222,73,saab
43,72,8,144,174,61,saab
39,87,8,134,200,72,saab
51,105,11,163,222,73,saab
40,83,8,133,189,72,saab
52,109,12,171,229,72,saab
38,71,8,127,158,75,saab
40,85,9,139,184,61,saab
34,66,6,118,148,65,saab
43,69,7,143,175,67,saab
54,106,10,166,217,69,saab
36,69,6,131,164,66,saab
56,101,10,171,232,72,saab
54,105,11,164,216,68,saab
37,63,5,130,141,74,saab
36,78,8,128,169,60,saab
37,74,8,134,183,69,saab
53,108,11,167,217,64,saab
54,109,11,169,226,68,saab
55,101,12,177,226,71,saab
38,83,7,132,177,74,saab
49,103,10,155,227,72,saab
49,100,10,160,202,62,saab
49,105,11,157,217,64,saab
44,98,11,146,202,64,saab
45,82,8,149,180,69,saab
51,112,11,162,223,65,saab
39,81,9,138,184,62,saab
36,74,8,128,177,61,saab
42,77,8,142,165,64,saab
40,100,8,134,205,68,saab
44,96,9,144,202,66,saab
53,95,10,160,220,71,saab
51,103,11,162,226,72,saab
54,96,12,170,221,71,saab
52,104,10,163,220,70,saab
56,104,11,172,226,71,saab
51,100,10,159,214,65,saab
41,69,7,141,162,61,saab
37,80,8,129,180,69,saab
54,109,11,174,229,70,saab
53,108,11,168,228,69,saab
51,98,10,161,219,67,saab
46,104,9,148,210,68,saab
38,75,7,131,171,75,saab
51,104,12,162,226,68,saab
53,104,10,164,223,67,saab
41,66,6,136,155,74,saab
44,95,9,144,216,72,saab
50,94,9,158,214,67,saab
53,103,10,168,224,73,saab
45,81,7,147,180,70,saab
37,80,9,132,172,60,saab
50,96,10,156,207,65,saab
51,100,12,162,207,62,saab
55,107,11,173,232,71,saab
45,77,9,151,190,66,saab
46,77,8,148,181,67,saab
48,98,9,151,216,64,saab
53,108,11,168,226,67,saab
54,103,11,162,228,71,saab
51,108,11,163,232,72,saab
46,83,6,148,185,71,saab
38,58,5,131,163,86,saab
53,101,11,168,216,72,saab
51,108,11,163,232,72,saab
55,108,12,168,229,71,saab
51,90,8,156,211,70,saab
33,40,3,119,130,86,saab
48,105,10,152,214,64,saab
38,78,8,136,197,67,saab
54,103,11,167,229,70,saab
55,104,9,167,223,72,saab
40,75,7,134,173,76,saab
53,105,11,165,221,68,saab
52,108,12,168,229,73,saab
37,59,7,128,151,82,saab
48,85,8,153,188,64,saab
36,83,8,128,163,63,saab
51,96,10,157,207,68,saab
46,81,9,154,189,63,saab
37,54,4,127,152,85,saab
36,75,6,125,166,71,saab
36,78,7,124,155,66,saab
48,101,9,152,216,68,saab
35,53,4,123,135,76,saab
37,66,7,127,148,72,saab
52,101,9,162,208,67,saab
40,98,9,135,194,66,saab
41,66,6,136,164,79,saab
36,85,6,125,187,66,saab
51,105,11,162,207,64,saab
42,90,9,144,189,61,saab
53,108,12,168,226,71,saab
40,63,5,135,152,70,saab
45,79,9,148,184,62,saab
54,98,11,169,221,71,saab
46,105,10,150,213,66,saab
36,57,6,127,137,68,saab
40,89,8,133,202,70,saab
53,98,10,169,224,73,saab
41,64,5,138,165,80,saab
36,54,7,126,146,78,saab
47,81,7,152,196,67,saab
40,78,7,139,197,68,saab
54,101,12,173,228,70,saab
34,53,6,121,137,70,saab
50,90,10,158,211,69,saab
38,77,7,129,174,71,saab
45,101,9,143,218,73,saab
37,57,6,125,151,83,saab
50,104,11,159,223,67,saab
53,105,12,167,226,70,saab
43,76,7,143,172,69,saab
40,66,6,137,164,77,saab
37,54,4,127,146,81,saab
51,104,10,162,220,68,saab
34,72,6,123,158,63,saab
53,104,11,167,226,72,saab
40,66,4,133,162,74,saab
54,98,11,167,229,72,saab
46,106,10,149,217,70,saab
37,71,9,134,178,63,saab
43,77,8,146,163,64,saab
38,55,5,128,153,81,saab
49,106,9,158,224,68,saab
36,51,4,126,150,86,saab
47,83,8,150,189,72,saab
35,52,4,125,139,82,saab
54,108,12,170,223,67,saab
44,77,5,143,175,77,saab
54,101,11,172,218,74,saab
39,74,6,136,174,70,saab
53,106,10,168,220,73,saab
52,101,11,158,214,65,saab
49,109,10,156,225,70,saab
39,83,8,134,197,72,saab
52,100,9,158,218,70,saab
47,88,7,151,197,66,saab
38,71,7,133,181,70,saab
53,100,11,166,229,71,saab
53,108,12,163,216,65,saab
48,104,10,152,221,73,saab
42,101,9,138,208,67,saab
38,75,6,131,165,69,saab
36,73,6,126,184,71,bus
57,107,6,171,285,86,bus
43,64,7,142,169,68,bus
45,66,52,144,237,119,bus
43,71,7,143,171,78,bus
47,75,6,146,176,74,bus
45,70,7,144,170,84,bus
35,70,5,124,184,71,bus
55,96,6,170,267,85,bus
40,72,7,135,175,72,bus
54,103,4,166,266,85,bus
51,88,5,158,222,77,bus
45,86,7,145,203,72,bus
44,70,6,141,167,69,bus
45,76,7,144,170,69,bus
42,70,7,145,177,82,bus
43,66,7,142,177,81,bus
44,65,6,150,168,83,bus
51,80,6,159,214,75,bus
45,68,6,142,168,75,bus
44,68,8,146,170,80,bus
46,70,6,148,183,69,bus
45,74,7,143,179,70,bus
57,102,7,171,243,77,bus
46,74,6,148,180,71,bus
37,70,7,129,167,65,bus
43,66,6,143,173,86,bus
42,76,5,138,184,76,bus
43,68,7,142,179,75,bus
58,105,6,174,285,85,bus
37,73,7,127,171,67,bus
41,70,7,141,168,71,bus
43,70,8,146,173,81,bus
40,76,7,136,174,72,bus
46,71,7,149,172,81,bus
50,93,4,159,254,83,bus
38,74,6,131,193,71,bus
45,71,7,147,171,79,bus
44,68,7,145,179,67,bus
41,75,5,138,204,72,bus
57,109,6,175,288,85,bus
42,66,7,145,173,85,bus
42,59,7,144,166,83,bus
51,92,6,162,247,80,bus
37,74,5,128,188,72,bus
47,88,7,148,214,74,bus
39,76,6,131,179,72,bus
54,100,4,162,280,88,bus
42,71,7,142,172,74,bus
43,69,7,145,178,84,bus
43,68,8,145,171,85,bus
43,70,7,145,177,76,bus
56,102,6,167,264,82,bus
56,104,6,168,275,83,bus
42,64,7,146,167,85,bus
41,75,5,136,175,72,bus
54,105,5,165,269,84,bus
44,68,8,143,170,74,bus
47,69,6,147,171,75,bus
47,77,6,150,188,69,bus
53,91,6,161,231,78,bus
42,84,6,138,189,69,bus
43,61,8,144,169,85,bus
48,79,6,153,202,74,bus
41,71,7,138,175,71,bus
43,73,7,145,181,80,bus
37,75,6,128,180,69,bus
38,72,5,131,189,70,bus
43,68,6,142,164,65,bus
49,80,6,156,206,73,bus
43,70,6,145,166,86,bus
47,73,7,152,184,69,bus
39,75,8,133,175,70,bus
44,70,52,144,241,127,bus
43,66,7,146,172,83,bus
45,71,6,146,172,71,bus
42,66,7,144,174,78,bus
55,102,6,165,265,84,bus
55,98,7,168,258,80,bus
44,72,7,147,166,69,bus
37,72,6,133,184,70,bus
45,73,6,145,170,71,bus
40,76,7,135,169,68,bus
45,68,6,146,173,75,bus
43,76,7,143,180,77,bus
39,70,7,136,164,69,bus
44,70,8,144,171,67,bus
44,70,5,143,166,69,bus
41,77,6,139,202,72,bus
43,73,6,143,176,66,bus
44,70,6,145,170,82,bus
49,89,4,153,238,78,bus
42,65,7,140,171,85,bus
42,66,7,143,169,85,bus
40,78,6,134,185,73,bus
37,75,6,131,184,71,bus
44,72,7,147,174,82,bus
44,63,7,147,166,81,bus
45,89,5,145,204,71,bus
43,68,7,144,175,80,bus
42,76,7,143,179,75,bus
49,79,7,158,189,70,bus
46,77,7,150,184,69,bus
38,79,6,130,178,66,bus
57,102,6,169,287,85,bus
44,72,7,143,173,81,bus
42,70,7,143,176,76,bus
44,65,8,148,169,82,bus
46,88,6,147,215,73,bus
49,79,5,154,196,71,bus
45,68,7,151,167,81,bus
47,74,7,149,175,77,bus
38,75,7,131,168,66,bus
36,73,6,127,189,72,bus
51,89,6,159,219,74,bus
42,66,6,141,172,88,bus
46,70,8,146,170,77,bus
39,74,6,134,173,70,bus
42,81,5,137,184,68,bus
44,68,8,145,170,80,bus
41,66,22,139,173,75,bus
46,73,6,147,170,82,bus
49,98,6,152,228,77,bus
45,83,5,146,225,79,bus
46,71,6,146,175,73,bus
45,72,5,144,178,70,bus
45,70,8,146,171,79,bus
45,70,7,145,169,81,bus
51,92,5,159,232,78,bus
52,94,5,161,227,76,bus
48,95,7,150,216,73,bus
42,63,7,142,173,81,bus
43,73,7,143,178,76,bus
46,71,6,147,174,80,bus
44,72,7,144,181,80,bus
57,106,6,169,280,85,bus
41,77,5,134,205,74,bus
42,66,7,140,169,67,bus
43,68,7,147,169,81,bus
41,76,7,140,171,72,bus
43,71,7,146,170,81,bus
52,103,7,160,254,82,bus
43,82,5,141,215,75,bus
58,106,6,171,278,83,bus
45,68,6,143,169,80,bus
43,65,8,143,169,85,bus
46,71,7,148,177,80,bus
45,85,6,146,217,76,bus
44,68,7,147,171,88,bus
57,106,5,170,285,87,bus
38,70,6,136,189,71,bus
42,62,6,139,169,65,bus
42,65,8,141,169,85,bus
43,64,8,144,168,82,bus
45,68,22,147,186,88,bus
55,103,7,172,269,83,bus
42,60,6,141,169,85,bus
49,84,7,154,208,74,bus
43,70,19,143,180,76,bus
57,106,8,172,275,83,bus
41,76,7,136,181,74,bus
44,84,6,145,208,73,bus
45,72,6,144,181,69,bus
43,83,6,139,189,68,bus
45,65,8,145,170,81,bus
45,66,8,145,170,86,bus
40,73,7,137,174,69,bus
51,84,7,161,199,72,bus
43,66,7,147,169,87,bus
40,77,6,139,197,72,bus
53,98,4,164,263,82,bus
43,69,6,144,174,87,bus
41,70,7,138,172,72,bus
43,66,6,145,166,85,bus
42,64,6,143,170,87,bus
39,70,7,134,167,69,bus
50,98,6,156,232,77,bus
42,70,7,142,177,78,bus
53,101,4,163,267,85,bus
43,72,8,144,175,78,bus
44,65,6,144,170,87,bus
52,86,5,161,212,75,bus
51,93,7,165,240,81,bus
43,71,6,141,169,67,bus
46,68,6,146,172,74,bus
52,95,4,158,262,82,bus
49,76,7,157,194,72,bus
44,68,6,147,170,86,bus
44,70,8,143,163,68,bus
46,75,7,147,178,72,bus
54,98,6,165,246,79,bus
47,70,7,153,179,68,bus
44,71,7,141,167,71,bus
37,73,7,131,175,68,bus
50,81,6,158,206,74,bus
46,73,6,146,167,75,bus
54,107,11,174,225,70,opel
49,107,12,159,214,66,opel
41,92,10,140,197,63,opel
40,79,7,138,200,66,opel
55,100,11,175,217,73,opel
52,105,10,163,226,74,opel
50,83,6,156,207,71,opel
48,94,9,155,200,64,opel
46,79,8,149,183,67,opel
45,76,7,148,184,69,opel
38,53,5,128,152,87,opel
54,101,10,171,224,71,opel
51,105,10,162,222,73,opel
40,80,7,135,172,76,opel
37,53,6,128,135,82,opel
53,108,12,172,220,68,opel
45,82,8,144,181,70,opel
35,78,8,125,172,67,opel
52,107,8,161,218,67,opel
38,75,6,132,167,80,opel
40,69,6,137,155,61,opel
35,50,5,122,132,74,opel
44,77,7,141,174,72,opel
52,101,11,164,219,65,opel
50,108,10,156,232,72,opel
39,69,5,131,155,69,opel
48,101,11,152,227,71,opel
56,100,10,169,227,74,opel
34,69,5,122,158,62,opel
56,105,10,173,217,72,opel
40,75,6,135,158,72,opel
52,110,10,166,235,74,opel
56,105,11,179,234,72,opel
55,96,10,173,219,75,opel
38,63,5,130,145,79,opel
57,103,11,176,228,73,opel
56,100,11,173,219,75,opel
36,78,7,128,168,64,opel
37,78,8,131,182,62,opel
43,78,7,141,182,68,opel
37,76,8,131,189,72,opel
39,84,8,133,185,74,opel
45,75,6,146,170,66,opel
57,100,13,188,223,72,opel
57,109,11,176,234,70,opel
45,80,7,145,188,65,opel
38,89,9,132,190,67,opel
54,96,10,170,231,75,opel
42,96,9,141,199,67,opel
51,96,9,161,208,68,opel
48,101,12,158,215,66,opel
40,71,7,134,167,80,opel
47,81,8,150,193,70,opel
36,72,7,125,144,70,opel
51,100,10,161,210,64,opel
51,108,10,162,219,66,opel
52,104,9,163,217,67,opel
52,109,10,165,241,73,opel
54,103,11,172,227,69,opel
53,98,11,166,228,71,opel
45,92,10,148,202,64,opel
57,105,11,173,226,73,opel
54,100,9,166,222,70,opel
58,101,12,182,225,71,opel
49,107,11,161,224,67,opel
37,80,8,126,179,69,opel
52,96,9,161,206,67,opel
55,101,9,168,236,72,opel
52,98,9,161,216,69,opel
58,109,11,182,234,72,opel
43,69,7,143,170,63,opel
37,74,7,133,178,63,opel
52,103,11,162,217,66,opel
42,75,8,142,174,62,opel
38,74,9,135,181,63,opel
39,91,8,137,196,67,opel
46,100,9,150,207,65,opel
52,93,9,161,214,72,opel
37,57,6,125,142,81,opel
43,96,10,143,217,71,opel
41,83,9,142,199,65,opel
57,107,11,180,234,72,opel
55,108,11,178,231,73,opel
52,98,10,164,228,71,opel
57,104,10,175,224,74,opel
55,101,10,178,228,74,opel
45,77,7,145,181,75,opel
55,101,13,177,225,71,opel
54,100,10,173,219,76,opel
55,103,11,172,219,75,opel
42,88,10,141,208,70,opel
40,69,7,134,147,64,opel
38,53,6,128,147,83,opel
34,66,7,120,151,62,opel
56,98,11,173,225,72,opel
38,76,8,134,196,71,opel
51,104,10,164,217,69,opel
44,82,6,144,170,68,opel
44,80,6,143,189,66,opel
52,104,10,166,219,73,opel
38,84,9,130,196,69,opel
55,105,11,171,228,69,opel
35,72,7,124,169,62,opel
47,103,10,147,220,73,opel
36,69,7,126,154,66,opel
46,101,9,146,219,73,opel
53,98,11,167,228,71,opel
55,101,11,178,231,74,opel
38,63,7,130,137,64,opel
39,77,8,134,176,73,opel
41,75,7,137,170,76,opel
39,60,6,131,151,80,opel
49,92,10,154,200,64,opel
46,105,11,152,212,65,opel
55,96,9,175,231,74,opel
41,78,7,138,161,67,opel
46,105,9,148,223,69,opel
40,66,4,133,170,87,opel
48,107,10,158,222,65,opel
46,94,10,147,224,70,opel
49,96,10,158,197,62,opel
46,79,8,148,190,67,opel
55,103,9,166,227,74,opel
38,72,9,132,145,65,opel
54,98,10,171,219,72,opel
50,98,9,161,214,64,opel
55,103,11,165,229,72,opel
49,86,8,156,203,67,opel
55,101,10,177,225,71,opel
45,73,7,146,182,65,opel
55,107,11,178,228,74,opel
55,101,13,180,225,71,opel
54,105,10,163,214,68,opel
54,107,12,174,221,67,opel
53,103,9,162,210,68,opel
36,72,7,126,163,72,opel
41,93,9,137,202,66,opel
51,103,11,160,222,67,opel
53,103,11,163,222,66,opel
55,105,11,169,221,71,opel
56,100,11,175,219,74,opel
58,103,11,176,231,71,opel
44,93,8,147,202,66,opel
55,105,10,177,237,75,opel
48,104,9,151,227,74,opel
38,85,8,129,186,63,opel
39,72,9,135,165,77,opel
36,60,6,124,141,78,opel
55,98,11,170,222,68,opel
54,91,11,170,223,74,opel
54,104,10,175,221,75,opel
49,86,9,153,197,67,opel
48,96,10,153,226,71,opel
51,109,11,163,238,73,opel
39,86,7,134,174,71,opel
36,66,8,127,148,76,opel
57,103,12,177,223,72,opel
44,77,6,145,175,64,opel
56,96,11,172,223,73,opel
55,96,12,173,225,72,opel
34,42,3,119,131,87,opel
54,98,10,174,228,72,opel
38,64,8,126,152,76,opel
42,69,8,138,165,64,opel
48,107,10,154,232,70,opel
43,96,10,142,202,65,opel
38,78,7,127,166,69,opel
55,109,12,174,230,67,opel
38,74,8,127,160,72,opel
42,75,6,139,170,71,opel
39,89,9,135,191,63,opel
40,73,8,133,173,75,opel
36,78,6,123,161,66,opel
59,108,11,186,225,70,opel
50,88,10,159,209,66,opel
48,105,11,155,212,64,opel
36,78,8,126,182,66,opel
39,88,8,133,199,74,opel
47,83,7,147,197,73,opel
38,58,5,127,152,87,opel
35,66,7,131,169,64,opel
36,51,4,124,135,84,opel
36,69,7,124,147,70,opel
56,100,12,178,231,73,opel
52,107,11,167,221,66,opel
49,96,9,156,202,62,opel
49,103,11,156,212,65,opel
51,109,9,162,238,72,opel
54,104,10,172,223,73,opel
39,90,7,131,209,71,opel
38,77,7,129,184,67,opel
