@relation vehicle

@attribute Distance_circularity numeric
@attribute Scatter_ratio numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
80,157,201,209,saab
77,150,196,203,saab
83,164,187,193,saab
79,163,199,208,saab
78,174,191,200,saab
85,163,186,192,saab
54,135,180,183,saab
83,142,193,200,saab
98,218,188,197,saab
108,218,190,204,saab
106,208,189,199,saab
62,150,180,185,saab
105,204,191,201,saab
103,211,190,200,saab
95,188,190,197,saab
108,222,189,203,saab
81,160,192,199,saab
66,132,183,187,saab
71,137,181,186,saab
66,140,201,207,saab
109,212,190,199,saab
107,207,190,203,saab
108,220,189,203,saab
96,218,187,198,saab
80,154,190,195,saab
54,134,184,185,saab
80,161,192,197,saab
103,219,187,197,saab
101,188,193,202,saab
83,160,186,191,saab
78,169,192,199,saab
101,222,187,201,saab
74,157,197,204,saab
103,214,188,201,saab
110,214,191,202,saab
100,214,185,194,saab
105,208,187,197,saab
100,193,194,203,saab
98,185,189,197,saab
100,185,198,208,saab
66,148,181,185,saab
52,122,181,184,saab
101,213,187,198,saab
71,154,189,195,saab
63,146,180,185,saab
109,221,188,201,saab
66,123,196,202,saab
105,198,192,205,saab
105,191,196,205,saab
112,214,190,206,saab
66,136,183,189,saab
94,187,193,201,saab
72,132,191,195,saab
101,222,187,199,saab
72,146,184,189,saab
98,216,187,197,saab
72,133,200,206,saab
104,213,191,199,saab
109,220,189,201,saab
76,159,190,195,saab
90,181,191,199,saab
72,150,196,205,saab
106,207,188,196,saab
105,221,186,200,saab
85,169,200,210,saab
87,169,188,195,saab
75,140,189,195,saab
101,201,192,204,saab
100,196,194,205,saab
108,220,189,200,saab
81,168,191,198,saab
76,149,189,194,saab
77,152,183,187,saab
93,216,188,199,saab
98,177,195,205,saab
101,213,188,198,saab
98,203,193,204,saab
105,202,190,200,saab
96,188,191,199,saab
83,172,188,194,saab
104,208,187,198,saab
108,217,190,201,saab
105,207,193,207,saab
86,167,197,204,saab
90,175,192,199,saab
96,198,190,198,saab
108,219,190,203,saab
98,215,188,197,saab
74,159,190,197,saab
100,196,198,208,saab
104,220,189,199,saab
54,129,180,184,saab
103,221,187,197,saab
88,171,201,210,saab
76,164,192,197,saab
63,142,181,185,saab
59,135,179,185,saab
90,178,199,208,saab
82,154,188,193,saab
88,175,196,205,saab
102,198,187,196,saab
103,222,187,200,saab
98,218,187,199,saab
103,213,188,198,saab
106,212,187,197,saab
101,213,187,196,saab
71,157,196,208,saab
109,207,191,202,saab
109,216,189,201,saab
105,210,187,196,saab
89,186,191,199,saab
58,148,180,183,saab
100,216,185,195,saab
104,215,189,199,saab
103,220,188,199,saab
96,187,195,206,saab
63,125,184,188,saab
105,187,198,211,saab
100,197,191,198,saab
108,206,194,205,saab
54,125,180,184,saab
106,213,192,202,saab
88,173,195,202,saab
104,197,189,197,saab
104,211,190,203,saab
110,217,192,206,saab
72,154,203,209,saab
102,213,188,198,saab
88,170,195,204,saab
75,147,183,188,saab
95,193,188,196,saab
106,207,189,200,saab
101,186,194,206,saab
106,203,191,199,saab
101,217,187,197,saab
110,212,194,205,saab
104,208,191,202,saab
86,158,190,196,saab
77,177,198,199,bus
63,152,180,184,bus
68,149,180,184,bus
75,161,195,202,bus
66,150,179,182,bus
70,148,179,182,bus
68,151,179,183,bus
66,150,180,183,bus
76,149,192,200,bus
79,185,195,195,bus
106,261,181,182,bus
70,143,188,193,bus
102,239,186,185,bus
70,151,201,208,bus
68,150,179,183,bus
68,150,188,192,bus
70,144,188,195,bus
68,146,183,187,bus
70,150,181,185,bus
91,204,192,192,bus
65,151,179,184,bus
69,151,183,188,bus
71,149,184,190,bus
102,257,182,184,bus
103,236,183,184,bus
69,152,181,184,bus
98,225,188,187,bus
76,150,195,201,bus
68,149,179,184,bus
71,151,181,187,bus
73,162,200,204,bus
75,154,192,199,bus
71,144,188,193,bus
78,158,193,197,bus
70,141,193,199,bus
70,152,186,189,bus
102,234,187,187,bus
98,213,188,189,bus
103,252,179,186,bus
98,237,185,184,bus
73,156,199,204,bus
68,150,179,184,bus
72,154,183,187,bus
73,149,189,196,bus
81,186,197,198,bus
70,149,181,184,bus
81,169,198,204,bus
100,250,182,182,bus
71,150,181,186,bus
106,255,181,183,bus
76,152,195,200,bus
70,148,180,183,bus
68,151,180,185,bus
77,166,200,203,bus
70,147,186,189,bus
84,184,196,197,bus
86,192,194,195,bus
65,150,180,182,bus
69,150,180,182,bus
91,202,192,191,bus
76,178,197,200,bus
64,150,199,206,bus
107,262,180,184,bus
63,151,179,182,bus
88,197,192,191,bus
70,149,185,188,bus
80,195,194,194,bus
73,150,196,200,bus
71,153,180,186,bus
66,149,184,191,bus
103,250,184,183,bus
70,151,181,186,bus
74,145,195,200,bus
70,149,180,183,bus
76,151,187,193,bus
73,151,183,188,bus
68,151,183,189,bus
71,150,180,184,bus
106,256,182,181,bus
76,157,191,195,bus
66,145,201,207,bus
93,222,186,184,bus
68,142,198,203,bus
73,151,180,184,bus
95,227,187,186,bus
94,208,193,191,bus
88,192,194,197,bus
71,145,195,200,bus
79,174,197,199,bus
73,151,196,205,bus
74,163,196,200,bus
73,148,185,191,bus
76,150,193,197,bus
75,151,195,204,bus
70,148,187,195,bus
89,186,195,198,bus
60,150,178,182,bus
65,149,179,182,bus
75,171,197,199,bus
74,149,201,205,bus
96,241,184,184,bus
75,154,185,192,bus
92,220,188,186,bus
73,151,185,189,bus
66,148,179,181,bus
66,151,180,183,bus
66,148,179,182,bus
84,176,198,201,bus
65,149,180,182,bus
68,155,202,206,bus
77,172,199,201,bus
66,149,180,182,bus
83,177,196,198,bus
75,153,188,195,bus
86,184,194,197,bus
74,157,195,201,bus
73,153,200,204,bus
65,152,179,183,bus
72,158,200,204,bus
85,192,195,193,bus
63,149,179,182,bus
98,240,186,184,bus
74,153,183,189,bus
104,257,180,184,bus
106,236,185,185,bus
70,147,181,186,bus
70,153,199,206,bus
65,152,179,183,bus
73,167,200,206,bus
80,183,198,199,bus
68,147,181,184,bus
66,148,179,182,bus
76,148,188,195,bus
75,176,197,197,bus
102,241,184,183,bus
70,167,200,203,bus
66,150,182,188,bus
64,149,179,182,bus
72,144,191,198,bus
84,184,196,199,bus
71,153,182,187,bus
82,186,195,196,bus
76,155,185,190,bus
72,166,200,202,bus
70,148,193,201,bus
71,150,192,197,bus
88,203,191,190,bus
103,247,181,183,bus
72,153,182,186,bus
68,150,182,185,bus
71,146,187,191,bus
65,152,178,183,bus
79,160,198,205,bus
70,149,183,188,bus
66,148,180,183,bus
74,165,196,200,bus
68,150,180,185,bus
72,153,182,188,bus
101,238,184,184,bus
76,155,189,193,bus
70,164,200,203,bus
92,209,191,189,bus
66,149,180,182,bus
109,251,183,183,bus
71,151,181,186,bus
66,145,184,188,bus
61,150,179,182,bus
73,154,197,206,bus
70,151,181,184,bus
71,146,189,196,bus
106,257,181,184,bus
73,151,190,194,bus
62,149,202,209,bus
64,150,180,184,bus
66,148,181,185,bus
105,265,181,183,bus
84,171,196,201,bus
75,154,198,202,bus
68,148,181,184,bus
77,167,199,203,bus
68,152,179,183,bus
68,147,185,191,bus
98,218,189,189,bus
68,150,179,182,bus
64,148,179,182,bus
70,143,196,203,bus
72,147,181,185,bus
65,150,179,183,bus
70,152,184,187,bus
70,155,202,205,bus
70,143,192,199,bus
72,161,196,203,bus
79,173,197,202,bus
59,149,179,182,bus
83,194,193,191,bus
75,155,192,200,bus
66,152,181,185,bus
78,150,191,198,opel
103,204,186,194,opel
100,224,185,198,opel
74,161,197,206,opel
109,220,189,198,opel
96,221,186,196,opel
73,159,195,201,opel
108,214,188,197,opel
89,169,193,202,opel
107,225,187,201,opel
88,183,189,197,opel
91,218,187,196,opel
66,131,183,187,opel
98,217,187,198,opel
101,202,197,206,opel
107,200,194,201,opel
80,162,194,199,opel
109,221,188,200,opel
89,172,201,209,opel
84,156,183,190,opel
77,163,192,198,opel
86,177,192,199,opel
100,227,186,197,opel
98,193,190,199,opel
107,205,195,206,opel
92,179,197,204,opel
69,132,203,209,opel
104,212,186,193,opel
100,216,186,194,opel
78,146,187,194,opel
94,181,199,203,opel
108,216,190,201,opel
103,211,190,200,opel
96,189,190,197,opel
103,219,187,196,opel
98,217,188,198,opel
88,185,194,201,opel
96,219,187,195,opel
103,212,188,196,opel
105,201,193,202,opel
90,177,190,198,opel
105,215,186,195,opel
76,167,189,198,opel
84,169,190,195,opel
100,193,194,202,opel
72,138,187,192,opel
42,114,179,183,opel
98,219,186,196,opel
91,220,186,198,opel
98,217,188,199,opel
60,132,185,188,opel
66,147,197,203,opel
77,157,198,205,opel
96,220,186,195,opel
98,215,185,193,opel
104,213,186,195,opel
107,214,192,206,opel
92,178,198,206,opel
100,201,189,195,opel
77,152,187,192,opel
74,162,198,204,opel
107,218,191,203,opel
109,217,189,199,opel
105,223,188,196,opel
66,130,201,207,opel
103,214,189,198,opel
50,114,182,187,opel
105,209,186,195,opel
103,209,191,201,opel
73,153,181,187,opel
101,207,189,196,opel
105,200,190,198,opel
107,227,186,198,opel
100,208,186,193,opel
96,216,184,193,opel
108,224,186,198,opel
101,222,186,196,opel
96,185,195,204,opel
72,142,181,189,opel
104,205,186,193,opel
57,125,178,184,opel
82,165,200,208,opel
83,178,189,194,opel
85,164,198,205,opel
79,176,189,199,opel
78,151,193,197,opel
69,135,193,203,opel
96,186,197,205,opel
103,206,192,201,opel
83,178,187,193,opel
66,142,197,202,opel
69,130,193,200,opel
75,147,206,211,opel
96,178,193,200,opel
58,133,177,184,opel
77,154,184,189,opel
100,212,187,194,opel
103,200,187,194,opel
60,123,178,185,opel
105,221,189,196,opel
66,152,180,183,opel
96,190,191,198,opel
105,218,190,197,opel
78,138,192,197,opel
101,222,189,198,opel
104,198,192,201,opel
96,188,193,200,opel
69,140,199,206,opel
75,146,184,188,opel
108,212,191,201,opel
101,192,191,200,opel
96,181,202,209,opel
82,156,190,196,opel
83,171,195,201,opel
76,157,190,196,opel
101,203,193,203,opel
51,120,177,184,opel
80,164,199,204,opel
101,226,185,196,opel
79,167,191,198,opel
92,188,195,203,opel
105,210,188,196,opel
100,214,185,192,opel
80,147,181,193,opel
78,147,197,203,opel
75,150,193,198,opel
53,126,176,184,opel
104,215,186,194,opel
77,151,202,208,opel
77,154,186,191,opel
107,208,191,200,opel
108,224,187,198,opel
98,193,198,204,opel
98,215,189,201,opel
104,206,188,196,opel
72,149,203,210,opel
103,219,186,196,opel
66,135,180,187,opel
81,168,192,198,opel
101,198,195,204,opel
105,218,187,195,opel
75,140,183,190,opel
75,147,181,187,opel
103,201,189,196,opel
53,134,177,184,opel
100,192,196,202,opel
71,142,188,197,opel
71,150,180,186,opel
86,162,185,191,opel
101,225,186,198,opel
74,139,183,191,opel
105,197,194,205,opel
75,145,191,198,opel
107,222,189,200,opel
101,222,188,197,opel
110,219,188,198,opel
69,128,183,191,opel
96,219,187,194,opel
100,213,187,195,opel
79,162,191,198,opel
81,161,187,193,opel
109,226,187,198,opel
100,200,189,198,opel
96,205,188,196,opel
60,139,179,186,opel
78,140,194,202,opel
105,205,189,196,opel
63,130,183,187,opel
101,210,188,197,opel
53,133,177,183,opel
86,153,183,189,opel
91,176,192,200,opel
103,221,190,198,opel
94,195,188,197,opel
83,167,187,192,opel
93,186,193,198,opel
66,126,185,190,opel
72,127,184,194,opel
93,189,188,195,opel
103,215,185,194,opel
103,221,186,195,opel
98,189,187,194,opel
80,153,191,197,opel
78,161,203,211,opel
105,201,191,202,opel
101,225,187,195,opel
63,122,195,201,opel
69,149,198,203,opel
101,224,187,196,opel
82,149,188,193,opel
