@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Major_variance numeric
@attribute Major_skewness numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
85,57,134,64,197,202,van
86,44,139,90,180,183,van
94,82,176,74,186,197,van
93,63,158,67,193,201,van
93,85,169,67,195,204,van
88,51,135,86,179,183,van
94,91,172,69,190,200,van
89,85,177,75,183,193,van
98,78,160,63,201,207,van
98,66,160,69,191,194,van
87,64,157,67,193,201,van
89,89,170,72,187,199,van
92,60,135,72,190,194,van
100,90,170,67,192,200,van
90,78,169,76,182,192,van
85,64,138,65,196,203,van
93,70,156,71,191,190,van
89,66,162,73,188,191,van
94,84,171,77,182,191,van
93,75,164,77,184,185,van
86,60,141,72,186,190,van
96,80,161,64,199,207,van
89,81,200,90,183,192,van
98,88,173,66,194,202,van
84,53,141,82,179,183,van
91,77,159,62,201,209,van
96,70,162,80,183,183,van
86,58,140,69,190,194,van
90,85,175,74,185,195,van
86,62,141,64,200,208,van
83,73,169,71,191,199,van
98,70,157,74,186,185,van
94,68,155,66,195,196,van
89,85,173,72,185,196,van
94,87,178,75,183,194,van
96,85,167,67,192,202,van
86,78,168,70,190,201,van
89,60,143,65,193,199,van
87,53,138,85,180,183,van
100,85,176,71,189,196,van
95,82,173,75,182,191,van
90,77,169,78,182,191,van
94,83,177,74,185,196,van
82,70,231,99,190,199,van
85,80,169,71,188,199,van
89,84,173,72,186,197,van
86,60,140,61,200,207,van
97,87,173,68,192,202,van
90,81,200,91,186,196,van
96,88,173,70,192,199,van
87,66,168,73,188,196,van
93,83,180,75,184,197,van
90,85,179,75,185,196,van
89,80,175,77,182,193,van
93,64,164,78,185,185,van
98,68,164,75,186,186,van
91,82,164,68,191,201,van
92,66,159,85,182,183,van
91,76,157,69,191,192,van
90,63,154,65,197,204,van
91,88,165,64,197,207,van
91,66,166,72,188,194,van
90,80,169,74,185,193,van
97,88,173,67,192,200,van
92,82,165,64,199,206,van
85,73,173,71,190,199,van
96,64,160,80,183,184,van
93,90,170,66,194,203,van
89,68,153,62,201,209,van
96,88,173,69,194,202,van
93,79,165,67,195,203,van
86,69,163,71,189,195,van
86,58,140,78,184,186,van
90,85,177,73,185,195,van
92,66,160,81,182,184,van
91,78,168,70,189,200,van
93,84,171,73,185,195,van
89,81,170,76,184,193,van
83,54,146,81,180,184,saab
91,72,166,63,196,205,saab
115,100,207,62,198,208,saab
107,103,226,72,188,198,saab
101,98,219,67,192,201,saab
112,104,223,67,191,202,saab
109,104,220,67,189,199,saab
108,105,216,68,190,200,saab
110,102,222,73,188,198,saab
97,101,208,67,194,206,saab
100,92,200,64,195,205,saab
92,76,184,69,190,195,saab
91,79,184,62,199,208,saab
95,104,210,68,190,200,saab
93,90,211,70,189,196,saab
107,108,223,67,190,204,saab
91,72,170,77,184,189,saab
88,77,165,64,198,205,saab
92,80,180,69,190,195,saab
103,105,222,73,187,196,saab
83,54,143,82,179,183,saab
108,103,228,71,189,197,saab
110,100,209,65,194,203,saab
108,100,214,65,194,205,saab
85,40,130,86,181,183,saab
86,86,191,68,191,199,saab
113,98,216,64,193,204,saab
98,96,207,68,191,199,saab
97,104,222,74,186,196,saab
89,69,164,66,193,204,saab
93,63,149,63,198,204,saab
96,100,205,68,192,202,saab
101,112,223,65,190,206,saab
89,89,202,70,189,196,saab
105,108,226,68,189,201,saab
88,82,180,69,188,193,saab
93,98,206,70,189,197,saab
98,90,195,65,193,201,saab
96,69,162,61,202,209,saab
84,75,166,71,189,195,saab
96,74,183,69,190,197,saab
105,105,224,71,186,197,saab
107,108,216,65,194,205,saab
85,50,136,83,179,185,saab
108,109,229,70,189,201,saab
104,108,232,72,190,201,saab
80,63,168,83,180,185,saab
104,101,218,74,188,198,saab
95,81,196,67,191,198,saab
105,106,217,69,189,199,saab
104,100,225,74,185,195,saab
82,51,150,86,181,182,saab
88,57,151,83,180,184,saab
93,81,180,70,192,199,saab
93,88,197,66,195,202,saab
88,90,200,68,192,199,saab
104,101,216,72,187,198,saab
105,105,207,64,196,205,saab
90,89,200,70,189,195,saab
89,54,151,79,184,185,saab
104,107,232,71,188,199,saab
102,101,226,71,187,199,saab
104,96,207,65,195,206,saab
109,109,226,68,189,202,saab
106,106,224,68,190,202,saab
89,77,163,64,194,201,saab
115,100,229,71,189,199,saab
87,60,154,71,186,192,saab
93,87,200,72,188,195,saab
94,85,184,61,200,210,saab
107,96,221,71,187,198,saab
105,100,232,73,187,199,saab
84,83,177,74,185,191,saab
91,83,190,67,192,199,saab
104,106,223,73,188,196,saab
101,85,192,62,197,210,saab
109,103,229,70,188,201,saab
94,88,188,66,195,204,saab
111,108,217,64,196,205,saab
107,104,226,71,189,196,saab
91,88,197,69,191,198,saab
90,85,187,66,195,203,saab
88,63,141,74,184,188,saab
85,75,173,76,182,187,saab
109,109,225,70,191,202,saab
86,63,152,70,187,191,saab
108,109,229,71,190,199,saab
86,64,165,80,182,185,saab
88,58,163,86,180,183,saab
95,95,220,71,188,196,saab
106,107,227,70,190,203,saab
90,80,172,60,201,209,saab
100,102,224,72,187,196,saab
106,101,214,65,192,204,saab
93,86,186,63,197,204,saab
89,77,190,66,194,201,saab
98,81,184,62,197,205,saab
100,104,220,70,187,198,saab
86,78,155,66,190,195,saab
97,105,226,70,186,200,saab
115,100,229,72,188,197,saab
97,88,192,63,196,205,saab
96,78,197,68,191,200,saab
107,103,221,70,187,197,saab
91,83,163,63,193,200,saab
109,109,226,72,188,201,saab
89,82,179,70,187,192,saab
100,104,222,73,189,197,saab
103,106,220,73,187,197,saab
108,104,226,72,189,199,saab
91,77,177,65,195,201,saab
107,98,229,72,187,199,saab
98,90,189,61,199,208,saab
91,83,189,72,186,191,saab
99,104,221,73,188,197,saab
98,78,197,67,192,199,saab
90,74,177,61,197,204,saab
82,59,151,82,179,185,saab
85,53,137,70,185,189,saab
92,86,181,68,190,196,saab
94,77,181,67,193,199,saab
96,94,214,67,193,201,saab
90,83,205,70,189,195,saab
89,83,189,72,187,193,saab
90,66,165,61,201,207,saab
101,105,213,66,192,205,saab
117,110,228,66,194,205,saab
104,108,226,71,189,203,saab
101,101,232,72,187,197,saab
93,98,202,64,195,204,saab
110,104,226,68,191,199,saab
89,52,139,82,181,184,saab
79,55,153,81,180,183,saab
105,100,214,67,192,200,saab
110,104,223,67,190,203,saab
108,103,227,72,189,198,saab
107,108,228,69,190,203,saab
100,88,186,59,201,210,saab
108,103,224,73,188,199,saab
104,100,224,74,185,194,saab
104,105,220,72,187,197,saab
85,72,159,68,191,195,saab
87,66,164,79,181,185,saab
104,101,218,74,187,196,saab
105,108,226,71,189,203,saab
89,77,174,71,188,193,saab
119,106,223,66,192,202,saab
93,76,191,67,192,197,saab
109,103,229,71,187,200,saab
89,80,186,68,192,197,saab
102,106,228,71,189,200,saab
91,83,197,72,188,194,saab
106,98,235,74,187,197,saab
105,108,232,72,189,200,saab
101,108,229,71,188,199,saab
109,103,229,71,188,199,saab
87,74,174,70,187,196,saab
94,69,175,67,193,198,saab
98,109,207,61,194,208,saab
108,109,229,72,189,201,saab
92,78,169,60,203,211,saab
89,85,188,64,195,201,saab
93,72,158,63,200,206,saab
93,76,172,69,189,194,saab
92,83,185,71,186,191,saab
86,62,165,82,180,185,saab
85,66,164,77,182,186,saab
98,104,223,72,187,196,saab
104,105,217,64,193,207,saab
82,54,146,78,180,184,saab
116,110,231,67,192,206,saab
106,101,228,70,187,201,saab
84,77,175,77,183,187,saab
109,96,219,70,190,198,saab
100,81,189,63,198,207,saab
106,98,224,73,188,197,saab
95,71,178,63,196,208,saab
111,103,223,68,190,200,saab
91,75,165,69,186,191,saab
113,93,221,72,188,199,saab
87,71,158,75,181,186,saab
104,100,218,70,191,198,saab
99,89,210,68,191,199,saab
83,54,152,85,180,183,saab
90,66,148,65,196,202,saab
90,90,211,69,191,199,saab
78,63,162,77,181,185,saab
84,53,135,76,183,190,saab
103,100,202,62,198,208,saab
97,95,216,72,190,197,saab
97,76,180,63,198,206,saab
82,66,148,72,183,187,saab
98,101,216,68,189,197,saab
102,105,214,64,192,204,saab
101,101,208,67,193,202,saab
100,73,189,72,200,204,bus
93,79,189,70,197,202,bus
100,70,179,68,200,205,bus
94,72,184,70,200,204,bus
90,71,175,71,192,197,bus
95,83,189,68,196,198,bus
99,91,234,79,192,191,bus
81,72,180,81,182,186,bus
105,93,254,83,186,184,bus
86,69,174,87,180,182,bus
110,109,272,82,183,183,bus
85,66,169,87,179,182,bus
86,68,179,75,188,192,bus
94,70,171,67,199,206,bus
87,71,175,73,186,190,bus
107,98,258,80,186,184,bus
95,73,184,71,199,204,bus
102,92,247,80,188,186,bus
107,106,280,85,181,183,bus
105,93,240,81,188,188,bus
81,68,167,81,179,183,bus
104,94,227,76,193,191,bus
84,70,173,81,181,184,bus
110,106,278,83,181,182,bus
96,70,183,69,200,203,bus
89,68,171,88,179,182,bus
82,68,169,80,181,184,bus
92,74,179,70,195,201,bus
85,66,170,84,180,183,bus
85,66,173,75,184,191,bus
81,71,177,80,182,187,bus
85,64,168,82,180,184,bus
93,73,175,68,196,205,bus
96,74,185,70,196,200,bus
86,65,175,85,179,183,bus
96,74,178,69,201,205,bus
99,74,193,71,200,202,bus
86,70,170,77,183,188,bus
85,70,171,79,181,186,bus
83,68,170,74,185,191,bus
98,84,208,74,195,195,bus
113,109,288,85,182,183,bus
95,71,169,67,195,200,bus
86,73,170,71,189,196,bus
86,61,169,85,179,182,bus
88,74,180,71,189,195,bus
85,66,168,87,179,181,bus
89,70,164,66,193,199,bus
86,71,167,72,189,196,bus
102,83,225,79,193,191,bus
100,98,232,77,189,189,bus
80,71,171,79,181,187,bus
91,75,178,72,192,199,bus
86,64,170,87,179,182,bus
78,70,169,77,181,186,bus
86,65,168,83,178,183,bus
106,100,280,88,182,182,bus
85,70,241,127,180,183,bus
109,96,267,85,184,184,bus
98,88,215,73,194,197,bus
82,73,181,80,183,188,bus
94,73,171,67,197,206,bus
88,70,167,69,193,201,bus
85,64,167,85,179,182,bus
97,75,199,74,197,199,bus
92,76,179,72,195,200,bus
86,66,170,86,179,182,bus
85,70,169,81,181,184,bus
81,71,172,81,180,186,bus
79,74,175,77,183,189,bus
97,73,176,66,200,204,bus
84,68,168,75,183,187,bus
101,106,256,81,185,185,bus
93,84,190,70,198,201,bus
82,73,178,76,185,189,bus
104,89,238,78,190,189,bus
101,104,275,83,180,184,bus
81,68,169,83,179,184,bus
82,68,169,80,181,184,bus
91,84,189,69,196,201,bus
98,86,212,75,194,195,bus
85,66,173,86,180,183,bus
83,70,166,69,188,193,bus
94,84,208,73,196,197,bus
103,103,254,82,183,184,bus
100,75,204,72,197,197,bus
88,71,167,71,188,193,bus
86,73,170,82,180,184,bus
98,84,199,72,196,199,bus
108,102,264,82,186,185,bus
83,68,172,74,185,191,bus
89,70,176,76,186,189,bus
85,65,170,81,179,184,bus
96,82,215,75,195,196,bus
90,79,178,66,198,205,bus
92,75,180,69,195,202,bus
97,76,194,72,197,200,bus
94,75,175,70,192,200,bus
96,98,228,77,188,189,bus
109,102,265,84,184,183,bus
81,68,170,86,179,183,bus
106,105,269,84,181,182,bus
85,69,178,84,181,184,bus
86,75,176,74,188,194,bus
82,70,172,72,187,195,bus
95,73,184,69,200,206,bus
89,76,181,74,191,195,bus
84,75,175,75,185,192,bus
102,101,267,85,184,184,bus
102,85,217,76,195,193,bus
80,68,170,80,180,185,bus
108,106,285,87,182,181,bus
94,89,204,71,195,198,bus
99,77,202,72,198,199,bus
86,66,177,81,181,185,bus
97,88,214,74,192,191,bus
99,79,202,74,195,195,bus
99,88,222,77,191,190,bus
81,68,186,88,180,185,bus
91,76,170,69,195,201,bus
100,80,206,73,198,199,bus
89,72,166,69,191,198,bus
94,64,169,68,199,206,bus
102,98,246,79,188,187,bus
80,68,171,85,179,183,bus
82,63,166,81,179,182,bus
89,75,175,72,188,195,bus
85,66,169,85,180,182,bus
94,68,164,65,198,203,bus
88,78,185,73,193,197,bus
94,72,181,69,193,198,bus
82,72,181,80,183,187,bus
91,81,184,68,198,204,bus
100,95,216,73,192,194,bus
86,71,172,71,187,191,bus
109,95,262,82,187,186,bus
92,75,184,71,198,202,bus
86,70,166,86,179,182,bus
98,70,189,71,200,203,bus
111,105,285,85,181,183,bus
87,60,169,85,178,182,bus
85,66,173,85,180,182,bus
83,70,168,71,188,195,bus
98,77,184,69,200,203,bus
97,72,178,70,196,203,bus
88,70,180,76,186,189,bus
94,79,196,71,197,199,bus
99,92,232,78,191,189,bus
81,68,173,75,183,189,bus
87,65,170,87,179,182,bus
85,70,177,82,181,185,bus
96,68,179,67,202,206,bus
83,73,167,75,185,191,bus
98,77,197,72,199,201,bus
100,89,219,74,193,193,bus
84,66,168,73,184,188,bus
80,71,170,81,180,184,bus
87,65,169,85,180,182,bus
106,98,263,82,185,184,bus
85,59,166,83,179,182,bus
86,70,170,82,181,183,bus
85,66,172,88,180,182,bus
88,73,174,69,196,200,bus
90,75,168,66,195,204,bus
81,63,166,86,179,182,bus
98,70,184,71,202,205,bus
81,68,172,83,180,184,bus
110,103,280,85,184,183,bus
88,70,163,68,196,203,bus
87,76,171,72,188,195,bus
80,68,169,81,179,184,bus
96,74,188,72,196,200,bus
81,68,175,80,182,185,bus
82,71,171,78,181,186,bus
86,65,169,85,179,183,bus
83,66,174,78,182,188,bus
87,74,173,70,195,200,bus
96,77,205,74,196,198,bus
91,66,169,67,201,207,bus
107,102,243,77,187,187,bus
82,72,173,81,181,185,bus
98,72,189,70,200,202,bus
87,70,177,78,185,188,bus
79,72,175,78,182,188,bus
101,62,169,65,202,209,bus
84,65,169,82,179,183,bus
86,65,171,85,180,182,bus
107,106,275,83,181,184,bus
84,76,180,77,185,190,bus
82,72,174,82,180,185,bus
87,70,167,69,194,201,bus
87,76,184,76,189,193,bus
87,73,175,73,190,194,bus
82,66,237,119,181,185,bus
89,72,175,72,192,196,bus
114,102,287,85,182,184,bus
93,66,162,64,197,202,opel
97,92,197,63,197,204,opel
100,100,231,72,189,195,opel
91,76,196,71,189,198,opel
87,82,181,70,190,196,opel
93,78,182,68,193,197,opel
90,86,194,74,185,191,opel
104,96,206,67,193,200,opel
98,108,231,73,187,198,opel
91,101,219,73,186,194,opel
103,105,226,73,187,195,opel
103,98,214,64,198,204,opel
79,80,172,76,181,193,opel
106,98,222,68,189,201,opel
80,64,152,76,179,188,opel
102,100,219,76,187,195,opel
82,73,173,75,181,187,opel
91,86,203,67,192,198,opel
78,51,135,84,177,184,opel
79,72,165,77,181,189,opel
88,71,159,68,188,197,opel
88,69,158,62,204,210,opel
93,66,151,62,201,207,opel
92,69,165,64,199,206,opel
96,103,227,74,186,194,opel
94,89,191,63,201,209,opel
76,58,152,87,177,184,opel
92,69,170,63,198,203,opel
104,103,228,73,186,196,opel
89,69,155,61,203,209,opel
100,104,217,69,188,196,opel
89,75,170,76,184,188,opel
101,105,222,73,186,195,opel
90,83,199,71,187,193,opel
94,79,190,67,191,198,opel
86,66,154,74,180,187,opel
102,98,228,71,187,196,opel
103,83,199,65,197,206,opel
97,94,224,70,188,197,opel
100,101,225,71,188,197,opel
93,83,197,73,187,192,opel
106,98,228,71,188,197,opel
80,69,147,70,183,191,opel
99,100,222,70,189,198,opel
109,107,222,65,195,206,opel
96,104,217,67,192,201,opel
103,107,225,70,187,201,opel
103,100,219,75,186,194,opel
95,92,200,64,198,206,opel
100,96,202,62,197,205,opel
101,105,226,74,186,194,opel
86,89,190,67,193,202,opel
99,101,225,71,186,196,opel
101,100,227,74,186,193,opel
105,98,225,72,188,199,opel
88,77,184,67,192,198,opel
104,109,230,67,191,202,opel
97,94,200,64,199,203,opel
103,107,214,66,191,200,opel
73,53,135,82,176,184,opel
108,105,228,69,190,197,opel
84,90,209,71,190,198,opel
104,96,223,73,186,195,opel
106,107,218,67,194,201,opel
98,101,225,71,185,196,opel
107,101,219,65,197,206,opel
86,75,158,72,183,190,opel
99,104,219,73,187,194,opel
90,78,161,67,192,197,opel
105,105,214,68,190,198,opel
85,63,137,64,195,201,opel
81,53,147,83,177,184,opel
95,80,188,65,199,204,opel
97,76,189,72,188,192,opel
102,98,219,72,186,196,opel
104,110,235,74,188,198,opel
104,91,223,74,187,196,opel
89,78,166,69,187,194,opel
107,103,217,66,189,198,opel
105,100,207,65,194,202,opel
84,74,160,72,183,191,opel
86,66,148,76,183,187,opel
89,81,187,72,187,193,opel
85,72,144,70,184,194,opel
106,98,228,71,188,198,opel
102,101,224,71,189,198,opel
98,101,236,72,188,197,opel
91,93,202,66,193,200,opel
84,60,148,75,185,188,opel
107,92,202,64,195,203,opel
92,75,174,62,206,211,opel
103,105,217,72,188,196,opel
99,105,212,65,194,205,opel
97,108,225,70,186,198,opel
102,101,214,65,193,203,opel
101,107,228,74,187,201,opel
85,66,170,87,180,183,opel
109,100,210,64,196,202,opel
90,78,182,66,192,198,opel
80,60,151,80,179,186,opel
96,83,195,67,195,201,opel
93,78,172,67,191,198,opel
84,71,167,80,180,186,opel
106,107,224,67,192,206,opel
104,105,221,71,189,196,opel
103,96,226,71,188,196,opel
95,104,227,74,186,193,opel
101,103,210,68,191,198,opel
102,98,228,72,187,198,opel
84,66,144,70,185,190,opel
97,78,182,62,203,211,opel
94,74,178,63,198,204,opel
89,80,189,66,194,199,opel
99,109,234,70,188,200,opel
80,42,131,87,179,183,opel
92,79,183,67,191,198,opel
97,103,219,75,185,194,opel
89,72,163,72,187,192,opel
97,96,219,75,184,193,opel
77,75,167,80,181,187,opel
100,107,234,72,186,198,opel
106,96,197,62,202,209,opel
109,103,212,65,192,201,opel
101,100,219,74,185,192,opel
101,108,220,68,190,201,opel
98,101,227,71,189,196,opel
87,98,214,71,187,194,opel
103,103,229,72,188,196,opel
105,96,231,74,187,194,opel
87,77,181,75,184,189,opel
97,81,193,70,192,198,opel
95,105,223,69,191,202,opel
96,104,221,75,186,194,opel
100,109,238,73,189,198,opel
98,76,184,69,190,196,opel
92,93,214,72,188,195,opel
88,77,175,64,202,208,opel
100,109,241,73,188,199,opel
93,72,169,62,203,210,opel
88,88,199,74,186,192,opel
101,105,221,74,186,195,opel
85,80,179,69,191,197,opel
85,72,145,65,188,198,opel
98,104,223,73,186,195,opel
80,57,142,81,178,184,opel
85,77,176,73,184,193,opel
96,98,226,76,185,193,opel
86,84,185,74,183,190,opel
92,91,196,67,192,200,opel
101,100,231,73,186,197,opel
96,103,220,73,187,194,opel
101,103,215,69,189,196,opel
89,83,207,71,189,194,opel
103,107,221,67,189,200,opel
88,69,147,64,193,200,opel
104,105,237,75,188,196,opel
105,107,221,66,191,203,opel
89,77,174,63,198,205,opel
83,69,155,69,187,190,opel
92,82,181,61,200,208,opel
92,74,181,63,197,206,opel
103,91,220,72,186,198,opel
94,84,196,69,190,195,opel
107,103,222,66,191,201,opel
95,96,208,68,191,198,opel
101,107,232,70,190,202,opel
97,105,212,64,193,202,opel
87,86,197,67,192,199,opel
101,101,225,71,186,198,opel
95,96,217,71,190,197,opel
95,104,224,74,186,193,opel
97,101,208,66,191,200,opel
91,98,216,69,190,199,opel
106,96,225,72,186,196,opel
89,69,154,66,193,203,opel
88,78,161,66,194,202,opel
87,85,186,63,198,205,opel
100,109,238,72,189,199,opel
104,103,223,72,186,195,opel
99,88,209,66,194,201,opel
98,101,231,74,187,195,opel
99,100,223,72,185,198,opel
104,101,207,64,195,204,opel
89,82,170,68,188,193,opel
103,101,215,66,192,202,opel
91,66,169,64,197,203,opel
89,75,170,71,191,198,opel
86,77,179,71,186,191,opel
91,75,170,66,193,198,opel
102,96,202,65,195,204,opel
82,53,152,87,177,183,opel
