@relation vehicle

@attribute Compactness numeric
@attribute Circularity numeric
@attribute Minor_variance numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
106,54,721,187,201,saab
96,45,552,189,197,saab
101,51,667,190,206,saab
87,41,318,181,185,saab
98,39,415,197,205,saab
89,35,220,181,184,saab
89,48,427,195,201,saab
94,38,435,195,204,saab
108,56,718,187,197,saab
87,38,277,181,186,saab
97,44,526,190,197,saab
105,53,712,189,203,saab
96,40,486,192,202,saab
112,50,676,191,202,saab
94,43,349,193,198,saab
88,37,230,184,188,saab
90,36,385,195,203,saab
86,41,274,183,189,saab
98,50,472,193,201,saab
93,39,422,188,195,saab
111,53,636,196,205,saab
93,44,505,195,204,saab
101,55,684,188,199,saab
116,53,692,192,206,saab
93,45,383,192,199,saab
97,45,370,198,206,saab
109,54,677,188,201,saab
104,50,527,195,206,saab
89,40,471,189,196,saab
115,51,573,198,208,saab
89,42,308,185,189,saab
89,38,327,188,193,saab
91,40,465,195,205,saab
92,36,349,203,211,saab
103,51,650,187,196,saab
117,52,668,194,205,saab
98,48,584,189,197,saab
103,46,612,191,199,saab
104,53,707,189,203,saab
87,37,243,186,192,saab
98,38,430,192,199,saab
97,41,459,196,205,saab
94,40,430,200,210,saab
105,51,545,196,205,saab
96,50,525,193,201,saab
89,47,402,187,193,saab
94,46,373,193,199,saab
91,39,426,192,199,saab
93,37,405,192,197,saab
90,37,373,201,209,saab
98,51,533,191,199,saab
98,55,629,187,196,saab
102,51,621,188,197,saab
89,36,291,193,204,saab
92,37,373,190,196,saab
86,40,279,186,190,saab
92,45,381,190,195,saab
97,53,713,186,200,saab
100,43,489,195,205,saab
109,53,712,188,201,saab
110,51,674,191,199,saab
84,44,344,183,187,saab
104,51,694,190,201,saab
99,48,604,188,197,saab
100,47,440,201,210,saab
86,36,331,196,203,saab
91,39,314,184,189,saab
90,43,360,203,209,saab
91,40,383,186,191,saab
108,52,687,189,201,saab
91,36,361,195,201,saab
106,53,681,188,197,saab
108,53,711,188,199,saab
103,49,518,198,208,saab
107,54,700,190,204,saab
88,38,319,180,183,saab
103,53,660,187,197,saab
80,43,329,179,183,bus
84,45,312,184,188,bus
89,41,352,188,195,bus
95,47,430,200,206,bus
94,37,362,197,206,bus
95,43,484,196,198,bus
87,42,327,185,188,bus
101,54,833,185,185,bus
86,45,321,179,182,bus
101,56,956,180,184,bus
87,46,343,186,190,bus
90,42,336,180,184,bus
84,42,339,187,193,bus
105,50,735,186,184,bus
91,42,434,198,204,bus
86,43,325,180,182,bus
82,45,326,181,185,bus
86,46,331,183,188,bus
107,55,866,186,184,bus
85,43,324,180,184,bus
92,37,363,198,202,bus
96,47,429,199,203,bus
85,44,323,180,183,bus
91,40,332,192,200,bus
110,56,928,183,183,bus
98,51,520,196,199,bus
106,53,838,185,184,bus
82,45,322,181,184,bus
81,44,347,182,186,bus
107,55,904,179,186,bus
84,45,317,183,187,bus
86,42,332,179,183,bus
81,43,330,182,185,bus
85,42,321,180,182,bus
96,43,534,195,196,bus
101,53,636,192,192,bus
83,46,338,181,186,bus
96,49,680,188,189,bus
100,49,517,198,199,bus
91,42,325,201,207,bus
100,51,622,193,193,bus
86,44,322,181,183,bus
92,37,393,195,202,bus
79,47,349,183,189,bus
103,52,816,183,184,bus
96,46,408,196,200,bus
96,37,419,196,200,bus
92,45,375,195,201,bus
89,41,373,191,195,bus
78,43,319,181,186,bus
85,43,319,179,182,bus
110,56,928,184,183,bus
99,41,485,198,199,bus
87,42,362,189,193,bus
108,57,966,182,181,bus
87,43,322,180,182,bus
83,42,333,182,188,bus
86,46,334,180,184,bus
94,44,525,196,197,bus
107,57,957,181,183,bus
104,52,666,193,191,bus
81,46,347,182,187,bus
86,47,356,188,194,bus
105,51,703,188,188,bus
79,43,344,182,188,bus
111,58,1018,181,183,bus
89,44,299,193,199,bus
86,45,324,180,183,bus
104,49,682,190,189,bus
86,45,321,187,191,bus
88,40,379,193,197,bus
98,40,457,199,201,bus
87,39,318,195,200,bus
81,43,323,179,184,bus
85,42,317,180,182,bus
87,41,341,190,194,bus
80,45,337,181,187,bus
86,45,322,189,196,bus
102,45,576,193,191,bus
82,43,341,185,189,bus
86,43,317,179,182,bus
100,47,406,200,205,bus
106,57,987,180,184,bus
83,44,306,188,193,bus
109,52,776,187,186,bus
82,44,340,180,185,bus
87,43,341,184,187,bus
100,36,401,200,204,bus
81,42,320,179,182,bus
105,51,579,194,194,bus
110,58,998,181,182,bus
83,41,309,188,195,bus
99,51,625,191,190,bus
85,43,324,179,182,bus
86,42,335,179,183,bus
90,41,336,192,197,bus
86,42,327,180,182,bus
83,46,336,185,191,bus
96,41,485,196,198,bus
106,54,892,181,183,bus
84,43,332,181,184,bus
107,57,954,181,184,bus
98,46,563,194,197,bus
97,45,399,196,203,bus
90,38,393,198,205,bus
85,45,332,179,184,bus
85,43,326,180,183,bus
80,44,329,180,185,bus
89,44,312,191,198,bus
81,45,335,180,185,bus
88,44,311,196,203,bus
100,50,531,197,198,bus
81,44,333,179,183,bus
99,38,414,200,202,bus
80,43,327,179,184,bus
83,42,331,184,190,bus
114,57,968,182,184,bus
98,35,371,202,205,bus
89,40,321,192,196,bus
101,42,341,202,209,bus
90,38,345,195,204,bus
102,51,731,188,186,bus
106,54,891,181,182,bus
81,47,340,183,188,bus
97,38,450,197,199,bus
94,39,365,192,200,bus
82,44,317,181,185,bus
85,42,325,180,182,bus
85,42,323,179,182,bus
93,49,463,197,202,bus
96,44,372,202,206,bus
86,42,319,179,182,bus
86,43,340,181,185,bus
96,36,341,201,205,bus
85,45,334,181,186,bus
87,42,324,178,182,bus
97,47,596,192,191,bus
85,43,320,179,181,bus
81,45,333,179,183,bus
87,44,321,179,182,bus
85,42,320,179,182,bus
86,43,337,188,192,bus
83,46,327,185,191,bus
86,45,335,189,196,bus
84,47,354,185,192,bus
85,43,333,180,183,bus
94,43,344,199,206,bus
87,44,326,194,201,bus
80,44,333,180,185,bus
100,48,605,192,194,bus
99,48,524,195,195,bus
99,47,629,192,191,bus
82,44,350,183,187,bus
93,45,523,194,197,bus
87,41,327,188,195,bus
84,43,359,185,190,bus
97,37,346,201,208,bus
98,52,570,194,195,bus
88,46,349,189,195,bus
89,40,342,193,197,bus
98,46,422,200,203,bus
98,38,413,200,203,bus
99,51,671,191,189,bus
82,45,320,181,184,bus
86,44,331,178,183,bus
85,43,341,181,184,bus
97,49,487,197,200,bus
85,41,330,184,191,bus
84,44,325,179,183,bus
85,44,325,180,183,bus
109,55,870,184,183,bus
94,45,373,193,198,bus
81,45,336,183,189,bus
87,39,307,192,199,bus
93,37,347,196,205,bus
102,45,570,195,193,bus
82,41,328,187,195,bus
95,36,374,199,204,bus
109,55,857,184,184,bus
113,57,982,182,183,bus
93,47,476,198,201,bus
82,43,337,183,188,bus
92,39,350,195,200,bus
107,57,822,187,187,bus
98,49,558,195,195,bus
108,56,855,186,185,bus
89,44,328,179,182,bus
91,45,340,195,201,bus
102,53,844,184,184,bus
94,44,361,199,206,bus
94,43,310,198,203,bus
88,40,341,196,200,bus
100,41,479,197,197,bus
80,43,330,180,184,bus
82,44,329,179,182,bus
81,43,323,180,184,bus
104,57,708,186,196,opel
97,48,494,199,203,opel
93,43,342,193,197,opel
95,57,670,186,193,opel
93,35,304,197,202,opel
90,36,367,192,198,opel
78,36,221,178,185,opel
102,43,513,195,204,opel
89,36,286,187,192,opel
108,55,709,190,197,opel
89,47,388,187,193,opel
80,38,259,179,188,opel
100,51,631,188,196,opel
98,55,737,187,198,opel
97,46,573,188,197,opel
99,52,657,187,194,opel
107,52,676,189,198,opel
109,48,624,195,206,opel
93,45,379,195,201,opel
111,54,727,190,198,opel
86,37,352,186,191,opel
87,49,471,192,199,opel
99,55,737,187,196,opel
98,45,371,190,196,opel
84,40,330,180,186,opel
106,53,710,188,197,opel
86,40,290,183,190,opel
95,51,543,191,198,opel
89,38,314,187,194,opel
88,35,192,182,187,opel
89,44,396,194,199,opel
79,40,311,181,193,opel
104,52,530,193,200,opel
101,51,653,186,195,opel
102,52,616,193,203,opel
107,52,610,197,206,opel
97,50,683,188,197,opel
97,59,732,186,198,opel
102,54,669,187,195,opel
101,49,601,189,196,opel
101,56,651,186,193,opel
86,39,358,183,190,opel
106,53,693,188,198,opel
102,54,706,186,196,opel
91,41,504,193,200,opel
98,48,650,189,196,opel
100,45,611,189,195,opel
91,52,562,190,199,opel
97,55,677,185,194,opel
85,36,233,184,194,opel
96,55,683,185,193,opel
104,52,587,195,204,opel
85,37,348,191,197,opel
106,55,679,189,201,opel
103,48,595,192,202,opel
101,56,757,186,197,opel
90,41,284,192,197,opel
93,42,504,189,197,opel
93,47,417,187,192,opel
102,54,692,187,198,opel
105,46,557,194,202,opel
80,36,240,183,191,opel
101,55,741,186,198,opel
73,37,227,176,184,opel
89,41,317,184,188,opel
79,39,295,181,189,opel
94,38,430,190,195,opel
88,39,416,186,192,opel
77,38,315,181,187,opel
104,55,706,191,202,opel
96,52,589,192,201,opel
82,40,342,181,187,opel
91,35,322,197,203,opel
76,38,259,177,184,opel
91,45,335,193,198,opel
88,44,343,202,208,opel
101,48,641,190,202,opel
97,55,685,184,193,opel
98,54,665,186,195,opel
103,50,567,198,204,opel
89,50,481,189,194,opel
99,50,517,194,201,opel
100,57,756,186,198,opel
100,52,731,188,199,opel
92,43,333,198,203,opel
102,52,682,187,196,opel
105,56,696,188,199,opel
103,41,455,197,206,opel
89,40,260,203,209,opel
100,49,519,197,205,opel
104,52,711,188,198,opel
92,38,388,197,206,opel
109,49,630,192,201,opel
89,44,332,188,193,opel
86,41,266,180,187,opel
84,38,232,185,190,opel
87,44,535,187,194,opel
96,48,438,195,201,opel
82,39,338,183,189,opel
77,38,247,183,187,opel
103,54,707,186,198,opel
84,38,261,185,188,opel
101,52,669,186,194,opel
103,48,633,188,196,opel
99,57,725,188,200,opel
88,34,284,204,210,opel
95,42,474,193,200,opel
108,51,661,190,200,opel
82,38,259,177,183,opel
81,38,259,177,184,opel
83,39,274,187,190,opel
103,57,706,187,195,opel
103,55,666,187,194,opel
105,52,701,191,203,opel
98,55,661,188,197,opel
101,56,681,185,192,opel
91,49,473,192,198,opel
80,39,281,179,186,opel
99,46,575,194,205,opel
97,47,426,192,198,opel
92,42,290,199,206,opel
93,35,331,191,198,opel
88,44,296,188,197,opel
104,58,716,187,196,opel
97,37,389,203,211,opel
92,39,466,192,200,opel
106,49,670,192,206,opel
97,41,481,197,204,opel
99,57,726,185,198,opel
96,55,624,186,194,opel
103,56,648,188,196,opel
97,46,546,191,200,opel
96,54,682,186,194,opel
92,46,396,191,198,opel
109,51,553,196,202,opel
104,54,697,187,196,opel
86,36,252,183,187,opel
87,38,402,198,205,opel
86,38,428,193,202,opel
104,56,713,186,195,opel
90,39,388,185,191,opel
102,54,728,189,198,opel
97,37,391,188,192,opel
101,55,678,186,195,opel
98,55,748,187,195,opel
88,40,252,193,200,opel
95,49,478,198,206,opel
89,42,312,191,198,opel
105,54,706,187,195,opel
103,56,684,186,194,opel
90,40,472,187,193,opel
98,58,748,185,196,opel
80,37,229,178,184,opel
89,36,367,198,205,opel
87,45,366,190,196,opel
91,38,415,189,198,opel
105,54,597,190,198,opel
85,38,261,188,198,opel
100,51,722,189,198,opel
106,49,494,202,209,opel
99,54,600,189,198,opel
105,55,713,187,194,opel
103,49,644,191,200,opel
101,55,730,187,201,opel
94,46,418,191,198,opel
85,39,331,184,193,opel
85,36,321,197,203,opel
86,44,345,187,192,opel
78,36,209,177,184,opel
103,54,729,187,201,opel
100,44,521,193,198,opel
100,55,731,188,197,opel
102,51,663,191,201,opel
84,38,282,183,191,opel
92,42,322,206,211,opel
80,34,191,179,183,opel
103,55,673,188,196,opel
95,45,406,199,204,opel
88,38,395,192,198,opel
94,39,444,201,209,opel
100,58,752,187,198,opel
88,40,462,189,199,opel
93,35,334,203,210,opel
106,55,717,186,196,opel
104,55,737,188,196,opel
107,56,725,189,196,opel
101,53,571,191,198,opel
106,52,602,194,201,opel
93,34,251,201,207,opel
91,46,574,186,194,opel
92,46,409,200,208,opel
