@relation vehicle

@attribute Radius_ratio numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Gyration_radius numeric
@attribute Major_skewness numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
139,45,142,156,78,188,bus
188,28,164,253,81,185,bus
246,28,167,228,82,185,bus
238,28,163,242,85,184,bus
192,38,131,138,70,202,bus
169,44,138,157,71,197,bus
184,42,131,127,71,202,bus
159,42,138,157,76,193,bus
170,28,160,250,82,184,bus
191,41,126,124,71,204,bus
193,33,146,163,76,193,bus
122,46,141,174,88,182,bus
119,46,144,172,85,182,bus
199,40,127,125,72,204,bus
158,44,138,152,73,194,bus
209,32,150,200,73,194,bus
156,44,147,198,80,186,bus
202,39,149,191,70,200,bus
154,46,144,177,73,188,bus
177,36,134,148,74,198,bus
148,45,143,153,76,189,bus
135,45,145,173,80,185,bus
139,44,146,183,74,191,bus
130,44,142,173,81,185,bus
180,26,171,257,83,182,bus
173,42,143,172,66,204,bus
159,44,146,189,73,190,bus
193,41,133,127,70,204,bus
126,46,145,171,86,182,bus
201,35,145,183,72,197,bus
175,43,139,165,65,209,bus
155,45,139,155,75,191,bus
120,45,145,163,85,182,bus
130,45,145,172,82,185,bus
207,35,161,198,72,199,bus
144,45,143,180,74,191,bus
123,45,146,176,81,184,bus
148,46,142,180,75,187,bus
149,45,146,185,77,188,bus
171,43,148,192,71,195,bus
113,45,147,189,88,182,bus
173,43,129,119,65,208,bus
171,37,139,141,72,201,bus
126,45,142,173,81,184,bus
158,44,145,173,80,188,bus
128,46,144,173,82,184,bus
160,46,147,169,69,198,bus
147,46,145,168,77,186,bus
216,35,145,154,73,197,bus
232,32,153,197,71,196,opel
140,51,120,114,62,207,opel
209,34,147,194,70,197,opel
222,30,177,218,72,195,opel
196,34,161,244,69,199,opel
164,42,146,188,65,201,opel
207,31,167,197,66,203,opel
195,31,152,193,71,196,opel
159,45,131,123,64,203,opel
204,30,178,204,73,197,opel
209,32,147,189,72,195,opel
190,37,153,209,67,199,opel
196,30,173,214,72,196,opel
230,30,171,210,69,197,opel
177,40,129,130,63,205,opel
185,31,173,219,75,194,opel
194,40,133,151,74,192,opel
145,48,138,158,67,197,opel
206,35,156,176,62,205,opel
155,44,141,161,72,192,opel
156,41,129,140,67,198,opel
210,35,151,169,66,200,opel
186,32,156,186,65,201,opel
167,31,174,223,72,198,opel
193,35,147,151,66,198,opel
231,30,163,206,73,198,opel
127,53,124,133,70,191,opel
184,31,172,187,68,201,opel
181,30,175,216,74,194,opel
189,30,177,211,71,197,opel
176,39,132,148,67,202,opel
194,38,142,138,65,206,opel
199,33,166,241,70,198,opel
169,41,133,130,63,204,opel
197,35,148,159,64,203,opel
196,35,161,235,68,198,opel
179,42,126,142,66,198,opel
183,39,150,182,70,198,opel
131,45,134,165,80,186,opel
218,30,174,199,67,200,opel
195,37,156,201,67,198,opel
193,31,162,184,66,201,opel
230,30,182,207,72,198,opel
127,49,131,162,69,190,opel
223,30,177,218,75,196,opel
169,41,131,136,72,192,opel
215,32,169,223,74,193,opel
168,30,178,217,73,198,opel
130,51,126,135,76,188,opel
110,59,119,121,87,183,opel
144,46,132,136,80,187,opel
177,31,171,223,72,196,opel
195,37,156,210,71,194,opel
178,37,132,157,71,193,opel
129,50,136,165,74,187,opel
183,38,138,150,66,199,opel
154,44,146,180,66,198,opel
175,31,175,222,75,194,opel
203,30,167,214,71,197,opel
172,40,134,145,71,198,opel
158,39,130,155,69,195,opel
122,49,131,142,80,186,opel
222,32,154,204,70,202,opel
203,34,162,210,68,198,opel
212,33,155,162,64,202,opel
191,37,137,151,67,200,opel
152,48,122,120,62,210,opel
219,30,178,216,74,195,opel
180,37,131,145,71,198,opel
169,41,131,147,74,191,opel
130,55,130,144,64,201,opel
230,30,174,226,67,202,opel
199,34,146,199,73,194,opel
179,32,159,183,66,200,opel
190,30,171,203,71,198,opel
230,30,176,246,71,196,opel
215,32,158,168,65,206,opel
204,35,159,193,66,201,opel
227,30,186,218,70,198,opel
172,30,166,218,74,198,opel
141,44,133,153,75,187,opel
219,33,148,201,69,202,opel
172,45,142,160,62,211,opel
158,44,143,168,63,203,opel
125,51,127,145,87,184,opel
211,31,156,218,72,197,opel
147,50,137,151,61,209,opel
185,30,170,217,75,195,opel
193,37,154,171,64,206,opel
211,33,161,200,67,201,opel
214,32,151,202,74,193,opel
213,33,157,186,65,203,opel
170,31,173,218,75,193,opel
209,31,170,196,74,196,opel
194,31,175,219,73,194,opel
183,32,173,218,72,196,opel
222,33,163,226,67,201,opel
181,40,148,193,67,198,opel
212,32,162,224,73,195,opel
156,41,149,197,72,193,opel
154,46,128,120,64,202,opel
127,48,135,144,77,189,opel
161,31,175,221,76,193,opel
130,51,132,123,65,198,opel
213,33,163,214,68,198,opel
231,30,172,218,73,195,opel
216,30,176,219,73,196,opel
138,49,127,127,72,191,opel
144,43,127,145,71,191,opel
212,33,156,174,69,196,opel
153,44,145,172,75,189,opel
201,36,158,180,62,209,opel
153,46,127,142,69,194,opel
186,32,172,217,73,195,opel
149,43,133,157,74,190,opel
177,32,166,215,73,194,opel
165,40,147,201,73,192,opel
170,40,149,164,61,208,opel
206,30,180,213,71,196,opel
221,32,163,212,66,201,opel
178,41,135,132,63,206,opel
202,35,143,166,71,197,opel
188,36,141,168,70,197,opel
219,30,178,213,74,196,opel
177,39,152,196,67,201,opel
194,38,135,121,63,209,opel
125,51,128,146,87,183,opel
186,31,162,189,66,198,opel
207,30,180,205,72,198,opel
121,44,133,163,87,183,opel
158,44,126,136,69,197,opel
163,32,164,193,69,196,opel
163,31,173,201,76,195,opel
171,30,172,201,69,198,opel
202,30,179,212,72,196,opel
136,45,144,168,68,193,opel
111,55,128,147,82,184,opel
221,30,173,250,73,195,opel
197,36,137,153,66,200,opel
197,31,160,187,67,200,opel
218,33,164,192,65,206,opel
160,48,123,129,66,202,opel
215,33,147,200,73,194,opel
142,50,126,128,66,203,opel
172,44,124,125,62,210,opel
201,32,166,246,74,194,opel
209,31,173,216,72,199,opel
182,31,177,223,74,195,opel
204,33,158,164,66,202,opel
189,30,174,200,70,201,opel
128,50,130,141,75,188,opel
116,55,124,121,78,185,opel
211,35,141,178,71,194,opel
206,33,161,204,64,204,opel
162,31,163,204,74,194,opel
128,52,127,139,76,187,opel
208,30,182,216,71,196,opel
225,31,164,199,71,196,opel
209,34,152,159,65,205,opel
168,31,175,224,74,192,opel
228,31,175,223,74,193,opel
164,42,144,174,70,196,opel
179,31,170,198,72,198,opel
197,31,172,219,75,194,opel
192,31,166,191,71,198,opel
162,45,125,137,67,198,opel
166,42,148,186,69,196,opel
224,30,162,206,72,199,opel
145,48,143,174,68,197,opel
225,30,165,207,73,199,opel
204,35,161,240,72,195,opel
191,40,143,180,66,199,opel
166,44,141,174,68,197,opel
135,52,130,139,79,187,opel
195,34,150,161,65,202,opel
140,46,139,166,71,198,opel
121,59,122,138,74,187,opel
194,31,161,172,67,206,opel
138,54,132,139,70,190,opel
140,45,134,139,71,189,opel
198,36,155,189,64,203,opel
149,45,128,134,64,203,opel
172,42,125,126,63,205,opel
216,32,169,216,71,196,opel
186,40,145,178,65,204,opel
123,51,128,148,83,184,opel
197,36,142,139,65,204,opel
197,37,141,149,67,200,opel
220,30,176,236,70,200,opel
127,54,125,123,70,194,opel
151,45,134,133,73,193,opel
