@relation vehicle

@attribute Distance_circularity numeric
@attribute Elongatedness numeric
@attribute Gyration_radius numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
92,35,159,203,opel
96,30,214,196,opel
93,35,240,195,opel
72,44,125,210,opel
103,30,201,198,opel
86,37,201,198,opel
104,32,217,195,opel
96,32,197,196,opel
103,31,189,198,opel
75,46,136,187,opel
88,40,151,192,opel
109,30,207,199,opel
105,33,214,198,opel
98,31,214,201,opel
83,38,138,206,opel
78,46,142,194,opel
66,51,114,207,opel
73,44,153,187,opel
69,50,151,209,opel
104,32,202,193,opel
75,48,162,190,opel
96,37,149,200,opel
108,30,218,198,opel
69,48,120,210,opel
101,30,213,196,opel
103,31,219,194,opel
98,31,223,196,opel
83,40,201,192,opel
107,33,200,201,opel
101,30,216,195,opel
80,44,136,197,opel
42,59,121,183,opel
82,45,168,193,opel
104,32,193,196,opel
53,55,147,184,opel
108,31,187,201,opel
60,49,142,186,opel
76,42,186,196,opel
66,44,163,183,opel
78,45,134,203,opel
74,41,130,204,opel
75,46,166,198,opel
101,30,213,196,opel
100,32,223,193,opel
80,40,178,204,opel
101,30,204,198,opel
94,34,194,197,opel
66,45,123,203,opel
96,36,180,209,opel
105,32,216,196,opel
80,47,144,193,opel
69,49,162,190,opel
107,31,197,203,opel
78,42,142,198,opel
69,53,133,191,opel
103,32,246,194,opel
100,34,161,202,opel
85,40,130,205,opel
108,30,217,198,opel
98,31,216,199,opel
107,32,204,202,opel
78,48,129,202,opel
82,42,174,196,opel
76,40,145,198,opel
104,33,226,201,opel
78,41,117,211,opel
101,33,164,202,opel
101,30,216,196,opel
53,51,148,184,opel
66,52,139,187,opel
96,36,139,204,opel
107,30,199,200,opel
78,45,137,198,opel
103,30,219,196,opel
90,37,145,198,opel
60,55,121,185,opel
105,30,250,195,opel
105,30,218,196,opel
101,33,192,206,opel
108,31,184,201,opel
103,31,249,196,opel
105,33,201,202,opel
100,30,213,198,opel
77,45,133,193,opel
57,54,132,184,opel
108,31,218,197,opel
77,44,172,189,opel
77,44,177,208,opel
96,30,218,195,opel
64,51,135,188,opel
100,31,219,194,opel
103,30,218,195,opel
94,36,189,203,opel
103,31,187,200,opel
104,31,222,194,opel
69,50,128,203,opel
75,44,180,198,opel
101,30,203,198,opel
75,45,160,211,opel
103,32,186,201,opel
76,41,136,192,opel
104,31,223,193,opel
103,33,200,194,opel
107,32,168,206,opel
105,33,162,202,opel
101,34,199,194,opel
105,31,204,194,opel
50,59,138,187,opel
105,32,224,195,opel
105,34,159,205,opel
98,34,185,204,opel
78,48,158,197,opel
89,38,121,209,opel
96,30,216,194,opel
96,35,166,197,opel
79,40,193,198,opel
79,41,178,198,opel
107,30,204,201,opel
72,48,130,192,opel
93,35,151,198,opel
107,30,205,198,opel
84,43,157,190,opel
107,32,183,200,opel
101,31,245,197,opel
77,41,140,198,opel
83,37,210,194,opel
77,44,161,192,opel
98,31,223,198,opel
73,42,188,201,opel
91,31,196,196,opel
74,49,127,191,opel
105,30,210,197,opel
100,30,204,197,opel
53,51,146,183,opel
79,38,150,199,opel
80,40,180,199,opel
103,30,246,196,opel
105,32,218,196,opel
72,51,123,198,opel
96,35,235,198,opel
109,30,226,202,opel
98,31,191,198,opel
103,34,210,198,opel
71,45,165,186,opel
63,55,144,201,opel
109,30,207,198,opel
100,33,241,198,opel
96,31,218,193,opel
107,30,200,201,opel
101,30,211,197,opel
92,37,136,204,opel
104,32,215,194,opel
105,30,212,196,opel
89,39,148,202,opel
109,30,206,199,opel
96,30,217,195,opel
75,46,156,188,opel
69,48,151,206,opel
98,34,244,199,opel
109,30,206,198,opel
72,54,123,194,opel
51,57,135,184,opel
72,48,144,189,opel
86,45,139,189,opel
100,34,195,202,opel
86,37,209,199,opel
81,39,182,198,opel
69,51,144,200,opel
88,35,193,201,opel
100,31,224,192,opel
103,32,212,201,opel
109,30,236,200,opel
88,36,168,197,opel
78,44,174,197,opel
74,41,132,206,opel
84,39,155,195,opel
96,35,205,200,opel
58,51,145,184,opel
100,31,201,195,opel
63,52,139,187,opel
110,30,218,198,opel
100,31,219,194,opel
107,31,172,206,opel
101,31,193,196,opel
96,35,176,205,opel
