@relation vehicle

@attribute Compactness numeric
@attribute Max_length_aspect_ratio numeric
@attribute Elongatedness numeric
@attribute Minor_variance numeric
@attribute Class {van,saab,bus,opel}

@data
91,10,46,308,van
97,9,43,359,van
86,7,54,223,van
83,7,52,250,van
92,7,50,275,van
88,11,44,350,van
91,9,45,326,van
89,6,57,206,van
85,9,44,358,van
93,8,48,290,van
93,9,45,334,van
95,10,46,312,van
86,8,48,284,van
93,9,44,339,van
85,6,58,195,van
87,10,50,264,van
90,7,50,259,van
89,9,46,314,van
83,6,53,247,van
85,11,43,362,van
87,9,45,325,van
93,7,51,262,van
89,7,53,237,van
83,8,46,305,van
86,9,50,266,van
85,6,51,253,van
98,10,43,367,van
92,6,49,282,van
86,7,54,225,van
87,8,47,294,van
83,5,55,219,van
85,5,57,207,van
88,8,48,281,van
93,10,44,351,van
96,9,46,316,van
91,9,53,237,van
86,6,57,203,van
94,49,43,354,van
89,11,43,369,van
94,10,43,367,van
90,10,42,389,van
89,8,50,265,van
89,7,51,254,van
86,9,46,305,van
90,9,44,345,van
95,9,46,314,van
90,11,43,375,van
96,10,43,355,van
87,4,57,205,van
95,11,42,381,van
89,8,47,291,van
85,3,57,203,van
90,11,43,370,van
94,10,43,367,van
89,6,49,273,van
95,8,52,253,van
86,4,57,208,van
94,7,52,242,van
86,9,48,285,van
90,9,44,333,van
89,11,43,367,van
94,12,43,358,van
97,7,52,247,van
93,8,50,260,van
92,7,50,277,van
92,8,52,241,van
90,11,42,376,van
92,8,43,353,saab
82,7,54,229,saab
117,12,31,668,saab
98,10,35,533,saab
105,10,32,640,saab
91,9,40,404,saab
113,9,33,613,saab
115,11,30,710,saab
86,7,45,330,saab
104,10,32,664,saab
82,4,50,268,saab
111,11,32,636,saab
90,10,36,492,saab
88,8,43,357,saab
106,12,31,709,saab
86,9,39,433,saab
88,8,47,293,saab
87,8,49,277,saab
89,4,55,220,saab
79,5,48,295,saab
104,10,32,635,saab
108,10,30,718,saab
102,12,30,719,saab
90,6,41,385,saab
98,9,32,629,saab
107,11,30,709,saab
86,7,50,270,saab
85,7,44,339,saab
83,4,50,271,saab
87,6,44,337,saab
93,7,44,335,saab
106,10,32,635,saab
84,6,48,290,saab
91,8,44,334,saab
89,8,43,351,saab
86,5,45,333,saab
96,9,35,525,saab
91,8,38,445,saab
89,8,37,471,saab
104,11,31,707,saab
105,12,31,712,saab
108,10,32,635,saab
97,9,35,526,saab
91,8,41,383,saab
93,11,36,505,saab
101,12,31,684,saab
91,6,47,305,saab
107,12,31,694,saab
89,7,45,327,saab
103,11,32,650,saab
93,7,52,246,saab
85,7,46,318,saab
110,9,34,561,saab
92,6,41,382,saab
82,7,52,252,saab
86,4,49,279,saab
92,8,43,349,saab
98,9,37,472,saab
104,11,31,703,saab
108,12,31,687,saab
110,10,32,659,saab
104,11,31,694,saab
87,6,52,243,saab
84,4,59,196,saab
99,10,33,604,saab
112,11,31,676,saab
107,12,31,700,saab
85,6,58,197,saab
91,9,38,465,saab
95,9,35,543,saab
104,11,32,637,saab
85,3,61,184,saab
105,11,30,711,saab
109,10,32,635,saab
88,5,54,230,saab
105,10,33,586,saab
93,6,50,263,saab
104,11,31,667,saab
88,5,46,319,saab
82,7,51,264,saab
91,7,42,361,saab
95,10,34,559,saab
112,11,32,639,saab
92,7,41,381,saab
93,8,36,506,saab
103,10,33,612,saab
119,12,31,675,saab
92,7,43,355,saab
85,4,59,193,saab
84,7,45,327,saab
106,11,33,607,saab
90,8,38,458,saab
103,10,32,660,saab
107,11,31,705,saab
93,8,40,422,saab
108,10,30,711,saab
89,6,48,291,saab
97,9,36,512,saab
90,8,42,367,saab
105,11,35,545,saab
89,6,46,308,saab
85,5,50,260,saab
92,7,42,373,saab
90,7,41,396,saab
108,11,33,608,saab
98,8,39,430,saab
90,7,47,298,saab
91,9,38,457,saab
85,6,48,295,saab
98,9,33,584,saab
94,7,43,349,saab
91,8,47,298,saab
86,5,50,262,saab
87,6,46,318,saab
84,5,44,344,saab
101,11,32,667,saab
93,7,41,383,saab
102,10,33,600,saab
101,9,35,527,saab
104,11,31,694,saab
93,8,40,405,saab
110,12,31,674,saab
103,10,35,518,saab
89,8,46,308,saab
90,6,56,216,saab
115,12,34,573,saab
98,11,34,586,saab
108,10,34,576,saab
108,11,31,712,saab
90,7,37,467,saab
97,9,36,511,saab
94,8,42,373,saab
93,9,36,508,saab
101,10,34,578,saab
105,10,30,718,saab
100,10,32,642,saab
88,8,38,460,saab
91,7,45,327,saab
90,9,42,373,saab
93,9,39,418,saab
95,10,36,520,saab
102,10,32,621,saab
107,11,31,704,saab
106,12,30,721,saab
107,11,31,696,saab
93,7,38,452,saab
89,5,50,266,saab
96,9,34,552,saab
90,6,54,224,saab
100,10,33,587,saab
109,9,33,586,saab
96,8,37,486,saab
88,6,50,265,saab
107,11,31,673,saab
80,7,46,314,saab
108,11,32,648,saab
101,11,38,458,saab
89,9,41,390,saab
109,12,31,712,saab
91,7,39,426,saab
100,9,34,578,saab
78,6,47,299,saab
106,10,31,681,saab
83,4,52,245,saab
109,11,31,677,saab
104,11,31,669,saab
99,11,32,623,saab
96,7,38,455,saab
95,7,39,425,saab
94,9,39,430,saab
95,9,43,365,saab
96,7,47,297,saab
101,10,31,698,saab
89,8,39,427,saab
107,12,32,627,saab
101,10,34,572,saab
109,11,31,675,saab
100,9,40,415,saab
107,11,31,704,saab
98,9,37,480,saab
106,9,32,645,saab
98,9,40,415,saab
90,8,42,360,saab
89,8,40,402,saab
104,9,33,583,saab
96,8,42,378,saab
86,6,49,274,saab
97,9,32,658,saab
99,8,35,521,saab
104,10,35,527,saab
97,9,42,370,saab
86,7,45,331,saab
97,12,30,713,saab
104,10,31,686,saab
108,11,31,709,saab
84,8,46,325,bus
83,8,45,325,bus
81,6,44,340,bus
106,6,26,987,bus
81,6,44,336,bus
95,6,41,374,bus
85,6,46,317,bus
113,6,26,982,bus
80,8,45,329,bus
88,7,46,312,bus
82,7,45,329,bus
86,6,46,325,bus
89,7,45,328,bus
107,8,26,954,bus
99,6,39,414,bus
97,7,36,487,bus
110,6,26,998,bus
100,5,36,479,bus
79,8,44,344,bus
81,6,45,333,bus
100,6,34,531,bus
85,7,46,324,bus
89,7,45,323,bus
95,7,38,430,bus
86,6,45,331,bus
88,19,44,342,bus
90,6,40,393,bus
98,7,35,520,bus
100,6,32,622,bus
79,7,43,349,bus
86,6,45,334,bus
81,7,44,347,bus
94,6,41,385,bus
81,22,45,335,bus
85,7,46,321,bus
100,7,40,406,bus
96,6,38,429,bus
86,7,44,337,bus
85,7,45,326,bus
80,8,45,329,bus
102,6,29,766,bus
82,7,45,328,bus
96,5,39,419,bus
91,6,38,446,bus
82,7,44,337,bus
85,7,44,341,bus
100,6,35,517,bus
107,7,27,866,bus
94,8,42,361,bus
107,7,27,904,bus
86,6,43,356,bus
81,7,45,333,bus
82,7,44,340,bus
87,7,46,307,bus
80,7,46,327,bus
94,6,46,310,bus
85,8,45,332,bus
89,7,45,321,bus
93,7,37,463,bus
104,4,31,682,bus
101,6,26,956,bus
86,7,45,324,bus
92,6,40,393,bus
109,6,28,857,bus
101,6,43,341,bus
84,7,43,359,bus
85,7,45,325,bus
100,6,40,401,bus
90,7,45,336,bus
94,5,35,533,bus
81,7,45,330,bus
96,6,31,680,bus
86,8,46,321,bus
94,7,43,344,bus
94,7,42,362,bus
85,6,46,319,bus
109,4,29,776,bus
81,7,44,342,bus
108,6,28,855,bus
102,4,28,844,bus
96,5,36,485,bus
98,6,37,457,bus
85,22,45,330,bus
86,8,45,332,bus
91,7,44,332,bus
85,52,45,325,bus
89,7,44,342,bus
88,7,44,332,bus
84,7,44,339,bus
95,6,36,484,bus
83,7,45,333,bus
89,7,42,373,bus
88,7,44,341,bus
96,6,39,427,bus
86,6,44,335,bus
86,6,45,322,bus
93,7,43,347,bus
91,7,44,340,bus
91,7,44,325,bus
93,7,35,523,bus
104,5,31,666,bus
109,6,27,870,bus
96,7,41,372,bus
83,6,44,338,bus
85,6,45,333,bus
92,7,41,375,bus
114,6,26,968,bus
86,6,46,317,bus
99,5,31,671,bus
95,6,45,322,bus
96,5,34,534,bus
99,5,32,625,bus
84,8,45,332,bus
87,8,46,322,bus
106,5,27,891,bus
85,8,45,334,bus
102,5,33,576,bus
98,6,39,413,bus
87,6,44,343,bus
86,6,46,319,bus
87,7,44,341,bus
86,6,45,321,bus
87,7,45,327,bus
98,5,33,570,bus
94,8,42,365,bus
101,6,32,636,bus
92,6,42,363,bus
82,7,46,317,bus
87,7,45,327,bus
82,7,44,341,bus
87,6,45,318,bus
88,6,43,349,bus
103,7,28,816,bus
85,8,46,324,bus
82,6,46,320,bus
91,7,42,362,bus
86,7,44,340,bus
102,6,33,570,bus
98,5,41,371,bus
106,4,27,892,bus
107,6,26,957,bus
88,8,46,311,bus
85,7,45,326,bus
100,6,30,719,bus
90,7,44,336,bus
99,6,36,485,bus
85,7,46,320,bus
107,7,28,822,bus
82,7,45,330,bus
94,5,37,465,bus
80,7,45,337,bus
94,6,35,525,bus
106,4,27,923,bus
86,8,45,331,bus
85,7,46,323,bus
97,5,40,399,bus
80,8,45,333,bus
90,7,43,345,bus
87,6,46,324,bus
97,7,33,596,bus
83,7,46,309,bus
83,5,46,306,bus
86,7,45,327,bus
89,5,43,352,bus
82,52,45,326,bus
108,5,26,966,bus
106,4,28,838,bus
100,7,32,605,bus
102,6,30,731,bus
84,6,46,317,bus
97,7,43,346,bus
94,6,41,373,bus
105,6,33,579,bus
98,7,39,422,bus
87,5,42,362,bus
105,4,30,735,bus
89,7,46,312,bus
98,6,34,563,bus
83,6,45,327,bus
86,8,46,326,bus
92,6,43,350,bus
83,7,45,331,bus
97,6,42,361,bus
105,7,30,703,bus
80,7,45,330,bus
87,6,46,321,bus
111,6,26,1018,bus
87,6,45,326,bus
88,6,41,379,bus
99,6,35,524,bus
98,5,38,427,bus
98,7,34,558,bus
91,5,38,434,bus
85,7,45,328,bus
83,6,44,336,bus
82,7,44,350,bus
98,11,30,737,opel
107,11,33,610,opel
85,7,55,219,opel
104,11,30,713,opel
108,11,30,709,opel
89,6,50,260,opel
101,13,30,741,opel
109,11,32,630,opel
84,7,37,469,opel
106,10,36,494,opel
88,8,40,416,opel
76,5,51,259,opel
85,4,44,340,opel
100,9,35,519,opel
95,9,33,602,opel
94,9,38,444,opel
107,11,32,653,opel
93,7,51,251,opel
85,9,51,261,opel
90,8,42,367,opel
102,10,31,706,opel
101,10,32,641,opel
88,5,48,284,opel
87,8,42,366,opel
102,10,31,682,opel
82,8,44,342,opel
99,11,30,725,opel
82,5,51,259,opel
104,11,30,708,opel
92,9,41,388,opel
103,11,31,684,opel
106,8,33,602,opel
87,7,44,350,opel
95,9,32,628,opel
86,6,48,290,opel
94,7,41,394,opel
80,6,49,281,opel
97,8,39,426,opel
92,8,41,396,opel
92,7,44,333,opel
102,10,31,692,opel
77,6,46,315,opel
82,7,45,338,opel
101,10,32,653,opel
103,12,30,728,opel
86,8,52,252,opel
92,8,45,322,opel
104,10,30,737,opel
100,11,30,722,opel
103,10,32,633,opel
97,10,31,683,opel
101,9,34,571,opel
103,11,31,673,opel
97,10,31,685,opel
91,8,37,473,opel
98,9,31,661,opel
105,11,31,696,opel
86,8,43,358,opel
104,12,30,718,opel
100,11,30,752,opel
80,7,53,240,opel
93,7,44,334,opel
88,7,51,252,opel
73,6,55,227,opel
103,9,34,567,opel
86,7,44,345,opel
84,8,49,282,opel
80,6,54,229,opel
91,6,44,335,opel
100,11,30,756,opel
80,8,51,259,opel
97,11,33,602,opel
101,10,31,669,opel
101,11,30,730,opel
91,9,36,504,opel
101,12,30,757,opel
109,10,32,624,opel
89,6,45,332,opel
97,11,31,677,opel
98,12,30,748,opel
94,9,39,430,opel
95,10,31,670,opel
101,11,31,681,opel
86,9,39,428,opel
93,7,42,379,opel
85,8,44,348,opel
102,10,36,513,opel
99,10,32,657,opel
96,9,33,589,opel
100,10,32,631,opel
88,7,41,395,opel
79,7,47,311,opel
89,7,46,317,opel
97,10,34,573,opel
105,9,30,713,opel
93,10,36,504,opel
88,5,59,192,opel
91,8,40,415,opel
87,8,40,402,opel
95,10,35,534,opel
106,11,30,710,opel
98,11,31,650,opel
91,9,34,562,opel
84,7,45,330,opel
90,7,48,284,opel
101,10,32,651,opel
111,11,30,727,opel
94,8,40,418,opel
100,10,30,731,opel
104,9,35,530,opel
87,9,37,471,opel
89,6,40,396,opel
106,11,31,679,opel
104,12,30,706,opel
92,8,37,466,opel
78,6,55,221,opel
99,13,30,726,opel
97,8,41,389,opel
98,7,42,371,opel
80,3,59,191,opel
102,10,31,669,opel
107,10,35,526,opel
98,10,32,665,opel
99,11,34,575,opel
97,10,37,481,opel
89,7,46,314,opel
88,6,48,287,opel
106,12,30,717,opel
102,10,31,663,opel
100,8,35,521,opel
96,9,32,624,opel
105,10,30,706,opel
105,10,33,597,opel
103,12,32,644,opel
105,11,31,701,opel
89,7,48,286,opel
88,7,38,462,opel
89,6,37,481,opel
103,11,31,666,opel
91,9,34,574,opel
96,10,31,682,opel
103,10,32,648,opel
104,11,31,697,opel
81,6,51,259,opel
99,9,33,600,opel
95,9,37,474,opel
99,10,30,737,opel
85,7,54,233,opel
83,5,49,274,opel
104,11,32,623,opel
107,11,31,676,opel
89,7,50,266,opel
104,10,30,711,opel
97,8,41,391,opel
97,9,36,494,opel
93,7,40,417,opel
108,11,31,661,opel
107,11,30,725,opel
91,7,45,322,opel
95,7,40,406,opel
99,10,35,517,opel
88,6,44,343,opel
99,13,30,722,opel
100,9,30,704,opel
97,11,30,732,opel
106,11,31,693,opel
103,11,30,729,opel
78,4,57,209,opel
105,9,34,557,opel
89,6,46,312,opel
92,9,35,536,opel
104,11,30,716,opel
103,11,30,706,opel
92,8,48,290,opel
103,9,38,455,opel
93,7,44,342,opel
96,10,33,598,opel
77,5,52,247,opel
95,10,37,478,opel
85,8,45,331,opel
85,7,45,321,opel
95,9,35,543,opel
101,12,31,685,opel
109,10,34,553,opel
100,10,30,731,opel
102,10,30,728,opel
93,8,45,331,opel
79,9,48,295,opel
103,12,33,595,opel
106,11,31,670,opel
98,11,30,748,opel
