@relation vehicle

@attribute Compactness numeric
@attribute Praxis_aspect_ratio numeric
@attribute Praxis_rectangular numeric
@attribute Major_kurtosis numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
106,48,27,181,182,bus
94,71,19,197,206,bus
82,54,19,179,182,bus
87,64,19,190,194,bus
84,75,19,185,190,bus
85,54,19,179,181,bus
95,64,19,195,200,bus
94,72,19,199,206,bus
96,55,22,195,196,bus
85,54,19,180,182,bus
113,56,28,182,183,bus
103,52,26,183,184,bus
95,70,20,200,206,bus
94,71,22,195,198,bus
89,76,19,193,197,bus
89,66,19,191,198,bus
82,64,19,183,187,bus
93,65,21,197,202,bus
99,74,23,192,191,bus
81,64,19,182,185,bus
85,56,19,180,184,bus
80,59,19,180,185,bus
92,71,19,195,200,bus
105,51,24,188,188,bus
96,59,24,188,189,bus
82,61,19,181,185,bus
87,72,19,184,187,bus
97,60,23,192,191,bus
90,68,19,192,197,bus
86,66,19,189,196,bus
91,69,20,198,204,bus
87,61,18,192,199,bus
88,70,19,188,193,bus
91,66,19,201,207,bus
100,70,20,200,205,bus
94,72,19,200,204,bus
114,52,28,182,184,bus
97,66,19,201,208,bus
81,64,19,183,188,bus
109,57,26,184,184,bus
106,47,27,181,183,bus
88,66,19,193,201,bus
83,64,19,184,190,bus
86,56,19,178,183,bus
108,75,26,186,185,bus
86,63,19,189,196,bus
102,72,26,184,184,bus
84,64,19,183,187,bus
97,71,20,196,203,bus
88,68,19,189,195,bus
93,68,19,196,205,bus
102,65,22,193,191,bus
82,64,19,181,184,bus
94,67,18,198,203,bus
86,54,19,179,182,bus
83,70,19,181,186,bus
79,61,19,183,189,bus
80,56,19,181,187,bus
100,65,23,193,193,bus
81,57,19,179,184,bus
101,65,23,192,192,bus
99,66,20,200,202,bus
81,56,19,180,186,bus
91,69,19,195,201,bus
94,72,19,192,200,bus
87,66,19,195,200,bus
85,58,19,180,183,bus
104,54,24,190,189,bus
83,61,19,185,191,bus
88,73,20,193,197,bus
85,65,19,184,191,bus
98,71,20,200,203,bus
81,62,19,180,184,bus
85,56,19,179,184,bus
80,53,19,179,184,bus
85,57,19,180,183,bus
105,54,25,186,184,bus
90,55,19,180,184,bus
102,61,25,188,187,bus
87,56,19,179,182,bus
111,51,29,181,183,bus
81,60,19,182,186,bus
87,56,19,180,182,bus
86,64,19,181,183,bus
88,74,19,186,189,bus
85,56,19,181,185,bus
97,68,20,197,199,bus
79,62,19,182,188,bus
96,64,21,196,198,bus
106,67,28,180,184,bus
101,53,28,180,184,bus
78,65,19,181,186,bus
93,69,22,194,197,bus
91,75,20,196,201,bus
86,50,19,179,183,bus
107,51,28,181,184,bus
96,74,20,196,200,bus
107,59,26,186,184,bus
86,62,19,188,192,bus
83,65,19,188,195,bus
86,53,19,179,182,bus
85,62,19,181,184,bus
86,65,19,183,188,bus
86,53,19,179,183,bus
98,68,20,200,203,bus
85,54,19,181,184,bus
86,56,19,180,183,bus
92,70,19,198,202,bus
89,64,18,193,199,bus
87,59,19,185,188,bus
98,69,20,200,202,bus
86,70,19,187,191,bus
100,67,22,197,198,bus
83,59,19,185,191,bus
82,68,19,181,186,bus
82,68,19,183,188,bus
107,55,26,187,187,bus
99,68,22,195,195,bus
109,58,25,187,186,bus
81,55,19,179,182,bus
81,60,19,179,183,bus
100,68,23,192,194,bus
85,54,19,179,182,bus
86,68,19,188,194,bus
80,53,19,180,185,bus
106,67,27,182,182,bus
93,71,21,198,201,bus
102,60,25,188,186,bus
110,64,27,184,183,bus
89,63,19,192,196,bus
100,63,24,189,189,bus
82,52,19,180,185,bus
82,126,19,181,185,bus
91,75,19,192,199,bus
84,64,19,187,193,bus
85,53,19,180,182,bus
98,68,19,202,205,bus
94,69,19,193,198,bus
84,55,19,179,183,bus
86,56,19,181,185,bus
87,67,19,188,195,bus
86,57,19,180,184,bus
89,73,19,191,195,bus
82,69,19,181,184,bus
89,50,19,179,182,bus
99,69,21,198,199,bus
109,51,26,184,183,bus
106,47,26,185,184,bus
96,72,20,199,203,bus
100,73,20,200,204,bus
85,55,19,179,182,bus
82,64,19,187,195,bus
97,70,25,186,198,opel
99,54,25,185,198,opel
95,62,21,198,206,opel
94,62,20,191,198,opel
97,63,21,197,204,opel
100,70,25,187,198,opel
103,59,24,188,196,opel
82,54,19,183,189,opel
97,60,20,188,192,opel
93,62,21,189,197,opel
102,64,23,193,203,opel
95,65,21,193,200,opel
97,64,23,193,202,opel
100,62,22,193,198,opel
100,65,23,189,195,opel
89,55,19,191,198,opel
87,59,19,184,189,opel
95,67,23,186,193,opel
85,59,19,191,197,opel
105,64,24,188,199,opel
84,55,19,180,186,opel
87,70,22,187,194,opel
100,57,25,188,197,opel
93,62,19,203,210,opel
98,60,20,190,196,opel
92,62,21,192,200,opel
96,54,24,185,193,opel
89,54,19,188,193,opel
94,59,20,198,204,opel
89,56,19,184,188,opel
103,62,23,192,202,opel
104,69,25,187,196,opel
91,61,20,189,198,opel
85,55,17,195,201,opel
106,68,24,189,201,opel
95,68,23,191,202,opel
101,68,24,186,195,opel
93,59,19,193,197,opel
82,57,19,181,187,opel
89,57,18,193,203,opel
103,69,24,187,195,opel
86,55,18,180,187,opel
87,60,19,190,196,opel
89,65,21,189,194,opel
103,63,21,197,206,opel
91,59,19,197,203,opel
90,64,19,192,198,opel
86,60,19,187,192,opel
99,64,23,194,205,opel
102,58,25,189,198,opel
91,57,19,193,198,opel
103,59,24,186,194,opel
97,63,24,185,194,opel
97,64,20,192,198,opel
99,68,25,187,196,opel
102,63,22,195,204,opel
100,70,25,189,198,opel
104,59,22,193,200,opel
84,60,21,190,198,opel
79,53,19,181,189,opel
104,74,25,186,195,opel
103,71,23,188,196,opel
78,56,17,178,185,opel
98,65,25,185,196,opel
95,65,22,190,197,opel
87,64,21,192,199,opel
103,62,24,187,194,opel
104,72,25,186,195,opel
98,59,24,186,195,opel
103,63,22,198,204,opel
85,59,19,184,193,opel
89,58,18,203,209,opel
105,57,25,187,195,opel
87,61,20,198,205,opel
106,62,23,194,201,opel
77,59,18,183,187,opel
106,63,25,188,197,opel
101,59,24,186,195,opel
88,57,18,204,210,opel
88,59,19,202,208,opel
73,54,18,176,184,opel
100,67,24,189,199,opel
85,52,19,180,183,opel
101,63,22,191,198,opel
104,69,25,186,196,opel
93,59,20,195,201,opel
93,59,18,197,202,opel
94,62,21,201,209,opel
103,65,24,188,196,opel
101,68,24,190,202,opel
95,62,20,199,204,opel
98,61,23,189,196,opel
88,59,18,193,200,opel
85,55,19,197,203,opel
99,55,24,187,194,opel
109,59,22,196,202,opel
91,63,21,192,198,opel
101,61,25,187,201,opel
98,70,24,188,197,opel
102,53,24,187,195,opel
80,57,17,179,183,opel
106,58,24,188,198,opel
99,64,22,194,201,opel
91,65,21,193,200,opel
101,62,25,186,197,opel
88,56,19,188,197,opel
105,60,24,191,203,opel
107,64,23,197,206,opel
92,67,22,188,195,opel
89,57,20,187,193,opel
95,74,24,186,193,opel
103,56,25,187,201,opel
100,63,22,197,205,opel
92,60,19,206,211,opel
96,58,24,186,194,opel
77,59,19,181,187,opel
109,62,23,195,206,opel
104,53,25,188,198,opel
96,59,21,195,201,opel
86,62,18,183,190,opel
100,68,25,188,199,opel
90,61,21,187,193,opel
96,67,23,192,201,opel
97,65,24,188,197,opel
89,56,18,187,192,opel
109,57,23,192,201,opel
101,53,24,186,194,opel
86,54,19,186,191,opel
107,66,24,191,201,opel
107,61,25,189,196,opel
88,69,20,186,192,opel
106,60,25,186,196,opel
106,61,21,202,209,opel
104,68,23,189,196,opel
80,55,18,178,184,opel
90,55,18,192,197,opel
96,69,23,187,194,opel
101,57,25,186,198,opel
99,66,25,188,200,opel
101,54,24,190,201,opel
111,50,25,190,198,opel
91,65,23,186,194,opel
108,60,24,190,200,opel
104,62,23,195,204,opel
98,53,25,187,198,opel
80,56,18,183,191,opel
102,71,24,187,196,opel
97,66,22,191,200,opel
84,56,18,185,188,opel
84,57,18,183,191,opel
89,62,19,198,205,opel
96,65,23,186,194,opel
88,58,17,182,187,opel
97,54,24,184,193,opel
95,63,22,191,198,opel
102,57,24,191,201,opel
85,53,18,188,198,opel
104,67,24,191,202,opel
101,67,23,189,196,opel
80,59,18,179,188,opel
78,56,17,177,184,opel
102,56,25,186,196,opel
93,60,19,191,198,opel
106,57,24,192,206,opel
76,58,18,177,184,opel
107,62,22,195,203,opel
90,62,20,185,191,opel
86,57,20,183,190,opel
81,58,18,177,184,opel
103,57,25,186,198,opel
79,55,19,181,193,opel
97,62,20,203,211,opel
92,64,20,191,198,opel
94,55,20,190,195,opel
83,54,18,187,190,opel
92,58,20,200,208,opel
88,56,20,192,198,opel
98,69,25,187,195,opel
102,53,24,187,198,opel
88,62,18,194,202,opel
92,58,18,199,206,opel
104,67,24,187,196,opel
85,56,18,184,194,opel
99,62,25,186,196,opel
101,69,24,186,193,opel
101,55,24,185,192,opel
88,62,21,189,199,opel
103,64,25,189,200,opel
93,56,18,201,207,opel
84,62,18,185,190,opel
97,63,21,199,203,opel
