@relation vehicle

@attribute Compactness numeric
@attribute Distance_circularity numeric
@attribute Radius_ratio numeric
@attribute Praxis_aspect_ratio numeric
@attribute Length_rectangular numeric
@attribute Hollows_ratio numeric
@attribute Class {van,saab,bus,opel}

@data
84,53,121,59,125,183,van
88,76,155,62,137,209,van
94,84,138,57,170,191,van
85,75,121,53,165,191,van
87,81,162,68,139,199,van
95,66,126,52,140,183,van
89,89,147,61,145,199,van
86,69,150,63,134,195,van
96,87,169,67,149,201,van
85,64,129,57,125,203,van
100,90,172,67,150,200,van
91,80,162,66,145,199,van
85,57,126,56,135,202,van
89,63,134,59,137,188,van
94,83,162,64,153,196,van
94,68,150,64,143,196,van
94,66,147,62,127,201,van
93,90,166,65,156,203,van
94,72,146,60,135,195,van
89,80,131,54,163,193,van
88,55,114,53,139,183,van
91,76,138,55,135,192,van
92,60,130,62,132,194,van
91,82,164,68,137,201,van
85,68,119,52,135,187,van
97,62,133,56,143,186,van
89,68,141,59,130,196,van
89,84,133,55,160,192,van
90,63,144,59,142,204,van
91,78,148,61,152,200,van
96,88,174,68,148,202,van
89,76,125,54,151,193,van
94,85,160,63,157,199,van
90,81,144,60,156,195,van
95,82,139,56,162,191,van
89,84,141,58,145,200,van
98,88,176,67,149,202,van
89,85,160,64,151,196,van
100,85,164,64,163,196,van
98,68,136,56,144,187,van
94,87,137,54,162,194,van
86,62,140,61,127,208,van
88,51,105,52,128,183,van
93,85,161,65,157,196,van
88,80,147,62,144,197,van
93,79,159,63,150,203,van
94,85,163,68,156,195,van
91,88,157,61,157,207,van
89,70,137,58,146,187,van
100,104,184,60,147,197,saab
104,107,222,68,173,199,saab
93,63,146,58,134,204,saab
108,103,234,73,174,197,saab
86,64,148,61,138,185,saab
97,88,184,59,140,205,saab
93,98,192,63,138,197,saab
90,90,188,61,158,199,saab
109,104,199,60,162,199,saab
107,103,213,68,172,197,saab
88,63,130,58,130,188,saab
85,75,132,54,131,188,saab
107,98,210,66,169,197,saab
108,103,202,64,168,199,saab
106,108,207,64,168,205,saab
104,105,168,54,162,197,saab
98,96,203,66,157,199,saab
93,81,177,64,147,199,saab
89,85,189,64,153,201,saab
109,109,221,69,169,201,saab
95,71,171,61,134,208,saab
105,108,234,70,168,201,saab
85,72,139,59,135,195,saab
90,85,184,64,125,203,saab
108,109,182,55,171,201,saab
89,77,188,64,151,201,saab
115,100,203,62,165,197,saab
96,69,153,56,141,209,saab
91,79,176,59,148,208,saab
89,77,147,54,146,201,saab
108,100,206,63,159,205,saab
99,89,195,63,144,199,saab
91,77,157,56,126,201,saab
104,108,204,64,172,203,saab
86,66,138,59,133,190,saab
97,105,225,71,167,200,saab
106,106,211,64,158,202,saab
98,78,191,65,136,199,saab
102,101,213,67,177,199,saab
92,86,167,60,131,196,saab
89,69,162,63,131,204,saab
97,101,186,59,138,206,saab
105,100,220,69,170,199,saab
104,101,190,63,166,198,saab
104,101,197,64,172,196,saab
108,104,181,56,167,199,saab
108,105,203,62,164,200,saab
98,109,202,59,154,208,saab
88,57,132,62,125,184,saab
104,96,211,65,156,206,saab
91,83,170,60,134,194,saab
87,60,132,57,129,192,saab
99,105,219,66,165,201,saab
93,88,200,66,151,202,saab
103,100,194,60,160,208,saab
92,76,162,57,147,195,saab
91,72,133,55,132,189,saab
115,100,205,64,166,199,saab
98,81,191,64,138,205,saab
96,101,201,66,143,197,saab
108,103,212,65,162,197,saab
91,75,136,53,131,191,saab
90,57,130,57,127,195,saab
94,88,179,60,131,204,saab
112,110,186,56,159,202,saab
90,72,172,59,144,209,saab
84,53,122,57,123,190,saab
101,101,231,72,171,197,saab
104,101,199,65,168,198,saab
90,85,160,59,131,192,saab
107,108,213,64,163,205,saab
91,83,176,59,132,199,saab
105,108,201,62,163,200,saab
82,66,126,54,127,187,saab
90,83,187,63,154,195,saab
115,100,201,60,162,208,saab
82,51,114,53,126,182,saab
84,75,136,55,125,195,saab
87,74,152,58,136,196,saab
105,100,195,61,149,200,saab
93,90,209,69,156,196,saab
106,101,213,64,158,204,saab
109,96,206,64,150,198,saab
93,87,183,64,134,195,saab
91,98,192,64,135,205,saab
96,94,215,67,158,201,saab
90,66,136,55,118,202,saab
86,63,135,56,135,191,saab
90,80,171,58,132,209,saab
97,104,219,71,171,196,saab
89,54,119,53,127,185,saab
109,109,225,68,169,202,saab
109,103,210,63,172,199,saab
92,83,154,56,148,191,saab
90,66,158,59,124,207,saab
113,93,197,62,165,199,saab
97,95,202,66,144,197,saab
107,108,211,63,168,203,saab
94,77,169,60,148,199,saab
89,52,121,57,125,184,saab
93,76,149,57,143,194,saab
97,96,195,63,144,199,saab
92,78,165,57,128,211,saab
83,54,118,55,127,184,saab
92,71,174,66,133,195,saab
96,100,178,58,134,202,saab
86,78,146,58,124,195,saab
95,81,176,59,152,198,saab
93,98,197,62,146,204,saab
91,72,162,60,133,205,saab
89,77,161,62,129,193,saab
100,102,206,65,164,196,saab
85,50,104,53,118,185,saab
104,108,206,61,168,201,saab
107,104,231,71,172,196,saab
101,101,197,62,162,202,saab
87,66,140,58,136,185,saab
102,104,217,67,162,197,saab
85,75,137,56,134,187,saab
104,100,201,66,173,194,saab
106,107,202,61,153,203,saab
82,54,117,53,126,184,saab
88,77,151,58,142,205,saab
88,58,137,60,131,183,saab
107,103,182,56,162,198,saab
79,55,120,55,128,183,saab
113,98,208,62,151,204,saab
106,98,193,60,169,197,saab
95,95,202,65,160,196,saab
98,90,192,63,155,201,saab
86,86,175,60,134,199,saab
116,110,231,67,165,206,saab
109,109,193,59,156,202,saab
104,108,193,59,163,201,saab
110,104,223,66,164,203,saab
110,102,201,64,171,198,saab
105,105,184,57,168,197,saab
100,92,197,62,143,205,saab
84,83,141,54,132,191,saab
103,106,209,66,149,199,saab
101,108,228,69,168,199,saab
90,89,181,62,132,195,saab
99,104,196,63,152,197,saab
108,103,200,62,155,198,saab
89,80,151,62,139,189,saab
95,105,208,64,150,211,saab
110,100,197,61,149,203,saab
101,85,191,60,153,210,saab
91,88,189,63,132,198,saab
100,81,187,61,154,207,saab
110,104,191,57,162,199,saab
85,40,115,57,119,183,saab
101,112,201,59,162,206,saab
104,100,191,59,158,198,saab
108,109,204,61,159,199,saab
108,109,189,57,174,201,saab
91,83,162,61,128,200,saab
107,98,203,65,167,199,saab
85,53,127,58,121,189,saab
104,106,209,66,158,196,saab
83,54,131,61,127,183,saab
98,104,213,67,167,196,saab
96,78,170,58,139,200,saab
82,59,134,63,128,185,saab
101,98,194,60,161,201,saab
119,106,220,65,167,202,saab
109,103,205,63,175,200,saab
103,106,172,55,168,197,saab
102,106,221,68,164,200,saab
106,98,176,54,171,197,saab
100,88,190,60,155,210,saab
86,62,140,62,133,185,saab
93,86,180,59,134,204,saab
93,72,144,56,123,206,saab
85,66,136,58,137,186,saab
91,72,142,56,140,191,saab
96,74,187,68,134,197,saab
112,104,197,58,159,202,saab
111,108,211,61,167,205,saab
98,90,192,61,144,208,saab
89,82,156,59,129,192,saab
117,110,228,65,163,205,saab
104,105,209,61,157,207,saab
111,103,199,60,156,200,saab
88,90,178,60,152,199,saab
86,77,165,60,128,203,saab
80,63,129,55,130,185,saab
86,66,133,56,136,189,saab
94,69,161,59,143,198,saab
90,74,171,60,128,204,saab
84,77,150,59,143,187,saab
105,105,197,60,162,205,saab
95,104,208,66,148,200,saab
89,80,169,59,131,197,saab
83,54,119,57,125,183,saab
81,71,141,61,148,187,bus
81,68,139,62,145,184,bus
86,65,113,50,141,183,bus
95,71,159,64,141,200,bus
81,69,146,64,147,188,bus
98,86,207,69,161,195,bus
91,75,185,75,147,199,bus
88,78,186,73,134,197,bus
96,68,190,70,145,206,bus
85,70,205,103,144,183,bus
99,74,184,66,131,202,bus
90,71,169,68,138,197,bus
81,68,154,69,147,185,bus
92,75,184,70,131,202,bus
94,75,184,72,133,200,bus
83,68,139,59,146,191,bus
101,106,188,57,164,185,bus
86,68,152,62,142,192,bus
100,98,204,63,156,189,bus
88,71,165,70,141,193,bus
81,71,130,56,149,186,bus
98,77,199,71,150,203,bus
85,66,120,54,145,181,bus
104,94,208,66,161,191,bus
80,68,120,53,146,185,bus
95,73,191,73,126,204,bus
79,74,141,61,149,189,bus
87,65,124,56,144,182,bus
86,65,116,53,141,183,bus
97,75,188,68,129,199,bus
87,73,158,64,138,194,bus
98,70,186,68,136,203,bus
102,83,198,65,146,191,bus
85,59,132,58,144,182,bus
81,72,139,60,146,186,bus
84,70,123,54,146,184,bus
87,71,159,66,146,190,bus
98,88,191,63,147,197,bus
107,106,172,50,169,183,bus
82,72,136,61,143,185,bus
88,73,173,68,137,200,bus
98,70,182,68,124,205,bus
82,72,118,52,147,185,bus
85,66,120,53,145,182,bus
99,77,197,69,139,199,bus
85,66,122,54,141,182,bus
96,98,187,59,152,189,bus
82,63,123,54,147,182,bus
99,92,203,65,159,189,bus
86,66,126,57,145,182,bus
86,70,126,56,145,182,bus
81,68,148,64,144,185,bus
87,70,179,75,141,201,bus
97,73,173,65,143,204,bus
105,93,173,54,159,184,bus
109,95,189,58,158,186,bus
104,89,168,54,153,189,bus
85,66,123,55,146,183,bus
85,66,121,54,147,182,bus
91,81,193,69,137,204,bus
85,70,130,56,145,185,bus
89,70,148,62,143,189,bus
87,60,116,51,141,182,bus
96,74,202,74,149,200,bus
96,77,204,72,150,203,bus
86,70,140,64,145,183,bus
100,75,205,71,138,197,bus
101,91,194,65,161,192,bus
97,72,187,71,144,203,bus
96,70,194,70,148,203,bus
87,65,127,56,143,182,bus
87,70,139,59,142,188,bus
114,102,181,52,169,184,bus
86,71,170,70,146,191,bus
85,69,141,62,145,184,bus
82,71,154,68,143,186,bus
97,70,173,66,129,208,bus
102,101,238,72,163,184,bus
99,79,199,68,153,195,bus
89,72,155,63,135,196,bus
81,68,125,57,146,184,bus
81,68,169,73,146,189,bus
83,68,144,61,143,191,bus
84,76,180,75,143,190,bus
103,103,170,52,160,184,bus
100,80,206,70,156,199,bus
85,64,128,56,144,184,bus
110,103,223,64,169,183,bus
86,70,122,56,144,183,bus
100,89,199,65,159,193,bus
94,72,193,72,133,204,bus
89,70,158,64,143,199,bus
88,70,151,61,143,203,bus
94,79,203,71,154,199,bus
90,75,164,64,131,204,bus
89,76,188,76,136,197,bus
87,70,169,72,145,187,bus
78,70,147,65,145,186,bus
109,102,169,51,165,183,bus
89,75,162,66,136,195,bus
86,65,129,56,150,183,bus
96,82,161,55,141,196,bus
88,74,171,68,148,195,bus
93,84,205,71,152,201,bus
81,63,125,55,145,182,bus
106,105,164,48,165,182,bus
94,70,186,72,144,206,bus
101,62,175,67,139,209,bus
96,77,177,64,134,198,bus
100,70,185,70,153,205,bus
101,104,185,53,168,184,bus
84,66,154,65,144,188,bus
108,106,177,51,170,181,bus
110,109,199,57,169,183,bus
95,73,195,70,152,206,bus
90,79,185,69,130,205,bus
83,70,155,65,141,195,bus
107,103,167,49,172,186,bus
86,66,130,56,142,185,bus
94,84,216,74,145,197,bus
91,76,171,69,144,201,bus
105,80,207,71,159,194,bus
82,73,158,68,145,188,bus
83,71,152,64,142,190,bus
100,73,199,73,127,204,bus
86,75,165,68,146,194,bus
111,105,183,51,174,183,bus
84,68,148,64,142,187,bus
86,64,122,54,143,182,bus
102,85,193,64,146,193,bus
83,71,156,70,147,186,bus
100,95,209,68,150,194,bus
82,66,252,126,144,185,bus
93,79,180,65,158,202,bus
91,84,209,75,138,201,bus
92,74,187,74,143,201,bus
89,72,160,66,147,198,bus
85,66,125,58,145,183,bus
87,70,148,61,136,199,bus
82,73,154,65,143,189,bus
87,76,165,67,140,195,bus
89,68,113,50,147,182,bus
86,65,125,54,140,182,bus
80,71,133,60,146,184,bus
94,89,213,71,145,198,bus
102,98,201,61,165,187,bus
98,84,207,72,161,199,bus
99,88,188,62,158,190,bus
93,86,201,69,145,197,bus
92,76,180,71,131,200,bus
102,92,194,60,162,186,bus
98,72,192,69,131,202,bus
106,103,161,47,166,183,bus
86,70,149,65,146,188,bus
94,72,179,69,144,198,bus
106,107,235,67,171,184,bus
91,76,171,67,135,200,bus
82,68,150,69,144,184,bus
85,70,120,54,145,184,bus
82,70,155,64,138,195,bus
83,73,137,59,146,191,bus
98,77,171,61,139,201,bus
106,98,154,47,164,184,bus
85,66,123,56,145,182,bus
94,64,173,69,142,206,bus
98,84,219,74,154,195,bus
89,76,183,73,136,195,bus
80,71,128,56,147,187,bus
84,75,153,64,145,192,bus
86,61,119,53,144,182,bus
83,66,156,67,144,188,bus
85,66,155,65,139,191,bus
90,63,126,55,142,184,bus
96,74,183,70,127,205,bus
108,102,246,75,167,185,bus
85,66,120,53,143,182,bus
81,68,137,60,151,183,bus
97,88,183,60,148,191,bus
106,100,227,67,162,182,bus
110,106,180,51,171,182,bus
88,70,166,66,134,201,bus
109,96,191,57,170,184,bus
105,93,160,51,165,188,bus
80,68,135,59,145,185,bus
82,72,150,64,144,187,bus
86,73,125,57,147,184,bus
100,81,197,67,158,198,bus
84,76,156,64,143,193,bus
99,91,226,74,148,191,bus
88,70,177,74,143,189,bus
86,71,155,66,144,196,bus
92,75,191,71,128,202,bus
113,109,194,56,175,183,bus
107,102,184,55,171,187,bus
86,73,152,63,145,196,bus
87,76,159,65,138,193,bus
97,101,210,66,151,200,opel
95,96,196,63,161,198,opel
101,100,204,62,178,197,opel
84,74,138,57,127,191,opel
111,103,171,50,172,198,opel
104,105,216,68,169,196,opel
88,88,194,69,133,192,opel
103,105,221,69,173,195,opel
94,79,181,62,148,198,opel
76,58,125,58,127,184,opel
107,92,197,62,148,203,opel
100,100,209,65,147,195,opel
88,78,160,62,123,202,opel
106,98,192,58,166,198,opel
91,101,199,65,146,194,opel
88,71,145,56,143,197,opel
86,66,129,55,136,187,opel
91,93,197,65,137,200,opel
97,108,211,65,156,197,opel
107,101,218,64,164,206,opel
94,84,158,55,130,195,opel
80,64,130,59,126,188,opel
93,78,166,59,141,197,opel
95,92,193,62,154,206,opel
85,72,127,56,125,194,opel
106,96,201,61,158,209,opel
73,53,111,54,128,184,opel
82,73,141,57,133,187,opel
89,81,156,57,149,193,opel
104,105,223,70,177,196,opel
95,96,197,65,141,200,opel
98,101,219,69,178,195,opel
100,109,225,68,165,199,opel
107,103,186,57,162,198,opel
106,107,211,62,161,201,opel
85,66,121,52,133,183,opel
87,98,211,70,141,194,opel
85,78,149,55,128,203,opel
100,104,163,52,164,196,opel
102,96,197,63,142,204,opel
106,98,203,63,167,197,opel
84,60,128,56,130,188,opel
80,69,127,56,124,191,opel
84,71,131,55,134,186,opel
96,104,222,67,163,201,opel
84,90,180,60,131,198,opel
93,88,188,62,141,197,opel
108,105,230,68,171,197,opel
88,77,156,56,129,198,opel
101,107,222,68,154,202,opel
80,60,122,56,131,186,opel
99,104,177,55,166,194,opel
81,53,123,58,128,184,opel
86,84,149,57,133,190,opel
95,105,219,68,148,202,opel
102,108,193,57,162,201,opel
89,69,147,58,137,209,opel
93,66,140,56,120,207,opel
86,77,155,60,141,192,opel
96,83,177,59,152,201,opel
100,109,231,70,163,198,opel
99,101,206,62,180,196,opel
78,60,116,56,124,185,opel
99,88,204,64,159,201,opel
102,98,167,53,174,198,opel
86,89,176,59,132,202,opel
105,96,181,56,175,194,opel
96,104,175,58,175,194,opel
97,105,212,64,155,202,opel
97,81,183,64,150,198,opel
104,103,222,72,177,195,opel
99,101,219,68,178,196,opel
92,82,170,58,149,208,opel
87,82,164,60,144,196,opel
88,50,121,58,122,187,opel
103,105,183,59,173,196,opel
104,110,172,53,166,198,opel
86,77,144,54,127,191,opel
105,107,207,60,167,203,opel
83,69,127,54,131,190,opel
90,86,169,62,131,191,opel
93,73,164,59,146,201,opel
103,100,185,59,173,194,opel
91,75,154,57,146,198,opel
89,83,195,65,156,194,opel
89,78,153,61,127,194,opel
100,109,224,67,162,199,opel
89,69,142,57,126,203,opel
99,109,220,66,176,200,opel
104,109,230,67,174,202,opel
94,74,169,59,133,204,opel
89,77,172,62,125,205,opel
104,101,206,62,161,204,opel
98,101,208,65,182,196,opel
101,105,212,68,162,195,opel
102,100,163,53,173,195,opel
92,93,204,67,161,195,opel
92,75,172,60,142,211,opel
103,100,194,62,175,194,opel
102,98,225,71,164,196,opel
104,91,209,67,170,196,opel
95,80,186,62,145,204,opel
100,101,189,57,177,197,opel
91,66,159,59,131,203,opel
97,96,170,54,173,193,opel
97,108,227,70,186,198,opel
85,63,130,55,130,201,opel
101,103,203,63,162,198,opel
90,83,178,61,132,193,opel
84,66,138,62,132,190,opel
108,103,197,60,160,200,opel
106,107,194,57,161,206,opel
93,78,162,60,125,198,opel
93,66,154,59,128,202,opel
90,78,145,55,138,197,opel
97,103,197,63,172,194,opel
79,72,127,53,135,189,opel
104,103,216,69,176,196,opel
93,83,165,60,147,192,opel
95,104,228,74,175,193,opel
96,103,215,69,147,194,opel
109,103,186,57,156,201,opel
80,42,110,57,119,183,opel
77,63,135,59,130,187,opel
105,100,195,61,150,202,opel
99,105,209,64,152,205,opel
88,69,152,57,122,210,opel
107,103,221,66,163,201,opel
88,79,183,62,138,199,opel
86,66,128,57,127,187,opel
101,103,212,67,156,196,opel
97,94,209,67,147,197,opel
91,98,196,62,161,199,opel
87,77,153,59,145,189,opel
103,96,232,71,153,196,opel
92,69,158,56,143,203,opel
107,105,202,61,179,196,opel
101,108,184,54,172,201,opel
92,91,191,62,137,200,opel
102,101,213,64,157,203,opel
100,109,230,70,182,198,opel
109,107,215,62,158,206,opel
89,80,191,66,143,199,opel
93,72,172,62,124,210,opel
102,101,190,58,171,198,opel
98,101,195,61,152,196,opel
102,98,177,56,171,196,opel
77,75,144,59,132,187,opel
82,86,140,54,134,189,opel
104,96,231,74,172,195,opel
100,93,193,62,147,198,opel
98,108,168,53,178,198,opel
85,80,158,59,126,197,opel
101,100,215,69,169,193,opel
106,96,196,60,173,196,opel
98,76,166,60,148,196,opel
101,100,168,55,175,192,opel
104,103,230,69,176,196,opel
97,76,169,60,131,192,opel
98,104,186,59,172,195,opel
100,107,207,63,180,198,opel
103,107,189,56,174,201,opel
89,82,136,54,144,193,opel
96,103,201,65,166,194,opel
103,107,179,54,159,200,opel
87,86,190,64,153,199,opel
97,94,198,63,155,203,opel
95,104,214,67,151,193,opel
105,96,185,57,170,195,opel
103,101,204,62,158,202,opel
91,76,172,61,134,198,opel
103,83,194,63,142,206,opel
100,96,206,63,156,205,opel
85,72,130,53,132,198,opel
82,53,125,59,128,183,opel
96,98,161,54,175,193,opel
94,89,194,62,135,209,opel
87,85,177,61,129,205,opel
91,86,195,63,156,198,opel
90,78,179,64,126,198,opel
95,96,202,65,143,197,opel
105,98,209,64,173,199,opel
89,75,140,55,139,198,opel
92,74,178,62,135,206,opel
85,77,151,59,134,193,opel
103,91,179,57,170,198,opel
105,105,213,67,163,198,opel
103,107,218,64,174,200,opel
99,100,199,62,166,198,opel
101,105,182,59,177,195,opel
101,105,162,53,163,194,opel
