@relation vehicle

@attribute Scatter_ratio numeric
@attribute Elongatedness numeric
@attribute Length_rectangular numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
133,50,141,67,van
119,57,128,86,van
115,58,126,74,van
134,51,142,75,van
158,43,157,68,van
151,44,148,70,van
158,43,163,97,van
128,52,129,62,van
135,49,145,75,van
144,46,139,71,van
116,57,135,64,van
127,52,139,62,van
155,43,155,135,van
143,46,147,72,van
146,46,139,70,van
163,42,163,71,van
157,43,157,67,van
162,42,155,74,van
153,44,156,118,van
132,53,139,87,van
156,43,149,68,van
156,44,158,74,van
130,52,143,78,van
162,42,159,70,van
137,48,145,63,van
142,47,148,63,van
159,43,156,76,van
122,55,128,85,van
126,53,128,64,van
145,46,147,66,van
150,45,149,91,van
143,46,137,68,van
159,43,167,75,van
142,46,144,71,van
118,57,129,80,van
156,44,170,77,van
151,44,147,67,van
133,52,140,78,van
114,58,135,64,van
131,50,127,66,van
136,49,145,64,van
130,51,142,63,van
161,42,153,77,van
147,45,148,71,van
120,56,128,73,van
117,57,134,69,van
130,51,138,69,van
155,44,153,75,van
155,43,150,67,van
157,44,160,74,van
136,49,133,72,van
157,43,158,75,van
135,51,144,78,van
132,51,135,69,van
138,48,134,71,van
134,52,141,80,van
139,48,139,62,van
159,43,156,74,van
153,44,151,74,van
118,57,125,85,van
122,55,129,79,van
118,57,128,88,van
161,43,167,74,van
156,44,151,76,van
158,43,162,75,van
146,45,140,64,van
160,42,157,70,van
155,43,151,72,van
145,46,148,64,van
153,44,156,66,van
154,43,129,69,saab
211,31,168,71,saab
207,32,153,70,saab
173,38,151,66,saab
140,48,131,66,saab
122,55,125,82,saab
125,54,130,74,saab
186,35,144,68,saab
198,34,150,66,saab
220,30,166,71,saab
218,31,167,72,saab
222,30,177,71,saab
157,42,132,60,saab
150,45,138,80,saab
142,47,128,63,saab
133,50,135,70,saab
174,38,139,68,saab
214,32,162,65,saab
208,32,158,68,saab
152,44,134,76,saab
219,31,168,69,saab
169,39,136,67,saab
169,40,134,72,saab
222,30,173,70,saab
137,49,127,75,saab
193,34,160,71,saab
164,40,134,67,saab
167,39,134,63,saab
183,36,146,64,saab
129,52,127,81,saab
163,40,148,62,saab
217,31,171,72,saab
157,43,134,63,saab
140,47,142,64,saab
125,54,126,78,saab
198,33,149,67,saab
213,31,171,73,saab
166,40,138,62,saab
210,32,163,73,saab
186,36,138,67,saab
193,34,149,65,saab
208,32,162,71,saab
135,50,125,83,saab
140,48,125,71,saab
164,40,150,72,saab
188,35,157,68,saab
214,31,169,68,saab
222,30,175,71,saab
206,32,155,72,saab
177,37,133,70,saab
160,41,133,72,saab
212,31,163,66,saab
112,61,119,86,saab
144,47,131,69,saab
159,41,147,69,saab
207,32,167,64,saab
206,32,163,65,saab
160,41,148,71,saab
172,38,134,72,saab
144,46,146,64,saab
175,38,153,62,saab
171,38,155,59,saab
220,31,172,71,saab
175,38,132,69,saab
185,35,160,62,saab
207,32,156,70,saab
178,37,144,61,saab
219,30,172,71,saab
149,44,143,69,saab
220,31,167,72,saab
169,39,139,61,saab
207,32,157,64,saab
197,33,152,68,saab
142,47,130,77,saab
161,41,131,68,saab
220,30,168,73,saab
155,42,126,65,saab
166,40,154,63,saab
123,54,118,65,saab
211,31,156,68,saab
135,50,126,86,saab
153,43,128,60,saab
217,31,163,72,saab
175,38,152,68,saab
150,45,133,82,saab
219,30,172,70,saab
213,31,162,68,saab
168,39,152,67,saab
216,31,171,72,saab
181,36,158,69,saab
218,31,170,71,saab
148,46,131,86,saab
169,39,153,64,saab
215,31,168,71,saab
170,39,134,68,saab
201,33,152,64,saab
215,31,162,67,saab
191,35,162,64,saab
216,31,165,72,saab
183,36,156,70,saab
142,48,137,77,saab
160,41,125,66,saab
221,30,167,70,saab
203,33,151,64,saab
128,52,129,71,saab
188,35,162,67,saab
196,34,162,62,saab
199,34,154,61,saab
208,32,162,72,saab
180,36,143,64,saab
141,47,141,61,saab
201,33,152,73,saab
217,31,165,72,saab
220,31,174,70,saab
135,51,128,82,saab
221,30,170,73,saab
198,33,164,72,saab
218,31,173,71,saab
212,31,159,71,saab
169,39,132,67,saab
133,50,123,63,saab
206,32,167,72,saab
213,32,166,74,saab
195,34,161,67,saab
176,37,154,70,saab
132,52,127,72,saab
159,42,134,69,saab
202,33,164,68,saab
135,50,127,85,saab
220,30,163,72,saab
211,32,171,74,saab
116,58,121,70,saab
215,31,169,73,saab
142,48,128,81,saab
149,45,132,74,saab
218,31,170,67,saab
213,31,172,74,saab
208,32,159,67,saab
215,31,168,68,saab
217,31,165,67,saab
152,44,143,77,saab
128,52,134,63,saab
185,36,138,70,saab
152,43,143,67,saab
213,31,167,66,saab
158,42,131,68,saab
212,32,168,73,saab
197,34,147,73,saab
208,32,166,69,saab
187,35,158,67,saab
146,46,130,83,saab
170,39,131,66,saab
207,32,164,71,saab
211,32,164,67,saab
150,44,133,63,saab
196,34,159,65,saab
201,33,158,65,saab
197,33,158,70,saab
221,31,169,72,saab
214,31,173,74,saab
158,42,148,67,saab
161,41,151,66,saab
116,59,123,76,saab
198,33,150,70,saab
222,31,168,71,saab
177,37,155,65,saab
207,32,158,73,saab
115,59,118,83,saab
187,35,156,65,saab
191,35,148,68,saab
160,41,147,70,saab
208,32,163,70,saab
213,31,168,72,saab
135,50,124,66,saab
181,37,134,68,saab
216,31,173,74,saab
146,46,132,77,saab
140,47,124,61,saab
213,31,162,72,saab
149,45,129,71,saab
214,31,167,70,saab
157,42,128,61,saab
216,31,171,74,saab
151,44,136,70,saab
132,50,135,68,saab
148,46,136,79,saab
175,38,132,70,saab
188,35,144,72,saab
153,43,129,70,saab
134,50,127,79,saab
219,31,172,71,saab
175,38,140,63,saab
128,53,125,82,saab
154,43,149,69,saab
157,42,149,63,saab
213,31,152,77,bus
173,37,158,70,bus
153,42,143,66,bus
186,35,145,71,bus
209,31,159,78,bus
149,45,142,78,bus
152,45,141,85,bus
161,40,128,69,bus
153,44,146,81,bus
144,46,141,71,bus
199,32,150,73,bus
153,42,144,67,bus
255,26,169,85,bus
149,43,127,69,bus
153,44,149,81,bus
155,43,143,77,bus
176,36,138,72,bus
236,28,160,82,bus
151,45,147,88,bus
260,26,175,85,bus
153,43,149,77,bus
148,45,144,119,bus
152,44,147,82,bus
239,28,167,82,bus
184,35,161,72,bus
151,43,131,66,bus
148,46,145,86,bus
203,32,158,77,bus
177,36,134,74,bus
169,38,137,68,bus
150,46,141,85,bus
222,30,159,83,bus
149,46,145,83,bus
150,46,144,85,bus
190,34,154,74,bus
147,46,145,77,bus
146,45,141,69,bus
256,26,170,87,bus
152,44,145,84,bus
185,35,153,74,bus
208,31,161,76,bus
153,44,148,80,bus
147,46,143,81,bus
164,39,131,71,bus
177,36,139,72,bus
250,27,162,88,bus
147,46,143,80,bus
164,39,136,71,bus
261,26,171,83,bus
150,45,145,85,bus
154,42,127,67,bus
150,43,142,68,bus
154,44,144,80,bus
153,44,144,78,bus
257,26,172,83,bus
151,45,146,80,bus
237,28,164,82,bus
151,45,147,81,bus
150,45,144,78,bus
197,33,148,74,bus
192,33,146,76,bus
149,46,143,85,bus
145,46,144,73,bus
166,38,131,70,bus
192,34,147,73,bus
150,46,148,82,bus
145,45,134,70,bus
236,28,164,81,bus
183,35,156,73,bus
177,36,139,68,bus
149,43,139,65,bus
184,35,145,73,bus
150,44,142,75,bus
148,46,145,86,bus
151,45,147,82,bus
143,46,143,68,bus
194,33,146,79,bus
163,39,149,70,bus
225,29,165,79,bus
146,45,146,71,bus
148,45,138,72,bus
152,44,142,81,bus
149,45,146,77,bus
150,45,147,88,bus
149,45,139,75,bus
149,46,145,86,bus
148,45,146,75,bus
257,26,168,83,bus
146,45,144,72,bus
165,39,128,72,bus
162,40,153,68,bus
151,45,146,81,bus
153,43,136,72,bus
201,32,159,74,bus
150,45,146,81,bus
148,45,145,82,bus
217,30,165,81,bus
143,46,143,69,bus
251,27,169,82,bus
152,45,141,85,bus
149,44,145,71,bus
154,42,131,71,bus
150,44,146,74,bus
148,45,145,84,bus
147,45,143,76,bus
155,41,124,71,bus
151,45,147,79,bus
152,43,131,72,bus
265,26,174,85,bus
150,45,145,82,bus
166,39,150,69,bus
149,46,143,85,bus
171,38,138,69,bus
149,45,145,81,bus
148,46,141,88,bus
146,46,142,75,bus
234,28,171,77,bus
172,37,139,72,bus
150,46,147,81,bus
145,45,141,67,bus
157,41,143,70,bus
150,45,143,78,bus
227,29,158,82,bus
148,46,143,87,bus
157,42,136,74,bus
218,30,156,77,bus
144,46,141,71,bus
146,45,135,72,bus
149,46,146,85,bus
162,40,127,72,bus
152,43,148,71,bus
151,45,145,81,bus
151,44,145,80,bus
161,40,144,70,bus
156,41,126,71,bus
142,46,142,65,bus
241,27,165,84,bus
160,40,130,66,bus
151,45,147,86,bus
192,33,161,75,bus
202,32,148,79,bus
148,46,145,87,bus
158,41,134,73,bus
150,44,138,71,bus
150,44,137,69,bus
149,46,144,83,bus
155,42,133,70,bus
156,41,144,69,bus
147,45,143,74,bus
151,44,146,75,bus
150,46,144,82,bus
151,44,146,73,bus
257,26,169,85,bus
144,46,147,69,bus
152,45,150,83,bus
149,45,144,127,bus
167,39,148,69,bus
150,46,147,87,bus
154,42,147,72,bus
150,44,144,69,bus
167,38,152,69,bus
241,28,170,85,bus
250,26,169,85,bus
150,46,144,87,bus
176,36,152,70,bus
151,44,138,73,bus
186,34,141,75,bus
141,47,143,66,bus
152,45,151,81,bus
151,45,143,86,bus
247,27,165,84,bus
151,44,143,76,bus
154,43,145,75,bus
220,30,162,80,bus
150,45,140,85,bus
148,45,144,80,bus
149,46,144,87,bus
149,45,145,85,bus
155,42,138,76,bus
154,43,146,74,bus
155,41,145,67,bus
171,37,129,74,bus
212,31,153,78,bus
174,37,154,71,bus
149,46,146,83,bus
148,45,140,72,bus
158,41,133,70,bus
151,45,146,79,bus
152,44,143,76,bus
178,36,157,72,bus
145,44,140,67,bus
148,44,134,69,bus
240,27,168,80,bus
150,45,144,80,bus
238,28,163,85,bus
151,43,131,68,bus
139,49,131,80,opel
145,46,139,71,opel
153,44,133,75,opel
142,48,143,68,opel
135,50,126,66,opel
192,34,161,64,opel
146,46,127,69,opel
218,31,170,74,opel
198,33,161,64,opel
205,32,153,71,opel
220,31,170,72,opel
209,32,163,66,opel
193,34,150,65,opel
138,48,126,72,opel
142,46,128,64,opel
205,32,158,65,opel
140,48,123,66,opel
192,35,151,66,opel
152,44,133,87,opel
135,49,131,69,opel
161,41,135,63,opel
164,40,145,65,opel
215,31,175,76,opel
132,50,130,75,opel
225,30,178,74,opel
200,33,147,73,opel
161,41,131,62,opel
168,39,150,70,opel
178,37,154,64,opel
218,30,173,73,opel
161,41,149,72,opel
178,37,132,71,opel
147,45,142,62,opel
205,32,169,71,opel
162,41,149,67,opel
151,44,141,68,opel
201,33,156,69,opel
213,32,172,73,opel
186,35,156,62,opel
130,51,120,62,opel
208,32,169,74,opel
205,32,151,74,opel
177,37,156,67,opel
167,40,134,71,opel
214,31,164,71,opel
209,32,162,73,opel
224,30,178,73,opel
200,33,158,66,opel
164,40,129,63,opel
147,45,131,64,opel
218,31,167,66,opel
206,32,164,69,opel
216,31,172,68,opel
201,33,148,69,opel
218,30,174,67,opel
224,30,186,70,opel
195,34,162,68,opel
183,36,137,66,opel
175,38,142,65,opel
212,31,175,74,opel
227,30,180,72,opel
151,44,145,64,opel
177,37,153,67,opel
206,32,156,65,opel
196,34,146,73,opel
188,35,148,64,opel
213,31,173,76,opel
167,40,148,67,opel
135,50,136,74,opel
216,31,173,75,opel
147,46,132,80,opel
207,31,152,71,opel
134,51,126,76,opel
225,30,177,71,opel
165,40,149,61,opel
125,54,125,81,opel
150,45,134,73,opel
222,30,180,71,opel
168,40,133,74,opel
177,37,131,71,opel
219,30,176,73,opel
224,30,188,72,opel
197,34,152,65,opel
185,36,142,65,opel
218,30,171,69,opel
221,30,176,70,opel
200,33,163,68,opel
223,30,177,75,opel
221,30,177,72,opel
195,34,147,70,opel
221,30,173,72,opel
181,36,155,64,opel
210,31,168,72,opel
134,51,128,83,opel
120,57,124,84,opel
133,51,128,87,opel
162,41,131,74,opel
200,33,161,67,opel
215,31,177,74,opel
157,42,126,66,opel
181,36,158,62,opel
128,53,124,70,opel
178,37,156,71,opel
172,38,135,63,opel
154,44,145,75,opel
140,48,135,72,opel
210,32,173,72,opel
126,54,132,70,opel
147,47,135,76,opel
156,42,144,70,opel
149,44,143,63,opel
227,30,178,73,opel
201,32,147,72,opel
217,30,162,72,opel
126,55,128,82,opel
219,30,175,74,opel
146,46,137,76,opel
222,30,171,71,opel
222,30,174,67,opel
140,48,138,64,opel
204,32,166,74,opel
198,33,163,67,opel
162,40,143,66,opel
190,35,161,68,opel
138,48,122,62,opel
134,51,132,65,opel
157,42,125,63,opel
201,33,155,64,opel
208,32,154,70,opel
216,31,173,75,opel
161,41,131,72,opel
153,44,126,69,opel
171,39,152,67,opel
210,32,166,73,opel
185,35,159,66,opel
215,31,172,75,opel
149,45,144,68,opel
193,34,161,64,opel
217,31,174,72,opel
212,31,165,72,opel
150,44,146,66,opel
214,31,175,74,opel
150,45,125,67,opel
215,31,170,68,opel
222,30,177,71,opel
169,39,132,67,opel
188,35,161,67,opel
156,43,133,74,opel
130,51,134,64,opel
131,52,127,76,opel
215,31,175,75,opel
222,30,165,73,opel
202,33,164,65,opel
149,44,124,62,opel
189,35,141,71,opel
163,41,129,67,opel
162,41,133,63,opel
214,31,161,67,opel
157,42,148,69,opel
189,35,143,71,opel
150,45,134,80,opel
203,33,157,65,opel
226,30,182,71,opel
219,31,171,72,opel
169,39,130,69,opel
179,37,140,63,opel
208,32,159,66,opel
212,31,163,74,opel
114,59,119,87,opel
225,30,178,74,opel
127,54,125,70,opel
220,30,163,73,opel
214,31,162,66,opel
132,50,137,61,opel
133,51,127,87,opel
217,31,166,71,opel
176,37,137,67,opel
193,34,161,69,opel
200,33,166,70,opel
138,48,138,67,opel
220,30,167,71,opel
217,31,173,72,opel
139,49,127,72,opel
154,43,127,71,opel
219,30,166,74,opel
122,55,130,64,opel
223,30,174,70,opel
142,48,135,77,opel
167,40,147,73,opel
220,30,172,73,opel
189,35,161,72,opel
