@relation vehicle

@attribute Compactness numeric
@attribute Circularity numeric
@attribute Distance_circularity numeric
@attribute Major_variance numeric
@attribute Major_kurtosis numeric
@attribute Class {van,saab,bus,opel}

@data
98,51,84,199,196,bus
82,45,66,237,181,bus
102,53,101,267,184,bus
87,42,60,169,178,bus
86,45,70,170,180,bus
80,44,68,170,180,bus
97,45,72,178,196,bus
98,52,86,212,194,bus
98,40,77,197,199,bus
83,42,71,172,184,bus
99,47,91,234,192,bus
83,42,66,174,182,bus
91,42,81,184,198,bus
105,51,93,240,188,bus
86,43,66,177,181,bus
97,49,76,194,197,bus
110,56,109,272,183,bus
109,52,95,262,187,bus
86,43,69,174,180,bus
106,54,103,266,181,bus
100,41,75,204,197,bus
107,57,106,280,181,bus
86,47,75,176,188,bus
84,47,75,175,185,bus
83,46,73,167,185,bus
86,43,70,166,179,bus
106,57,107,285,180,bus
98,46,88,215,194,bus
99,51,92,232,191,bus
82,44,72,173,181,bus
85,43,66,173,180,bus
111,58,105,285,181,bus
90,38,79,178,198,bus
89,41,75,175,188,bus
87,42,76,184,189,bus
86,45,66,170,179,bus
90,42,63,173,180,bus
85,43,66,172,180,bus
96,36,74,178,201,bus
104,52,94,227,193,bus
104,49,89,238,190,bus
94,44,84,208,196,bus
108,56,102,264,186,bus
110,56,103,280,184,bus
105,50,93,254,186,bus
99,41,77,202,198,bus
99,38,74,193,200,bus
84,45,68,168,183,bus
85,42,64,167,179,bus
86,42,65,171,180,bus
95,57,104,224,186,opel
104,58,103,231,187,opel
80,34,42,131,179,opel
97,50,108,232,188,opel
89,47,81,187,187,opel
97,41,92,197,197,opel
93,35,72,169,203,opel
97,37,76,189,188,opel
91,45,75,170,193,opel
103,54,91,220,186,opel
88,35,50,132,182,opel
103,48,96,226,188,opel
88,38,77,184,192,opel
87,45,82,181,190,opel
101,55,107,228,187,opel
102,54,98,219,186,opel
94,38,84,196,190,opel
89,42,75,170,191,opel
111,54,103,227,190,opel
92,42,69,165,199,opel
86,37,77,179,186,opel
94,39,89,191,201,opel
103,50,98,214,198,opel
102,54,100,219,187,opel
101,56,100,227,186,opel
78,36,60,141,178,opel
103,54,107,225,187,opel
99,46,105,212,194,opel
104,52,96,206,193,opel
96,48,83,195,195,opel
86,40,75,158,183,opel
99,55,101,228,187,opel
105,52,107,221,191,opel
95,45,80,188,199,opel
95,42,96,199,193,opel
92,42,75,174,206,opel
81,38,53,147,177,opel
84,38,66,144,185,opel
104,56,96,223,186,opel
98,55,101,231,187,opel
106,52,107,218,194,opel
107,52,101,219,197,opel
101,55,101,225,186,opel
100,55,101,225,188,opel
88,40,69,147,193,opel
93,45,73,182,195,opel
103,56,100,219,186,opel
97,47,81,193,192,opel
89,41,75,170,184,opel
96,54,104,221,186,opel
103,49,107,214,191,opel
80,38,64,152,179,opel
96,52,104,217,192,opel
91,35,66,169,197,opel
89,44,80,189,194,opel
96,55,98,226,185,opel
105,46,100,207,194,opel
98,58,101,225,185,opel
78,36,51,135,177,opel
100,44,93,202,193,opel
85,36,78,168,197,opel
82,38,53,152,177,opel
83,39,69,155,187,opel
80,36,69,147,183,opel
105,54,105,214,190,opel
100,51,109,238,189,opel
104,55,109,230,191,opel
107,52,103,217,189,opel
89,36,77,174,198,opel
101,51,105,222,186,opel
102,52,98,228,187,opel
95,51,96,208,191,opel
107,56,105,234,189,opel
91,52,98,216,190,opel
96,55,103,227,186,opel
105,54,96,231,187,opel
106,49,96,197,202,opel
88,44,71,159,188,opel
104,57,103,228,186,opel
102,43,96,202,195,opel
102,51,108,219,191,opel
98,55,108,231,187,opel
89,44,82,170,188,opel
106,55,96,225,186,opel
82,39,86,174,183,opel
80,39,60,151,179,opel
103,56,105,217,188,opel
99,52,104,219,187,opel
82,40,73,173,181,opel
90,39,86,194,185,opel
93,42,88,208,189,opel
92,39,91,196,192,opel
100,45,100,231,189,opel
88,44,77,175,202,opel
109,48,107,222,195,opel
97,55,103,219,185,opel
93,43,78,182,193,opel
87,44,98,214,187,opel
99,50,88,209,194,opel
97,59,108,225,186,opel
101,55,105,221,186,opel
108,51,103,222,190,opel
99,54,100,222,189,opel
103,48,101,215,192,opel
90,41,78,161,192,opel
103,55,103,229,188,opel
92,38,74,181,197,opel
97,48,94,200,199,opel
91,38,76,196,189,opel
89,50,83,207,189,opel
98,54,104,223,186,opel
106,55,98,222,189,opel
93,34,66,151,201,opel
77,38,63,145,183,opel
104,54,91,223,187,opel
95,49,92,200,198,opel
90,36,78,182,192,opel
104,52,110,235,188,opel
88,39,88,199,186,opel
86,44,77,174,187,opel
101,48,107,232,190,opel
79,40,80,172,181,opel
109,51,100,210,196,opel
84,38,74,160,183,opel
100,51,104,217,188,opel
101,56,100,231,186,opel
106,53,98,228,188,opel
89,36,72,163,187,opel
80,37,57,142,178,opel
103,57,105,226,187,opel
91,49,86,203,192,opel
97,46,101,208,191,opel
104,55,105,237,188,opel
91,41,93,202,193,opel
86,41,66,154,180,opel
98,48,101,227,189,opel
103,55,100,217,187,opel
100,58,109,234,187,opel
102,54,101,224,189,opel
86,36,66,148,183,opel
106,53,98,228,188,opel
97,55,96,219,184,opel
93,35,66,162,197,opel
99,57,100,223,185,opel
85,37,80,179,191,opel
100,49,96,202,197,opel
106,49,107,224,192,opel
103,41,83,199,197,opel
90,40,83,199,187,opel
104,52,101,207,195,opel
79,39,72,165,181,opel
94,46,79,190,191,opel
88,34,69,158,204,opel
92,43,69,170,198,opel
85,39,77,176,184,opel
98,55,101,236,188,opel
100,57,107,234,186,opel
92,46,79,183,191,opel
101,53,103,210,191,opel
102,54,98,228,187,opel
101,52,105,226,186,opel
98,45,76,184,190,opel
89,40,69,155,203,opel
87,38,85,186,198,opel
91,46,101,219,186,opel
101,56,100,219,185,opel
77,38,75,167,181,opel
102,52,101,214,193,opel
84,38,60,148,185,opel
93,47,83,197,187,opel
97,46,94,224,188,opel
93,35,78,172,191,opel
87,49,86,197,192,opel
89,38,78,166,187,opel
105,55,96,231,187,opel
108,55,105,228,190,opel
86,39,84,185,183,opel
88,40,79,200,189,opel
92,46,82,181,200,opel
101,49,103,215,189,opel
97,37,78,182,203,opel
73,37,53,135,176,opel
99,57,109,234,188,opel
109,49,103,212,192,opel
84,40,71,167,180,opel
105,56,98,225,188,opel
85,36,72,144,184,opel
85,38,72,145,188,opel
76,38,58,152,177,opel
86,38,89,190,193,opel
100,52,109,241,188,opel
