@relation vehicle

@attribute Distance_circularity numeric
@attribute Scatter_ratio numeric
@attribute Length_rectangular numeric
@attribute Major_skewness numeric
@attribute Class {van,saab,bus,opel}

@data
73,154,127,67,bus
83,194,146,79,bus
70,148,138,72,bus
80,195,159,75,bus
73,156,126,71,bus
98,218,156,77,bus
72,153,146,81,bus
102,241,165,84,bus
68,147,143,74,bus
64,148,143,87,bus
68,150,147,88,bus
93,217,165,81,bus
65,150,140,85,bus
66,148,144,119,bus
66,149,139,75,bus
95,199,150,73,bus
65,150,148,82,bus
89,201,159,74,bus
68,147,143,80,bus
74,145,134,70,bus
70,148,145,86,bus
86,184,145,72,bus
64,150,144,82,bus
70,164,136,71,bus
102,239,167,82,bus
76,148,140,72,bus
75,171,129,74,bus
72,152,147,82,bus
69,151,147,75,bus
81,169,137,68,bus
88,197,148,74,bus
65,151,145,81,bus
75,153,136,72,bus
71,150,143,78,bus
70,149,145,81,bus
68,151,147,86,bus
92,220,162,80,bus
68,150,144,80,bus
85,192,146,76,bus
89,212,153,78,bus
71,151,146,73,bus
96,241,170,85,bus
103,250,169,85,bus
63,151,147,81,bus
75,154,147,72,bus
71,149,142,74,bus
89,186,145,71,bus
80,183,156,73,bus
74,149,127,69,bus
70,153,144,67,bus
70,148,144,84,bus
76,152,131,72,bus
68,150,142,75,bus
73,148,146,75,bus
76,155,143,77,bus
75,154,146,74,bus
107,262,171,86,bus
84,176,152,70,bus
68,150,145,85,bus
74,164,131,71,bus
72,154,144,80,bus
64,150,142,68,bus
102,234,171,77,bus
100,250,162,88,bus
75,154,145,75,bus
72,156,144,69,bus
76,151,143,75,bus
71,145,141,67,bus
88,203,158,77,bus
103,236,160,82,bus
72,153,144,78,bus
78,158,134,73,bus
71,153,148,80,bus
98,237,164,82,bus
84,171,138,69,bus
66,150,144,78,bus
91,204,161,78,bus
103,252,172,83,bus
65,149,143,85,bus
68,149,146,83,bus
60,150,141,85,bus
74,163,149,70,bus
83,177,139,68,bus
95,227,158,82,bus
70,155,124,71,bus
73,167,152,69,bus
106,236,164,81,bus
64,149,146,85,bus
86,192,161,75,bus
68,150,146,74,bus
70,167,148,69,bus
75,161,128,69,bus
66,149,143,85,bus
77,167,150,69,bus
82,186,141,75,bus
109,251,169,82,bus
103,247,166,85,bus
66,145,144,73,bus
70,143,143,69,bus
71,151,147,79,bus
73,162,127,72,bus
71,151,147,80,bus
70,151,129,65,bus
66,145,140,67,bus
73,151,138,73,bus
70,147,145,77,bus
72,147,143,81,bus
68,148,144,80,bus
104,257,168,83,bus
63,152,142,81,bus
105,247,165,84,bus
68,149,145,83,bus
66,150,147,87,bus
70,149,144,127,bus
70,152,145,76,bus
73,149,145,71,bus
73,151,147,82,bus
76,150,136,72,bus
75,155,133,70,bus
79,173,158,70,bus
71,150,138,71,bus
70,150,145,82,bus
106,257,172,83,bus
70,152,143,76,bus
68,151,146,80,bus
73,151,145,80,bus
66,148,145,84,bus
70,148,145,82,bus
65,152,150,83,bus
72,146,135,72,bus
63,149,145,86,bus
76,157,136,74,bus
70,162,153,68,bus
70,144,141,71,bus
65,152,141,85,bus
79,174,154,71,bus
69,152,145,84,bus
72,166,131,70,bus
65,149,144,87,bus
72,161,144,70,bus
73,153,143,66,bus
70,147,143,76,bus
76,150,144,69,bus
77,166,150,69,bus
70,148,134,69,bus
102,257,169,85,bus
68,146,142,75,bus
109,260,175,85,bus
74,165,128,72,bus
71,146,146,71,bus
70,149,146,77,bus
71,153,149,81,bus
84,190,154,74,bus
93,222,159,83,bus
68,142,142,65,bus
73,151,131,68,bus
66,148,145,85,bus
74,153,149,77,bus
72,144,147,69,bus
71,144,141,71,bus
61,150,144,85,bus
68,152,151,81,bus
66,152,142,81,bus
71,146,144,72,bus
105,265,174,85,bus
76,149,135,68,bus
76,178,157,72,bus
70,143,136,69,bus
74,152,148,71,bus
70,151,146,79,bus
66,151,143,86,bus
66,148,141,88,bus
72,158,133,70,bus
98,213,152,77,bus
98,240,168,80,bus
107,208,154,70,opel
103,215,172,75,opel
71,150,134,80,opel
109,217,162,72,opel
80,147,135,76,opel
88,168,133,74,opel
96,221,173,72,opel
79,167,148,67,opel
72,127,125,70,opel
60,123,124,78,opel
107,214,161,67,opel
93,183,137,66,opel
91,220,170,72,opel
100,214,175,74,opel
98,215,170,68,opel
98,217,166,71,opel
96,188,161,67,opel
74,162,133,63,opel
77,163,129,67,opel
76,167,134,71,opel
91,176,137,67,opel
90,177,131,71,opel
50,114,122,74,opel
101,198,161,64,opel
109,221,176,70,opel
92,188,148,64,opel
92,178,154,64,opel
96,189,143,71,opel
98,215,175,76,opel
91,218,170,74,opel
78,138,138,67,opel
96,186,156,62,opel
81,161,149,72,opel
103,200,147,73,opel
72,149,124,62,opel
103,221,172,69,opel
75,147,142,62,opel
107,218,167,66,opel
104,215,175,75,opel
96,205,153,71,opel
100,208,169,74,opel
58,133,127,87,opel
60,132,130,75,opel
101,222,180,71,opel
103,209,163,66,opel
86,153,134,71,opel
66,152,133,87,opel
108,224,186,70,opel
100,216,173,75,opel
105,209,162,73,opel
103,219,176,71,opel
92,179,140,63,opel
109,222,165,73,opel
53,126,128,82,opel
104,213,172,73,opel
78,161,131,62,opel
79,162,149,67,opel
66,142,128,64,opel
100,201,147,72,opel
73,159,146,65,opel
83,175,142,65,opel
96,181,158,62,opel
86,177,153,67,opel
64,134,126,76,opel
86,162,131,74,opel
101,222,171,71,opel
78,150,125,67,opel
101,200,158,66,opel
107,200,161,67,opel
42,114,119,87,opel
107,205,158,65,opel
98,189,141,71,opel
98,219,171,72,opel
105,201,155,64,opel
79,176,138,66,opel
96,220,172,73,opel
77,157,125,63,opel
76,157,148,69,opel
107,222,174,67,opel
51,120,124,84,opel
72,138,126,72,opel
75,146,137,76,opel
104,198,163,67,opel
104,210,166,73,opel
93,189,161,72,opel
98,217,174,72,opel
105,212,163,74,opel
101,210,168,72,opel
77,152,141,72,opel
75,140,135,72,opel
100,224,188,72,opel
104,205,151,74,opel
101,226,182,71,opel
76,161,131,72,opel
104,212,175,74,opel
85,164,129,63,opel
98,214,164,71,opel
83,178,132,71,opel
98,193,161,64,opel
107,225,178,74,opel
98,217,173,72,opel
66,135,136,74,opel
101,224,178,74,opel
69,138,122,62,opel
103,204,166,74,opel
105,197,152,65,opel
107,223,174,70,opel
73,153,133,75,opel
100,227,178,73,opel
69,140,138,64,opel
103,195,162,68,opel
101,207,152,71,opel
81,168,150,70,opel
105,218,173,73,opel
101,225,178,74,opel
71,142,143,68,opel
82,149,144,68,opel
66,126,132,70,opel
77,154,127,71,opel
96,190,161,68,opel
103,212,165,72,opel
78,151,141,68,opel
77,154,145,75,opel
96,216,173,75,opel
94,181,155,64,opel
105,205,169,71,opel
93,186,147,66,opel
78,147,128,64,opel
86,177,156,67,opel
69,135,126,66,opel
88,185,159,66,opel
72,142,135,77,opel
69,128,124,70,opel
84,169,130,69,opel
78,140,123,66,opel
109,226,182,72,opel
80,153,126,69,opel
57,125,125,81,opel
101,202,164,65,opel
83,178,156,71,opel
69,130,134,64,opel
110,219,166,74,opel
109,218,174,67,opel
96,178,141,67,opel
101,225,177,71,opel
80,164,145,65,opel
101,203,157,65,opel
63,122,130,64,opel
101,222,177,71,opel
89,172,135,63,opel
100,213,173,76,opel
105,215,177,74,opel
109,220,163,73,opel
108,214,156,72,opel
108,224,178,73,opel
101,192,151,66,opel
75,150,146,66,opel
103,211,160,67,opel
96,185,142,65,opel
98,220,167,71,opel
77,151,145,64,opel
105,221,179,72,opel
63,130,130,79,opel
108,212,162,66,opel
77,150,134,73,opel
88,183,141,70,opel
69,132,137,61,opel
103,201,156,69,opel
105,201,148,69,opel
84,156,133,74,opel
75,147,132,80,opel
83,171,152,67,opel
72,134,132,65,opel
78,157,126,66,opel
100,212,175,73,opel
103,221,177,72,opel
74,139,127,72,opel
75,145,139,71,opel
69,135,131,69,opel
66,147,131,64,opel
96,219,170,75,opel
82,165,149,61,opel
66,130,120,62,opel
103,219,176,73,opel
82,156,144,70,opel
105,210,173,72,opel
53,134,128,83,opel
101,196,146,73,opel
103,206,156,65,opel
108,216,172,68,opel
100,192,161,64,opel
