@relation 'abalone-weka.filters.unsupervised.attribute.Remove-V-R1,4,6,9'

@attribute Sex {M,F,I}
@attribute Height numeric
@attribute Shucked_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.175,0.606,11
F,0.15,0.6495,10
M,0.205,0.959,17
F,0.155,0.628,9
I,0.11,0.1755,7
M,0.12,0.327,8
F,0.13,0.3165,9
I,0.15,0.362,8
M,0.145,0.3865,8
M,0.155,0.3695,7
M,0.17,0.4075,7
F,0.18,0.4095,8
M,0.165,0.6025,11
F,0.18,0.594,11
M,0.16,0.57,9
F,0.175,0.8515,10
F,0.18,0.641,6
M,0.175,0.8255,8
I,0.04,0.0155,4
I,0.055,0.0365,7
I,0.1,0.1945,6
I,0.115,0.18,7
I,0.125,0.211,6
I,0.14,0.248,7
F,0.125,0.246,7
I,0.115,0.215,8
I,0.14,0.2625,9
I,0.12,0.297,8
I,0.125,0.279,8
F,0.165,0.435,9
F,0.16,0.485,9
F,0.175,0.5885,10
M,0.19,1.095,12
F,0.17,0.6395,9
F,0.185,0.931,12
I,0.075,0.1,6
I,0.11,0.11,6
I,0.1,0.1445,5
I,0.11,0.173,7
I,0.105,0.208,9
I,0.105,0.164,8
I,0.1,0.175,8
I,0.12,0.1785,8
I,0.1,0.2205,8
I,0.13,0.3015,8
I,0.12,0.2595,7
I,0.14,0.341,9
I,0.145,0.2825,10
M,0.155,0.6715,10
I,0.16,0.48,10
M,0.155,0.451,11
F,0.16,0.5405,12
F,0.16,0.463,10
F,0.175,0.5475,11
F,0.175,0.707,9
M,0.175,0.6865,11
F,0.17,0.7245,10
F,0.19,0.6,10
F,0.17,0.913,13
I,0.11,0.1975,8
I,0.12,0.126,6
F,0.135,0.361,9
F,0.14,0.3565,9
M,0.165,0.4005,8
M,0.2,0.6405,9
M,0.165,0.4815,9
F,0.175,0.467,10
M,0.14,0.475,8
M,0.19,0.616,10
F,0.185,0.7665,12
F,0.17,0.7535,11
M,0.24,1.351,13
I,0.075,0.079,6
I,0.075,0.083,7
I,0.095,0.0895,7
I,0.12,0.188,9
I,0.125,0.21,8
I,0.13,0.2935,7
I,0.145,0.2965,9
I,0.12,0.3115,9
M,0.15,0.4245,10
I,0.155,0.3705,9
I,0.125,0.3275,9
I,0.17,0.38,8
F,0.18,0.4495,10
M,0.165,0.504,9
M,0.145,0.3835,8
M,0.155,0.4565,10
M,0.16,0.473,10
F,0.165,0.4995,11
I,0.16,0.446,11
M,0.165,0.4895,11
I,0.15,0.438,9
M,0.175,0.605,11
M,0.19,0.741,14
F,0.19,0.6925,12
F,0.195,0.688,11
F,0.155,0.858,10
M,0.215,0.9895,11
F,0.19,0.799,11
M,0.205,1.083,12
M,0.195,1.1155,12
I,0.105,0.229,6
M,0.15,0.575,10
M,0.19,0.777,11
F,0.175,0.7175,9
F,0.185,0.805,10
M,0.21,0.9285,11
I,0.13,0.2505,7
M,0.145,0.4435,11
M,0.17,0.5725,9
M,0.18,0.6715,12
F,0.205,0.643,12
I,0.07,0.0585,6
I,0.085,0.0905,7
I,0.085,0.109,7
M,0.135,0.2395,10
M,0.14,0.288,9
M,0.135,0.361,9
F,0.16,0.3945,9
M,0.12,0.418,8
F,0.15,0.3485,7
F,0.215,0.8565,12
F,0.18,0.6555,10
I,0.1,0.1025,10
M,0.17,0.5185,13
I,0.09,0.0855,7
F,0.125,0.2395,10
I,0.1,0.106,7
M,0.08,0.08,6
F,0.115,0.143,8
M,0.135,0.186,12
F,0.14,0.243,10
I,0.105,0.1565,10
F,0.075,0.0515,5
F,0.18,0.3245,27
F,0.135,0.1735,7
M,0.2,0.654,11
F,0.175,0.5735,14
F,0.23,0.403,14
M,0.13,0.2,11
M,0.155,0.327,15
F,0.135,0.2815,9
F,0.175,0.637,17
F,0.21,0.535,20
F,0.2,0.601,13
F,0.11,0.154,8
I,0.15,0.3225,11
F,0.115,0.1905,12
I,0.135,0.2315,11
M,0.09,0.085,10
F,0.17,0.35,17
F,0.145,0.2935,12
F,0.13,0.1945,18
M,0.065,0.044,6
I,0.155,0.2715,14
M,0.16,0.2515,23
F,0.17,0.2875,14
M,0.105,0.0975,9
F,0.145,0.21,13
F,0.145,0.167,11
I,0.09,0.175,6
M,0.135,0.3445,7
F,0.135,0.5885,9
M,0.185,0.5785,10
I,0.115,0.269,6
I,0.105,0.201,8
M,0.125,0.4035,8
M,0.14,0.3095,6
M,0.155,0.429,7
F,0.155,0.542,9
F,0.145,0.5455,9
F,0.205,0.7855,13
M,0.215,1.0515,10
I,0.125,0.265,9
M,0.185,0.7105,11
M,0.125,0.5235,9
M,0.2,0.576,11
F,0.19,0.7105,13
I,0.1,0.149,8
M,0.14,0.3065,7
I,0.13,0.345,8
I,0.145,0.4325,10
I,0.155,0.495,9
I,0.14,0.402,10
M,0.145,0.4545,9
F,0.15,0.4935,10
M,0.155,0.5565,11
I,0.05,0.0205,5
I,0.095,0.085,5
F,0.135,0.4325,9
F,0.15,0.3875,9
F,0.15,0.465,10
M,0.175,0.5105,9
M,0.13,0.5785,8
M,0.19,1.1495,11
I,0.095,0.109,7
I,0.13,0.2115,9
I,0.125,0.239,8
F,0.125,0.417,8
F,0.15,0.455,8
F,0.17,0.4575,10
F,0.15,0.4375,9
F,0.17,0.4365,13
M,0.16,0.5385,11
F,0.2,0.753,12
F,0.16,0.4975,13
I,0.175,0.5355,9
M,0.205,0.909,12
M,0.155,0.4235,8
I,0.115,0.306,7
I,0.165,0.4525,8
F,0.17,0.6605,11
I,0.1,0.1105,7
I,0.09,0.0845,8
I,0.105,0.1755,9
I,0.125,0.171,8
M,0.145,0.4005,10
F,0.155,0.425,10
F,0.195,0.58,11
F,0.115,0.249,9
M,0.125,0.446,10
M,0.145,0.43,11
M,0.18,0.5145,8
I,0.065,0.059,5
I,0.1,0.1505,5
F,0.17,0.7385,10
M,0.125,0.312,11
M,0.14,0.259,10
F,0.175,0.595,21
F,0.19,0.4365,13
F,0.175,0.627,18
I,0.1,0.0865,8
F,0.205,0.7785,19
M,0.165,0.402,11
M,0.135,0.2,14
M,0.11,0.215,12
F,0.155,0.371,11
F,0.145,0.4695,15
F,0.12,0.262,12
M,0.19,0.524,17
I,0.115,0.097,10
I,0.125,0.191,12
I,0.105,0.0955,8
F,0.185,0.3465,12
F,0.13,0.224,13
I,0.115,0.134,11
M,0.125,0.169,12
I,0.135,0.17,16
M,0.16,0.5495,18
I,0.11,0.066,9
I,0.055,0.02,4
I,0.1,0.104,7
I,0.11,0.197,7
M,0.16,0.348,10
F,0.18,0.592,10
F,0.175,0.556,9
I,0.06,0.0295,4
I,0.07,0.0415,4
I,0.085,0.079,6
I,0.11,0.1695,8
I,0.125,0.2155,9
I,0.135,0.3055,9
I,0.13,0.268,9
I,0.125,0.4555,9
I,0.14,0.4135,10
M,0.15,0.4225,8
M,0.16,0.5795,9
F,0.155,0.6485,12
I,0.09,0.1385,5
I,0.115,0.31,8
M,0.14,0.341,8
M,0.155,0.409,7
I,0.1,0.1335,6
I,0.13,0.213,9
I,0.14,0.2945,8
I,0.155,0.3655,10
F,0.145,0.4325,10
F,0.175,0.575,10
F,0.195,0.8505,11
M,0.17,0.809,11
F,0.17,0.612,10
M,0.135,0.3435,9
F,0.19,0.914,10
I,0.1,0.1,6
I,0.11,0.17,8
M,0.12,0.516,9
M,0.175,0.6275,10
I,0.1,0.11,7
I,0.095,0.106,6
I,0.1,0.1805,8
M,0.12,0.289,8
M,0.14,0.406,9
M,0.145,0.3605,10
F,0.175,0.256,10
M,0.15,0.345,11
M,0.075,0.0855,6
M,0.155,0.326,14
F,0.155,0.446,9
F,0.225,0.587,15
F,0.17,0.5655,15
I,0.1,0.1305,7
M,0.135,0.263,12
F,0.18,0.4405,13
F,0.165,0.2855,12
I,0.08,0.08,5
M,0.195,0.769,11
M,0.205,1.133,10
I,0.065,0.052,6
M,0.12,0.251,8
M,0.165,0.621,8
I,0,0.0575,6
I,0.09,0.098,6
M,0.175,0.5425,8
M,0.19,0.6775,11
I,0.11,0.258,8
M,0.125,0.327,7
I,0.155,0.3685,11
F,0.155,0.3615,10
M,0.16,0.445,9
M,0.175,0.4615,10
M,0.12,0.302,8
I,0.08,0.093,6
I,0.085,0.153,7
I,0.125,0.246,7
M,0.155,0.369,8
M,0.18,0.594,9
F,0.16,0.577,9
M,0.185,0.7075,11
I,0.05,0.048,4
I,0.17,0.3695,10
F,0.17,0.4405,11
F,0.19,0.468,10
M,0.19,0.7465,11
I,0.095,0.219,6
M,0.14,0.241,8
M,0.1,0.137,8
