@relation abalone

@attribute Sex {M,F,I}
@attribute Diameter numeric
@attribute Whole_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
M,0.47,1.179,9
F,0.35,0.459,9
M,0.5,1.3195,9
I,0.375,0.559,9
F,0.43,0.7135,9
F,0.445,0.903,9
M,0.455,1.1315,9
I,0.425,0.742,9
F,0.37,0.45,9
F,0.49,1.122,9
F,0.425,0.8355,9
M,0.45,0.9215,9
F,0.47,1.1775,9
M,0.385,0.5525,9
M,0.3,0.417,9
M,0.435,0.717,9
I,0.425,0.6115,9
M,0.475,1.0375,9
M,0.41,0.737,9
I,0.42,0.912,9
F,0.515,1.289,9
F,0.48,1.078,9
F,0.525,1.238,9
M,0.265,0.1975,9
M,0.27,0.195,9
M,0.475,1.024,9
F,0.475,1.027,9
M,0.47,1.041,9
M,0.375,0.777,9
F,0.39,0.674,9
I,0.43,0.8195,9
I,0.415,0.596,9
M,0.445,0.8625,9
F,0.39,0.5755,9
F,0.365,0.4205,9
I,0.37,0.457,9
M,0.475,1.114,9
I,0.37,0.4075,9
M,0.5,1.3815,9
I,0.38,0.5385,9
I,0.45,0.855,9
M,0.455,0.907,9
M,0.4,0.872,9
M,0.365,0.5945,9
I,0.42,0.743,9
I,0.425,0.7305,9
F,0.54,1.454,9
I,0.445,0.9205,9
F,0.49,1.136,9
F,0.425,0.932,9
I,0.42,0.701,9
I,0.45,0.78,9
F,0.485,1.3745,9
I,0.26,0.218,9
M,0.53,1.2795,9
F,0.5,1.4595,9
M,0.34,0.462,9
F,0.495,1.1565,9
F,0.5,1.273,9
M,0.47,1.052,9
M,0.525,1.4405,9
I,0.38,0.5605,9
M,0.455,1.044,9
M,0.41,0.793,9
I,0.355,0.5085,9
F,0.5,1.3825,9
I,0.36,0.447,9
M,0.485,1.006,9
I,0.4,0.6025,9
M,0.49,1.2525,9
F,0.475,1.13,9
I,0.385,0.591,9
M,0.51,1.3835,9
M,0.335,0.394,9
M,0.39,0.653,9
I,0.4,0.601,9
M,0.375,0.487,9
F,0.46,0.9795,9
M,0.51,1.4545,9
F,0.355,0.517,9
I,0.345,0.3435,9
I,0.375,0.5795,9
M,0.37,0.51,9
I,0.485,1.2565,9
M,0.48,1.1415,9
F,0.475,1.0265,9
M,0.47,0.9565,9
F,0.415,0.8115,9
F,0.415,1.1655,9
F,0.41,0.8215,9
I,0.375,0.456,9
F,0.4,0.578,9
F,0.44,0.983,9
M,0.385,0.655,9
M,0.37,0.968,9
F,0.435,0.745,9
F,0.405,0.6355,9
F,0.305,0.3485,9
F,0.43,0.812,9
M,0.47,1.1185,9
F,0.45,0.93,9
F,0.415,0.7635,9
M,0.405,0.625,9
I,0.365,0.501,9
F,0.48,1.1435,9
M,0.455,0.952,9
M,0.51,1.296,9
F,0.46,1.494,9
I,0.415,0.6375,9
M,0.49,1.195,9
M,0.515,1.1805,9
M,0.465,1.0535,9
F,0.49,1.127,9
I,0.355,0.4865,9
M,0.29,0.283,9
M,0.4,0.622,9
I,0.43,0.7665,9
M,0.475,1.4335,9
M,0.465,1.038,9
F,0.47,0.974,9
F,0.47,1.1775,9
F,0.5,1.438,9
I,0.35,0.3945,9
M,0.495,1.177,9
M,0.255,0.213,9
I,0.4,0.717,9
M,0.45,0.877,9
M,0.435,0.806,9
F,0.44,0.765,9
F,0.46,1.165,9
F,0.49,1.056,9
F,0.425,0.9455,9
M,0.49,1.251,9
I,0.455,0.9895,9
I,0.43,0.6545,9
M,0.31,0.6485,9
F,0.44,1.018,9
I,0.32,0.3325,9
I,0.385,0.596,9
M,0.34,0.4475,9
M,0.485,1.0785,9
M,0.45,0.785,9
F,0.5,1.4415,9
F,0.44,0.863,9
M,0.42,0.6765,9
F,0.3,0.3215,9
M,0.3,0.301,9
M,0.415,0.706,9
F,0.475,1.3245,9
F,0.395,0.5685,9
M,0.435,0.8965,9
F,0.465,0.9355,9
M,0.445,0.836,9
F,0.475,1.076,9
M,0.475,1.161,9
I,0.35,0.3705,9
F,0.35,0.4035,9
I,0.355,0.494,9
M,0.515,1.1845,9
M,0.32,0.381,9
F,0.395,0.516,9
I,0.4,0.636,9
I,0.38,0.594,9
I,0.4,0.6095,9
M,0.49,1.1285,9
M,0.45,0.8675,9
F,0.39,0.6335,9
F,0.44,0.7835,9
M,0.41,0.642,9
F,0.375,0.5755,9
M,0.465,0.8875,9
M,0.41,0.8705,9
F,0.36,0.447,9
F,0.5,1.464,9
I,0.355,0.4325,9
I,0.44,0.768,9
M,0.435,0.8455,9
I,0.485,1.044,9
I,0.355,0.452,9
M,0.455,1.09,9
M,0.405,0.853,9
M,0.565,1.751,9
M,0.37,1.0615,9
M,0.26,0.195,9
F,0.475,1.1545,9
F,0.41,0.8255,9
M,0.455,1.859,9
M,0.52,1.1445,9
I,0.41,0.646,9
M,0.495,1.025,9
M,0.455,1.02,9
F,0.455,0.967,9
F,0.495,1.211,9
F,0.5,1.3275,9
I,0.265,0.209,9
F,0.49,1.145,9
I,0.29,0.2615,9
F,0.335,0.425,9
F,0.455,0.914,9
M,0.39,0.7815,9
F,0.485,1.254,9
F,0.435,0.8715,9
F,0.41,0.7555,9
M,0.48,1.0725,9
F,0.465,1.0315,9
F,0.53,1.5535,9
M,0.47,1.108,9
M,0.485,1.2215,9
M,0.335,0.4085,9
F,0.455,1.059,9
F,0.465,1.0765,9
F,0.55,1.219,9
M,0.47,0.9785,9
F,0.485,0.776,9
M,0.29,0.276,9
I,0.4,0.555,9
I,0.255,0.1785,9
I,0.435,0.741,9
M,0.255,0.1915,9
I,0.325,0.3915,9
I,0.25,0.1565,9
I,0.375,0.6315,9
M,0.52,1.2655,9
M,0.51,1.3555,9
M,0.475,1.213,9
I,0.28,0.199,9
I,0.425,0.639,9
M,0.305,0.359,9
M,0.48,0.9465,9
F,0.505,1.349,9
M,0.425,0.872,9
M,0.29,0.2795,9
I,0.45,0.86,9
M,0.41,0.6875,9
M,0.445,0.839,9
I,0.4,0.5925,9
M,0.47,1.1005,9
I,0.395,0.6555,9
M,0.38,0.681,9
F,0.385,0.656,9
I,0.435,0.8445,9
M,0.305,0.282,9
F,0.43,0.741,9
F,0.43,0.8825,9
M,0.47,1.309,9
I,0.445,0.867,9
M,0.485,1.281,9
I,0.225,0.124,9
I,0.305,0.379,9
M,0.435,0.9685,9
F,0.47,0.869,9
M,0.45,1.02,9
F,0.425,0.797,9
M,0.395,0.5415,9
F,0.475,0.9545,9
M,0.47,1.0325,9
M,0.37,0.515,9
F,0.45,1.136,9
F,0.58,1.523,9
F,0.35,0.421,9
M,0.37,0.5095,9
I,0.43,0.687,9
I,0.445,0.7715,9
F,0.55,1.659,9
M,0.34,0.486,9
F,0.55,2.073,9
F,0.45,0.9705,9
I,0.39,0.591,9
I,0.42,0.7265,9
F,0.45,0.908,9
M,0.35,0.4585,9
M,0.37,0.537,9
I,0.33,0.352,9
I,0.32,0.3875,9
F,0.325,0.438,9
F,0.495,1.0805,9
M,0.495,1.2935,9
I,0.34,0.438,9
M,0.44,0.9415,9
M,0.49,1.1955,9
M,0.325,0.3755,9
F,0.475,0.9525,9
F,0.52,1.494,9
I,0.315,0.347,9
F,0.325,0.455,9
F,0.465,0.9685,9
F,0.505,1.4045,9
I,0.415,0.694,9
F,0.475,1.4405,9
M,0.465,0.919,9
M,0.375,0.5105,9
F,0.405,0.913,9
M,0.28,0.234,9
I,0.445,0.8015,9
F,0.43,0.7955,9
M,0.425,0.9415,9
F,0.445,0.995,9
M,0.225,0.1295,9
I,0.41,0.6075,9
F,0.435,0.953,9
M,0.45,0.895,9
F,0.44,0.8025,9
F,0.505,1.2635,9
M,0.49,1.1,9
M,0.445,0.984,9
M,0.485,1.3305,9
F,0.43,0.7545,9
F,0.435,0.8975,9
I,0.3,0.315,9
M,0.5,1.307,9
I,0.42,0.6735,9
M,0.505,1.0915,9
F,0.445,0.941,9
I,0.42,0.6885,9
I,0.35,0.4725,9
I,0.275,0.1975,9
F,0.43,0.832,9
I,0.405,0.632,9
M,0.355,0.4625,9
F,0.47,0.897,9
F,0.48,1.3235,9
M,0.35,0.9225,9
M,0.375,0.976,9
F,0.465,0.923,9
I,0.45,0.738,9
M,0.48,1.118,9
M,0.5,1.0985,9
M,0.545,1.7925,9
M,0.395,0.635,9
F,0.395,0.7145,9
I,0.295,0.25,9
I,0.345,0.4615,9
I,0.47,0.8565,9
M,0.475,0.857,9
F,0.4,0.6995,9
I,0.305,0.28,9
F,0.485,1.1945,9
M,0.55,1.51,9
I,0.365,0.441,9
M,0.305,0.2935,9
I,0.37,0.5435,9
F,0.49,1.1665,9
M,0.285,0.2205,9
F,0.43,0.844,9
I,0.36,0.452,9
M,0.43,0.784,9
F,0.445,0.9905,9
F,0.485,1.2945,9
I,0.47,0.8025,9
M,0.465,0.98,9
F,0.535,1.5845,9
M,0.3,0.3055,9
F,0.4,0.569,9
F,0.51,1.2415,9
F,0.38,0.578,9
F,0.505,1.306,9
M,0.24,0.155,9
F,0.51,1.043,9
M,0.4,0.5975,9
M,0.35,0.5165,9
F,0.26,0.2,9
F,0.42,0.8035,9
I,0.455,0.6855,9
F,0.455,0.9775,9
F,0.485,1.38,9
M,0.415,0.82,9
M,0.42,0.842,9
F,0.44,0.9705,9
M,0.405,0.7555,9
F,0.465,1.151,9
M,0.35,0.401,9
I,0.36,0.4555,9
M,0.4,0.6335,9
M,0.425,0.793,9
I,0.24,0.17,9
F,0.46,1.058,9
I,0.445,0.832,9
I,0.405,0.6615,9
I,0.39,0.5075,9
F,0.4,0.6865,9
I,0.415,0.5745,9
M,0.475,1.224,9
M,0.515,1.331,9
F,0.41,0.7405,9
F,0.38,0.6855,9
I,0.395,0.5805,9
M,0.395,0.674,9
F,0.42,0.677,9
I,0.41,0.6615,9
I,0.39,0.565,9
I,0.43,0.7245,9
I,0.34,0.4535,9
I,0.34,0.3575,9
F,0.505,1.3185,9
M,0.485,1.1325,9
F,0.495,1.337,9
F,0.52,1.285,9
I,0.415,0.709,9
M,0.525,1.4005,9
M,0.525,1.4915,9
I,0.435,0.848,9
M,0.425,0.7905,9
I,0.37,0.474,9
I,0.465,1.1815,9
F,0.565,1.79,9
M,0.51,1.285,9
F,0.37,0.4925,9
M,0.47,1.187,9
F,0.515,1.264,9
F,0.485,1.1405,9
M,0.45,0.998,9
I,0.4,0.6055,9
F,0.525,1.4785,9
I,0.39,0.664,9
M,0.405,0.738,9
M,0.475,1.142,9
M,0.43,0.8745,9
M,0.525,1.3455,9
F,0.46,1.0045,9
M,0.465,1.259,9
F,0.46,0.927,9
I,0.425,0.7905,9
F,0.52,1.5475,9
M,0.455,1.1035,9
M,0.295,0.2105,9
I,0.355,0.372,9
M,0.405,0.891,9
F,0.455,0.714,9
M,0.48,0.9125,9
F,0.285,0.27,9
M,0.5,1.4545,9
F,0.475,1.055,9
F,0.35,0.397,9
M,0.38,0.577,9
I,0.375,0.542,9
F,0.42,1.6645,9
I,0.4,0.686,9
M,0.445,1.0225,9
F,0.43,0.8435,9
I,0.43,0.836,9
I,0.43,0.783,9
M,0.495,1.254,9
I,0.42,0.7745,9
M,0.47,1.0105,9
M,0.475,1.2525,9
M,0.52,1.368,9
M,0.47,0.9235,9
F,0.325,0.3455,9
F,0.49,1.2615,9
I,0.37,0.4365,9
I,0.365,0.528,9
F,0.45,1.0095,9
F,0.48,1.0405,9
F,0.405,0.651,9
M,0.485,1.2135,9
F,0.44,0.803,9
M,0.475,1.11,9
M,0.48,1.2415,9
M,0.48,0.9165,9
M,0.45,0.9615,9
F,0.49,1.204,9
I,0.36,0.5225,9
M,0.41,1.2825,9
M,0.315,0.3895,9
M,0.465,1.08,9
F,0.485,1.201,9
M,0.5,1.2975,9
M,0.44,0.8295,9
M,0.49,1.167,9
I,0.4,0.5575,9
F,0.45,0.9835,9
I,0.42,0.6765,9
I,0.395,0.663,9
F,0.455,1.04,9
M,0.46,1.0375,9
I,0.35,0.4225,9
M,0.325,0.3555,9
I,0.355,0.498,9
I,0.355,0.4075,9
F,0.5,1.1185,9
M,0.225,0.1385,9
I,0.45,0.872,9
M,0.46,1.063,9
F,0.5,1.159,9
M,0.47,1.059,9
F,0.45,0.8265,9
I,0.465,0.9225,9
I,0.38,0.3265,10
M,0.395,0.5815,10
M,0.415,0.724,10
M,0.46,1.14,10
F,0.34,0.451,10
M,0.46,0.922,10
F,0.5,1.394,10
M,0.47,0.9975,10
F,0.33,0.5325,10
F,0.415,0.7055,10
F,0.45,1.0235,10
M,0.29,0.241,10
F,0.335,0.322,10
F,0.36,0.5065,10
M,0.57,1.8725,10
F,0.525,1.37,10
F,0.45,0.875,10
M,0.465,1.0165,10
F,0.37,0.585,10
M,0.495,1.6275,10
M,0.46,0.892,10
M,0.385,0.791,10
F,0.475,1.088,10
M,0.38,0.482,10
M,0.5,1.2645,10
F,0.44,0.9185,10
F,0.475,1.21,10
F,0.43,0.717,10
F,0.375,0.556,10
F,0.42,1.764,10
M,0.36,0.501,10
M,0.265,0.163,10
M,0.495,1.139,10
M,0.385,0.4825,10
F,0.475,1.1295,10
M,0.375,0.593,10
