@relation abalone

@attribute Length numeric
@attribute Shucked_weight numeric
@attribute Shell_weight numeric
@attribute Rings {15,7,9,10,8,20,16,19,14,11,12,18,13,5,4,6,21,17,22,1,3,26,23,29,2,27,25,24}

@data
0.445,0.2745,0.1105,7
0.425,0.173,0.1,7
0.415,0.175,0.109,7
0.295,0.0405,0.032,7
0.35,0.086,0.068,7
0.405,0.1265,0.11,7
0.465,0.23,0.12,7
0.46,0.176,0.1205,7
0.32,0.098,0.042,7
0.415,0.167,0.125,7
0.34,0.0785,0.05,7
0.35,0.073,0.077,7
0.45,0.1865,0.0975,7
0.41,0.1255,0.0875,7
0.375,0.1405,0.08,7
0.48,0.312,0.14,7
0.315,0.043,0.04,7
0.475,0.2375,0.14,7
0.36,0.083,0.055,7
0.405,0.114,0.095,7
0.45,0.195,0.11,7
0.51,0.238,0.175,7
0.535,0.402,0.189,7
0.53,0.308,0.255,7
0.275,0.0305,0.03,7
0.365,0.098,0.075,7
0.325,0.0595,0.063,7
0.495,0.2185,0.16,7
0.455,0.1945,0.1375,7
0.5,0.248,0.1585,7
0.495,0.177,0.15,7
0.505,0.246,0.1405,7
0.365,0.108,0.0735,7
0.495,0.2655,0.144,7
0.33,0.0565,0.046,7
0.39,0.1665,0.089,7
0.315,0.071,0.0535,7
0.475,0.2165,0.115,7
0.43,0.118,0.123,7
0.52,0.424,0.1895,7
0.455,0.213,0.1115,7
0.485,0.296,0.133,7
0.305,0.0675,0.048,7
0.48,0.2365,0.126,7
0.37,0.07,0.065,7
0.445,0.1555,0.0855,7
0.555,0.332,0.18,7
0.49,0.249,0.148,7
0.425,0.131,0.095,7
0.465,0.295,0.12,7
0.505,0.239,0.185,7
0.42,0.1255,0.1035,7
0.435,0.194,0.13,7
0.525,0.303,0.159,7
0.33,0.0945,0.0425,7
0.33,0.0895,0.055,7
0.28,0.041,0.0345,7
0.535,0.2835,0.175,7
0.39,0.1275,0.077,7
0.425,0.139,0.093,7
0.45,0.2335,0.119,7
0.44,0.148,0.105,7
0.43,0.217,0.095,7
0.525,0.3205,0.1915,7
0.45,0.1575,0.1095,7
0.335,0.0945,0.0445,7
0.58,0.3485,0.192,7
0.52,0.4035,0.2,7
0.515,0.3265,0.16,7
0.505,0.246,0.175,7
0.48,0.2795,0.147,7
0.46,0.18,0.1175,7
0.5,0.274,0.1485,7
0.38,0.165,0.067,7
0.425,0.1625,0.094,7
0.465,0.1755,0.12,7
0.53,0.2555,0.177,7
0.435,0.13,0.1185,7
0.32,0.0655,0.049,7
0.375,0.1255,0.1035,7
0.45,0.2205,0.1405,7
0.355,0.095,0.115,7
0.305,0.0585,0.045,7
0.435,0.1615,0.12,7
0.395,0.158,0.078,7
0.45,0.181,0.1345,7
0.39,0.0875,0.075,7
0.425,0.1385,0.08,7
0.33,0.0915,0.055,7
0.435,0.222,0.106,7
0.4,0.1335,0.1,7
0.48,0.3445,0.161,7
0.36,0.0645,0.075,7
0.35,0.0745,0.06,7
0.495,0.272,0.144,7
0.53,0.2715,0.186,7
0.355,0.078,0.058,7
0.275,0.0565,0.035,7
0.31,0.0525,0.048,7
0.365,0.105,0.0605,7
0.385,0.1365,0.1,7
0.365,0.097,0.1,7
0.36,0.0915,0.075,7
0.515,0.3695,0.155,7
0.38,0.323,0.164,7
0.435,0.2025,0.1,7
0.475,0.279,0.1325,7
0.37,0.0805,0.075,7
0.425,0.1705,0.1,7
0.39,0.1255,0.081,7
0.415,0.165,0.0805,7
0.42,0.1245,0.1025,7
0.475,0.281,0.1335,7
0.49,0.235,0.141,7
0.37,0.094,0.065,7
0.37,0.1505,0.0795,7
0.375,0.0935,0.07,7
0.31,0.054,0.05,7
0.33,0.0765,0.065,7
0.325,0.0875,0.04,7
0.355,0.0715,0.058,7
0.39,0.3035,0.143,7
0.235,0.018,0.0195,7
0.485,0.219,0.13,7
0.51,0.281,0.162,7
0.435,0.1355,0.0965,7
0.41,0.155,0.09,7
0.39,0.121,0.09,7
0.35,0.1365,0.085,7
0.36,0.0985,0.066,7
0.46,0.198,0.107,7
0.415,0.1545,0.095,7
0.52,0.2885,0.161,7
0.395,0.131,0.093,7
0.505,0.377,0.178,7
0.415,0.1925,0.1025,7
0.44,0.209,0.103,7
0.415,0.1445,0.095,7
0.39,0.1105,0.084,7
0.375,0.118,0.0695,7
0.265,0.0365,0.025,7
0.435,0.135,0.098,7
0.445,0.1695,0.1195,7
0.335,0.0935,0.075,7
0.38,0.088,0.075,7
0.31,0.056,0.05,7
0.62,0.535,0.296,7
0.29,0.043,0.04,7
0.375,0.1045,0.075,7
0.435,0.129,0.11,7
0.435,0.178,0.155,7
0.385,0.122,0.065,7
0.44,0.1545,0.12,7
0.38,0.1305,0.09,7
0.38,0.1005,0.0775,7
0.51,0.3655,0.18,7
0.34,0.0625,0.07,7
0.31,0.0565,0.036,7
0.265,0.04,0.028,7
0.27,0.0465,0.036,7
0.445,0.169,0.13,7
0.485,0.38,0.128,7
0.265,0.034,0.03,7
0.46,0.196,0.1265,7
0.285,0.055,0.04,7
0.41,0.157,0.1,7
0.275,0.0475,0.03,7
0.44,0.163,0.113,7
0.355,0.097,0.08,7
0.35,0.0995,0.07,7
0.395,0.153,0.0935,7
0.545,0.4225,0.156,7
0.355,0.0815,0.08,7
0.34,0.104,0.055,7
0.4,0.106,0.085,7
0.41,0.114,0.11,7
0.32,0.076,0.05,7
0.575,0.429,0.259,7
0.365,0.0935,0.066,7
0.72,0.631,0.435,7
0.425,0.1815,0.1175,7
0.39,0.1155,0.08,7
0.435,0.174,0.109,7
0.505,0.3135,0.1515,7
0.43,0.1575,0.105,7
0.405,0.15,0.088,7
0.38,0.1055,0.08,7
0.36,0.084,0.09,7
0.52,0.523,0.254,7
0.525,0.394,0.202,7
0.415,0.169,0.105,7
0.465,0.1955,0.126,7
0.41,0.157,0.17,7
0.405,0.112,0.0815,7
0.35,0.09,0.06,7
0.37,0.1165,0.0835,7
0.405,0.128,0.0805,7
0.52,0.3285,0.1425,7
0.385,0.1215,0.09,7
0.485,0.1995,0.129,7
0.495,0.28,0.1375,7
0.365,0.078,0.07,7
0.43,0.1555,0.1405,7
0.475,0.3165,0.1955,7
0.5,0.218,0.1325,7
0.545,0.409,0.228,7
0.485,0.2505,0.154,7
0.46,0.2015,0.13,7
0.425,0.162,0.1045,7
0.435,0.1515,0.11,7
0.385,0.119,0.07,7
0.4,0.176,0.0865,7
0.355,0.3045,0.0595,7
0.465,0.261,0.143,7
0.45,0.2355,0.1135,7
0.39,0.1065,0.08,7
0.46,0.2365,0.123,7
0.585,0.467,0.225,7
0.455,0.274,0.1065,7
0.335,0.096,0.048,7
0.455,0.2155,0.165,7
0.51,0.327,0.1805,7
0.43,0.192,0.1,7
0.63,0.4915,0.348,7
0.44,0.231,0.125,7
0.36,0.0905,0.053,7
0.375,0.272,0.1675,7
0.615,0.707,0.2505,7
0.59,0.4695,0.263,7
0.44,0.1725,0.101,7
0.465,0.2665,0.121,7
0.46,0.1525,0.125,7
0.4,0.173,0.105,7
0.42,0.174,0.105,7
0.445,0.1795,0.089,7
0.5,0.306,0.141,7
0.57,0.4075,0.214,7
0.425,0.1365,0.11,7
0.505,0.267,0.172,7
0.35,0.1725,0.1255,7
0.435,0.109,0.115,7
0.475,0.233,0.1455,7
0.39,0.147,0.09,7
0.28,0.045,0.0335,7
0.285,0.0425,0.035,7
0.355,0.11,0.064,7
0.375,0.059,0.044,7
0.47,0.201,0.165,7
0.465,0.2315,0.113,7
0.445,0.199,0.117,7
0.435,0.2075,0.1315,7
0.44,0.175,0.111,7
0.435,0.156,0.1135,7
0.325,0.0765,0.049,7
0.415,0.1215,0.094,7
0.39,0.117,0.077,7
0.55,0.4895,0.2185,7
0.46,0.2225,0.11,7
0.41,0.1,0.085,7
0.475,0.2035,0.135,7
0.365,0.108,0.0625,7
0.475,0.1645,0.127,7
0.465,0.2085,0.1185,7
0.47,0.27,0.129,7
0.385,0.1705,0.081,7
0.43,0.1635,0.09,7
0.45,0.1615,0.1185,7
0.445,0.1675,0.117,7
0.41,0.1525,0.11,7
0.275,0.0485,0.035,7
0.405,0.1145,0.085,7
0.575,0.466,0.265,7
0.455,0.2855,0.1325,7
0.455,0.225,0.1465,7
0.475,0.1735,0.185,7
0.465,0.234,0.14,7
0.365,0.0825,0.06,7
0.37,0.089,0.075,7
0.375,0.109,0.0605,7
0.33,0.0735,0.06,7
0.365,0.0865,0.0605,7
0.405,0.173,0.11,7
0.46,0.2205,0.17,7
0.46,0.2325,0.115,7
0.375,0.0975,0.0725,7
0.385,0.103,0.085,7
0.345,0.082,0.07,7
0.28,0.036,0.03,7
0.475,0.311,0.136,7
0.515,0.237,0.165,7
0.46,0.2125,0.1375,7
0.335,0.0755,0.06,7
0.505,0.3445,0.185,7
0.435,0.221,0.125,7
0.205,0.017,0.0155,7
0.385,0.0855,0.08,7
0.36,0.0675,0.0615,7
0.3,0.057,0.043,7
0.37,0.0885,0.07,7
0.37,0.122,0.08,7
0.525,0.416,0.18,7
0.56,0.472,0.218,7
0.38,0.0895,0.075,7
0.585,0.4595,0.265,7
0.515,0.3065,0.2,7
0.305,0.0675,0.045,7
0.535,0.336,0.19,7
0.44,0.173,0.113,7
0.44,0.197,0.09,7
0.405,0.0965,0.091,7
0.36,0.105,0.075,7
0.315,0.058,0.047,7
0.52,0.2355,0.1895,7
0.375,0.187,0.067,7
0.445,0.1945,0.13,7
0.515,0.25,0.17,7
0.425,0.126,0.106,7
0.505,0.2595,0.18,7
0.48,0.246,0.145,7
0.4,0.104,0.0815,7
0.375,0.0945,0.07,7
0.33,0.0655,0.06,7
0.45,0.191,0.137,7
0.4,0.1185,0.08,7
0.32,0.0615,0.0355,7
0.545,0.3745,0.205,7
0.375,0.0855,0.072,7
0.435,0.159,0.095,7
0.435,0.154,0.12,7
0.31,0.0605,0.045,7
0.42,0.175,0.13,7
0.325,0.0795,0.05,7
0.485,0.2935,0.16,7
0.375,0.095,0.066,7
0.46,0.1775,0.15,7
0.37,0.0995,0.0615,7
0.35,0.072,0.0575,7
0.5,0.3195,0.1535,7
0.545,0.403,0.17,7
0.565,0.31,0.231,9
0.44,0.186,0.16,9
0.67,0.6435,0.4165,9
0.575,0.3605,0.2575,9
0.56,0.4755,0.1835,9
0.345,0.078,0.059,9
0.515,0.32,0.175,9
0.6,0.445,0.253,9
0.52,0.4515,0.1985,9
0.5,0.2165,0.1785,9
0.55,0.2565,0.225,9
0.54,0.4815,0.202,9
0.52,0.3525,0.185,9
0.7,0.895,0.446,9
0.49,0.2205,0.1745,9
0.625,0.605,0.271,9
0.59,0.4545,0.254,9
0.645,0.506,0.335,9
0.645,0.605,0.48,9
0.56,0.464,0.234,9
0.625,0.5845,0.401,9
0.465,0.172,0.175,9
0.505,0.361,0.161,9
0.655,0.53,0.348,9
0.515,0.235,0.179,9
0.575,0.4355,0.2505,9
0.62,0.4915,0.228,9
0.555,0.4625,0.1965,9
0.515,0.191,0.17,9
0.335,0.0795,0.07,9
0.645,0.4675,0.31,9
0.35,0.0745,0.0655,9
0.455,0.216,0.135,9
0.445,0.18,0.123,9
0.635,0.4775,0.3155,9
0.565,0.3595,0.215,9
0.57,0.383,0.275,9
0.465,0.1565,0.1345,9
0.515,0.2365,0.19,9
0.44,0.2,0.13,9
0.595,0.518,0.27,9
0.55,0.4455,0.213,9
0.55,0.413,0.248,9
0.57,0.3895,0.2745,9
0.415,0.2015,0.103,9
0.72,1.0715,0.5015,9
0.585,0.4035,0.259,9
0.64,0.565,0.315,9
0.515,0.3415,0.146,9
0.56,0.354,0.222,9
0.585,0.462,0.295,9
0.66,0.556,0.4085,9
0.525,0.4625,0.199,9
0.615,0.5885,0.246,9
0.67,0.8115,0.391,9
0.56,0.7755,0.4525,9
0.45,0.1805,0.11,9
0.62,0.4605,0.355,9
0.725,1.253,0.52,9
0.65,0.615,0.335,9
0.645,0.672,0.315,9
0.615,0.52,0.32,9
0.485,0.21,0.135,9
0.545,0.5425,0.2845,9
0.37,0.111,0.075,9
0.54,0.3675,0.295,9
0.345,0.0665,0.07,9
0.42,0.094,0.0955,9
0.575,0.4955,0.29,9
0.35,0.08,0.063,9
0.645,0.603,0.339,9
0.615,0.7315,0.3285,9
0.465,0.231,0.1225,9
0.59,0.496,0.26,9
0.575,0.538,0.249,9
0.5,0.2585,0.196,9
0.615,0.4735,0.274,9
0.535,0.2895,0.154,9
0.51,0.2615,0.1525,9
0.465,0.188,0.147,9
0.595,0.4255,0.31,9
0.615,0.3915,0.32,9
0.605,0.5575,0.343,9
0.605,0.417,0.38,9
0.34,0.081,0.07,9
0.575,0.4005,0.239,9
0.53,0.2565,0.21,9
0.665,0.643,0.37,9
0.455,0.1515,0.145,9
0.455,0.2165,0.125,9
0.525,0.2625,0.1835,9
0.58,0.3285,0.2255,9
0.54,0.3725,0.24,9
0.745,1.1565,0.558,9
0.505,0.245,0.21,9
0.55,0.495,0.205,9
0.58,0.475,0.2095,9
0.555,0.4585,0.2065,9
0.53,0.3905,0.215,9
0.6,0.485,0.2565,9
0.56,0.3715,0.236,9
0.63,0.5845,0.3,9
0.45,0.1705,0.115,9
0.705,0.6395,0.301,9
0.49,0.22,0.19,9
0.6,0.5255,0.308,9
0.61,0.4525,0.317,9
0.615,0.4615,0.2415,9
0.65,0.702,0.3195,9
0.645,0.4935,0.299,9
0.5,0.239,0.185,9
0.4,0.1115,0.075,9
0.6,0.4995,0.3205,9
0.605,0.457,0.3745,9
0.64,0.6185,0.3315,9
0.49,0.271,0.1775,9
0.65,0.741,0.341,9
0.495,0.3355,0.214,9
0.455,0.215,0.15,9
0.645,0.6055,0.285,9
0.605,0.572,0.275,9
0.675,0.62,0.425,9
0.6,0.4975,0.251,9
0.47,0.229,0.116,9
0.57,0.546,0.25,9
0.545,0.3285,0.18,9
0.53,0.249,0.161,9
0.56,0.35,0.259,9
0.55,0.348,0.206,9
0.535,0.268,0.1975,9
0.41,0.124,0.095,9
0.515,0.265,0.168,9
0.65,0.5235,0.3275,9
0.585,0.4555,0.235,9
0.63,0.618,0.315,9
0.575,0.3605,0.271,9
0.66,0.6255,0.3745,9
0.575,0.4735,0.35,9
0.5,0.1715,0.155,9
0.585,0.478,0.235,9
0.4,0.191,0.1175,9
0.455,0.1575,0.135,9
0.395,0.0975,0.096,9
0.63,0.481,0.305,9
0.485,0.419,0.2365,9
0.46,0.161,0.16,9
0.545,0.3535,0.207,9
0.635,0.5385,0.38,9
0.56,0.3095,0.2165,9
0.435,0.136,0.13,9
0.585,0.365,0.29,9
0.46,0.1575,0.114,9
0.595,0.491,0.287,9
0.56,0.361,0.335,9
0.47,0.2185,0.255,9
0.55,0.368,0.275,9
0.53,0.419,0.21,9
0.62,0.5105,0.352,9
0.48,0.179,0.175,9
0.59,0.334,0.238,9
0.53,0.1935,0.195,9
0.53,0.321,0.24,9
0.405,0.1605,0.1,9
0.675,0.628,0.42,9
0.435,0.197,0.145,9
0.625,0.7335,0.332,9
0.515,0.2815,0.215,9
0.4,0.1245,0.08,9
0.56,0.283,0.275,9
0.53,0.346,0.189,9
0.45,0.147,0.145,9
0.665,0.6075,0.315,9
0.435,0.1485,0.105,9
0.435,0.1535,0.165,9
0.57,0.4,0.25,9
0.555,0.3525,0.2015,9
0.585,0.4025,0.265,9
0.56,0.547,0.235,9
0.44,0.2115,0.12,9
0.545,0.4615,0.218,9
0.47,0.293,0.14,9
0.41,0.146,0.105,9
0.52,0.2445,0.165,9
0.595,0.491,0.289,9
0.565,0.4475,0.2485,9
0.595,0.4655,0.2515,9
0.5,0.27,0.166,9
0.55,0.343,0.215,9
0.44,0.2435,0.1465,9
0.505,0.3165,0.1785,9
0.56,0.432,0.337,9
0.515,0.288,0.168,9
0.67,0.5355,0.386,9
0.525,0.282,0.225,9
0.535,0.3475,0.194,9
0.44,0.226,0.155,9
0.625,0.5805,0.355,9
0.54,0.3875,0.2035,9
0.57,0.504,0.2505,9
0.355,0.134,0.09,9
0.45,0.1865,0.115,9
0.425,0.152,0.155,9
0.65,0.57,0.3725,9
0.635,0.5115,0.2885,9
0.31,0.0455,0.044,9
0.575,0.3485,0.22,9
0.715,0.844,0.5385,9
0.525,0.248,0.175,9
0.425,0.13,0.165,9
0.485,0.27,0.175,9
0.625,0.591,0.3485,9
0.54,0.3205,0.229,9
0.61,0.449,0.2945,9
0.455,0.201,0.145,9
0.625,0.5265,0.2925,9
0.625,0.438,0.278,9
0.605,0.393,0.3345,9
0.39,0.143,0.085,9
0.555,0.4225,0.24,9
0.605,0.463,0.335,9
0.5,0.215,0.17,9
0.415,0.1405,0.11,9
0.59,0.4535,0.31,9
0.525,0.3115,0.223,9
0.575,0.516,0.235,9
0.53,0.2715,0.1875,9
0.565,0.4565,0.23,9
0.63,0.63,0.289,9
0.545,0.434,0.19,9
0.58,0.486,0.253,9
0.64,0.653,0.305,9
0.54,0.38,0.21,9
0.64,0.6635,0.4025,9
0.44,0.1425,0.115,9
0.57,0.4805,0.29,9
0.475,0.186,0.145,9
0.49,0.2455,0.205,9
0.595,0.4215,0.227,9
0.575,0.4555,0.1965,9
0.44,0.162,0.11,9
0.35,0.066,0.075,9
0.485,0.2215,0.185,9
0.32,0.057,0.06,9
0.41,0.121,0.09,9
0.57,0.382,0.234,9
0.62,0.464,0.3,9
0.6,0.575,0.305,9
0.56,0.342,0.253,9
0.69,0.7945,0.3695,9
0.61,0.4495,0.286,9
0.565,0.3305,0.2475,9
0.475,0.2165,0.165,9
0.425,0.1755,0.135,9
0.58,0.3645,0.2705,9
0.38,0.1545,0.095,9
0.44,0.132,0.19,9
0.575,0.3665,0.269,9
0.58,0.3935,0.215,9
0.625,0.5715,0.321,9
0.49,0.256,0.145,9
0.565,0.406,0.2245,9
0.57,0.3875,0.2285,9
0.6,0.5885,0.3175,9
0.58,0.393,0.2895,9
0.56,0.3345,0.2695,9
0.605,0.5265,0.295,9
0.475,0.222,0.15,9
0.605,0.421,0.325,9
0.52,0.2985,0.175,9
0.445,0.1785,0.14,9
0.445,0.182,0.14,9
0.58,0.303,0.235,9
0.675,0.8365,0.475,9
0.61,0.5225,0.31,9
0.65,0.586,0.3865,9
0.47,0.2295,0.15,9
0.6,0.6095,0.315,9
0.6,0.6405,0.357,9
0.615,0.476,0.283,9
0.615,0.4975,0.2685,9
0.615,0.543,0.2345,9
0.58,0.49,0.27,9
0.595,0.3625,0.315,9
0.435,0.1695,0.11,9
0.57,0.5415,0.25,9
0.52,0.2965,0.165,9
0.485,0.287,0.12,9
0.655,0.586,0.405,9
0.5,0.241,0.205,9
0.47,0.1915,0.1625,9
0.575,0.4675,0.217,9
0.475,0.1905,0.1355,9
0.55,0.544,0.218,9
0.5,0.361,0.2385,9
0.535,0.2595,0.169,9
0.595,0.542,0.31,9
0.6,0.4135,0.2725,9
0.47,0.1765,0.1325,9
0.44,0.1755,0.12,9
0.595,0.4335,0.262,9
0.725,0.8045,0.4375,9
0.555,0.382,0.235,9
0.525,0.428,0.2045,9
0.5,0.269,0.1535,9
0.6,0.4375,0.2775,9
0.605,0.469,0.335,9
0.53,0.3355,0.1345,9
0.635,0.4405,0.387,9
0.345,0.094,0.063,9
0.5,0.229,0.1645,9
0.635,0.707,0.323,9
0.67,0.6595,0.425,9
0.61,0.409,0.322,9
0.6,0.4325,0.24,9
0.565,0.2815,0.21,9
0.635,0.532,0.354,9
0.61,0.488,0.27,9
0.5,0.2115,0.1755,9
0.485,0.2175,0.1525,9
0.615,0.446,0.3,9
0.635,0.705,0.39,9
0.655,0.6895,0.1825,9
0.6,0.5105,0.285,9
0.675,0.7365,0.37,9
0.59,0.326,0.245,9
0.665,0.5985,0.36,9
0.53,0.307,0.2595,9
0.51,0.3435,0.17,9
0.4,0.096,0.105,9
0.595,0.4005,0.2875,9
0.65,0.7115,0.38,9
0.55,0.3325,0.215,9
0.44,0.213,0.1135,9
0.61,0.597,0.33,9
0.605,0.555,0.274,9
0.62,0.5235,0.2825,9
0.605,0.468,0.275,9
0.62,0.6355,0.315,9
0.555,0.3485,0.225,9
0.56,0.3895,0.245,9
0.335,0.062,0.055,9
0.555,0.222,0.17,9
0.67,0.728,0.381,9
0.59,0.485,0.345,9
0.565,0.581,0.3095,9
0.575,0.435,0.238,9
0.58,0.586,0.237,9
0.36,0.066,0.075,9
0.525,0.2805,0.1695,9
0.5,0.302,0.2065,9
0.525,0.2655,0.184,9
0.605,0.611,0.292,9
0.52,0.295,0.185,9
0.625,0.5815,0.3185,9
0.59,0.5685,0.335,9
0.375,0.096,0.0925,9
0.605,0.6,0.3315,9
0.575,0.511,0.306,9
0.625,0.46,0.34,9
0.535,0.2845,0.265,9
0.67,0.6075,0.353,9
0.51,0.3725,0.17,9
0.585,0.2895,0.22,9
0.59,0.4545,0.3095,9
0.295,0.0485,0.04,9
0.62,0.4815,0.312,9
0.555,0.407,0.255,9
0.55,0.502,0.311,9
0.605,0.4815,0.356,9
0.47,0.198,0.165,9
0.43,0.1575,0.12,9
0.545,0.29,0.22,9
0.44,0.175,0.129,9
0.575,0.318,0.2265,9
0.585,0.326,0.265,9
0.62,0.505,0.31,9
0.645,0.5695,0.33,9
0.57,0.3705,0.28,9
0.55,0.481,0.2435,9
0.475,0.203,0.1465,9
0.625,0.4955,0.315,9
0.525,0.4325,0.1815,9
0.575,0.3845,0.285,9
0.59,0.445,0.301,9
0.62,0.587,0.325,9
0.565,0.4345,0.2475,9
0.54,0.3195,0.185,9
0.44,0.157,0.122,9
0.58,0.4035,0.225,9
0.525,0.2745,0.275,9
0.575,0.4505,0.276,9
0.33,0.0625,0.07,9
0.575,0.354,0.2365,9
0.525,0.3545,0.245,9
0.63,0.516,0.375,9
0.59,0.5,0.292,9
0.43,0.151,0.1045,9
0.65,0.545,0.3055,9
0.615,0.545,0.29,9
0.49,0.3325,0.185,9
0.355,0.1425,0.0735,9
0.29,0.071,0.045,9
0.42,0.1635,0.1,9
0.6,0.587,0.288,9
0.365,0.1075,0.08,9
0.5,0.309,0.1535,9
0.595,0.3895,0.271,9
0.535,0.53,0.244,9
0.635,0.594,0.37,9
0.705,0.8265,0.461,9
0.37,0.1125,0.0835,9
0.38,0.1175,0.085,9
0.52,0.2485,0.16,9
0.615,0.545,0.32,9
0.6,0.502,0.31,9
0.515,0.1815,0.138,9
0.635,0.668,0.2715,9
0.575,0.4245,0.26,9
0.63,0.5455,0.2885,9
0.66,0.667,0.341,9
0.65,0.6415,0.4245,9
0.59,0.328,0.23,9
0.57,0.4015,0.255,9
0.575,0.4115,0.23,9
0.65,0.58,0.3095,9
0.585,0.486,0.294,9
0.69,0.624,0.39,9
0.56,0.4525,0.274,9
0.525,0.3045,0.19,9
0.505,0.2475,0.1635,9
0.61,0.62,0.245,9
0.53,0.247,0.183,9
0.615,0.447,0.285,9
0.57,0.397,0.2655,9
0.555,0.341,0.23,9
0.5,0.494,0.296,9
0.625,0.564,0.374,9
0.46,0.1885,0.185,9
0.545,0.3945,0.231,9
0.46,0.192,0.205,9
0.54,0.368,0.1845,9
0.515,0.2015,0.162,9
0.56,0.4315,0.255,9
0.53,0.2635,0.185,9
0.53,0.2975,0.22,9
0.55,0.347,0.2265,9
0.64,0.646,0.37,9
0.55,0.269,0.217,9
0.575,0.401,0.222,9
0.515,0.4185,0.273,9
0.69,0.8715,0.4395,9
0.515,0.1975,0.1845,9
0.645,0.5355,0.3165,9
0.46,0.2505,0.195,9
0.615,0.6035,0.311,9
0.635,0.619,0.39,9
0.59,0.4525,0.235,9
0.595,0.4095,0.289,9
0.505,0.2645,0.165,9
0.65,0.577,0.355,9
0.5,0.2925,0.195,9
0.555,0.4055,0.2215,9
0.525,0.3115,0.178,9
0.565,0.415,0.246,9
0.53,0.2845,0.193,9
0.58,0.491,0.265,9
0.465,0.2005,0.1275,9
0.475,0.223,0.1335,9
0.495,0.2375,0.155,9
0.555,0.304,0.22,9
0.685,0.7175,0.4215,9
0.565,0.393,0.238,9
0.53,0.2945,0.19,9
0.575,0.3475,0.25,9
0.55,0.2965,0.2,9
0.56,0.3575,0.295,9
0.585,0.3795,0.26,9
0.625,0.5055,0.345,9
0.545,0.2615,0.25,9
0.425,0.142,0.105,9
0.565,0.435,0.27,9
0.485,0.3085,0.319,9
0.685,0.6315,0.3725,9
0.51,0.2875,0.2035,9
0.66,0.7345,0.386,9
0.48,0.2385,0.15,9
0.385,0.0885,0.085,9
0.505,0.3315,0.167,9
0.565,0.3975,0.255,9
0.465,0.1515,0.1455,9
0.655,0.5455,0.3225,9
